字	注释	张集	大杨集	李老家	田庙	郑集	站集	店集	芒种桥	
服		fu⁵²	fu⁵²	fu⁵²	fu⁵²	fu⁵²	fu⁵²	fu⁵²	fu⁵²	
梦		məŋ⁴¹	məŋ⁴¹	məŋ⁴¹	məŋ⁴¹	məŋ⁴¹	məŋ⁴¹	məŋ⁴¹	məŋ⁴¹	
目		mu²⁴	mu²⁴	mu²⁴	mu²⁴	mu²⁴	mu²⁴	mu²⁴	mu²⁴	
隆		luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	
六		liou⁴¹	liou⁴¹	liou⁴¹	liou⁴¹	liou⁴¹	liou⁴¹	liou⁴¹	liou⁴¹	
肃		sy²⁴	sy²⁴	sy²⁴	sy²⁴/\nsy⁴¹	sy²⁴	sy²⁴	sy²⁴	sy²⁴	
中	~当	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	
忠		tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	tʂuŋ²⁴	
中	~射	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	tʂuŋ⁴¹	
竹		tʂu²⁴	tʂu²⁴	tʂu²⁴	tʂu²⁴	tʂu²⁴	tʂu²⁴	tʂu²⁴	tʂu²⁴	
虫		tʂʰuŋ⁵²	tʂʰuŋ⁵²	tʂʰuŋ⁵²	tʂʰuŋ⁵²	tʂʰuŋ⁵²	tʂʰuŋ⁵²	tʂʰuŋ⁵²	tʂʰuŋ⁵²	
轴		tʂu⁵²	tʂu⁵²	tʂu⁵²	tʂu⁵²	tʂu⁵²	tʂu⁵²	tʂu⁵²	tʂu⁵²	
妯		tʂu⁵²	tʂu⁵²	tʂu⁵²	tʂu⁵²	tʂu⁵²	tʂu⁵²	tʂu⁵²	tʂu⁵²	
缩		tʂʰu²⁴	tʂʰu²⁴	tʂʰu²⁴	tʂʰu²⁴	tʂʰu²⁴	tʂʰu²⁴	tʂʰu²⁴	tʂʰu²⁴	
鹿		lu²⁴	lu²⁴	lu²⁴	lu²⁴	lu²⁴	lu²⁴	lu²⁴	lu²⁴	
总		tsuŋ⁴⁴	tsuŋ⁴⁴	tsuŋ⁴⁴	tsuŋ⁴⁴	tsuŋ⁴⁴	tsuŋ⁴⁴	tsuŋ⁴⁴	tsuŋ⁴⁴	
粽		tsuŋ⁴¹	tsuŋ⁴¹	tsuŋ⁴¹	tsuŋ⁴¹	tsuŋ⁴¹	tsuŋ⁴¹	tsuŋ⁴¹	tsuŋ⁴¹	
聪		tsʰuŋ²⁴	tsʰuŋ²⁴	tsʰuŋ²⁴	tsʰuŋ²⁴	tsʰuŋ²⁴	tsʰuŋ²⁴	tsʰuŋ²⁴	tsʰuŋ²⁴	
葱		tsʰuŋ²⁴	tsʰuŋ²⁴	tsʰuŋ²⁴	tsʰuŋ²⁴	tsʰuŋ²⁴	tsʰuŋ²⁴	tsʰuŋ²⁴	tsʰuŋ²⁴	
族		tsu⁵²	tsu⁵²	tsu⁵²	tsu⁵²	tsu⁵²	tsu⁵²	tsu⁵²	tsu⁵²	
