字	注释	张集	大杨集	李老家	田庙	郑集	站集	店集	芒种桥	
丈		tʂaŋ⁴¹	tʂaŋ⁴¹	tʂaŋ⁴¹	tʂaŋ⁴¹	tʂaŋ⁴¹	tʂaŋ⁴¹	tʂaŋ⁴¹	tʂaŋ⁴¹	
杖		tʂaŋ⁴¹	tʂaŋ⁴¹	tʂaŋ⁴¹	tʂaŋ⁴¹	tʂaŋ⁴¹	tʂaŋ⁴¹	tʂaŋ⁴¹	tʂaŋ⁴¹	
钢		kaŋ²⁴	kaŋ²⁴	kaŋ²⁴	kaŋ²⁴	kaŋ²⁴	kaŋ²⁴	kaŋ²⁴	kaŋ²⁴	
各		kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	
搁		kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	
康		kʰaŋ²⁴	kʰaŋ²⁴	kʰaŋ²⁴	kʰaŋ²⁴	kʰaŋ²⁴	kʰaŋ²⁴	kʰaŋ²⁴	kʰaŋ²⁴	
糠		kʰaŋ²⁴	kʰaŋ²⁴	kʰaŋ²⁴	kʰaŋ²⁴	kʰaŋ²⁴	kʰaŋ²⁴	kʰaŋ²⁴	kʰaŋ²⁴	
抗		kʰaŋ⁴²	kʰaŋ⁴⁴	kʰaŋ⁴⁴	kʰaŋ⁴⁴	kʰaŋ⁴⁴	kʰaŋ⁵²	kʰaŋ⁵²	kʰaŋ⁵²	
昂		ɣaŋ⁵²	ɣaŋ⁵²	ɣaŋ⁵²	ɣaŋ⁵²	ɣaŋ⁵²	ɣaŋ⁵²	ɣaŋ⁵²	ɣaŋ⁵²	
行	~银	xaŋ⁵²	xaŋ⁵²	xaŋ⁵²	xaŋ⁵²	xaŋ⁵²	xaŋ⁵²	xaŋ⁵²	xaŋ⁵²	
杭		xaŋ⁵²	xaŋ⁵²	xaŋ⁵²	xaŋ⁵²	xaŋ⁵²	xaŋ⁵²	xaŋ⁵²	xaŋ⁵²	
恶	~善	ɣɤ²⁴	ɣɤ²⁴	ɣɤ²⁴	ɣɤ²⁴	ɣɤ²⁴	ɣɤ²⁴	ɣɤ²⁴	ɣɤ²⁴	
娘		niaŋ⁵²	niaŋ²⁴	niaŋ⁵²	niaŋ⁵²/\nniaŋ²⁴	niaŋ²⁴	niaŋ⁵²	niaŋ⁵²	niaŋ⁵²	
酿		niaŋ⁴¹	niaŋ⁴¹	niaŋ⁴¹	niaŋ⁴¹	niaŋ⁴¹	niaŋ⁴¹	niaŋ⁴¹	niaŋ⁴¹	
略		luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	
良		liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	
量	~长短	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	
粮		liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	
梁		liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	liaŋ⁵²	
两		liaŋ⁴⁴	liaŋ⁴⁴	liaŋ⁴⁴	liaŋ⁴⁴	liaŋ⁴⁴	liaŋ⁴⁴	liaŋ⁴⁴	liaŋ⁴⁴	
亮		liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	
谅		liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	
辆		liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	
晾		liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	liaŋ⁴¹	
将	~来	tsiaŋ²⁴	tsiaŋ²⁴	tsiaŋ²⁴	tsiaŋ²⁴	tsiaŋ²⁴	tsiaŋ²⁴	tsiaŋ²⁴	tsiaŋ²⁴	
奖		tsiaŋ⁴⁴	tsiaŋ⁴⁴	tsiaŋ⁴⁴	tsiaŋ⁴⁴	tsiaŋ⁴⁴	tsiaŋ⁴⁴	tsiaŋ⁴⁴	tsiaŋ⁴⁴	
托		tʰuo²⁴	tʰuo²⁴	tʰuo²⁴	tʰuo²⁴	tʰuo²⁴	tʰuo²⁴	tʰuo²⁴	tʰuo²⁴	
堂		tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	
唐		tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	
糖		tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	tʰaŋ⁵²	
荡		taŋ⁴¹	taŋ⁴¹	taŋ⁴¹	taŋ⁴¹	taŋ⁴¹	taŋ⁴¹	taŋ⁴¹	taŋ⁴¹	
囊		naŋ⁵²	naŋ⁵²	naŋ⁵²	naŋ⁵²	naŋ⁵²	naŋ⁵²	naŋ⁵²	naŋ⁵²	
诺		nuo⁴²	nuo⁴⁴	nuo²⁴	nuo⁴⁴	nuo⁴¹	nuo⁴⁴	nuo⁴⁴	nuo⁴⁴	
廊		laŋ⁵²	laŋ⁵²	laŋ⁵²	laŋ⁵²	laŋ⁵²	laŋ⁴⁴	laŋ⁴⁴	laŋ⁴⁴	
狼		laŋ⁵²	laŋ⁵²	laŋ⁵²	laŋ⁵²	laŋ⁵²	laŋ⁵²	laŋ⁵²	laŋ⁵²	
朗		laŋ⁵²	laŋ⁵²	laŋ⁴⁴	laŋ⁴⁴	laŋ⁵²	laŋ⁵²	laŋ⁵²	laŋ⁵²	
浪		laŋ⁴¹	laŋ⁴¹	laŋ⁴¹	laŋ⁴¹	laŋ⁴¹	laŋ⁴¹	laŋ⁴¹	laŋ⁴¹	
落		luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	
烙		luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	
洛		luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	
乐	~快	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	luo²⁴	
脏		tsaŋ²⁴	tsaŋ²⁴	tsaŋ²⁴	tsaŋ²⁴	tsaŋ²⁴	tsaŋ²⁴	tsaŋ²⁴	tsaŋ²⁴	
葬		tsaŋ⁴¹	tsaŋ⁴¹	tsaŋ⁴¹	tsaŋ⁴¹	tsaŋ⁴¹	tsaŋ⁴¹	tsaŋ⁴¹	tsaŋ⁴¹	
仓		tsʰaŋ²⁴	tsʰaŋ²⁴	tsʰaŋ²⁴	tsʰaŋ²⁴	tsʰaŋ²⁴	tsʰaŋ²⁴	tsʰaŋ²⁴	tsʰaŋ²⁴	
错		tsʰuo⁴¹	tsʰuo⁴¹	tsʰuo⁴¹	tsʰuo⁴¹	tsʰuo⁴¹	tsʰuo⁴¹	tsʰuo⁴¹	tsʰuo⁴¹	
藏	~隐	tsʰaŋ⁵²	tsʰaŋ⁵²	tsʰaŋ⁵²	tsʰaŋ⁵²	tsʰaŋ⁵²	tsʰaŋ⁵²	tsʰaŋ⁵²	tsʰaŋ⁵²	
藏	~西	tsaŋ⁴¹	tsaŋ⁴¹	tsaŋ⁴¹	tsaŋ⁴¹	tsaŋ⁴¹	tsaŋ⁴¹	tsaŋ⁴¹	tsaŋ⁴¹	
昨		tsuo⁴⁴	tsuo⁴⁴	tsuo⁴⁴	tsuo⁴⁴	tsuo⁴⁴	tsuo⁴⁴	tsuo⁴⁴	tsuo⁴⁴	
丧	~礼	saŋ²⁴	saŋ²⁴	saŋ²⁴	saŋ²⁴	saŋ²⁴	saŋ²⁴	saŋ²⁴	saŋ²⁴	
丧	~失	saŋ⁴¹	saŋ⁴¹	saŋ⁴¹	saŋ⁴¹	saŋ⁴¹	saŋ⁴¹	saŋ⁴¹	saŋ⁴¹	
刚		tɕiaŋ²⁴	tɕiaŋ²⁴	tɕiaŋ²⁴	tɕiaŋ²⁴	tɕiaŋ²⁴	tɕiaŋ²⁴	tɕiaŋ²⁴	tɕiaŋ²⁴	
缸		kaŋ²⁴	kaŋ²⁴	kaŋ²⁴	kaŋ²⁴	kaŋ²⁴	kaŋ²⁴	kaŋ²⁴	kaŋ²⁴	
群		tɕʰyən⁵ ²	tɕʰyən⁵ ²	tɕʰyən⁵²	tɕʰyən⁵²	tɕʰyən⁵²	tɕʰyən⁵²	tɕʰyən⁵²	tɕʰyən⁵²	
裙		tɕʰyən⁵ ²	tɕʰyən⁵ ²	tɕʰyən⁵²	tɕʰyən⁵²	tɕʰyən⁵²	tɕʰyən⁵²	tɕʰyən⁵²	tɕʰyən⁵²	
掘		tɕyo⁵²	tɕyo⁵²	tɕyo⁵²	tɕyo⁵²	tɕyo⁵²	tɕyo⁵²	tɕyo⁵²	tɕyo⁵²	
熏		ɕyən²⁴	ɕyən²⁴	ɕyən²⁴	ɕyən²⁴	ɕyən²⁴	ɕyən²⁴	ɕyən²⁴	ɕyən²⁴	
训		ɕyən⁴¹	ɕyən⁴¹	ɕyən⁴¹	ɕyən⁴¹	ɕyən⁴¹	ɕyən⁴¹	ɕyən⁴¹	ɕyən⁴¹	
熨		yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	
云		yən⁵²	yən⁵²	yən⁵²	yən⁵²	yən⁵²	yən⁵²	yən⁵²	yən⁵²	
芸		yən⁵²	yən⁵²	yən⁵²	yən⁵²	yən⁵²	yən⁵²	yən⁵²	yən⁵²	
运		yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	
帮		paŋ²⁴	paŋ²⁴	paŋ²⁴	paŋ²⁴	paŋ²⁴	paŋ²⁴	paŋ²⁴	paŋ²⁴	
榜		paŋ⁴⁴	paŋ⁴⁴	paŋ⁴⁴	paŋ⁴⁴	paŋ⁴⁴	paŋ⁴⁴	paŋ⁴⁴	paŋ⁴⁴	
博		po²⁴	po²⁴	po²⁴	po²⁴	po²⁴	po²⁴	po²⁴	po²⁴	
旁		pʰaŋ⁵²	pʰaŋ⁵²	pʰaŋ⁵²	pʰaŋ⁵²	pʰaŋ⁵²	pʰaŋ⁵²	pʰaŋ⁵²	pʰaŋ⁵²	
螃		pʰaŋ⁵²	pʰaŋ⁵²	pʰaŋ⁵²	pʰaŋ⁵²	pʰaŋ⁵²	pʰaŋ⁵²	pʰaŋ⁵²	pʰaŋ⁵²	
薄		po⁵²	po⁵²	po⁵²	po⁵²	po⁵²	po⁵²	po⁵²	po⁵²	
忙		maŋ⁵²	maŋ⁵²	maŋ⁵²	maŋ⁵²	maŋ⁵²	maŋ⁵²	maŋ⁵²	maŋ⁵²	
芒		maŋ⁵²	maŋ⁵²	maŋ⁵²	maŋ⁵²	maŋ⁵²	maŋ⁵²	maŋ⁵²	maŋ⁵²	
寞		mo⁵²	mo⁵²	mo²⁴	mo⁵²	mo⁵²	mo⁵²	mo⁵²	mo⁵²	
摸		mo²⁴	mo²⁴	mo²⁴	mo²⁴	mo²⁴	mo²⁴	mo²⁴	mo²⁴	
当		taŋ²⁴	taŋ²⁴	taŋ²⁴	taŋ²⁴	taŋ²⁴	taŋ²⁴	taŋ²⁴	taŋ²⁴	
挡		taŋ⁴⁴	taŋ⁴⁴	taŋ⁴⁴	taŋ⁴⁴	taŋ⁴⁴	taŋ⁴⁴	taŋ⁴⁴	taŋ⁴⁴	
汤		tʰaŋ²⁴	tʰaŋ²⁴	tʰaŋ²⁴	tʰaŋ²⁴	tʰaŋ²⁴	tʰaŋ²⁴	tʰaŋ²⁴	tʰaŋ²⁴	
躺		tʰaŋ⁴⁴	tʰaŋ⁴⁴	tʰaŋ⁴⁴	tʰaŋ⁴⁴	tʰaŋ⁴⁴	tʰaŋ⁴⁴	tʰaŋ⁴⁴	tʰaŋ⁴⁴	
烫		tʰaŋ⁴¹	tʰaŋ⁴¹	tʰaŋ⁴¹	tʰaŋ⁴¹	tʰaŋ⁴¹	tʰaŋ⁴¹	tʰaŋ⁴¹	tʰaŋ⁴¹	
趟		tʰaŋ⁴¹	tʰaŋ⁴¹	tʰaŋ⁴¹	tʰaŋ⁴¹	tʰaŋ⁴¹	tʰaŋ⁴¹	tʰaŋ⁴¹	tʰaŋ⁴¹	
纯		tʂʰuən⁵²	tʂʰuən⁵ ²	tʂʰuən⁵²	tʂʰuən⁵²	tʂʰuən⁵²	tʂʰuən⁵²	tʂʰuən⁵²	tʂʰuən⁵²	
润		yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	
闰		yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	yən⁴¹	
均		tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	
橘		tɕy²⁴	tɕy²⁴	tɕy²⁴	tɕy²⁴	tɕy²⁴	tɕy²⁴	tɕy²⁴	tɕy²⁴	
菌		tɕyən⁴⁴	tɕyən⁴⁴	tɕyən⁴⁴	tɕyən⁴⁴	tɕyən⁴⁴	tɕyən⁴⁴	tɕyən⁴⁴	tɕyən⁴⁴	
匀		yən⁵²	yən⁵²	yən⁵²	yən⁵²	yən⁵²	yən⁵²	yən⁵²	yən⁵²	
允		yən⁴⁴	yən⁴⁴	yən⁴⁴	yən⁴⁴	yən⁴⁴	yən⁴⁴	yən⁴⁴	yən⁴⁴	
分		fən²⁴	fən²⁴	fən²⁴	fən²⁴	fən²⁴	fən²⁴	fən²⁴	fən²⁴	
坟		fən⁵²	fən⁵²	fən⁵²	fən⁵²	fən⁵²	fən⁵²	fən⁵²	fən⁵²	
氛		fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴⁴	
粉		fən⁴⁴	fən⁴⁴	fən⁴⁴	fən⁴⁴	fən⁴⁴	fən⁴⁴	fən⁴⁴	fən⁴⁴	
粪		fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	
芬		fən⁴⁴	fən⁴⁴	fən⁴⁴	fən⁴⁴	fən⁴⁴	fən⁴⁴	fən⁴⁴	fən⁴⁴	
份		fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	
佛		fu⁵²	fu⁵²	fo⁵²	fo⁵²	fo⁵²	fo⁵²	fo⁵²	fo⁵²	
文		uən⁵²	uən⁵²	uən⁵²	uən⁵²	uən⁵²	uən⁵²	uən⁵²	uən⁵²	
蚊		uən⁵²	uən⁵²	uən⁵²	uən⁵²	uən⁵²	uən⁵²	uən⁵²	uən⁵²	
闻		uən⁵²	uən⁵²	uən⁵²	uən⁵²	uən⁵²	uən⁵²	uən⁵²	uən⁵²	
吻		uən⁴⁴	uən⁴⁴	uən²⁴	uən⁴⁴	uən⁴⁴	uən⁵²	uən⁵²	uən⁵²	
问		uən⁴¹	uən⁴¹	uən⁴¹	uən⁴¹	uən⁴¹	uən⁴¹	uən⁴¹	uən⁴¹	
璺	~裂	uən⁴¹	uən⁴¹	uən⁴¹	uən⁴¹	uən⁴¹	uən⁴¹	uən⁴¹	uən⁴¹	
物		u²⁴	u²⁴	u²⁴	u²⁴	u²⁴	u²⁴	u²⁴	u²⁴	
君		tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	
军		tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	tɕyən²⁴	
屈		tɕʰy²⁴	tɕʰy²⁴	tɕʰy²⁴	tɕʰy²⁴	tɕʰy²⁴	tɕʰy²⁴	tɕʰy²⁴	tɕʰy²⁴	
浑		xuən⁵²	xuən⁵²	xuən⁵²	xuən⁵²	xuən⁵²	xuən⁵²	xuən⁵²	xuən⁵²	
捆		kʰuən⁴⁴	kʰuən⁴\n⁴	kʰuən⁴⁴	kʰuən⁴⁴	kʰuən⁴⁴	kʰuən⁴⁴	kʰuən⁴⁴	kʰuən⁴⁴	
核		xɛ⁵²	xɛ⁵²	xɛ⁵²	xɛ⁵²	xɛ⁵²	xə⁵²	xə⁵²	xə⁵²	
温		uən²⁴	uən²⁴	uən²⁴	uən²⁴	uən²⁴	uən²⁴	uən²⁴	uən²⁴	
稳		uən⁴⁴	uən⁴⁴	uən⁴⁴	uən⁴⁴	uən⁴⁴	uən⁴⁴	uən⁴⁴	uən⁴⁴	
轮		luən⁵²	luən⁵²	luən⁵²	luən⁵²	luən⁵²	luən⁵²	luən⁵²	luən⁵²	
律		ly²⁴	ly²⁴	ly²⁴	ly²⁴	ly²⁴	ly²⁴	ly²⁴	ly²⁴	
遵		tsuən²⁴	tsuən²⁴	tsuən²⁴	tsuən²⁴	tsuən²⁴	tsuən²⁴	tsuən²⁴	tsuən²⁴	
俊		tsuən⁴¹	tsuən⁴¹	tsuən⁴¹	tsuən⁴¹	tsuən⁴¹	tsuən⁴¹	tsuən⁴¹	tsuən⁴¹	
皴		tsʰuən²⁴	tsʰuən²⁴	tsʰuən²⁴	tsʰuən²⁴	tsʰuən²⁴	tsʰuən²⁴	tsʰuən²⁴	tsʰuən²⁴	
荀	~瓜	suən⁴⁴	suən⁴⁴	suən⁴⁴	suən⁴⁴	suən⁴⁴	suən⁴⁴	suən⁴⁴	suən⁴⁴	
旬		suən⁵²	suən⁵²	suən⁵²	suən⁵²	suən⁵²	suən⁵²	suən⁵²	suən⁵²	
殉		suən²⁴	suən²⁴	suən²⁴	suən²⁴	suən²⁴	suən⁴¹	suən⁴¹	suən⁴¹	
椿		tʂʰuən²⁴	tʂʰuən²⁴	tʂʰuən²⁴	tʂʰuən²⁴	tʂʰuən²⁴	tʂʰuən²⁴	tʂʰuən²⁴	tʂʰuən²⁴	
术		fu⁵²	fu⁴¹	fu⁵²	fu⁵²	fu⁴¹	fu⁵²	fu⁵²	fu⁵²	
准		tʂuən⁴⁴	tʂuən⁴⁴	tʂuən⁴⁴	tʂuən⁴⁴	tʂuən⁴⁴	tʂuən⁴⁴	tʂuən⁴⁴	tʂuən⁴⁴	
春		tʂʰuən²⁴	tʂʰuən²⁴	tʂʰuən²⁴	tʂʰuən²⁴	tʂʰuən²⁴	tʂʰuən²⁴	tʂʰuən²⁴	tʂʰuən²⁴	
蠢		tʂʰuən⁴⁴	tʂʰuən⁵ ²	tʂʰuən⁴⁴	tʂʰuən⁴⁴	tʂʰuən⁴⁴	tʂʰuən⁴⁴	tʂʰuən⁴⁴	tʂʰuən⁴⁴	
出		tʂʰu²⁴	tʂʰu²⁴	tʂʰu²⁴	tʂʰu²⁴	tʂʰu²⁴	tʂʰu²⁴	tʂʰu²⁴	tʂʰu²⁴	
唇		tʂʰuən⁵²	tʂʰuən⁵ ²	tʂʰuən⁵²	tʂʰuən⁵²	tʂʰuən⁵²	tʂʰuən⁵²	tʂʰuən⁵²	tʂʰuən⁵²	
顺		fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	fən⁴¹	
突		tʰu²⁴	tʰu²⁴	tʰu²⁴	tʰu²⁴	tʰu²⁴	tʰu²⁴	tʰu²⁴	tʰu²⁴	
凸		tʰu²⁴	tʰu²⁴	tʰu²⁴	kaŋ⁴⁴	tʰu²⁴/kaŋ⁴\n⁴	tʰu²⁴/kaŋ⁴\n⁴	tʰu²⁴/kaŋ\n⁴⁴	tʰu²⁴	
嫩		luən⁴¹	luən⁴¹	luən⁴¹	luən⁴¹	luən⁴¹	luən⁴¹	luən⁴¹	luən⁴¹	
论		luən⁴¹	luən⁴¹	luən⁴¹	luən⁴¹	luən⁴¹	luən⁴¹	luən⁴¹	luən⁴¹	
尊		tsuən²⁴	tsuən²⁴	tsuən²⁴	tsuən²⁴	tsuən²⁴	tsuən²⁴	tsuən²⁴	tsuən²⁴	
村		tsʰuən²⁴	tsʰuən²⁴	tsʰuən²⁴	tsʰuən²⁴	tsʰuən²⁴	tsʰuən²⁴	tsʰuən²⁴	tsʰuən²⁴	
寸		tsʰuən⁴¹	tsʰuən⁴\n¹	tsʰuən⁴¹	tsʰuən⁴¹	tsʰuən⁴¹	tsʰuən⁴¹	tsʰuən⁴¹	tsʰuən⁴¹	
存		tsʰuən⁵²	tsʰuən⁵ ²	tsʰuən⁵²	tsʰuən⁵²	tsʰuən⁵²	tsʰuən⁵²	tsʰuən⁵²	tsʰuən⁵²	
蹲		tuən²⁴	tuən²⁴	tuən²⁴	tuən²⁴	tuən²⁴	tuən²⁴	tuən²⁴	tuən²⁴	
孙		suən²⁴	suən²⁴	suən²⁴	suən²⁴	suən²⁴	suən²⁴	suən²⁴	suən²⁴	
损		suən⁴⁴	suən⁴⁴	suən⁴⁴	suən⁴⁴	suən⁴⁴	suən⁴⁴	suən⁴⁴	suən⁴⁴	
昆		kʰuən²⁴	kʰuən²⁴	kʰuən²⁴	kʰuən²⁴	kʰuən²⁴	kʰuən²⁴	kʰuən²⁴	kʰuən²⁴	
滚		kuən⁴⁴	kuən⁴⁴	kuən⁴⁴	kuən⁴⁴	kuən⁴⁴	kuən⁴⁴	kuən⁴⁴	kuən⁴⁴	
棍		kuən⁴¹	kuən⁴¹	kuən⁴¹	kuən⁴¹	kuən⁴¹	kuən⁴¹	kuən⁴¹	kuən⁴¹	
骨		ku²⁴	ku²⁴	ku²⁴	ku²⁴	ku²⁴	ku²⁴	ku²⁴	ku²⁴	
困		kʰuən⁴¹	kʰuən⁴\n¹	kʰuən⁴¹	kʰuən⁴¹	kʰuən⁴¹	kʰuən⁴¹	kʰuən⁴¹	kʰuən⁴¹	
窟		kʰuŋ²⁴	kʰuŋ²⁴	kʰuŋ²⁴	kʰuŋ²⁴	kʰuŋ²⁴	kʰuŋ²⁴	kʰuŋ²⁴	kʰuŋ²⁴	
婚		xuən²⁴	xuən²⁴	xuən²⁴	xuən²⁴	xuən²⁴	xuən²⁴	xuən²⁴	xuən²⁴	
忽		xu²⁴	xu²⁴	xu²⁴	xu²⁴	xu²⁴	xu²⁴	xu²⁴	xu²⁴	
魂		xuən⁵²	xuən⁵²	xuən⁵²	xuən⁵²	xuən⁵²	xuən⁵²	xuən⁵²	xuən⁵²	
馄		xuən⁵²	xuən⁵²	xuən⁵²	xuən⁵²	xuən⁵²	xuən⁵²	xuən⁵²	xuən⁵²	
印		in⁴¹	in⁴¹	in⁴¹	in⁴¹	in⁴¹	in⁴¹	in⁴¹	in⁴¹	
一		i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	i²⁴	
引		in⁴⁴	in⁴⁴	in⁴⁴	in⁴⁴	in⁴⁴	in⁴⁴	in⁴⁴	in⁴⁴	
斤		tɕin²⁴	tɕin²⁴	tɕin²⁴	tɕin²⁴	tɕin²⁴	tɕin²⁴	tɕin²⁴	tɕin²⁴	
筋		tɕin²⁴	tɕin²⁴	tɕin²⁴	tɕin²⁴	tɕin²⁴	tɕin²⁴	tɕin²⁴	tɕin²⁴	
劲		tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	
靳		tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	
乞		tɕʰi²⁴	tɕʰi²⁴	tɕʰi²⁴	tɕʰi²⁴	tɕʰi⁴⁴	tɕʰi²⁴	tɕʰi²⁴	tɕʰi²⁴	
勤		tɕʰin⁵²	tɕʰin⁵²	tɕʰin⁵²	tɕʰin⁵²	tɕʰin⁵²	tɕʰin⁵²	tɕʰin⁵²	tɕʰin⁵²	
芹		tɕʰin⁵²	tɕʰin⁵²	tɕʰin⁵²	tɕʰin⁵²	tɕʰin⁵²	tɕʰin⁵²	tɕʰin⁵²	tɕʰin⁵²	
近		tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	tɕin⁴¹	
欣		ɕin²⁴	ɕin²⁴	ɕin²⁴	ɕin²⁴	ɕin²⁴	ɕin²⁴	ɕin²⁴	ɕin²⁴	
隐		in²⁴	in²⁴	in²⁴	in²⁴	in²⁴	in²⁴	in²⁴	in²⁴	
奔		pən²⁴	pən²⁴	pən²⁴	pən²⁴	pən²⁴	pən²⁴	pən²⁴	pən²⁴	
本		pən⁴⁴	pən⁴⁴	pən⁴⁴	pən⁴⁴	pən⁴⁴	pən⁴⁴	pən⁴⁴	pən⁴⁴	
不		pu²⁴	pu²⁴	pu²⁴	pu²⁴	pu²⁴	pu²⁴	pu²⁴	pu²⁴	
喷		pʰən²⁴	pʰən²⁴	pʰən²⁴	pʰən²⁴	pʰən²⁴	pʰən²⁴	pʰən²⁴	pʰən²⁴	
盆		pʰən²⁴	pʰən²⁴	pʰən²⁴	pʰən²⁴	pʰən²⁴	pʰən²⁴	pʰən²⁴	pʰən²⁴	
笨		pən⁴¹	pən⁴¹	pən⁴¹	pən⁴¹	pən⁴¹	pən⁴¹	pən⁴¹	pən⁴¹	
脖		po⁵²	po⁵²	po⁵²	po⁵²	po⁵²	po⁵²	po⁵²	po⁵²	
门		mən⁵²	mən⁵²	mən⁵²	mən⁵²	mən⁵²	mən⁵²	mən⁵²	mən⁵²	
闷		mən²⁴	mən²⁴	mən²⁴	mən²⁴	mən²⁴	mən²⁴	mən²⁴	mən²⁴	
墩		tuən²⁴	tuən²⁴	tuən²⁴	tuən²⁴	tuən²⁴	tuən²⁴	tuən²⁴	tuən²⁴	
顿		tuən⁴¹	tuən⁴¹	tuən⁴¹	tuən⁴¹	tuən⁴¹	tuən⁴¹	tuən⁴¹	tuən⁴¹	
褪		tʰuei⁴¹	tʰuei⁴¹	tʰuei⁴¹	tʰuei⁴¹	tʰuei⁴¹	tʰuei⁴¹	tʰuei⁴¹	tʰuei⁴¹	
饨		tuən⁴¹	tuən⁴¹	tuən⁴¹	tuən⁴¹	tuən⁴¹	tuən⁴¹	tuən⁴¹	tuən⁴¹	
盾		tuən⁴¹	tuən⁴¹	tuən⁴¹	tuən⁴¹	tuən⁴¹	tuən⁴¹	tuən⁴¹	tuən⁴¹	
