汉字	注释	音标
斩		θam3
插		tʰap7
杉		θam1
减		kam3
咸		ham2
狭		hap8
衫		θam1
甲		kap7
衔		ham2
舰		kam5
鸭		ap7
压		at7
贬		piɛn3
粘	~性	nian2=/niɛt8-
镰		liam2
猎		liap8
尖		θiam1
接		θiap7
签		tʰiam1
占	~领	tʃam5
折	~叠	tʃat7
闪		ʃam3
染		niam3
检		kiam3
钳		kʰiam2
验		niam5
险		hiam3
厌		iam5
盐		iam2
檐		iam2
叶		iap8
剑		kiam5
欠		hiam5
严		niam2
业		niap8
点		tiam3
店		tiam5
跌		tiap7
添		tʰiam1
贴		tʰiap7
甜		tʰiap2
叠		tʰiap8
拈		niap1
念		niap5
兼		kiap1
谦		kʰiap1
嫌		hiap2
协		hiap8
凡		fan2
犯		fan5
乏		fat8
法		fat7
泛		fan5
品		pʰin3
林		lim2
笠		lip7
粒		nɛp1
浸		θim5
集		θip8
心		θim1
寻		tʰim2
习		θip8
沉		tʃʰim2
参	人~	ʃim1
森		ʃim1
针		tʃim1
汁		tʃip7
深		ʃim1
沈		ʃim3
湿		ʃip7
十		ʃip8
任	责~	nim5
入		nip8
金		kim1
锦		kim3
禁	~止	kim5
急		kip7
级		kʰip7
琴		kʰim2
及		kʰip8
吸		kʰip7
阴		im1
单		tan1
摊		tʰan1
炭		tʰan5
弹	~琴	tʰan2
蛋		tʰan5
达		tʰat8
难	~易	nan2
兰		lan2
懒		lan1
烂		lan5
辣		lat8
赞		θan5
餐		tʰan1
擦		tʰat7
残		tʰan2
伞		θan3
散	分~	θan5
肝		kɔn1
杆		kɔn1
干	~活	kɔn5
割		kɔt7
看	~见	kʰɔn5
岸		ŋɔn5
汉		hɔn5
寒		hɔn2
旱		hɔn1
汗		hɔn5
安		ɔn1
案		ɔn5
扮		pan5
八		pat7
办		pʰan5
拔		pʰat8
抹		mat7
盏		θan3
铲		tʰan3
察		tʰat7
山		θan1
产		tʰan3
杀		θat7
间	中~	kan1
拣		kan3
眼		ŋan3
闲		han2
限		han5
苋		han5
班		pan1
板		pan3
蛮	野~	man2
慢		man5
奸		kan1
颜		ŋan2
瞎		hat7
晏	晚也	an5
鞭		piɛn1
变		piɛn5
偏		pʰiɛn1
骗		pʰiɛn5
辩		pʰiɛn5
别		pʰiɛt8
棉		miɛn2
免		miɛn3
面	~上	miɛn5
灭		miɛt8
连		liɛn2
裂		liɛt8
煎		θiɛn1
剪		θiɛn3
箭		θiɛn5
迁		tʰiɛn1
浅		tʰiɛn3
钱		tʰiɛn2
贱		tʰiɛn5
仙		θiɛn1
癣		θiɛn3
线		θiɛn5
薛		θiɛt7
展		tʃɛn3
缠		tʃʰɛn2
战		tʃɛn5
折	~断	tʃat7
舌		θɛt8
扇	~子	ʃɛn5
设		ʃɛt7
善		ʃɛn5
折	~本	ʃɛt8
然		niɛn2
热		niɛt8
件		kʰiɛn5
杰		kʰiɛt8
孽		niɛt7
延		hiɛn2
演		iam3
建		kʰiɛn5
健		kʰiɛn5
言		niɛn2
掀		hiɛn1=/kʰiɛt7-
献		niɛn5
歇		hiɛt7
边		piɛn1
扁		piɛn3
遍		pʰiɛn5
片		pʰiɛn5
撇		pʰiɛt7
辫		pʰiɛn5
面	~条	miɛn5
篾		miɛt8
颠		tiɛn1
天		tʰiɛn1
铁		tʰiɛt7
田		tʰiɛn2
填		tʰiɛn2
电		tʰiɛn5
垫		/
年		niɛn2
捏		niɛt8
莲		liɛn2
炼		liɛn5
节		θiɛt7
千		tʰiɛn1
切		tʰiɛt7
前		tʰiɛn2
先		θiɛn1
肩		kiɛn1
见		kiɛn5
结		kiɛt7
牵		kʰiɛn1
现		hiɛn5
烟		iɛn1
燕		iɛn5
搬		pan1
半		pan5
潘		pʰan1
判		pʰan5
泼		pʰat7
盘		pʰan2
伴		pʰan5
叛		pʰan5
满		man1
末		mɔt8=/mat7-
端		tɔn1
短		tɔn3
脱		tʰɔt7
团		tʰɔn2
断	折~	tʰɔn1
缎		tʰɔn5
夺		tʰɔt8
暖		lɔn1
乱		lɔn3
捋		lɔt8
酸		θɔn1
算		θɔn5
官		kɔn1
管		kɔn3
灌		kɔn5
括		kuat7
宽		kʰɔn1
阔		fat7
欢		fɔn1
完		iɛn2
丸		iɛn2
换		fɔn5
活		fat8
碗		vɔn3
顽		van2
猾		vat8
挖		vat7
闩		tʰɔn1
刷		ʃɔt7
关		kuan1
惯		kuan5
刮		kuat7
还	归~	van2
弯		van1
全		tʰɔn2
绝		tʰiɛt8
雪		θiɛt7
转	~身	tʃɔn3
传	~达	tʃʰɔn2
砖		tʃɔn1
穿		tʃʰɔn1
船		ʃɔn2
说	小~	ʃɔt7
软		niɔn1
卷	~起	kiɛn3
圈	圆~	kʰiɛn1
拳		kʰiɛn2
权		kʰiɛn2
圆		iɛn2
缘		iɛn2
反		fan3
发		fatx7
翻		fan1
烦		fan2
饭		fan5
罚		fat8
万		van5
袜		mat7
劝		kʰiɛn5
元		iɛn2
原		niɛn2
月		niɛt8
冤		iɛn1
远		iɛn3
决		kʰiɛt7
缺		kʰiɛt7
血		hiɛt7
县		iɛn5
穴		iɛt8
吞		tʰun1
根		kɛn1
痕		hɛn2
恨		han5
恩		ɛn1
宾		pin1
笔		pit7
匹		pʰit7
贫		pʰin2
民		min2
敏		min3
密		mit8
蜜		mit8
麟		lin2
栗		lit7
进		θin5
亲		tʰin1
七		tʰit7
尽		tʰin5
新		θin1
信		θin5
镇		tʃin5
陈		tʃʰin2
真		tʃin1
质		kip7
神		ʃin2
实		ʃit8
身		ʃin1
失		ʃit7
肾		ʃin5
人		nin2
忍		niun1
认		nin5
日		nit7
巾		kin1
紧		kin3
银		niun2
因		in1
印		in5
一		it7
引		in3
斤		kin1
筋		kin1
勤		kʰin2
近		kʰun1
本		pun3
不		put7
盆		pʰun2
笨		pun5
门		mun2
墩		tun1
顿		tun5
突		tʰut7
嫩		nun5
论		lun5
尊		θun1
卒		θut7
村		tʰun1
寸		tʰun5
孙		θun1
滚		kun3
骨		kut7
綑		kʰun3
困		kʰun5
昏		vun1
忽		vut8
混		hun3
温		vun1
律		lut7
遵		θun1
笋		θun3
榫		θun3
准		tʃun3
春		tʃʰun1
出		tʃʰut7
顺		ʃun5
纯		ʃun2
闰		iun5
橘		kit7
菌		kʰun1
允		vun1
分		fun1
粪		pun5
坟		fun2
佛		fut8
蚊		mun2
问		mun5
物		vut7
军		kun1
屈		kʰut7
裙		kʰun2
熏		vun1
勋		vun1
训		vun5
云		vun2
运		vun5
帮		pɔŋ1
博		pɔk7
薄		pʰɔk8
忙		mɔŋ2
莫		mɔk8
膜		mɔk8
摸		mɔ1
党		tɔŋ3
汤		tʰɔŋ1
托		tʰɔk7
堂		tʰɔŋ2
糖		tʰɔŋ2
荡		tʰɔŋ5
郎		lɔŋ2
狼		lɔŋ2
浪		lɔŋ5
落		lɔk8
葬		θɔŋ5
作		θɔk7
仓		tʰɔŋ1
凿		tʰɔk8
桑		θɔŋ1
钢		kɔŋ1
各		kɔk7
糠		hɔŋ1
抗		kʰɔŋ5
行	银~	hɔŋ2
航		hɔŋ2
恶	善~	ɔk7
娘		niɔŋ2
凉		liɔŋ2
粮		liɔŋ2
两	~个	liɔŋ3
两	几~	liɔŋ1
浆		θiɔŋ1
蒋		θiɔŋ3
酱		θiɔŋ5
雀		tʰiɔk7
枪		tʰiɔŋ1
抢		tʰiɔŋ3
墙		tʰiɔŋ2
箱		θiɔŋ1
想		θiɔŋ3
削		θiɔk7
象		θiɔŋ5
像	~不~	tʰiɔŋ5
张		tʃɔŋ1
长	生~	tʃɔŋ3
帐		tʃɔŋ5
着	穿~	tʃɔk7
着	睡~	tʃʰɔk8
长	~短	tʃʰɔŋ2
肠		tʃʰɔŋ2
丈		tʃʰɔŋ5
装		θɔŋ1
壮		θɔŋ5
疮		tʰɔŋ1
床		tʰɔŋ2
霜		θɔŋ1
爽		θɔŋ3
章		tʃɔŋ1
掌		tʃɔŋ3
昌		tʃʰɔŋ1
厂		tʃʰɔŋ3
唱		tʃʰɔŋ5
瓤		nɔŋ2
让		niɔŋ5
弱		niɔk8
伤		ʃɔŋ1
常		ʃɔŋ2
尝		ʃɔŋ2
上	~山	ʃɔŋ1
上	~面	ʃɔŋ5
姜	生~	kiɔŋ1
脚		kiɔk7
强	~大	kʰiɔŋ2
香		hiɔŋ1
乡		hiɔŋ1
响		hiɔŋ3
向		hiɔŋ5
秧		iɔŋ1
约		iɔk7
羊		iɔŋ2
杨		iɔŋ2
痒		iɔŋ3
样		iɔŋ5
光		kɔŋ1
郭		kɔk7
荒		fɔŋ1
谎		fɔŋ3
黄		vɔŋ2
方		fɔŋ1
放		fɔŋ5
纺		fɔŋ3
房		fɔŋ2
网		mɔŋ3
望		mɔŋ5
筐		kʰɔŋ1
狂		kʰɔŋ2
王		vɔŋ2
绑		pɔŋ3
剥		pɔk7
桌		θɔk7
戳		tʰɔk7
捉		θuk7
窗		tʰuŋ1
双		θuŋ1
江		kɔŋ1
港		kɔŋ3
角		kɔk7
壳		hɔk7
巷		hɔŋ5
学		hɔk8
北		pɛk7
墨		mɛk7
灯		tɛn1
等		tɛn3
得		tɛk7
藤		tʰɛn2
特		tʰak8
能		nɛn2
层		tʰɛn2
贼		tʰɛk8
肯		hɛn3
刻		kʰak7
黑		hɛk7
冰		pin1
逼		pit7
力		lit8
熄		θit7
直		tʃʰit8
色		θɛk7
蒸		tʃin1
证		tʃin5
织		tʃit7
称	一杆~	tʃʰin5
绳		ʃin2
食		ʃit8
升		ʃin1
识		ʃit7
极		kʰit8
兴	~旺	hin1
兴	高~	hin5
应	~当	in5
应	~对	in5
蝇		in2
国		kɔk7
百		pak7
伯		pak7
彭		pʰaŋ2
白		pʰak8
猛		maŋ3
孟		muŋ5
撑		tʰaŋ1
拆		tʰak7
生		θaŋ1
省		θɛn3
格		kak7
坑		kʰaŋ1
客		kʰak7
硬		ŋaŋ5
额		ak7
吓		hak7
行	~走	haŋ2
棚		pʰaŋ2
麦		mak8
脉		mak7
摘		θak7
争		θaŋ1
隔		kak7
兵		pin1
柄		pin3
平		pʰin2
病		pʰiaŋ5
明		min2
命		miaŋ5
