#i
p[55]碑卑篦[31]彼鄙比髀[33]闭臂秘泌庇痹
k[55]皆阶佳街乖[31]解{～放}解{押～}偈拐[33]介界芥疥届戒怪诫
kʰ[55]□{提}[31]楷[33]块快筷
ŋ[55]□{蹲}[13]我涯崖挨
h[55]□{女阴}[13]鞋[31]谐械懈蟹[33]骇
∅[55]埃[31]矮[33]隘□{动,训斥}

#iai
ȵ[55]□{双手递}[33]□{嚼}

#ɐi
p[55]标表{手～}飙镖猋瀌□{～脚：跛脚}[31]表{外～}裱
pʰ[55]飘漂{～浮}漂{～亮}鳔[13]嫖[33]漂{～白}票
m[55]某亩[13]苗描谋[31]渺秒妙茂瞄缈[33]猫庙贸
f[13]否
t[55]低[31]底斗{北～}抖陡蚪[33]斗{争～}窦
tʰ[55]偷[13]头投[31]敨□{～气：呼吸}[33]豆逗痘
n[13]泥{水～}尼[33]□{皱}[31]纽钮
ɬ[55]消宵霄硝销逍嚣馊搜{～集}萧箫[13]愁[31]少{年～}小搜{～查}[33]笑瘦兽
l[13]犁黎楼篓骝[31]荔搂[33]漏陋□{～口水}
ts[55]朝{今～}昭招诏烧焦蕉椒礁[31]剿走[33]照
tsʰ[55]超[13]朝{清～}潮憔[33]赵兆
ȵ[31]晓
s[13]韶绍
k[55]骄娇钩沟勾[31]矫狗缴枸[33]苟垢够构购叫
kʰ[55]蹻□{抓}[13]乔侨桥荞翘藠[31]巧窍[33]俏轿叩扣寇
ŋ[13]危[31]伪魏藕
h[55]厚侥㞓[13]侯喉猴[31]口{开～}[33]后候
∅[55]欧鸥殴区{姓～}[31]袄呕[33]奥懊澳沤怄□{吭声}

#iɐi
∅[55]妖邀腰要幺[13]摇谣窑姚遥□{形，差劲}[31]扰舀[33]耀

#iui
∅[31]乳蕊[33]锐

#ui
p[55]杯[33]贝辈
pʰ[13]倍肥[33]配沛佩
m[55]每美尾[33]昧痱味
f[55]非飞妃翡挥辉徽啡霏菲[13]回汇{～集}茴[31]悔毁匪[33]会{～计}贿晦费讳汇{～报}废肺惠慧会{开～}绘荟
v[55]委微威[13]为{行～}维惟唯围违苇卫韦[31]萎畏伟纬痿猥尉[33]喂为{～了}位未慰胃谓猬彗薇蔚
t[55]堆[33]对兑
tʰ[55]推[13]颓[31]腿[33]退队蜕
n[33]内
ɬ[55]须需虽[31]瑞遂隧穗[33]绪淬碎
l[55]吕旅屡垒闾榈侣[13]雷儡擂蕾[31]累{积～}累{连～}铝[33]虑滤累{劳～}类泪
ts[55]追锥□{秽～：脏}[33]缀赘醉坠最
tsʰ[55]催崔吹炊摧璀[13]随垂槌锤陲髓[31]取[33]序叙趣聚罪脆翠粹悴萃
s[13]谁[31]水
k[55]龟归闺硅[31]轨鬼[33]癸季贵鳜桂
kʰ[55]盔规亏窥[13]魁傀逵葵奎[31]跪[33]愧柜溃
ŋ[31]诡

#ɔi
p[33]背{后～}
pʰ[55]胚坯[13]培陪赔裴[33]吠背{～书}
m[13]梅枚玫媒煤脢莓霉[33]妹
f[55]恢灰
tʰ[55]胎苔{舌～}梯[13]台苔{青～}抬枱[33]贷待怠代袋
n[33]耐奈捺
ɬ[55]腮鳃[33]岁
l[13]来
ts[55]灾栽[31]宰[33]再载{年～}载{～重}嘴
tsʰ[55]载{满～}[13]才材财裁豺[31]彩采睬[33]菜蔡
s[33]睡税帅
k[55]该赅[13]凯[31]改[33]盖
kʰ[31]慨[33]概丐钙铠癐
ŋ[33]碍外艾{～滋病}
h[55]开[13]□{形，痒}[31]海[33]亥害
∅[55]哀[33]爱

#au
p[55]包胞苞鲍[31]饱[33]豹爆龅
pʰ[55]抛[13]袍刨[31]抱跑[33]脬炮泡
m[55]卯铆[13]茅矛[31]藐[33]冒貌
n[55]嬲[33]闹
ɬ[55]梢稍[13]□{粗鲁地吃}[33]潲
l[55]捞䄛□{搅拌}
ts[31]爪找笊[33]罩
tsʰ[55]操抄钞[13]巢嘲{～笑}曹槽嘈[31]炒吵[33]躁肇召{号～}召{～集}晁燥{干～}
s[33]邵少{多～}
k[55]膏交郊胶跤蛟姣[31]狡搞搅较校{学～}饺[33]教{～书}教{～训}校{～对}窖觉{睡～}
kʰ[31]考[33]靠犒
ŋ[55]咬[13]熬尧遨敖[33]傲
h[55]烤拷酵敲[31]效郝[33]好{喜～}号{～叫}孝
∅[55]□{诬陷，冤枉}[33]拗

#iau
t[55]刁貂雕鸟{禽～}碉[31]鸟{屌}屌□{倒}[33]悼钓吊
tʰ[55]挑{肩～}[13]条调{协～}[31]挑{～战}[33]跳调{～查}
n[55]□{粘}[33]尿
l[55]鹩[13]疗聊辽僚嘹瞭镣潦缭[31]了[33]料廖□{动，玩}
ȵ[55]饶挠[13]绕
kʰ[13]樵

#iu
t[55]丢
n[31]扭
ɬ[55]修羞[33]秀绣锈
l[55]柳溜[13]流刘留榴硫琉馏浏
ts[55]周舟州洲邹[31]酒[33]昼纣宙胄皱咒
tsʰ[55]秋鳅抽[13]售囚绸稠筹仇{恩～}酬仇{姓～}[31]丑[33]袖臭
ȵ[13]牛[33]绉
s[55]□{动，躲藏}收[31]手首守狩[33]受寿授
k[31]九久韭灸[33]救究疚
kʰ[55]丘蚯舅邱□{新～：儿媳妇}[13]求球裘[33]旧柩
∅[55]休优有友悠酉幽忧[13]柔揉尤邮由油游犹柚鱿[31]莠[33]又右佑诱幼

#am
f[13]帆梵[33]泛范犯
t[55]□{叼}耽担{承～}[31]胆[33]担{重～}
tʰ[55]贪坍[13]潭谭谈痰[31]袒[33]探淡
n[13]男南喃腩[31]□{拇指与食指张开的距离}[33]□{跨}
ɬ[55]三衫
l[13]蓝篮□{栓}[31]览揽榄缆[33]滥
ts[55]粘瞻占{～卜}詹[31]斩[33]占{～领}湛
tsʰ[55]参{～加}搀[13]蚕惭蟾[31]惨渗[33]站忏暂□{～□ha}[55]{：旁边}
s[55]杉[13]婵蝉禅{坐～}[31]陕闪险嫌
k[55]甘柑尴监[31]感敢橄减咁[33]鉴
ŋ[55]啱[13]癌岩[31]□{～头：点头}
h[13]函咸{～阳}衔涵[31]□{碓～：臼}[33]撼憾喊陷馅
∅[55]庵鹌[33]暗

#iam
t[55]踮[31]典点[33]垫店
tʰ[55]添[13]甜
l[13]廉镰帘
ts[55]尖
tsʰ[55]签纤[13]潜[33]渐
ȵ[55]拈[13]炎焰阎严艳檐[31]□{沾上，蘸}[33]染验念
k[55]兼[31]检俭[33]舰
kʰ[55]谦[13]钳□{舔}[33]欠歉
∅[55]阉[13]盐[31]掩[33]厌

#ɐm
p[55]冧
t[33]□{迟钝}
tʰ[33]□{动，逗}□{窝～：小水坑}
n[13]□{水果熟透变软}[31]恁
ɬ[55]森参{人～}
kʰ[13]蟾□{盖起来}
h[13]含

#im
ɬ[55]心
l[13]林淋临[33]赁
ts[55]砧针斟[31]寝枕[33]浸
tsʰ[55]侵深[13]寻沉
ȵ[13]壬任{姓～}[31]饮[33]任{责～}
s[31]沈审婶[33]甚
k[55]今金襟[31]锦[33]禁
kʰ[55]钦□{结实耐用}[13]岑琴禽擒
∅[55]音阴荫[13]吟淫

#an
p[55]班斑颁般搬[31]扳板版[33]半
pʰ[55]攀潘[13]盘盆[31]绊伴拌[33]瓣办判扮盼叛
m[55]满[13]蛮瞒顽馒[33]慢漫幔万蔓曼
f[55]翻番蕃[13]凡烦繁矾樊[31]反返[33]患贩饭
v[55]弯湾[13]幻还{归～}还{～是}环[31]腕挽
t[55]丹单{孤～}[33]旦诞
tʰ[55]滩摊瘫[13]檀坛弹{～琴}[31]毯坦[33]炭叹但弹{子～}蛋
n[13]难{困～}[33]难{患～}
ɬ[55]山[31]散{松～}[33]散{解～}汕
l[55]懒[13]兰拦栏[33]烂
ts[55]毡[31]盏碾展攒[33]战赞绽栈荐
tsʰ[55]餐[13]残缠泉[31]铲产[33]赚{(欺骗)}赚{～钱}谗馋灿
s[55]鳝扇{搧风}煽删珊姗[13]贤弦舷玄悬炫[31]演显蚬[33]疝宪现
k[55]艰间{中～}奸关[31]碱简拣谏锏茧[33]间{～隔}涧惯
kʰ[31]款
ŋ[13]颜研[31]眼□{量词，一～屋：一间屋}[33]雁
h[13]闲[31]刊[33]苋
∅[31]堰[33]晏宴

#iɛn
p[55]鞭边蝙辫[31]扁匾贬[33]变辩
pʰ[55]编篇偏[13]便{～宜}[33]骗辨汴便{方～}遍{～地}遍{一～}片
m[55]免勉敏[13]绵棉眠[31]娩缅[33]面
t[55]颠癫巅
tʰ[55]天[13]田填[33]电殿奠
ɬ[55]仙鲜先宣喧[13]羡旋{回～}旋{～风}漩[31]癣选[33]线
l[13]连怜莲[31]敛殓[33]练炼恋链
ts[55]煎[31]剪践[33]箭
tsʰ[55]迁千[13]钱前[31]浅[33]溅贱
ȵ[13]然燃言原源年□{（用指甲）掐}[31]□{小口咬}□{～颈：掐脖子}
k[55]肩坚绢捐鹃娟涓[31]趼卷{翻～}卷{试～}[33]建键健见圈{猪～}券剑
kʰ[55]轩牵圈{圆～}□{掀开，翻开}[13]乾虔拳权颧[31]遣犬[33]件劝
h[33]献
∅[55]烟胭冤鸳{～鸯}渊姻[13]完丸圆员缘沿铅元袁辕园猿长臂{～远}猿{～猴}[33]谚延砚燕{姓～}燕{～子}咽院怨县

#ɐn
p[55]崩奔
pʰ[13]朋凭{文～}[33]凭{依～}
m[55]焖[13]萌盟{联～}盟{未曾}
f[13]奋愤忿
t[55]登灯澄{～水}丁钉叮[31]等[33]凳
tʰ[55]听[13]腾誊藤疼[33]邓瞪
n[13]能宁{安～}狞咛泞[33]宁{～可}佞□{乳房}
ɬ[55]星猩[31]省{全～}
l[13]楞零[31]□{陡}[33]另
ts[55]毡曾{姓～}增憎僧赠
tsʰ[13]曾{～经}层
k[55]跟[31]梗更{～加}耿
h[13]痕恒衡杏[31]很肯恳垦顷[33]限狠恨幸
∅[55]恩

#in
p[55]禀宾槟殡冰兵缤斌滨鬓[33]并{合～}
pʰ[13]贫频苹瓶屏萍濒[31]品[33]聘拼{打～}
m[55]蚊[13]民鸣明冥{～币}瞑酩[31]悯闽皿[33]□{～头，摇头}
f[13]□{甩}
t[33]□{～圈：绕圈}[31]鼎[33]订
tʰ[13]亭停廷庭蜓婷[31]挺[33]淀定
ɬ[55]辛新薪锌[33]信
l[13]邻鳞燐磷陵凌菱绫灵铃伶龄{年～}琳霖麟聆羚苓玲[33]令
ts[55]睛津珍真征{～求}蒸精晶贞侦[31]拯整诊疹[33]镇进晋振震证症正{～式}政
tsʰ[55]亲{母～}亲{～家}称{自～}清{澄～}[13]秦陈尘臣澄{～清}橙{柑～}惩乘承丞情呈程[31]逞[33]靖尽{～管}趁阵称{相～}秤静
ȵ[13]人仁[33]认
s[55]身申伸娠升呻绅[13]神辰晨绳[33]肾慎盛剩胜{～任}圣
k[55]根巾斤筋京荆经倾[31]紧仅谨境景警擎[33]敬竟竞径劲
kʰ[55]□{动，聊，商量}□{鸡胗}[13]勤芹鲸琼[33]庆兴{高～}
h[55]欣兴{时～}馨[33]衅
∅[55]因殷应{～当}鹰莺鹦樱英婴缨□{～水：凉水}[13]寅蝇盈莹萤[31]孕引蚓尹颖□{够～：累}[33]印应{响～}□{摁}

#iun
ȵ[55]忍[13]银[33]润闰酝韵刃韧
∅[13]匀云耘芸[31]隐允永泳咏[33]运

#un
p[31]本[33]笨粪
pʰ[55]□{厚}[33]喷{～水}
m[55]扪[13]门们[33]闷问
f[55]婚分{划～}吩{～咐}芬纷熏{烟～}勋荤氛[13]昏{～暗}魂浑{～浊}焚坟[31]粉[33]份分{本～}训
v[55]温瘟[13]浑{水～}文纹闻馄[31]稳吻刎搵[33]□{关押}
t[55]敦墩蹲[31]顿钝遁盾
tʰ[55]吞饨[13]屯豚臀囤
n[33]嫩
ɬ[55]孙[13]荀旬循巡殉询徇[31]损笋榫[33]讯逊迅驯
l[13]仑伦轮论{～语}[33]论{议～}
ts[55]尊遵樽[31]准{批～}□{捡}[33]俊骏峻竣
tsʰ[55]村椿春[13]纯醇存鹑[31]蠢忖[33]衬寸
s[13]唇塍[33]顺舜
k[55]均钧君军[31]滚[33]棍郡
kʰ[55]近昆{～明}坤[13]群裙[31]捆混菌[33]困{～难}困{眼～}

#ɔn
p[55]□{把事物的里面翻到外面}
f[55]欢[33]缓焕
v[31]皖碗惋宛婉莞豌[33]唤换涣痪
t[55]端[31]短
tʰ[55]断{砍～}[13]团{～结}[33]锻段缎
n[55]暖
ɬ[55]酸[33]算蒜
l[13]联鸾銮孪[33]乱
ts[55]钻{～研}专砖[31]转{运～}转{～动}□{碾碎}[33]钻{电～}篆
tsʰ[55]闩拴栓川穿[13]全传{流～}[31]喘[33]窜篡撰传{～记}串
s[13]船
k[55]干{～涉}肝官棺观{参～}冠{衣～}[31]赶管馆[33]竿杆{旗～}秆干{骨～}贯灌罐观{寺～}冠{夺～}
kʰ[55]宽
ŋ[33]岸
h[55]看{～守}鼾旱[13]寒韩[31]罕[33]看{小～}汉汗焊翰
∅[55]安鞍[33]按案援

#iɔn
ȵ[55]软阮

#ɛŋ
p[13]膀
pʰ[13]彭膨棚庞
m[55]猛孟[13]盲[31]蜢
v[13]横{纵～}
tʰ[33]□{赶人，赶东西}
ɬ[55]生牲笙甥
l[55]冷□{毛线}
ts[55]争筝睁正{～月}挣踭
tsʰ[55]撑[33]郑
s[55]声[13]成城诚
k[55]更{～换}庚羹耕
kʰ[31]□{动，噎住}
ŋ[33]硬
h[55]亨哼[13]行{罪～}
∅[55]□{坛子}

#iɛŋ
p[55]柄[31]饼丙秉
pʰ[13]平坪评[33]病□{～出去：赶出去}
m[13]名铭[33]命{短～}
t[55]□{拿}[31]顶[33]□{蒂}
tʰ[31]艇
ɬ[55]腥相{互～}箱厢湘镶[31]醒想[33]省{反～}性姓相{长～}象像橡
l[55]领岭辆[13]良凉量{测～}粮梁粱[31]两{～个}俩[33]靓亮谅量{数～}
ts[55]将{～来}浆[31]井蒋奖桨[33]酱将{大～}
tsʰ[55]清{水很～}青蜻枪[13]晴墙详祥翔[31]请抢[33]净匠
k[55]惊{～}[31]颈[33]镜
kʰ[55]轻
∅[13]形型刑迎赢营[31]影映□{挡}

#øŋ
p[55]帮邦[31]榜绑[33]谤傍
pʰ[13]滂旁螃[33]棒
m[55]芒{～种}[13]忙茫亡氓[31]莽蟒网[33]忘妄望
f[55]荒慌方肪芳坊[13]房防[31]谎恍纺仿访妨[33]放
v[55]汪往[13]黄簧皇蝗王凰隍磺蟥煌[31]枉[33]旺
t[55]当{应～}铛[31]党挡档[33]裆当{妥～}荡
tʰ[55]汤劏[13]堂棠螳唐糖塘膛搪[31]倘躺淌[33]烫趟
n[13]囊□{背～：脊椎骨}
ɬ[55]桑霜孀[31]嗓爽[33]丧{～失}丧{婚～}
l[55]□{涮洗，漱口}[13]郎廊狼螂榔[31]朗埌[33]浪
ts[55]赃脏{肮～}张庄装妆章樟桩彰[31]长{生～}涨{～水}掌[33]壮葬藏{宝～}脏{五～}帐账胀涨{～大}杖仗{打～}障瘴
tsʰ[55]仓苍疮昌菖倡沧舱鲳娼猖[13]偿藏{隐～}长{短～}肠床常尝嫦[31]场闯创{～伤}创{～造}厂敞[33]畅丈状唱撞
s[55]上{～山}商伤香乡[13]裳[31]赏享响[33]尚向上{天～}
k[55]冈岗刚纲缸光胱江豇扛肛[31]广讲港[33]钢杠降{下～}
kʰ[55]康慷匡筐眶框{相～}诓[13]狂[33]抗旷扩况矿{煤～}
ŋ[55]仰[33]□{呆傻}
h[55]糠[13]行{银～}航杭降{投～}项巷[31]□{霉}

#iøŋ
ȵ[13]娘[31]嚷壤穰[33]让酿
k[55]疆僵姜{生～}缰姜{姓～}
kʰ[55]腔[13]强{坚～}[31]强{勉～}
∅[55]央秧殃养鸯泱[13]羊洋烊杨阳扬佯[33]疡恙{无～}样漾

#oŋ
pʰ[55]塳[13]绷蓬篷[31]捧[33]碰□{量词，一～葡萄}
m[55]檬[13]蒙矇濛朦[31]懵[33]梦□{钝}
f[55]风枫疯丰封峰蜂锋烽[13]红洪鸿虹冯逢缝{～补}弘宏[31]讽[33]凤奉俸缝{裂～}
t[55]东冬[31]董懂[33]冻栋侗戙
tʰ[55]通[13]同铜桐筒童瞳[31]桶捅统[33]痛动洞
n[55]燶[13]农脓浓蠰□{背～：脊椎骨}[31]侬□{小孩，侬}
ɬ[55]双松{放～}嵩[31]怂耸[33]送宋颂讼
l[55]聋窿[13]笼{鸟～}胧隆龙陇咙珑[31]拢
ts[55]棕宗综中{当～}忠衷{由～}终踪{跟～}钟{闹～}盅踪{～迹}鬃衷{～心}[31]总种{品～}肿[33]粽中{打～}仲众纵{～横}种{耕～}
tsʰ[55]窗聪匆葱囱冲{～水}充重{轻～}舂[13]丛虫崇从{～容}从{跟～}松{樅树}重{双～}[31]宠[33]诵涌
s[55]胸兄匈{～牙利}凶{吉～}匈{～奴}汹[13]熊雄
k[55]公蚣工功攻弓躬宫恭供{～应}龚[31]拱巩[33]贡供{上～}□{～身：起身}
kʰ[55]空{天～}空{～缺}[13]穷[31]孔恐[33]控共
∅[55]□{埋}[31]□{动，推}[33]瓮蕹

#ioŋ
∅[55]庸臃邕翁拥佣[13]荣戎绒融茸容蓉镕溶{～洞}熔榕[31]冗勇蛹踊恿俑[33]用

#ap
t[3]答{～应}答{回～}搭
tʰ[3]塔遢榻塌□{软～～:很软}[5]沓踏
n[5]纳
ɬ[3]□{圾，垃～}[5]□{动，理会}
l[3]□{垃，～圾}[5]腊蜡猎
ts[3]折{～叠}
tsʰ[3]插[5]缉辑铡杂闸
s[3]摄涉□{～□ha⁵⁵：腋窝}[5]协挟胁穴
k[3]甲胛佮□{□ɬo³³～:蟑螂}
h[5]合盒
∅[3]鸭

#iap
tʰ[3]帖{妥～}帖{请～}帖{字～}贴□{叠起（散乱的碗）}[5]叠碟蝶谍
n[3]□{凹陷}[5]□{一小撮}
l[3]□{食物塞牙缝里}
ts[3]接
tsʰ[5]捷
ȵ[5]业□{眨}□{折叠式卷起袖口}
s[3]□{垫}
k[3]劫□{涩}
kʰ[5]夹狭峡侠搛
∅[3]眨腌[5]页叶

#ɐp
n[3]粒
ɬ[3]涩
k[3]鸽蛤[5]□{用巴掌打}

#ip
l[5]立笠
ts[3]执汁
tsʰ[5]寂集习
s[3]湿[5]十什拾
k[3]急
kʰ[3]及级吸[5]极
∅[5]入

#at
p[3]八捌
pʰ[3]泼[5]拔卜{萝～}
m[3]抹袜
f[3]发{头～}发{启～}法伐筏阀阔[5]乏罚活
v[3]挖[5]滑猾
tʰ[5]达
ɬ[3]蚤萨杀煞刹
l[3]□{形容词，指太阳晒}[5]辣
ts[3]扎{针～}扎{包～}轧窄[5]□{□kʰa¹³～:蟑螂}
tsʰ[3]擦察刷
s[3]歇血
k[3]刮
kʰ[3]□{～头：锄头}□{咳嗽}□{一节、一段（甘蔗）}
ŋ[5]□{啃骨头}
∅[3]押压[5]握

#iat
tsʰ[3]彻撤
∅[3]乙[5]越悦阅粤

#iɛt
pʰ[5]别{分～}别{离～}
m[5]灭
t[3]秩跌
tʰ[3]铁
n[5]匿
ɬ[3]雪
l[5]列烈裂略劣
ts[3]节褶蛰哲辙折{挫～}
tsʰ[3]切{一～}切{～开}设[5]截绝
ȵ[5]热月
s[5]□{用拳头打人}
k[3]揭蝎结{～实}洁
kʰ[3]决诀缺[5]杰□{粥稠}
∅[5]抠

#ɐt
p[3]北
m[3]□{～菜：择菜}[5]密蜜墨默末没茉
v[5]惑或
t[3]得德
tʰ[5]特笛狄荻
n[5]□{动，粘}
ɬ[3]虱塞{堵～}塞{～给}色啬
l[3]簕[5]栗肋勒{～紧}勒{～索}
ts[3]浙则
tsʰ[3]厕侧{两～}测[5]贼
s[5]折{～本}舌
kʰ[3]刻{时～}克
h[3]黑乞核{审～}
∅[5]□{打～：打嗝}

#it
p[3]憋笔毕必逼碧
pʰ[3]僻辟撇{～开}撇{～捺}
f[3]□{扔}
t[3]踢剔惕的{～确}的{目～}滴[5]啲
tʰ[5]迪敌
ɬ[3]悉恤息熄惜昔析释
l[5]律率{效率}力历{经～}沥
ts[3]质{人～}帜质{品～}鲫织职积迹脊绩
tsʰ[3]七漆膝尺{～寸}戚[5]夕疾直值殖植籍藉{狼～}席
ȵ[3]日
s[3]失室识式饰适[5]实食蚀
k[3]桔橘击激吉
∅[3]一益驿奕弈忆[5]译液疫役逸亿翼易{交～}

#ut
p[3]不[5]□{～嘴，接吻}□{粥、汤溢出}
