上饶郑坊			
#汉字	解释	音标	
杯		puai1	
倍		buai2	
妹		muai2	
对		tuai5	
退		tʰuai5	
队		dʰui5	
罪		dzuai2	
碎		suai5	
块		kʰuai5	
灰		xui1	
回		uai2	
外		uai5	
会	开会	uai5	
怪		kuai5	
坏		uai5	
挂		kuᴀ5	
歪		uɛ1	
画		uᴀ5	
快		kʰuai5	
话	地方话	uA5	
岁		suai5	
税		suai5	
肺		fi5	
桂		kui5	
被	被单	bi2	
避		pi5	
离		liɛ2	
撕		tsɿ1	
知		tɕi1	
池		dzɤ2	
支		tɕi1	
是		dʑi2	
是		sɿ5	
儿		ȵi2	
寄		kɛ5	
骑		gi2	
徛	站	guai2	
蚁		ŋai1	
鼻		baʔ8	
眉		mi2	
姊		tɕi5	
死		sɤ3	
四		ɕi5	
迟		dzɤ2	
师		sɿ1	
二		ȵi5	
饥	饿	kuai1	
姨		i2	
李	姓	li2	
子		tsɤ3	
字		sɤ5	
祠		sɤ2	
柿		sɛ2	
事		sɛ5	
痣		tɕi5	
齿		tsʰɛ3	
市		ɕi2	
耳		ȵi2	
记		kɛ5	
起		kʰi3	
旗		gi2	
几	几个	kuai3	
几		kui3	
气		kʰi5	
嘴		tɕy3	
吹		tɕʰy1	
亏		kʰui1	
跪		kʰy3	
醉		tsuai5	
锤		dzuai2	
水		ɕy3	
龟		kui1	
柜		gʰy5	
飞		fi1	
肥		fi2	
尾		mi2	
鬼		kuai3	
贵		kui5	
围		ui2	
宝		pɑu3	
毛		mɑu2	
帽		mɑu5	
刀		tɑu1	
讨		tʰuɤ3	
桃		dɑu2	
道		dɑu2	
脑		nɑu2	
老		lɑu2	
早		tsɑu3	
草		tsʰuɤ3	
造		dzɑu5	
扫	扫地	suɤ1	
高		kɑu1	
熟		ŋɑu2	
好	好坏	xɑu3	
号	号数	xɑu5	
袄		ŋɑu2	
饱		pɑu3	
猫		mɑu1	
罩		tsɑu5	
抓		tsuᴀ1	
炒		tsʰɑu3	
咬		ŋɑu2	
表		piɑu3	
飘		biɑu2	
庙		miɑu5	
小		ɕiɑu3	
笑		tɕʰiɑu5	
朝	今朝	tɕiɑu1	
照		tɕiɑu5	
烧		ɕiɑu1	
少	多少	ɕiɑu3	
桥		giɑu2	
轿		giɑu2	
舀		iɑu2	
鸟		tiɑu3	
条		dʰiɑu2	
料		liɑu5	
叫		iɑu5	
苗		miəu2	
母		muɤ2	
斗	升斗	tɛi3	
头		dɛi2	
豆		dʰɛi5	
篓		lɛi2	
走		tɕiəu3	
狗		ku3	
够		kɛi5	
口		kʰɛi5	
藕		ŋɛi2	
后	前后	u2	
厚		xɛi2	
浮		fuɤ2	
谋		məu2	
流		lɛi2	
柳		lɛi2	
酒		tɕiəu3	
秋		tɕʰiəu1	
修		ɕiəu1	
袖		ɕiəu5	
昼		tɛi5	
皱		tɕiəu5	
愁		dʑiəu2	
瘦	训读字，本字不明	sɑu5	
臭		tɕʰiəu5	
手		tɕʰyɛ3	
受		ɕiəu2	
九		kɛi3	
久		kɛi3	
丘		kʰɛi1	
舅		gɛi2	
旧		gʰɛi5	
牛		ŋɛi2	
有		iəu2	
油		iəu2	
幼		iəu5	
贪		tʰãn1	
潭		dãn2	
南		nãn2	
蚕		suə̃n2	
暗		uə̃n5	
答		taʔ7	
踏		daʔ8	
杂		dzaʔ8	
合		xuaʔ8	
胆		tãn3	
担	名词	tãn5	
痰		dãn2	
淡		dãn2	
篮		lãn2	
三		sãn1	
甘		kuə̃n1	
敢		kuə̃n3	
喊		xãn3	
塔		tʰaʔ7	
蜡		laʔ8	
赚		dzãn2	
杉		sãn1	
减		kãn3	
咸		xãn2	
插		tsʰaʔ7	
狭		xaʔ8	
衫		sãn1	
嵌		kʰãn5	
甲		kaʔ7	
镰		liɛ̃n2	
尖		tɕiɛ̃n1	
占	霸占	tɕiɛ̃n5	
染		ȵiɛ̃n2	
钳		giɛ̃n2	
验		ȵiɛ̃n5	
猎		liaʔ8	
接		tɕiaʔ7	
叶	树叶	iaʔ8	
欠		kʰiɛ̃n5	
严		ȵiɛ̃n2	
业		ȵiaʔ8	
店		tiɛ̃n5	
添		tʰiɛ̃n1	
甜		diɛ̃n2	
嫌		iɛ̃n2	
垫		diaʔ8	
夹	夹菜	gaʔ8	
犯		fãn2	
法		faʔ7	
品		pʰɪ̃n3	
林		lɪ̃n2	
浸		tsɪ̃n5	
心		sɪ̃n1	
寻		sɪ̃n2	
沉		dzɪ̃n2	
参	人参	sɪ̃n1	
针		tsɪ̃n1	
深		sɪ̃n1	
金		kiɪ̃n1	
琴		giɪ̃n2	
阴		iɪ̃n1	
粒		laʔ8	
习		dʑiɛʔ8	
汁		tsaʔ7	
十		saʔ8	
急		kiɪʔ7	
吸		xiɪʔ7	
炭		tʰãn5	
蛋		dãn2	
难	难易	nãn2	
懒		lãn2	
伞		sãn3	
肝		kuə̃n1	
看	看见	kʰãn5	
岸		uə̃n5	
寒		xuə̃n2	
汗		xuə̃n5	
安		ŋãn1	
达		daʔ8	
辣		laʔ8	
割		kuaʔ7	
办		bãn2	
盏		tsãn3	
山		sãn1	
产		tsʰãn3	
间	中间	kãn1	
眼		ŋãn2	
八		paʔ7	
杀		saʔ7	
板		pãn3	
慢		mãn5	
奸		kãn1	
颜		ŋãn2	
瞎		xaʔ7	
变		piɛ̃n5	
骗		pʰiɛ̃n5	
便	便宜	biɛ̃n2	
面	脸	miɛ̃n5	
连		liɛ̃n2	
煎		tɕiɛ̃n1	
浅		tɕʰiɛ̃n3	
贱		ɕiɛ̃n5	
线		ɕiɛ̃n5	
战		tɕiɛ̃n5	
善		ɕiɛ̃n2	
件		giɛ̃n2	
演		iɛ̃n3	
灭		miaʔ8	
裂		liaʔ8	
折	折断	tɕiaʔ7	
舌		dʑiaʔ8	
折	折本	ɕiaʔ8	
热		ȵiaʔ8	
孽		ȵiaʔ8	
建		kiɛ̃n5	
言		ȵiɛ̃n2	
献		xɤ̃n5	
歇		xiaʔ7	
边		piɛ̃n1	
片		pʰiɛ̃n5	
天		tʰiɛ̃n1	
田		diɛ̃n2	
垫		diɛ̃n5	
年		ȵiɛ̃n2	
千		tɕiɛ̃n1	
前		dʑiɛ̃n2	
先		ɕiɛ̃n1	
肩		kiɛ̃n1	
见		kiɛ̃n5	
牵		kʰiɛ̃n1	
砚		ȵiɛ̃n2	
现		xiɛ̃n5	
撇	撇开	pʰiaʔ7	
篾		miaʔ8	
铁		tʰiaʔ7	
捏		laʔ8	
节		tɕiaʔ7	
切		tɕʰiaʔ7	
结		kiaʔ7	
判		pʰuə̃n5	
盘		buə̃n2	
拌		buə̃n2	
满		muə̃n2	
端		tuə̃n1	
短		tuə̃n3	
团		duə̃n2	
断	折断	dɪ̃n2	
暖		nuə̃n2	
乱		luə̃n5	
钻	名词	tsuə̃n5	
酸		suə̃n1	
算		suə̃n5	
官		kuə̃n1	
管		kuə̃n3	
灌		kuə̃n5	
欢		xuə̃n1	
完		uãn2	
丸		yɛ̃n2	
碗		uãn3	
钵		paʔ7	
末		maʔ8	
脱		tʰaʔ7	
捋		laʔ8	
阔		kʰuaʔ7	
活		uaʔ8	
滑		uaʔ8	
挖		uaʔ7	
闩		ɕyɛ̃n1	
关	关门	kuŋ	
关		kuãn1	
还	还钱	uãn2	
弯		uãn1	
刷		ɕyaʔ7	
全		dʑyɛn2	
转	转身	tyɛ̃n3	
砖		tɕyɛ̃n1	
船		ɕyɛ̃n2	
软		ȵyɛ̃n2	
卷	卷起	kyɛ̃n3	
拳		gyɛ̃n2	
圆		yɛ̃n2	
铅	铅笔	iɛ̃n2	
绝		dʑiaʔ8	
雪		ɕiaʔ7	
反		pãn3	
反		fãn3	
翻		fãn1	
烦		fãn2	
万		uãn5	
劝		kʰyɛ̃n5	
原		yɛ̃n2	
远		yɛ̃n3	
发	发财	faʔ7	
袜		maʔ8	
月		ȵyaʔ8	
县		xiɛ̃n5	
缺		kʰyaʔ7	
血		xyaʔ7	
吞		tʰuə̃n1	
根		kɤ̃n1	
恨		xɤ̃n5	
恩		ŋɤ̃n1	
贫		bɪ̃n2	
邻		lɪ̃n2	
进		tsɪ̃n5	
亲	亲人	tsʰɪ̃n1	
尽	尽心	dzɪ̃n2	
新		sɪ̃n1	
镇		tsɪ̃n5	
陈		dzɪ̃n2	
真		tsɪ̃n1	
神		sɪ̃n2	
身		sɪ̃n1	
认		ȵiɪ̃n5	
紧		kiɪ̃n3⁴	
银		ȵiɪ̃n2	
引		iɪ̃n2	
笔		pəʔ7	
匹		pʰəʔ7	
密		məʔ8	
栗		ləʔ8	
七		tɕʰiɛʔ7	
虱		saʔ7	
实		ɕiɛʔ8	
日		ȵiaʔ8	
一		iʔ7	
斤		kiɪ̃n1	
勤		giɪ̃n2	
近		gɤ̃n2	
本		puə̃n3	
门		məŋ2	
顿		tuə̃n5	
嫩		luə̃n5	
村		tsʰuə̃n1	
存		dzɪ̃n2	
孙		suə̃n1	
滚		kuɪ̃n3	
魂		uə̃n2	
浑	水浑	xuə̃n1	
混		xuɪ̃n5	
稳		uə̃n3	
卒		dʑyaʔ8	
骨		kuaʔ7	
轮		lɪ̃n2	
笋		ɕyɪ̃n3	
准		tɕyɪ̃n3	
春		tɕʰyɪ̃n1	
顺		ɕyɪ̃n5	
纯		ɕyɪ̃n2	
闰		yɪ̃n5	
匀		yɪ̃n2	
出		tɕʰyaʔ7	
橘		kyəʔ7	
分	分开	fuə̃n1	
粪		puə̃n5	
坟		fəŋ2	
文		uɪ̃n2	
蚊		uɪ̃n²	
问		muə̃n2	
军		kyɪ̃n1	
裙		gyɪ̃n2	
训		xyɪ̃n5	
云		yɪ̃n2	
运		yɪ̃n5	
佛		fəʔ8	
桌		tyaʔ7	
镯		dʑyaʔ8	
角		kaʔ7	
学		xaʔ8	
朋		bəŋ2	
灯		tɪ̃n1	
等		tɪ̃n3	
藤		dɪ̃n2	
能		nɪ̃n2	
层		sɪ̃n2	
肯		kʰɪ̃n3	
北		paʔ7	
墨		maʔ8	
得		taʔ7	
特		daʔ8	
贼		ɕiaʔ8	
刻		kʰaʔ7	
冰		pɪ̃n1	
蒸		tsɪ̃n1	
秤		tsʰɪ̃n5	
升		sɪ̃n1	
兴	兴旺	xiɪ̃n1	
应	应当	iɪ̃n1	
蝇		sɪ̃n1	
逼		pəʔ7	
力		ləʔ7	
直		dʑiɛʔ8	
色		saʔ7	
织		tɕiɛʔ7	
食		ɕiɛʔ8	
极		giɛʔ8	
翼		iaʔ8	
国		kuaʔ7	
彭		bəŋ2	
盲		mɑ̃ŋ2	
打		tai3	
冷		lɪ̃n2	
生		sɪ̃n1	
梗		kuɪ̃n3	
硬		ȵiɪ̃n5	
行	行为	xiɪ̃n2	
百		paʔ7	
白		baʔ8	
格		kaʔ7	
客		kʰaʔ7	
额		ŋaʔ8	
棚		bəŋ2	
蚌		bɑ̃ŋ2	
争		tsɪ̃n1	
耕		kiɪ̃n1	
麦		maʔ8	
摘		tsaʔ7	
隔		kaʔ7	
柄		pɪ̃n5	
平		bɪ̃n2	
病		bɪ̃n5	
镜		kɪ̃n5	
影		iɪ̃n3	
逆		ȵiɛʔ8	
饼		pɪ̃n3	
名		mɪ̃n2	
岭		lɪ̃n2	
井		tsɪ̃n3	
晴		sɪ̃n2	
静		dzɪ̃n2	
姓		sɪ̃n5	
正	正反	tsɪ̃n5	
声		sɪ̃n1	
城		sɪ̃n2	
颈		kiɪ̃n3	
轻		kʰiɪ̃n1	
赢		iɪ̃n2	
脊		tɕiɛʔ7	
席	草席	ɕiɛʔ8	
只	一只	tɕiɛʔ7	
尺		tɕʰiɛʔ7	
石		ɕiaʔ8	
瓶		bɪ̃n2	
钉	动词	tɪ̃n5	
听		tʰɪ̃n1	
定		dɪ̃n5	
灵		lɪ̃n2	
青		tsʰɪ̃n1	
醒		sɪ̃n3	
经		kiɪ̃n1	
壁		pəʔ7	
滴		təʔ7	
笛		dəʔ8	
戚		tɕʰiɛʔ7	
锡		ɕiɛʔ7	
矿		kʰɑ̃ŋ5	
横	横直	uɪ̃n2	
轰		xuŋ1	
划	划火柴	uaʔ8	
兄		xɤ̃n1	
荣		iuŋ2	
营		iuŋ2	
蓬		bəŋ2	
蒙		məŋ1	
蒙		məŋ2	
东		tuŋ1	
懂		tuŋ3	
桶		duŋ2	
动		duŋ2	
洞		dʰuŋ5	
聋		luŋ2	
粽		tsuŋ5	
葱		tsʰuŋ1	
送		suŋ5	
公		kuŋ1	
空	空气	kʰuŋ1	
红		uəŋ2	
木		məʔ8	
读		dəʔ8	
禄		ləʔ8	
族		dzəʔ8	
谷		kuəʔ7	
屋		uəʔ7	
冬		tuŋ1	
脓		luŋ2	
松	轻松	suŋ1	
屈		kʰyaʔ7	
帮		pɑ̃ŋ1	
旁		bɑ̃ŋ2	
忙		mɑ̃ŋ2	
党		tɑ̃ŋ3	
汤		tʰɑ̃ŋ1	
糖		dɑ̃ŋ2	
浪		lɑ̃ŋ5	
葬		tsɑ̃ŋ5	
仓		tsʰɑ̃ŋ1	
桑		ɕiɑ̃ŋ1	
钢		kɑ̃ŋ1	
行	行列	xɑ̃ŋ2	
薄		baʔ8	
托		tʰaʔ7	
落		laʔ8	
作		tsaʔ7	
凿		dzaʔ8	
索		saʔ7	
各		kaʔ7	
恶	善恶	ŋaʔ7	
娘		ȵiãn2	
量	动词	liãn2	
两	两个	liãn2	
奖		tɕiãn3	
枪		tɕʰiãn1	
墙		ɕiãn2	
匠		ɕiãn5	
像	相像	ɕiãn2	
张	量词	tiãn1	
帐	蚊帐	tiãn5	
长	长短	diãn2	
肠		sɑ̃ŋ5	
丈		dʑiãn2	
装		tɕiɑ̃ŋ1	
疮		tɕʰiɑ̃ŋ1	
床		ɕiɑ̃ŋ2	
霜		ɕiɑ̃ŋ1	
章		tɕiãn1	
唱		tɕʰiãn5	
伤		ɕiãŋ1	
尝		ɕiãŋ2	
上	动词	dʑiãŋ2	
瓤		nɑ̃ŋ2	
让		ȵiãn5	
姜		kiãn1	
乡		xiãn1	
响		xiãn3	
秧		iãn1	
羊		iãn2	
养		iãn2	
掠		liaʔ8	
嚼		ɕiaʔ8	
削		ɕiaʔ7	
着	穿	tiaʔ7	
着	睡着	diaʔ8	
勺		ɕiaʔ8	
脚		kiaʔ7	
药		iaʔ8	
光		kuɑ̃ŋ1	
荒		xɑ̃ŋ1	
黄		uɑ̃ŋ2	
郭		kuaʔ7	
方		fɑ̃ŋ1	
房		fɑ̃ŋ2	
网		məŋ2	
望		mɑ̃ŋ2	
狂		gɑ̃ŋ2	
旺		uɑ̃ŋ5	
缚		baʔ8	
绑		pɑ̃ŋ3	
桩		tɕiɑ̃ŋ1	
撞		dʑʰiɑ̃ŋ5	
窗		tɕʰiɑ̃ŋ1	
双		ɕiɑ̃ŋ1	
江		kɑ̃ŋ1	
讲		kɑ̃ŋ3	
腔		kʰiãn1	
剥		paʔ7	
雹		baʔ8	
毒		dəʔ8	
风		fəŋ1	
凤		fəŋ2	
梦		məŋ5	
中	中间	tuŋ1	
虫		dʑiuŋ2	
统		tɕʰiuŋ5	
绒		iuŋ2	
弓		kuŋ1	
穷		giuŋ2	
熊		xiuŋ2	
服		fəʔ8	
目		məʔ8	
六		ləʔ8	
竹		təʔ7	
畜	畜牲	tɕʰyaʔ7	
叔		ɕyəʔ7	
熟		ɕyəʔ8	
肉		ȵyəʔ8	
曲	酒曲	kʰaʔ7	
缝	缝隙	fəŋ5	
浓		ȵiuŋ2	
龙		luŋ2	
从	从来	dzuŋ2	
松	松树	suŋ²	
重	轻重	dʑiuŋ2	
肿		iuŋ3	
葱		iuŋ1	
供	供养	kuŋ1	
共	共用	gʰiuŋ5	
凶		xiuŋ1	
用		iuŋ5	
绿		ləʔ8	
足		tsəʔ7	
粟		səʔ7	
俗		səʔ8	
烛		tɕyəʔ7	
曲	弯曲	kʰyəʔ7	
局		gyəʔ8	
玉		ȵyəʔ8	
