V1	V2	V2	
tai	6	33	袋
tʰai	1	55	胎
tsʰai	5	223	菜
kai	3	42	改解
kʰai	1	55	開
xai	6	33	害
mai	6	33	賣
ŋai	5	223	愛
pai	3	42	擺
kai	1	55	該街
xai	3	42	海
mai	3	42	買
ŋai	3	42	矮
pau	6	33	抱
pʰau	5	223	炮
tau	6	33	道
tʰau	2	13	桃
tsau	5	223	灶
sau	3	42	嫂
tsʰau	5	223	糙
tʂau	5	223	罩照
ʂau	2	13	勺
ʐau	5	223	繞
tʂʰau	2	13	朝
kau	1	55	高
kʰau	5	223	靠
xau	6	33	號
mau	2	13	毛
nau	6	33	鬧
ŋau	2	13	熬
pau	3	42	寶飽
tau	1	55	刀
tʰau	3	42	討
tsau	6	33	造
tsʰau	3	42	草
tʂau	3	42	找
ʂau	1	55	燒
tʂʰau	1	55	抄
kʰau	1	55	敲
xau	3	42	好
mau	6	33	帽
nau	3	42	腦老
pau	1	55	包
tsau	3	42	早
mau	1	55	貓
pei	5	223	貝背
pʰei	2	13	賠
fei	2	13	肥
tei	5	223	對
tsei	5	223	醉
sei	2	13	隨
mei	2	13	煤眉
nei	2	13	雷
pei	6	33	被
pʰei	5	223	配
fei	5	223	肺費
tsei	6	33	罪
sei	5	223	碎歲
mei	6	33	妹
nei	6	33	類
pei	1	55	杯碑
fei	1	55	飛
tsei	3	42	嘴
təu	6	33	杜豆讀
tʰəu	2	13	圖頭
tsəu	5	223	做
səu	5	223	數瘦
tsʰəu	2	13	愁
tʂəu	2	13	燭
ʂəu	6	33	壽熟贖
ʐəu	2	13	肉
tʂʰəu	2	13	鋤綢
kəu	5	223	夠
kʰəu	3	42	口
xəu	6	33	後厚
nəu	2	13	奴樓
ŋəu	3	42	藕
təu	7	35	毒
tʰəu	3	42	土
tsəu	7	35	卒足
səu	7	35	宿縮
tsʰəu	5	223	湊
tʂəu	7	35	竹粥
ʂəu	7	35	叔屬
ʐəu	5	223	褥
tʂʰəu	5	223	臭
kəu	3	42	狗
nəu	6	33	路
təu	3	42	賭抖
tʰəu	1	55	偷
tsəu	3	42	走
səu	3	42	數
tsʰəu	7	35	族
tʂəu	1	55	州
ʂəu	3	42	手
tʂʰəu	7	35	畜
kəu	1	55	鉤
nəu	7	35	鹿六綠
tsəu	1	55	租
tsʰəu	1	55	初
tʂʰəu	1	55	抽
pɛ	6	33	白
pʰɛ	7	35	拍
tɛ	7	35	得
tʰɛ	6	33	特
tsɛ	6	33	賊擇
sɛ	7	35	虱色
tsʰɛ	2	13	策
tʂɛ	6	33	擇
ʂɛ	2	13	蛇
ʐɛ	7	35	熱
tʂʰɛ	7	35	撤拆
kɛ	2	13	隔
kʰɛ	7	35	刻客
xɛ	6	33	笑
mɛ	7	35	墨麥
ŋɛ	2	13	額
pɛ	7	35	北百
tsɛ	7	35	窄
tsʰɛ	5	223	側
tʂɛ	7	35	折摘
ʂɛ	6	33	射舌
tʂʰɛ	1	55	車
kɛ	7	35	格
xɛ	7	35	黑
tsʰɛ	7	35	測
ʂɛ	7	35	設
tsɿ	2	13	紫
sɿ	5	223	四
tsʰɿ	2	13	祠
tsɿ	6	33	字
sɿ	6	33	寺事
tsʰɿ	5	223	刺
tsɿ	3	42	子
sɿ	3	42	死
tsʰɿ	6	33	刺
tsɿ	1	55	資
sɿ	1	55	師絲
tʂʅ	5	223	制治
ʂʅ	2	13	時
tʂʰʅ	2	13	池遲
tʂʅ	6	33	指侄直
ʂʅ	5	223	世試市
tʂʰʅ	6	33	吃
tʂʅ	7	35	指汁織
ʂʅ	6	33	柿十實食石
tʂʰʅ	3	42	尺
tʂʅ	3	42	紙
ʂʅ	7	35	失式
tʂʅ	1	55	知
ʂʅ	3	42	使
tʂʯ	6	33	柱住
ʂʯ	6	33	豎樹
ʐʯ	2	13	如
tʂʰʯ	2	13	除
tʂʯ	3	42	主
ʂʯ	3	42	鼠
ʐʯ	5	223	入
tʂʰʯ	7	35	出
tʂʯ	1	55	豬
ʂʯ	1	55	書輸
tɕia	5	223	嫁
ɕia	5	223	瞎
tɕʰia	6	33	雀
Ǿia	2	13	牙
tɕia	7	35	夾甲
ɕia	6	33	下夏
Ǿia	6	33	啞
tɕia	3	42	假
ɕia	1	55	蝦
Ǿia	7	35	鴨
tɕio	7	35	腳角
ɕio	6	33	學
tɕʰio	7	35	雀
Ǿio	7	35	約藥
ɕio	7	35	削
tiu	1	55	丟
tɕiu	6	33	舅舊
ɕiu	6	33	袖
tɕʰiu	2	13	球
niu	2	13	流
Ǿiu	2	13	牛油
tɕiu	3	42	酒九
ɕiu	1	55	修休削
tɕʰiu	7	35	曲
Ǿiu	6	33	右幼
Ǿiu	7	35	育浴
Ǿiu	3	42	有
Ǿiu	1	55	優
piau	3	42	表
pʰiau	5	223	票
tiau	5	223	釣
tʰiau	2	13	條
tɕiau	5	223	叫
ɕiau	5	223	孝笑
tɕʰiau	2	13	橋
miau	6	33	廟
niau	6	33	料
Ǿiau	2	13	搖
tiau	3	42	鳥
tɕiau	6	33	轎
ɕiau	6	33	校
tɕʰiau	1	55	敲
niau	3	42	鳥
Ǿiau	5	223	要
tɕiau	1	55	交焦
ɕiau	3	42	小
Ǿiau	1	55	腰
ɕiau	1	55	簫
piɛ	6	33	別
pʰiɛ	7	35	劈
tiɛ	5	223	跌
tʰiɛ	7	35	貼鐵
tɕiɛ	5	223	借戒
ɕiɛ	2	13	斜
miɛ	7	35	滅篾
niɛ	7	35	列孽
ȵiɛ	7	35	業捏
Ǿiɛ	2	13	爺
piɛ	7	35	憋
tiɛ	6	33	碟
tɕiɛ	6	33	姐
ɕiɛ	6	33	謝蟹
Ǿiɛ	6	33	夜
tɕiɛ	7	35	接傑節截結
ɕiɛ	7	35	協歇
Ǿiɛ	7	35	葉
ɕiɛ	3	42	寫
Ǿiɛ	3	42	野
tʂua	1	55	抓
ʂua	7	35	刷
kua	5	223	掛
xua	2	13	華
Ǿua	7	35	挖襪
kua	7	35	刮
xua	5	223	化劃
Ǿua	3	42	瓦
kua	1	55	瓜
xua	6	33	畫話
xua	7	35	滑
xua	1	55	花
kuai	5	223	怪
kʰuai	5	223	快
xuai	2	13	懷
Ǿuai	5	223	外
kuai	3	42	拐
kʰuai	6	33	塊
xuai	6	33	壞
Ǿuai	1	55	歪
tʂuei	1	55	追
ʂuei	3	42	水
tʂʰuei	2	13	垂錘
kuei	5	223	桂貴
kʰuei	1	55	虧
xuei	2	13	回
Ǿuei	2	13	危圍
tʂʰuei	1	55	吹
kuei	6	33	跪櫃
xuei	5	223	會
Ǿuei	6	33	衛位味胃
kuei	3	42	鬼
xuei	1	55	灰
Ǿuei	3	42	尾
kuei	1	55	規龜
kuɛ	7	35	國
tɕyɛ	6	33	絕
ɕyɛ	7	35	雪血
tɕʰyɛ	2	13	茄
Ǿyɛ	7	35	月越
tɕyɛ	7	35	決
ɕyɛ	1	55	靴
tɕʰyɛ	7	35	切缺
paŋ	6	33	棒
pʰaŋ	5	223	胖
faŋ	2	13	房防
taŋ	3	42	黨
tʰaŋ	2	13	糖
tsʰaŋ	1	55	倉
tʂaŋ	1	55	張章
ʂaŋ	2	13	嘗
ʐaŋ	6	33	讓
tʂʰaŋ	2	13	長嘗
kaŋ	3	42	講
kʰaŋ	1	55	糠
xaŋ	2	13	項
maŋ	2	13	忙
naŋ	6	33	浪
paŋ	3	42	綁
faŋ	5	223	放
tʰaŋ	1	55	湯
ʂaŋ	6	33	上
tʂʰaŋ	5	223	唱
kaŋ	1	55	鋼
paŋ	1	55	幫
faŋ	3	42	紡
ʂaŋ	1	55	傷
tʂʰaŋ	3	42	廠
faŋ	1	55	方
pʰuŋ	2	13	朋棚蓬
fuŋ	6	33	鳳縫
tuŋ	5	223	凍
tʰuŋ	2	13	銅
tsuŋ	5	223	粽
suŋ	5	223	送宋
tʂuŋ	5	223	種
ʐuŋ	2	13	榮擁容
tʂʰuŋ	2	13	蟲
kuŋ	6	33	共
kʰuŋ	3	42	孔
xuŋ	2	13	紅
muŋ	2	13	猛
nuŋ	2	13	膿濃龍
Ǿuŋ	1	55	翁
fuŋ	1	55	風豐封蜂
tuŋ	6	33	動洞
tʰuŋ	5	223	痛
suŋ	1	55	松
tʂuŋ	6	33	重
tʂʰuŋ	1	55	蔥充沖
kuŋ	1	55	公宮恭
xuŋ	1	55	烘
muŋ	6	33	夢
nuŋ	6	33	聾弄
tuŋ	3	42	懂
tʰuŋ	3	42	桶統
tʂuŋ	3	42	腫
tuŋ	1	55	東冬
tʰuŋ	1	55	通
tʂuŋ	1	55	中終
tɕiaŋ	2	13	漿降
ɕiaŋ	2	13	項
tɕʰiaŋ	3	42	搶
niaŋ	3	42	兩
ȵiaŋ	2	13	娘
Ǿiaŋ	6	33	樣
tɕiaŋ	6	33	匠像
ɕiaŋ	5	223	向
tɕʰiaŋ	1	55	筐
ȵiaŋ	6	33	亮
Ǿiaŋ	3	42	癢
tɕiaŋ	3	42	講
ɕiaŋ	6	33	像
Ǿiaŋ	1	55	秧
tɕiaŋ	1	55	薑江
ɕiaŋ	3	42	想響
ɕiuŋ	2	13	熊雄
tɕʰiuŋ	2	13	窮
Ǿiuŋ	6	33	用
ɕiuŋ	1	55	兄兇
tʂuaŋ	5	223	壯撞
ʂuaŋ	1	55	霜雙
tʂʰuaŋ	2	13	床
kuaŋ	1	55	光
kʰuaŋ	2	13	狂
xuaŋ	2	13	黃
Ǿuaŋ	2	13	王
tʂuaŋ	1	55	裝樁
tʂʰuaŋ	3	42	撞
kʰuaŋ	1	55	筐
xuaŋ	1	55	慌
Ǿuaŋ	6	33	旺
tʂʰuaŋ	1	55	瘡窗
Ǿuaŋ	3	42	網
pã	5	223	半
pʰã	2	13	盤
fã	6	33	犯飯
tã	6	33	淡斷
tʰã	2	13	潭彈
sã	5	223	算
tsʰã	2	13	蠶
tʂã	5	223	占戰
ʂã	5	223	扇
tʂʰã	2	13	纏
kã	3	42	感敢減
kʰã	5	223	看
xã	2	13	含鹹
mã	6	33	慢
nã	2	13	南藍難蘭
ŋã	5	223	暗
pã	6	33	扮辦
pʰã	5	223	判
fã	3	42	反
tã	3	42	膽短
tʰã	5	223	炭
sã	3	42	傘
tʂã	1	55	黏
ʂã	6	33	善
tʂʰã	3	42	鏟產
kã	1	55	甘肝間奸
xã	5	223	漢
mã	3	42	滿
nã	6	33	爛亂
ŋã	6	33	岸
pã	3	42	板
fã	1	55	翻
tã	1	55	單端
tʰã	3	42	毯
sã	1	55	三酸
ʂã	1	55	衫山
xã	6	33	汗限
nã	3	42	懶暖
ŋã	3	42	眼
pã	1	55	班搬
tʰã	1	55	貪
xã	3	42	喊
ŋã	1	55	安
pə̃	3	42	本
pʰə̃	2	13	盆
fə̃	2	13	墳
tə̃	2	13	墩
tʰə̃	2	13	藤
tsə̃	1	55	僧
sə̃	6	33	參
tsʰə̃	2	13	層
tʂə̃	5	223	證正
ʂə̃	2	13	神繩
ʐə̃	2	13	人
tʂʰə̃	2	13	沉陳辰唇程城
kə̃	6	33	更
kʰə̃	3	42	肯
xə̃	5	223	恨
mə̃	2	13	門
nə̃	2	13	輪能冷
ŋə̃	6	33	硬
fə̃	5	223	糞
tə̃	5	223	凳
tʰə̃	1	55	吞
sə̃	3	42	筍省
tsʰə̃	5	223	寸
tʂə̃	6	33	震
ʂə̃	6	33	剩
ʐə̃	5	223	認
tʂʰə̃	5	223	秤
kə̃	3	42	梗
kʰə̃	1	55	坑
nə̃	6	33	嫩
ŋə̃	1	55	恩
fə̃	3	42	粉
tə̃	3	42	等
sə̃	1	55	孫生
tsʰə̃	1	55	村
tʂə̃	3	42	整
ʂə̃	1	55	深身升聲
ʐə̃	6	33	任閏
kə̃	1	55	根耕
fə̃	1	55	分
tə̃	1	55	蹲燈
tʂə̃	1	55	針鎮爭貞
pĩ	6	33	病
pʰĩ	2	13	貧平瓶
tĩ	6	33	定
tʰĩ	2	13	停
tɕĩ	5	223	進勁鏡
ɕĩ	2	13	尋行形
tɕʰĩ	2	13	琴勤
mĩ	2	13	民明名
nĩ	2	13	林鄰零
Ǿĩ	2	13	銀迎贏
pĩ	3	42	柄餅
pʰĩ	3	42	品
tĩ	3	42	頂
tʰĩ	3	42	挺
tɕĩ	6	33	近靜
ɕĩ	5	223	姓
tɕʰĩ	5	223	浸慶
mĩ	6	33	命
nĩ	3	42	領
Ǿĩ	5	223	印
pĩ	1	55	冰兵
tĩ	1	55	釘
tʰĩ	1	55	廳聽
tɕĩ	3	42	緊井
ɕĩ	6	33	興
tɕʰĩ	1	55	親清輕青
Ǿĩ	6	33	蠅
tɕĩ	1	55	金筋經
ɕĩ	1	55	心新星
Ǿĩ	3	42	引隱影
Ǿĩ	1	55	音
piɛ̃	5	223	變
pʰiɛ̃	5	223	騙片
tiɛ̃	5	223	店
tʰiɛ̃	2	13	甜田
tɕiɛ̃	5	223	建健見
ɕiɛ̃	2	13	嫌
tɕʰiɛ̃	2	13	鉗錢前
miɛ̃	2	13	棉
niɛ̃	2	13	連年蓮
Ǿiɛ̃	2	13	岩炎鹽嚴顏延言
piɛ̃	6	33	便
tiɛ̃	6	33	墊
tʰiɛ̃	1	55	添天
tɕiɛ̃	6	33	件
ɕiɛ̃	5	223	線
tɕʰiɛ̃	5	223	欠
miɛ̃	6	33	面
niɛ̃	6	33	驗念
Ǿiɛ̃	6	33	厭
piɛ̃	3	42	扁
tiɛ̃	3	42	點典
tɕiɛ̃	3	42	減劍剪
ɕiɛ̃	6	33	限現縣
tɕʰiɛ̃	3	42	淺
Ǿiɛ̃	3	42	眼
tɕiɛ̃	1	55	監尖間奸肩
ɕiɛ̃	1	55	鮮先
tɕʰiɛ̃	1	55	簽牽鉛
Ǿiɛ̃	1	55	煙
tʂuã	6	33	賺傳
ʂuã	1	55	閂
ʐuã	3	42	染軟
tʂʰuã	2	13	傳船
kuã	5	223	慣
kʰuã	1	55	寬
xuã	2	13	還
Ǿuã	2	13	完頑
tʂuã	3	42	轉
kuã	1	55	官關
xuã	6	33	換
Ǿuã	6	33	彎萬
tʂuã	1	55	磚
xuã	1	55	歡
Ǿuã	3	42	碗晚
tʂuə̃	3	42	准
ʂuə̃	2	13	純
tʂʰuə̃	1	55	春
kuə̃	3	42	滾
kʰuə̃	5	223	困
xuə̃	2	13	魂橫
Ǿuə̃	2	13	蚊
ʂuə̃	6	33	順
xuə̃	1	55	婚
Ǿuə̃	6	33	問
Ǿuə̃	1	55	溫
tɕyə̃	5	223	俊
ɕyə̃	2	13	尋
tɕʰyə̃	2	13	裙
Ǿyə̃	2	13	雲榮營
tɕyə̃	1	55	均軍
ɕyə̃	1	55	熏
Ǿyə̃	6	33	運
Ǿyə̃	7	35	勻
Ǿyə̃	3	42	永
tɕyɛ̃	3	42	卷
ɕyɛ̃	3	42	險顯選
tɕʰyɛ̃	2	13	全權
Ǿyɛ̃	2	13	圓原園
ɕyɛ̃	1	55	鮮
tɕʰyɛ̃	5	223	勸
Ǿyɛ̃	6	33	院
tɕʰyɛ̃	1	55	圈
Ǿyɛ̃	3	42	遠
Ǿyɛ̃	1	55	冤
Ǿɚ	2	13	兒
Ǿɚ	6	33	二
Ǿɚ	7	35	日弱
Ǿɚ	3	42	耳
