例字	老派	新派	
做	tsu213	tsu213	
粗	tsʰu45	tsʰu45	
醋	tsʰu213	tsʰu213	
措	tsʰu213	tsʰo213	
錯	tsʰo213	tsʰo213	
蘇	su45	su45	
酥	su45	su45	
素	su213	su213	
訴	su213	su213	
塑	su213	su213	
嗉	su213	su213	
姑	ku45	ku45	
孤	ku45	ku45	
箍	kʰu45	ku45/kʰu45	
辜	ku45	ku45	
古	ku53	ku53	
污	u45	u45	
塢	u45	u45	
惡	u213	u213	
女	ȵy53	ȵy53/ȵy53	
廬	lu21	lu21	
驢	lu21	lu21/ly21	
吕	ly53	lu53/ly53	
旅	ly53	ly53	
慮	ly213	lu213	
濾	ly213	lu213	
蛆	ʨʰy45	ʨʰy45	
胥	ɕy21	ɕy213/ɕy45	
絮	ɕy213	ɕyu213/ɕy213	
徐	ɕy21	ɕyu21/ɕy21	
序	ɕy213	ɕyu213	
叙	ɕyu213	ɕy213	
緒	ɕyu213	ɕyu213/ɕy213	
嶼	y53	yu53/y53	
豬	tsu45	tsu45	
著	tsu213	tsu213	
褚	tsu53	tsu53	
除	tsʰu21	tsʰu21	
儲	tsʰu21	tsʰu21	
苧	tsu213	tsu213	
箸	tsu213	tsu213	
阻	tsu53	tsu53	
初	tsʰu45	tsʰu45	
楚	tsʰu53	tsʰu53	
礎	tsʰu53	tsʰu53	
鋤	tsʰu21	tsʰu21	
助	tsu213	tsu213	
梳	su45	su45	
疏	su45	su45	
蔬	su45	su45	
所	so53	so53	
疏	su45	su45	
諸	tsu45	tsu45	
煮	tsu53	tsu53	
處	tsʰu53	tsʰu53	
杵	tsʰu53	tsʰu53	
處	tsʰu213	tsʰu53	
膚	fu45	fu45	
跗	fu213	fu213	
府	fu53	fu53	
腑	fu53	fu53	
俯	fu53	fu53	
甫	fu53	fu53	
脯	pʰu53	fu53	
斧	fu53	fu53	
付	fu213	fu213	
賦	fu213	fu213	
傅	fu213	fu213	
咐	fu213	fu213	
敷	fu45	fu45	
俘	fu45	fu53/fu21	
孵	fu45	fu45	
麩	fu45	fu45	
撫	fu53	fu53	
赴	fu213	fu213	
訃	fu21	fu213	
符	fu21	fu21	
扶	fu21	fu21	
芙	fu21	fu21	
父	fu213	fu213	
釜	fu53	fu53	
腐	fu53	fu53	
輔	fu53	fu53	
附	fu213	fu213	
無	u21	u21	
巫	u45	u45	
誣	u45	u45	
武	u53	u53	
舞	u53	u53	
侮	u53	u45	
鵡	u53	u53	
務	u213	u213	
霧	u213	u213	
縷	ly53	ly53	
屢	ly53	ly53	
趨	ʨʰy45	ʨʰyu45/ʨʰy45	
取	ʨʰyu53	ʨʰyu53/ʨʰy53	
娶	ʨyu53	ʨʰyu53/ʨʰy53	
區	ʨʰyu45	ʨʰyu45/ʨʰy45	
驅	ʨʰyu45	ʨʰyu45/ʨʰy45	
軀	ʨʰyu45	ʨʰyu45/ʨʰy45	
瞿	ʨʰyu21	ʨʰy21	
衢	ʨʰy21	ʨʰy21	
具	ʨyu213	ʨyu213/ʨy213	
懼	ʨyu213	ʨyu213/ʨy213	
愚	yu21	yu21/y21	
虞	yu21	yu21/y21	
娱	yu21	yu21/y21	
遇	yu213	yu213/y213	
寓	yu21	yu21/y21	
吁	yu45	ɕy45	
迂	yu45	yu45/y45	
于	yu21	yu21/y21	
盂	yu21	yu21/y21	
雨	yu53	yu53/y53	
宇	yu53	yu53/y53	
禹	yu53	y53	
羽	yu53	y53	
芋	yu213	yu213/y213	
榆	yu21	yu21/y21	
逾	yu213	yu213/y213	
愉	yu21	yu21/y21	
俞	yu21	yu21/y21	
愈	yu213	yu213/y213	
喻	yu213	yu213/y213	
裕	zu213	zu21/y21	
獃	tai45	tai45	
戴	tai213	tai213	
胎	tʰai45	tʰai45	
台	tʰai45	tʰai21	
態	tʰai213	tʰai213	
貸	tai213	tai213	
臺	tʰai21	tʰai21	
台	tʰai21	tʰai21	
苔	tʰai21	tʰai21	
抬	tʰai21	tʰai21	
待	tai213	tai213	
怠	tai213	tai213	
殆	tai213	tai213	
亥	xai213	xai213	
哀	ŋai45	ŋai45	
埃	ŋai45	ŋai45	
唉	ŋai45	ŋai45	
愛	ŋai213	ŋai213	
貝	pei213	pei213	
狽	pei213	pei213	
沛	pʰei213	pʰei213	
帶	tai213	tai213	
太	tʰai213	tʰai213	
泰	tʰai213	tʰai213	
大	tai213	tai213	
奈	lai213	lai213	
賴	lai213	lai213	
癩	lai213	lai213	
蔡	tsʰai213	tsʰai213	
蓋	kai213	kai213	
丐	kai213	kai213	
艾	ŋai213	ŋai213	
害	xai213	xai213	
蔼	ŋai53	ŋai213	
拜	pai213	pai213	
排	pʰai21	pʰai21	
埋	mai21	mai21	
齋	tsai45	tsai45	
豺	tsʰai21	tsʰai21	
皆	kai45	kai45/ʨie45	
階	ʨiai45	kai45/ʨie45	
偕	ɕie21	ɕie21	
介	ʨiai213	ʨie213	
界	ʨiai213	ʨie213	
芥	ʨiai213	ʨie213	
疥	ʨiai213	ʨie213	
届	ʨiai213	ʨie213	
戒	ʨiai213	ʨie213	
揩	kʰai45	kʰai45	
楷	kʰai53	kʰai53	
諧	ɕiai21	ɕie21	
駭	xai213	xai213	
械	ʨiai213	ɕie213	
挨	ŋai45	ŋai45	
祭	ʨi213	ʨi213	
際	ʨi213	ʨi213	
滯	tsɿ213	tsɿ213	
制	tsɿ213	tsɿ213	
製	tsɿ213	tsɿ213	
世	sɿ213	sɿ213	
勢	sɿ213	sɿ213	
誓	sɿ213	sɿ213	
逝	sɿ213	sɿ213	
藝	ȵi213/i213	i213	
刈	i213	i213	
蓖	pi45	pi213	
閉	pi213	pi213	
箅	pi213	pi213	
批	pʰei45	pʰei45/pi45	
陛	pi53	pi213	
迷	mi21	mi21	
米	mi53	mi53	
謎	mi21	mi21	
低	ti45	ti45	
堤	tʰi21	tʰi21/ti45	
底	ti53	ti53	
抵	ti53	ti53	
帝	ti213	ti213	
蒂	ti213	ti213	
梯	tʰi45	tʰi45	
體	tʰi53	tʰi53	
替	tʰi213	tʰi213	
涕	tʰi213	tʰi213	
剃	tʰi213	tʰi213	
屜	tʰi213	tʰi213	
題	tʰi21	tʰi21	
提	tʰi21	tʰi21	
蹄	tʰi21	tʰi21	
啼	tʰi21	tʰi21	
弟	ti213	ti213	
第	ti213	ti213	
遞	tʰi213	ti213	
泥	巩i21	巩i21	
犂	li21	li21	
黎	li21	li21	
胚	pʰei45	pʰei45	
坯	pʰei45	pi45	
配	pʰei213	pʰei213	
培	pʰei21	pʰei21	
陪	pʰei21	pʰei21	
賠	pʰei21	pʰei21	
裴	pʰei21	pʰei21	
徘	pʰai21	pʰai21	
倍	pei213	pei213	
佩	pʰei213	pʰei213	
背	pei213	pei213	
焙	pei213	pei21	
梅	mei21	mei21	
枚	mei21	mei21	
媒	mei21	mei21	
煤	mei21	mei21	
玫	mei21	mei21	
莓	mei21	mei21	
每	mei53	mei53	
妹	mei213	mei213	
昧	mei213	mei213	
堆	tuei45	tuei45	
對	tuei213	tuei213	
碓	tuei213	tuei213	
推	tʰuei45	tʰuei45	
腿	tʰuei53	tʰuei53	
退	tʰuei213	tʰuei213	
頽	tʰuei21	tʰuei21	
隊	tuei213	tuei213	
餒	luei53	luei53	
内	luei213	luei213	
雷	luei21	luei21	
儡	luei53	luei53	
累	luei213	luei213	
擂	luei213	luei213	
催	tsʰuei45	tsʰuei45	
崔	tsʰuei45	tsʰuei45	
摧	tsʰuei45	tsʰuei45	
罪	tsuei213	tsuei213	
碎	tsʰuei213	tsʰuei213/suei213	
瑰	kuei213	kuei45	
畫	xua213	xua213	
蛙	ua45	ua45	
快	kʰuai213	kʰuai213	
筷	kʰuai213	kʰuai213	
話	xua213	xua213	
脆	tsʰuei213	tsʰuei213	
歲	suei213	suei213	
綴	tsuei213	tsuei213	
贅	tsuei213	tsuei213	
税	suei213	suei213	
芮	zuei213	zuei213	
鱖	kuei213	kuei213	
衛	uei213	uei213	
鋭	zuei213	zuei213	
廢	fei213	fei213	
肺	fei213	fei213	
吠	fei213	fei213	
穢	xuei213	xuei213	
圭	kuei45	kuei45	
閨	kuei45	kuei45	
桂	kuei213	kuei213	
奎	kʰuei21	kʰuei21	
携	ɕi45	ɕie21	
惠	xuei213	xuei213	
慧	xuei213	xuei213	
碑	pei45	pei45	
卑	pei45	pei45	
彼	pi53	pi53	
俾	pi213	pi213	
臂	pei213	pei213/pi213	
披	pʰei45	pʰei45/pi45	
譬	pʰei213	pi213	
皮	pʰi21	pʰi21	
疲	pʰi21	pʰi21	
脾	pʰi21	pʰi21	
被	pi213	pi213/pei213	
婢	pi213	pi213	
被	pi213	pei213	
避	pi213	pi213	
糜	mi21	mi21	
彌	mi21	mi21	
爾	ɚ53	ɚ53	
寄	ʨi213	ʨi213	
羈	ʨi45	ʨi45	
企	ʨʰi213	ʨʰi213	
奇	ʨʰi21	ʨʰi21	
騎	ʨʰi21	ʨʰi21	
岐	ʨʰi21	ʨʰi21	
徛		i45	
技	ʨi213	ʨi213	
妓	ʨi213	ʨi213	
奇	ʨi45	ʨi45	
宜	ȵi21	i45	
儀	ȵi21	i45	
蟻	ȵi213	i45	
誼	ȵi213	i45	
義	ȵi21	ȵi21	
議	ȵi213	i213	
犧	ɕi45	ɕi45	
戲	ɕi213	ɕi213	
椅	i53	i53	
倚	i45	i45	
移	i21	i21	
易	i213	i213	
悲	pei45	pei45	
鄙	pʰi53	pi53	
屄	pʰi45	pʰi45	
比	pi53	pi53	
秕	pʰi53	pʰi53	
秘	mi21	mi21/mi213	
泌	mi21	mi21	
庇	pi213	pi213	
痹	pi213	pi213	
丕	pʰei45	pi45	
屁	pʰi213	pʰi213	
琵	pʰi21	pʰi21	
枇	pʰi21	pʰi21	
備	pi213	pi213/pei213	
鼻	pi21	pi21	
篦	pi213	pi213	
痞	pʰi53	pʰi53	
眉	mi21	mi21/mei21	
矢	sɿ53	sɿ53	
視	sɿ213	sɿ213	
嗜	sɿ213	sɿ213	
二	ɚ213	ɚ213	
貳	ɚ213	ɚ213	
飢	ʨi45	ʨi45	
肌	ʨi45	ʨi45	
几	ʨi45	ʨi53	
冀	ʨi213	ʨi213	
器	ʨʰi213	ʨʰi213	
棄	ʨʰi213	ʨʰi213	
祁	ʨʰi21	ʨʰi21	
伊	i45	i45	
姨	i21	i21	
夷	i21	i21	
肄	i213	i213	
你	ȵi53	li53	
釐	li21	li21	
貍	li53	li21	
李	li53	li53	
里	li53	li53	
理	li53	li53	
裏	li53	li53	
鯉	li53	li53	
吏	li213	li213	
兹	tsɿ45	tsɿ45	
滋	tsɿ45	tsɿ45	
子	tsɿ53	tsɿ53	
梓	tsɿ53	tsɿ53	
慈	tsʰɿ21	tsʰɿ21	
磁	tsʰɿ21	tsʰɿ21	
字	tsɿ213	tsɿ213	
牸	tsɿ213	tsɿ213	
思	sɿ45	sɿ45	
絲	sɿ45	sɿ45	
司	sɿ45	sɿ45	
伺	tsʰɿ213	tsʰɿ213	
思	sɿ45	sɿ45	
辭	tsʰɿ21	tsʰɿ21	
祠	tsʰɿ21	tsʰɿ21	
詞	tsʰɿ21	tsʰɿ21	
餌	ɚ53	ɚ53	
基	ʨi45	ʨi45	
箕	ʨi45	ʨi45	
姬	ʨi45	ʨi45	
己	ʨi53	ʨi53	
紀	ʨi53	ʨi53/ʨi213	
記	ʨi213	ʨi213	
欺	ʨʰi45	ʨʰi45	
起	ʨʰi53	ʨʰi53	
杞	ʨʰi53	ʨi45/ʨʰi53	
棋	ʨʰi21	ʨʰi21	
旗	ʨʰi21	ʨʰi21	
其	ʨʰi21	ʨʰi21	
期	ʨʰi45	ʨʰi45	
忌	ʨi213	ʨi213	
疑	ȵi21	i21	
擬	ȵi53	ȵi53	
嬉	ɕi45	ɕi45	
熙	ɕi45	ɕi45	
嘻	ɕi45	ɕi45	
禧	ɕi53	ɕi53	
喜	ɕi53	ɕi53	
蟢	ɕi53	ɕi53	
醫	i45	i45	
意	i213	i213	
矣	i53	i53	
飴	i21	i21	
怡	i21	i21	
貽	i21	i21	
以	i53	i53	
已	i53	i53	
異	i213	i213	
機	ʨi45	ʨi45	
譏	ʨi45	ʨi45	
饑	ʨi45	ʨi45	
幾	ʨi45	ʨi45	
幾	ʨi53	ʨi53	
蟣	ʨi53	ʨi53	
既	ʨi213	ʨi213	
豈	ʨʰi53	ʨʰi53	
氣	ʨʰi213	ʨʰi213	
綏	suei21	suei21	
粹	tsʰuei213	tsʰuei213	
遂	suei213	suei213	
隧	suei213	suei213	
穗	suei213	suei213	
追	tsuei45	tsuei45	
錘	tsʰuei21	tsʰuei21	
槌	tsʰuei21	tsʰuei21	
墜	tsuei213	tsuei213	
衰	suai45	suai45	
摔	suai53	suai53	
帥	suai213	suai213	
錐	tsuei45	tsuei45	
水	suei53	suei53	
誰	suei21	suei21	
龜	kuei45	kuei45	
癸	kuei213	kuei213	
軌	kuei53	kuei53	
愧	kʰuei213	kʰuei213	
季	ʨi213	ʨi213	
逵	kʰuei21	kʰuei21	
葵	kʰuei21	kʰuei21	
櫃	kuei213	kuei213	
位	uei213	uei213	
帷	uei21	uei21	
維	uei21	uei21	
遺	i21	i21	
惟	uei21	uei21	
唯	uei21	uei21	
飛	fei45	fei45	
非	fei45	fei45	
匪	fei53	fei53	
疿	fei213	fei213	
沸	fu21	fei213	
妃	fei45	fei45	
菲	fei53	fei53	
費	fei213	fei213	
肥	fei21	fei21	
翡	fei53	fei53	
微	uei21	uei45	
薇	uei21	uei45	
禱	tau53	tau53	
搗	tau53	tau53	
倒	tau213	tau213	
到	tau213	tau213	
滔	tʰau45	tʰau45	
掏	tʰau45	tʰau45	
討	tʰau53	tʰau53	
套	tʰau213	tʰau213	
桃	tʰau21	tʰau21	
逃	tʰau21	tʰau21	
淘	tʰau21	tʰau21	
陶	tʰau21	tʰau21	
萄	tʰau21	tʰau21	
濤	tʰau21	tʰau21	
稻	tau213	tau213	
道	tau213	tau213	
導	tʰau213	tau213	
盗	tau213	tau213	
蹈	tau213	tau53	
腦	lau53	lau53	
惱	lau53	lau53	
勞	lau21	lau21	
撈	lau45	lau45	
牢	lau21	lau21	
嘮	lau21	lau21	
癆	lau21	lau21	
老	lau53	lau53	
姥	lau53	lau53	
澇	lau21	lau21	
糟	tsau45	tsau45	
遭	tsau45	tsau45	
早	tsau53	tsau53	
棗	tsau53	tsau53	
蚤	tsau53	tsau53	
澡	tsau53	tsau53	
竈	tsau213	tsau213	
躁	tsʰau213	tsʰau213/tsau213	
操	tsʰau45	tsʰau45	
草	tsʰau53	tsʰau53	
騲	tsʰau53	tsʰau53	
糙	tsʰau213	tsau213	
澳	ŋau213	ŋau213	
懊	ŋau213	ŋau213	
包	pau45	pau45	
胞	pau45	pau45	
飽	pau53	pau53	
豹	pau213	pau213	
爆	pau213	pau213	
泡	pʰau213	pʰau213	
抛	pʰau45	pʰau45	
脬	pʰau45	pʰau213	
泡	pʰau213	pʰau213	
炮	pʰau213	pʰau213	
跑	pʰau53	pʰau53	
刨	pʰau21	pʰau21	
鮑	pau213	pau213	
鉋	pau213	pʰau21	
貓	mau45	mau45	
茅	mau21	mau21	
錨	mau21	mau21	
卯	mau53	mau53	
貌	mau213	mau213	
铙	zau21	lau21	
撓	lau21	lau21	
閙	lau213	lau213	
罩	tsau213	tsau213	
抓	tsua45	tsua45	
爪	tsau53	tsau53/tsua53	
找	tsau53	tsau53	
笊	tsau213	tsau213	
抄	tsʰau45	tsʰau45	
鈔	tsʰau45	tsʰau45	
炒	tsʰau53	tsʰau53	
吵	tsʰau53	tsʰau53	
巢	tsʰau21	tsʰau21	
梢	sau45	sau45	
筲	sau45	sau45	
捎	sau45	sau45	
稍	sau45	sau45	
潲	sau213	sau213	
潲	sau213	sau213	
哨	zau21	sau213	
鰾	pʰiau45	pʰiau45	
貓	mau45	mau45	
苗	miau21	miau21	
描	miau21	miau21	
秒	miau53	miau53	
渺	miau53	miau53	
藐	miau53	miau53	
廟	miau213	miau213	
妙	miau213	miau213	
燎	liau21	liau21	
燎	liau53	liau53	
療	liau21	liau21	
焦	ʨiau45	ʨiau45	
蕉	ʨiau45	ʨiau45	
椒	ʨiau45	ʨiau45	
剿	ʨiau53	ʨiau53	
醮	ʨiau213	ʨiau213	
鍬	ʨʰiau45	ʨʰiau45	
繰	sau45	sau45	
悄	ʨʰiau45	ʨʰiau45	
俏	ʨʰiau213	ʨʰiau213	
偢	ʨʰiau21	ʨʰiau21	
樵	ʨʰiau21	ʨʰiau21	
瞧	ʨʰiau21	ʨʰiau21	
消	ɕiau45	ɕiau45	
宵	ɕiau45	ɕiau45	
霄	ɕiau45	ɕiau45	
硝	ɕiau45	ɕiau45	
銷	ɕiau45	ɕiau45	
小	ɕiau53	ɕiau53	
逍	ɕiau45	ɕiau45	
笑	ɕiau213	ɕiau213	
肖	ɕiau45	ɕiau45	
朝	tsau45	tsau45	
超	tsʰau45	tsʰau45	
潮	tsʰau21	tsʰau21	
朝	tsʰau21	tsʰau21	
趙	tsau213	tsau213	
兆	tsau213	tsau213	
召	tsau45	tsau213	
昭	tsau45	tsau45	
貂	tiau45	tiau45	
凋	tiau45	tiau45	
鳥	ȵiau53	ȵiau53	
吊	tiau213	tiau213	
釣	tiau213	tiau213	
挑	tʰiau45	tʰiau45	
跳	tʰiau213	tʰiau213	
糶	tʰiau213	tʰiau213	
條	tʰiau21	tʰiau21	
調	tʰiau21	tʰiau21	
跳	tʰiau213	tʰiau213	
調	tiau213	tiau213	
掉	tiau213	tiau213	
調	tiau213	tiau213	
尿	ȵiau213	ȵiau213	
遼	liau21	liau21	
聊	liau21	liau21	
寥	liau21	liau21	
廖	liau213	liau213	
撩	liau21	liau21	
了	liau53	liau53	
瞭	liau21	liau53	
僚	liau21	liau21	
料	liau213	liau213	
鐐	liau21	liau213	
蕭	ɕiau45	ɕiau45	
簫	ɕiau45	ɕiau45	
澆	ʨiau45	ʨiau45	
繳	ʨiau53	ʨiau53	
僥	ɕiau53	ɕiau53	
叫	ʨiau213	ʨiau213	
撬	ʨʰiau213	ŋau/ʨʰiau213	
竅	ʨʰiau213	ʨʰiau213	
堯	iau21	iau21	
曉	ɕiau53	ɕiau53	
幺	iau45	iau45	
吆	iau45	iau45	
杳	miau53	iau53	
剖	pʰo53	pʰo45	
某	moŋ53	məu53	
畝	moŋ53	mu53	
摳	kʰəu45	kʰəu45	
瞘	kʰəu45	kʰəu45	
口	kʰəu53	kʰiəu53/kəu53	
叩	kʰəu213	kʰəu213	
扣	kʰəu213	kʰəu213	
寇	kʰəu213	kʰəu213	
藕	ŋəu53	ŋiəu53/ŋəu53	
偶	ŋəu53	ŋəu53	
偶	ŋəu53	ŋəu53	
吼	xəu53	xəu53	
侯	xəu21	xəu21	
喉	xəu21	xəu21	
猴	xəu21	xəu21	
后	xəu213	xəu213	
厚	xəu213	xəu213	
後	xəu213	xəu213	
候	xəu213	xəu213	
歐	ŋəu45	ŋəu45	
區	ŋəu45	ŋəu45	
嘔	ŋəu53	ŋəu53	
毆	lan53	ŋəu45	
漚	ŋəu213	ŋəu213	
慪	ŋəu213	ŋəu213	
否	foŋ53	fəu53	
不	pu21	pu21	
富	fu213	fu213	
副	fu213	fu213	
浮	fu21	fu21	
負	fu213	fu213	
婦	fu213	fu213	
復	fu21	fu213	
謀	moŋ21	məu21	
矛	mau21	mau21	
紐	ȵiəu53	ȵiəu53	
扭	ȵiəu53	ȵiəu53	
流	liəu21	liəu21	
留	liəu21	liəu21	
劉	liəu21	liəu21	
榴	liəu21	liəu21	
琉	liəu21	liəu21	
硫	liəu21	liəu21	
周	tsəu45	tsəu45	
舟	tsəu45	tsəu45	
州	tsəu45	tsəu45	
洲	tsəu45	tsəu45	
週	tsəu45	tsəu45	
帚	tsəu53	tsəu53	
咒	tsəu213	tsəu213	
醜	tsʰəu53	tsʰəu53	
臭	tsʰəu213	tsʰəu213	
收	səu45	səu45	
手	kʰuei213	səu53	
首	səu53	səu53	
守	səu53	səu53	
獸	səu213	səu213	
酬	tsʰəu21	tsʰəu21	
仇	tsʰəu21	tsʰəu21	
受	səu213	səu213	
壽	səu213	səu213	
授	səu213	səu213	
售	səu213	səu213	
柔	zəu21	zəu21	
揉	zəu21	zəu21	
鳩	ʨiəu45	ʨiəu45	
鬮	ʨiəu45	ʨiəu45	
糾	ʨiəu45	ʨiəu45	
九	ʨiəu53	ʨiəu53	
久	ʨiəu53	ʨiəu53	
韭	ʨiəu53	ʨiəu53	
灸	ʨiəu45	ʨiəu45	
救	fai213	ʨiəu213	
究	ʨiəu213	ʨiəu45	
丘	ʨʰiəu45	ʨʰiəu45	
求	ʨʰiəu21	ʨʰiəu21	
球	ʨʰiəu21	ʨʰiəu21	
仇	ʨʰiəu21	ʨʰiəu21	
臼	ʨiəu213	ʨiəu213	
舅	ʨiəu213	ʨiəu213	
咎	ʨiəu213	ʨiəu45	
舊	ʨiəu213	ʨiəu213	
柩	ʨiəu45	ʨiəu213	
牛		ȵiəu21	
納	la21	la213	
婪	lan21	lan21	
拉	la45	la45	
垃	la45	la45	
簪	tsan45	tsan45	
參	tsʰan45	tsʰan45	
慘	tsʰan53	tsʰan53	
蠶	tsʰan21	tsʰan21	
雜	tsa21	tsa21	
感	kan53	kan53	
合	xo21	xo21	
鴿	ko21	ko21	
堪	kʰan45	kʰan45	
龛	kʰan45	kʰan53	
坎	kʰan53	kʰan53	
砍	kʰan53	kʰan53	
勘	kʰan45	kʰan45	
喝	xo45	xo45	
含	liəu21	xan21	
函	xan21	xan21	
撼	xan213	xan213	
憾	xan213	xan213	
合	xo21	xo21	
盒	xo21	xo21	
庵	ŋan45	ŋan45	
揞	ŋan213	ŋan213	
暗	ŋan213	ŋan213	
擔	tan45	tan45	
膽	tan53	tan53	
擔	tan213	tan213	
坍	tʰan45	tʰan45	
毯	tʰan53	tʰan53	
塔	tʰa21	tʰa21	
榻	tʰa21	tʰa21	
遢	tʰa21	tʰa21	
溻	tʰa21	ta21	
塌	tʰa21	tʰa21	
談	tʰan21	tʰan21	
痰	tʰan21	tʰan21	
淡	tan213	tan213	
藍	lan21	lan21	
恰	ʨʰia21	ʨʰia21	
喊	xan53	xan53	
鹹	xan21	xan21/ɕiɛn21	
咸	xan21	ɕiɛn21	
陷	xan213	xan213/ɕiɛn213	
餡	ɕiɛn213	ɕiɛn213	
狹	ɕia21	ɕia21	
峽	ɕia21	ɕia21	
洽	ʨʰia21	ʨʰia21	
攙	tsʰan45	tsʰan45	
懺	tsʰan213	tsʰan213	
衫	san45	san45	
钐	san45	san45	
監	ʨiɛn45	ʨiɛn45	
鑑	ʨiɛn213	ʨiɛn213	
監	ʨiɛn45	ʨiɛn45	
甲	ʨia21	ʨia21	
胛	ʨia21	ʨia21	
嵌	kʰan45	ʨʰiɛn213	
巖	ŋai21	ŋai21	
銜	xan21	ɕiɛn21	
艦	ʨiɛn213	ʨiɛn213	
檻	kʰan53	kʰan53	
匣	ɕia21	ɕia21	
鴨	ia21	ia21	
押	ia21	ia45	
壓	ia213	ia213	
貶	piɛn53	piɛn53	
黏	ȵiɛn45	ȵiɛn21	
聶	ȵie21	ȵie213	
鑷	ȵie21	ȵie21	
躡	ȵie21	ȵie21	
廉	liɛn21	liɛn21	
鐮	liɛn21	liɛn21	
簾	liɛn21	liɛn21	
斂	liɛn213	liɛn213	
殮	liɛn213	liɛn213	
獵	lie21	lie21	
尖	ʨiɛn45	ʨiɛn45	
殲	ʨʰiɛn45	ʨʰiɛn45	
接	ʨie21	ʨie21	
葉	ie21	ie21	
頁	ie21	ie21	
劍	ʨiɛn213	ʨiɛn213	
劫	ʨʰie21	ʨʰie21	
欠	ʨʰiɛn213	ʨʰiɛn213	
怯	ʨʰie21	ʨʰie213	
嚴	ȵiɛn21	iɛn21	
儼	ȵiɛn21	iɛn53	
釅	ȵiɛn213	iɛn213	
業	ȵie21	ȵie21	
脅	ɕie21	ɕie21	
醃	iɛn45	iɛn45	
腌	iɛn45	iɛn45	
掂	tiɛn45	tiɛn45	
