sᴇ̃	森参（人~）深身申伸绅生牲笙甥声僧升□（缸~：厕所）	甚（~尼）神辰（~光：时候）绳盛 （~饭）	沈审婶省（江苏~）耸（~肩膀）	胜（~利）胜（~任）甚（~至）渗圣盛（~兴）	盛（~兴）甚			
kᴇ̃	跟根更（~改；打~）庚羹耕粳		耿梗鲠哽	更（~加）				
kʰᴇ̃	坑吭铿	拫（推）	恳垦啃肯	掯□（污垢）				
xᴇ̃	亨哼	痕恒衡	很狠	横（蛮~）	恨			
ŋᴇ̃	恩嗯（叹词，表示赞同）	□（推）	□（~凳：凳子，杌子）		硬			
iᴇ̃		壬任（姓，~港：南通地名）人（一个~）仁	扔仍忍刃		任（主~）认韧			
kuᴇ̃			滚絷（~子，石~）鲧（人名）	棍□（形容闷）				
kʰuᴇ̃	昆坤琨鲲		捆	困				
xuᴇ̃	昏婚荤	魂馄浑		混（瞎(说)，乱(做)） □（变质，质量变坏：衣裳~了）	混			
tɕyẽ	尊遵菌肫谆		准	□（纸捻）				
tɕʰyẽ	村春椿皴	存唇=纯=（单~）莼醇鹑	蠢	寸				
ɕyẽ	孙	□（手感又柔软又好）纯-（整）唇-醇	损	逊（丑陋，污；使人讨厌）	肾慎顺舜瞬			
yẽ					润闰			
põ	帮邦梆泵浜（三家~：南通地名）		榜绑膀（脚~子：腿）	谤磅				
pʰõ	乓（乒~球）	滂旁螃膀（~胱）磅庞彷		胖	棒蚌傍			
mõ		忙芒茫盲虻氓	莽蟒					
fõ	方肪芳	妨房防	访仿纺仿彷（~佛）舫	放				
tõ	当（~家）裆		党挡档	当（上~）				
tʰõ	汤	堂棠螳唐糖塘膛	倘躺淌	烫趟	荡砀（~山：安徽地名）宕			
nõ		囊瓤						
lõ		郎廊狼榔螂琅	朗□（粥、针脚等稀或疏）		浪㫰（把衣服放在外面晒干）			
tsõ	赃脏（肮~）张章樟蟑彰獐		长（生~）涨掌	涨仗葬帐账胀障瘴				
tsʰõ	仓苍昌菖娼仗（炮~）	藏（隐~）长（~短）肠场常嫦（~娥：神名）尝=偿=	厂敞	畅唱倡□（摩擦 ）	脏（老~的：很肮脏）丈（~夫）杖藏（西~）脏（内~）奘（玄~三藏）臧（~否）			
sõ	桑丧（婚~）商伤裳（衣~）	尝偿	嗓赏晌（中~：中午）	丧（~失）	上（~山，~下）尚□（准备吵架：和他~）			
kõ	冈刚纲钢缸光（新派）胱（新派）江（~北人；望~楼：南通古迹）扛豇肛缸		岗港讲-（~故事）广（新派）	杠降-逛（新派）□（少量油煎炸食物：~蛋）				
kʰõ	康糠慷匡（新派）筐（新派）眶（新派）框（新派）诓（新派）	狂（新派）扛（~东西）吭（叫，喊；使）		矿（新派）旷（新派）况（新派）亢抗炕囥（躲藏）				
xõ	荒（新派）慌（新派）夯（动词，轻微碰撞）	行（银~）航杭黄（新派）簧（新派）皇（新派）蝗（新派）惶（新派）隍（新派）蟥（新派）	谎（新派）幌（新派）	晃（新派）恍（新派）	项（~目）巷（孩儿~：南通地名）绗（稳）			
ŋõ	肮	昂						
kuõ	光胱（~膀）			逛□（刮，剃）				
kʰuõ	匡筐眶框诓	狂		矿旷况				
xuõ	荒慌	黄=簧皇=（~帝）蝗=惶隍蟥	谎幌恍	晃（~眼）恍				
uõ	汪	王黄-（~豆：大豆）亡皇-（~历）蝗-蟥 （马~：水蛭）	往网辋惘魍（魑魅~魉）	妄	忘妄-望旺			
tɕyõ	庄装桩妆		奘（粗）□（收拢，把散乱的东西聚集）	壮（~大）				
tɕʰyõ	疮窗	床	闯	创	状撞幢			
ɕyõ	霜双孀	床	爽	□（摇腿）				
yõ		瓤（西瓜等的瓤子）	壤攘嚷		让			
pəŋ	彬宾槟斌豳冰滨兵殡鬓傧（~相）		丙秉饼禀炳	并（~不是，~吞）柄屏（~气）				
pʰəŋ	拼拚（~命）姘乒	贫频凭平坪评瓶屏萍嫔	品	聘	病			
məŋ		民鸣明名铭茗	闵悯敏抿皿冥暝闽		命			
təŋ	丁钉（~子）疔叮（~人；~嘱）盯		顶鼎	钉（~住）订				
tʰəŋ	听厅汀	亭停廷庭蜓婷	艇挺		锭定			
nəŋ		宁						
ləŋ	拎	林淋琳霖临邻鳞麟磷陵凌菱凝宁-（安~；~可）零铃伶玲棂（窗~：窗子）□（动词，缝）	凛领岭	□（生下来）	赁吝躏令另			
tʃiəŋ	今金禁（~不住）津巾斤筋京荆惊鲸精晶睛经泾		锦尽（~有）紧谨景井颈仅	襟茎境警浸禁（~止）进晋劲敬竟镜竞径				
tʃʰiəŋ	侵钦亲（~戚）卿清轻青蜻	寻琴禽擒勤芹裙（~子）情晴	寝请倾顷	揿（按(扭等)）亲（~家）庆磬尽（自~）	尽（~先）近静靖净			
ʃiəŋ	心辛新薪欣兴（~旺）星腥猩馨	行（~为）形型刑邢	省（反~）醒擤	信衅兴（高~）幸（~亏）□（副词，正在）	杏幸（~褔）□（摇，振动）			
iŋ	音阴因姻湮殷鹰莺鹦樱缨婴英荫蝇	吟淫银寅蝇迎盈赢瀛营萤荧（~光灯）莹	饮引蚓隐尹影郢颖颍瘾	印应（~当；~用；响~）映熨（~头）				
tʃyəŋ	均钧菌君军		□（~是：老是）□（让|~你拣：先让你挑）	俊骏峻竣郡（~县）晋				
tʃʰyəŋ	皴	秦芹（~菜）裙荀徇询旬循巡群寻=			郡殉			
ʃyəŋ	熏薰醺勋埙	驯徇=询=	髓-榫笋醒-	讯逊巽迅殉=训□（~枵：形容非常薄）				
yŋ		匀云芸耘赢	允（~许，~诺）尹	熨	韵运量孕泳-愠陨酝			
pɐŋ	崩棚（~子：床板）		绷（拉紧；形容痛得紧紧)□（~脆：形容锅巴等又干又脆）	蹦泵迸				
pʰɐŋ	砰烹	朋彭膨棚（~圈）鹏澎蓬篷	捧	碰	蚌□（羽毛等被风吹起）			
mɐŋ	懵	盟蒙萌朦	猛蠓（~子：子孓）□（形容很挤;密密麻麻）蜢		孟梦			
fɐŋ	风枫疯丰封峰锋蜂（马~）缝（门~）	冯蜂（蜜~）逢缝（~衣裳）峰（山~）锋（先~）	讽	俸	奉鳯缝（一条 ~）枫（~树，~菱）			
vɐŋ	翁瓮	横（~过来）						
tɐŋ	东冬咚		董懂	冻栋□（笨;不明白）				
tʰɐŋ	通□（黄~：鼻涕）	同铜桐茼（~蒿）童瞳彤佟	筒桶捅统□（移动）□（黄~：鼻涕）	痛	动洞			
nɐŋ		农脓侬浓			弄			
lɐŋ		笼隆龙珑咙（喉~）窿（窟~）	拢垄		弄（~子：胡同）			
tsɐŋ	棕鬃宗中（~间，当~）忠终衷钟钟盅		怎（~啊：怎么）总冢种（~类）肿踵喠（〔俗语〕吃〔有贬义〕）	纵粽中（~毒）仲众种（~树）踪				
tsʰɐŋ	椿聪匆葱充冲舂憧	丛虫崇从（~容）从（服~）重（~复）	宠	铳冲（说话不太礼貌;表现太直率）	重（~量）□（~女儿：侄女）			
sɐŋ	松嵩松讼□（~磕困：打盹儿）	㞞	怂耸悚	送宋诵颂□（弄~：捉弄，戏弄）				
kɐŋ	公蚣工功攻弓躬宫恭龚（姓）		拱巩□（~脓：溃脓）	贡供（给~，上~）				
kʰɐŋ	空（~虚）		孔恐	控空（~缺）	共			
xɐŋ	轰烘哄（臭~~：形容很臭；闹~~：形容吵闹）	弘横（~直）宏红洪鸿虹	哄（~鼻涕：擤鼻涕）	閧烘（~烧饼）内、讧□（太：~好，~差）				
ɐŋ	翁	横（~七竖八）		瓮				
tɕiɐŋ			窘迥炯					
tɕʰiɐŋ		琼穷穹						
ɕiɐŋ	兄胸凶	熊雄=（英~）						
iɐŋ	雍庸邕佣□（瘫倒）	荣戎绒茸容溶蓉雄-（~鸡：公鸡）	允（~许）永冗拥甬勇涌踊泳咏蛹（蚕儿~）	拥	用佣			
tɕʰiəʔ						切（~草：锄草）吃乞（~丐）七漆（~匠）迄膝（~头爿儿：膝盖）		
piɪʔ						臂鳖憋笔毕必弼逼碧壁璧蹩别（随身携带：把手提电话、钱包等挂在腰带上）□（~滑：形容很光滑）□（~子：水壶）		
pʰiɪʔ						譬（~如）撇瞥匹僻劈关辟霹癖□（~子：水壶）	鼻别（分~）别（离~）枇（~杷）荸（~荠）□（~台：换电视频道）□（怪~：习惯很古怪）	
miɪʔ							灭篾密蜜觅汩（~萝：地名）蔑□（~黑的：非常黑）□（~细的：小型的）	
tiɪʔ						跌的（目~）摘-滴嫡□（~人：指猛然吞下食物后堵在胸口的感觉）		
tʰiɪʔ						剔帖贴铁踢	碟牒蝶谍笛敌狄涤	
ȵiɪʔ							聂蹑孽臬捏（用两只手指抓，扭）匿逆镊溺□（~子：尿布）	
liɪʔ							猎立笠粒列烈裂冽洌劣栗律率力历	
tɕiɪʔ						羁髻溅接折劫急级给（供~）揭竭节截结洁吉即鲫棘积迹脊绩击激蒺（~藜）圾（垃~）寂=		
tɕʰiɪʔ						妾睫捷泣切（~菜）窃漆（油~）膝（~盖）乞（~丐）戚寂-激（感~）	稽协集辑习及截（~住）杰疾极籍藉席睫桀寂-	
ɕiɪʔ						圾（垃~）胁协吸泄设歇蝎屑雪（下~）悉息熄媳惜昔夕钖析	协袭舌折（~了）夕（七~）	
iɪʔ						缢拽刈揖邑噎乙一壹抑益	叶真业邺热逸翼亦译易（~家桥：南通地名）溢□（~子：蝎子）	
kuʔ						□（指示代词，远指）		
tʏʔ						掇□（上下翻滚或颠簸|~汤：指保持汤滚煮的状态|~人：路面不平，行车时颠簸）		
tʰʏʔ						蜕（~皮）脱□（白~~：雪白）	迭迭夺叠-	
ȵʏʔ							□（用手揉面）□（~子：小孩子的尿布）	
lʏʔ							捋	
tɕʏʔ						决诀橘菊掬噘（~嘴）	□（~~儿毛：头发又短又卷）	
tɕʰʏʔ						串（~门）怯缺屈倔却厥	绝掘崛攫黢（~黑）橛（~头）	
ɕʏʔ						薛雪说血穴戍（~狗）恤悉-		
ʏʔ							悦阅月越曰粤	
pɔʔ						八		
pʰɔʔ							拔魃	
pɔʔ							抺□（~~：摩挲）□（灰~~的：灰不溜丢的）	
mɔʔ							抹	
fɔʔ						法发砝	乏伐筏阀罚	
tɔʔ						答搭耷瘩（面疙~）		
tʰɔʔ						踏（~子：台阶）塔榻塌遢獭□（搽：~药水；~面糊：敷衍，马马虎虎）	沓达踏（脚~车：自行车）□（~鼻子：鼻子矮）□（一~括子：副词，整）□（~~：散散步）	
nɔʔ						呐（唢~）	娜纳钠衲捺	
lɔʔ							腊蜡辣癞邋□（拦，挡）	
tsɔʔ						眨札扎杂闸		
tsʰɔʔ						咤（叱~）插擦剎察	闸炸（~火饺）铡	
sɔʔ						撒（~手）萨杀煞刷（~牙子）	刷	
kɔʔ						夹夹甲（二~镇：南通地名）戛挟瞌膈（~肘窝儿）□（抽~：抽屉）		
kʰɔʔ						掐轧（~棉花）甲（指~）□（抽~：抽屉）□（戳~：弄坏）	□（动词，用虎口掐）轧（挤得慌）	
xɔʔ						瞎下（~子）	狭-（条路很~）匣辖	
ŋɔʔ						鸭押压	□（嘴里咕哝）	
ȵiɔʔ							虐疟掠略	
liɔʔ							掠（新派）略（新派）	
tɕiɔʔ						甲脚觉（感~）雀-		
tɕʰiɔʔ						瘸恰洽雀=鹊剧（昆~）	嚼	
ɕiɔʔ						削却（推~）□（~草：割草）	峡狭=（~隘）侠学=（~生，同~）镯（~头：镯子）	
iɔʔ						约哟（哎~：叹词，表示惊讶）	药钥岳乐（音~）	
kuɔʔ						刮（~风）括（一 塌~子：副词，整)		
kʰuɔʔ							□（卡住）	
xuɔʔ						豁刮（~耳骨子：打耳光；~背：鞭背）	猾滑=	
uɔʔ						挖	滑-袜□（~水：反转盆子泼水）□（全部；老是）	
ɕyɔʔ						涮（洗~）	刷（~子|印~）	
pæ̈ʔ						不		
pʰæ̈ʔ							勃□（干面粉）	
mæ̈ʔ							没（~得：没有，无）	
fæ̈ʔ						佛（仿~）	沸（~腾）拂佛（~手）	
væ̈ʔ						□（扭伤）	物勿核-（枣儿~子）	
tæ̈ʔ						跺（~脚）得德□（很粘）		
tʰæ̈ʔ						掉（丢，遗失）	突特凸	
næ̈ʔ						捏（用两只手指抓，扭）	纳	
læ̈ʔ						□（块~子：肉块儿）	肋勒□（~嗓子：喊嗓子）□（~得：贪）	
tsæ̈ʔ						只鹧（~鸪）栀（~子）指（手~头）折（骨~）执汁哲蜇辙浙质则仄织职择（选~）宅（住~）窄摘责		
tsʰæ̈ʔ						厕（~所）蛰察彻撤叱（~责）敕侧测拆策册赤斥尺释（~放）着（觉~：觉得）□（~鞋带子：穿鞋带）	侄秩（~序）贼直植殖泽择（选~）坼宅（~子）射（玩跳房子时扔瓦片）□（拽，拉：~头发）	
sæ̈ʔ						射（~击）麝（~香）涉湿瑟失塞（~住）色啬识式饰适释（解~）虱	十什拾室实食触石射（玩跳房子时扔瓦片）□（拽，拉：~头发）	
kæ̈ʔ						胳格革隔=嗝（饱~）疙（~瘩）膈（~肘窝儿）□（指示代词，近指）		
kʰæ̈ʔ						刻克客咳	隔-□（拟声词，小孩子的哭声）	
xæ̈ʔ						黑赫吓	核=（~心）嗝（打~：打嗝儿）	
ŋæ̈ʔ							额厄扼轭杌（~子：(木制的)小凳子）	
æ̈ʔ						哎（~哟，~唷喂：叹词，表示惊讶）		
iæ̈ʔ							日□（性交）	
kuæ̈ʔ						骨		
kʰuæ̈ʔ							窟	
xuæ̈ʔ						忽□（次，差得不行：~东西）		
tɕʰyæ̈ʔ						出		
ɕyæ̈ʔ							述术率蟀	
yæ̈ʔ							入	
poʔ						钵拨博搏剥北百柏伯卜（占~）箔缚-		
pʰoʔ						泼泊（梁山~）朴朴璞迫拍魄珀卜（占~）扑仆（~倒）仆（~人）帛	勃渤薄（刻~）白杷（枇~）卜（萝~）铂雹□（愣愣~~：说话不流利）	
moʔ							末茉沫抹（~布）没（沈~）莫膜寞摸墨默陌麦脉木沐目穆牧苜睦	
foʔ						佛（彷~）福幅蝠复（~杂；~习）腹覆袱（包~）缚=馥	复（~兴）缚服伏佛（~堂，~龛）辐匐	
toʔ						笃督沰（~雨：淋雨）□（凌~：冰锤儿）厾（故意扔掉）		
tʰoʔ						托拓秃□（掷骰子）	铎独读牍犊毒踱	
noʔ							诺	
loʔ						赂（贿~）	落烙骆酪洛络（~腮须子）乐（快~）鹿麓禄六陆戮录	
tsoʔ						黍（~稷）卒（丢~保车）斫灼酌作琢涿濯擢竹筑祝粥足烛着（~手）嘱=（叮~）		
tsʰoʔ						撮绰镯（手~）畜（~生）促触簇（蚕儿~）	凿昨着（困~：睡着；~火）啄浊族逐轴妯俗（~气，风~）□（淘(米等)）	
soʔ						湖朔嗍（吮吸：~粉丝）烁硕索速肃宿（~舍）缩粟夙叔淑俗（还~）	勺杓芍熟续赎蜀属镯（手~）塾嘱-	
koʔ						蛤（~蜊）鸽割葛各阁搁郭（新派）觉-（~着：觉得）角国虢谷□（性情相合，能够相处）		
kʰoʔ						渴磕括（包~）阔窟廓（新派）扩（新派）确哭酷壳		
xoʔ						喝豁（新派）霍（姓）活（~络）□（靠近，贴近）	合盒学（上~）貉褐或惑获鹤	
ŋoʔ						恶（~棍）	鳄鄂愕腭颚	
kuoʔ						郭		
kʰuoʔ						扩廓		
xuoʔ						豁		
uoʔ						卧（~床，~室）握屋沃霍（~闪：打闪）	活（生~）□（吊~：恶心）	
tɕyoʔ						拙卓桌捉		
tɕʰyoʔ						绌戳（用尖端触击）曲	镯（~头：镯子）局（邮电~）	
ɕyoʔ						嗍（吮(奶、面等)）旭畜（~牧）蓄		
yoʔ						域蜮疫役郁育狱淤（不平：张纸有点儿~）	若弱肉辱褥役（衙~）浴（淋~）玉	
