mĩ		绵棉眠	免勉娩缅腼冕		面			
tĩ	掂颠癫		点典	店殿=（~堂）奠=（祭~）踮甸				
tʰĩ	添天	甜恬湉田填滇	舔腆	掭□（用舌头或嘴把干果之类的外皮剁开）	电殿-奠-（祭~）佃垫			
ȵĩ	拈蔫	黏粘阎严鲶年研	碾辇撵捻（~凿：螺丝刀）		念砚			
lĩ		廉镰帘连联怜莲鲢涟	脸敛		练炼恋			
tɕĩ	簪尖歼兼奸蠢煎毡笺肩坚搛（~菜）沾占间（佫~：这里）		检柬剪展搌（~布：抹布）謇茧	践键=占剑赞（~成）栈谏箭贱（卑~）饯战=建荐见柬（请~）舰				
tɕʰĩ	签谦迁千牵扦歼椠（削水果皮）	潜钳黔亁（~坤）虔钱禅（~宗）婵缠前（~头）	浅遣	嵌=歉欠芡纤毽	渐件健腱贱（卑~）键-俭			
ɕĩ	仙鲜（新~）扇（~风）掀先	嫌闲贤娴	陕闪险癣显蚬	线羡扇（~子）宪献	善膳鳝单（姓）现县骟（~马）□（~~：正在）			
ĩ	阉腌（~咸菜）焉烟燕（~京）□（蓝~~：像天空的淡蓝色）	炎盐詹然燃延言沿芫	染掩演衍	冉厌艳雁（大~）谚堰燕（~子）宴晏焰=	验焰-			
pũ	搬			半畔伴=				
pʰũ	潘	般（一~）盘蟠蹒		判叛绊	伴-拌			
mũ		瞒馒	满					
lũ			卵					
kũ	甘柑泔肝干官棺观（参~）冠（鸡~）		竿敢感杆赶秆擀（~面）管（~家）馆	干贯灌罐观（寺~）冠（~军）赣				
kʰũ	看（~守）刊宽勘堪		龛坎砍侃款瞰	看（~见）勘				
xũ	蚶憨酣欢獾	含涵函邯寒韩	喊罕缓（~慢）	憾=撼=汉汗=唤=焕=	憾-撼-旱焊换=唤-焕-汗-			
ũ	安鞍豌鹌庵	完丸纨	剜缓-皖碗宛腕	暗按案	岸换-			
tʏ̃	端□（~把：炖布）		短	锻				
tʰʏ̃	贪	团潭（酒~儿：酒窝）坛	湍	探（试~）	段断缎			
ȵʏ̃		南楠男	暖					
lʏ̃		鸾峦栾（姓）孪挛（揽：~生意）	卵		乱			
tɕʏ̃	钻（~研）专砖娟涓捐鹃簮（玉~花）		转（~眼）卷	篆转（旋~）眷卷（上~，下~）绢倦=钻（~石）				
tɕʰʏ̃	川穿串（~东西）圏（圆~）汆（~圆子，~丸子）	蚕全泉传（~达）椽船拳权颧	喘犬	篡纂窜串（一~）勤钏劝	圈（猪~）传（~记）倦-券			
ɕʏ̃	轩酸宣喧楦	弦旋（~转）玄眩悬	选癣（干~）	算蒜旋（~风）	眩			
ʏ̃	冤渊鸳	圆员缘元原源袁辕园援媛橼（香~）	软阮远	怨	院愿			
pɔ̃	班斑颁扳般=		板版瓣（花~儿）	扮瓣（花~儿）				
pʰɔ̃	攀潘襻（~儿：钮扣）	爿（嘴~子：嘴唇；屁股~：屁股）攀（爬：~山）		盼绊	办			
mɔ̃	蛮（很）	蛮（野~）			漫慢幔蔓曼鳗			
fɔ̃	帆翻番（~芋：白薯）蕃幡（勾瑰~）	凡烦藩繁樊（姓）	反返	泛贩	范犯饭			
tɔ̃	耽担（~任）丹单郸		胆掸旦（文~：柚子）诞-	诞=担（挑~）旦（元~）				
tʰɔ̃	滩摊瘫	潭（水~）谭谈痰檀坛弹（~琴）	毯坦忐	坍探（试~）炭碳叹□（动词，塌下）	淡但弹（子~）蛋氮			
nɔ̃		难（~易）	赧		难（患~）			
lɔ̃		蓝篮兰栏拦岚澜	览揽榄缆懒		滥烂			
tsɔ̃	簪沾粘（~贴）瞻占□（~肉：肉沫儿）		斩攒	盏站（车~）蘸赞（~成）绽=栈=战-				
tsʰɔ̃	参搀餐掺	惭馋残涎缠蝉□（再次斟茶）	惨铲产□（形容物品很棒）	灿颤忏□（全部；老是）	暂赚（~钱）绽-栈-			
sɔ̃	三山杉衫珊删栅闩	涎	散（~架）伞产（~妇）		散（~步）涮			
kɔ̃	监-（~狱）间-（一~）尴		感=橄拣碱	间-（~一天）□（~屁股：擦屁股）监-（~考）				
kʰɔ̃	堪铅	箝（螃蟹的螯足：~子）舰	舰槛	嵌				
xɔ̃	□（做事很慢）	咸衔-	喊	喊	陷-（~下去）苋馅-限-□（~子：麦子、玉米的粉碎物）			
ŋɔ̃	淹	癌岩颜	眼	晏（晚）	雁			
kuɔ̃	关		管（不~）	惯				
kʰuɔ̃		环寰		□（把衣服搭上去）	掼（落；用力往下放）			
xuɔ̃	□（有劲）	桓还=（~俗）顽=	缓（~慢）		幻患宦			
uɔ̃	弯湾	顽-（~固）玩（古~）还-（~钱）	晚挽腕（脚~子：脚脖子）	腕□（时间经过）	万			
ɕyɔ̃	拴（~住）栓（门~子）□（赶，追）							
lẽ		良凉量（~长短）粮梁（姓）梁粱	两（~个；几~几钱）魉（魑魅魍~）辆		亮谅晾量（数~）			
ȵiẽ	嬢（~~：姑）	娘（母亲面称）酿（酒~）	仰		酿（~酒）			
tɕiẽ	艰间=（挑拨离~）将（~来）浆疆僵姜礓缰姜江（~阴：地名）监=（太~）		减俭简蒋奖桨讲=（~师）	裥强（倔~）鉴监=（~视；国子~）间=（~隔）涧酱将（大~）匠=（工~）降（下~）谏犟				
tɕʰiẽ	枪羌腔	墙详祥翔强（~国）降（~伏）蔷	抢强（勉~）	呛	象像橡匠-（铁~）			
ɕiẽ	相（互~）箱厢湘襄镶香乡	衔（军~）投（降~）闲贤详（新派）祥（新派）翔（新派）	想享响饷舍（~人）享	相（~貌，~公）向	限=陷（沦~）馅			
iẽ	央秧殃鸯	羊洋扬杨阳烊（雪~了：雪化了）	仰=养痒		样恙烊（打~）			
pᴇ̃	奔（~驰）锛（~子）栟（~茶：南通地名）畚（扫进簸箕里）		本	奔（~头）畚（~箕：簸箕，簸斗）				
pʰᴇ̃	喷（~水）烹	盆		喷（~香）笨（笨;傻子）	笨			
mᴇ̃	闷（低下来）	门明（~朝：明天）		□（儿语，睡觉）	闷焖懑			
fᴇ̃	分（~别）芬纷吩氛	焚坟汾	粉	粪奋=	愤忿份奋-分（~外）			
vᴇ̃	温瘟□（~臭：非常臭，难闻；~赃的：形容非常肮脏）	文纹蚊雯闻	稳吻紊		问			
tᴇ̃	敦墩礅登灯蹲（逗留；在）□（~点儿(吃)：快点儿(吃)）□（拽，拉：~头发）		等	顿凳瞪炖䙞（棉~子：棉袄）				
tʰᴇ̃	吞	屯豚饨腾腾藤疼囤沌誊	汆	□（动词，脱）	钝遁邓盾			
nᴇ̃		能			嫩			
lᴇ̃		论（~语）仑伦沦轮棱	冷		愣（发~：不灵活）论（争~）			
tsᴇ̃	针斟珍榛（~子）臻真曾（姓）增征蒸争筝睁贞侦正（~月）征砧胗		娠枕（~头）怎（~啊：怎么）诊疹拯整缜	憎枕（~枕头）镇振震赠证症正（方~）政				
tsʰᴇ̃	参（~差）称（~呼）撑逞瞠嗔	沉岑陈臣晨辰（~光：时候）蹲（~下来）曾（~经）层澄惩橙乘承丞呈程盛（~起来）城诚	碜（~嘴：食物里杂有沙子等，感觉不好；眼~：瞇眼）	趁衬称（~心，相~）秤（一~）剩（~饭）	阵剩（~下来）郑□（冰~：很冷）曾（不曾）			
