id	ini	fn	pt	单字	IPA	注释		小學堂	甘網處理後	issame	isui
67	k	ɔ	24	裹	kɔ24	包裹		kuɔ24;fɔ24	kɔ24	False	False
68	k	ɔ	33	過	kɔ33	过去		kuɔ33	kɔ33	False	False
69	f	ɔ	55	科	fɔ55	文科		fɔ55	fɔ55	1	False
70	pʰ	ɔ	55	棵	pʰɔ55	一棵		pʰɔ55	pʰɔ55	1	False
71	k	ɔ	24	顆	kɔ24	颗粒		lɔ24	kɔ24	False	False
72	f	ɔ	33	課	fɔ33	上课		fɔ33	fɔ33	1	False
73	ŋ	ɔ	11	訛	ŋɔ21	讹诈		ŋɔ21	ŋɔ21	1	False
74	ŋ	ɔ	22	臥	ŋɔ22	卧室		ŋɔ22	ŋɔ22	1	False
75	f	ɔ	24	火	fɔ24	火车		fɔ24	fɔ24	1	False
76	f	ɔ	24	伙	fɔ24	伙食			fɔ24	1	False
77	f	ɔ	24	夥	fɔ24	伙计，合伙		fɔ24	fɔ24	1	False
78	f	ɔ	33	貨	fɔ33	货物		fɔ33	fɔ33	1	False
79	w	ɔ	11	和	wɔ21	和气		wuɔ21	wɔ21	False	False
80	w	ɔ	11	禾	wɔ21	禾苗		wuɔ21	wɔ21	False	False
81	w	ɔ	22	禍	wɔ22	祸害		wuɔ22	wɔ22	False	False
82	w	ɔ	11	和	wɔ21	和诗，唱和		wuɔ21	wɔ21	False	False
83	w	ɔ	55	倭	wɔ55	倭寇		wuɔ55	wɔ55	False	False
84	w	ɔ	55	窩	wɔ55	鸟窝			wɔ55	1	False
85	w	ɔ	55	萵	wɔ55	莴笋			wɔ55	1	False
86	h	œ	55	靴	hœ55	靴子		hœ55	hœ55	1	False
87	p	a	55	巴	pa55	巴掌		pa55	pa55	1	False
88	p	a	55	芭	pa55	芭蕉		pa55	pa55	1	False
89	p	a	55	疤	pa55	伤疤			pa55	1	False
90	p	a	24	把	pa24	把柄		pa24	pa24	1	False
91	p	a	33	霸	pa33	霸王		pa33	pa33	1	False
92	p	a	24	把	pa24	把握、一把		pa24	pa24	1	False
93	p	a	33	壩	pa33	堤坝			pa33	1	False
94	p	a	55	爸	pa55	爸爸			pa55	1	False
95	pʰ	a	33	怕	pʰa33	害怕		pʰa33	pʰa33	1	False
96	pʰ	a	11	爬	pʰa21	爬树		pʰa21	pʰa21	1	False
97	pʰ	a	11	琶	pʰa21	琵琶		pʰa21	pʰa21	1	False
98	pʰ	a	11	杷	pʰa21	枇杷		pʰa21;pʰa21;ṕa21	pʰa21	False	False
99	pʰ	a	11	耙	pʰa21	犁耙			pʰa21	1	False
100	m	a	11	麻	ma21	麻袋		ma21	ma21	1	False
101	m	a	11	痲	ma21	麻疹		ma21	ma21	1	False
102	m	ou	55	蟆	mou55/mɔk22	蛤蟆		mɔk22	mou55	False	False
103	m	a	55	媽	ma55	妈妈			ma55	1	False
104	m	a	33	馬	ma33	骑马		ma33	ma33	1	False
105	m	a	33	碼	ma33	码头		ma33	ma33	1	False
106	m	a	22	罵	ma22	骂人		ma22	ma22	1	False
107	n	a	11	拿	na21	拿手；推拿			na21	1	False
108	tsʰ	a	11	茶	tsʰa21	茶叶		tsʰa21	tsʰa21	1	False
109	tsʰ	a	11	搽	tsʰa21	搽药			tsʰa21	1	False
110	ts	a	55	楂	tsa55	山楂			tsa55	1	False
111	ts	a	55	渣	tsa55	药渣		tsa55	tsa55	1	False
112	ts	a	33	詐	tsa33	诈骗		tsa33	tsa33	1	False
113	ts	a	33	榨	tsa33	榨油		tsa33	tsa33	1	False
114	ts	a	33	炸	tsa33	炸弹			tsa33	1	False
115	tsʰ	a	55	叉	tsʰa55	叉腰		tsʰa55	tsʰa55	1	False
116	tsʰ	a	55	杈	tsʰa55	枝杈		tsʰa55	tsʰa55	1	False
117	tsʰ	a	55	差	tsʰa55	差别		tsʰa55;tsʰai55;tsʰa55	tsʰa55	False	False
118	tsʰ	a	33	岔	tsʰa33	三岔路口			tsʰa33	1	False
119	tsʰ	a	11	查	tsʰa21	调查			tsʰa21	1	False
120	s	a	55	沙	sa55	沙漠		sa55	sa55	1	False
121	s	a	55	紗	sa55	纱布		sa55	sa55	1	False
122	s	a	55	砂	sa55	朱砂；砂纸		sa55	sa55	1	False
123	s	a	55	痧	sa55	刮痧；斑痧			sa55	1	False
124	s	a	24	灑	sa24	洒水		sa24	sa24	1	False
125	k	a	55	家	ka55	成家，老家		ka55	ka55	1	False
126	k	a	55	加	ka55	加工		ka55	ka55	1	False
127	k	a	55	痂	ka55	结痂		ka55	ka55	1	False
128	k	a	55	嘉	ka55	嘉宾		ka55	ka55	1	False
129	k	a	55	傢	ka55	家具			ka55	1	False
130	k	a	24	假	ka24	真假		ka24;ka33	ka24	False	False
131	k	a	24	賈	ka24	姓，贾宝玉		ka24	ka24	1	False
132	k	a	33	假	ka33	放假		ka24;ka33	ka33	False	False
133	k	a	33	架	ka33	衣架		ka33	ka33	1	False
134	k	a	33	駕	ka33	驾驶		ka33	ka33	1	False
135	k	a	33	嫁	ka33	出嫁		ka33	ka33	1	False
136	k	a	33	價	ka33	价钱		ka33	ka33	1	False
137	ŋ	a	11	牙	ŋa21	牙齿		ŋa21	ŋa21	1	False
138	ŋ	a	11	芽	ŋa21	豆芽		ŋa21	ŋa21	1	False
139	ŋ	a	11	衙	ŋa21	衙门		ŋa21	ŋa21	1	False
140	ŋ	a	11	蚜	ŋa21	蚜虫（生在豆类、棉花、稻等幼苗上）			ŋa21	1	False
141	ŋ	a	33	雅	ŋa33	典雅		ŋa33	ŋa33	1	False
142	h	a	55	蝦	ha55	虾蟆（蛤蟆）		ha55	ha55	1	False
143	h	a	55	蝦	ha55	虾腰		ha55	ha55	1	False
144	h	ak	33	嚇	hak3	恐吓		hak33	hak3	False	False
145	h	a	11	霞	ha21	朝霞		ha21	ha21	1	False
146	h	a	11	瑕	ha21	瑕疵		ha21	ha21	1	False
147	h	a	55	蝦	ha55	鱼虾		ha55	ha55	1	False
148	h	a	22	下	ha22	下降		ha22	ha22	1	False
149	h	a	22	夏	ha22	春夏		ha22	ha22	1	False
150	h	a	22	厦	ha22	高楼大厦，商厦			ha22	1	False
151	h	a	22	下	ha22	下面		ha22	ha22	1	False
152	h	a	22	夏	ha22	姓夏		ha22	ha22	1	False
153	h	a	11	暇	ha21	目不暇接，闲暇		ha22	ha21	False	False
154	∅	a	55	鴉	ʔa55	乌鸦		∅a55	∅a55	1	False
155	∅	a	55	丫	ʔa55	丫头		∅a55	∅a55	1	False
156	∅	a	55	椏	ʔa55	桠杈		∅a55	∅a55	1	False
157	∅	a	24	啞	ʔa24	哑巴		∅a24	∅a24	1	False
158	∅	a	33	亞	ʔa33	亚洲		∅a33	∅a33	1	False
159	ts	ɛ	24	姐	tsɛ24	姐姐		tsɛ24	tsɛ24	1	False
160	ts	ɛ	33	借	tsɛ33	借钱		tsɛ33	tsɛ33	1	False
161	s	ɛ	24	且	sɛ24	*而且		sɛ24	sɛ24	1	False
162	ts	ek	33	藉	tsek3	藉故，藉口		tsek22	tsek3	False	False
163	s	ɛ	55	些	sɛ55	一些		sɛ55	sɛ55	1	False
164	s	ɛ	24	寫	sɛ24	写字		sɛ24	sɛ24	1	False
165	s	ɛ	33	瀉	sɛ33	腹泻		sɛ33	sɛ33	1	False
166	s	ɛ	33	卸	sɛ33	卸货		sɛ33	sɛ33	1	False
167	tsʰ	ɛ	11	邪	tsʰɛ21	邪气		tsʰɛ21	tsʰɛ21	1	False
168	tsʰ	ɛ	22	斜	tsʰɛ22	斜线		tsʰɛ21	tsʰɛ22	False	False
169	ts	ɛ	22	謝	tsɛ22	谢谢；姓		tsɛ22	tsɛ22	1	False
170	t	ɛ	55	爹	tɛ55	爹娘		tɛ55	tɛ55	1	False
171	ts	ɛ	55	遮	tsɛ55	遮挡		tsɛ55	tsɛ55	1	False
172	ts	ɛ	24	者	tsɛ24	记者		tsɛ24	tsɛ24	1	False
173	ts	ɛ	33	蔗	tsɛ33	甘蔗		tsɛ55	tsɛ33	False	False
174	tsʰ	ɛ	55	車	tsʰɛ55	火车		ky55;tsʰɛ55	tsʰɛ55	False	False
175	tsʰ	ɛ	24	扯	tsʰɛ24	拉扯			tsʰɛ24	1	False
176	s	ɛ	11	蛇	sɛ21	毒蛇		sɛ21	sɛ21	1	False
177	s	ɛ	22	射	sɛ22	发射		sɛ22	sɛ22	1	False
178	s	ɛ	22	麝	sɛ22	麝香		sɛ22	sɛ22	1	False
179	tsʰ	ɛ	55	奢	tsʰɛ55	奢侈		tsʰɛ55	tsʰɛ55	1	False
180	s	ɛ	55	賒	sɛ55	赊帐			sɛ55	1	False
181	s	ɛ	24	捨	sɛ24	舍得，舍弃		sɛ24	sɛ24	1	False
182	s	ɛ	33	赦	sɛ33	赦免		sɛ33	sɛ33	1	False
183	s	ɛ	33	舍	sɛ33	宿舍		sɛ24;sɛ33	sɛ33	False	False
184	s	ɛ	22	佘	sɛ22	佘太君			sɛ22	1	False
185	s	ɛ	33	社	sɛ33	公社		sɛ33	sɛ33	1	False
186	∅	iɛ	24	惹	jiɛ24	招惹		jiɛ24	jɛ24	False	False
187	∅	iɛ	11	耶	jiɛ21	耶酥		jiɛ21	jɛ21	False	False
188	∅	iɛ	11	爺	jiɛ21	爷爷			jɛ21	1	False
189	∅	iɛ	11	椰	jiɛ21	椰子			jɛ21	1	False
190	∅	ia	33	也	jia33	也是		jia33	ja33	False	False
191	∅	iɛ	33	野	jiɛ33	野兔		jiɛ33	jɛ33	False	False
192	∅	iɛ	22	夜	jiɛ22	夜晚		jiɛ22	jɛ22	False	False
193	s	ɔ	11	傻	sɔ21	傻瓜		sɔ22	sɔ21	False	False
194	s	a	24	耍	sa24	玩耍			sa24	1	False
195	kw	a	55	瓜	kwa55	西瓜		kua55	kwa55	False	False
196	w	ɔ	55	蝸	wɔ55	蜗牛		wuɔ55	wɔ55	False	False
197	kw	a	24	寡	kwa24	寡妇		kua24	kwa24	False	False
198	kw	a	24	剮	kwa24	千刀万剐		kua24	kwa24	False	False
199	kwʰ	a	55	誇	kʰwa55	夸奖；夸张		kʰua55	kʰwa55	False	False
200	kwʰ	a	55	垮	kʰwa55	垮台			kʰwa55	1	False
201	kwʰ	a	55	跨	kʰwa55	跨度		kʰua55	kʰwa55	False	False
202	ŋ	a	33	瓦	ŋa33	瓦片		ŋa33	ŋa33	1	False
203	f	a	55	花	fa55	开花		fa55	fa55	1	False
204	f	a	33	化	fa33	变化		fa33	fa33	1	False
205	w	a	11	華	wa21	华山		wua21;fa55;wua21;wua21	wa21	False	False
206	w	a	55	劃	wa55	划船		wuak22	wa55	False	False
207	w	a	11	華	wa21	中华		wua21;fa55;wua21;wua21	wa21	False	False
208	w	a	55	蛙	wa55	青蛙		wua55	wa55	False	False
209	w	a	55	窪	wa55	低洼		wua55	wa55	False	False
210	p	ou	24	補	pou24	补衣服		pou24	pou24	1	False
211	pʰ	ou	24	譜	pʰou24	族谱		pʰou24	pʰou24	1	False
212	p	ou	33	布	pou33	布匹，一块布		pou33	pou33	1	False
213	p	ou	33	佈	pou33	布置；公布		pou33	pou33	1	False
214	pʰ	ou	55	鋪	pʰou55	铺设		pʰou55;pʰou33	pʰou55	False	False
215	pʰ	ou	24	普	pʰou24	普通		pʰou24	pʰou24	1	False
216	p	ou	33	浦	pou33	浦江		pʰou33	pou33	False	False
217	pʰ	ou	33	鋪	pʰou33	店铺		pʰou55;pʰou33	pʰou33	False	False
218	p	ou	33	怖	pou33	恐怖		pou33	pou33	1	False
219	pʰ	ou	11	蒲	pʰou21	蒲团		pʰou21	pʰou21	1	False
220	pʰ	ou	11	菩	pʰou21	菩萨		pʰou21	pʰou21	1	False
221	pʰ	ou	55	脯	pʰou55	胸脯		pʰou33	pʰou55	False	False
222	pʰ	ou	11	葡	pʰou21	葡萄			pʰou21	1	False
223	p	ou	22	部	pou22	部队		pou22	pou22	1	False
224	p	ou	24	簿	pou24	帐簿		pou24	pou24	1	False
225	p	ou	22	步	pou22	跑步		pou22	pou22	1	False
226	p	ou	22	捕	pou22	捕捉；捕快		pou22	pou22	1	False
227	f	ɐu	22	埠	fɐu22	埠头			fɐu22	1	False
228	m	ou	11	模	mou21	模范		mou21	mou21	1	False
229	m	ou	11	模	mou21	模型		mou21	mou21	1	False
230	m	ou	11	摹	mou21	摹仿			mou21	1	False
231	m	ou	22	墓	mou22	坟墓		mou22	mou22	1	False
232	m	ou	22	暮	mou22	日暮		mou22	mou22	1	False
233	m	ou	22	慕	mou22	羡慕		mou22	mou22	1	False
234	m	ou	22	募	mou22	募捐		mou22	mou22	1	False
235	t	ou	55	都	tou55	都是		tou55	tou55	1	False
236	t	ou	55	都	tou55	首都		tou55	tou55	1	False
237	t	ou	24	堵	tou24	堵车		tou24	tou24	1	False
238	t	ou	24	賭	tou24	赌博		tou24	tou24	1	False
239	t	ou	24	肚	tou24	猪肚（胃），鱼肚		tou24	tou24	1	False
240	t	ou	33	妒	tou33	妒忌		tou33	tou33	1	False
241	tʰ	ou	24	土	tʰou24	土地		tʰou24	tʰou24	1	False
242	tʰ	ou	33	吐	tʰou33	呕吐		tʰou33	tʰou33	1	False
243	tʰ	ou	33	吐	tʰou33	吐痰		tʰou33	tʰou33	1	False
244	tʰ	ou	33	兔	tʰou33	兔子		tʰou33	tʰou33	1	False
245	tʰ	ou	11	徒	tʰou21	徒弟		tʰou21	tʰou21	1	False
246	tʰ	ou	11	屠	tʰou21	屠杀		tʰou21	tʰou21	1	False
247	tʰ	ou	11	途	tʰou21	前途		tʰou21	tʰou21	1	False
248	tʰ	ou	11	塗	tʰou21	泥涂，涂改		tʰou21	tʰou21	1	False
249	tʰ	ou	11	圖	tʰou21	地图		tʰou21	tʰou21	1	False
250	t	ou	22	杜	tou22	杜仲；姓		tou22	tou22	1	False
251	t	ou	24	肚	tou24	肚子，肚脐		tou24	tou24	1	False
252	t	ɔk	33	度	tɔk3	忖度，度长		tou22	tɔk3	False	False
253	t	ou	22	渡	tou22	偷渡		tou22	tou22	1	False
254	t	ou	22	鍍	tou22	电镀		tou22	tou22	1	False
255	n	ou	11	奴	nou21	奴隶		nou21	nou21	1	False
256	n	ou	33	努	nou33	努力		lou33	nou33	False	False
257	n	ou	22	怒	nou22	发怒		nou22	nou22	1	False
258	l	ou	11	盧	lou21	姓卢		lou21	lou21	1	False
259	l	ou	11	爐	lou21	炉子		lou21	lou21	1	False
260	l	ou	11	蘆	lou21	芦苇		lou21	lou21	1	False
261	l	ou	33	魯	lou33	鲁迅		lou33	lou33	1	False
262	l	ou	33	櫓	lou33	摇船的工具		lou33	lou33	1	False
263	l	ou	33	虜	lou33	俘虏		lou33	lou33	1	False
264	l	ou	33	滷	lou33	卤水		lou33	lou33	1	False
265	l	ou	22	路	lou22	马路		lou22	lou22	1	False
266	l	ɔk	33	賂	lɔk3	贿赂		lou22	lɔk3	False	False
267	l	ou	22	露	lou22	露水		lou22	lou22	1	False
268	l	ou	22	鷺	lou22	白鹭		lou22	lou22	1	False
269	ts	ou	55	租	tsou55	房租		tsou55	tsou55	1	False
270	ts	ou	24	祖	tsou24	祖国		tsou24	tsou24	1	False
271	ts	ou	24	組	tsou24	组长		tsou24	tsou24	1	False
272	ts	ou	33	做	tsou33	做饭			tsou33	1	False
273	tsʰ	ou	55	粗	tsʰou55	粗心		tsʰou55	tsʰou55	1	False
274	tsʰ	ou	33	醋	tsʰou33	吃醋		tsʰou33	tsʰou33	1	False
275	tsʰ	ou	33	措	tsʰou33	措施		tsʰou33	tsʰou33	1	False
276	tsʰ	ɔ	33	錯	tsʰɔ33	错误		tsʰɔ33	tsʰɔ33	1	False
277	s	ou	55	蘇	sou55	苏州		sou55	sou55	1	False
278	s	ou	55	酥	sou55	酥油，酥饼		sou55	sou55	1	False
279	s	ou	33	素	sou33	吃素；朴素		sou33	sou33	1	False
280	s	ou	33	訴	sou33	告诉		sou33	sou33	1	False
281	s	ɔk	33	塑	sɔk3	塑像		sou33	sɔk3	False	False
282	k	u	55	姑	ku55	姑娘		ku55	ku55	1	False
283	k	u	55	孤	ku55	孤独		ku55	ku55	1	False
284	k	u	55	箍	ku55	紧箍咒		kʰu55	ku55	False	False
285	k	u	55	辜	ku55	无辜，辜负			ku55	1	False
286	k	u	24	古	ku24	古代		ku24	ku24	1	False
287	k	u	24	估	ku24	估计		ku24	ku24	1	False
288	k	u	24	牯	ku24	牛牯		ku24	ku24	1	False
289	k	u	24	股	ku24	股票		ku24	ku24	1	False
290	k	u	24	鼓	ku24	鼓励		ku24	ku24	1	False
291	k	u	24	蠱	ku24	蛊惑；整蛊			ku24	1	False
292	k	u	33	故	ku33	故事		ku33	ku33	1	False
293	k	u	33	固	ku33	固定		ku33	ku33	1	False
294	k	u	33	雇	ku33	雇主		ku33	ku33	1	False
295	k	u	33	顧	ku33	照顾		ku33	ku33	1	False
296	f	u	55	枯	fu55	枯萎		fu55	fu55	1	False
297	f	u	24	苦	fu24	吃苦		fu24	fu24	1	False
298	kʰ	u	33	庫	kʰu33	水库		fu33	kʰu33	False	False
299	f	u	33	褲	fu33	裤子			fu33	1	False
300	ŋ̍	ŋ̍	11	吴	ŋ̍21	姓			ŋ̍21	1	False
301	ŋ̍	ŋ̍	11	蜈	ŋ̍21	蜈蚣		ŋ∅21	ŋ̍21	False	False
302	ŋ̍	ŋ̍	11	梧	ŋ̍21	梧桐		ŋ∅21	ŋ̍21	False	False
303	ŋ̍	ŋ̍	33	五	ŋ̍33	第五		ŋ∅33	ŋ̍33	False	False
304	ŋ̍	ŋ̍	33	伍	ŋ̍33	队伍		ŋ∅33	ŋ̍33	False	False
305	ŋ̍	ŋ̍	33	午	ŋ̍33	中午		ŋ∅33	ŋ̍33	False	False
306	ŋ̍	ŋ̍	22	誤	ŋ̍22	错误		ŋ∅22	ŋ̍22	False	False
307	ŋ̍	ŋ̍	22	悟	ŋ̍22	孙悟空		ŋ∅22	ŋ̍22	False	False
308	f	u	55	呼	fu55	呼吸		fu55	fu55	1	False
309	f	u	24	虎	fu24	老虎		fu24	fu24	1	False
310	w	u	24	滸	wu24	水浒传		wu22	wu24	False	False
311	f	u	33	戽	fu33	戽水		fu55	fu33	False	False
312	w	u	11	胡	wu21	二胡；姓		wu21	wu21	1	False
313	w	u	11	湖	wu21	太湖		wu21	wu21	1	False
314	w	u	11	狐	wu21	狐狸		wu21	wu21	1	False
315	w	u	11	壺	wu21	水壶		wu21	wu21	1	False
316	f	u	11	乎	fu21	在乎		fu21	fu21	1	False
317	w	u	11	鬍	wu21	胡须			wu21	1	False
318	w	u	11	葫	wu21	葫芦			wu21	1	False
319	w	u	11	糊	wu21	糊涂			wu21	1	False
320	w	u	11	蝴	wu21	蝴蝶			wu21	1	False
321	w	u	22	户	wu22	户口			wu22	1	False
322	w	u	22	滬	wu22	上海简称		wu22	wu22	1	False
323	w	u	22	互	wu22	互相		wu22	wu22	1	False
324	w	u	22	護	wu22	保护		wu22	wu22	1	False
325	w	u	55	烏	wu55	乌鸦		wu55	wu55	1	False
326	w	u	55	污	wu55	污染		wu55	wu55	1	False
327	w	u	55	塢	wu55	船坞		wu55	wu55	1	False
328	w	u	55	惡	wu55	可恶		wu33;∅ɔk55	wu55	False	False
329	n	oi	33	女	nøy33	女儿		nøy33	noi33	False	1
330	l	ou	11	廬	lou21	庐山		lou21	lou21	1	False
331	l	ou	11	驢	lou21	毛驴		løy21	lou21	False	1
332	l	oi	33	吕	loi33	姓			loi33	1	False
333	l	oi	33	旅	løy33	旅游		løy33	loi33	False	1
334	l	oi	22	慮	løy22	考虑		løy22	loi22	False	1
335	l	oi	22	濾	loi22	过滤			loi22	1	False
337	s	oi	33	絮	søy33	棉絮		søy33	soi33	False	1
338	tsʰ	oi	11	徐	tsʰøy21	姓		tsʰøy21	tsʰoi21	False	1
339	ts	oi	22	序	tsøy22	秩序		tsøy22	tsoi22	False	1
340	ts	oi	22	叙	tsoi22	叙述			tsoi22	1	False
341	s	oi	33	緒	søy33	情绪；光绪		søy33	soi33	False	1
342	ts	y	55	豬	tsy55	猪肉		tsy55	tsy55	1	False
343	ts	y	33	著	tsy33	著名		tsy33;tsœk33;tsœk33	tsy33	False	False
344	tsʰ	y	11	除	tsʰy21	除法		tsʰy21	tsʰy21	1	False
345	tsʰ	y	33	儲	tsʰy33	储蓄		tsʰy55	tsʰy33	False	False
346	tsʰ	y	33	苧	tsʰy33	苎麻		tsʰy55	tsʰy33	False	False
348	ts	ɔ	24	阻	tsɔ24	阻力		tsɔ24	tsɔ24	1	False
349	tsʰ	ɔ	55	初	tsʰɔ55	初中		tsʰɔ55	tsʰɔ55	1	False
350	tsʰ	ɔ	24	楚	tsʰɔ24	清楚		tsʰɔ24	tsʰɔ24	1	False
351	tsʰ	ɔ	24	礎	tsʰɔ24	基础		tsʰɔ24	tsʰɔ24	1	False
352	tsʰ	ɔ	11	鋤	tsʰɔ21	锄头		tsʰɔ21	tsʰɔ21	1	False
353	ts	ɔ	22	助	tsɔ22	帮助		tsɔ22	tsɔ22	1	False
354	s	ɔ	55	梳	sɔ55	梳头		sɔ55	sɔ55	1	False
355	s	ɔ	55	疏	sɔ55	疏远		sɔ55;sɔ33	sɔ55	False	False
356	s	ɔ	55	蔬	sɔ55	蔬菜		sɔ55	sɔ55	1	False
357	s	ɔ	24	所	sɔ24	所以		sɔ24	sɔ24	1	False
358	s	ɔ	55	疏	sɔ55	注疏		sɔ55;sɔ33	sɔ55	False	False
359	ts	y	55	諸	tsy55	诸葛亮		tsy55	tsy55	1	False
360	ts	y	24	煮	tsy24	煮饭			tsy24	1	False
361	tsʰ	y	33	處	tsʰy33	处理		tsʰy33	tsʰy33	1	False
362	tsʰ	y	33	處	tsʰy33	处所		tsʰy33	tsʰy33	1	False
363	s	y	55	書	sy55	书本		sy55	sy55	1	False
364	s	y	55	舒	sy55	舒服		sy55	sy55	1	False
365	s	y	24	暑	sy24	暑假		sy24	sy24	1	False
366	s	y	24	鼠	sy24	老鼠		sy24	sy24	1	False
