#ɿ
m [21]磨{～ 面，石～}冒帽[13]马码[45]摸[121]磨{～刀}麻痲梅媒煤毛茅
t [21]剁道脱[54]倒{打～，颠～}到倒{～水}[13]淡[45]多刀□{耽}[121]桃淘陶萄谈檀
tʰ [21]托[54]套[45]拖
n [21]糯[13]懒[121]南男难{～易}难
l [21]落录[54]牢[13]老揽[45]啰[121]罗锣箩瘰篓蓝篮兰拦栏
ts [33]左佐早蚤[21]凿[54]灶作[13]坐座[45]糟[121]槽愁残
tsʰ [33]草[21]做错{～误}撮促[54]锉[45]搓
s [33]蓑锁琐所索[54]扫{～ 地}嫂扫{～ 帚}朔[45]骚臊
tʃ [33]捉[21]拄浊[54]兆[45]桌[121]茶查醮蚕粥
tʃʰ [45]戳
ʃ [21]摄[13]始少[45]吸
k [54]个告[45]歌高糕
kʰ [33]可[21]叩磕酷[54]靠靠{枕，动词}[45]科
ŋ [21]饿[13]眼[121]蛾鹅俄牙芽熬摇
h [33]何和豪毫咸[21]贺浩耗号合盒[13]吼喊
∅ [21]恶[121]凶

#iəu
l [21]六陆绿[45]溜
s [21]粟俗
tʃ [21]卒
ʃ [54]□{晦}
∅ [33]□{父}[13]野
i[21]认[13]耳忍[121]人仁银
tʃ [33]紧[21]□{揞}掐□{闯}[54]禁劲[13]妗近[45]今金绢巾斤筋[121]勤芹
ȵ [21]认[13]耳忍[121]人仁银
ʃ [54]险兴{高～}
∅ [21]寅[54]任演谚堰燕咽印映[13]引养痒[45]阉腌音阴荫烟因姻[121]盐阎檐壬羊洋杨阳扬萤营

#ã
p [33]本绑浜[45]帮{～助}邦崩
f [33]粉[21]焕换份[54]粪[45]欢婚分芬纷芳
t [33]等[21]盾邓[54]凳[45]丹登灯
n [21]嫩
l [21]论
tsʰ [33]寸[45]村
s [45]孙僧
tʃ [21]站
ʃ [21]上{～面}
k [33]讲[45]跟根岗江
h [21]巷[45]□{给}
∅ [45]恩

#iã
p [33]丙柄饼[21]病[45]鞭编冰兵
pʰ [45]拼
m [21]命
f [45]兄
t [33]顶鼎挺[21]订定[54]电[45]丁钉{铁～}钉{～住}
tʰ [45]厅[121]听
n [21]娘{姑姑}
ts [33]井[21]静净[45]精睛
tsʰ [33]请[54]亲{～家}[45]清青
s [33]醒[21]性姓[54]锈[45]星腥
tʃ [33]整[54]振证正[45]蒸正{～月}
tʃʰ [54]称{相～}[45]称{～呼，～重量}
ʃ [21]剩省{节～ }[54]胜{～任}胜{～败}圣[45]升声
k [33]颈[54]镜[45]京惊
kʰ [54]庆
h [45]轻
∅ [13]样[45]央秧

#uã
ʃ [54]爽
k [33]管馆滚[54]棍[45]官棺
kʰ [33]匡筐[13]矿[45]昆坤[121]狂
∅ [33]碗稳[45]温瘟

#ẽ
k [45]经
h [45]兴{～旺}
∅ [54]应{～对}[45]鹰英

#ən
p [33]扁匾[21]便{方～}[54]变[13]拌[45]边辫[121]贫盆凭平坪评瓶屏萍
pʰ [33]遍{一～}遍{～地}[54]骗片[45]页篇偏喷{喷水}喷{～香，～嚏}僻[121]便{～宜}
m [21]面面闷问[121]绵棉民门蚊明名铭
f [33]混[45]昏熏薰[121]魂坟群
t [33]点典[21]垫[45]颠敦墩[121]甜田填囤腾誊藤亭停廷庭
tʰ [54]□{趁}[45]添天
n [33]□{追}碾撵[21]验念捻[45]□{挨，挨近}黏沾粘拈[121]年能宁{安～，沪～}宁{～可}
l [21]练炼[13]领岭[45]楝[121]镰帘林淋临连联怜莲鳞磷伦沦陵凌菱灵零铃伶翎
ts [21]践贱[54]箭[13]剪[45]尖煎[121]钱前秦蹲层情晴
tsʰ [33]浅[21]浸[45]签签迁千铅亲皴{脸～}
s [33]笋榫[54]心线信[45]仙鲜先辛新
tʃ [21]战阵仗争[54]占{～卜}占[45]针珍真徵征[121]陈尘存承丞
tʃʰ [45]椿春
ʃ [33]婶[54]穗扇{～子}[13]上{～山}[45]深扇{～风}身[121]神臣成城盛
k [33]碱笕[21]件□{镯}[54]剑见[121]扛
kʰ [33]肯
ŋ [13]染砚[121]燃赢
h [21]县恨[45]牵[121]欠嫌痕恒刑

#uən
k [45]□{踒}菌君军[121]裙
∅ [21]缘院润闰熨韵运[54]□{拘}[13]远永[45]□{踒}冤[121]袁辕园匀文纹云

#un
tʃ [33]准
tʃʰ [33]蠢
ʃ [21]醇顺[121]纯

#ɔŋ
p [45]陪[121]朋彭棚篷蓬
pʰ [33]捧
m [21]望蠓[54]猛孟[13]网[121]芒盟蒙
f [21]凤[54]放[45]方风枫封蜂锋[121]房防冯逢缝
t [33]董懂[21]□{举}□{呈}[54]筒冻栋[13]动[45]东冬[121]潭谭同铜桐
tʰ [21]痛[13]桶[45]蜕通
n [121]农脓
l [21]弄[13]拢陇[121]笼聋隆
ts [33]总[45]棕鬃宗[121]丛
tsʰ [45]聪葱□{拥}
s [21]送怂[54]松宋[45]嵩松
tʃ [33]中{射～}种{～类}肿[54]咒种{～树}[45]中{当～}忠钟锺盅[121]崇
tʃʰ [13]逞[45]充冲
k [33]广拱巩[45]光公蚣工功
ŋ [54]□{憨}
h [33]哄[54]闲空{～缺}[45]荒慌空{～洞}[121]行弘宏烘红洪鸿虹

#iɔŋ
t [13]重[121]虫
n [121]浓
l [121]龙
tʃ [45]弓恭供{～给，～不起}供{～养}[121]琼穷
ʃ [54]嗅{用鼻～}嗅{用鼻子闻}[121]熊雄
∅ [45]壅[121]荣戎绒融茸容蓉

#uɔŋ
∅ [33]枉[21]旺[121]黄皇蝗王

#oŋ
p [21]伴[54]半[13]蒲傍[45]般搬[121]盘螃庞
pʰ [54]判[45]潘
m [13]满蟒[121]描瞒忙芒茫
f [45]藩[121]凡
t [33]短[21]段[54]当{～作，典～}[13]断{～绝}断{决～}[45]担{～任}端当{～时，应～ }[121]坛团堂棠螳唐糖塘
tʰ [45]□{喘}汤烫
n [13]暖
l [21]乱[13]卵[121]鸾
ts [21]脏[54]炸{用油～}钻[121]藏
tsʰ [21]篡[45]仓
s [54]算蒜[45]酸
tʃ [21]壮{～族}撞[54]壮{胖}[45]庄装桩[121]床
tʃʰ [54]创[45]疮窗
ʃ [45]霜双双{～生}
k [54]杠[45]公{爷}冈钢钢{刀钝了，～～}
ŋ [54]□{笨}
h [45]还{～有}糠

#ŋ̍
∅ [21]外[13]五伍午[121]蜈鱼渔
