声韵	调	#漢字	解釋
o	1	阿	
o	2	禾	
o	7	惡	
o	7	握	
o	7	沃	
pa	2	排	
pa	2	牌	
pa	2	排牌	
pa	3	擺	
pa	3	擺	
pa	5	拜	
pa	5	拜敗	
pa	6	敗	
pa	6	稗	
pa	6	敗	
pa	7	白	
pan	1	扳	
pan	1	斑	
pan	1	班	
pan	1	頒	
pan	3	板	
pan	3	版	
pan	5	扮	
pan	5	絆	
pan	6	瓣	
pan	6	辦	
pã	1	班	
pã	3	板	
pã	5	扮	
pã	6	辦	
pɒ	1	包	
pɒ	1	胞	
pɒ	1	褒	
pɒ	1	包	
pɒ	2	浮	
pɒ	2	袍	
pɒ	2	浮	
pɒ	3	保	
pɒ	3	堡	
pɒ	3	寶	
pɒ	3	飽	
pɒ	3	寶飽	
pɒ	5	報	
pɒ	5	暴	
pɒ	5	爆	
pɒ	5	豹	
pɒ	5	鮑	
pɒ	5	齙	
pɒ	5	抱	
pɒ	6	刨	
pɒ	6	抱	
pɒ	6	暴	
pɒ	6	菢	
pɒ	6	抱	
pi	1	逼	
pi	2	枇	
pi	2	琵	
pi	2	疲	
pi	2	皮	
pi	2	脾	
pi	2	皮	
pi	3	彼	
pi	3	比	
pi	3	比	
pi	5	泌	
pi	5	痹	
pi	5	祕	
pi	5	陛	
pi	6	篦	
pi	6	被	
pi	7	壁	
pi	7	必	
pi	7	畢	
pi	7	碧	
pi	7	筆	
pi	7	臂	
pi	7	譬	
pi	7	鼻筆逼壁	
pian	2	坪	
pian	2	平	
pian	3	餠	
pian	6	病	
piã	2	平瓶	
piã	3	柄餅	
piã	6	病	
piɒ	1	彪	
piɒ	1	標	
piɒ	1	臕	
piɒ	2	嫖	
piɒ	2	瓢	
piɒ	3	表	
piɒ	3	錶	
piɒ	3	表	
pie	1	憋	
pie	7	別	
piẽ	1	邊	
piẽ	1	鞭	
piẽ	2	便	
piẽ	2	彭	
piẽ	3	匾	
piẽ	3	扁	
piẽ	3	蝙	
piẽ	3	貶	
piẽ	5	變	
piẽ	5	辨	
piẽ	5	辯	
piẽ	6	便	
piẽ	6	傍	
piẽ	6	辮	
pin	1	兵	
pin	1	冰	
pin	1	彬	
pin	1	檳	
pin	1	賓	
pin	1	冰兵	
pin	2	坪	
pin	2	屛	
pin	2	平	
pin	2	憑	
pin	2	甁	
pin	2	萍	
pin	2	評	
pin	2	貧	
pin	2	頻	
pin	2	貧平瓶	
pin	3	丙	
pin	3	柄	
pin	3	秉	
pin	3	稟	
pin	3	餠	
pin	3	柄餅	
pin	5	並	
pin	5	倂	
pin	5	殯	
pin	5	鬢	
pin	6	病	
pin	6	病	
pĩ	3	扁	
pĩ	5	變	
pĩ	6	便	
piɔ	7	壁	
piɔ	7	壁	
po	1	波	
po	1	玻	
po	1	菠	
po	2	婆	
po	2	婆	
po	5	啵	
po	5	簸	
po	6	薄	
po	7	剝	
po	7	博	
po	7	撥	
po	7	鉢	
po	7	駁	
po	7	撥薄剝	
põ	1	搬幫	
põ	3	綁	
põ	5	棒	
pu	2	脯	
pu	2	菩	
pu	2	蒲	
pu	3	補	
pu	5	佈	
pu	5	布	
pu	5	怖	
pu	5	布	
pu	6	步	
pu	6	簿	
pu	6	部	
pu	6	簿步	
pu	7	不	
pa	7	北	
pa	7	帛	
pa	7	柏	
pa	7	白	
pa	7	百	
pa	7	陌	
pa	7	北百白	
pɔ	1	巴	
pɔ	1	爸	
pɔ	1	疤	
pɔ	1	粑	
pɔ	1	芭	
pɔ	2	扒	
pɔ	2	杷	
pɔ	2	爬	
pɔ	2	琶	
pɔ	2	耙	
pɔ	2	鈀	
pɔ	2	爬	
pɔ	3	吧	
pɔ	3	把	
pɔ	3	把	
pɔ	5	垻	
pɔ	5	壩	
pɔ	5	欛	
pɔ	5	罷	
pɔ	5	霸	
pɔ	7	伯	
pɔ	7	八	
pɔ	7	八	
pɜ	1	卑	
pɜ	1	婢	
pɜ	1	悲	
pɜ	1	揹	
pɜ	1	杯	
pɜ	1	碑	
pɜ	1	蓖	
pɜ	1	杯碑	
pɜ	2	培	
pɜ	2	裴	
pɜ	2	賠	
pɜ	2	陪	
pɜ	2	賠	
pɜ	5	備	
pɜ	5	幣	
pɜ	5	弊	
pɜ	5	憋	
pɜ	5	敝	
pɜ	5	斃	
pɜ	5	背	
pɜ	5	蔽	
pɜ	5	貝	
pɜ	5	輩	
pɜ	5	閉	
pɜ	5	貝幣	
pɜ	6	倍	
pɜ	6	焙	
pɜ	6	背	
pɜ	6	被	
pɜ	6	背被	
pən	1	奔	
pən	1	崩	
pən	2	彭	
pən	2	朋	
pən	2	棚	
pən	2	盆	
pən	2	膨	
pən	2	蓬	
pən	2	蹦	
pən	2	盆朋棚蓬	
pən	3	本	
pən	3	本	
pən	6	笨	
pʰa	5	派	
pʰa	5	派	
pʰan	1	攀	
pʰan	5	盼	
pʰan	5	肨	
pʰan	5	襻	
pʰɒ	1	拋	
pʰɒ	3	剖	
pʰɒ	3	跑	
pʰɒ	5	泡	
pʰɒ	5	炮	
pʰɒ	5	雹	
pʰɒ	5	炮	
pʰi	1	批	
pʰi	1	披	
pʰi	3	鄙	
pʰi	3	匹	
pʰi	5	屁	
pʰi	5	鼻	
pʰi	5	屁鼻	
pʰi	7	僻	
pʰi	7	劈	
pʰi	7	匹	
pʰi	7	弼	
pʰi	7	避	
pʰi	7	闢	
pʰi	7	劈	
pʰiɒ	1	飄	
pʰiɒ	3	漂	
pʰiɒ	5	漂	
pʰiɒ	5	票	
pʰiɒ	5	票	
pʰie	3	秕	
pʰie	7	別	
pʰie	7	撇	
pʰiẽ	1	偏	
pʰiẽ	1	篇	
pʰiẽ	1	編	
pʰiẽ	5	片	
pʰiẽ	5	遍	
pʰiẽ	5	騙	
pʰin	1	姘	
pʰin	1	拼	
pʰin	3	品	
pʰin	3	品	
pʰin	5	聘	
pʰĩ	5	騙片	
pʰiɔ	7	劈	
pʰiɔ	7	劈	
pʰo	1	坡	
pʰo	3	頗	
pʰo	5	薄	
pʰo	5	破	
pʰo	7	潑	
pʰo	7	潑	
pʰõ	5	判胖	
pʰu	1	鋪	
pʰu	1	鋪	
pʰu	3	埠	
pʰu	3	捕	
pʰu	3	普	
pʰu	3	浦	
pʰu	3	甫	
pʰu	3	譜	
pʰu	3	輔	
pʰu	3	譜	
pʰu	5	鋪	
pʰu	7	仆	
pʰu	7	勃	
pʰu	7	卜	
pʰu	7	撲	
pʰu	7	朴	
pʰu	7	樸	
pʰu	7	瀑	
pʰu	7	訃	
pʰa	7	拍	
pʰa	7	泊	
pʰa	7	迫	
pʰa	7	魄	
pʰa	7	拍	
pʰɔ	5	怕	
pʰɔ	5	白	
pʰɔ	7	帕	
pʰɔ	7	拍	
pʰɔ	7	拔	
pʰɔ	7	鈸	
pʰɜ	1	坯	
pʰɜ	1	胚	
pʰɜ	5	佩	
pʰɜ	5	沛	
pʰɜ	5	配	
pʰɜ	5	配	
pʰən	1	烹	
pʰən	3	捧	
pʰən	5	噴	
pʰõ	1	潘	
pʰõ	1	膀	
pʰõ	5	判	
pʰõ	5	叛	
pʰõ	5	拚	
pʰõ	5	肨	
pø̃	2	盤	
pø̃	5	半	
põ	1	幫	
põ	1	搬	
põ	1	般	
