#ɿ
			[3]我
			[5]饿卧斡

#ɛ
p			[1]杯碑卑悲背{(~东西)}
			[5]贝倍辈背{(~后)}焙被臂备陛
pʰ			[1]呸
			[2]培陪赔裴
			[5]沛配佩
m			[2]梅枚媒煤迷眉靡楣玫莓酶谜
			[3]每美镁
			[5]妹昧魅寐
f			[1]飞非妃
			[2]肥淝腓
			[3]匪
			[5]废肺痱费吠翡菲
t			[1]堆
			[5]对碓队兑
tʰ			[1]推
			[3]腿
			[5]退蜕褪
l			[2]雷
			[3]儡垒磊
			[5]芮锐泪内累类
ts			[2]贼
			[3]嘴
			[5]罪最醉
tsʰ			[1]崔催摧车
			[5]脆翠悴瘁粹
s			[1]虽绥尿奢赊
			[2]随蛇佘
			[3]舍{(~弃)}
			[5]碎岁粹舍遂隧穗祟社

#uɛ
ts			[1]追锥椎
			[5]缀赘坠
tsʰ			[1]吹炊
			[2]垂槌锤
s			[2]谁
			[3]水
			[5]税睡瑞
k			[1]圭闺规龟归硅
			[3]诡轨鬼
			[5]鳜桂跪柜贵刿
kʰ			[1]亏盔窥
			[2]奎魁葵睽馗傀
			[5]愧溃
x			[1]恢灰诙挥辉珲徽麾
			[2]回茴蛔
			[3]毁悔诲
			[5]贿汇晦会绘惠慧秽讳烩彗卉
∅			[1]煨萎{(发~)}威逶巍
			[2]桅为维惟唯帷微违围圩纬苇
			[3]委诿尾伟萎危
			[5]伪卫喂位未味魏畏慰胃谓渭尉蔚

#ɤɯ
t			[1]兜篼{(粪~)}
			[3]斗抖陡蚪
			[5]斗{(~争)}豆逗痘窦
tʰ			[1]偷
			[2]头投
			[5]透
l			[1]溜
			[2]楼搂{(~取)}流蝼髅刘留榴硫琉硫浏瘤牛
			[3]篓搂{~抱}扭纽钮纽柳绺
			[5]漏陋谬瘘熘镏
ts			[1]周舟州洲
			[3]走帚肘
			[5]奏纣昼宙邹皱绉骤咒揍胄
tsʰ			[1]抽
			[2]绸筹愁仇酬踌雠
			[3]丑
			[5]凑臭
s			[1]搜飕馊萸收
			[3]手首守
			[5]叟嗽受兽瘦艘寿授售
ʐ/z			[2]柔揉蹂
			[5]肉
k			[1]勾沟钩佝篝
			[3]狗苟
			[5]够构购
kʰ			[1]抠躯
			[3]口
			[5]扣寇叩
x			[1]齁{(~病：哮喘)}
			[2]侯喉猴疾
			[3]吼
			[5]后厚候
∅			[1]欧殴瓯鸥讴
			[2]牛
			[3]藕偶呕
			[5]沤{(~肥)}伛{(~气)}

#iʏ
t			[1]丢
tɕ			[1]揪疑鸠阄纠咎柩赳啾疚
			[3]酒九灸韭久玖
			[5]就臼舅救旧究
tɕʰ			[1]秋丘蚯鳅邱
			[2]囚泅求球酋虬
			[3]揪
ɕ			[1]修羞休
			[2]□{(吮吸)}
			[3]朽
			[5]秀袖绣锈嗅
∅			[1]忧优悠幽攸
			[2]尤由邮油游犹猷酉
			[3]有友莠
			[5]黝又右佑祐柚釉幼蚴诱

#iɪ̃
p			[1]鞭编边蝙煸
			[3]贬扁鳊匾
			[5]辨辩辫变汴卞便{(方~)}遍
pʰ			[1]篇偏翩
			[2]便{(~宜)}
			[5]骗遍(~地)片譬
m			[2]棉绵眠岷
			[3]免勉
			[5]面勉缅
t			[1]颠滇巅癫
			[3]点典碘
			[5]店电殿奠佃垫踮惦淀癜甸靛
tʰ			[1]天添
			[2]田甜填恬
			[3]舔忝殄
			[5]添{(~笔)}
l			[2]粘鲇年廉镰帘连联莲涟鲢
			[3]碾撵脸辗
			[5]念殓敛练炼楝恋
tɕ			[1]沾粘毡尖兼煎肩坚笺
			[3]展剪检俭茧睑捡
			[5]战占颤见件渐践箭剑贱溅键建荐饯
tɕʰ			[1]牵千迁签谦仟阡
			[2]蝉禅缠婵蟾潜钳钱乾前虔持
			[3]浅遣谴
			[5]欠歉纤{(拉~)}芡{(勾~)}
ɕ			[1]扇{(~火)}煽掀仙鲜先纤
			[2]嫌贤弦
			[3]显陕闪险
			[5]线扇{(~子)}膳善单缮膳赡禅宪献现腺
∅			[1]腌焉蔫烟咽{(~喉)}胭阉
			[2]然燃岩炎盐阎詹严俨延筵言研沿妍
			[3]染冉掩魇演衍
			[5]验厌艳焰谚堰砚燕咽宴唁彦

#yɪ̃
tɕ			[1]捐娟鹃
			[3]卷{(~起来)}
			[5]毽眷卷{(书~)}倦券蕈
tɕʰ			[1]圈{(圆~)}
			[2]全泉拳权颧
			[3]犬
			[5]劝
ɕ			[1]轩宣喧萱暄
			[2]舷旋玄悬眩漩璇炫
			[3]癣选
			[5]羡楦
∅			[1]冤渊鸳
			[2]圆员缘元原源袁辕园扔援媛瑷垣猿
			[3]远
			[5]院愿怨苑

#æ̃
p			[1]斑班颁扳瘫
			[3]板版坂阪
			[5]瓣办扮=绊
pʰ			[1]攀
			[5]盼
m			[2]蛮
			[5]慢曼蔓谩熳
