音标	调类	调值				
fɑ	1	22	花			
fɑ	2	21	华铧划（～水：游泳）			
fɑ	5	24	化			
fɑ	6	44	画话划			
fɑ	7	45	滑			
vi	1	22	区驱煨炊亏窥危微威淤			
vi	2	21	渠（~道）余余瞿逾回垂为槌锤逵葵维惟唯违围于于愉危			
vi	3	42	雨跪（新派音）伪萎委伟苇与宇禹羽尾（～巴，vi pɑ）			
vi	5	24	溃餧愧畏慰蕊			
vi	6	44	巨距拒炬具惧 柜 预芋御御誉愈喻裕 卫魏为位未味纬胃 锐芮睿			
vi	7	45	玉狱熨			
vin	2	21	匀裙云羣云			
vin	5	24	韵			
vin	6	44	运熨晕孕			
viɛ	1	22	圈（老派yɛ）冤（老派yɛ）			
viɛ	2	21	茄（老派yɛ）权（老派yɛ）圆（老派yɛ）原（老派yɛ）园（老派yɛ）员（老派yɛ）缘（老派yɛ）沿（老派yɛ）元（老派yɛ）源（老派yɛ）袁（老派yɛ）辕（老派yɛ）援（老派yɛ）丸（老派yɛ）拳（老派yɛ）颧（老派yɛ）			
viɛ	3	42	跪（老派yɛ）犬（老派yɛ）远（老派yɛ）阮（老派yɛ）抈（老派yɛ，折弯，折断）			
viɛ	5	24	劝（老派yɛ）券（老派yɛ）怨			
viɛ	6	44	圈（老派yɛ）院（老派yɛ）苑（老派yɛ）愿（老派yɛ）			
viɛ	7	45	越（老派viɛ）粤（老派viɛ）悦（老派viɛ）曰（老派viɛ）缺（老派yɛ）阙（老派yɛ）			
viɑ	3	42	哕（干吐）			
viɑ	7	45	哕（训读，大声呵斥，高声叫喊）□（大声呵斥，高声叫喊）			
ta	1	22	獃耽担丹单			
ta	3	42	胆掸			
ta	5	24	戴带担旦			
ta	7	45	答搭撘（存疑，～了一跤）□（或为「撘」，～了一跤）			
tɔ	1	22	刀叨朝招			
tɔ	3	42	祷岛倒			
tɔ	5	24	到倒照诏			
tin	1	22	钉砧			
tin	3	42	顶鼎			
tin	5	24	钉			
tiaŋ	1	22	丁钉靪疔			
tiaŋ	5	24	钉订			
tiu	1	22	丢			
tiɛ	1	22	掂颠登灯			
tiɛ	3	42	点典等			
tiɛ	5	24	店凳镫			
tiɛ	7	45	跌德得（行～：可以；不得：不可以）			
tiɑ	1	22	爹（大～：爷爷；细～：奶奶）			
tiɔ	1	22	雕刁			
tiɔ	3	42	抖鸟斗陡			
tiɔ	5	24	钓			
taŋ	1	22	当张章			
taŋ	3	42	整-（~病）党挡长涨掌			
taŋ	5	24	当胀障瘴			
tən	1	22	针斟珍眞敦墩蹲蒸征东冬中忠钟锺盅正			
tən	3	42	拯枕枕诊疹准准董懂冢种肿			
tən	5	24	振盾顿扽钝遁盾证症冻栋中众种正镇			
tɐu	1	22	都猪诸诛蛛株朱硃珠周舟州洲			
tɐu	3	42	堵赌肚煑拄主矩肘帚			
tɐu	5	24	妬注注蛀铸昼（上～：上午；下～：下午；～时/～边：中午）咒			
tɐu	7	45	笃督竹祝粥烛嘱筑㞘（末尾）			
tɤ	1	22	沾粘占专砖端			
tɤ	3	42	展辗短转			
tɤ	5	24	占战转凼（水～：水坑）凼（水～：水坑）			
tɤ	7	45	折汁执织职质摺褶浙揭掇			
tɑ	1	22	遮			
tɑ	3	42	打			
tɑ	5	24	蔗			
tɑ	7	45	蛰（惊～）			
to	1	22	多			
to	3	42	朶躱			
to	5	24	刴			
to	7	45	着酌			
tʱa/la	1	22	胎坍滩摊			
tʱa/la	2	21	台苔抬谈痰檀坛弹			
tʱa/la	3	42	奤毯坦			
tʱa/la	5	24	态太泰炭碳叹			
tʱa/la	6	44	大袋待代淡诞但弹蛋			
tʱa/la	7	45	踏搨沓塔榻塌溻达			
tʱɔ/lɔ	1	22	滔掏涛超㪕			
tʱɔ/lɔ	2	21	桃逃淘陶萄潮朝饶			
tʱɔ/lɔ	3	42	讨绕			
tʱɔ/lɔ	5	24	套导			
tʱɔ/lɔ	6	44	道盗稻			
lin/tʱin	1	22	厅听（一～可乐）汀			
lin/tʱin	2	21	林淋琳霖临邻鳞燐陵菱亭停廷庭蜓铃伶翎			
lin/tʱin	3	42	领檩艇挺			
lin/tʱin	5	24	听			
lin/tʱin	6	44	定吝凌令锭另			
liaŋ/tʱiaŋ	1	22	听-厅-			
liaŋ/tʱiaŋ	2	21	灵-零-良凉量粮梁粱			
liaŋ/tʱiaŋ	3	42	领-岭-两			
liaŋ/tʱiaŋ	5	24	听-（～话）			
liaŋ/tʱiaŋ	6	44	定-亮谅辆量			
liu/tʱiu	2	21	流刘留榴硫琉馏			
liu/tʱiu	3	42	柳			
liu/tʱiu	6	44	溜			
liu/tʱiu	7	45	六绿-			
liɛ/tʱiɛ	1	22	添天（～光：天亮）吞			
liɛ/tʱiɛ	2	21	廉镰帘甜连莲联田塡怜莲腾誊藤			
liɛ/tʱiɛ	3	42	敛脸舔腆			
liɛ/tʱiɛ	5	24	掭			
liɛ/tʱiɛ	6	44	殓电殿奠佃垫练鍊恋邓			
liɛ/tʱiɛ	7	45	贴铁忒特碟列猎帖叠牒蝶谍烈裂劣			
liɑ/tʱiɑ	2	21	提			
liɑ/tʱiɑ	7	45	踢-苶（存疑，累）			
liɔ/tʱiɔ	1	22	偷挑			
liɔ/tʱiɔ	2	21	条楼头投骰			
liɔ/tʱiɔ	3	42	了（～解）了（～结）			
liɔ/tʱiɔ	5	24	透			
liɔ/tʱiɔ	6	44	料豆			
tʱaŋ/laŋ	1	22	汤昌菖（～节：端午节）			
tʱaŋ/laŋ	2	21	堂棠螳唐糖塘长肠场程-			
tʱaŋ/laŋ	3	42	倘躺厂			
tʱaŋ/laŋ	5	24	烫趟畅唱			
tʱaŋ/laŋ	6	44	让荡宕丈仗杖郑-			
tʱən/lən	1	22	春通充冲称冲舂			
tʱən/lən	2	21	程人仁城铜虫沉陈尘屯豚饨臀囤澄惩橙同桐筒童瞳重丞			
tʱən/lən	3	42	蠢逞桶捅统宠			
tʱən/lən	5	24	趁称秤痛铳			
tʱən/lən	6	44	任闰润动洞重			
tʱɐu/lɐu	1	22	吹偷抽			
tʱɐu/lɐu	2	21	图除锤绸稠筹徒屠途涂储厨仇酬如（新派音，lɐu）儒（新派音，lɐu）揉			
tʱɐu/lɐu	3	42	土吐处杵丑丑乳（新派音，lɐu）			
tʱɐu/lɐu	5	24	臭吐兔处			
tʱɐu/lɐu	6	44	杜柱住肚（驮～：怀孕）骤			
tʱɐu/lɐu	7	45	秃独读牍犊毒畜逐轴辱（新派音，lɐu）			
tʱɤ/lɤ	1	22	贪穿			
tʱɤ/lɤ	2	21	潭谭缠团团传椽篅然			
tʱɤ/lɤ	3	42	染喘冉			
tʱɤ/lɤ	5	24	探串			
tʱɤ/lɤ	6	44	传（～记文学）断了（声调存疑）			
tʱɤ/lɤ	7	45	入日脱夺出			
tʱɑ/lɑ	1	22	他（其～）车祂			
tʱɑ/lɑ	3	42	扯			
tʱɑ/lɑ	7	45	赤-尺-			
tʱo/lo	1	22	拖			
tʱo/lo	2	21	驼坨（～吶：坨坨，蚊子包）鸵驮（～肚：怀孕）			
tʱo/lo	3	42	妥椭			
tʱo/lo	6	44	舵惰垛			
tʱo/lo	5	24	唾			
tʱo/lo	7	45	托托铎踱着绰焯			
n̩	2	21	蜈吴			
n̩	3	42	你尔五伍恁嗯			
na	2	21	来攋蓝篮难兰拦栏难			
na	3	42	乃奶览揽榄缆懒			
na	6	44	耐奈赖癞滥烂			
na	7	45	拿纳腊蜡捺辣瘌□（用嘴舔）□（眨眼）			
nɔ	1	22	捞唠			
nɔ	2	21	劳牢挠			
nɔ	3	42	脑恼老			
nɔ	6	44	涝闹			
naŋ	2	21	囊郎廊狼蜋			
naŋ	3	42	朗冷-			
naŋ	6	44	浪			
nən	1	22	聋			
nən	2	21	论仑伦沦轮笼农脓侬隆浓龙凌（存疑，～包子：冰雹）□（或为「凌」，～包子：冰雹）			
nən	6	44	嫩论弄			
nɐu	2	21	奴卢炉芦（包～：玉米）鸬庐			
nɐu	3	42	努鲁橹掳			
nɐu	6	44	怒路赂露鹭			
nɐu	7	45	鹿陆禄录绿戮			
nɤ	2	21	南男漤鸾			
nɤ	3	42	暖卵			
nɤ	6	44	乱			
nɤ	7	45	捋			
nɑ	1	22	拉			
nɑ	3	42	哪（～呐，哪里）			
nɑ	5	24	那（口语中用「渠」）哪（～个，～样：怎么）			
nɑ	7	45	拿			
no	1	22	囉			
no	2	21	挪罗锣箩萝骡螺			
no	3	42	裸			
no	7	45	洛烙珞笿络落袼诺酪雒骆乐荦			
tsa	1	22	灾栽斋			
tsa	3	42	宰载			
tsa	5	24	再载债			
tsa	7	45	札眨炸札扎铡			
tsɔ	1	22	遭糟昭			
tsɔ	3	42	早枣蚤澡爪找沼			
tsɔ	5	24	躁竃罩			
tsaŋ	1	22	赃脏庄装樟桩争-睁（～眼）			
tsaŋ	5	24	葬帐账壮			
tsən	1	22	争簪榛臻尊遵筝贞侦椶鬃宗综终踪			
tsən	3	42	縂			
tsən	5	24	粽镇震政糉纵纵皱			
tsɐu	1	22	租			
tsɐu	3	42	组阻			
tsɐu	5	24	做皱			
tsɤ	7	45	卒			
tsɑ	1	22	査渣髽抓			
tsɑ	5	24	诈榨炸			
tsɑ	7	45	闸窄摘			
tsɔ	3	42	左			
tso	7	45	作着桌捉			
za	2	21	才材财裁纔豺柴惭谗馋残涎			
za	3	42	彩采睬揣铲产			
za	5	24	菜蔡灿			
za	6	44	在载淋（训读，或为「㾹」，～雨：淋雨）㾹（存疑，～雨：淋雨）□（或为「㾹」，～雨：淋雨）			
za	7	45	插擦察浞			
zɔ	1	22	操抄钞			
zɔ	2	21	曹槽巢			
zɔ	3	42	草炒吵			
zɔ	5	24	糙造			
zɔ	6	44	皂造（~孽）櫂			
zaŋ	1	22	仓苍疮沧窗睁（训读，本字「撑」，～眼）撑（～眼）			
zaŋ	2	21	藏牀床			
zaŋ	3	42	闯撞			
zaŋ	5	24	创倡			
zaŋ	6	44	藏臓状			
zən	1	22	村皴椿聪怱葱囱葱			
zən	2	21	存澄橙呈城诚丛崇从从			
zən	3	42	忖			
zən	5	24	寸			
zən	6	44	仲			
zɐu	1	22	初			
zɐu	2	21	锄雏			
zɐu	3	42	楚础			
zɐu	5	24	凑			
zɐu	6	44	助纣宙			
zɐu	7	45	猝族促触			
zɤ	1	22	参汆川			
zɤ	2	21	蚕（不说「蚕豆」，口语中说「大碗豆」）			
zɤ	3	42	惨			
zɤ	5	24	窜篡			
zɤ	6	44	赚			
zɤ	7	45	撤撮			
zɑ	1	22	叉杈差（～错）			
zɑ	2	21	茶搽茬查			
zɑ	5	24	岔差姹			
zɑ	7	45	杂拆㿭择栅			
zo	1	22	搓矬			
zo	5	24	锉莝措错			
zo	6	44	坐座			
zo	7	45	错凿昨柞戳浊镯			
sa	1	22	腮鳃筛衰摔三衫珊山删			
sa	3	42	甩散伞			
sa	5	24	赛寨帅率（～领）钐散疝			
sa	7	45	撒萨杀			
sɔ	1	22	骚臊梢捎稍烧			
sɔ	2	21	韶苕（～粉：薯粉）			
sɔ	3	42	嫂少			
sɔ	5	24	扫扫潲潲少			
sɔ	6	44	邵绍			
saŋ	1	22	生-（陌～）牲-甥-声-桑丧霜孀商伤双双			
saŋ	2	21	成-盛-（～饭）常尝裳偿			
saŋ	3	42	省-嗓搡爽赏晌饷			
saŋ	5	24	丧			
saŋ	6	44	上尚			
sən	1	22	深身申伸娠孙升胜松嵩			
sən	2	21	神辰晨臣唇纯蒓醇乘绳承丞			
sən	3	42	沈审婶损省怂			
sən	5	24	逊胜圣送宋诵颂讼			
sən	6	44	葚甚渗肾愼顺舜剩盛			
sɐu	1	22	疏书舒枢输殊输收苏酥梳蔬			
sɐu	2	21	薯（马铃～；红薯）			
sɐu	3	42	数手首守			
sɐu	5	24	素诉塑恕数戍漱兽授售			
sɐu	6	44	鼠署竖树受寿			
sɐu	7	45	速叔熟淑束属宿			
sɤ	1	22	羶搧酸闩拴			
sɤ	2	21	船蝉婵禅（～宗）			
sɤ	3	42	闪（存疑，曝～：闪电）塍（存疑，田～：田埂）堘（存疑，田～：田埂）			
sɤ	5	24	扇算蒜涮			
sɤ	6	44	善鳝禅（～让）			
sɤ	7	45	湿十什拾实失室术述秫食蚀识饰适释摄涉舌设折说			
sɑ	1	22	沙纱奢赊杉			
sɑ	2	21	蛇佘			
sɑ	3	42	洒			
sɑ	5	24	晒			
sɑ	6	44	社射麝赦舍			
sɑ	7	45	刷（～墙）石			
so	1	22	蓑梭唆			
so	3	42	锁琐所			
so	7	45	索勺芍朔缩			
tɕin	1	22	今金禁襟津巾斤筋茎京荆惊鲸精晶经			
tɕin	3	42	锦尽紧仅谨瑾槿景警窘囧炯迥			
tɕin	5	24	浸（被水浸泡）禁进晋劲俊境敬竟竞劲径经			
tɕiaŋ	1	22	将浆疆僵姜繮姜江睛-			
tɕiaŋ	3	42	蒋奖桨讲井-颈-			
tɕiaŋ	5	24	酱将降镜-			
tɕiu	1	22	揫鬏鸠阄纠纠			
tɕiu	3	42	酒九久			
tɕiu	5	24	救究			
tɕiu	7	45	菊掬足			
tɕiɛ	1	22	监尖歼兼艰奸间煎笺肩坚曾增			
tɕiɛ	3	42	鹻检俭简柬剪茧趼笕姐			
tɕiɛ	5	24	鉴监舰剑谏涧锏箭溅建荐见憎			
tɕiɛ	7	45	接节截结（一派在「～婚」一词中读kiɛ˦˥）劫洁责则			
tɕiɑ	1	22	加嘉家佳			
tɕiɑ	3	42	贾假姐-			
tɕiɑ	5	24	嫁价借藉			
tɕiɑ	7	45	夹甲迹脊			
tɕiɔ	1	22	郊胶焦蕉椒骄娇浇邹钩沟（水～仔：水沟）			
tɕiɔ	3	42	绞狡铰搅剿矫缴侥走饺狗			
tɕiɔ	5	24	教校较叫奏觉			
tɕio	7	45	脚角觉			
ʑi	1	22	蛆趋妻栖凄溪催崔欺期			
ʑi	2	21	徐齐脐奇骑岐祁鳍其棋旗期随			
ʑi	3	42	取娶啓企起杞祈岂绮			
ʑi	5	24	气趣砌契脆器弃气汽翠粹泣			
ʑi	6	44	聚罪徛技妓			
ʑi	7	45	缉集辑及七漆疾乞极籍藉戚寂吃（口~）			
ʑia	7	45	恰洽			
ʑin	1	22	侵钦亲卿倾清轻青			
ʑin	2	21	寻琴禽擒秦勤芹擎情琼穷松			
ʑin	5	24	亲庆			
ʑin	6	44	尽近静靖净			
ʑiaŋ	1	22	枪羌腔筐清-轻-青-			
ʑiaŋ	2	21	墙（「刷～」中读如上声）樯详祥强晴-			
ʑiaŋ	3	42	抢强匠请-顷-			
ʑiaŋ	5	24	呛			
ʑiaŋ	6	44	匠像			
ʑiu	1	22	秋秋鞦丘			
ʑiu	2	21	囚泅求球仇			
ʑiu	6	44	就臼舅咎旧柩			
ʑiu	7	45	曲曲局			
ʑiɛ	1	22	签签谦迁千牵			
ʑiɛ	2	21	潜钳钱干虔掮犍前全泉曾层			
ʑiɛ	3	42	浅遣			
ʑiɛ	5	24	去（～归：回家，回去）欠歉践			
ʑiɛ	6	44	渐件贱饯键健腱			
ʑiɛ	7	45	杰切绝贼侧测泽择策			
ʑiɑ	2	21	邪斜霞			
ʑiɑ	6	44	谢（感～；花～）			
ʑiɑ	7	45	喫（～饭；怕～人：害羞；～了亏：谢谢）			
ʑiɔ	1	22	敲锹缲悄搊			
ʑiɔ	2	21	樵瞧乔侨桥荞愁喉猴侯			
ʑiɔ	3	42	口巧矁			
ʑiɔ	5	24	俏鞘窍凑叩扣寇			
ʑiɔ	6	44	噍轿嚼后厚后候			
ʑio	7	45	雀			
ɕi	1	22	须须需西犀奚兮牺嬉熙希虽			
ɕi	3	42	洗玺徙喜髓			
ɕi	5	24	絮细碎岁戏（玩，娱乐）			
ɕi	6	44	序叙绪壻系系系遂隧穗			
ɕi	7	45	习袭吸悉膝戌恤息熄媳惜昔席夕析			
ɕin	1	22	心辛新薪欣兴馨胸凶凶			
ɕin	2	21	荀旬循巡行形型刑熊雄			
ɕin	3	42	笋榫省			
ɕin	5	24	信讯衅迅殉兴嗅（闻）			
ɕin	6	44	杏			
ɕiaŋ	1	22	相箱厢湘襄镶香乡星-			
ɕiaŋ	2	21	降			
ɕiaŋ	3	42	想享响醒-			
ɕiaŋ	5	24	相向性-姓-腥-			
ɕiaŋ	6	44	象橡项			
ɕiu	1	22	修羞休			
ɕiu	3	42	朽			
ɕiu	5	24	秀绣宿锈袖			
ɕiu	7	45	肃宿畜蓄粟俗续			
ɕiɛ	1	22	参鲜宣先仙森僧生牲甥声疏-（衣服掀开；粥稀）□（本字“疏”，鱼韵白读，衣服掀开；粥稀）			
ɕiɛ	2	21	嫌闲咸（～宁）贤弦旋			
ɕiɛ	3	42	险癣显选□（～前日：大前天）			
ɕiɛ	5	24	线羡鏾（阉割）酰（～粉：制作米粉）			
ɕiɛ	6	44	陷馅限宪献现旋县眩			
ɕiɛ	7	45	胁协薛泄歇（～房：卧室；～火：休息）蝎屑屑楔雪涩瑟虱塞色啬			
ɕiɑ	1	22	些			
ɕiɑ	3	42	写			
ɕiɑ	5	24	泻卸			
ɕiɑ	6	44	夏			
ɕiɑ	7	45	锡			
ɕiɔ	1	22	消宵霄硝销嚣萧箫搜飕馊搜			
ɕiɔ	3	42	小晓吼			
ɕiɔ	5	24	孝笑嗽瘦			
ɕiɔ	6	44	效校校			
ɕio	7	45	削学（～校）			
ȵin	2	21	吟人-仁-银凝凝迎宁			
ȵin	6	44	任-赁任-紝-刃-认-韧-润-闰-宁佞			
ȵin	7	45	日-（～头；～食；～呐：白天）			
ȵiaŋ	2	21	娘			
ȵiaŋ	3	42	仰			
ȵiaŋ	6	44	酿让-			
ȵiu	2	21	牛			
ȵiu	3	42	纽扭			
ȵiu	7	45	肉-			
ȵiɛ	2	21	鮎然-燃-年（～头：年初；～㞘：年末）能			
ȵiɛ	3	42	冉-碾辇捻			
ȵiɛ	6	44	𥽸念			
ȵiɛ	7	45	聂镊蹑苶热捏			
ȵiɑ	7	45	入（训读，指交合的动作）			
ȵiɔ	3	42	鸟藕			
ȵio	7	45	若弱虐疟			
ka	1	22	该皆阶街间-			
ka	3	42	改解减裥拣			
ka	5	24	概溉盖丐介界芥尬疥届戒械间			
ka	7	45	夹裌甲胛			
kɔ	1	22	高膏篙羔糕交			
kɔ	3	42	稿搞（本字搅）			
kɔ	5	24	告膏教酵窖觉-			
ku	1	22	箍姑孤估			
ku	3	42	古牯股鼓			
ku	5	24	故固锢雇顾			
ku	7	45	谷谷			
kua	1	22	乖关			
kua	3	42	拐（～人：坏人）			
kua	5	24	怪惯			
kua	7	45	括聒刮			
kui	1	22	居车拘驹圭闺规追龟归（～来：回来；去～：回家，回去）鲑			
kui	3	42	举诡轨癸鬼			
kui	5	24	据句缀鳜桂贵剧剧			
kui	7	45	橘			
kuin	1	22	均钧君军菌（细～；益生～）			
kuin	3	42	窘囧炯迥			
kuin	5	24	郡			
kuaŋ	1	22	光（天～：天亮）胱			
kuən	3	42	滚			
kuən	5	24	棍			
kuɛ	1	22	捐鹃			
kuɛ	3	42	卷			
kuɛ	5	24	卷绢			
kuɛ	7	45	厥憠掘决诀国			
kuɤ	1	22	官棺观冠鳏			
kuɤ	3	42	管馆			
