#ɿ
tθ[1]资姿兹滋子[3]姊梓[5]自字牸
θ[1]消宵霄硝销
tɕ[1]交郊胶教{～书}焦蕉椒骄娇缴侥[3]绞狡搅剿矫[5]教{~他去}校酵较觉{睡~}轿叫窑
tɕʰ[1]敲瞧悄[3]巧切锹[5]俏鞘
ɕ[1]嚣[3]淆晓[5]孝
∅[1]肴妖邀腰要{~求}摇谣窑姚尧幺[3]咬舀杳[5]要耀

#iə
pʰ[1]飘漂瓢
t[1]叼刁雕貂[5]钓掉调
tʰ[1]挑条[5]跳
ȵ[5]尿
l[3]燎{~眉毛}撩[5]料尥
tθ[5]噍[7]嚼
tθʰ[5]鹊
θ[5]笑[7]削
tɕ[1]浇吆[5]叫[7]脚
∅[1]谣窑姚尧[3]舀[7]药钥跃鹞

#ei
p[1]杯碑卑[5]倍被[7]北
pʰ[1]胚坯培陪赔裴披
m[1]梅枚媒煤[3]每[7]墨
f[1]非飞妃肥[3]匪[5]痹费翡
t[5]对碓队兑[7]得德
tʰ[1]推[3]腿[5]褪退蜕[7]忒
n[5]内
l[1]雷[3]儡垒[5]累泪[7]肋勒
tθ[1]堆[3]嘴[5]罪最醉[7]贼
tθʰ[1]崔[5]翠粹穗
θ[1]随虽绥[5]碎
tʂʰ[1]吹炊
ʂ[5]睡
ʐ[5]锐
k[1]刻
x[7]黑

#uei
v[1]微违围[3]尾伟苇纬[5]味未魏畏慰胃谓蝟
tʂ[5]坠
tʂʰ[1]垂
ʂ[5]睡税
ʐ[5]锐
k[1]归规诡圭闺[3]鬼[5]贵跪柜桂
kʰ[1]亏窥盔魁奎[5]愧溃[7]葵逵傀
x[1]挥辉徽麾灰[3]毁[5]汇贿悔汇晦秽惠慧
∅[1]危为唯[3]伪萎委桅[5]为{～什么}位卫[7]维惟遗

#əu
pʰ[1]剖
m[3]某
t[1]兜[3]抖陡[5]斗豆逗
tʰ[1]偷头投[5]透
l[1]楼耧[3]搂[5]漏陋
tθ[1]粥[3]走叟奏
tθʰ[5]凑[7]叔{白}
θ[1]搜飕馊蒐[5]嗽
tʂ[1]轴掫轴周舟州洲[3]丑[5]邹皱骤帚咒
tʂh[1]抽稠绸筹愁仇酬[3]瞅[5]臭
ʂ[1]收[3]手首守[5]瘦受兽寿授售[7]熟{白}
ʐ[1]柔揉[7]肉
k[1]勾勾沟够彀构购[3]狗苟
kʰ[1]抠眍[3]口[5]叩扣寇
x[1]喉猴瘊[3]吼[5]后厚後候
ŋ[1]欧瓯[3]藕偶沤怄

#iəu
ȵ[1]牛[3]扭纽
l[1]流榴刘留硫琉[3]柳[5]溜馏
tθ[1]揪鬏就[3]酒
tθʰ[1]秋鳅
θ[1]修羞[5]秀绣宿绣嗅
tɕ[1]纠鸠阉灸[3]九久韭[5]救究舅臼咎旧枢
tɕʰ[1]泅囚丘求救仇[3]糗朽
ɕ[1]休
∅[1]优优尤邮由油游犹悠幽[3]有友酉[5]又莠诱祜鼬柚釉幼

#ɛn
p[1]斑班颁扳[3]板版[5]扮瓣辨绊半
pʰ[1]攀扳[5]盼爿襻判叛
m[1]蛮[5]慢幔漫
f[1]藩翻番烦藩[3]反[5]贩嬔饭
t[1]担丹单旦[3]胆掸[5]淡担诞蛋
tʰ[1]坍谈痰滩摊檀坛弹[3]毯坦[5]炭叹
n[1]难
l[1]蓝篮兰拦拦[3]榄揽椭[5]滥缆
tθ[3]攒[5]赞
tθʰ[1]惭餐残[5]灿
θ[1]三[3]散伞[5]暂錾
tʂ[3]斩展盏[5]站蘸绽栈
tʂʰ[1]谗馋搀缠蚝蝉禅[3]铲产
ʂ[1]杉衫珊山删膻扇[5]钐疝善
ʐ[1]燃然
k[1]甘柑尴干肝竿干[3]感敢橄[5]干
kʰ[1]龛堪看{～守}刊[3]砍秆擀[5]勘
x[1]含函蚶憨酣鼾寒韩[3]喊罕[5]撼憾旱汉汗镡翰
ŋ[1]安庵鞍[5]暗岸案按

#iɛn
p[1]鞭编边蝙[5]辩辨交便{方～}辫遍
pʰ[1]篇偏便[3]扁匾[5]骗片
m[1]绵棉眠[3]免勉娩渑[5]面
t[1]掂颠[3]点典[5]箪店电殿奠垫
tʰ[1]添甜天田填[3]腆
ȵ[1]蔫年[3]碾辇捺撵
l[1]连联怜莲[3]脸[5]练楝
tθ[1]煎剪[5]践箭溅贱
tθʰ[1]迁钱签千前[3]浅
θ[1]仙鲜癣先[5]线羡
tɕ[1]减兼监兼艰间奸坚[3]检简[5]剑间{~或}涧锏犍件犍键建键腱见
tɕʰ[1]钳铅乾虔掮牵[3]遣[5]嵌欠歉现
ɕ[1]咸衔嫌闲掀贤弦[3]显[5]限苋砚燕
∅[1]岩淹阉炎阎严俨腌酶颜焉延筵言研[3]掩眼演[5]验厌焰艳雁晏谚堰

#uɛn
t[1]端[3]短[5]断
tʰ[1]团
n[3]暖
l[3]卵[5]𥽸{指粥粘稠}
tθ[1]钻[3]篡[5]钻{~石}
tθʰ[1]汆全泉[5]篡
θ[1]酸宣旋[3]选[5]涮
tʂ[1]专砖[3]转{～身[}5]撰转{～圈}篆传
tʂʰ[1]川船[3]喘[5]串
ʂ[1]闩
ʐ[3]软
k[1]官棺观冠鳏关[3]管馆[5]灌罐冠贯惯
kʰ[1]宽[3]款
x[1]欢桓还环[3]缓[5]唤幻
∅[1]完丸豌剜玩顽弯湾[3]皖碗[5]腕

#yɛn
tɕ[1]捐[3]卷[5]圈绢倦眷
tɕʰ[1]圈圆撵权额[3]犬[5]券眩
ɕ[1]圆员缘楦喧玄悬
∅[1]元原源冤袁圆辕渊[3]远[5]院愿怨

#iŋ
p[1]彬宾槟冰兵[3]丙秉柄饼[5]殡鬓病并
pʰ[1]贫频凭平苹坪评姘拼瓶屏萍[5]聘
m[1]闽民名[3]闵敏抿皿[5]命
t[1]丁钉{名词}亭停廷庭蜒听[3]顶鼎[5]钉{动词}定锭
tʰ[3]艇挺
ȵ[1]凝宁{安~}[3]拧
l[1]邻鳞爝陵凌菱灵零铃伶翎[3]领岭[5]吝令
tθ[1]津精晶睛[5]尽晋静靖净[7]疾
tθʰ[1]亲秦清情晴青蜻[5]亲{~家}[7]七漆膝
θ[1]新薪辛星腥[3]省醒[5]信讯
tɕ[1]巾金斤筋耕京荆惊鲸经[3]紧仅谨[5]近劲敬竟镜竞径
tɕʰ[1]勤芹擎[5]庆磐
∅[1]欣兴行{~为}馨形型刑陉[5]杏行{德~}幸
∅[1]银因姻洇寅殷应蝇迎英萤荥营[3]引隐影颖[5]印应硬映[7]应

#əŋ
p[1]奔锛崩[3]本[5]笨迸
pʰ[1]喷盆朋烹彭膨棚篷蓬[3]捧
m[1]萌蒙懵[3]猛蠓[5]闷孟梦
f[1]分芬纷焚坟风疯枫冯丰封峰蜂锋[3]粉讽[5]粪愤忿奋份风缝奉俸
t[1]跟根痕登灯凳[3]等[5]登邓澄{～水}
tʰ[1]腾藤疼
n[1]能照[5]楞
tθ[1]曾增憎僧[5]赠锃
tθʰ[1]沉层曾{~经}铛[5]蹭
θ[1]生牲笙[3]省
tʂ[1]珍榛真征睁蒸争筝[3]枕{~头}诊疹[5]枕{动词}镇阵振震症
tʂʰ[1]沉陈尘辰晨臣橙澄惩称乘绳承丞撑澄{～清}[5]趁衬秤赏
ʂ[1]深森参岑神身申伸娠升生胜{～任}[3]沈审婶[5]甚葚渗肾慎剩胜{~利}
ʐ[1]任{姓}壬人仁仍扔[3]忍[5]任{~命}缍纫认轫
k[1]更粳庚羹[3]哽埂耿茎[5]更
kʰ[1]坑[3]垦肯龈恳
x[1]痕很恒横哼亨[5]恨横{蛮~}
v[1]蚊文闻纹翁瓮[3]吻刎[5]问璺
ŋ[1]恩[5]揞

#aŋ
p[1]帮邦[3]绑[5]捧蚌
pʰ[1]滂旁螃肨庞[5]胖
m[1]忙芒茫盲虻[3]莽蟒
f[1]方肪芳妨房防[3]纺仿彷访[5]放
t[1]当瞪[3]党[5]荡
tʰ[1]汤堂棠螳唐[3]躺
n[1]囊[3]攘
l[1]郎廊狼螂[3]朗[5]浪
tθ[1]脏葬藏{西～[}5]脏{内～}
tθʰ[1]藏苍仓[5]丧{~失}
θ[1]桑丧[3]嗓掇
tʂ[1]张章樟[3]长{~大}掌[5]丈仗帐账
tʂ[1]肠长渡昌菖常尝偿[3]敞[5]畅倡
ʂ[1]裳[3]赏晌饷[5]上尚
ʐ[1]瓤[3]嚷壤攘
k[1]冈岗刚纲钢缸港[5]杠
kʰ[1]康糠[5]抗炕
x[1]行航杭
ŋ[1]昂肮

#uaŋ
tʂ[1]装[5]壮撞
tʂʰ[1]疮床[3]闯
ʂ[1]霜孀[3]爽
k[1]光[3]广[5]逛
kʰ[1]匡筐眶狂[5]况旷
x[1]荒慌黄簧皇蝗[3]慌[5]晃
v[1]王汪亡[3]枉往網辋[5]忘旺妄望

#iaŋ
ȵ[1]娘[5]酿
l[1]良凉量{度~}粮[3]两[5]亮谅辆量{数～}
tθ[1]将浆[3]蒋奖桨[5]酱将匠
tθʰ[1]枪墙[3]抢
θ[1]相{~亲}祥详镶襄箱湘厢[3]想[5]相{～片儿}象橡像
tɕ[1]江豇疆僵薹礓姜[3]讲耩[5]降{~温}绎
tɕʰ[1]腔羌强
ɕ[1]降{投~}香乡饷[3]享响[5]项巷向
∅[1]央秧殃羊洋佯烊杨扬疡[3]痒养仰[5]样漾

#uŋ
t[1]敦墩饨蹲东冬[3]董懂[5]盾囤沌顿掩钝遁盾动洞冻栋
tʰ[1]屯豚臀通同铜桐童瞳[3]筒桶捅统[5]痛
n[1]农脓侬浓[5]嫩
l[1]轮沦轮笼龙隆[3]拢陇垅[5]论仑
tθ[1]尊遵鬃宗综崇踪[5]俊纵
tθʰ[1]村存皴逡从[3]忖损[5]寸
θ[1]孙荀旬循巡松嵩[3]筍榫[5]迅溶殉宋诵颂讼
tʂ[1]中忠终[3]准冢肿[5]中{射～}仲众种
tʂʰ[1]纯春肫唇莼醇充重冲舂[3]蠢[5]顺舜
ɕ[5]逊
ʐ[1]绒戎融茸[3]冗[5]润闰
k[1]公蚣工功宫躬弓供共[3]滚[5]贡
kʰ[1]昆坤岜空[3]捆孔恐[5]空{~闲}恭
x[1]昏婚魂浑馄弘宏洪红鸿虹[5]混轰

#yŋ
tɕ[1]君军均钧[3]炯窘[5]郡菌
tɕʰ[1]群裙
ɕ[1]胸胸凶熊雄熏勋薰[5]训逊
∅[1]雍拥慵佣痈云匀[3]泳勇涌咏俑蛹永允[5]用
