#a
p[1]巴芭疤爸[3]把靶[5]坝霸
t[1]兜[3]陡抖斗{一斗粮}[5]斗{奋斗}窦
tʰ[1]偷[2]头投[3]□{休息义}[5]透豆逗
l[1]藕[2]楼搂[3]纽钮[5]漏陋
ts[1]邹[3]走肘[5]奏纣皱绉
tsʰ[5]凑骤宙
s[1]馊[2]愁[5]瘦嗽漱
k[1]勾沟钩[3]苟狗[5]构购够
kʰ[3]□[5]扣叩寇抠
ŋ[3]偶纽[5]□{慢、磨蹭}
h[2]侯喉猴[3]吼[5]后候厚
∅[1]欧[3]呕殴[5]沤

#i
p[1]卑俾婢篦[3]比秕臂譬蓖彼[5]箅庇蔽敝弊毙币闭陛
pʰ[1]丕披被批[2]皮脾枇琵疲[3]鄙痞[5]备鼻屁
m[1]嬭{妈的背称}[2]眉楣媚糜靡迷谜微[3]米弥[5]□{潜水}
t[1]知[3]抵[5]帝
tʰ[2]堤题提[3]体[5]地替屉隶弟第递
l[1]理鲤尔你礼吕蚁[2]离璃篱厘狸尼梨[3]里李旅履缕[5]利痢吏丽腻虑滤
ts[1]支枝肢脂栀蜘芝[3]止扯趾指旨纸[5]智致至志痣制置挤济剂蛰
tsʰ[1]眵痴黏妻栖趋[2]池驰迟雉持脐匙徐[3]耻始齿取娶侈矢[5]治痔厕翅疵刺似砌聚趣
s[1]施尸诗西撕犀须需[2]时[3]屎死[5]寺四[7]示视豉舐市试嗜世势誓逝絮序叙绪粞{碎米}
k[1]基饥肌拘驹车居[3]己杞据几举矩冀[5]寄句锯继记纪既欹
kʰ[1]技妓歧企欺巨拒枢区驱距[2]奇骑祈鳍渠瞿[3]岂启具俱惧
ŋ[1]语[2]宜仪谊疑拟沂汝愚[3]耳饵女[5]义艺二贰毅御遇寓
h[1]希稀牺嬉熙兮虚嘘奚[3]喜起[5]气汽戏器弃去
j[1]矣衣医于盂迂吁淤与[2]夷姨伊移饴怡愉榆娱如余馀儒[3]以已倚椅雨宇羽禹[5]意异易肄愈喻裕誉预豫

#ia
ts[1]嗟[3]姐[5]借藉
tsʰ[2]斜[3]且[5]谢
s[1]些[2]邪斜[3]写[5]泻卸
t[1]爹[3]嗲
ŋ[1]惹

#iɔ
kʰ[2]茄
h[1]靴

#iau
p[1]标彪膘表{手表}[3]表{表格}
pʰ[1]漂飘[2]嫖瓢[5]票鳔漂{漂亮}
m[2]苗描[3]秒藐杳[5]庙妙猫
t[1]刁貂雕鸟[3]□{交媾}[5]吊钓
tʰ[1]挑[2]条调{调和}[5]掉跳调{调换}
l[1]□{挑起之意}蓼[2]辽疗燎僚撩聊寥[3]了{了却}[5]料廖
ts[1]焦蕉椒[2]僬{男童}[3]剿[5]醮
tsʰ[1]锹悄[2]樵瞧[5]俏瞧
s[1]消销硝宵霄肖箫萧[3]小筱[5]笑
k[1]娇骄矫浇[3]缴[5]叫
kʰ[1]□{指死}[2]乔侨桥[5]轿窍
ŋ[2]尧饶[3]绕[5]尿
h[1]嚣[3]晓[5]翘

#iu
m[5]谬
t[1]丢
l[2]刘流留榴硫磺琉[3]柳[5]溜馏
ts[3]酒
tsʰ[1]秋揪[5]就袖
s[1]修羞[2]泅[5]秀绣锈
k[1]鸠阄[3]九久韭[5]救究咎柩纠灸
kʰ[1]臼舅[2]求球仇{姓}[5]旧
ŋ[2]牛[3]扭
h[1]休丘[3]朽
j[1]有友酉幽[2]尤忧优邮釉由油游犹悠[3]莠诱柚[5]又右佑幼

#u
p[1]晡[3]补[5]布
pʰ[1]铺{铺路}普[2]浦菩扶符[3]捕甫谱脯[5]铺{店铺}部步簿怖
m[2]模巫诬[3]舞[5]墓暮慕务雾
f[1]夫肤呼俘敷互孵[2]芙胡湖糊瑚狐壶乎扶{扶助}[3]虎浒腐辅苦[5]付傅附赋赴父户戽沪护富副妇负裤
v[1]乌坞污武侮[2]无[3]鹉舞[5]芋恶{可恶}
t[1]都[3]肚赌堵[5]妒
tʰ[2]徒涂途图屠[3]土[5]杜吐兔度渡镀
l[1]鲁卤[2]卢炉芦庐驴奴[3]努[5]路露赂怒
ts[1]朱株珠诛蛛诸猪周州洲舟租资兹滋辎之姿恣[3]主煮拄阻祖组子梓[5]注驻蛀铸著箸昼咒
tsʰ[1]柱粗抽疵[2]厨雏除储绸稠筹酬仇词辞祠瓷雌慈磁糍[3]丑此[5]处住助臭兽醋措次刺赐自纣
s[1]苏酥输收丝司思私斯撕蛳师狮[2]署薯殊暑[3]使[5]恕庶数戍竖树素诉嗉售受授寿字巳祀仕柿事侍似
k[1]姑孤菇[3]古股鼓牯[5]故固雇顾
kʰ[1]枯箍[3]苦[5]库
ŋ[5]误悟

#ui
p[1]杯悲碑[5]辈
pʰ[2]培陪焙裴[5]倍配肺沛佩
m[1]美尾每[5]味昧寐痱
f[1]飞非匪妃挥辉徽麾翡[2]肥[5]汇费废惠慧会
v[1]威委萎[2]围违为维惟唯遗[3]伟纬讳卫胃[5]谓位未畏为{为什么}
t[5]对队
tʰ[1]推[3]腿[5]退兑蜕
l[1]屡[2]雷蕾镭[3]垒累{积累}儡[5]类泪内芮累{疲倦}
ts[1]追锥[3]嘴[5]最醉赘缀
tsʰ[1]崔催摧[2]随槌锤[5]罪翠坠
s[1]虽绥[2]谁垂[3]水髓[5]碎瑞粹穗遂隧
k[1]龟归闺[3]鬼傀愧轨诡[5]桂季贵鳜癸
kʰ[1]规亏窥盔[2]奎逵葵魁[3]溃跪毁[5]柜
ŋ[2]危桅巍[3]伪[5]魏
j[1]乳[5]锐

#an
p[1]班斑扳颁般搬[3]板版坂[5]扮半绊
pʰ[1]番潘攀[2]盘磐[5]判伴拌叛畔盼办瓣
m[1]满晚[2]瞒馒蛮[3]挽[5]曼慢漫幔
f[1]翻番藩[2]烦矾繁环桓[3]反[5]饭贩宦
v[1]弯湾[2]完还[3]挽[5]万
t[1]丹单[3]掸[5]旦诞
tʰ[1]摊滩[2]弹坛檀[5]蛋炭
l[1]懒[2]兰拦栏澜难[5]烂
ts[3]盏{物美义}[5]赞绽
tsʰ[2]残泉[3]铲[5]灿赚栈
s[1]山删珊[3]产散{药散}[5]疝散{解散}伞
k[1]间关奸[3]柬拣谏涧碱茧简笕[5]惯间{间隔}
kʰ[1]刊[3]款
ŋ[1]研[2]颜顽[3]眼[5]玩砚雁岸
h[1]悭[2]闲[3]蚬[5]恨很限苋

#en
f[2]宏
j[1]烟焉咽冤援渊揠[2]沿铅然燃延筵员圆缘袁辕园[3]演兖远[5]县燕咽院怨
∅[1]恩

#ɔn
f[1]欢[5]唤焕缓
v[3]皖豌碗剜宛腕[5]换
t[1]端[3]短[5]断{判断}
tʰ[1]断{断了线}[2]团[5]段锻缎
l[1]暖[2]鸾[3]卵[5]乱
ts[1]专砖钻{钻进去}[3]转[5]篆篡传钻{钻石}
tsʰ[1]闩拴川穿[2]传椽[3]喘[5]串窗窜篡撰
s[1]酸[2]船旋璇[3]选[5]算蒜涮
k[1]官棺观冠干肝竿乾鳏[3]管馆杆秆赶擀[5]灌罐贯观冠干
kʰ[1]宽[5]看
ŋ[1]软[3]阮
h[1]旱鼾[2]寒韩[3]罕[5]汉汗焊翰
∅[1]安鞍[5]晏按案

#aŋ
p[1]□{用力拉}
pʰ[1]烹[2]庞彭澎膨[5]□{指糕点发酵充分}
m[1]猛{白读}[2]盲[3]猛{文读}[5]孟
f[1]犯{动词}[2]凡帆[3]□{翘之意}[5]泛范犯{人犯}
v[2]横[5]□{扔之意}
t[1]担耽钉疗[3]胆[5]订
tʰ[1]贪坍淡{咸淡}[2]谈谭潭痰[3]毯[5]探淡{淡水，地名}听
l[1]冷[2]南男蓝篮零铃[3]览揽榄[5]滥缆另
ts[1]沾粘占瞻詹簪正{正月}[3]斩[5]占站渗
tsʰ[1]参搀[2]蚕谗馋橙[3]惨惭[5]杉忏撑郑衬錾
s[1]三生牲笙甥声衫[2]城蟾蝉禅[3]闪陕糁[5]□{指好打扮}
k[1]甘柑泔疳更粳庚耕羹茎轰尴[3]敢感橄减哽梗埂耿[5]监鉴舰逛
kʰ[1]堪龛[3]坎砍[5]勘
ŋ[1]□{对义}[2]岩癌[3]□{点头}[5]硬
h[1]坑亨酣[2]含函咸行衔衡桁恒[3]憨蚶[5]撼憾喊陷馅
j[1]淹阉[2]炎盐檐[3]掩影映魇[5]厌焰艳
∅[1]庵[3]□{腹部弯曲受硬物挤迫}[5]暗

#ɔŋ
p[1]邦帮[3]榜{榜样}[5]谤
pʰ[1]蚌[2]旁傍滂螃[3]膀[5]胖傍{动词}
m[1]芒[2]亡忙茫[3]妄莽蟒[5]忘望
f[1]方芳坊荒慌谎[2]妨防房肪[3]仿纺访晃[5]放
v[1]汪往[2]王黄璜簧皇蝗[3]枉[5]旺
t[1]当{当然}[3]党[5]当{上当}档
tʰ[1]汤[2]堂棠螳唐糖塘[3]躺倘淌[5]烫趟荡宕
l[1]□{用水涮一下}[2]郎狼廊囊瓤穰曩[3]朗[5]浪
ts[1]脏赃庄装妆桩张章樟漳獐璋[3]长掌[5]仗杖胀帐账涨葬壮障瘴
tsʰ[1]仓苍疮昌菖娼倡[2]肠场床藏[3]畅厂闯创[5]藏{西藏}脏{内脏}丈状唱撞
s[1]桑丧{丧事}霜孀商伤上{上山}[2]常尝裳偿[3]嗓爽丧{丧失}[5]尚上{上面}
k[1]冈岗钢刚纲缸江光[3]广港[5]杠降{下降}
kʰ[1]康[2]狂[3]况慷[5]抗炕旷扩
ŋ[5]戆{呆傻}
h[1]糠[2]杭航行{银行}降{投降}[3]□{干而无水分}[5]项巷
j[1]央泱殃秧养痒[2]洋羊阳杨扬疡[5]样
∅[1]肮

#ien
p[1]边编鞭蝙崩冰[3]扁匾贬[5]变
pʰ[1]篇偏[2]朋便{便宜}[5]骗辩辨片遍便{方便}
m[1]免[2]棉绵盟萌[3]敏缅皿悯娩勉[5]面
t[1]丁灯登颠癫[3]典等[5]凳
tʰ[1]天[2]田填誊腾滕藤[3]腆[5]电佃奠殿邓垫
l[1]脸[2]连联怜莲能[3]辇[5]练炼楝恋
ts[1]砧煎毡笺曾增憎僧[3]剪展[5]箭赠荐战颤
tsʰ[1]千迁[2]钱前全曾层缠[3]浅[5]贱溅践
s[1]仙先鲜宣喧森参{人参}[2]涎[3]癣省跣[5]线羡眩善膳扇膻
k[1]坚肩绢娟跟根[3]卷更{更加}炯[5]建犍见倦眷卷{试卷}
kʰ[1]牵圈[2]乾权拳颧[3]犬恳垦遣凝[5]件健键劝券
ŋ[2]年言元原源[3]捻[5]愿
h[1]轩掀[2]贤弦舷玄悬痕[3]肯显[5]宪献现杏幸

#in
p[1]兵宾鬓殡槟彬辫[3]秉禀
pʰ[2]平评萍屏凭频苹贫[3]品[5]并拼聘
m[2]民眠明鸣闽瞑螟[5]命{命令}
v[2]晕
t[3]鼎
tʰ[2]亭婷停延庭蜓[3]挺[5]定锭
l[1]鳞[2]林淋临邻宁令灵拎翎檩[5]令赁吝
ts[1]津晶精珍臻真针斟征蒸贞侦[3]镇诊疹振震[5]进晋浸政证正症
tsʰ[1]亲侵深称清[2]秦情陈尘沉寻澄惩呈程[3]逞寝[5]阵尽趁静称沁
s[1]辛新薪心星身申伸升娠[2]神辰晨臣乘绳承丞[3]慎沈审婶[5]信性讯肾甚葚剩胜圣
k[1]斤筋今金妗京茎荆鲸经[3]紧锦境景警[5]劲禁襟竟竞敬
kʰ[1]钦卿倾[2]琴禽擒[3]顷揿[5]庆磬
ŋ[2]人壬吟凝[5]任刃韧认妊
h[1]兴馨[2]形型刑陉[3]兴[5]兴衅
j[1]因姻洇殷阴音应鹰莺鹦樱英婴缨盈楹[2]晕仁淫寅仍扔蝇荣营莹萤[3]引饮隐尹孕[5]印应荫窖

#iaŋ
p[3]丙炳饼[5]柄□{藏义}
pʰ[2]坪瓶平{平整}[5]病
m[1]□{封盖}[2]名铭[5]命{生命}
t[1]掂[3]点[5]店惦
tʰ[1]厅添[2]甜[3]舔掭[5]艇□{妥帖、完满}
l[1]领岭[2]廉镰帘[5]殓敛
ts[1]尖歼櫼腈{瘦肉}[3]蘸
tsʰ[1]签仟[2]潜晴[3]请[5]净渐暂
s[1]腥[3]醒[5]姓
k[1]惊兼[3]颈检睑[5]剑镜
kʰ[1]轻谦[2]擎钳嵌[3]俭[5]欠
ŋ[1]拈[2]迎阎严酽鲇黏[3]俨[5]念验染冉
h[2]嫌

#iɔŋ
m[3]网
t[1]啄
l[1]两{斤两}[2]良粮凉梁量{丈量}辆[3]两{两个}[5]亮谅量{质量}
ts[1]浆将{将来}[3]桨奖蒋[5]酱将{少将}
tsʰ[1]枪[3]抢[5]匠
s[1]相{相互}箱厢湘襄镶[2]详祥墙[3]想[5]象像橡相{照相}
k[1]姜羌疆僵缰
kʰ[1]匡筐眶框[2]强{强大}[3]强{勉强}
ŋ[2]娘[3]昂壤攘嚷攘仰[5]让酿
h[1]香乡[3]享响饷[5]向

#iuŋ
k[1]□{虹、天~}[3]窘
kʰ[2]穷穹[5]共
ŋ[2]浓
h[1]凶胸兄[2]雄熊

#un
p[1]奔[3]本[5]笨粪
pʰ[2]盆[5]喷
m[1]焖[2]门[5]问闷
f[1]分纷芬昏婚荤[2]坟焚魂馄[3]粉[5]奋愤忿份
v[1]温瘟[2]文纹雯闻浑[3]吻刎稳
t[1]敦墩蹲[3]顿
tʰ[1]吞[2]屯饨臀豚[3]盾囤[5]遁钝
l[1]抡[2]仑轮伦沦[5]论嫩
ts[1]尊遵[3]准撙[5]圳俊
tsʰ[1]春椿村皴[3]蠢[5]寸忖
s[1]孙[2]纯唇醇存循巡旬殉[3]荀笋损榫[5]迅逊顺舜浚
k[1]均钧军君[3]仅谨滚[5]棍菌
kʰ[1]昆坤近[2]群裙勤芹琼[3]捆混[5]困郡
ŋ[1]忍[2]银[5]韧刃
h[1]欣勋熏[5]训
j[1]永[2]云匀[3]泳咏[5]闰润运熨韵酝蕴

#uŋ
p[3]捧
pʰ[2]蓬篷[5]□{尘起}
m[2]蒙朦[3]懵[5]梦
f[1]风枫疯丰封烘峰蜂锋[2]红虹洪鸿冯逢缝{裁缝}[3]哄讽[5]凤奉俸哄{起哄}缝{缝隙}
v[1]翁嗡壅{培土}[5]瓮
t[1]东冬[3]董懂[5]冻栋
tʰ[1]通[2]同桐铜筒童瞳[3]桶捅统[5]痛动洞
l[1]聋笼[2]龙砻隆农脓[3]拢垅陇[5]弄楞
ts[1]宗棕综鬃中忠终踪钟锺盅[3]总肿怂种{种子}[5]中{打中}粽众纵种{种植}
tsʰ[1]聪匆葱囱充冲舂[2]虫从丛崇松重{重复}[3]宠[5]仲铳重{重量}
s[1]嵩松{松散}[3]搡[5]送宋诵颂讼
k[1]工功攻公蚣弓宫躬恭供{供销}[3]拱巩[5]贡汞供{供词}
kʰ[1]空[3]孔恐[5]控
j[1]冗甬痈雍庸[2]融绒茸容蓉溶[3]勇甬涌[5]用拥

#at
p[7]八钵
pʰ[7]泼拨[8]拔钹
m[7]抹袜[8]末沫
f[7]发阔[8]活伐筏罚
v[7]挖[8]滑猾
t[7]□{片、块义}[8]□{动物踩、踏}
tʰ[8]达
l[7]□{热、烫义}[8]辣癞
ts[7]扎札轧[8]□{坚实义}
tsʰ[7]察擦獭[8]□{蟑螂}
s[7]杀煞萨撒
k[7]括聒{用刀刮}
kʰ[7]□{骂人、批评}
ŋ[7]啮[8]□{拖延时间}
h[7]瞎[8]核辖
∅[7]□{生气}

#et
f[8]或惑获
v[7]域
j[7]乙噎拽[8]曰悦阅越粤

#ɔt
p[7]发{生、长}
f[7]豁
t[7]掇
tʰ[7]脱[8]夺
l[7]劣[8]捋
ts[7]拙茁[8]□{吸}
tsʰ[7]撮[8]拙{骗、玩巧}
s[7]刷说[8]□{吮吸}
k[7]割葛
kʰ[7]渴
ŋ[7]□{呆}
h[7]喝渴[8]□{累极}
∅[7]遏

#ak
p[7]百伯帛
pʰ[7]拍柏泊魄[8]白
m[7]脉陌[8]麦
f[7]法[8]乏
v[8]划
t[7]答搭褡[8]溚
tʰ[7]塔塌榻[8]沓踏溻
l[7]沥[8]腊蜡纳衲
ts[7]扎摘摺褶炙眨铡[8]窄
tsʰ[7]尺赤拆插闸策册[8]杂宅泽栅
s[7]□{片、半边}[8]石
k[7]合蛤鸽甲胛夹格革隔[8]□{液体震汤}
kʰ[7]恰掐[8]磕
ŋ[7]扼轭[8]□{骗义}
h[7]吓赫客[8]合盒峡
j[7]腌[8]叶页
∅[7]鸭压押[8]□{跨过小沟}

#ɔk
p[7]驳剥博
pʰ[7]朴[8]薄雹
m[7]膜寞幕[8]莫
f[7]霍藿
v[7]沃握[8]镬
t[7]拓[8]剁
tʰ[7]托[8]铎踱柝箨□{挑选}
l[7]烙骆洛酪络[8]诺乐落
ts[7]作昨柞着酌卓桌
tsʰ[7]绰焯[8]着{附着}戳
s[7]索朔溯芍[8]勺
k[7]各阁搁胳郭廓角觉{觉悟}[8]□{敲、碰}
kʰ[7]榷
ŋ[8]鄂岳鳄腭嶽愕乐{音乐}
h[7]壳[8]学鹤
j[7]约钥跃[8]若药
∅[7]恶

#iet
p[7]鳖北迫
pʰ[7]憋撇[8]别
m[8]灭墨默篾
t[7]得德跌[8]□{被物件猛然下跌打中}
tʰ[7]铁忒[8]□{堆放}
l[7]肭[8]列烈肋勒
ts[7]折浙哲蜇节则侧仄
tsʰ[7]切[8]辙彻绝截贼
s[7]色塞啬泄涩设屑楔雪[8]舌折{折本}
k[7]结揭洁决诀国[8]□{说话不饶人}
kʰ[7]缺厥倔克刻乞[8]杰
ŋ[7]讫吃[8]月
h[7]血黑[8]歇蝎穴

#it
p[7]逼毕[8]□{跳}
pʰ[7]辟僻癖匹
m[8]觅
t[7]的滴嫡[8]□{一点儿}
tʰ[7]狄剔惕[8]特敌
l[7]粒笠[8]立力匿
ts[7]即鲫织职积绩责汁执[8]缉
tsʰ[7]戚七[8]直值植殖席籍藉寂集袭辑
s[7]息熄媳识式拭饰适[8]食蚀夕习十拾什
k[7]击急吉激戟结
kʰ[7]级吸[8]及极
ŋ[7]日[8]入
h[7]隙
∅[7]一忆抑益[8]亿亦译翼役疫逸液腋揖

#iak
p[7]壁璧
pʰ[7]劈
t[7]贴□{赶}
tʰ[7]帖踢[8]迭叠碟牒谍蝶笛籴
l[8]猎
ts[7]迹接
tsʰ[7]妾[8]捷睫
s[7]锡薛
k[7]劫[8]挟匣
kʰ[7]怯剧歉[8]狭洽屐恰
n[7]额聂镊摄蹑靥[8]业逆
h[7]□{跑、走}[8]涉协胁

#iɔk
t[7]琢涿[8]□{斩}□{语气词}
l[8]掠略
ts[7]雀爵
tsʰ[7]嚼
s[7]削
k[7]脚
kʰ[7]却
n[7]虐疟
h[7]□{木材失去水分}

#iuk
s[7]粟
k[7]□{嘱义}□{驱赶义}
kʰ[7]曲[8]局
ŋ[7]肉[8]玉狱
h[7]旭畜蓄

#ut
p[7]不
pʰ[8]勃
m[7]□{腐烂}[8]没
f[7]忽窟[8]勿佛
v[8]物
tʰ[7]突[8]凸
l[8]律率{效率}
ts[7]卒
tsʰ[7]出[8]猝
s[7]戌恤蟀率{率领}[8]术述
k[7]骨
kʰ[7]屈倔掘
ŋ[7]杌

#uk
pʰ[7]卜仆暴瀑匐
m[7]木目[8]牧穆
f[7]福幅蝠腹复{复杂}[8]斛服伏覄复{复原}
v[7]屋
t[7]督笃{椎击}
tʰ[7]秃[8]毒独读犊牍
l[7]六陸[8]鹿禄录绿□{水火烫着或食物、器物在开水中短时处理}
ts[7]竹祝筑足粥烛嘱
tsʰ[7]束触[8]族促逐轴
s[7]宿肃叔淑[8]俗熟续赎属蜀
k[7]谷[8]焗
kʰ[7]哭酷菊掬曲
j[7]育郁[8]浴欲辱褥
