阴平55 阳平31 上声42 去213
t [1]浊{白，水浑∽∽}读都{成∽}毒独嘟督渎犊牍椟黩笃读朵{骨~} [3]赌堵睹 [5]肚杜度渡镀妒蠹 
tʰ [1]凸突秃 [2]图涂途徒屠荼 [3]土吐 [5]兔菟
n [1]率{升学∽}录陆鹿撸禄噜绿碌鹭麓戮六绿律氯赂辘漉露 [2]鸬卢炉芦庐泸颅鲈奴 [3]弩努驽鲁卤掳橹虏 [5]怒路露{~水}璐
k [1]姑谷骨孤菇咕辜沽 [3]估古牯股鼓蛊鼓 [5]故顾固雇锢痼 
kʰ [1]箍哭枯窟骷 [2]跍 [3]苦 [5]裤库绔

#y
n [1]滤 [2]驴 [3]吕旅侣屡缕履捋榈褛女 [5]虑
tɕ [1]局菊居狙鞠驹橘焗桔拘掬车{出~}锔雎 [3]举咀矩 [5]句据聚剧具巨距拒俱惧炬飓倨锯
tɕʰ [1]区屈黢曲驱趋蛆躯岖祛蛐 [2]渠瞿龋[3]取娶[5]趣
ɕ [1]续{文}畜{文}虚需须叙旭嘘恤墟蓄戌吁絮 [2]徐 [3]许栩诩 [5]序煦绪
Ø  [1]欲{食∽}御迂域浴郁狱淤驭阈育浴 [2]鱼余渝俞虞愚逾榆于妤娱愉隅庾盂萸渔 [3]禺语雨宇予禹羽屿[5]玉誉遇预瑜钰喻愈豫

#a
p [1]拔{∽萝卜}吧巴笆八疤扒芭叭粑{藏~}魑杷爬{白} [2]爸 [3]把{一~}靶 [5]坝罢霸灞{把~~}□{~铺}
pʰ [1]乏{白}拨{∽河}筏{白，∽子}琶啪趴{~下}葩 [2]耙爬□{泡，一~尿}螃 [3]趴{~倒} [5]怕帕
m [1]妈吗蟆抹{~布} [2]麻 [3]马嘛蚂码玛 [5]骂
f [1]乏筏罚发伐阀砝法
ts [1]杂扎砸咂匝攒渣闸眨{轧~轮}喳铡拃札楂蚱奓{张}[2]咋[5]炸诈榨乍诧
tsʰ [1]擦嚓差{~生}叉插 [2]搽茶查茬察 [3]衩□{踩} [5]杈诧岔姹刹□{占，∽市}
s [1]撒{倒∽}杀萨飒挲鞍沙莎纱砂鲨痧杉裟铩杉 [2]啥 [3]洒撒傻 [5]啥
t [1]答搭达哒嗒妲耷瘩 [3]打 [5]大
tʰ [1]沓它她塌塔踏榻沓蹋獭
n [1]拉辣蜡腊垃邋那呐娜纳钠捺衲他{白}哪{白。∽子：哪里。此音待考} [2]拿难{白，∽为你，此音待考} [3]哪啦 [5]那{~里}
k [1]嘎尬戛
kʰ [1]咖喀旮{~~角育；卡，∽一本书} [3]咯卡{~车} [5]胯{白}
x [1]哈□{涩口之意} [5]啥{白}下{白}吓{白}
Ø  [1]啊阿家{白，王∽沟、张∽边}

#ia
p [3]瘪
pʰ [3]啪
t [1]提{白，训}
tʰ [1]他 [5]□{下}
tɕ [1]甲家夹伽家加佳痂枷嘉钾迦珈稼颊荚浃 [3]假贾 [5]架嫁价驾 
tɕʰ[1]甲{白，指∽}插{白，∽队}掐恰洽[2]□{跨}
n [1]嗲
ɕ [1]虾峡瞎辖狭黠 [2]霞匣侠暇瑕 [5]吓{文}下{∽来}夏
Ø  [1]轧{~倒}呀压{~力}押鸦鸭桠丫 [2]蚜伢睚 [3]哑 [5]轧{~路}亚压{~下去}亚娅讶

#ua
ts [1]吒抓啄 [3]爪 
tsʰ [1]□{~ 熄火}歘
s [1] 刷唰 [3]耍
z [3]挼
k [1]瓜刮 [3]寡呱剐 [5]掛挂褂
kʰ [1]夸 [3]垮 [5]胯{文，大∽}跨挎
ŋ [1]□{~爸}
x[1]划{白∽开}花滑{~溜}哗猾  [2]滑{~冰}划{~船}华 [5]划{笔~}化画桦 
Ø  [1]娲挖袜蛙洼 [2]娃 [3]砙哇佤 [5]□{留住之意}

#yeɛ̃
tɕ [1]娟捐绢鹃涓狷镌蜷{∽起} [3]卷{~帘门} [5]倦卷{一~}圈{猪~}眷隽倦  
tɕʰ [1]圈{圆~} [2]全权蜷泉拳荃醛诠痊颧蜷{∽伏} [3]绻犬 [5]劝券
ɕ [1]鲜掀轩喧萱瑄暄宣楦 [2]弦旋玄悬璇镟 [3]藓选 [5]旋{现，∽做，∽整}铉炫渲眩绚漩
Ø  [1]冤渊鸢鸳 [2]元圆原源员袁园缘媛猿援垣辕瑗嫄铅 [3]远 [5]愿苑怨院{~子}

#o
p [1]拨薄{~片}剥波博播拨啵搏玻驳脖钵膊菠亳礴 [2]薄{~荷}
pʰ [1]拨{白，一∽人}鄱 [2]婆 [3]叵 [5]剖
m [1]没摸莫末沫漠么寞蓦摩 [2]模馍磨{折∽}魔膜蘑嬷 [3]抹{~黑} [5]磨{~子}
f [3]否{~定}
ts [1]作嗫琢撮着浊凿{雕∽} [2]昨 [3]佐左 [5]坐座左{白，∽撇子}
tsʰ [1]搓磋蹉戳 [5]错措锉锉
s [1]索{~~}缩梭唆蓑娑说硕烁铄率{效∽} [2]嗦 [3]锁琐所唢 [5]索{~东西}
z [1]若弱偌
t [1]多铎夺掇咄踱戳{白，∽一下} [2]哆 [3]躲朵{花~} [5]跺剁舵堕垛惰肚{白，∽皮}
tʰ [1]拖脱托拓唾 [2]沱驼陀坨驮砣鸵 [3]妥椭
n [1]落洛络骆咯啰珞诺喏糯懦烙 [2]娜{婀~}螺罗萝锣箩骡逻椤挪傩倮嫘 [3]裸了 [5]摞
k [1]角哥各割歌戈鸽锅阁 [3]果裹聒葛咯 [5]过个 
kʰ [1]搁鸽科壳颗棵柯磕嗑苛轲疴瞌稞窠蝌渴
ŋ [1]恶{~心}鳄噩遏婀 [2]俄 [3]我 
x [1]和{~气}合喝贺呵鹤赫褐嗬颌涸壑阖霍活豁获藿火{白，∽闪}哈{~欠}荷{∽兰} [2]和{∽你}河盒何荷{~叶}禾嚯 [3]火{~焰}伙 [5]和{~面}货祸
Ø  [1]屙 [2]蛾鹅娥峨[3]了哦 [5]饿

#io
n [1]略虐疟
tɕ [1]掘脚角{一∽钱}绝决觉
tɕʰ[1]缺却雀确鹊[3]觑{瞧，∽一眼}□{瞅}
ɕ [1]雪学穴血削
Ø  [1]域狱驭月越约玥悦跃阅钥育药钥 [3]哟

#ue
k [1]国聒帼虢掴椁 
kʰ [1]扩阔括廓 
x [1]或惑

#ye
tɕ [1]绝爵撅崛蕨抉珏决
tɕʰ [1]阙缺 [2]瘸截{待考}
ɕ [1]薛靴噱鳕屑削雪血
Ø  [1]曰粤阅越月

#e
p [1]铂柏北呗白百伯佰
pʰ [1]迫魄粕迫粕拍 
m [1]墨默麦脉迈
ts [1]蜘{训}则责仄舵折{骨~}哲遮浙辙喆蛰辄褶嘛蜇窄摘这{白} [3]者 [5]啧这蔗鹧侧蜘{训}
tsʰ [1]测策册恻彻撤澈掣厕侧拆择泽车 
s [1]些{白}色涩瑟啬穑舌摄设涉奢赊赦畲慑涉折蚀{白，∽本}虱{~子} [2]蛇 [3]舍{∽得}猞 [5]舍{屋~}射社佘
z [1]热 [3]惹 
t [1]德得 [5]在{白}
tʰ [1]特忒忑  
n [1]的{白}勒嘞勒肋 [2]来{白} 
k [1]格隔革膈疙骼阁 [5]锯{白，∽一刀}
kʰ [1]客刻咳恪给氪 [2]嗝
ŋ [1]扼腭颚额讹 [3]呃 
x [1]嚇阂
Ø  [1]诶

#ie
p [1]别憋鳖 [3]瘪蹩 [5]□{意为扭}
pʰ [1]别{白，∽针}撇 [3]瞥 [5]㡀{孬}
m [1]蔑搣灭咩
t [1]爹跌碟蝶叠谍迭喋牒耋
tʰ [1]贴铁贴帖 [5]餮
tɕ [1]截{文}节杰皆结洁捷劫阶揭婕嗟竭桀碣睫疖颉 [3]姐解 [5]借戒介诫芥界 
tɕʰ [1]切妾窃挈怯锲截 [2]茄 [3]且 [5]去{白}惬箧趄
n [1]捏聂涅孽镍嗫啮蹑镊臬列猎裂烈冽趔怩业 [2]□{意为歪} [3]咧
ɕ [1]歇蝎挟胁撷 [2]斜邪协 [3]写 [5]蟹{文}谢卸泄榭
Ø  [1]夜{白。∽个，指昨晚}烨叶页晔噎椰曳掖揶谒 [2]爷 [3]蚁{白，蚂∽子}椅{白∽子，睡∽}也野冶耶 [5]夜腋

#uai
ts [1]栽{白，摔} [3]跩 [5]拽
tsʰ [1]揣{~钱} [3]揣{∽摩} [5]□{意为跩}
s [1]衰摔 [3]甩 [5]帅率
k  [1]乖 [3]拐 [5]怪
kʰ [3]块 [5]快筷侩脍刽
x [2]怀淮槐踝徊 [5]坏 
Ø  [1]歪 [3]崴 [5]外

#yn
tɕ[1]军均君 [3]锦 [5]俊菌骏钧郡峻竣浚 
tɕʰ[1]倾顷 [2]琼芹
ɕ [1]熏薰勋埙曛 [2]寻询旬巡循荀洵浔珣荨鲟徇醺峋 [5]训逊讯驯殉汛 
Ø [1]氲晕□{意为慢慢吃喝} [2]云营荥芸匀耘筠纭昀 [3]允陨永 [5]泳{游∽}韵孕运熨蕴韫

#ɚ
Ø  [2]而儿 [3]耳尔饵洱 [5]二

#iai
tɕ  [1]阶 [3]解 [5]届械界

#uei
ts [1]追锥椎骓 [2]贼 [3]嘴 [5]最醉罪缀坠赘惴
tsʰ [1]吹炊崔催摧 [2]锤垂捶槌陲槌 [3]璀 [5]脆翠萃粹淬啐悴瘁 
s [2]随隋绥髓谁 [5]絮睡税岁碎穗睢祟
t  [1]堆 [3]怼 [5]对兑队
tʰ [2] 颓[3]腿 [5]褪蜕退
n [2]雷镭羸 [3]垒耒磊蕾儡馁 [5]肋类累泪酹内
k [1]归规硅圭瑰闺鲑皈 [3]鬼轨癸晷诡 [5]贵柜桂跪
kʰ [1]亏窥盔奎岿龟{白，乌∽} [2]魁葵逵夔傀睽馗 [5]愧溃馈匮愦喟聩篑
x [1]辉晖灰挥徽恢麾 [2]回茴洄蛔 [3]悔毁 [5]会汇惠绘卉蕙烩晦讳秽慧喙桧
Ø  [1]威巍葳煨偎 [2]为{a}围维唯潍嵬惟违帷隗 [3]尾炜玮尾委韦纬萎苇猥痿帏娓 [5]为{b}谓蔚魏未位味喂卫慰畏尉渭

#ai
p [1]跛{∽子}掰 [3]摆 [5]拜败稗 
pʰ [1]牌 [2]排牌徘 [5]湃派
m [2]埋霾 [3]买 [5]卖
ts [1]遭栽哉灾翟斋 [3]宰崽仔踩{白} [5]侧{白，待考}载债寨在再
tsʰ[1]猜差{出~}钗 [2]柴豺侪才财材裁 [3]踩彩睬採 [5]菜蔡 
s [1]腮塞鳃筛 [5]赛晒
z [1]□{感叹词}
t [5]在{白，∽家}再{白，∽来}
tʰ [1]得{∽到，待考}大{白}
n [1]来那{白}奶{白} [2]莱 [3]乃鼐奶 [5]濑籁睐耐奈癞
k [1] 街街该垓赅 [3]解{白}改解 [5]盖钙丐
kʰ [1]开揩 [3]楷凯恺铠慨
ŋ [1]唉挨{~倒}哀埃 [2]延{白}崖挨{∽打}癌岩 [3]矮霭蔼哎皑欸 [5]爱艾碍暧 
x [2]鞋孩骸还{~是} [3]蟹{白}海嗨 [5]亥骇氦害

#iau
p [1]膘标彪飚镖骠 [3]裱婊
pʰ [1]飘缥 [2]瓢朴{姓~}嫖 [3]殍瞟 [5]票漂
m [1]喵 [2]瞄描苗 [3]秒淼渺藐邈缈 [5]妙庙
t [1]挑{白，∽东西}叼刁雕貂凋鲷碉 [3]屌 [5]掉吊钓调{腔~}
tʰ [1]挑 [2]条调{∽教}迢笤髫 [3]窕挑{~事}脁 [5]跳眺
tɕ [1]浇交教{~书}椒娇胶焦浇骄郊蕉蛟礁姣跤佼茭 [2]嚼狡{嘴巴~} [3]搅{~事}狡{~滑}绞缴矫饺剿铰皎侥 [5]觉窖菖叫教{∽育}轿校{~对}
tɕʰ [1]悄锹跷翘橇桥侨樵荞憔巧俏鞘峭[2]瞧[5]撬
n [1]你{白。你∽：你家。}撩 [2]聊獠辽疗寥{寂~}瞭寮燎缭嘹潦 [3]鸟 [5]寥{姓~}料镣撂蓼袅尿
ɕ [1]箫霄肖宵销骁潇消枭箫萧逍硝 [2]淆 [3]小晓筱 [5]校{学∽}酵笑孝效
Ø  [1]腰妖邀幺夭吆[2]瑶肴尧摇姚谣遥窑垚徭窈窑[3]舀杳[5]要耀曜鹞

#uaɹ̃
ts [1]专砖颛钻 [3]转{~弯} [5]转{∽圈}传{~记}赚撰篆馔攥纂
tsʰ[1]穿川氚撺船 [2]传{~神}攒椽 [3]喘舛铲 [5]串钏窜篡蹿爨 
s [1]栓{∽住}酸狻拴闩删 [5]栓{门∽子}涮算蒜
t [1]端 [3]短 [5]断段锻缎煅 
tʰ [1]湍 [2]团 [3]抟
k [1]关官观冠棺信鳏纶 [3]管馆 [5]灌罐贯鹳 
kʰ [1]宽 [2]髋 [3]款
x [1]欢 [2]环桓还{~你}寰嬛鬟鹮横{白，∽起} [3]缓 [5]幻换患焕唤浣宦奂痪豢 
Ø [1]湾弯豌剜婠蜿 [2]玩完丸烷顽纨 [3]往{白，∽哪去}挽绾晚碗婉皖宛菀琬惋畹 [5]腕万院{医~}

#ei
p[1]费{白，∽功、~力}背杯悲卑 [5]焙悖贝辈蓓
pʰ[1]坯批丕坯胚披 [2]赔培陪裴 [3]呸 [5]配佩沛珮霈
m[1]没 [2]眉{文}煤梅霉媒酶玫莓楣湄嵋鹏 [3]美每镁 [5]妹魅眛袂寐 
f [1]非飞菲妃霏啡扉蜚鲱腓 [2]肥 [3]匪翡斐绯诽 [5]费废肺吠沸狒

#iəu
m [5]谬 
t [1]丢
tɕ [1]揪疚纠灸鸠咎啾鹫阄 [3]酒九久玖韭赳 [5]就舅旧救臼厩僦柩 
tɕʰ[1]秋邱丘鳅湫蚯煪{熏} [2]求球裘逑虬酋球逑毬遒囚
n [1]溜妞浏 [2]牛流刘留榴瘤硫琉鎏馏□{毛～儿，指猕猴桃} [3]纽{枢∽}扭柳 [5]绺拗遛 
ɕ [1]修休羞咻貅馐修 [3]糗宿{一~}朽 [5]秀绣袖锈嗅岫宿{星~子}囚{待考}
Ø  [1]优忧幽呦悠攸莜黝 [2]由游尤油犹邮鼬鱿蚴猷 [3]有酉友 [5]又右幼佑诱釉柚囿宥疣莠

#uən
tsʰ [1]春椿村邨 [2]唇淳鹑
s [2]纯醇绳绳 [3]吮 [5]顺瞬舜 
z [3]允 [5]闰润孕
k [3]滚衮
kʰ [1]坤昆鲲 [2]浑{白} [3]捆 [5]困
x [1]昏婚荤 [2]魂诨馄横 [5]混浑{∽水摸鱼}
Ø  [1]温瘟 [2]纹雯文吻蚊闻玟 [3]稳紊 [5]汶问

#au
p [1]包苞褒孢 [3]保宝葆饱堡煲鸨褓 [5]曝报抱爆暴豹鲍曝齙趵
pʰ [1]泡{~~肉}抛 [2]刨袍疱咆狍 [3]跑 [5]泡{~水}炮
m [1]猫 [2]矛毛茅锚髦旄 [5]貌冒帽贸懋瑁耄袤
ts [1]遭{~糕}糟醩招昭朝{~气}钊沼 [2]着 [3]早澡枣藻蚤找 [5]照赵罩兆召诏瞾丈{白，老∽人}
tsʰ [1]操糙抄超钞焯 [2]朝{~阳}槽曹嘈漕螬潮巢晁 [3]草吵炒 [5]肏□{意为翻动}燥躁噪造
s [1]丝{白，清代张慎仪所作的《蜀方言》中查提蜀人将丝瓜的丝念作“烧”}骚搔缫梢烧稍捎梢艄 [2]勺苕韶 [3]扫嫂少{多~}晌 [5]臊稍肇少{∽年}绍邵哨劭
z [2]饶娆 [3]扰 [5]绕
t [1]刀叨 [3]倒岛捣蹈祷着{白} [5]铸{白，∽一口锅}道盗悼到稻
tʰ[1]他{白，∽爸}掏韬滔焘饕萄绦 [2]逃淘陶桃啕 [3]□{摘，∽板栗}讨 [5]导{领∽}套
n [1]捞唠孬 [2]劳牢挠醪{∽糟，江米酒} [3]老佬姥脑恼瑙□{拿，可能是“㧯〞，∽开} [5]涝痨崂醪闹 
k [1]高膏糕皋羔篙皋 [3]镐搞缟稿 [5]告诰觉{白，睏∽}窖{白，∽藏}搅{白，∽东西}
kʰ [1]敲尻 [3]烤考拷 [5]铐犒靠
ŋ [1]我{白，∽妈}凹熬{训，~油}爊{熬，∽油}□{~造型} [2]熬{煎~}敖嗷鳌翱骜遨鏖 [3]拗{撬}咬袄拗 [5]撬澳奥傲坳慠拗{翘，~起}
x [1]蒿薅 [2]豪嚎毫蚝嗥壕 [3]好{∽事} [5]好{~吃}皓号浩耗昊灏

#ieɛ̃
p [1]边编鞭煸蝙砭 [3]扁贬匾□{挽} [5]变遍便辩卞辨辫汴 
pʰ [1]篇偏翩 [2]骈 [5]骗片
m [2]棉绵眠 [3]免勉冕缅腼 [5]面
t [1]颠癫滇巔癜 [3]点典碘 [5]掂电店垫殿甸淀奠佃惦钿玷簟腚
tʰ [1]天添 [2]田填甜湉恬 [3]舔忝腆殄
n [1]拈蔫研年{白，明∽子} [2]黏鲶莲连联怜帘廉涟镰濂琏鲢严簾憐奁阎年 [3]碾撵辇捻脸敛殓 [5]念恋链炼练潋验
tɕ [1]尖坚兼肩笺奸煎监歼艰蒹鹣菅缄间{文} [3]减剪捡检简拣碱茧俭翦戬睑 [5]见建件剑键贱健箭渐鉴舰荐涧践谏柬腱饯僭毽犍溅{文}
tɕʰ [1]千签迁牵仟谦铅芊纤骞阡间{白} [2]钱钳乾黔潜{~水}前虔 [3]浅潜{~伏}遣谴 [5]嵌倩歉堑芡欠茜{~草}
ɕ [1]先仙暹籼鲜{白，新∽饭} [2]贤娴涎嫌闲{文}衔{文，∽接} [3]显险洗 [5]县限献宪腺羡现陷{文，∽阱}馅线 
Ø  [1]烟焉咽{~喉}腌嫣琰炎湮阉奄胭 [2]言盐檐闫颜延{文} [3]眼演妍掩衍魇 [5]咽{∽下去}艳堰彦厌雁宴焰偃唁筵燕晏{文}

#uaŋ
ts [1]庄装桩莊妆 [3]奘{~意为凑}[5]壮状幢撞{文，∽头} 
tsʰ [1]疮 [2]床 [3]闯撞{白} [5]创
s [1]双霜孀 [3]爽
k [1]光胱咣 [3]广 [5]逛□{~意为光滑}
kʰ [1]诓筐 [2]狂诳 [5]况框矿旷眶犷
x [1]慌荒肓 [2]黄皇璜煌凰簧磺潢蝗篁徨癀隍惶 [3]谎幌 [5]晃幌 
Ø [1]汪 [2]王亡 [3]网枉罔惘魍往 [5]望忘旺妄

#əu
ts [1]邹诹州粥洲舟绉 [3]走肘帚 [5]揍奏咒宙昼骤胄 
tsʰ [1]抽 [2]仇愁筹惆踌稠畴酬绸 [3]丑醜 [5]臭凑
s [1]搜艘嗖飕馊收 [3]叟擞溲手守首 [5]嗽受瘦寿兽售授狩瘦绶 
z [1]□{∽，意为动作慢} [2]揉柔糅蹂 [5]肉{猪∽}
t [1]笕兜周{存疑}都{~要} [3]抖{白}陡蚪斗{一~米} [5]豆痘窦逗凑{白}
tʰ [1]偷 [2]头投 [3]抖 [5]透
n [2]楼娄髅□{~意为往上提}偻 [3]喽搂篓 [5]漏陋镂露{~出来}
k [1]沟勾钩芶篝佝 [3]狗枸 [5]苟够构购诟垢媾
kʰ [1]抠 [3]口 [5]寇叩蔻扣
ŋ [1]欧殴鸥讴 [3]纽{~子}偶呕藕耦 [5]怄 
x [1]齁 [2]猴侯篌喉 [3]吼 [5]后厚候逅

#iaŋ
n [1]嬢 [2]娘粮凉良梁粱莨 [3]两魉俩 [5]酿量亮靓晾谅踉
tɕ [1]刚{白，∽才}将江浆磕姜僵缰豇疆 [3]奖讲蒋桨 [5]匠酱降犟绛
tɕʰ [1]匡羌腔戕镪枪羟 [2]强墙襁蔷藏{白，猫猫，∽起来} [3]抢 [5]像{白，好∽}□{∽了，指∽了}呛炝跄 
ɕ [1]相香箱乡湘镶厢襄 [2]翔祥详降 [3]响饷享想 [5]像{头∽}象橡向
Ø  [1]央秧殃鸯泱鞅 [2]洋阳杨羊扬旸炀徉佯烊疡 [3]养痒氧 [5]样漾恙

#æ̃
p [1]班扳颁斑般搬 [3]版板坂阪 [5]拌办半瓣伴扮傍蚌 
pʰ [1]潘攀蟠[2]盘袢槃磐蹒□{把东西∽回来} [5]绊襻判盼畔叛泮
m [1]们{一∽} [2]蛮瞒馒埋{∽怨} [3]满螨 [5]蔓慢曼漫幔鳗缦谩 
f [1]蕃翻番幡藩 [2]凡烦繁矾樊 [3]反返 [5]梵饭犯范泛贩
ts [1]簪沾粘詹毡瞻霑 [3]攒展斩崭辗 [5]赞绽站战蘸湛栈占溅{白}
tsʰ [1]餐掺搀参 [2]蚕残惭孱馋缠蟾潺谗 [3]惨阐产谄 [5]灿璨颤忏 
s[1]三山衫膻煽潸噻 [3]伞闪陕 [5]散嬗骟赡禅扇善膳汕擅鳝讪缮鳝  
t [1]单担耽眈丹郸殚答{白，∽应你}端{白，“∽阳”即“端午”} [2]弹{~琴} [3]胆掸疸 [5]但弹{~蛋}淡旦氮啖惮澹萏  
tʰ [1]摊贪滩瘫坍 [2]谈潭谭坛痰檀昙 [3]坦毯忐袒 [5]叹碳炭
n [1]□{牛~} [2]蓝篮拦栏兰岚澜阑斓婪褴楠难 [3]览懒揽缆榄 [5]烂滥 
k [1]杆尴肝竿柑甘干{~杯}苷间{白} [3]赶敢擀赣秆感 [5]干{~事}
kʰ [1]勘刊堪龛 [3]砍坎侃槛 [5]看瞰
ŋ [1]安氨胺桉谙鹌鞍庵淹 [5]按暗案岸黯铵晏{白，∽场，雅安一地名}
x [1]憨鼾酣 [2]寒函韩涵晗邯咸闲{白}衔{白，∽东西} [3]喊罕 [5]颔汉旱汗焊翰瀚悍憾菡撼捍陷{白，∽下去}

#ioŋ
tɕ [1]躬{白}
tɕʰ [2]穹穷邛茕
ɕ [1]凶胸兄匈汹悩 [2]熊雄
Ø  [1]雍佣{雇~}邕壅臃 [2]容融溶蓉榕熔 [3]拥勇涌蛹甬勇踊俑 [5]佣{~人}用

#ən
p[1]奔崩{1960《四川方言音系》} [3]本 [5]笨
pʰ [1]凴{意为依靠，∽着} [2]盆彭
m [1] 们{我~} [2]门扪 [5]闷焖懑
f [1]分芬纷酚氛吩 [2]焚汾坟 [3]粉 [5]喷{∽嚏}粪份奋忿愤
ts [1]谆尊遵樽鳟针真甄臻珍贞桢斟祯榛疹蓁箴砧胗侦征争蒸铮怔徵钲狰烝峥曾{姓∽}甑筝增增 [2]准 [3]诊缜枕拯整 [5]镇阵朕圳鸩赈正证郑政挣症憎赠 
tsʰ [1]皴睁称{名∽}琛抻嗔瞋撑蛏噌伸{白，直}呻{∽唤}□{∽起账：指差账} [2]曾{~经}陈沉尘臣忱成承{∽认}澄盛{~饭}呈程诚骋橙丞逞岑层娠存城 [3]惩 [5]称{~心}趁衬秤蹭
s [1]声升昇笙牲甥身深伸{∽冤}绅砷珅参莘申僧森生 [2]城{白，∽隍庙}承{∽着，∽受}晨{早∽}乘神什 [3]省婶沈审哂 [5]盛{~开}剩胜圣晟肾蜃疹葚渗甚
z [1]扔 [2]仍人仁 [3]荏忍 [5]任认壬妊
t [1]筝{白，风∽}灯蹬登噔蹲敦墩 [3]等盹 [5]囤{白，∽子，囤粮的器具}瞪邓顿顿盾吨顿 
tʰ [1]吞 [2]囤腾藤滕誊
n [1]抡 [2]轮伦仑沦囵纶能 [3]冷 [5]论楞愣嫩
k [1]根跟更{∽新}耕羹庚 [3]整{白，训。∽钱。}梗{~住}耿哽埂鲠 [5]□{痕，∽∽，一∽}更{~好}亘
kʰ [1]坑吭铿 [3]肯啃恳垦
ŋ [1]樱{∽桃子}恩鹦 [3]梗{木~} [5]摁硬
x [1]哼亨 [2]痕恒衡蘅 [3]很狠 [5]恨
