tsɿ[1]雌兹咨姿资孳滋辎
su[1]梳疏蔬苏酥
su[2]叔淑孰赎塾熟蜀戍束俗肃速宿粟缩畜{～牧}续蓄属嘱
su[3]数{动词}
su[5]数{名词}漱诉素塑
ku[1]姑孤鸪辜箍
ku[2]谷{山～}骨穀{稻～}
ku[3]估古股牯{阉割过的公牛}鼓
ku[5]固故顾雇锢
kʰu[1]枯□{植物子实榨油后剩下的渣滓}
kʰu[2]哭窟酷
kʰu[3]苦
kʰu[5]库裤
u[1]沃乌污巫诬
u[2]握屋无吴吾梧蜈物
u[3]五午伍武侮鹉舞
u[5]务戊误悟雾恶{厌～}
ny[3]女
ly[2]驴律
ly[3]吕旅屡缕履
ly[5]滤虑
tsy[1]朱诛株珠诸猪硃蛛
tsy[2]卒
tsy[3]主煮
tsy[5]聚娶拄住苎注驻柱著蛀註铸箸
tsʰy[1]蛆趋
tsʰy[2]出除厨储褚徐
tsʰy[3]杵处{～理}取
tsʰy[5]趣处{～所}
sy[1]书舒输荽须{必～}需鬚{胡～}
sy[2]殊薯术述戌
sy[3]暑黍署鼠
sy[5]树竖恕庶嗉序叙绪婿絮
ky[1]居
ky[2]局
ky[3]举矩
ky[5]句巨拒具俱剧惧据距锯
kʰy[1]拘驹区驱渠枢
kʰy[2]鞠菊橘瞿曲屈粬
kʰy[5]去
xy[1]虚嘘墟
xy[3]许
y[1]迂淤
y[2]如儒入役疫于余{姓}於盂鱼娱馀{多～}渔愚虞郁{姓}域
y[3]汝乳蕊与宇羽雨禹语
y[5]愉逾榆玉芋预喻寓御裕遇愈誉豫禦鬱{忧～}
pa[1]巴芭疤笆
pa[2]八
pa[3]把爸
pa[5]坝罢霸壩{堤}欛{柄}
pʰa[2]拔杷爬耙琶
pʰa[3]□{（两腿）叉开}
pʰa[5]怕
ma[1]蟆妈
ma[2]麻痲抹
ma[3]马码
ma[5]骂
fa[2]发{～展}乏伐罚阀筏法髮{头～}
ta[2]搭达沓答
ta[3]打
ta[5]大
tʰa[1]他它遢
tʰa[2]塌溻塔獭搨榻踏
na[2]拿纳捺
na[3]哪
na[5]那
la[1]拉
la[2]邋腊蜡辣镴{锡和铅的合金}
tsa[1]渣楂
tsa[2]紮{驻～}杂砸劄扎{～针}札闸铡煠{食物整个放入水或油中弄熟}眨栅
tsa[3]鲊{四川榨菜叫～菜}
tsa[5]乍诈榨炸
tsʰa[1]叉杈岔差{～别}
tsʰa[2]擦插查茶搽察
tsʰa[5]汊
sa[1]沙纱莎杉
sa[2]卅萨杀煞霎
sa[3]撒洒厦{大～}
sa[5]□{（毛发）乍开}
ka[5]尬□{鸭叫声}
kʰa[1]□{卡（脖子）}
kʰa[5]骻{两腿之间}
ŋa[1]桠枒□{张开（嘴）}
ŋa[3]哑
ŋa[5]□{切,割}
xa[1]哈蝦{蛤蟆}
xa[3]哈{傻}
xa[5]□{霸占}
a[1]阿{～姨}
pʰia[3]□{斜视}
tia[2]□{拿}
nia[1]□{黏}
lia[2]苶{疲劳}
lia[3]□{（衣领）敞开}
lia[5]□{（液体）渗漏}
kia[1]加佳家痂傢嘉
kia[2]夹裌甲胛匣挟
kia[3]贾假
kia[5]价驾架嫁稼
kʰia[2]掐恰洽□{跨（步）}
ŋia[1]□{黏,又读}
ŋia[2]□{粗糙}
ŋia[3]□{挑衅}
xia[1]虾
xia[2]瞎侠峡狭遐暇辖霞
xia[5]下夏厦{～门}
ia[1]丫鸦
ia[2]压押鸭牙芽崖涯衙
ia[3]哑雅
ia[5]亚
tsua[1]抓
sua[2]刷
sua[3]耍
kua[1]瓜
kua[2]刮括
kua[3]剐寡
kua[5]卦挂
kʰua[1]夸跨
kʰua[3]垮
kʰua[5]胯
xua[1]花
xua[2]华铧滑猾桦
xua[5]化画话劃
ua[1]挖洼蛙
ua[2]袜
ua[3]瓦
po[1]波玻菠
po[2]拨剥钵驳勃钹博薄
po[3]跛簸{用簸箕的动作}
po[5]播簸{～箕}
pʰo[1]坡
pʰo[2]泼婆
pʰo[3]颇剖
pʰo[5]破
mo[1]摸摩魔
mo[2]馍膜磨{～刀}末沫莫寞漠
mo[5]磨{石～}
to[1]多
to[2]夺铎掇踱
to[3]朵躲
to[5]剁垜堕舵惰
tʰo[1]拖
tʰo[2]讬托脱驮驼紽
tʰo[3]妥椭唾
no[1]捼{搓（麻绳）}
no[2]挪诺
no[5]懦糯
lo[1]啰
lo[2]烙酪乐{快～}略捋{松脱，滑落}罗脶萝锣箩骡螺洛络骆落
lo[3]卵裸
lo[5]摞
tso[2]凿卓捉桌灼酌啄着琢昨作
tso[3]左
tso[5]佐坐座
tsʰo[1]搓
tsʰo[2]戳绰撮鹊
tsʰo[3]□{怂恿}
tsʰo[5]挫措锉错
so[1]唆梭蓑
so[2]率勺芍蟀朔硕索削
so[3]所琐锁
so[5]傻
ko[1]戈哥歌锅
ko[2]鸽割搁阁葛蛤各郭国角
ko[3]果裹
ko[5]个过
kʰo[1]坷苛科窠蝌
kʰo[2]瞌磕壳渴扩阔廓确
kʰo[3]棵颗可
kʰo[5]课
ŋo[2]讹俄鹅蛾鄂腭
ŋo[3]我
ŋo[5]饿卧
xo[1]喝
xo[2]郝禾合何和河荷盒鹤活或获惑霍穫藿
xo[3]火伙夥
xo[5]贺货祸
o[1]阿{～胶}倭涡莴窝蜗
o[2]恶{～心}
o[5]涴{弄脏}
lio[2]掠
tsio[2]爵
tsʰio[2]雀
kio[2]脚
kʰio[2]却觉{感～}
ŋio[2]疟虐弱
xio[2]学
io[2]若药约岳{～父}钥跃嶽{山～}乐{音～}
pɤ[1]掰
pɤ[2]白百柏北伯帛泊
pʰɤ[2]帕拍迫魄
mɤ[2]麦脉没陌墨默
tɤ[2]得德
tʰɤ[2]特
nɤ[5]□{蹭（痒）}
lɤ[2]勒肋
tsɤ[2]则择泽责贼摘窄
tsʰɤ[2]册侧厕测策拆宅
sɤ[2]色涩啬瑟虱骰塞{闭～}
kɤ[2]胳革格隔
kʰɤ[2]克刻客
ŋɤ[2]额扼轭
ŋɤ[5]□{割；杀}
xɤ[2]核覈黑嚇
xɤ[3]□{吃}
ɤ[2]儿而
ɤ[3]尔耳饵
ɤ[5]二贰
pie[2]秕憋鳖别瘪
pʰie[2]撇
mie[2]灭篾
mie[5]□{鱼叫鱼～}
tie[1]爹
tie[2]跌谍叠碟蝶
tʰie[2]贴铁帖
nie[1]□{乳房}
nie[2]捏聂镊蹑孽业
nie[5]□{（人的）乳汁}
lie[2]列劣烈猎裂
tsie[1]遮
tsie[2]疖接节捷截折哲摺褶浙
tsie[3]姐者
tsie[5]借藉蜇蔗鹧
tsʰie[1]车
tsʰie[2]彻撤切妾窃邪辙
tsʰie[3]扯且
tsʰie[5]笡{歪斜}
sie[1]奢赊些
sie[2]舌佘蛇设涉摄斜泄屑
sie[3]捨{～得}写
sie[5]舍{宿～}社射赦麝泻卸谢
kie[2]给揭劫杰洁结竭桔
kʰie[2]茄怯瘸
kʰie[3]□{形容咳嗽说咳～～}
ŋie[3]惹
xie[2]楔歇蝎协胁挟携
ie[1]椰
ie[2]热爷叶页掖液腋乙
ie[3]也野
ie[5]夜
nye[2]谑
tsye[2]绝拙
sye[2]说薛雪
kye[2]决诀倔厥蕨
kʰye[2]缺
kʰye[3]□{折（断）}
xye[1]靴
xye[2]穴血
ye[1]曰
ye[2]月悦阅粤越
pæ[1]□{瘸；跛}
pæ[3]摆
pæ[5]败拜稗
pʰæ[2]排牌簰
pʰæ[3]□{双臂平伸量长短}
pʰæ[5]派
mæ[2]埋
mæ[3]买
mæ[5]迈卖
tæ[1]呆
tæ[5]代带待怠殆贷袋逮戴
tʰæ[1]胎苔
tʰæ[2]台抬臺薹
tʰæ[5]太态泰
næ[1]奶{祖母叫阿～}
næ[3]乃奶{牛～}
næ[5]奈耐
læ[2]来
læ[3]攋□{～拐指差，次}
læ[5]赖癞
tsæ[1]灾栽斋
tsæ[3]宰载{记～}崽
tsæ[5]再在债寨载{～重}
tsʰæ[1]猜差{出～}钗
tsʰæ[2]才材财裁柴豺
tsʰæ[3]采{神～}彩採{～摘}
tsʰæ[5]菜蔡
sæ[1]腮鳃筛
sæ[5]塞{边～}赛筛晒
kæ[1]该阶皆街揩
kæ[2]□{父亲叫老～}
kæ[3]改解
kæ[5]丐盖溉介戒芥届界疥械
kʰæ[1]开
kʰæ[3]凯楷
kʰæ[5]概慨
ŋæ[1]哀埃挨
ŋæ[2]捱騃{呆}硙{磨蹭}
ŋæ[3]矮蔼乃奶
ŋæ[5]艾爱隘碍奈耐
xæ[2]孩谐鞋
xæ[3]海蟹
xæ[5]亥骇害懈
tsuæ[2]□{大}
tsuæ[3]□{甩；掷}
tsuæ[5]拽□{弯曲手指弹脑袋}
tsʰuæ[3]揣
suæ[1]衰
suæ[3]摔
suæ[5]帅
kuæ[1]乖
kuæ[3]拐
kuæ[5]怪
kʰuæ[2]□{（手指）发僵}
kʰuæ[3]块
kʰuæ[5]快筷会{～计}桧
xuæ[2]怀淮槐
xuæ[5]坏
uæ[1]歪
uæ[3]崴{走路不稳叫打～}
uæ[5]外
pəi[1]卑杯悲揹{～负}碑
pəi[5]贝背{～脊}倍焙辈
pʰəi[1]胚坯
pʰəi[2]陪培赔裴
pʰəi[5]沛佩配辔
məi[2]枚玫莓梅脢媒楣煤霉
məi[3]每美
məi[5]妹昧媚寐
fəi[1]飞妃非
fəi[2]肥
fəi[3]匪榧{～子}翡
fəi[5]吠废肺费疿痱
təi[1]堆
təi[3]□{批发；贩}
təi[5]队对兑碓
tʰəi[1]推
tʰəi[2]颓
tʰəi[3]腿
tʰəi[5]退蜕
nəi[5]内
ləi[1]镭{铜元叫～子}
ləi[2]雷擂
ləi[3]垒儡累{积～}
ləi[5]儽{疲～}泪类累{～赘}
tsəi[3]嘴
tsəi[5]最罪醉
tsʰəi[1]崔催
tsʰəi[2]隋随
tsʰəi[5]脆翠
səi[1]虽
səi[5]岁碎
əi[5]锐
tsuəi[1]追锥
tsuəi[5]坠缀赘
tsʰuəi[1]吹炊
tsʰuəi[2]槌锤
tsʰuəi[5]淬粹
suəi[1]绥
suəi[2]垂谁
suəi[3]水髓
suəi[5]瑞税睡遂隧
kuəi[1]归圭龟规闺
kuəi[3]轨诡鬼傀
kuəi[5]刽柜贵桂跪鳜
kʰuəi[1]亏盔窥
kʰuəi[2]奎逵葵魁
kʰuəi[5]癸愧溃
xuəi[1]灰恢挥辉麾徽
xuəi[2]回茴
xuəi[3]悔毁
xuəi[5]汇{～款}会{开～}绘贿彗晦秽惠彙{词～}慧殨穗
uəi[1]威煨
uəi[2]危微为作{～}围违桅唯帷惟维苇
uəi[3]伟尾纬委萎
uəi[5]讳为{～什么}伪卫未位味畏胃谓喂{叹词}猬慰餵{～养}魏
pɔ[1]包苞胞褒鲍
pɔ[3]宝饱保堡
pɔ[5]雹报抱豹菢{鸟类孵卵}鉋暴爆
pʰɔ[1]抛脬
pʰɔ[2]刨袍
pʰɔ[3]跑
pʰɔ[5]炮泡砲
mɔ[1]猫
mɔ[2]毛矛茅锚
mɔ[3]卯
mɔ[5]冒帽貌
tɔ[1]刀叨
tɔ[3]导岛倒捣祷
tɔ[5]倒到悼盗道稻
tʰɔ[1]涛掏滔
tʰɔ[2]逃桃陶淘绹{用绳索捆}萄
tʰɔ[3]讨
tʰɔ[5]套
nɔ[2]挠铙
nɔ[3]恼脑
nɔ[5]闹
lɔ[1]捞
lɔ[2]劳牢唠痨涝
lɔ[3]老姥
tsɔ[1]遭糟招昭召朝{早}
tsɔ[3]早枣蚤澡藻爪找
tsɔ[5]焯灶皂造躁召兆赵笊照罩肇櫂{划（船）}
tsʰɔ[1]操抄钞超
tsʰɔ[2]曹槽巢朝{～向}嘲潮
tsʰɔ[3]草吵炒
tsʰɔ[5]糙燥
sɔ[1]鞘搔骚臊捎烧稍筲
sɔ[2]韶
sɔ[3]嫂扫{～地}少{多～}
sɔ[5]邵绍潲扫{～帚}少{年幼}
kɔ[1]羔高膏篙糕
kɔ[3]搞稿搅
kɔ[5]告窖觉{睡～}
kʰɔ[1]敲
kʰɔ[3]考拷烤
kʰɔ[5]犒靠
ŋɔ[2]敖熬{～肉}
ŋɔ[3]袄咬
ŋɔ[5]坳傲奥懊鏊{烙饼用的平底锅}
xɔ[1]薅{揪}
xɔ[2]毫豪嚎壕
xɔ[3]好{～坏}
xɔ[5]蒿好{爱～}号浩耗
piɔ[1]彪标膘鳔
piɔ[3]表{报～}錶{手～}
pʰiɔ[1]飘
pʰiɔ[2]瓢薸{浮萍}嫖
pʰiɔ[5]漂票
miɔ[2]苗描
miɔ[3]秒渺藐
miɔ[5]妙庙
tiɔ[1]刁貂雕
tiɔ[5]吊钓调{～查}掉
tʰiɔ[1]挑
tʰiɔ[2]条调{～和}
tʰiɔ[3]斢{交换}
tʰiɔ[5]粜跳
niɔ[1]□{黏稠}
niɔ[3]鸟
niɔ[5]尿
liɔ[2]辽疗聊僚嘹撩燎鹩瞭
liɔ[3]了{～解}
liɔ[5]廖镣料
tsiɔ[1]椒焦蕉樵
tsiɔ[2]嚼
tsiɔ[3]剿
tsiɔ[5]噍醮
tsʰiɔ[1]锹缲
tsʰiɔ[2]瞧
tsʰiɔ[3]悄
tsʰiɔ[5]俏鞘
siɔ[1]梢枵宵消逍萧硝销箫霄嚣
siɔ[3]小晓
siɔ[5]笑
kiɔ[1]交郊娇浇茭骄胶教{～书}
kiɔ[2]饺
kiɔ[3]侥狡绞矫铰缴
kiɔ[5]叫轿教{～育}
kʰiɔ[1]蹻{把脚举高}
kʰiɔ[2]乔侨荞桥翘
kʰiɔ[3]巧
kʰiɔ[5]窍
xiɔ[2]淆肴
xiɔ[5]较酵孝效校
iɔ[1]幺吆妖腰邀要{～求}
iɔ[2]饶尧姚窑谣摇遥
iɔ[3]扰绕舀
iɔ[5]鹞耀要{重～}
pou[1]踎{蹲}
mou[1]踎{蹲，又读}
mou[2]谋
mou[3]某亩牡
mou[5]茂贸
fou[2]浮
fou[3]否
fou[5]埠
tou[1]兜
tou[3]斗抖陡
tou[5]豆逗鬥痘
tʰou[1]偷
tʰou[2]头投
tʰou[3]敨{歇息}
tʰou[5]透
nou[2]□{数量多}
lou[2]楼耧
lou[3]搂篓
lou[5]陋漏
tsou[1]州舟周洲邹
tsou[3]肘帚走
tsou[5]纣咒宙绉昼胄皱奏做
tsʰou[1]抽搊
tsʰou[2]仇绸愁稠筹酬
tsʰou[3]丑{～时}醜{～陋}
tsʰou[5]臭凑骤
sou[1]收搜蒐馊飕艘
sou[3]手守首
sou[5]寿受兽售授瘦嗽
kou[1]勾沟钩阄
kou[2]□{量词；团；块}
kou[3]狗苟
kou[5]构购垢够媾彀{往上～}
kʰou[1]抠
kʰou[3]口
kʰou[5]叩扣寇
ŋou[1]欧殴瓯鸥
ŋou[3]呕偶藕
ŋou[5]沤怄
xou[1]佝{（腰背）弯曲}
xou[2]侯喉猴瘊
xou[5]后{皇～}厚後{～来}候
pʰiou[3]□{瞎（多用于骂人）}
miou[5]谬
tiou[1]丢
niou[3]扭纽钮
liou[1]溜{～冰}
liou[2]刘流留琉硫榴
liou[3]柳
liou[5]溜{一～房间}
tsiou[1]揪揫鬏{头发盘成的髻}
tsiou[3]酒
tsiou[5]就
tsʰiou[1]秋鳅鞦
tsʰiou[2]囚泅
siou[1]休修羞
siou[3]□{（用细鞭子）抽打}
siou[5]秀绣袖锈嗅
kiou[1]纠鸠
kiou[3]九久灸韭
kiou[5]究旧臼柩救舅
kʰiou[1]丘蚯
kʰiou[2]求球
ŋiou[2]牛
ŋiou[5]□{皱}
xiou[1]休
xiou[3]朽
iou[1]优忧幽悠
iou[2]柔揉尤由犹邮油游
iou[3]友有酉
iou[5]柚又右幼宥祐诱釉
iu[2]肉辱褥旭育狱浴欲
pã[1]扳班般颁斑
pã[5]办扮瓣
pʰã[1]攀
pʰã[3]板版
pʰã[5]判盼襻
mã[2]蛮
mã[3]□{排行最小的}
mã[5]曼幔慢漫蔓
fã[1]番翻
fã[2]帆藩凡矾烦繁
fã[3]反返
fã[5]犯泛饭范贩範
tã[1]丹单担{～任}耽
tã[3]胆疸掸
tã[5]蛋担{～子}旦但诞弹{子～}淡
tʰã[1]坍贪摊滩瘫
tʰã[2]坛{文～}谈痰谭潭檀罎{酒～}弹{～琴}
tʰã[3]坦毯
tʰã[5]叹炭探
nã[2]男南难{～过}
nã[5]难{灾～}
lã[1]篮篮{子，口语音}
lã[2]兰拦栏蓝篮
lã[3]览揽榄懒漤{用糖、盐或调味品渍生的果菜}
lã[5]缆烂滥
tsã[1]簪瞻占粘
tsã[3]攒斩盏
tsã[5]溅暂赞錾灒栈站绽蘸钻{～子}
tsʰã[1]餐搀渗参{～加}
tsʰã[2]残蚕惭谗禅馋蟾
tsʰã[3]惨产铲
tsʰã[5]灿忏颤
sã[1]三山删衫珊搧羶
sã[3]伞散{～装}闪
sã[5]禅散{～步}疝膳鳝
kã[1]干{～净}甘杆肝泔柑竿尴
kã[3]秆敢桿稈感橄擀减赶
kã[5]幹{～活}鉴
kʰã[1]刊勘堪
kʰã[3]坎侃砍
kʰã[5]看
ŋã[1]安庵鹌鞍
ŋã[2]癌岩
ŋã[3]揞
ŋã[5]岸按案暗晏雁
xã[1]蚶酣憨鼾
xã[2]含函寒韩咸{～阳}衔鹹{～淡}
xã[3]罕喊
xã[5]汉汗旱焊憾撼翰苋限陷馅
tsuã[1]钻{～研}
tsuã[5]赚撰
tsʰuã[5]篡
kuã[1]关鳏
ŋuã[2]顽
xuã[1]欢
xuã[2]环还{～原}
xuã[5]幻涣
uã[1]弯湾
uã[2]完玩{～具}
uã[3]豌宛挽晚婉惋腕
uã[5]万翫{～弄}
piɛ̃[1]边蝙鞭
piɛ̃[3]贬扁匾
piɛ̃[5]汴便变辨辩辫
pʰiɛ̃[1]编偏篇
pʰiɛ̃[5]徧{～地}遍{一～又一～}片骗
miɛ̃[2]眠绵棉
miɛ̃[3]免勉娩缅
miɛ̃[5]面{表～}麺{～粉}
tiɛ̃[1]掂颠癫
tiɛ̃[3]典点
tiɛ̃[5]电佃店垫淀奠殿靛簟{竹席}
tʰiɛ̃[1]天添
tʰiɛ̃[2]田甜填
tʰiɛ̃[3]腆舔
niɛ̃[1]蔫研拈
niɛ̃[2]年
niɛ̃[3]辇撚撵
niɛ̃[5]念验酽
liɛ̃[2]连帘怜莲联廉鲢镰簾
liɛ̃[3]脸
liɛ̃[5]敛练炼恋殓楝鍊
tsiɛ̃[1]尖煎鲇黏沾毡
tsiɛ̃[3]剪碾展
tsiɛ̃[5]饯荐贱践箭佔战
tsʰiɛ̃[1]歼笺千{～万}迁签{～字}籤{竹～}韆{鞦～}纤
tsʰiɛ̃[2]缠前钱潜
tsʰiɛ̃[3]浅
tsʰiɛ̃[5]渐
siɛ̃[1]仙先
siɛ̃[2]蝉
siɛ̃[3]陕
siɛ̃[5]扇善线
kiɛ̃[1]奸坚间肩艰姦兼监犍搛{夹取}
kiɛ̃[3]拣俭柬茧笕检趼裥简碱涧
kiɛ̃[5]锏见件建剑健舰谏腱键
kʰiɛ̃[1]牵谦鹐
kʰiɛ̃[2]虔钳乾掮{肩扛}
kʰiɛ̃[3]遣
kʰiɛ̃[5]欠芡嵌歉
ŋiɛ̃[2]严
ŋiɛ̃[3]眼{小孔}
ŋiɛ̃[5]厌
xiɛ̃[1]杴掀
xiɛ̃[2]閒闲贤涎嫌
xiɛ̃[3]显险蚬
xiɛ̃[5]县现宪羡献
iɛ̃[1]烟胭焉阉腌蔫
iɛ̃[2]然燃延言炎盐阎筵颜檐俨
iɛ̃[3]染衍掩眼演魇
iɛ̃[5]淹砚宴艳谚堰焰燕嚥{吞食}
tsyɛ̃[1]专砖
tsyɛ̃[3]转{～变}
tsyɛ̃[5]篆传{～记}转{～盘}
tsʰyɛ̃[1]川穿
tsʰyɛ̃[2]船椽全泉传{～达}
tsʰyɛ̃[3]喘
tsʰyɛ̃[5]串钏
syɛ̃[1]闩拴栓鲜宣
syɛ̃[2]旋
syɛ̃[3]选癣
kyɛ̃[1]捐鹃绢
kyɛ̃[3]捲{～起}倦
kyɛ̃[5]卷{试～}眷
kʰyɛ̃[1]圈
kʰyɛ̃[2]权拳蜷颧
kʰyɛ̃[3]犬
kʰyɛ̃[5]劝券
ŋyɛ̃[3]软
xyɛ̃[1]轩喧
xyɛ̃[2]弦舷玄悬
xyɛ̃[5]眩楦
yɛ̃[1]冤鸳渊
yɛ̃[2]铅丸沿元员园原圆袁援缘源猿辕
yɛ̃[3]冉阮远
yɛ̃[5]怨院愿
pon[1]搬瘢
pon[5]半伴拌绊
pʰon[1]拚潘
pʰon[2]盘磐蟠
pʰon[5]叛畔
mon[2]馒瞒
mon[3]满
mon[5]鞔
ton[1]端
ton[3]短
ton[5]段断缎锻
tʰon[2]团{～圆}糰{饭～}
non[3]暖
lon[2]峦栾鸾滦銮圞{圆}
lon[5]乱
tson[1]钻{～研}
tson[3]攒纂
tsʰon[1]撺
tsʰon[5]蹿窜
son[1]酸
son[5]蒜算
kon[1]观官冠{衣～}倌棺
kon[3]馆管
kon[5]贯惯灌罐冠{～军}
kʰon[1]宽
kʰon[3]款
xon[1]欢
xon[2]桓
xon[3]缓
xon[5]獾宦唤换患焕痪
on[1]剜
on[3]皖碗
pən[1]奔崩
pən[3]本
pən[5]笨
pʰən[1]喷烹
pʰən[2]盆
mən[2]门
mən[3]□{小疙瘩叫～子}
mən[5]闷
fən[1]分吩纷芬
fən[2]坟焚
fən[3]粉
fən[5]份奋忿愤粪
tən[1]灯登瞪敦墩
tən[3]等戥{小型的秤或天平}
tən[5]邓凳盾钝顿遁
tʰən[1]吞饨
tʰən[2]囤疼腾誊藤屯豚臀
tʰən[3]□{台阶一级叫一～}
tʰən[5]沌□{挪动}
nən[1]□{恶心}
nən[2]能
nən[3]□{推想；估计}
nən[5]嫩
lən[2]仑{加～}伦轮崙{崑～}
lən[3]冷
lən[5]论
tsən[1]僧曾姓增憎罾{一种小型渔网}砧臻争筝徵尊遵睁
tsən[3]拯
tsən[5]俊甑赠
tsʰən[1]撑村
tsʰən[2]层惩澄橙存巡旬循曾{～经}
tsʰən[3]□{次；劣质}
tsʰən[5]衬牚寸
sən[1]森生牲笙甥孙参{人～}
sən[2]唇娠荀殉
sən[3]省损笋榫
sən[5]肾迅逊
kən[1]根跟更{～改}庚耕羹
kən[3]更{～加}哽埂耿梗
kʰən[1]坑
kʰən[3]肯垦恳啃
ŋən[1]恩
ŋən[3]□{硌}
ŋən[5]硬
xən[1]亨哼
xən[2]痕恒衡
xən[3]很
xən[5]恨
pin[1]宾槟殡鬓冰兵
pin[3]丙秉柄饼禀
pin[5]并並病
pʰin[1]□{肋骨叫肋～}
pʰin[2]贫频平评凭坪苹屏瓶萍
pʰin[3]品
pʰin[5]併聘拼
min[2]盟民闽名明鸣冥铭螟
min[3]皿抿悯敏
min[5]命
tin[1]丁疔钉汀
tin[3]顶鼎
tin[5]订定锭铤
tʰin[1]厅
tʰin[2]廷亭庭停蜓
tʰin[3]挺艇
tʰin[5]听
nin[1]□{（用手指）夹}
nin[2]宁凝
nin[5]吝佞
lin[1]拎
lin[2]棱邻林临淋燐磷鳞伶灵凌铃陵绫翎菱零龄宁
lin[3]檩岭领
lin[5]令另
tsin[1]津晶睛精贞针侦珍真斟征蒸正{～月}
tsin[3]井诊枕疹整侭{～管}
tsin[5]尽{～力}进晋浸净靖静阵振镇震挣正{～确}证郑政症
tsʰin[1]称亲青清蜻
tsʰin[2]尘臣沉陈丞成呈承诚城程秦情晴寻
tsʰin[3]请
tsʰin[5]趁秤侵寝沁慎
