	阴平	阳平	上声	去声	入声
la	拉垃啦	拿	哪喇		
tsa	楂渣拃（一~：大拇指和中指或小指两端之间的距离）喳揸（~耳朵，~开）咋（~呼，吆喝）吒（神话中的人名）挓（~开，伸开）			榨（~菜）炸（~弹）痄（~腮）诈乍	
tsʰa	叉杈（农具）钗（刀~）差（~错）碴（胡子拉~）	茶搽查（调~）茬	衩（裤~：裤头）镲	岔诧衩（开~）汊杈（树~）差（~生）□（泼~：泼辣）	
sa	沙痧鲨砂纱		洒撒（~种）傻	厦（大~）煞萨飒	
ka				尬	
kʰa	咔咖（~啡）		卡（~车；~住）		
xa	哈	蛤（~蟆）			
a	啊（叹词）阿（~拉伯）	啊（叹词，表疑问）	阿（~訇）	啊（叹词，表应允）	
tia			嗲		
tɕia	家佳加（~油）枷伽痂嘉袈痂		贾假（真~）甲	价假（放~）稼嫁加（跳~官） 架驾	
tɕʰia			卡（发~）		
ɕia	虾	霞瑕遐暇		下夏厦（~门）	
ia	丫鸦挜（强制给予）桠	牙芽蚜衙涯崖	雅哑	讶亚□（量词，一~瓜）	
tsua	抓		爪		
sua			耍		
kua	瓜		寡剐	挂卦褂	
kʰua	夸		垮侉（~子，指北方人）	跨胯挎	
xua	花	华哗划（~船）		化话划（计~；~清）画桦□（~开：拨开）	
ua	挖哇蛙□（鱼~：鱼鹰）洼搲（用手抓人皮肤）娲	娃	瓦佤□（~米）		
tie	爹				
tɕie	皆阶秸街		姐解=（~放）	戒械诫介芥界届借	
tɕʰie			且		
ɕie	些	鞋邪斜谐偕	写些蟹	解（姓）懈邂□（不~意）泻卸谢泄□（~意：在意）	
ie	椰耶	爷	野冶也	夜	
tɕʰye		茄瘸	□（~断：折断）		
ɕye	靴				
po	波菠玻簸（撮~）播卜（萝~）		跛	簸（~箕）笸	
pʰo	坡颇剖	婆鄱	叵笸颇	破剖薄（~荷）迫	
mo	摸□（动作慢）	模馍膜摹魔磨（~刀）蘑□（蔷~花：蔷薇）牟谋	抺（~杀）拇某	墓暮募幕磨（石~）□（转动，移动）□（唾~：唾液）	
to	多		朵躲	舵剁跺垛（~起来；柴~）堕惰	
tʰo	拖	驼陀沱鸵驮砣	妥椭庹		
lo	啰（~嗦）捋（~袖子）	挪罗锣箩萝逻骡螺喽	祼虏捋（~绳儿）掳	骆摞懦糯	
tso		昨	左佐	坐座做作（~为）	
tsʰo	搓蹉磋	昨		挫锉错措	
so	梭唆蓑梳娑		锁琐所索		
ko	锅哥歌戈	果（鸡头~：芡实）	果（~茶）裹	过个	
kʰo	蝌棵颗科棵苛珂柯		可	课	
xo	□（巴结）□（~腰：弯腰）	涸何河和（~面）	火伙	货贺祸和（~诗）惑	
o	窝涡莴（~苣）屙	蛾鹅俄峨讹□（~割：相差）	我	卧饿	
yo	哟				
tʂə	遮		者啫褶	蔗	
tʂʰə	车（~子）		扯		
ʂə	奢赊	蛇佘	舍（~不得）	社舍（房~）射麝赦摄	
ʐə			惹		
kə	哥歌戈		葛	个	
kʰə	科蝌棵颗珂柯苛		可	课	
xə	呵（~斥，~二屁，~腰）	何河荷（~花）禾涸和（~气）		荷（负~）贺	
ə		额鹅蛾俄峨讹		饿	
pɛ	掰		摆柏	拜稗败	
pʰɛ		排徘（~徊）牌	□（~边）	派	
mɛ	埋（掩~）	埋（~怨）霾	买□（~特：高兴）	卖迈	
tɛ	呆（~子）		歹逮傣□（多）	代贷袋黛戴待怠带大（~夫）	
tʰɛ	胎苔□（~气：为人大方慷慨）	台抬跆薹（菜~）		太汰态泰	
lɛ	奶（祖母）	来莱	乃奶（牛~）	耐奈赖癞□（~抱鸡：抱窝鸡）□（~葡萄）	
tsɛ	灾栽哉斋	宅	宰崽载仔窄	再在寨债	
tsʰɛ	猜差（出~）钗	才财材豺裁柴	采彩踩睬	菜蔡	
sɛ	腮鳃筛		色（~子）	赛塞（边~）晒	
kɛ	该赅		改解-（~手）	概溉盖丐钙	
kʰɛ	开揩		凯铠慨楷（~模；大~）		
xɛ	嗨	孩还（~有）骸	海	害亥骇	
ɛ	哀挨（靠）呆（~板，~的）唉	挨（~打）捱岩癌皑	矮蔼霭	爱暧艾碍隘	
tsuɛ	拽（僵）	□（富足，得意）	跩	拽（拉）	
tsʰuɛ	揣	膗（肥貌）	揣	踹	
suɛ	衰摔		甩□（~货）	帅率（~领）蟀	
kuɛ	乖		拐	怪	
kʰuɛ	㧟（~痒：抓痒）			会（~计）块快筷	
xuɛ		淮怀槐踝		坏	
uɛ	歪□（~~：河蚌）		崴（~了脚）	外	
pei	卑碑悲背（动词）杯□（~子：手有残疾）		□（~断：折断）	贝狈备惫辈倍蓓被背（名词）悖焙	
pʰei	胚呸	培陪赔裴	□（折）	沛配佩	
mei		梅晦脢莓霉煤媒眉嵋枚玫没（~得）	每美	妹昧寐媚魅	
fei	非菲啡绯霏榧飞妃□（~子：饮食等行业的片状凭证）	肥	匪诽翡斐扉	痱费废肺吠狒沸	
lei	馁（气~）	雷擂	蕾累（积~）儡磊垒（~堆：令人讨厌）擂（~台）	内类泪累（劳~）	
kei			给		
tuei	堆□（累~：令人不快）			对队兑	
tʰuei	推	颓	腿	退煺褪蜕	
tsuei	追锥椎（脊~）		嘴	罪最醉赘坠缒缀	
tsʰuei	崔催摧炊吹	垂锤捶槌茄瘸		脆翠萃悴瘁粹淬	
suei	虽尿（撒~）荽（芫~）	随隋髓谁遂（半身不~）	水	碎岁祟隧遂税睡穗□（主~,帐沿）	
ʐuei			蕊	锐瑞睿	
kuei	闺规龟归瑰硅皈		诡轨鬼晷	桂跪柜贵刽桧（~树）鳜（~鱼）	
kʰuei	盔亏窥	魁傀（~儡）逵奎葵睽	傀跬	溃愧窥匮	
xuei	灰恢诙挥辉晖徽	回茴蛔	悔毁	贿汇会绘烩荟彗慧惠蕙穗讳卉诲晦	
uei	威煨偎痿（无精神）危微巍	桅帷维唯惟韦围违苇巍为（作~）	委萎（~缩）伪尾伟苇猥	卫畏胃谓渭猬尉蔚慰魏未味位为（介词）	
ɚ		儿而	耳饵洱尔迩	二	
paɔ	包胞苞褒煲		宝饱保堡葆褓鸨	报抱刨（~子）雹暴爆豹	
pʰaɔ	拋泡（尿~）	袍刨（~地）泡（一~尿）跑庖	跑	炮泡（气~）疱	
maɔ	眊（近视）猫	毛牦猫锚矛茅	卯铆	冒帽貌贸茂	
taɔ	刀叨		导岛捣倒（打~）祷蹈	道稻盗悼到倒（~数）	
tʰaɔ	掏涛焘滔	桃淘陶	讨	套	
laɔ	孬捞	劳痨牢挠蛲	老姥脑恼瑙佬姥	闹涝酪□（国~鼠：辍轳）□（肥肉吃多了感到油腻）□（雪~蕻：雪里蕻）□（拐~子：贩卖人口的）	
tsaɔ	遭糟召诏昭招朝（~夕）钊□（脏）	凿	早枣澡藻蚤找沼爪	躁（烦~）噪燥灶皂造□（踩）肇罩兆赵照诏	
tsʰaɔ	操抄钞（~票）吵（别~：不要闹）超焯绰（抓）□（别~：不要急）	曹槽漕嘈巢□（心里~）朝（~代）潮嘲晁	草吵（~翻）炒	糙燥（热~：热闹）肏□（磨，动词）	
saɔ	骚臊（~臭）捎梢稍烧	韶（喋喋不休地说话；话多）芍（~药）	嫂扫（~地）少（多~）	扫（~帚）燥（天~）臊（害~）𢜶（快）少（~年）哨筲（~箕：淘米箩）绍邵躁（脾气~）潲	
ʐaɔ		饶挠娆	扰绕（围~）	绕（~线）	
kaɔ	高篙镐皋膏羔糕		稿搞	告□（两劈交叉）□（连词，和；介词，同、对、向）	
kʰaɔ			考烤拷	铐靠犒	
xaɔ	蒿薅□（~味）	毫豪嚎壕号（~叫）蚝	好（~坏）郝	号（~头）好（爱~）浩耗昊	
aɔ	凹	敖熬鳌翱	袄	坳拗（~口）傲奥懊澳	
piaɔ	标镖膘彪飙□（液体受压后喷出）		表婊裱	摽（较量）□（盯着）	
pʰiaɔ	飘漂	嫖瓢嘌剽	漂（~白）瞟	票漂（~亮）	
miaɔ		苗描瞄	秒渺淼藐邈	庙妙缪	
tiaɔ	刁叼貂凋碉雕		屌	吊钓掉调（~查）铫	
tʰiaɔ	挑（~选）□（~子：羹匙）	条调（~和）迢笤（~帚）	窕挑（~事）	跳眺	
niaɔ		疗辽僚撩燎缭廖聊	了（~结）嘹鸟袅	料尿（~素）撂镣瞭廖	
tɕiaɔ	交郊蛟胶茭教（~书）骄跤浇缴焦蕉礁椒皎		绞狡搅矫铰（~链）侥剿	较校（~对）觉（睡~）教（~训）轿叫窖酵醮	
tɕʰiaɔ	敲撬跷悄锹劁	乔桥侨荞翘（木板受潮而不平）瞧谯樵	巧	窍翘（~嘴巴）俏峭鞘撬缲	
ɕiaɔ	枵（薄，不厚）□（揪开）肖宵消霄硝销萧箫嚣	肴（~肉）淆	晓小	孝效校（学~）笑啸	
iaɔ	吆妖夭邀要（~求）腰闄（对折，动词：一~为二）	摇谣遥窑瑶肴（佳~）姚尧窈	咬舀	要（需~）跃耀□（~门襟：合拿轻挤）	
məu		谋牟	某		
fəu			否		
təu	兜都（~是）		斗（量具）抖蚪陡	斗（~争）豆逗痘窦□（~火：给炉子等点火）	
tʰəu	偷	头投	敨（展开，打开）	透	
ləu	搂（爬，动词）	娄楼楼蝼髅	篓搂（抱）□（瓜熟过头了）	露（~脸，出风头）漏陋瘘镂	
tsəu	邹□（对~：一天一夜）周舟州洲粥诌（~谎，说谎）	轴妯（~娌）□（用力拧）	走帚肘	奏揍绉皱骤□（~筋：抽筋）昼纣宙咒	
tsʰəu	抽	愁绸稠惆筹踌仇（~人）酬	丑	凑臭	
səu	捜馊艘嗖飕收		手首守	嗽瘦狩兽寿受授售	
ʐəu	□（理睬，动词：不~，即不理解）	柔揉糅蹂	蹂	肉□（磨时间）	
kəu	勾沟钩佝篝		狗苟枸	够构购垢	
kʰəu	抠（~鼻子）眍	抠（小气）	口	扣叩寇蔻	
xəu	齁	侯喉猴瘊	吼□（~相,贪吃相）□（~腰，弯腰）	厚后逅候	
əu	区（姓）欧讴鸥殴（打）		藕偶呕	怄沤	
miəu				谬	
tiəu	丢				
niəu	溜熘妞	牛流硫琉刘浏留榴瘤□（马~子：游僧）	纽（~子；~约）扭柳	拗遛	
tɕiəu	鸠纠赳阄揪（~心）鬏		九久玖韭灸酒	究疚柩救臼舅旧咎就鹫□（~筋）	
tɕʰiəu	丘邱蚯秋湫楸鳅□（烟熏人）□（~油：酱油）	求球裘仇（姓）酋遒囚泅	揪		
ɕiəu	休修羞貅		朽	嗅秀绣锈袖宿（星~）	
iəu	幽忧优悠	尤犹由油蚰邮游蝣□（~偏：请客人吃饭时的客气话）	友有酉	又右佑祐诱幼柚	
pan	爿班斑颁扳搬		板版坂	扮瓣办半伴拌畔	
pʰan	番（~禺）潘攀	盘蟠磐		盼判叛襻绊	
man	蛮（~漂亮）	蛮（~干）瞒馒鳗	满螨	曼慢漫谩鳗蔓	
fan	帆番（三~五次）藩幡翻	凡矾烦樊繁	反返	泛梵范犯饭贩	
tan	耽眈单殚箪担（~任）丹		胆疸掸	旦担（~子）但氮淡诞蛋弹（子~）惮	
tʰan	坍贪滩瘫摊	潭谭弹（~琴）谈痰坛檀昙	毯坦袒忐	探炭叹	
lan		男南楠腩难（困~）蓝（~色）篮褴兰拦栏澜斓岚婪	懒（抽~筋）览揽缆□（用水洗涤器皿）	难（患~）捺烂滥卵（鹅~石）	
tsan	沾簪毡粘詹瞻蟮（蛐~）劗（~肉）		攒咱□（“早晚”的合音：多~子）展辗斩	蘸赞溅占站战暂盏栈绽湛	
tsʰan	参（~加）餐掺搀	蚕惭残谗馋缠婵蟾	惨产铲阐谄	粲璨灿忏颤	
san	三桑杉衫山珊删姗煽扇（动词）膻舢		散（松~）馓伞陕闪	散（分~）扇骟善膳鳝擅单（姓）讪汕	
ʐan	嚷	髯然燃			
kan	干（不湿）肝竿杆（电线~）甘柑尴		感赶杆（~秤）秆擀敢橄	干（~活）赣	
kʰan	看（~门）堪勘刊龛		砍坎槛	看（~见）阚瞰	
xan	鼾憨酣憨	含函涵寒韩邯邗	喊罕	汗旱焊悍捍汉撼憾	
an	安鞍氨庵鹌		俺	暗岸按案揞（~住）	
pian	边鞭编煸鳊		贬扁匾	变辨辩辫遍卞汴便（大~）	
pʰian	篇翩偏	便（~宜）		骗片	
mian		棉绵眠	免勉娩缅腼	面	
tian	掂滇颠癫巅		点典碘	电奠垫店惦踮佃甸殿	
tʰian	天添	甜田填恬	舔餂（掌~）腆	掭	
nian	拈蔫	年连鲢莲联怜鲇黏帘廉镰裢	碾辇撵敛脸捻	念殓练炼链楝	
tɕian	监（~察）兼搛缄肩坚艰间（房~）歼涧奸菅尖煎		减碱检捡俭茧趼简拣剪翦	谏见建健键剑件鉴监（国子~）渐箭践贱饯荐舰溅毽	
tɕʰian	谦铅牵椠虔签千歼迁纤扦（~子）笺	钳黔乾（~坤）掮挦钱前荨	造遣谴浅潜纤（~夫）	欠芡嵌歉堑茜（红~：茜草）倩扦（~花瓶）	
ɕian	掀先仙籼鲜跹	咸闲痫贤衔嫌弦涎	险显蚬（~子）宪（~法）癣	陷谄馅献限现苋宪县线羨□（表~纸：专用来做煤子的草纸）	
ian	淹腌烟胭蔫砚	炎盐严颜延蜒沿言研簷檐阎芫（~荽）	掩眼演魇衍弇	验艳厌焰雁燕咽宴赝□（调皮，贪玩，专指小儿）谚	
tuan	端		短	断段锻煅缎	
tʰuan		团			
luan		峦孪鸾栾滦	暖卵	乱	
tsuan	钻（~研）专砖		转（~移）	钻（电~）赚攥转（~向）传（~记）撰篆纂	
tsʰuan	川穿	传（~达）椽船	喘	汆串窜篡	
suan	酸闩栓			算蒜涮	
ʐuan			软阮		
kuan	官棺观冠（帽）鳏关		管馆莞（东~）	贯惯掼灌罐鹳冠（~军）	
kʰuan	宽	环蜷	款		
xuan	欢	还（~原）环桓	缓	唤换焕痪幻患宦浣	
uan	弯湾豌蜿	完玩顽丸	皖晚挽碗婉惋腕	万腕	
tɕyan	娟捐鹃镌		卷（动词）锩	眷卷（名词）倦圈（猪~）券隽镌毽	
tɕʰyan	圈（圆~）悛	权拳颧全诠痊泉醛	犬	劝	
ɕyan	轩□（馒头蒸得松软）宣喧渲萱鲜	玄弦舷眩悬旋（~转）	选癣冼	炫眩楦渲旋（~风）漩绚□（阉割）	
yan	鸳冤渊	员圆元园缘原源袁猿辕援	远	院愿怨苑	
paŋ	邦帮梆浜□（肋~骨）		榜膀（~子）绑	棒谤泵傍蒡蚌	
pʰaŋ	乓膀（蹄~）	旁膀（~胱）螃滂磅彷庞		胖	
maŋ		忙茫芒（~果）盲虻氓	莽蟒		
faŋ	方芳坊（牌~）	妨防房坊（作~）鲂	访纺彷仿舫	放	
taŋ	当（应~）裆铛		党挡	当（~铺）档荡砀	
tʰaŋ	汤堂（祠~）蹚耥	唐糖搪塘堂螳膛镗棠	淌躺倘傥	烫趟	
laŋ		瓤囊馕郎廊榔螂狼琅	攘朗□（这~子：这时候）	浪齉	
tsaŋ	赃脏（不干净）张章漳蟑樟彰獐□（~时：当时）		长（生~）涨掌	葬藏（宝~）臧脏（内~）丈杖仗障瘴胀账	
tsʰaŋ	仓苍舱沧昌猖娼菖（~蒲）	藏（隐~）长（~短）肠常嫦尝偿	场厂敞	唱倡畅怅	
saŋ	丧（婚~）桑裳商墒伤		嗓磉赏	丧（~失）上尚绱（~鞋子）	
ʐaŋ	嚷	瓤穰	壤	让	
kaŋ	冈刚纲钢肛罡□（~肩：耸肩膀）		港岗	杠□（硬物突起的那部分接触身体：石头~脚）	
kʰaŋ	康糠慷	扛		抗炕亢	
xaŋ	夯	杭航行（~列）绗			
aŋ	肮䱀	昂		盎	
niaŋ	孃（姑妈）	良娘（~老子）粮酿（酒~）梁粱凉量（衡~）	两俩仰	亮谅晾辆量（容~）酿（~酒）	
tɕiaŋ	僵疆缰姜江豇将（~军）浆糨		讲奖蒋桨将（~来）	降（下~）绛强（倔~）犟酱将（~帅）匠糨	
tɕʰiaŋ	腔羌枪锵	强（~人）墙樯蔷详祥翔降（投~）	强（勉~）抢	呛炝	
ɕiaŋ	香乡相（~亲）厢湘箱襄镶	降（投~）	享响饷鲞想	向巷项相（~面）象像橡	
iaŋ	央秧殃鸯	羊洋阳杨扬佯	养痒氧	样烊漾恙	
tsuaŋ	庄桩妆装		奘（粗）	壮状撞	
tsʰuaŋ	窗疮	床	闯	创	
suaŋ	霜孀双		爽		
kuaŋ	光胱		广	逛	
kʰuaŋ	匡筐框眶诓	狂		旷矿况	
xuaŋ	荒谎肓	黄簧蟥磺潢皇惶蝗凰煌鳇	谎恍幌	晃□（熟的禽畜的血：鸭~）	
uaŋ	汪	王亡□（观~）	网往枉惘	望妄忘旺□（~鸡蛋）□（打饱~：打饱嗝）	
pəŋ	奔崩绷		本□（~着脸）	笨蹦迸	
pʰəŋ	喷（~水）烹砰怦	盆彭澎膨蓬篷朋棚鹏	捧	喷（~嚏）碰	
məŋ	蒙（瞎~）□（布料老化）闷（~气）焖	门萌盟蒙（~猫猫）	蠓猛蜢	闷（天很~）焖孟梦	
fəŋ	分（~散）纷吩芬汾丰封峰锋蜂烽风枫疯	坟焚冯逢缝（动词）	粉讽	粪愤奋分份（成~）奉俸风缝（名词）	
təŋ	灯登蹬噔		等戥	凳瞪镫邓	
tʰəŋ	熥	疼誊滕藤腾臀		□（脱：~裤子）	
ləŋ		能□（瞪）	冷	嫩愣	
tsəŋ	曾（姓）增罾筝睁砧针斟珍臻榛箴真贞侦征蒸争挣肫正（~月）		怎枕疹整拯筝	赠憎甑震振镇阵郑正（~当）证政症	
tsʰəŋ	碜撑称（~呼）抻	岑曾（~经）层沉辰晨臣尘陈成诚城盛（~饭）呈程乘（~除）橙丞	逞惩	蹭乘（~车）秤称（相~）趁剩衬	
səŋ	森僧参（人~）生甥牲深身申伸绅升声	绳神	省（节~；行政单位）沈审婶	渗瘆（~人）甚盛（~大）胜圣慎肾	
ʐəŋ	扔	壬任（姓）人	忍仍	认任（责~）饪妊韧纫刃	
kəŋ	根跟羹赓庚耕□（~儿个：今天）	□（绲：~边）	耿埂梗哽鲠粳	更（~加；~新）	
kʰəŋ	坑吭铿		肯啃垦恳	掯（低：~着头）□（污垢：老~）	
xəŋ	亨哼	痕恒衡横（~向）□（目露凶光）	很狠	恨横（蛮~）	
əŋ	恩嗯			硬摁	
tuəŋ	敦蹲吨墩谆		盹	炖顿钝盾遁□（棉~子：棉袄）饨	
tʰuəŋ	吞	屯囤豚臀		□（后退）	
luəŋ	抡	仑论（~语）轮伦抡纶		论（议~）嫩	
tsuəŋ	尊遵谆		准		
tsʰuəŋ	村皴春椿	存唇纯淳醇鹑	蠢	寸衬	
suəŋ	孙狲		损笋榫吮	顺舜瞬	
ʐuəŋ				闰润	
kuəŋ			滚磙绲	棍	
kʰuəŋ	昆崑琨坤		捆	困	
xuəŋ	昏婚荤	浑魂馄混（~蛋）□（~烧肉）	混（~淆）	混（~日子）□（青~子）	
uəŋ	温瘟翁嗡	文蚊纹汶雯闻	稳吻刎紊	问瓮	
piŋ	冰兵宾缤彬斌濒		饼丙柄禀秉	病殡鬓并柄（手~）	
pʰiŋ	拼姘乒	频贫瓶屏平坪评苹萍凭	品	聘	
miŋ		民冥瞑螟明鸣名铭	皿敏抿闵悯闽	命	
tiŋ	丁疔叮钉（名词）盯		顶鼎	定锭订钉（动词）	
tʰiŋ	厅听	亭停婷廷庭	挺艇	听（~牌）	
liŋ	拎	林淋麟鳞磷邻零玲铃聆龄您灵棂棱陵菱宁柠临□（~粉：芡粉）	领岭拧凛	令另吝赁蔺躏	
tɕiŋ	今金禁（~不起）襟斤筋茎经京惊鲸荆巾津精睛菁腈（~肉）晶旌		景颈警谨锦紧仅井	禁（~止）噤近竟境竞劲径泾痉敬进浸晋尽净静婧	
tɕʰiŋ	轻氢蜻侵亲（~戚）青清钦卿倾	琴禽擒勤芹□（发~：发抖）晴情秦寻（~钱：挣钱）腈（~纶）	请寝顷	庆亲（~家）沁	
ɕiŋ	欣芯心辛新薪星腥猩鑫馨	行桁形邢刑型	醒省（察）擤□（做~：歇一桩）	兴幸衅杏囟信性姓	
iŋ	音喑因姻洇阴荫殷应（~当）鹰莺英婴樱鹦蝇	淫寅龈银垠迎赢莹萤荧营楹	影颖郢饮引隐瘾	印应（答~）映洇	
tɕyŋ	均钧军君			郡菌竣俊骏浚峻	
tɕʰyŋ	倾	裙群	顷		
ɕyŋ	熏勳薰勋	寻旬询荀循巡鲟		训驯衅汛讯迅殉逊	
yŋ	晕（~车）	匀昀云	陨允	运孕晕（光~）蕴（~藏）韵熨	
toŋ	东冬		董懂	动冻栋洞	
tʰoŋ	通	童潼瞳同铜茼仝彤	桶捅统筒	痛	
loŋ	□（~~：逞能）	龙珑茏聋栊笼咙胧农浓脓隆窿	垄拢陇笼（~罩）	弄	
tsoŋ	宗踪棕综鬃中（~国）钟衷盅衷终□（钢~：铝）仲		总肿种（~类）踵冢	粽纵中（~暑）种（~植）众重（轻~）	
tsʰoŋ	聪匆葱囱充冲（打~锋）忡憧舂	从丛虫崇重（~复）	宠	冲（~子）	
soŋ	松淞嵩	㞞（~相）怂	悚耸	送宋诵颂讼	
ʐoŋ		戎绒茸荣容溶熔蓉融			
koŋ	宫工攻功公蚣弓躬恭龚	拱（凸）□（动词，钻）□（~脓）	汞巩拱（~门）	共供贡	
kʰoŋ	空（~气）		恐孔	空（~缺）控	
xoŋ	轰烘哄（~走）薨齆	红虹洪鸿宏弘泓蕻	哄（~骗）	哄（起~）□（葱蒜味）	
oŋ	蕹□（人挤在一起）				
tɕioŋ			炯迥窘		
tɕʰioŋ		穷穹			
ɕioŋ	兄凶汹汹匈胸	雄熊			
ioŋ	庸慵雍臃	荣融容溶熔蓉	永咏甬涌勇恿踊泳（游~）拥（~护）	用佣	
tʂʅʔ					执汁只（~有）织职直植殖掷秩质侄柘（~树）
tʂʰʅʔ					吃叱尺赤斥
ʂʅʔ					十什拾实室食蚀识石适释湿失
ʐʅʔ					日肏
piʔ					逼必泌秘（~密）弼碧壁璧枇（~杷）笔滗鼻匕荸（~荠）
pʰiʔ					霹劈癖僻枇（~杷）
miʔ					密蜜觅幂秘（~书）弥（~勒佛）泌汨
tiʔ					滴嫡嘀笛敌狄涤的□（拔）□（头~心：头项）
tʰiʔ					踢剔惕
