#詞語	音標	解釋
子	tsɿ	名词后缀;与名词性语素组合构成普通名词:桌~、钱夹~;与单音节名词的重叠形式组合构成小称意味的名词:凳凳~、盅盅~;②量词后缀(名量词):一沓~纸;③形容词后缀;与形容词语素组合构成普通名词:冷~。与某些双音节语素组合成性质形容词:半搭~老汉。与“正、反、横、竖、立、斜、倒、顺”等形容词的重叠形式组合,表示动作的情状。
子肉	tsɿ3 ʐəu	精瘦肉:净~吃去太干咧,多少得有点肥的。②自身的,自个儿的:输的钱全是别人的你还没伤着~呢。
指	tsɿ	(手指头、物体前端)向着;对着:他往远处一~。②仰仗、依靠:我还~你着给我出力呢。③过继:把老二~给他外奶家叫顶门门子去。
指拨	tsɿ3 pɤ	指教、调教:娃娃碎着不懂事,你要多~呢。
指教	tsɿ3 tɕiɔu	指指点点让某人做某事(含贬义):~过来~过去的,谁是你的佣人!
纸精	tsɿ3 tɕiŋ2	废纸经水浸泡后捣成纸浆用来造纸。
纸烟	tsɿ3 iæ̃	香烟。
试	tsɿ5	验证:△若要~人心,害病迭年馑。
渍	tsɿ5	用软布或白萝卜片儿蘸上烧热的植物油将新买的铸铁锅内壁擦拭光亮,使得今后使用时能够光滑不生锈。
至多	tsɿ5 tuɤ2	表示最大的限度:一天~给着20块钱,划不来去。至少tsɿ44ʂɔu53表示最小的限度:一个冬天~要用过5吨炭呢。
至大	tsɿ5 ta5	同“至多”。
至狠	tsɿ5 xəŋ3	同“至多”:~喝咧一两酒,能把人给醉咧。
至挡	tsɿ5 taŋ3	形容程度达到极点:他把钱全拿着去~咧么,还要咋么呢!
至不行	tsɿ5 pu ɕiŋ	同“至少”,通常与“也得”搭配:这个东西~也得30个元。
自来旧	tsɿ5 lεi tɕiəu5	指新买的衣服或做衣服的布料颜色不好,显得陈旧:我看不上那个衣裳,看上去有些~么。
自来卷	tsɿ5 lεi tɕuæ̃3	头发天生就卷曲的人。
自个人	tsɿ5 kɤ ʐəŋ	有亲戚关系或交情深厚的人。也说“个家人”。
自搭	tsɿ5 ta	自从:~明儿起,你就不咧再来咧。
字儿	tsɿ5 εr	铜钱或硬币上有字的一面儿。
字号	tsɿ5 xɔu	大商店的旧称。
姊妹	tsɿ5 mei	姐妹。②兄弟姐妹的通称:你家~几个?
痔疮	tsɿ5 tʂʰuaŋ	一种肛门部位的常见疾病。
龇	tsʰɿ2	露(牙):我把棒一扽,它(狗)就牙一~。
龇牙咧嘴	tsʰɿ ia liε3 tsuei	形容凶狠的样子:你~地吃人恰。②形容疼痛难忍的样子:看你那个~的样子,疼得很吗?
滋溜溜地	tsʰɿ2 liəu3 liəu ti	形容动作非常快:乜~窜到前头去咧。
支长嘴	tsʰɿ tʂʰaŋ tsuei3	在某事上多嘴:这事怨我,是我~咧。
垐	tsʰɿ	结实:上面堆上些土,再用脚踏~。②愚笨、老实(含贬义):那个人~着咋搞恰。
垐实	tsʰɿ ʂʅ	结实:你不咧看着他瘦着呢,那~得很!
垐货	tsʰɿ xuɤ	指愚笨或不灵活的人(含贬义):给那个~就啥都
垐锤	tsʰɿ tʂʰuei	同“垐货”。
垐贼	tsʰɿ tsei	同“垐货”。
垐不棱瞪	tsʰɿ pu ləŋ təŋ	形容愚笨、呆傻的样子:那个人看上去~地,能干个啥!
跐弹	tsʰɿ tʰæ̃	动弹:不敢~,一~就淌开血咧。②折腾:再不
跐	tsʰɿ3	本义为用脚踩踏,引申为擦、蹭:把墙上写下的字~咧!/绊咧一跤,~破咧一点油皮子。《广韵·纸韵》:“侧氏切。蹈也。”
跐皮	tsʰɿ3 pʰi	橡皮。
刺蓬	tsʰɿ5 pʰəŋ	多年生肉质灌木。茎直立或攀援状,刺硬而尖,成五行排列于茎的纵棱上:做啥要看着呢,不咧连瞎牛钻~一样。
刺芥	tsʰɿ5 kεi	即小蓟。
司仪	sɿ2 i5	婚礼、寿诞庆典的主持人。
丝光袜子	sɿ2 kuaŋ va2 tsɿ	一种机制袜,表面像丝一样光滑光亮。
□气	sɿ2 tɕʰi5	食品变馊有异味儿:把剩下的饭赶紧吃咧去,不吃就~咧。
死狗	sɿ2 kəu3	地痞流氓:老王叫街上的~打咧。
死狗派	sɿ2 kəu3 pʰεi	表现出地痞流氓的样子:我一看人家那么一副~,我就气死咧!
死狗流魂	sɿ2 kəu3 liəu xuŋ	游手好闲、无所事事之人。
死狗拉唧	sɿ2 kəu3 la tɕi	形容流里流气、耍赖皮的样子。
时节	sɿ tɕiε	时间:这么弄就太费~咧。②季节:你不看啥~咧,还穿下个单衫子!
死相	sɿ3 ɕiaŋ	形容某人头脑不够灵活:再的人都跑着给自己弄好处着呢,就那个人~着不动弹。
死疙瘩	sɿ3 kɤ ta	难解开的死结儿:一下子给绑紧,干脆绑成个~算咧。
死禮子	sɿ3 kʰuæ̃5 tsɿ	同“死疙瘩”。
死驴烂马	sɿ3 ly læ̃5 ma3	指未经宰杀而死亡的牲畜的肉。回民忌
食	:~	的东西,能上桌子?
死面饼子	sɿ3 miæ̃5 piŋ3 tsɿ	用未发酵的面烙成的饼子:~吃多咧疔
死眉瞪眼	sɿ3 mi təŋ5 ȵiæ̃3	死气沉沉,没有朝气:一天价~地,不
死眼咕嚅	sɿ3 ȵiæ̃ ku ʐu	同“死眉瞪眼”。
死皮	sɿ3 pʰi	赖皮:给人还耍开~咧。②手或脚上磨起的老茧:手上的~结咧厚厚一层。
死皮赖膪	sɿ3 pʰi lεi5 tʂʰuεi5	死乞白赖:乜~地坐下咧,我能让乜走?
死羊磨血	sɿ3 iaŋ mɤ ɕiε	本义是羊被宰杀后,体内的血要流一段时间才能流尽。引申为做事拖拉、磨蹭:要做就好好做,不咧~咧。
死驴不怕狼扽	sɿ3 ly pu pʰa5 laŋ təŋ	形容耍赖皮的样子:给人一个~的架势,你还拿他没办法。②没有别的办法,横下一条心:反正是~咧,走着哪达算哪达。
死咧	sɿ3 liε	失去生命。对人死亡汉民常讳称为“完咧、走咧、下场咧、没有咧”,回民常讳称为“归真咧、无常咧、口唤咧”。②常用在动词或性质形容词后表示程度加深:听说考试考过咧,一下子把人高兴~。
死得	sɿ3 tei	活该:才~,谁让你不听大人话!
死不得	sɿ3 pu tei	大大超出寻常:和下的泥多得~咧。②表示
死娃娃	sɿ3 va va	夭折的婴儿。
死声	sɿ3 ʂəŋ	形容人的声音难听,令人不舒服:你~拉下,要你命着呢!
使拐	sɿ3 kuεi3	使坏:这个人不给人~,是个好人。
使唤	sɿ3 xuæ̃	支使:你~我就连~牲口一样,我不干咧!②使
用	:	新买下的瓦刀~去不太顺手。
寺	sɿ5	伊斯兰教的清真寺。
巳	sɿ5	地支的第六位,代表动物是蛇。
试当	sɿ5 taŋ	试一试:你说我不行,你~一下。
试活	sɿ5 xuɤ	同“试当”。
试着	sɿ5 tʂɤ	感觉:我~身后头有个啥动弹着呢。
是	sɿ	表判断:我~个语文老师。②表存在:山上长的全~松树。③用在句首,表强调:是你给他说下的?④在上半句里,用在相同的动词、形容词中间,表让步:去~去呢,看谁来请我呢。/耍~耍,你可不咧把正事忘咧。
是非	sɿ5 fei	矛盾、纠纷:你再不咧惹那些~咧,还不嫌乱吗!②搬弄口舌:这个人到底~得很!
是非头子	sɿ5 fei tʰəu tsɿ	经常搬弄是非的人。
是咋么	sɿ5 tsa mu	不论怎么样:~让他到我跟前来一下。
是啥	sɿ5 sa	任意什么:只要能表达心意,我看~都能行。
四色礼	sɿ5 sei li3	指四种不同样式的礼品,一般为茶叶、白酒、点心、肉。通常在婚事或比较重要的事情上使用。
四季财	sɿ5 tɕi5 tsʰæ̃	猜拳时数“四”。也说“四红灯”。
四点水	sɿ5 tiæ̃3 ʂuei3	四点底,汉字偏旁。如“热、烈、烹”字的下部。
四眼子狗	sɿ5 ȵiæ̃ tsɿ kəu3	对戴近视眼镜之人的蔑称。
四门八窗	sɿ5 məŋ pa2 tʂʰuaŋ	当地民居门窗的一种样式,即在两扇活动的门旁还有两扇固定的门扇,窗户都是八扇的。
执席的	tʂʅ2 ɕi ti	筵席上招呼客人吃菜喝酒的人,一般不能入席就座,要站着服务。
直筒子	tʂʅ tʰuŋ3 tsɿ	性情耿直之人。
直咧	tʂʅ liε	放在动词、形容词后表程度增强加深:几节课下来,把人给站~。/为咧不剩饭,多加咧一碗,把人胀~。
侄儿子	tʂʅ εr tsɿ	弟兄或其他同辈男性亲属的儿子。
侄女儿	tʂʅ ȵy εr	弟兄或其他同辈男性亲属的女儿。
侄男姑女	tʂʅ næ̃ ku2 ȵy3	弟兄姊妹或其他同辈男女性亲属的儿子女儿的通称:那几年,谁家给没有几个~经常在跟前交挠着。
治	tʂʅ	惩治:这一回让人给~美咧,吓得他娃娃连门都不敢出。②医治:医生都没~咧,怕是不行咧。
这	tʂʅ5	指示代词,表近指。
这个	tʂʅ5 kɤ	指示代词,单指一个。
这些	tʂʅ5 ɕiε	指示代词,指数量较多。
这搭	tʂʅ5 ta	这里,这个地方。所指范围既可大又可小:~的人都老实得很。
这搭搭	tʂʅ5 ta ta	这里(指就在跟前),与“这搭”指小范围一致,情感态度上表强调意味:这不是在~呢吗,你说是找不着!
这么个	tʂʅ5 mu kɤ	这样:~咧你就不咧去。/~不行,那么个不行,你要咋呢吗?
这个月	tʂʅ5 kɤ yɤ	这一个月,本月:~的电话费不知道交咧吗。这不交tʂʅ44pu21tɕiɔu24这不是嘛:~,在车里头坐着呢!
这交	tʂʅ5 tɕiɔu	同“这不交”。
这一阵	tʂʅ5 i tʂəŋ	这一会儿。
这时候	tʂʅ5 sɿ xəu	这时。
这一头子	tʂʅ5 i tʰəu tsɿ	这边。(跟“那一头子”相对)
这傍个	tʂʅ5 paŋ kɤ	这边。(跟“那傍个”相对)
吃大豆	tʂʰʅ2 ta5 təu	比喻做事情非常容易:他弄这一号事情就连~一样。②小孩或同性的年轻人之间开玩笑的一种方式,在对方不注意的时候用手指向上轻击其下巴颏,使其上下牙齿相碰并发出声响。
吃干饭的	tʂʰʅ2 kæ̃ fæ̃5 ti	指占着位置不干事或干不了事的人。
吃乱团	tʂʰʅ2 luæ̃5 tʰuæ̃	遭乱人拳打脚踢:你不咧去咧,你去肯定让人~咧。
吃敬	tʂʰʅ2 tɕiŋ5	主观地认为应受别人的尊敬:看把你给~的,你又不是谁的上姑舅。
吃手	tʂʰʅ2 ʂəu3	饭量:你不咧看那么个瘦人,那~比你好。
吃烟	tʂʰʅ iæ̃2	吸烟。
吃包包	tʂʰʅ pɔu2 pɔu	大人亲小孩儿的嘴。
吃老虎	tʂʰʅ2 lɔu xu3	亲嘴,接吻。
吃肉包子	tʂʰʅ2 ʐəu5 pɔu tsɿ2	同“吃老虎”。
吃伤咧	tʂʰʅ ʂaŋ2 liε	因暴食暴饮某种食品,造成以后见这种食品厌恶或反胃:娃娃碎的时候让鸡蛋给~,现在带个不能吃鸡蛋。
吃的	tʂʰʅ2 ti2	吃的东西。
吃头	tʂʰʅ2 tʰəu	吃的东西:给娃娃买咧些啥~?②通过吃感觉到的滋味儿:冬天的西瓜没有一点点~。
吃独食	tʂʰʅ2 tu ʂʅ	一个人独占,别人沾不上边。
吃零嘴	tʂʰʅ2 liŋ tsuei3	吃零食。
吃醋	tʂʰʅ2 tsʰu5	(在男女关系上)忌妒。
吃人贼	tʂʰʅ2 ʐəŋ tsei	敲诈勒索之人:那是个~,他能放过你?吃老碗tʂʰʅ213lɔu21væ̃53一种拿石头片在水面上打出连续水花的游戏。
吃干搲尽	tʂʰʅ2 kæ̃ va3 tɕiŋ5	指不留任何东西(含贬义):几下子~,生怕有人抢咧他的。
吃席	tʂʰʅ2 ɕi	在酒席上吃饭。
吃香	tʂʰʅ ɕiaŋ2	比喻受欢迎或受宠幸:这几年海原的硒砂瓜~得很!/人家在领导跟前~着呢!
吃筵席	tʂʰʅ2 iæ̃ ɕi	指举办婚礼时,女方送亲的人到男方家吃酒
席	:~	的人坐咧两大轿子车,吓人呢么!
吃高价饭	tʂʰʅ kɔu2 tɕia5 fæ̃5	指给人送礼金并吃对方准备的酒席。
吃野粮食的	tʂʰʅ2 iε3 liaŋ ʂʅ ti	詈语,通常用来指没有教养的人:你一点教养都没有,简直是~!
吃洋花生	tʂʰʅ2 iaŋ xua2 səŋ	指被枪毙。
尺谋	tʂʰʅ2 mu3	估计、估摸:我~着能成咧吧。
池子	tʂʰʅ tsɿ	用砖头和水泥砌成,用来洗衣、洗菜或蓄水。②量词:放咧满满一~水。
湿唧唧的	ʂʅ2 tɕi3 tɕi ti	形容湿得让人感觉厌烦:外头下得~,也没地方去。
失笑	ʂʅ2 ɕiɔu5	可笑:乜讲开故事咧~得很。
失人命	ʂʅ2 ʐəŋ miŋ5	危及人的生命安全:这么下去就~呢,赶紧寻人修给一下。
螫	ʂʅ	蜂、蝎子等用毒刺刺人或动物:眼睛叫蜂儿给~肿咧。
蚀	ʂʅ	某些物质刺激皮肤或黏膜使之发生疼痛:盐水滴着伤口上~得人受不了!
十月一	ʂʅ yɤ i	农历十月初一。当地风俗,这天要给亡者焚烧纸钱、纸制的防寒物品等。也说“送寒衣”。
十五	ʂʅ vu3	指农历正月十五,元宵节。
十大碗	ʂʅ ta5 væ̃3	指农村里有红白喜事时,酒席上的十道不同菜肴,因用碗盛而得名。
十三花	ʂʅ sæ̃ xua	酒席的一种,上五碗八盘菜。随着生活水平的提高,十大碗、十三花的酒席样式已渐渐消失。
十天半个月	ʂʅ tʰiæ̃ pæ̃5 kɤ5 yɤ	十到十五天左右。因语境不同,分别带有嫌时间长或说时间足够用的意味:你一去就是~,我能给等住!/这一点活,有~做得完完的。
十呢五呢	ʂʅ ȵi vu3 ȵi	偶尔、不经常的。也说“十打五闲”:忙是忙,~地去看一下你妈,人老咧么。
十打五闲	ʂʅ ta vu3 ɕiæ̃	同“十呢五呢”。
十三不靠	ʂʅ sæ̃2 pu kʰɔu5	麻将术语。指筒、万、条的点儿分别为1、4、7,2、5、8,3、6、9,其余为东、西、南、北、中。常用来比喻事物之间没有联系。
十帕九泪	ʂʅ pʰa tɕiəu3 luei5	形容哭得特别伤心的样子:乜一下子~地,就连有天大的委屈一样。
十冬腊月	ʂʅ tuŋ la2 yɤ	指冬季最寒冷的时候。
室兄哥	ʂʅ ɕyŋ kɤ	妻子的哥哥。
室内亲戚	ʂʅ nuei5 tɕʰiŋ tɕʰi5	关系很近的亲戚。
实诚	ʂʅ tʂʰəŋ	实在、诚实。
实受	ʂʅ ʂəu	指人实在:那个人待人~得很。②指物品实惠耐用:这个东西家里常用去~着呢。
实确	ʂʅ tɕʰyɤ	真实、可靠:别人说下的得道~着吗?
实夯夯地	ʂʅ xaŋ2 xaŋ ti	形容非常密集、密不透风的样子:人围地~,给能挤着里头去!
实腾腾地	ʂʅ tʰəŋ2 tʰəŋ ti	形容人非常实在:让人感觉这个人~,够朋友。
实实儿地	ʂʅ ʂʅ rti	表示真实的程度更强:小马说下的这个事情~。
石头眼镜	ʂʅ tʰəu ȵiæ̃3 tɕiŋ5	水晶制成的眼镜。
石子儿	ʂʅ tsɿ3 r	小石子儿。②建筑用的石料:拉上一车~打地平。
石条	ʂʅ tʰiɔu	加工后呈条状的石头。
拾掇	ʂʅ tuɤ	打扫、整理:你看乜家把家里~得好嘛!②修理:这个收音机坏咧,寻个人给~一下。③惩治:你再这么弄,迟早就让公安局给~咧。
拾鞋带的	ʂʅ xεi tεi5 ti	原意为帮人系鞋带儿的人,引申为替人收拾烂摊子,跑腿干杂活儿的人:混来混去也没有个大的出息,还不是个给人~。
世	ʂʅ5	与生俱来,原本就有的:那是老天爷给他~下那么个脸么,谁给能变过来。
世翻	ʂʅ5 fæ̃	拨弄,折腾:在人脸上不咧~咧唦!/再不咧在家里
胡	~	咧,出去耍去!
世量	ʂʅ5 liaŋ	估量(估计某人不会做某事):我把他~咧,他就没能力弄这个事。
世下的	ʂʅ5 xa ti	命运早就安排好的。这两个娃娃结婚呢,真个就连~一样。
日	ʐ	前缀。可构成形容词和动词,多为贬义。②性交。
日屄	ʐʅ pʰi2	性交。
日把欻	ʐʅ2 pa tʂʰua3	指品行卑鄙之人:老马真格是个~一个。
日塌	ʐʅ2 tʰa	糟践、糟蹋:你这话不是~人着呢吗。②弄坏:你乜几下就把个好耍头子~咧。③程度达到极点,相当于普通话的“……死了”:笨~、冻~、甜~、高兴~、快~。
日眼	ʐʅ2 ȵiæ̃3	惹人厌烦:这个人~过火着呢!
日杵怪	ʐʅ2 tʂʰu3 kuεi5	模样古怪、搞笑之人:这是个~一个,你说失笑吗不失笑。
日麻眼	ʐʅ2 ma ȵiæ̃3	形容非常糟糕、龌龊:这个事还给弄~咧。
日怪	ʐʅ2 kuεi5	古怪、奇怪:你说~吗不~,明明晴着呢,乜咋么滴雨点子开咧。
日鬼	ʐʅ2 kuei	使用诡计使别人上当受骗:你怕是让人给~咧!/~着让人来回跑咧几趟子。②凑合、应付:反正没人仔细检查,~一下算咧。③形容人的品行不好:那个人~得很!
日头	ʐʅ2 tʰəu	太阳。
日头冒花子	ʐʅ2 tʰəu mɔu5 xua tsɿ2	太阳刚刚露出地平线的时候。
日能	ʐʅ2 nəŋ	形容人有能耐(含赞赏意味):那个人~着呢,乜自己设计着盖咧个楼房。②有能耐(含讥讽意味):这么说你还比谁~?③逞能:在不咧~咧,赶紧找个会弄的去。④形容人态度傲慢:不就是当咧个处长么,~啥呢!
日赖	ʐʅ2 lεi5	形容人耍赖皮、品行不好:你看你~吗不~。
日馕	ʐʅ2 naŋ3	吃(含贬义):你赶紧~你的,再不咧说别人。/连猪一样,~够咧就缓下咧。
日弄	ʐʅ2 nuŋ	糊弄:这么个的话,八成儿是让人~咧。
日急慌忙	ʐʅ2 tɕi xuaŋ2 maŋ	慌慌张张:车快开咧,乜~地抓起包包就跑咧。
日嚼	ʐʅ2 tɕyɤ	训斥、责骂:乜还犟着呢噻,叫我给好好地~咧一顿。
日娘掏老子	ʐʅ2 ȵiaŋ tʰɔu2 lɔu3 tsɿ	用不文明的语言辱骂。
日昏阳昏	ʐʅ2 xuŋ iaŋ xuŋ	形容不知时间迟早、糊里糊涂的样子:成天价~的,不知道要弄啥呢!
儿子	εr tsɿ	男孩子(对父母而言):他们就这一个~。②男孩子(性别):不知道生咧个~吗还是女子。
儿子娃娃	εr tsɿ va va	男孩子(性别):最好要几个~,顶住事呢。②男子汉的阳刚之气:到底是~,说弄啥就弄啥。
儿娃子	εr va tsɿ	男孩子(性别),口语中常带有刺激对方的意味:你是你们张家的~咧,你出来承认这是你们弄下的。
儿马子	εr ma tsɿ	公马,常用来比喻那些身手矫健的小伙子:那连个~一样,谁都撵不上。
而个	εr kɤ	现在,如今:~这个社会,假货太多咧。
扔	εr	扔:给他~给咧一瓶水。②丢失:上前儿个我把钱包~咧。
扔下	εr3 xa	放下、丢下:~自己的工作不好好干,要管别人的事呢。
扔脱	εr3 tʰuɤ	用力扔掉:让我~一胡墼,刚打着尻蛋子上。②摆脱纠缠:跟着后头缠咧一个礼拜,希~不了咧。
扔背咧	εr3 pei5 liε	置于脑后无人记起:几年没有联系,都~。
扔识	εr3 ʂʅ	理睬、搭理:出咧门就没人~你,你以为你是谁一个!耳巴子εr53pa21tsɿ21耳光:让人给美美地搧咧几个~。
耳坠子	εr3 tʂuei5 tsɿ	耳垂。也说“耳朵坠坠”。
耳呱子	εr3 kua tsɿ	耳朵。
耳根子软	εr3 kəŋ2 tsɿ ʐuæ̃3	形容非常容易听信别人的话。
耳塞	εr3 sei	耳屎。
耳背	εr3 pei5	耳聋。
耳擦洼	εr3 tsa va5	耳朵背后靠近耳垂的地方。
耳朵眼	εr3 tuɤ ȵiæ̃3	耳垂上打的小眼儿,用来佩戴耳环等装饰品。
耳朵碗碗	εr3 tuɤ væ̃3 væ̃	耳朵上由耳轮、耳屏包围靠近耳门的部
位	:	吹咧一天的黄风,~里沙子装满咧。
耳枕	εr2 tʂəŋ3	一种枕头,中心有拳头大小的洞,侧睡时一耳正在洞中,可避免耳朵被挤压。
二	εr	数字。②单独使用,形容某人性格鲁莽、言辞行为过激:稳住,再不咧那么~咧啥。③常与杆子、倯、货等构成詈词:~杆子遇上~倯咧,一双~货。
二月二	εr5 yɤ εr5	指农历二月初二。当地民俗之一。这天家家户户要炒豆子,吃豆子。多数人选择这天去理发,意为新春有新气象:△~,龙抬头。/~,炒豆豆。
二把刀	εr5 pa3 tɔu	技术不过关的人:~做下的活给能好?
二百五	εr5 pei2 vu3	性情鲁莽、做事过头之人。当地人在交往过程中都尽力避免使用这个数字。
二道贩子	εr5 tɔu5 fæ̃5 tsɿ	泛指做转手买卖的人。
二杆子	εr5 kæ̃3 tsɿ	指做事缺乏考虑,好感情用事,办事鲁莽的人。
二饼子	εr5 piŋ3 tsɿ	近视眼镜:这么碎的娃娃就戴上~咧。②戴近视眼镜的人(含贬义):骑自行车的那个~,就是他哥。
二货	εr5 xuɤ5	詈词。同“二杆子”。
二尿	εr5 tɕʰiəu	詈词。同“二杆子”。
二倯	εr5 suŋ	詈词。同“二杆子”。
二溜子	εr5 liəu5 tsɿ	游手好闲、不务正业之人:乜成天在街上当~着呢。
二手货	εr5 ʂəu xuɤ5	倒手转卖过一遍或几遍的货物。
二王	εr5 vaŋ	扑克牌中的“小王”。
二转子	εr5 tʂuæ̃5 tsɿ	指动植物的杂交品种。
二面子	εr5 miæ̃5 tsɿ	两边儿:当中里放下一台大彩电,~放下两个大音箱。
二脖子	εr5 pɤ tsɿ	见“五家抱”。
二不唧唧	εr5 pu tɕi tɕi	形容某人性情粗鲁,做事莽撞(含贬义)。
二不惺惺	εr5 pu ɕiŋ ɕiŋ	同“二不唧唧”。
二婚	εr5 xuŋ	再婚。
二一个	εr5 i kɤ	第二点:首先,我不同意你这么弄;~,我觉着这个事还要再商量一下;第三,有没有花这个钱的必要。②另外,再说:你这么个怕是没人听你的,~对你自己有啥好处呢?
二尾子	εr5 i tsɿ	两性人。
二家子	εr5 tɕia tsɿ	旁人:东西找不着咧,怕是~拿着去咧!
二细	εr5 ɕi5	指吃拉面时,将面拉成比平常细的稍粗一些的面。
二凉	εr5 liaŋ	指天气变冷却宁愿穿着单衣似乎不知寒冷之人,引申为不知时令、违背规律之人(含贬义)。
二愣八呲	εr5 ləŋ pa tsʰɿ	形容某人愣头愣脑、不通人情:我给人家安顿着呢,乜~地就连没说一样。
二一添作五	εr5 i tʰiæ̃2 tsuɤ vu3	平分:这些东西咱两个~,一人一半儿。
笔	pi	毛笔、铅笔、钢笔的总称。②笔画:这个字通共几~。③量词:那个人写下一~好字。/乜发咧一~洋财,一下子富咧。
笔帽帽	pi2 mɔu5 mɔu	笔帽儿。
笔杆杆	pi2 kæ̃3 kæ̃	笔杆儿。
笔杆子	pi2 kæ̃3 tsɿ	擅长写各种文章之人。
笔肠子	pi2 tʂʰaŋ tsɿ	钢笔存储墨水的软管。
笔芯芯	pi2 ɕiŋ5 ɕiŋ	圆珠笔的芯儿。
笔尖尖	pi2 tɕiæ̃ tɕiæ̃	笔尖儿。也说“笔尖子”。
笔罐罐	pi2 kuæ̃5 kuæ̃	插放笔的圆筒形器具,多由木、竹或陶瓷制成。也说“笔罐子”。
笔筒筒	pi2 tʰuŋ3 tʰuŋ	同“笔罐罐”,也说“笔筒子”。
毕咧	pi2 liε	完了,结束了。
鼻	pi	鼻涕。
鼻淌脑水	pi tʰaŋ nɔu ʂuei	(小孩儿)擦不净鼻涕:这个娃娃~的,一点都不乖。②(成人)邋遢的样子:一天价~的,也不知道收拾自己。
鼻甲子	pi tɕia2 tsɿ	鼻垢:去把~打张干净咧再来。
鼻窟窿	pi kʰu2 luŋ	鼻孔:没防住把~给戳烂咧。
鼻门子	pi məŋ tsɿ	鼻孔的出口处。也说“鼻子门”。
鼻毛	pi mɔu	长在鼻孔里的毛。
鼻梁子	pi liaŋ tsɿ	鼻梁骨。
鼻尖尖	pi tɕiæ̃2 tɕiæ̃	鼻尖儿。
鼻粘住棍	pi ʐæ̃ tʂʰu kuŋ5	鼻涕粘在棍子上,喻指缠绕、附着在上面,难以摆脱。
壁虱	pi sei2	臭虫。
滗	pi3	挡住泡着的东西或渣滓,把液体倒出去:把熬下的药~出来。《广韵·质韵》:“鄙密切。去滓。”
秕	pi3	瘪,不饱满。
秕绌绌子	pi3 tʂʰu2 tʂʰu tsɿ	粮食作物颗粒不饱满或充气、装物的口袋变空:气一放,一下子成~咧。
鐾	pi5	把刀在布、皮、石头等物上面反复磨擦几下,使锋利:把刀子~一下再剃。《集韵·霁韵》“蒲汁切,治刀使利。”
篦子	pi5 tsɿ	用竹子制成的梳头工具,中间有梁儿,两侧有密齿。篦子客pi44tsɿ21kʰei21刻薄尖酸之人。
被儿	pi5 εr	被子。
被面子	pi5 miæ̃5 tsɿ	被面儿。
被里子	pi5 li3 tsɿ	被里儿。
被套	pi5 tʰɔu5	套在被子上防止被子脏的套儿。
被窝筒筒	pi5 vɤ tʰuŋ3 tʰuŋ	被窝儿:冷月天的~,暖和得很,人到底懒得出来。
被告	pi5 kɔu5	被控告的一方。
屄	pʰi	阴户。②喻指某人的嘴(詈词):你~夹紧,这达有你说话的地方?
屄板子	pʰi2 pæ̃3 tsɿ	阴户。
屄毛	pʰi2 mɔu	女性阴毛。
屄嘴	pʰi2 tsuei3	同“屄”②。
屄婊子	pʰi2 piɔu3 tsɿ	骂妇女的詈词。
屄脸	pʰi2 liæ̃3	詈语:吃咧还要拿上,真不要~。
批耳子	pʰi2 εr3 tsɿ	耳光:你再胡说,小心有人搧你两个~。
