#詞語	音標	解釋
冷天	liɛn3 tian2	
秋天	tɕʰiou1 tian2	
开春	kʰai1 tɕʰyn1	
清明	tɕʰin2 min6	
农历	noŋ6 li2	阴历
阳历	iaŋ2 li2	
三十夜	san1 ʂɤ5 iᴀ2	
大年初一	tai1 nian1 tsʰu2 i6	
拜年	pai2 nian1	
过小年	kuo5 le5 nian6	农历正月十五
五月节	u6 nye6 tɕie3	农历五月初五
中秋节	tsoŋ1 tɕʰiou1 tɕie3	农历八月十五
七月半	tɕʰi6 nye6 puan6	农历七月十五
老人节	lao1 en2 tɕie3	农历九月初九
今年	tɕin1 nian6	
去年	kʰə5 nian6	
明年	min1 nian6	
前年	tɕian6 nian6	
向前年	xiaŋ2 tɕian6 nian6	
往年	uaŋ6 nian6	以往的年头
后年	xiao1 nian6	
大后年	tai1 xiao1 nian6	
年年	nian6 nian6	
年头	nian6 tiao2	
年中	nian6 toŋ1	
年尾	nian6 uei6	
上半年	saŋ1 puan6 nian6	
下半年	xa6 puan6 nian6	
一年到头	i3 nian6 tao2 tiao2	整年
正月	tsən1 nye6	
月初	nye6 tsʰu1	
月半	nye6 puan6	
月底	nye6 ti1	
一个月	i3 kuo5 nye6	
上个月	saŋ1 kuo5 nye6	
这个月	tai2 kuo5 nye6	
下个月	xa6 kuo5 nye6	
今日	tɕie6 ɤ3	
昨日	tsʰuo2 ɤ3	
明日	mæ2 ɤ3	
后日	xiao1 ɤ3	
大后日	tai1 xiao1 ɤ3	
前日	tɕian6 ɤ3	
第日	ti1 ɤ3	第二天
前几日	tɕian6 tɕi6 ɤ3	
星期天	ɕin1 tɕi2 tʰian2	
一个星期	i3 kuo5 ɕin1 tɕi2	
日当天	ɤ3 taŋ6 tʰian2	整天
每日	mei6 ɤ3	
十几日	ʂɤ5 tɕi6 ɤ3	比十天多
上半日	saŋ1 puan6 ɤ3	
下半日	xa6 puan6 ɤ3	
半日	puan2 ɤ3	
大半日	tai1 puan6 ɤ3	
清早	tɕʰin1 tsao6	日出前后的一段时间
半日间	po3 nian6 kan1	中午
日滴	ɤ3 ti2	
夜头	iᴀ1 tiao2	从天黑到天亮的一段时间
半夜	puan6 iᴀ1	
上半夜	saŋ1 puan6 iᴀ1	
下半夜	xa6 puan6 iᴀ1	
夜到光	iᴀ1 tao2 kuaŋ1	一整夜
夜夜	iᴀ1 iᴀ1	
哪年	nai3 nian6	指某一年
哪个月	nai3 ko5 nye6	指某一月
哪日子	nai3 ɤ3 tsɿ	指日期
哪个时候	nai3 ko5 ʂɤ6 xiao2	他~来?
先前	ɕian1 tɕian2	
这下子	tai2 xa1 tsɿ	
后来	xiao1 lai6	指过去某事之后
耕田	kan1 tian6	
打谷子	ta6 ku6 tsɿ	
栽秧	tsai1 iaŋ1	
插秧	tsʰa6 iaŋ1	
薅草	xao1 tsʰao6	
割谷子	kuo6 ku6 tsɿ	
晒谷子	sai5 ku6 tsɿ	
淤	y1	注意各种粪肥的名称
化肥	fa2 fei1	注意各种常见化肥的名称
井凼	tɕin6 taŋ1	饮用的水井
水桶	ɕy6 tʰoŋ6	
板车	pan6 tsʰæ2	
□□	kua5 kua5	犁耙
风箱	xoŋ1 ɕiaŋ6	使米粒跟谷壳分离的农具
缸	kaŋ1	
打米碓	ta6 mi6 tei2	脱去稻谷外皮的农具
筛	sai1	筛稻、米用的
糠筛	kaŋ1 sai1	筛粉末状细物用的器具
捞筛	lao6 sai1	
簸箕	po5 tɕi6	
锄头	tɕy6 tiao2	
柴刀	tsai6 tao2	
镰刀	lian6 tao2	
斧头	fu6 tao2	
撮箕	po5 tɕi2	撮垃圾用
拉撒	la6 sa6	垃圾
箩	lo6	
扁担	pian6 tan2	
□扫把	ka1 sao6 pa2	用竹枝扎成,比笤帚大,扫地用
谷子	ku6 tsɿ	
包谷	pao1 ku6	
早谷子	tsao6 ku6 tsɿ	
迟谷子	tʂɤ2 ku6 tsɿ	
米	mi6	稻的子实去壳后。各种米的名称
糯米	nuo1 mi6	
新米	ɕin1 mi6	
糙米	tsʰao1 mi6	未舂碾过的米
棉花	mian6 fa1	
芝麻	tʂɤ1 ma6	
向阳花	ɕiaŋ5 iaŋ2 fa1	向日葵
红薯	xoŋ6 ɕy2	
果薯	kuo3 ɕy2	
洋芋豆	iaŋ2 y1 tiao6	
魔芋	mo6 y1	
山药	san1 io6	学名叫薯蓣
莲子	lian6 tsɿ	莲蓬的子
黄豆	uaŋ6 tiao2	
绿豆	liou6 tiao2	
黑豆	xæ3 tiao2	
红豆	xoŋ6 tiao2	
豌豆	uan1 tiao2	
豇豆子	kaŋ1 tiao2 tsɿ	细长条的
蚕豆子	tsan6 tiao2 tsɿ	
茄子	tɕiᴀ2 tsɿ	
黄瓜	uaŋ2 kua1	
丝瓜	sɿ1 kua1	
苦瓜	kʰu6 kua1	
南瓜	nan2 kua1	
冬瓜	toŋ1 kua1	
萫料	ɕiaŋ5 liao2	葱
洋葱	iaŋ2 tsʰoŋ1	
蒜	suan5	指这种植物
蒜头	suan5 tiao2	蒜的鳞茎,由蒜瓣构成
酱茄子	tɕiaŋ5 tɕia2 tsɿ	西红柿
姜	tɕiaŋ1	
辣子	la6 tsɿ	
菠菜	po1 tsʰai2	
白菜	pʰæ5 tsʰai2	
莴笋	uo1 sen2	指茎部
莴笋叶	uo1 sen2 ie6	
生菜	sɿæn1 tsʰai2	
胡萝卜	fu6 lo6 po2	
复萝卜	fu5 lo6 po2	白色
油麦菜	iou2 mai2 tsʰai2	
树	ɕy6	
林	lin2	
树秧	ɕy6 iaŋ1	
树干	ɕy6 kan5	
树尖	ɕy6 tɕian1	
树根	ɕy6 kiæn1	
树叶	ɕy6 ie6	
树桍桍	ɕy6 kua2 kua2	
栽树	tsai1 ɕy6	动宾
剁树	tuo5 ɕy6	动宾
松树	soŋ1 ɕy6	
杉木树	san1 mo6 ɕy6	
木姜子树	mo6 tɕiaŋ1 tsɿ2 ɕ6	
茶树	tsa2 ɕy6	
桐油子树	toŋ2 iou2 tsɿ2 ɕy6	
竹	tou1	注意当地各种竹子名,有无方竹
观音竹	kuan1 in1 tou1	
笋	sen3	
冬笋	toŋ1 sen3	
春笋	tɕʰyn1 sen3	
篾片	mie3 pʰian3	竹子劈成的薄片
果木东西	kuo3 mo6 toŋ1 ɕi2	水果
桃	tao2	
李子	li3 tsɿ2	
苹果	pin2 kuo2	
枣子	tsao6 tsɿ2	
梨子	li6 tsɿ2	
枇杷子	pi2 pa2 tsɿ2	
柿子	ʂ6 tsɿ2	
柿饼	ʂ6 pin2	
石榴子	ʂɤ5 liou2 tsɿ2	
橙子	tsen2 tsɿ2	
橘子	kæ6 tsɿ2	注意当地橘与柑有无分别
木瓜	mo6 kua2	
龙眼	loŋ2 ŋan6	
荔枝	li5 tʂɤ2	
芒果	maŋ2 kuo3	
菠萝	po1 lo6	
核桃	xæ6 tao2	
西瓜	ɕi1 kua1	
瓜子	kua1 tsɿ2	
白瓜	pæ5 kua1	
白果	pæ5 kuo3	银杏果
梗	kuaŋ3	甘蔗
笆栗子	pa6 li2 tsɿ2	板栗
花生	fa1 sən1	
桂花	kuei5 fa2	
梅花	mei2 fa2	
荷花	xo6 fa2	
荷叶	xo2 ie6	
喇叭花	la6 pa2 fa2	牵牛花
花苞	fa1 pao2	没有开放的花
花瓣	fa pan2	
香菇	ɕiaŋ1 ku1	
蘑菇	mo6 ku1	
冻菌	toŋ5 tɕyn6	
养牲	iaŋ1 sen2	
牛	niou2	
黄牛	uaŋ6 niou2	
水牛	ɕy6 niou2	
羊	iaŋ2	
狗	kiao3	
公狗	koŋ1 kiao6	
母狗	mu3 kiao3	
列狗崽	le2 kiao3 zæ2	脱奶后的幼犬
猫	mao1	
猪	tɕy1	
种猪	toŋ6 tɕy1	
母猪	mu6 tɕy1	
猪崽	tɕy1 tsai2	
兔子	tʰu5 tsɿ2	
鸡	tɕi1	
公鸡	koŋ1 tɕi1	成年的打鸣的公鸡
列鸡崽	ɕi5 tɕi1 tsæ2	小鸡
母鸡	mu3 tɕi1	
菢鸡婆	pao6 tɕi1 po2	正在孵蛋的母鸡
鸡蛋	tɕi1 tan6	
生蛋锅	sɿɛn1 tan6 kuo2	鸡下蛋
鸡爪爪	tɕi1 kua2 kua2	
鸭	ŋa6	
鸭蛋	ŋa6 tan6	
鹅	ŋo2	
猴子	xiao2 tsɿ2	
老鼠子	lao6 ɕy6 tsɿ2	老鼠
蛇	sa2	注意各种蛇的叫名
五步蛇	u6 pu1 sa2	
菜花蛇	tsʰai2 fa1 sa2	
眼镜蛇	ŋan6 tɕin6 sa2	
竹叶青	tu6 ie6 tɕʰin1	
鸟崽	tiao3 tsæ2	鸟儿
燕子	ian5 tsɿ2	
斑鸠	pan1 tɕiou2	
竹鸡	tou3 tɕi1	
白幻	pʰa5 xuan3	
布谷	pu5 ku6	
猫姑	mao5 ku2	猫头鹰
蚕	tsan2	
波梭	po1 suo6	蜘蛛
蚂蚁子	ma3 nian5 tsɿ2	蚂蚁
火蚂蚁	xuo6 ma3 nian2	
细蚂蚁	ɕi5 ma3 nian2	
毛蚂蚁	mao2 ma3 nian2	
土米虫	tʰu3 mi3 toŋ2	蚯蚓
土蚕	tʰu1 tsan2	蜗牛
四脚蛇	sɿ5 tɕio3 sa2	壁虎
瞎眼蚊	xa3 ŋan3 men1	牛蚊子
蚊子	men1 tsɿ2	
布东子	pu5 toŋ1 tsɿ2	绿色的飞虫
飞蛾子	fei1 ŋo2 tsɿ2	
狗蚤	kiao3 tsao2	跳蚤
打屁虫	ta3 pʰi5 toŋ1	臭虫
鸡哨子	tɕi1 sao5 tsɿ2	蟋蟀
骚嘎子	sao1 ka3 tsɿ2	蟑螂
马虫□	ma3 toŋ6 kuaŋ2	螳螂
唧唧虫	tɕi5 tɕi5 toŋ2	蝉
糖蜂	taŋ6 xoŋ2	密峰
蜂窝	xeŋ2 uo1	
蜂蜜	mi5 xeŋ2	
洋火虫	iaŋ2 xuo3 toŋ2	萤火虫
大飞蛾子	tai3 fei1 ŋuo3 tsɿ2	蝴蝶
拉力蝈	la1 li5 kuo2	蜻蜓
花壳虫	fa1 ko6 toŋ2	学名“瓢虫”
鱼	ny2	
鲤鱼	li3 ny2	
草鱼	tsʰao3 ny2	
田鱼	tian6 ny2	
暴眼鱼	pao2 ŋan6 ny2	
泥鳅	ni6 tɕʰiou1	
鱼刺	ny2 tsʰɿ5	
钓鱼	tiao6 ny2	
鱼网	ny2 uaŋ3	
虾	xa1	
虾子	xa1 tsɿ2	
乌龟	u1 kui1	
螃夹子	paŋ6 ka6 tsɿ2	螃蟹
蛤蟆	xa6 ma2	
螺蛳	luo6 sɿ1	
蚌壁壳	paŋ6 pi2 kʰuo3	蚌
屋	u6	
外口坪	uai6 kʰiao3 pin2	院子
外口房	uai6 kʰiao3 pin2	外间
内头房	nei1 tiao2 faŋ2	内间
神龛背	sen2 kʰuan6 bei2	
堂屋	taŋ2 u3	
砖房子	tɕyan1 faŋ2 tsɿ2	洋房
楼脚	liao2 tɕio2	
楼上	liao2 saŋ1	
楼梯	liao2 tʰi2	
梯子	tʰi2 tsɿ2	可移动的
晒楼	sai5 liao2	
屋梁	u3 liaŋ2	
屋顶	u3 tin1	站在~上
梁	liaŋ2	
柱子	tɕy1 liaŋ2	
磉□石	saŋ3 puan2 ʂɤ5	柱下石
天花板	tʰian1 fa1 puan6	
大门	tai1 men2	
后门	xiao1 men2	
门栓	men2 suan1	
门窗	men2 tsʰaŋ1	
锁	suo3	
钥匙	io3 ʂɤ6	
窗子	tsʰaŋ1 tsɿ2	
窗台	tsʰaŋ1 tai2	
过道	kuo5 tao1	
楼板	liao2 pan6	
火炉屋	xuo3 lu2 u6	
灶	tsao5	
牛圈	niou2 tɕyan6	
猪圈	tɕy1 tɕyan6	
羊圈	iaŋ2 tɕyan6	
狗窝	kiao3 uo1	
鸡窝	tɕi1 uo1	
鸡笼	tɕi1 loŋ2	
柜子	kuei5 tsɿ2	衣柜、书柜、碗柜等的通称
桌子	tsuo3 tsɿ2	
八仙桌	pa3 ɕian1 tsuo3	
三角桌	san1 tɕio3 tsuo3	
细桌子	ɕi5 tsuo3 tsⁱi2	
圆桌	yan2 tsuo3	
饭桌	fan1 tsuo3	
登板	tiɛn5 pan3	
木凳	mo6 tiɛn5	
竹凳	tu6 tiɛn5	
床	tseŋ2	
竹凉床	tu6 liaŋ2 tseŋ2	
帐子	tsaŋ5 tsɿ2	
被窝	pi3 uo2	被子
床单	tseŋ2 tan2	
竹席	tou6 ɕi5	竹篾编的
枕头	tsen6 tiao2	
枕套	tsen6 tʰao5	
镜子	tɕin5 tsɿ2	
衣架	i1 ka5	
尿壶	niao6 fu2	
温水壶	uen1 ɕy6 fu2	保温瓶
风箱	xeŋ1 ɕiaŋ1	
铁夹	tʰie3 ka1	
火铲	huo3 tsʰan3	铲炉灰用的
柴	tsai2	
火柴	xuo3 tsai2	
锅	kuo1	按大小、形状、材质、用途分出的各种名称
大锅子	tai1 kuo1 tsɿ2	
细锅子	ɕi5 kuo1 tsɿ2	
锅盖	kuo1 tsɿ2	
鼎罐	tin3 kuan2	
水壶	ɕy3 fu2	烧开水用
洋碗	iaŋ2 uan3	瓷的
茶杯	tsa2 pei1	瓷的带把儿的
羹匙	tiao6 ken1	
筷子	kʰuai5 tsɿ2	
筷笼	kʰuai5 loŋ2	放筷子用的
酒杯	tɕiou6 pei1	
盘子	puan6 tsɿ2	
酒壶	tɕiou3 fu2	茶壶形的
酒坛子	tɕiou3 tan6 tsɿ2	
坛子	tan6 tsɿ2	
罐子	kuan5 tsɿ2	
勺	suo5	舀水用的
瓶子	pin6 tsɿ2	
瓶盖	pin6 kai5	
菜刀	tsʰai5 tao1	
砧板	ten1 pan6	
水桶	ɕy6 tʰoŋ2	挑水用的
蒸笼	tsen1 loŋ2	
水缸	ɕ6 kaŋ1	
拖把	tʰuo1 pa2	
刨子	pao1 tsɿ2	
锯子	tɕy5 tsɿ2	
尺子	tʂɤ6 tsɿ2	
卷尺	tɕyan1 tʂɤ6	
老虎夹	lao3 fu3 ka3	用来起钉子或夹断铁丝
镊子	nie5 tsɿ2	
绳子	sen6 tsɿ2	
推子	tʰei1 tsɿ2	
剪刀	tɕian6 tao2	
脸盆	lian6 pen2	
澡盆	tsao3 pen2	
香皂	ɕiaŋ1 tsao2	
肥皂	fei6 tsao2	
洗衣粉	ɕi6 i1 fen3	
帕子	pa5 tsɿ2	
脚盆	tɕio3 pen2	洗脚用的
擦脚布	kʰai1 tɕio3 pu2	
蜡	la3	
马灯	ma3 tæn2	有玻璃罩的
灯笼	tæn2 loŋ2	
钱包	tɕiɛn2 pao1	
章	taŋ1	私人用的
浆糊	tɕiaŋ5 fu2	
底针子	ti3 ten1 tsɿ2	
穿针	tɕʰyan1 ten1	动宾
挖耳勺	ua1 er3 ʂɤ3	
搓衣板	tsʰ1 i1 pan6	
棒棰	paŋ5 tɕy2	洗衣服用的
扇子	san5 tsɿ2	
男人家	nan2 en2 ka2	男的
妹崽嘎	mei5 tse6 ka2	女的
□□妹	ŋa6 kʰuo1 mei5	刚生下不久的
□把戏	læ6 pa6 ɕi5	小孩儿
老人家	lao6 en2 ka2	
老奶□	lao6 nai1 tsæ2	女性老人
老爷□	lao6 ia5 tsæ2	男性老人
街上的	kai1 saŋ6 ti2	
乡下的	ɕiaŋ1 xa6 ti2	
外口滴	uai6 kʰiao6 ti2	
自己屋滴	tsɿ6 tɕi2 u6 ti2	
别个	pie5 kuo2	外人
伙计	xuo6 tɕi2	朋友
内行	nei1 xaŋ2	
外行	uai1 xaŋ2	
打光棍	ta3 kuaŋ1 kuen5	单身汉
老姑娘	lao6 ku1 niaŋ1	
暴发户	pao5 fa3 fu	
小气鬼	ɕiao3 ɕi5 kuei6	
老扣	lao6 kʰiao1	吝啬
告发子	kao5 fa3 tsɿ2	乞丐
骗子	pʰian5 tsɿ2	
土匪	tʰu6 fei6	
贼	tsʰæ5	
农民	noŋ1 min2	
做生意的	tsu6 san1 yi5 ti2	
老板	lao6 pan6	
老板娘	lao6 pan6 niaŋ2	
学徒	ɕio5 tu6	
学生	ɕio5 sæn1	
同学	toŋ6 ɕio5	
朋友	peŋ6 iou2	
兵	pin1	相对百姓而言
警察	tɕin6 tsʰa2	
医生	i1 sæn2	
司机	sɿ1 tɕi1	
手艺人	sou6 ni6 en2	
木匠	mo6 tɕiaŋ1	
厨师	tɕy2 sɿ2	
剪生	tɕian6 sæn2	
道士	tao1 sɿ2	出家的道教徒
太公	tʰai5 koŋ1	曾祖父
白太婆	pʰæ5 tʰai5 po2	曾祖母
爷	ia5	祖父
奶	nai3	祖母
丈公	taŋ6 koŋ1	外祖父
婆	po2	外祖母
爸	pa1	
妈	ma1	
丈人	taŋ6 en2	
丈母娘	taŋ6 mu6 niaŋ2	
大爷	tai1 ia2	大伯
大娘	tai1 niaŋ2	伯母
细爷	ɕi5 ia2	叔父
细娘	ɕi5 niaŋ2	叔母
舅公	tɕiou1 koŋ1	
舅婆	tɕiou1 po2	
姑婆	ku1 po2	
姑□	ku1 ia2	
姨□	i2 ia2	
平班	pin6 pan1	
两个佬	liaŋ6 kuo5 lao6	夫妻
老儿	lao6 ɤ6	丈夫
老婆子	lao6 po2 tsɿ2	老婆
大滴个	tai6 ti2 kuo5	夫之兄
勒滴个	le5 ti2 kuo5	夫之弟
阿舅	a1 tɕiou6	妻之兄弟
姨姐	i2 tɕia6	
姨妹	i2 mei5	
弟兄	ti6 ɕioŋ1	
姊妹	tsi6 mei5	
哥哥	kuo1 kuo1	
嫂子	sao6 tsɿ2	
弟□	i6 tsæ2	
姐姐	tɕia6 tɕia6	
姐夫	tɕia6 fu2	
妹	mei5	
妹夫	mei5 fu2	
堂兄弟	taŋ2 ɕioŋ1 ti5	
堂兄	taŋ2 ɕioŋ1	
堂弟	taŋ2 ti5	
堂姐	taŋ2 tɕia6	
堂妹	taŋ2 mei5	
表姐	piao6 tɕia6	
表妹	piao6 mei5	
仔女	tsai6 ny6	儿子和女儿的总称
仔	tsai6	
大仔	tai6 tsai6	
勒仔	le5 tsai6	
仔媳妇	tsai6 ɕi6 fu2	儿之妻
女	ny6	
女婿	ny6 ɕy5	
孙	sen1	
孙媳妇	sen1 ɕi6 fu2	
孙女	sen1 ny6	
孙女婿	sen1 ny6 ɕy5	
外孙	uai6 sen1	女之子
外孙女	uai6 sen1 ny6	女之女
侄	tʂʰɤ5	
侄女	tʂʰɤ5 ny6	
首母	sou6 mu6	连襟
亲家	tɕʰin5 ka2	子之岳父,女婿之父
娘屋	niaŋ2 u6	
婆屋	po2 u6	
丈人屋	taŋ6 en2 u6	
身体	sen1 tʰi2	
身材	sen1 tsai2	
脑壳	nao6 kʰuo2	
光脑壳	kuaŋ5 nao6 kʰuo2	头发掉光了的头
颈颈	tɕiaŋ6 tɕiaŋ6	
头发	tiao6 fa2	
落头发	luo6 tiao2 fa2	动宾
额门头	æ3 men2 tiao2	
辫子	pian5 tsɿ2	
刘海	liou2 xai6	
脸	lian6	
酒窝	tɕiou6 uo1	
眼	ŋan6	
眼眶	ŋan6 kʰuaŋ1	
眼珠	ŋan6 tɕy1	
白眼珠	pʰæ5 ŋan6 tɕy1	
黑眼珠	xæ6 ŋan6 tɕy1	
眼圈	ŋan6 tɕʰyan1	
眼泪	ŋan6 lei1	
眼皮	ŋan6 pi2	
单眼皮	tan1 ŋan6 pi2	
双眼皮	saŋ1 ŋan6 pi2	
眼睫毛	ŋan6 tsa6 mao2	
眉毛	mei2 mao2	
鼻涕	pi1 tʰi2	液体
鼻孔	pi1 kʰoŋ6	
鼻梁	pi1 liaŋ2	
口水	kʰiao6 ɕy6	
舌子	sæ5 tsɿ6	舌头
牙	ŋa2	
门牙	men2 ŋa2	
虎牙	fu6 ŋa2	
耳朵	ɤ6 tuo2	
耳屎	ɤ6 ʂɤ6	
下巴	xa6 pa2	
喉咙	xiao2 loŋ2	
胡子	fu2 tsɿ2	
肩膀	tɕian1 paŋ2	
溜肩膀	liou1 tɕian1 paŋ2	
左手	tsuo6 sou6	
右手	iou1 sou6	
手指壳	sou6 tɕi5 kʰuo1	指甲
拳头	tɕy6 tiao2	
手掌	sou6 tsaŋ2	
巴掌	pa1 tsaŋ2	打一~
手心	sou6 ɕin1	
手背	sou6 pei5	
裆	taŋ1	两条腿的中间
脚	tɕio6	
光脚	kuaŋ1 tɕio6	
脚背	tɕio6 pei5	
脚心	tɕio6 ɕin1	
脚指壳	tɕio6 tɕi5 kʰuo1	
心口	ɕin1 kʰiao6	
肋骨	lei5 ku6	
奶壳	lai5 kuo1	乳房
肚子	tou6 tsɿ6	腹部
腰	iao1	
螺	luo2	指纹
寒毛	xan2 mao2	
痣	tʂɤ5	
骨	ku6	
筋	tɕin1	
血	ɕie3	
血管	ɕie3 kuan3	
心	ɕin1	
肝	kan1	
肺	fei5	
胆	tan3	
胃	uei5	
肾	sen5	
肠	tsaŋ6	
病嘎	pin6 ka2	
大病	tai1 pin6	
医	i1	病
看病	kʰan5 pin6	
号脉	x6 aomai5	
开药	kʰai1 io3	
抓药	tsa1 io3	中药
药房	io3 faŋ2	西药
药罐子	io3 kuan5 tsɿ2	
膏药	kao1 io3	中药
擦药	tsʰa3 io3	
发汗	fa3 xuan6	
拔罐	pa3 kuan5	
拉肚子	la6 tu3 tsɿ2	
发烧	fa3 sao2	
伤风	saŋ1 xeŋ2	
□	kʰaŋ3	咳嗽
气管炎	tɕʰi5 kuan3 ian2	
发痧	fa3 sa1	
上火	saŋ6 xuo3	
肚子痛	tou6 tsɿ2 tʰeŋ5	
胸口痛	ɕioŋ1 kʰiao3 tʰoŋ5	
脑壳晕	nao3 kuo3 yn1	
晕车	yn1 tsʰæ2	
晕船	yn1 ɕyan2	
脑壳痛	nao3 kʰuo3 tʰoŋ5	
恶心	o3 ɕin1	要呕吐
水痘	ɕy6 tiao2	出
肺炎	fei5 ian2	
胃病	uei5 pin6	
肺结核	fei5 tɕie3 xæ2	中医指结核病
跘着	pan5 tʰuo2	跌伤
擦破皮	tsʰa3 pʰo5 pi2	
出血	tɕʰy3 ɕie3	
疤	pa1	
痔疮	tʂɤ5 tsʰaŋ2	
生痱子	sɿæn1 fei5 tsɿ2	
狐臭	fu6 tsʰou5	
口臭	kʰiao3 tsʰou5	
近视眼	tɕin6 ʂɤ5 ŋan3	
远视眼	yan3 ʂɤ5 ŋan3	
老花眼	lao6 fa1 ŋan3	
抽风	tsʰou1 xoŋ2	
中风	tsoŋ5 xoŋ2	
瘫	tʰan1	
□子	lia5 tsi2	瘸子
聋子	loŋ1 tsɿ2	
哑巴	ŋa3 pa2	
瞎子	xa3 pa2	
□□□	ŋaŋ5 taŋ5 ku3	傻子
麻子	ma6 tsɿ2	
打扮	ta3 pan5	
衣服	i1 fu6	总称内外衣内外裤
棉衣	mian6 i1	
大衣	tai6 i1	
衬衫	tsʰen5 san2	
内衣	nei6 i1	
毛线衣	mao2 ɕian5 i1	针织圆领衫
背心	pei5 ɕin1	
领子	lin3 tsɿ2	
袖子	ɕiou5 tsɿ2	
长袖	tsaŋ2 ɕiou5	
短袖	tuan3 ɕiou5	
裙子	tɕyn6 tsɿ2	
裤子	kʰu5 tsɿ2	
薄裤	pʰao5 kʰu5	
短裤	tuan3 kʰu5	贴身穿的
裤子	kʰu5 tsɿ2	
跟脚裤	kæn1 tɕio3 kʰu5	
开裆裤	kʰai1 taŋ2 kʰu5	
裤裆	kʰu5 taŋ2	
裤腰	kʰu5 iao1	
裤腰带	kʰu5 iao1 tai5	
裤脚	kʰu5 tɕio3	
搭口	tʰa1 kʰiao3	兜:衣服上的口袋
扣子	kʰiao5 tsɿ2	中式的
鞋	xai2	
拖鞋	tʰuo1 xai2	
棉鞋	mian6 xai2	
皮鞋	pi2 xai2	
布鞋	pu5 xai2	
鞋底板	xai2 ti6 pan6	
靴筒子	ɕia1 tʰoŋ3 tsɿ2	橡胶做的雨靴
鞋带子	xai2 tai5 tsɿ2	
袜子	ua3 tsɿ2	
丝袜	sɿ1 ua3	
长袜	taŋ2 ua3	
短袜	tuan3 ua3	
帽子	mao5 tsɿ2	
皮帽	pi2 mao5	
草帽	tsʰao3 mao5	
斗篷	tiao3 peŋ2	斗笠
戒指	kai5 tʂɤ1	
项链	ɕiaŋ5 lian2	
项圈	ɕiaŋ5 tɕʰyan1	
别针	pʰie5 ten1	
簪子	tsan1 tsɿ2	
耳环	ɤ3 fan2	
粉	fen3	
围裙	uei2 tɕyn2	
尿布	niao6 pu5	
围巾	uei2 tɕin1	长条的
细帕子	ɕi5 pʰa5 tsɿ2	
眼镜	ŋan3 tɕin5	
伞	san3	
蓑衣	suo1 i1	
雨衣	y3 i1	新式的
手表	sou3 piao3	
