#漢字	音標	解釋
□	uan6	往:~前走
哀	ȵai1	
品	pʰin1	
哄	xpʰ2	
哄	xpʰ2	~騙
員	yě2	
哥	ko1	
哪	la2	
哭	kʰu7	
哲	tʂz7	
哽	kən1	
唆	so1	
脣	ʂən2	
唐	taŋ2	
售	tʂəu2	
唯	uei2	
唱	tʂʰaŋ5	
唾	tʰo5	
啃	kʰən1	
啄	tʂa7	
商	ʂaŋ1	
問	uən6-	
問	uən5=	
啞	ŋa2-	
啞	ȵ̍2=	
啟	tɕʰi1	
囉	lo1	
啼	ti2	
喃	ɕȵ1	
善	ʂə̃5	
善	ʂə̃6	~化:舊地名
喉	xəu2	
喊	xan2	
喘	tɕʰyě1	
喚	xõ5	
喜	ɕi2	
喝	xo7	
喧	ɕyě1	
喪	san1	
喪	saŋ5	~失
喪	saŋ1	號~
喫	tɕʰia7	
喬	tɕiau1	
單	tan1	
單	ʂə̃5	姓氏
喻	ȵ̍5	
嗅	ɕ朽iəu5=	~覺
嗅	ɕioŋ5	用鼻子聞
嗇	sə7	
嗓	saŋ1	
嗜	ʂʅ5	
嗣	sɿ5	
嗤	tʂʰʅ1	
嗽	səu5	
嘉	tɕia1	
嘔	ŋəu1	
嘗	ʂaŋ2	
嘮	lau2	
噍	tsiau6	
噎	i7	
噓	ɕȵ1	
器	tɕʰi5	
噴	pʰən5	
噴	fən5	~水
嚇	xz7=	
嚇	xa7-	~一跳
嚴	ŋan2-	
嚴	ȵiē2	
嚷	zaŋ2	
嚼	tɕʰio5-	
嚼	tɕio7=	
囂	ɕiau1	
囊	lan2	
囑	tʂəu7	
囚	tsiəu2	
四	sɿ5	
回	fei2	
因	in1	
囤	tən2	
囪	tsʰpʰ1	
困	kuən1	
固	ku5	
圈	tɕʰyě1	
國	kuə7	
圍	uei2	
園	yě2	
圓	yě2	
圖	təu2	
團	tõ2	
土	tʰəu1	
在	tsai6-	
在	tɕin1	
在	tsai5=	
圭	kuei1	
地	ti6-	
地	ti5=	
址	tʂʅ2	
均	tɕyn1	
坍	tan1	
坎	kʰan1	
坐	ts左o6-	
坐	ts左o5=	
坑	kʰən1	
坡	pʰo1	
坤	kuən1	
坤	tɕiē2	
坦	tʰan1	
坪	pin2	
坯	pei1	
坳	ŋz5	山~
垂	tɕyei2	
型	ɕin2	
垮	kʰua1	
垵	ŋan2	
埂	kan5	
埃	ȵai2	
埋	mai2	
埋	mei2	
城	tʂən2	
域	ȵ̍7	
埠	pu5	
埠	pu6	
執	tʂʅ7	
培	pei2	
基	tɕi1	
堂	taŋ2	
堅	tɕiē1	
堆	tei1	
堡	pau2	
堤	ti2	
堪	kʰan1	
堯	iau2	
堰	iē2	
報	pau5	
場	tʂaŋ2	
堵	təu2	
堿	tɕiē2	
塋	yn2	
塌	tʰa7	
塍	ʂən2	
塑	so7	
塔	tʰa7	
塗	təu2	
塘	taŋ2	
塚	tʂən2	
塞	sə7	
塢	u1	
填	tiē2	
塵	tʂən2	
境	tɕin5	
墊	tiē6-	
墊	tiē5=	
墓	mo5	
墜	tɕyei5	
增	tsən1	
墟	ɕȵ1	
墨	mə7	
墳	fən2	
墾	kʰən1	
壁	pi7	
壇	tan2	
壓	ŋa7-	
壓	ȵ̍7=	
壕	xz2	
壘	lei2	
壞	fai6-	
壞	fai5=	
壟	lpʰ2	
壤	zaŋ2	
壩	pa5	
士	sɿ5	
壬	zən2	
壯	tɕyaŋ5	
壯	tsaŋ5	又音
壺	fu2	
壻	si7	
壽	ʂəu6-	
壽	ʂəu5=	
夏	ɕȵ6-	
夏	ɕȵ5=	
夕	si7	
外	uai6-	
外	uai5=	
多	to1	
夜	ȵ̍6-	
夜	p5-	
夠	kəu5	
夢	mpʰ6-	
夢	mpʰ5=	
夥	xo2	
大	tai6-	
大	t打a5=	
天	tiē1	
天	fən2	
太	tʰai5	
夫	fu1	
央	iaŋ1	
夯	xan1	
失	ʂz7	
失	ʂʅ7=	
夷	i2	
夾	ka7-	
夾	tɕia7=	
奇	tɕi2	
奈	lai6-	
奈	lai5=	
奉	xpʰ5	
奎	kuei2	
契	tɕʰi5	
奔	pən1	
套	tʰau5	
奚	ɕi1	
奠	tiē5	
奢	ʂa1-	
奢	ʂz1=	
奧	ŋz5	
奪	to7	
奮	fən5	
奴	ləu2	
奶	lai2	
奸	kan1-	
奸	tɕiē1	
好	xz2	
好	xz5	喜~
如	ȵ̍2	
妃	fei1	
妄	uaŋ5	
妓	tɕʰi5	
妖	iau1	
妙	miau5	
妥	tʰo1	
妨	faŋ2	
妹	mei6-	
妹	mei5=	
妻	tsʰi1	
妾	tsʰ且p7	
姆	m̩1	~媽
姊	tsɿ2	
始	ʂʅ2	
姐	tsia2-	
姑	ku1	
姓	xo5	
姓	sin5	
姘	pin5	
姚	iau2	
姨	i2	
姬	tɕi1	
姻	in1	
姿	tsɿ1	
威	uei1	
娘	ȵiaŋ2	
娛	ȵ̍2	
娠	ʂən2	
娩	miē2	
娭	ȵai1	~毑
娶	tsi5	
婆	po2	
婚	fən1	
婢	pei1	
媒	mei2	
媚	mei5	
媳	si7	
