#漢字	音標	解釋
□	uan6	往:~前走
蘆	ləu2	
蘇	səu1	
蘭	lan2	
虎	fu2	
虔	tsiē2	
處	tɕʰy5	~所
處	tɕʰy1	相~
虛	ɕȵ1	
虜	ləu2	
虞	ȵ̍2	
號	xz6-	
號	xz5=	~數
號	xz2	呼~
虢	kua7	
虧	kʰuei1	
蝨	sə7	
虹	kaŋ5-	
虹	xpʰ2=	
虻	maŋ2	
蚊	mən1=	
蚊	uən2=	
蚌	pan6-	
蚌	pan5=	
蚣	kpʰ1	
蚤	tsau2	
蚶	kan1	
蛀	tɕy5	
蛆	tsʰi1	
蛆	tsi1	又音
蛇	ʂa2-	
蛇	ʂz2=	
蛋	tan6-	
蛋	tan5=	
蛙	ua1	
蛛	tɕy1	
蛤	xa1	~蜊
蛻	tʰei5	
蛾	o2	
蜀	tʂəu7	
蜂	xpʰ1	
蜇	tʂz7	
蜈	u2	
蜓	tin2	
蜘	tʂʅ7	
蜜	m米i7	
蜻	tsʰin1	
蝕	ʂʅ7	
蝗	faŋ2	
蝙	piē1	
蝟	uei5	
蝠	附戶=滬戽~互護=婦負富副瓠~子u7	
蝦	xa1	
蝦	ɕȵ1	
蝦	ɕȵ2	~蟆
蝶	tʰp7	
蝸	ua1	
螃	paŋ2	
融	ioŋ2	
螢	iaŋ2-	
螢	yn2=	
螳	taŋ2	
螺	lo2	
蟀	so7	
蟄	tʂʅ7	
蟆	ma2	蝦~
蟒	maŋ2	
蟢	ɕi2	
蟬	ɕyě2	
蟲	tʂpʰ2	
蟶	tʂʰən1	
蟹	xai2	
蟻	ȵi2	
蟾	ʂə̃2	
蠅	in1	
蠍	ɕp7	
蠓	mpʰ2	
蠚	xo7	~人
蠟	la7	
蠢	tɕʰyn1	
蠶	tsan2	
蠻	man2	
血	ɕp7	
行	ɕin2	
行	xaŋ2	
行	ɕin5	品~
術	ɕȵ7	
街	kai1	
衛	uei6-	
衛	uei5=	
衡	xən2	
衣	i1	
表	piau2	
衫	san1	
衰	ɕtɕʰ1	
袁	yě2	
袋	tai6-	
袋	tai5=	
袍	pau2	
袖	siəu5	
被	pei6-	
被	pei5=	
裁	tsai2	
裂	lp7	
裌	tɕia7	
裏	li2	
裕	ȵ̍5	
裙	tɕyn2	
補	pu2	
裝	tɕyaŋ1	
裳	ʂaŋ2	
裴	pei2	
裸	ko1-	
裸	lo2=	
裹	ko1	
複	附戶=滬戽~互護=婦負富副瓠~子u7	
褒	pau1	
褚	tɕy2	
褥	zəu7	
褪	tʰei5	
褲	kʰu5	
褶	tʂz7	
襄	ɕiaŋ1	
襖	ŋz2	
襟	tɕin1	
襪	ua7	
襯	tsʰən5	
襲	si7	
襻	pʰan5	
西	si1	
要	iau1	
覆	ŋan5	
覆	附戶=滬戽~互護=婦負富副瓠~子u7	
見	tɕiē5	
規	kuei1	
覓	m米i7	
視	ʂʅ5	
親	tsʰin1	
親	tsʰin5	~家
覺	tɕʰio7	
覺	kz5	睡~
覽	lan2	
觀	kõ1	
觀	kõ5	寺~
角	ko7	
解	kai1	
解	xai5	姓氏
觸	tʂʰəu7	
言	iē2	
訂	tin6-	
訂	tin5=	
訃	fu5	
計	tɕi5	
訊	sin5	
討	tʰau1	
訓	ɕyn5	
訖	tɕi7	
記	tɕi5	
訛	o2	
訟	spʰ5	
訣	tɕye7	
訪	faŋ2	
設	ʂz7	
許	ɕȵ2	
訴	səu5	
診	tʂən2	
詐	tsa5	
詔	tʂz5	
評	pin2	
詞	tsõ1	
詞	tsɿ2	
詠	yn5	
試	ʂʅ5	
詩	ʂʅ1	
詭	kuei2	
詰	tʂʅ5	
話	fa6-	
話	fa5=	
該	kai1	
詳	tsiaŋ2	
誅	tɕy1	
誇	kʰua1	
認	zən6-	
認	zən5=	
誓	ʂʅ5	
誕	tan5	
誘	iəu5	
語	ȵ̍2	
語	mei2	
誠	tʂən2	
誣	u1	
誤	u6-	
誤	u5=	
誦	spʰ5	
說	ɕye7	
誰	ɕtɕʰ2	
課	kʰo5	
誼	ȵi2	
誼	ȵi5	
調	tiau2	~和
調	tiau5	音~
談	tan2	
請	tsʰin1	
諒	liaŋ5	
論	lən2	~語
論	lən5	議~
諜	tʰp7	
諧	xai2	
諫	kan5	
諱	fei5	
諸	tɕy1	
諺	ȵiē5	
諾	lo7	
謀	məu2	
謂	uei5	
謄	tən2	
謊	faŋ2	
謎	mei2	
謎	mei6	~子
謗	paŋ5	
謙	tɕʰiē1	
講	kaŋ1-	
講	tɕiaŋ2=	
謝	sp5=	
謝	tsia6-	花~咖噠
謠	iau2	
謬	ȵiəu5	
謹	tɕin2	
證	tʂən5	
譏	tɕi1	
識	ʂʅ7	
譚	tan2	
警	tɕin2	
譬	pei5	
譯	i7	
議	ȵi5	
護	附戶=滬戽~互護=婦負富副瓠~子u6-	
譽	ȵ̍5	
讀	təu7	
變	piē5	
讒	tsan2	
讓	zaŋ6-	
讓	zaŋ5=	
託	tʰo7	
豁	kʰo7	
豆	təu6-	
豆	təu5=	
豈	tɕʰi1	
豉	ʂʅ1	
豎	ɕȵ5	
豐	xpʰ1	
豔	iē5	
豚	tən2	
象	siaŋ5	
豪	xz2	
豫	ȵ̍5	
豬	tɕy1	
豹	pau5	
豺	tsai2	
貂	tiau1	
貌	mau5	
貓	mau1	
貓	miau2	
貝	pei5	
貞	tʂən1	
財	tsai2	
貢	kpʰ5	
貧	pin2	
貨	xo5	
販	fan5	
貪	tʰan1	
貫	kõ5	
貫	kuan5	
責	zən5	
責	tsə7	
貳	z6-	
貳	z5=	
貴	kuei5	
貶	piē2	
買	mai2	
貸	tai5	
費	fei5	
貼	tʰp7	
貿	məu5	
賀	xo5	
賂	lo7	
賃	zən5	
賃	ȵin5	
賄	fei2	
資	tsɿ1	
賈	tɕia2	
賊	ts嘴ei7-	
賊	tsə7=	
賊	tsʰə5-	~古子
賒	ʂa1-	
賒	ʂz1=	
賓	pin1	
賜	tsʰɿ5	
賞	ʂaŋ2	
賠	pei2	
賢	ɕiē2	
賣	mai5	
賤	tsiē6-	
賤	tsiē5=	
賦	fu5	
質	tʂʅ7	
賬	tʂaŋ5	
賭	təu2	
賴	lai6-	
賴	lai5=	
賺	tsan6-	
賺	tsan5=	
購	kəu5	
賽	sai5	
贅	tɕyei5	
贈	tsən5	
贊	tsan5	
贍	ʂə̃5	~養
贏	in2	
贓	tsaŋ1	~物
贖	səu7	
赤	tʂʰʅ7	
赦	ʂz5	
赫	xz7	
走	tsəu2	
赴	fu5	
起	tɕʰi1	
起	xpʰ2	~諷
超	tʂz1	
越	ye7	
趕	kan1	
趙	tʂz5	
趟	tʰaŋ5	
趣	tsʰi5	
趨	tsʰi1	
足	tsəu7	
趼	tɕiē2	
趾	tʂʅ2	
跌	tp7	
跍	ku2	
跑	pʰau1	
距	tɕy5	
跟	kən1	
跡	tsi7	
跨	kʰua1	
跨	kʰua5	
跪	kʰuei1	
路	ləu6-	
路	ləu5=	
跳	tʰiau5	
踏	tʰa7	
踐	tsʰiē1	
踢	tʰi7	
蹄	ti2	
蹤	tspʰ1	
蹲	tsən1	
蹲	ku2	
躁	tsʰau5	
躍	io7	
身	ʂən1	
躬	kpʰ1	
躲	to2	
躺	tʰaŋ1	
車	tʂʰa1-	
車	yn1	
車	tʂʰz1=	
車	tɕy1	~馬炮
軋	tsa7	
軌	kuei2	
軍	tɕyn1	
軒	ɕiē1	
軛	ŋa7-	
軛	ŋz7	
軟	yě2	
軸	tʂʰəu7	
較	ɕiau5	
載	tsai2	
載	tsai5	
輔	pʰu1	
輕	tɕʰin1	
輛	liaŋ2	
輜	tsɿ1	
輦	liē2	
輩	pei6-	
輩	pei5=	
輪	lən2	
輯	tsi7	
輸	ɕȵ1	
轂	ku7	
轄	ɕȵ7	
轉	tɕyě5	
轉	tɕyě2	~眼
轍	tʂʰz7	
轎	tɕiau6-	
轎	tɕiau5=	
轟	fən1	
轟	xpʰ1	
轡	pei5	
辛	sin1	
辣	la7	
辦	pan6-	
辦	pan5=	
辨	piē5	
辭	tsɿ2	
辮	piē6-	
辮	piē5=	
辯	piē5	
辰	ʂən2	
辱	zəu7	
農	lpʰ2	
迂	ȵ̍2	
迅	ɕin5	
迎	in2	
近	tɕin6-	
近	tɕin5=	
迥	ɕyn2	
迫	pʰə7	
述	ɕȵ7	
迷	mei2	
迸	pən5	
追	tɕyei1	
退	tʰei5	
送	spʰ5	
逃	tau2	
逆	ȵi7	
透	tʰəu5	
逐	tʂʰəu7	
途	təu2	
逗	təu1	
逗	təu5	又音
通	tʰpʰ1	
逛	kuaŋ2	
逝	ʂʅ5	
速	səu7	
造	tsʰau5	
逢	xpʰ2	
連	liē2	
進	tsin5	
逵	kuei2	
逸	i7	
逼	pi7	
遁	tən5	
遂	sei5	
遇	ȵ̍5	
遊	iəu2	
運	tan2	
運	yn5	
運	yn6	
遍	pʰiē5	
過	ko5	
遐	ɕȵ2	
道	tau6-	
道	tau5	
達	t打a7	
違	uei2	
遜	sən5	
遝	tʰa7	
遞	ti6-	
遞	ti5=	
遠	yě2	
遣	tɕʰiē1	
適	ʂʅ7	
遭	tsau1	
遮	tʂa1-	
遮	tʂz1=	
遲	tʂʅ2	
遵	tsən1	
遷	tsʰiē1	
選	siē2	
遼	liau2	
避	pei6-	
避	pei5=	
邀	iau1	
邁	man5	
還	xai2	
邊	piē1	
邋	la7	~遢
那	la5	
邦	paŋ1	
邪	sp2	
邵	ʂz5	
郊	tɕiau1	
郎	laŋ2	
郝	xo7	
郡	tɕyn6-	
郡	tɕyn5=	
部	pu5	
部	pu6	
郭	ko7	
郵	iəu2	
都	təu1	
鄂	ŋ我o7	
鄉	ɕiaŋ1	
鄒	tsəu1	
鄙	pʰi1	
鄧	tən6-	
鄧	tən5=	
鄰	lin2	
酉	iəu2	
酌	tʂo7	
配	pei5	
酒	tsiəu2	
酣	xan1	
酥	səu1	
酪	lo7	
酬	tʂəu2	
酵	ɕiau5	
酷	附戶=滬戽~互護=婦負富副瓠~子u7	~刑
酷	kʰu7	殘~
酸	sõ1	
醃	p7	
醇	ɕyn2	
醉	ts嘴ei5	
醒	sin1	
醜	tʂʰəu1	
醫	i1	
醬	tsiaŋ5	
醭	pʰu7	
醮	tsiau5	
釀	zaŋ2	
釁	ɕin5	
釅	ȵiē6-	
釅	ȵiē5=	
采	tsʰai1	
釉	iəu5	
釋	ʂʅ7	
重	tʂpʰ6-	
重	tsai5	
重	tʂpʰ2	~複
重	tʂpʰ5=	~量
野	ȵ̍2-	
野	p2=	
量	liaŋ2	~身
量	liaŋ5	數~
金	tɕin1	
釘	tin1	
釘	tin5	動詞
釜	fu2	
針	tʂən1	
釣	tiau5	
釵	tsʰa1	
釵	tsʰai1	
鈀	pa2	
鈍	tən6-	
鈍	tən5=	
鈔	tsʰau1	
鈞	tɕyn1	
鈴	lin2	
鈸	pʰa7	
鉗	tɕiē2	
鉛	yě2	
鉤	kəu1	
鉸	tɕiau2	
銀	in2	
銃	tʂʰpʰ5	
銅	tpʰ2	
銘	min2	
銜	xan2	
銳	yei5	
銷	siau1	
銼	tsʰo5	
鋒	xpʰ1	
鋤	tsəu2	
鋦	tɕy7	
鋪	pʰu1	~設
鋪	pʰu5	店~
鋸	tɕy5	
鋼	kaŋ1	
鋼	kaŋ5	動詞
錄	ləu7	
錐	tɕyei2	
錘	tɕyei2	
錘	tɕy2	又音
錠	tin6-	
錠	tin5=	
錢	piau2	
錢	tsiē2	
錦	tɕin2	
錨	mau2	
錫	si7	
錮	ku5	
錯	tsʰo5	
鍋	ko1	
鍍	təu5	
鍘	tsa7	
鍛	tõ5	
鍬	tsʰiau1	
鍵	tɕiē5	
鎖	so1	
鎮	tʂən5	
鏡	tɕin5	
鏨	tsan6-	
鏨	tsan5=	
鏵	fa2	
鏽	siəu5	
鏽	iəu5	又音
鐃	iau2	
鐘	tʂpʰ1	
鐙	tən1	
鐧	tɕiē5	
鐮	liē2	
鐲	ts左o7	
鐵	tʰp7	
鐸	tʰo7	
鑄	tɕy5	
鑊	xo7	
鑒	kan5	
鑰	io7	
鑲	ɕiaŋ1	
鑷	ȵp7	
鑼	lo2	
鑽	tsõ1	
鑽	tsõ5	
鑿	tsʰo5	
鉋	pau6-	
鉋	pau5	
鑞	la7	
長	tʂaŋ2	
長	liaŋ2	
門	mən2	
閂	san1	
閃	ʂə̃2	
閉	pei5	
開	kʰai1	
閏	yn5	
閏	yn6	
閑	xan2	
間	kan1	
間	kan5	
閘	tsa7-	
閘	tsa5=	
閣	ko7	
閨	kuei1	
閱	ye7	
閹	iē1	
閻	ȵiē2	
闊	kʰo7	
闖	tsʰaŋ1	
關	kuan1	
闡	pʰi7	
阜	xəu5	
阮	yě2	
防	faŋ2	
阻	tsəu2	
阿	o1	
陋	ləu5	
陌	pʰə7	~生
降	ɕiaŋ2	
降	tɕiaŋ5	
限	xan6-	
限	xan5=	
陛	pei5	
陝	ʂə̃2	
陡	təu2	
院	yě5	
陣	tʂən6-	
陣	tʂən5=	
除	tɕy2	
陪	pei2	
陰	in1	
陳	tʂən2	
陵	lin2	
陶	tau2	
陷	xan6-	
陷	xan5=	
陸	ləu7	
陽	iaŋ2	
隆	lpʰ2	
隊	tei5	
階	kai1	
隔	kz7	
隘	ȵai5	
際	tsi5	
障	tʂaŋ5	
隧	sei5	
隨	sei2	
險	ɕiē2	
隱	in2	
隴	lpʰ2	
隸	tʰi5	
隻	tʂa7-	
隻	tʂʅ7	
雀	tɕʰio7	
雁	ŋan5	
雁	ȵai6	又音
雄	ɕioŋ2	
雅	ȵ̍2	
集	tsi7	
雇	ku5	
雉	tʂʰʅ5	
雌	tsʰɿ1	
雍	ioŋ1	
雕	tiau1	
雖	sei1	
雙	ɕyaŋ1	
雙	saŋ1	又音
雛	tsəu1	
雜	tsa7	
雞	tɕi1	
離	li2	
難	lan2	
難	lan5	患~
雨	ȵ̍2	
雪	sp7	
雲	yn2	
零	lin2	
雷	lei2	
電	tiē5	
需	si1	
霄	siau1	
震	tʂən5	
霍	xo5	
霍	xo7	~亂
霜	ɕyaŋ1	
霞	ɕȵ2	
霧	u6-	
霧	u5=	
露	ləu6-	
露	ləu5=	
霸	pa5	
靈	lin2	
青	tsʰin1	
靖	tsin6-	
靖	tsin5=	
靜	tsin6-	
靜	tsin5=	
非	fei1	
靡	mei2	
面	miē6-	
面	miē5=	
革	kz7	
靭	zən5	
靴	ɕya1-	
靴	ɕye1=	
鞋	xai2	
鞍	ŋan1	
鞏	kpʰ1	
鞘	tsʰiau5	
鞭	piē1	
韁	tɕʰiaŋ1	
韓	xan2	
韭	tɕiəu2	
音	san1	
音	fən1	
音	in1	
音	tʂaŋ1	
音	tspʰ1	
音	ȵi2	
音	mei2	
音	zaŋ2	
韶	ʂz2	
韻	yn5	
響	ɕiaŋ2	
頁	p7	
頂	tin2	
頃	tɕʰyn1	
項	xan6-	
項	xan5=	
順	ɕyn6-	
順	ɕyn5=	
須	si1	
頌	spʰ5	
預	ȵ̍5	
頑	uan2	
頒	pan1	
頓	tən5	
頗	pʰo1	
領	lin2	
領	so7	
頭	təu2	
頭	tʂz6	
頸	tɕin2	
頻	pin2	
顆	kʰo1	
題	ti2	
額	ŋz7	
顏	ŋan2-	
顏	iē2	
願	yě6-	
願	yě5=	
顛	tiē1	
類	lei5	
顧	ku5	
顫	tʂə̃5	
顯	ɕiē2	
顴	tɕyě2	
風	xpʰ1	
颼	səu1	
飄	pʰiau1	
飛	fei1	
食	ʂʅ7	
飩	tən2	
飲	in2	
飴	i2	
飼	sɿ5	
飽	pau2	
飾	ʂʅ7	
餅	pin2	
餈	tsɿ2	
餉	ɕiaŋ2	
養	iaŋ2	
餌	z2	
餐	tsʰan1	
餓	o6-	
餓	o5=	
餘	ȵ̍2	
餛	fən2	
餞	tsiē5	
館	kõ1	
餾	liəu5	
餿	səu1	
饅	mõ2	
饑	tɕi1	
饒	iau2	
饞	tsan2	
首	ʂəu1	
香	ɕiaŋ1	
香	pʰən5	
馨	sən1	
馬	ma2	
馮	xpʰ2	
馱	to2	
馳	tʂʅ2	
駁	po7	
駐	tɕy6-	
駐	tɕy5=	
駒	tɕy1	
駕	ka5	
駕	tɕia5=	
駛	ʂʅ2	
駝	to2	
駭	xai5	
駱	lo7	
騎	tɕi2	
騙	pʰiē5	
騰	tən2	
騷	sau1	
騾	lo2	
驅	tɕʰy1	
驕	tɕiau1	
驗	ȵiē5=	
驚	tɕin1	
驚	tʂʅ7	
驟	tsʰəu7	
驢	li2	
骨	ku7	
髒	tsaŋ1	
髒	tsaŋ5	內~
髓	si2	
體	tʰi1	
高	kz1	
鬃	tspʰ1	
鬢	pin5	
鬥	təu5	
鬧	lau6-	
鬧	lau5=	
鬮	kəu1	拈~
鬱	zəu7	
鬼	kuei2	
魁	kʰuei1	
魂	fən2	
魄	pʰə7	
魏	uei5	
魔	mo2	
魚	ȵ̍2	
魯	ləu2	
鮑	pau5	
鮮	siē1	
鮮	siē2	
鯉	li2	
鯨	tɕin1	
鯰	ȵiē2	
鯽	tsi7	
鰓	sai1	
鰣	ʂʅ2	
鰥	kuan1	
鰭	tɕi1	
鰭	tɕi2	
鱉	pʰp7	
鱖	kuei5	
鱗	lin2	
鳥	tiau2-	
鳩	tɕiəu1	
鳳	xpʰ5	
鳴	min2	
鴉	ŋa1-	
鴉	ȵ̍1=	
鴨	ŋa7-	
鴨	ȵ̍7=	
鴻	xpʰ2	
鴿	ko7	
鵝	o2	
鵡	u2	
鵲	tɕʰio7	
鶯	in1	
鶴	xo7	
鷂	iau6-	
鷂	iau5=	
鷹	in1	
鷺	ləu6-	
鷺	ləu5=	
鸕	ləu2	
鸚	in1	
鸞	lõ2	
鹵	ləu2	
鹹	xan2	
鹽	iē2	
鹿	ləu7	
麗	li5	
麝	ʂz5	
麥	mə7	
麩	fu1	
麪	tɕiəu7	
麻	ma2	
麾	fei1	
黃	faŋ2	
黃	uaŋ2	
黍	ɕȵ2	
黎	li2	
黑	xz7	
默	mə7	
點	tiē2	
黨	taŋ2	
鼎	tin2	
鼓	ku2	
鼠	ɕȵ2	
鼻	pi7	
鼾	xan1	
齊	tsi2	
齋	tsai1	
齒	tʂʰʅ1	
龍	lpʰ2	
龐	paŋ2	
龕	kʰan1	
龜	kuei1	
