#漢字	音標	解釋
#簡稱	/	長樂洋嶼
#全稱	/	長樂洋嶼話
#聲母	/	
#韻母	/	
#聲調	/	21 1 1a 陰平 ꜀,51 2 1b 陽平 ꜁,55 3 2 上 ꜂,,31 5 3 去 ꜄
#版本	/	2022-03-16
#錄入人	/	鶩高赭紗匕
#參考資料	/	《福建洋嶼官話同音字匯》
#說明	/	
俗	su2	
保	pau3	
信	ɕiŋ5	
儉	tɕieŋ3	
俯	xu3	
俱	tɕy5	
俸	fouŋ5	
倍	pe5	
倒	tau3	打～
倒	tau5	～ 水
倘	tʰaŋ3	
候	xeu5	
倚	i3	
借	tɕie5	
倡	tsʰaŋ5	
倦	tɕyeŋ5	
債	tsæε5	
值	tsɿ2	
傾	tɕʰiŋ3	
假	tɕia3	真 ～
假	tɕia5	放～
做	tsuo5	
停	tʰiŋ2	
健	tɕieŋ5	
偶	ŋeu3	
償	tsʰaŋ2	
傅	xu5	
傍	paŋ5	
儲	tsʰu2	
傲	ŋau5	
傻	sa3	
像	ɕiaŋ5	
允	yŋ3	
元	yeŋ2	
免	mieŋ3	
兔	tʰu5	
黨	taŋ3	
全	tɕʰyeŋ2	
八	pa2	
六	liu5	
共	kouŋ5	
興	ɕiŋ5	高 ～
其	tɕʰi2	
具	tɕy5	
典	tieŋ3	
養	iaŋ3	
獸	seu5	
冉	zaŋ3	
冊	tsʰɤ2	
再	tsæε5	
冒	mau5	
寫	ɕie3	
冠	kuaŋ5	～军
馮	fouŋ2	
况	kʰuaŋ5	
冷	leiŋ5	
凍	touŋ5	
淨	tɕiŋ5	
準	tɕyeŋ3	批 ～ ; 标 ～
凌	liŋ2	
減	tɕieŋ3	
湊	tsʰeu5	
几	tɕi3	茶 ～ ; ～ 个
凡	faŋ2	
鳳	fouŋ5	
凭	pʰiŋ2	
凱	kʰæε3	
凳	teiŋ5	
出	tsʰu2	
擊	tɕi2	
函	xaŋ2	
刃	zeiŋ5	
刑	ɕiŋ2	
划	xua2	～ 船
划	xua5	～ 线
創	tsʰuaŋ5	
判	pʰaŋ5	
刨	pʰau5	～花
利	li5	
别	pie2	
刮	kua2	
到	tau5	
制	tsɿ5	管～ ; ～造
券	tɕʰyeŋ5	
刺	tsʰɿ5	
剁	tuo5	
劑	tɕi5	
剃	tʰi5	
前	tɕʰieŋ2	
剮	kua3	
劍	tɕieŋ5	
剔	tʰi2	
剝	puo2	
劇	tɕy5	
剩	seiŋ5	
剪	tɕieŋ3	
副	xu5	
割	kuo2	
剿	tɕiau3	
劈	pʰi3	
勸	tɕʰyeŋ5	
辦	paŋ5	
務	u5	
動	touŋ5	
助	tsu5	
努	nu3	
劫	tɕie2	
勵	li5	
勁	tɕiŋ5	
勢	sɿ5	
勇	iouŋ3	
勉	mieŋ3	
勤	tɕʰiŋ2	
勺	sau2	
勻	yŋ2	
化	xua5	
匙	sɿ2	汤 ～ ; 钥～
匠	tɕiaŋ5	
匣	ɕia2	
匪	fe3	
匹	pʰi2	
匾	pieŋ3	
十	sɿ2	
午	u3	
半	paŋ5	
華	xua2	
協	ɕie2	
卒	tsu2	
賣	mæε5	
博	puo2	
卜	puo5	萝～
占	tsaŋ5	
卤	lu3	
卦	kua5	
臥	uo5	
衛	ve5	
卯	mau3	
印	iŋ5	
危	ve2	
即	tɕi5	
卵	luaŋ3	鸡～ : 鸡蛋
卷	tɕyeŋ3	
卷	tɕyeŋ5	～子
卸	ɕie5	
廠	tsʰaŋ3	
厲	li5	
壓	ia2	
厭	ieŋ5	
廁	sɿ5	茅～
厚	xeu5	
原	yeŋ2	
厦	ɕia5	
廚	tsʰu2	
去	tɕʰy5	～ 皮
去	kʰɤ5	
縣	ɕieŋ5	
参	iouŋ5	
又	iu5	
及	tɕi2	
友	iu3	
反	faŋ3	
叔	su2	
取	tɕʰy3	
受	seu5	
變	pieŋ5	
敘	ɕy5	
叟	seu3	
疊	tie2	
口	kʰeu3	
古	ku3	
句	tɕy5	
另	liŋ5	
叩	kʰeu5	
只	tsɿ3	～有
叫	tɕiau5	
召	tsau5	
可	kʰuo3	
台	tʰæε2	～湾
史	sɿ3	
右	iu5	
葉	ie5	
號	xau5	～数
嘆	tʰaŋ5	
吃	tsʰɿ2	
各	kɤ2	
合	xuo2	
吉	tɕi2	
吊	tiau5	
同	tʰouŋ2	
后	xeu5	皇～
吏	li5	
吐	tʰu3	
吐	tʰu5	呕～
向	ɕiaŋ5	
嚇	ɕia5	
吕	ly3	
吝	liŋ5	
含	xaŋ2	
启	tɕʰi3	
吴	u2	
吵	tsʰau3	
吸	ɕi2	
吻	veiŋ3	
告	kau5	
嘔	ŋeu3	
員	yeŋ2	
味	ve5	
命	miŋ5	
和	xuo2	～气
和	xuo5	～面
咎	tɕiu5	
咒	tseu5	
咬	iau3	
咸	ɕieŋ2	
品	pʰiŋ3	
哄	xouŋ3	～小孩
哄	xouŋ5	起～
響	ɕiaŋ3	
啞	ia3	
噦	ye3	干～ : 干呕
哪	na3	
哭	kʰu2	
哽	keiŋ3	
脣	tsʰeiŋ2	
唐	tʰaŋ2	
喚	xuaŋ5	
售	seu5	
唯	ve2	
唱	tsʰaŋ5	
唾	tʰu5	～沫
啃	kʰeiŋ3	
啤	pʰi2	
善	saŋ5	
喊	xaŋ3	
喒	tsaŋ3	晚 ～ 黑: 夜晚
喘	tsʰuaŋ3	厚～ : 气喘
喜	ɕi3	
喝	xuo5	～采
喻	y5	
嗓	saŋ3	
嗽	seu5	
嘴	tɕy3	
噎	ie2	
器	tɕʰi5	
嚷	zaŋ3	
嚼	tɕiau2	
囚	tɕʰiu2	
四	sɿ5	
回	xui2	
園	yeŋ2	
困	kʰueŋ5	
圍	ve2	
固	ku5	
國	kuo2	
圓	yeŋ2	
圈	tɕʰyeŋ5	猪～
土	tʰu3	
聖	seiŋ5	
在	tsæε5	
地	ti5	
場	tsʰaŋ2	
圾	tɕi2	
址	tsɿ3	
坎	kʰaŋ3	
壞	xuæε5	
坐	tsuo5	
坛	tʰaŋ2	
壩	pa5	
墳	feiŋ2	
坦	tʰaŋ3	
坳	ŋau5	山～
垂	tɕʰy2	
型	ɕiŋ2	
墾	kʰeiŋ3	
墊	tieŋ5	跪 ～ : 蒲团
垮	kʰua3	
城	tsʰeiŋ2	
培	pʰe2	
堂	tʰaŋ2	
堡	pau3	
堵	tu3	
塌	tʰa2	
塑	su5	
塔	tʰa2	
塘	tʰaŋ2	
塞	sɤ2	
填	tʰieŋ2	
境	tɕiŋ3	
墓	mu5	
牆	tɕʰiaŋ2	
壁	pi5	
壕	xau2	
壤	zaŋ3	
士	sɿ5	
壬	zeiŋ2	
壯	tsuaŋ5	
殼	kʰuo2	
壺	xu2	
處	tsʰu3	相～
處	tsʰu5	～长
備	pe5	
复	xu2	
夏	ɕia5	姓
夏	ɕia5	春～
夕	ɕi2	
外	væε5	
夜	ie5	
够	keu5	
大	ta5	
大	tæε5	～夫
太	tʰæε5	
失	sɿ2	
頭	tʰeu2	
夾	tɕia2	
奪	tuo2	
奇	tɕʰi2	
奈	læε5	
奉	fouŋ5	
奮	feiŋ5	
奎	kʰui2	
契	tɕʰi5	
獎	tɕiaŋ3	
套	tʰau5	
奠	tieŋ5	
奧	ŋau5	
女	ny3	
好	xau3	～ 坏
好	xau5	喜～
妄	vaŋ5	
婦	xu5	
妒	tu5	
妓	tɕi5	
妙	miau5	
妥	tʰuo3	
妹	me5	
姊	tsɿ3	
始	sɿ3	
姐	tɕie3	
姓	ɕiŋ5	
委	ve3	
姘	pʰiŋ5	
姚	iau2	
姥	lau3	
姨	i2	
娩	mieŋ3	
娛	y5	
娶	tɕʰy3	
婆	pʰuo2	
婊	piau3	
婢	pi5	
嬸	seiŋ3	
婿	ɕy5	
媳	ɕi2	
嫁	tɕia5	
嫂	sau3	
嫌	ɕieŋ2	
嫖	pʰiau2	
子	tsɿ3	
孔	kʰouŋ3	
孕	yŋ5	
字	tsɿ5	
存	tɕʰyeŋ2	
孝	ɕiau5	
孟	mouŋ5	
季	tɕi5	
學	ɕye2	
寧	niŋ5	～可
宇	y3	
守	seu3	
宋	souŋ5	
完	vaŋ2	
宏	xouŋ2	
宙	tseu5	
定	tiŋ5	
宜	i2	
寶	pau3	
實	sɿ2	
寵	tsʰouŋ3	
審	seiŋ3	
室	sɿ2	
宦	xuaŋ5	
宪	ɕieŋ5	
宰	tsæε3	
害	xæε5	
宴	ieŋ5	
容	iouŋ2	
宿	su2	
宿	ɕiu5	星～
寄	tɕi5	
密	mi2	
寇	kʰeu5	
富	xu5	
寒	xaŋ2	
寓	y5	
寢	tɕʰiŋ3	
察	tsʰa2	
寡	kua3	
寨	tsæε5	
寸	tɕʰyeŋ5	
寺	sɿ5	
尋	ɕyŋ2	
導	tau5	
壽	seu5	
射	sɿ2	
射	sɤ5	
將	tɕiaŋ5	大～
小	ɕiau3	
少	sau3	多 ～
少	sau5	
尔	ɤ3	
尘	tsʰeiŋ2	
尚	saŋ5	
嘗	tsʰaŋ2	
尤	iu2	
堯	iau2	
就	tɕiu5	
尺	tsʰɿ2	
尽	tɕiŋ5	～力
尾	ve3	
尿	niau5	
局	tɕy2	
屁	pʰi5	
層	tsʰeiŋ2	
屈	tɕʰy2	
屉	tʰi5	
屆	kæε5	
屋	u2	
屎	sɿ3	
屑	ɕie2	
展	tsaŋ3	
屬	su2	
屯	tʰyeŋ2	
嶼	sɿ2	洋～ : 本地地名
歲	ɕye5	
岔	tsʰa5	
島	tau3	
岩	ŋaŋ2	
岭	liŋ3	
岸	ŋaŋ5	
峽	ɕia2	
崇	tsʰouŋ2	
崖	ia2	
崖	ŋæε2	
崽	tsæε3	
巡	ɕyŋ2	
巢	tsʰau2	
左	tsuo3	
巧	tɕʰiau3	
巨	tɕy5	
鞏	kouŋ3	
己	tɕi3	
已	i3	
巳	sɿ5	
巷	ɕiaŋ5	
幣	pi5	
市	sɿ5	
布	pu5	
帥	ɕyæε5	
帆	faŋ2	
帳	tsaŋ5	
帕	pʰa5	
帚	tseu3	
帝	ti5	
帶	tæε5	
席	ɕi2	
常	tsʰaŋ2	
帽	mau5	
幅	xu2	
幔	maŋ5	
幕	mu5	
干	kaŋ5	树～
平	pʰiŋ2	
年	tɕy2	
年	liaŋ3	
年	xouŋ5	
并	piŋ5	合～ ; ～肩
幸	ɕiŋ5	
幻	xuaŋ5	
幼	iu5	
廣	kuaŋ3	
慶	tɕʰiŋ5	
庇	pi5	
牀	tsʰuaŋ2	
序	ɕy5	
庫	kʰu5	
應	iŋ5	响～
底	ti3	
店	tieŋ5	
廟	miau5	
府	xu3	
龐	pʰaŋ2	
廢	fe5	
度	tu5	
座	tsuo5	
庭	tʰiŋ2	
廖	liau5	
延	ieŋ2	
廷	tʰiŋ2	
建	tɕieŋ5	
异	i5	
弃	tɕʰi5	
弄	louŋ5	
弊	pi5	
式	sɿ5	
引	iŋ3	
弘	xouŋ2	
弟	ti5	
弦	ɕieŋ2	
彈	tʰaŋ2	
彈	taŋ5	子～
强	tɕʰiaŋ2	～大
强	tɕʰiaŋ3	勉～
當	taŋ5	～ 作; ～ 铺
形	ɕiŋ2	
彩	tsʰæε3	
彭	pʰouŋ2	
影	iŋ3	
役	i2	
徹	tsʰɤ2	
彼	pi3	
往	vaŋ3	
待	tæε5	
很	xeiŋ3	
後	xeu5	～来
徐	ɕy2	
得	tɤ2	
徙	ɕi3	
御	y5	
循	ɕyŋ2	
微	ve2	
德	tɤ2	
必	pi2	
憶	i2	
忌	tɕi5	
忍	zeiŋ3	
志	tsɿ5	
忘	vaŋ5	
念	nieŋ5	
忽	xu3	
忿	feiŋ5	
態	tʰæε5	
慫	souŋ2	
慪	ŋeu5	
怒	nu5	
怕	pʰa5	
怖	pu5	
急	tɕi2	
怨	yeŋ5	
怪	kuæε5	
總	tsouŋ3	
戀	nieŋ5	
恐	kʰouŋ3	
恆	xeiŋ2	
恕	su5	
恨	xeiŋ5	
息	ɕi2	
恶	uo2	
恶	u5	可 ～
惱	nau3	
悉	ɕi2	
悔	xui3	
悟	u5	
患	xuaŋ5	
懸	ɕyeŋ2	
憫	miŋ3	
情	tɕʰiŋ2	
惜	ɕi2	
惟	ve2	
懼	tɕy5	
慘	tsʰaŋ3	
懲	tsʰeiŋ2	
慚	tsʰaŋ2	
慣	kuaŋ5	
惰	tuo5	
想	ɕiaŋ3	
惹	zɿ3	
愁	tsʰeu2	
意	i5	
感	kaŋ3	
憤	feiŋ5	
願	yeŋ5	
慈	tsʰɿ2	
慎	seiŋ5	
慕	mu5	
慢	maŋ5	
慨	kʰæε5	
憾	xaŋ5	
懂	touŋ3	
懊	ŋau3	
懶	laŋ3	
懵	mouŋ3	
戊	u5	
戎	iouŋ2	
戲	ɕi5	
成	tsʰeiŋ2	
我	uo3	
戒	kæε5	
或	xuo2	
戰	tsaŋ5	
戚	tɕʰi2	
戳	tsʰuo2	
戴	tæε5	
戶	xu5	
房	faŋ2	
所	suo3	
扁	pieŋ3	
扇	saŋ5	名词
手	seu3	
才	tsʰæε2	
扎	tsa2	
扑	pʰu2	
打	ta3	
托	tʰuo2	
扛	kʰaŋ2	
扣	kʰeu5	
執	tsɿ2	
擴	kʰuo2	
掃	sau3	～ 地
掃	sau5	～帚
揚	iaŋ2	
扭	niu3	
扮	paŋ5	
扯	tsʰɤ3	
擾	zau3	
扶	xu2	
找	tsau3	
承	tsʰeiŋ2	
技	tɕi5	
把	pa3	
投	tʰeu2	
抖	teu3	
抗	kʰaŋ5	
折	tsɤ2	～断
撫	xu3	
搶	tɕʰiaŋ3	
護	xu5	
報	pau5	
抬	tʰæε2	
抱	pau5	
抵	ti3	
抹	ma2	
抹	muo2	
押	ia2	
拄	tsu3	
擔	taŋ5	挑～
拆	tsʰɤ2	
拇	mu3	
拌	paŋ5	
拐	kuæε3	
拒	tɕy5	
拓	tʰuo5	
拔	pa2	
拜	pæε5	
擬	ni3	
攏	louŋ3	
揀	tɕieŋ3	
擁	iouŋ3	
撥	puo2	
擇	tsɤ2	～菜
括	kʰuo2	
拯	tseiŋ3	
拱	kouŋ3	
拳	tɕʰyeŋ2	
拾	sɿ2	～起来
持	tsʰɿ2	
挂	kua5	
指	tsɿ3	
按	ŋaŋ5	
擋	taŋ3	
擠	tɕi3	
振	tseiŋ5	
挺	tʰiŋ3	
挽	vaŋ3	
捅	tʰouŋ3	
捕	pu3	
損	ɕyeŋ3	
換	xuaŋ5	
捧	pʰouŋ3	
据	tɕy5	
捱	ŋæε2	
捶	tɕʰy2	
授	seu5	
掉	tiau5	
掌	tsaŋ3	
掘	tɕy3	
探	tʰaŋ5	
接	tɕie2	
控	kʰouŋ5	
掩	ieŋ3	
掭	tʰieŋ3	～笔
撣	taŋ3	鸡毛～ ～
提	tʰi2	
插	tsʰa2	
揞	ŋaŋ5	～住
握	u2	
揢	tɕʰia5	～ 住: 抓紧。《广韵》苦格切， “手把着也。”
揭	tɕie2	
援	yeŋ2	
攬	laŋ3	
擱	kɤ2	
摟	leu3	
攪	tɕiau3	
搞	kau3	
搭	ta2	
摁	ŋeiŋ5	
摆	pæε3	
摇	iau2	
摘	tsɤ2	
摞	luo5	
摩	muo2	
撒	sa2	
撞	tsuaŋ5	
撤	tsʰɤ2	
撬	tɕʰiau5	
撮	tsʰuo2	一～米: 一把米
攆	nieŋ3	
撼	xaŋ5	
擤	ɕiŋ3	
擦	tsʰa2	
攘	zaŋ3	
改	kæε3	
放	faŋ5	
政	tseiŋ5	
故	ku5	
效	ɕiau5	
敵	ti2	
敏	miŋ3	
救	tɕiu5	
教	tɕiau5	
斂	lieŋ3	
敢	kaŋ3	
散	saŋ3	鞋带 ～ 了
散	saŋ5	分～
敬	tɕiŋ5	
數	su3	动词
數	su5	名词
整	tseiŋ3	
文	veiŋ2	
文	iouŋ5	
斗	teu3	容器
斗	teu5	～争
料	liau5	
斜	ɕie2	
斥	tsʰɿ2	
斧	xu3	
斬	tsaŋ3	
斷	tuaŋ5	
方	liŋ2	
方	ɕiau3	
旁	pʰaŋ2	
旅	ly3	
旋	ɕyeŋ2	
族	tsu2	
旗	tɕʰi2	
无	u2	
旦	taŋ5	
舊	tɕiu5	
旨	tsɿ3	
早	tsau3	
旬	ɕyŋ2	
旱	xaŋ5	
時	sɿ2	
曠	kʰuaŋ5	
旺	vaŋ5	
昂	ŋaŋ2	
易	i5	难～
映	iŋ5	
昧	me5	
是	sɿ5	
晝	tseu5	
顯	ɕieŋ3	
晃	xuaŋ5	
晌	saŋ3	～午点: 中午
曬	sæε5	
曉	ɕiau3	
晚	vaŋ3	
晨	tsʰeiŋ2	
普	pʰu3	
景	tɕiŋ3	
晴	tɕʰiŋ2	
智	tsɿ5	
暫	tsaŋ5	
暑	su3	
暗	ŋaŋ5	
暮	mu5	
暴	pau5	
曲	tɕʰy2	歌～
曲	kʰuo2	～ 尺: 摺 尺; ～ 蹄: 对 渔 民 的 贬 称
更	keiŋ5	～加
曹	tsʰau2	
曾	tsʰeiŋ2	
替	tʰi5	
最	tɕye5	
有	iu3	
朋	pʰouŋ2	
服	xu2	
朗	laŋ3	
望	vaŋ5	
朝	tsʰau2	
期	tɕʰi2	
期	tɕy2	
期	liaŋ3	几钱
期	xouŋ5	
未	ve5	
末	muo2	
本	peiŋ3	
术	su2	
朴	pʰiau2	姓
朵	tuo3	
朽	ɕiu3	
殺	sa2	
雜	tsa2	
權	tɕʰyeŋ2	
杆	kaŋ3	
李	li3	
杏	ɕiŋ5	
材	tsʰæε2	
杖	tsaŋ5	
杜	tu5	
杞	tɕʰi2	
束	su2	
杠	kaŋ5	
條	tʰiau2	
楊	iaŋ2	
杭	xaŋ2	
杰	tɕie2	
杵	tsʰu3	
板	paŋ3	
極	tɕi2	
構	keu5	
枇	pʰi2	
枉	vaŋ3	
析	ɕi2	
枕	tseiŋ3	
林	liŋ2	
果	kuo3	
棗	tsau3	
架	tɕia5	
柄	piŋ3	
某	meu3	
染	zaŋ3	
柚	iu5	
柩	tɕiu5	
柬	tɕieŋ3	
柱	tsu5	
柳	liu3	
柴	tsʰæε2	
柿	sɿ5	
柵	tsa2	
棧	tsaŋ5	
棟	touŋ5	
樹	su5	
校	tɕiau5	
校	ɕiau5	学～
樣	iaŋ5	
核	xuo2	审 ～
格	kɤ2	
桃	tʰau2	
案	ŋaŋ5	
桐	tʰouŋ2	
桓	xuaŋ2	
檔	taŋ3	
橋	tɕʰiau2	
槳	tɕiaŋ3	
桶	tʰouŋ3	
梓	tsɿ3	
梗	keiŋ3	
夢	mouŋ5	
梧	u2	
械	xæε5	
檢	tɕieŋ3	
棋	tɕʰi2	
棒	paŋ5	
棚	pʰouŋ2	
椅	i3	
植	tsɿ2	
橢	tʰuo3	
楚	tsʰu3	
楷	kʰæε3	
概	kæε5	
欖	laŋ3	
榜	paŋ3	
榨	tsa5	
檻	kʰaŋ3	
槽	tsʰau2	
模	muo2	
橫	xuiŋ2	一 ～ 一划; 蛮 ～
橂	teiŋ5	坚 硬。 《集韵》堂练切，“木理坚密也。”
橄	kaŋ3	
橘	tɕy2	
橙	tsʰeiŋ2	
橡	ɕiaŋ5	
櫓	lu3	
檐	ieŋ2	
欠	tɕʰieŋ5	
次	tsʰɿ5	
欲	y5	
款	kʰuaŋ3	
歇	ɕie2	
歉	tɕʰieŋ5	
止	tsɿ3	
正	tseiŋ5	
此	tsʰɿ3	
步	pu5	
武	u3	
死	sɿ3	
殘	tsʰaŋ2	
殖	tsɿ2	
段	tuaŋ5	
殿	tieŋ5	
毁	xui3	
毅	i5	
母	mu3	
每	me3	
毒	tu2	
比	pi3	
畢	pi2	
斃	pi5	
毛	mau2	
毫	xau2	
毯	tʰaŋ3	
毽	tɕieŋ5	
氏	sɿ5	
气	tɕʰi5	
水	ɕy3	
永	iouŋ3	
汁	tsɤ2	
求	tɕʰiu2	
漢	xaŋ5	
汗	xaŋ5	
汝	y3	
池	tsʰɿ2	
汽	tɕʰi5	
沈	seiŋ3	
沉	tsʰeiŋ2	
沓	ta2	一 ～ 纸
沒	muo2	沉～
滬	xu5	
沫	mi3	唾 ～
河	xuo2	
油	iu2	
治	tsɿ5	
沿	yeŋ2	
泄	ɕie5	
泉	tɕʰyeŋ2	
泌	mi5	
泛	faŋ5	
泡	pʰau5	
泣	tɕʰi5	
注	tsu5	
淚	lye5	
泰	tʰæε5	
泳	iouŋ3	
瀉	ɕie5	
潑	pʰuo2	
澤	tsɤ2	
潔	tɕie2	
洋	iaŋ2	
洒	sa3	
洗	ɕi3	
洞	touŋ5	
洪	xouŋ2	
活	xuo2	
派	pʰæε5	
淺	tɕʰieŋ3	
漿	tɕiaŋ5	
測	tsʰɤ2	
濟	tɕi5	
渾	xuiŋ2	
滸	xu3	
浙	tsɤ2	
浩	xau5	
浪	laŋ5	
浮	xu2	
浴	y5	
海	xæε3	
浸	tɕiŋ5	
涌	iouŋ3	
涕	tʰi5	
澇	lau5	
潤	yŋ5	
漲	tsaŋ3	
澀	sɤ2	
涮	ɕyeŋ5	～嘴: 漱口
涯	ia2	
液	i5	
淋	liŋ2	
淘	tʰau2	
淡	taŋ5	
混	xuiŋ5	
漸	tɕieŋ5	
漁	y2	
滲	seiŋ5	
渠	tɕʰy2	
渡	tu5	
港	kaŋ3	
渴	kʰuo2	
游	iu2	
渺	miau3	
湖	xu2	
溼	sɿ2	
濺	tɕieŋ5	
源	yeŋ2	
溜	liu5	
滑	xua2	
滿	maŋ3	
濾	ly5	
濫	laŋ5	
滴	ti2	
漂	pʰiau3	～ 白
漂	pʰiau5	～亮
漆	tɕʰi2	
漏	leu5	
演	ieŋ3	
漫	maŋ5	
漱	su5	
潛	tɕʰieŋ3	
潭	tʰaŋ2	
潮	tsʰau2	
潲	sau5	猪食
澄	tsʰeiŋ2	
澡	tsau3	
激	tɕi2	
瀑	pʰu5	
灌	kuaŋ5	
火	xuo3	
靈	liŋ2	
竈	tsau5	
灸	tɕiu3	
燦	tsʰaŋ5	
炎	ieŋ2	
炒	tsʰau3	
炕	kʰaŋ5	
炖	tyeŋ5	
炭	tʰaŋ5	
炮	pʰau5	
炸	tsa5	
點	tieŋ3	
炼	lieŋ5	
爛	laŋ5	
燭	tsu2	
煩	faŋ2	
燙	tʰaŋ5	
煥	xuaŋ5	
燜	meiŋ5	
焚	feiŋ2	
焰	ieŋ5	
照	tsau5	
煮	tsu3	
熄	ɕi2	
熊	ɕiouŋ2	
熔	iouŋ2	
熟	su2	
熨	yŋ5	
燕	ieŋ5	家 ～
爆	pau5	
爪	tsua3	～子
愛	ŋæε5	
父	xu5	
爸	pa5	
爽	suaŋ3	
片	pʰieŋ5	
版	paŋ3	
牙	ia2	
牛	niu2	
牡	mu3	
物	u2	
犢	tu2	
犟	tɕiaŋ5	
犬	tɕʰyeŋ2	
犯	faŋ5	
狀	tsuaŋ5	
猶	iu2	
狂	kʰuaŋ2	
狐	xu2	
狗	keu3	
狡	tɕiau3	
獨	tu2	
狹	ɕia2	
獄	y5	
猛	mouŋ3	
猬	ve5	
獻	ɕieŋ5	
獻	iouŋ5	
玄	ɕyeŋ2	
玉	y5	
王	vaŋ2	
玩	vaŋ2	
環	xuaŋ2	
現	ɕieŋ5	
球	tɕʰiu2	
理	li3	
瑣	suo3	
琴	tɕʰiŋ2	
琵	pʰi2	
瑞	ɕye5	
璧	pi5	
瓠	xu2	
瓢	pʰiau2	
瓣	paŋ5	
瓦	ua3	
瓮	ouŋ5	
瓶	pʰiŋ2	
瓷	tsʰɿ2	
甚	seiŋ5	
甜	tʰieŋ2	
用	iouŋ5	
田	tʰieŋ2	
由	iu2	
甲	tɕia2	
電	tieŋ5	
畫	xua5	
暢	tsʰaŋ5	
界	kæε5	
畏	ve5	
