#漢字	音標	解釋
□	tsʰɿ1	擦
吉	tɕi2	
吊	tiao5	
同	tʰoŋ2	
名	min2	
后	xəu5	
吐	tʰuə3	
吐	tʰuə5	呕吐
向	ɕiaŋ5	
嚇	xɛ2	
呂	li3	
君	tɕin1	
吞	tʰən1	
吟	in2	
否	fəu3	
吨	tən1	
含	xan2	
聽	tʰin1	
吮	ʂuən3	
啓	tɕʰi3	
吳	uə2	
吵	tʂʰao42	
吸	ɕi2	
吹	tʂʰuei1	
吼	xəu3	
呆	tai1	
告	kao5	
嘔	əu3	
員	in2	
嗆	tɕʰiaŋ5	
呢	ni1	毛~
周	tʂəu1	
呸	pʰei5	
呼	xuə1	
命	min5	
和	xo2	
咒	tʂəu5	
咖	kʰa1	
咨	tsɿ1	
咩	mɛ1	
咬	iao3	
咱	tsa1	
咳	kʰɛ5	
哀	ai1	
品	pʰin3	
哄	xoŋ1	~堂
哄	xoŋ3	~骗
哇	ua1	
哈	xa1	
哉	tsai1	
響	ɕiaŋ3	
啞	ia3	
哥	ka1	
哨	ʂao5	
哩	li1	
哪	na3	
哭	kʰuə2	
哼	xən1	
哽	kən3	
唆	so1	
脣	tʂʰuən2	
唉	ai1	
唐	tʰaŋ2	
嘮	lao1	
售	ʂəu5	
唯	uei2	
唱	tʂʰaŋ5	
商	ʂaŋ1	
啊	a3	
啥	ʂa3	
囉	lo1	啰嗦
善	ʂan5	
喉	xəu2	
喊	xan3	
喘	tʂʰuan3	
喜	ɕi3	
喝	xo1	
喵	miao1	
噴	pʰən1	
嗒	ta3	
嗓	saŋ3	
嗨	xai1	
嗽	səu5	
嘎	ka3	
嘴	tsei3	
嚕	luə1	
噩	o2	
嚏	tʰi2	
嚏	tʰiɛ5	
嚓	tsʰa1	
嚷	ʐaŋ3	
嚼	tɕio2	
囊	naŋ42	
囔	naŋ1	
囚	tɕʰiəu2	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰan2	
園	in2	
困	kʰuən5	
囱	tsʰoŋ1	
圍	uei2	
固	kuə5	
國	ko2	
圖	tʰuə2	
圈	tɕʰin1	
土	tʰuə3	
在	tsai5	
地	ti5	
均	tɕin1	
坎	kʰan42	
壞	xuai42	
坐	tso5	
坑	kʰən1	
堅	tɕin1	
坛	tʰan2	
壩	pa5	
墳	fən2	
墜	tʂuei5	
坡	pʰo1	
坤	kʰuən1	
坦	tʰan3	
坳	ua5	
垂	tʂʰuei2	
垒	lei3	
墊	tin5	
垮	kʰua3	
埃	ai1	
埋	mai2	
域	iəu2	
培	pʰei2	
基	tɕi1	
堂	tʰaŋ2	
堆	tei1	
墮	to213	
堪	kʰan1	
堵	tuə3	
塌	tʰa2	
塔	tʰa2	
塞	sɛ2	
填	tʰin2	
墓	muə5	
牆	tɕʰiaŋ2	
墨	mɛ5	
壁	pi5	
壕	xao2	
壤	ʐaŋ3	
士	sɿ5	
壯	tʂuaŋ5	
聲	ʂən1	
殼	kʰo2	
壺	xuə2	
處	tʂʰuə42	~理
處	tʂʰuə5	到~
复	fuə2	
夏	ɕia5	
外	uai5	
多	to1	
夜	iɛ5	
够	kəu5	
大	ta5	
天	tʰin1	
太	tʰai5	
夫	fuə1	
央	iaŋ1	
夯	xaŋ1	
頭	tʰəu2	
夸	kʰua1	
夾	tɕia2	
奪	to2	
奇	tɕʰi2	
奈	nai5	
奮	fən5	
奏	tsəu5	
奔	pən1	
奔	pən5	投~
獎	tɕiaŋ3	
套	tʰao5	
奧	ao5	
女	ni42	
奴	nuə2	
奶	nai3	
奶	nai1	祖母
她	tʰa1	
好	xao3	
好	xao5	爱~
如	ʐuə2	
妝	tʂuaŋ1	
婦	fuə5	
媽	ma1	
妖	iao1	
妙	miao5	
妥	tʰo3	
妹	mei5	
妻	tɕʰi1	
姊	tsɿ3	
姐	tɕiɛ42	
姑	kuə1	
姓	ɕin5	
委	uei3	
姚	iao2	
姜	tɕiaŋ1	
姥	lao3	
姨	i2	
姿	tsɿ1	
威	uei1	
娃	ua2	
娘	niaŋ2	
婆	pʰo2	
嬰	in1	
媳	ɕi2	
嫁	tɕia5	
嫂	sao3	
嫖	pʰiao2	
嫩	lən5	
孀	ʂuaŋ1	
孃	niaŋ1	
子	tsɿ3	
孔	kʰoŋ3	
字	tsɿ5	
存	tsʰən2	
孫	sən1	
孝	ɕiao5	
孟	moŋ5	
季	tɕi5	
孤	kuə1	
學	ɕio2	
孩	xai2	
孬	nao1	
孽	niɛ5	
寧	nin2	
它	tʰa1	
宅	tʂai2	
守	ʂəu3	
安	an1	
宋	soŋ5	
完	uan2	
宏	xoŋ2	
宗	tsoŋ1	
官	kuan1	
宙	tʂəu5	
定	tin5	
寶	pao3	
實	ʂʅ2	
寵	tʂʰoŋ3	
審	ʂən3	
客	kʰɛ5	
室	ʂʅ2	
宮	koŋ1	
宰	tsai3	
害	xai5	
家	tɕia1	
容	ʐoŋ2	
寬	kʰuan1	
賓	pin1	
宿	suə5	
寄	tɕi5	
密	mi2	
寇	kʰəu5	
富	fuə5	
寒	xan2	
察	tʂʰa2	
寡	kua3	
寨	tʂai5	
寸	tsʰən213	
對	tei5	
寺	sɿ5	
尋	ɕin2	
壽	ʂəu5	
封	foŋ1	
射	ʂɛ5	
將	tɕiaŋ5	
尊	tsən1	
小	ɕiao3	
少	ʂao3	
少	ʂao5	~年
尔	æ3	
尖	tɕin1	
塵	tʂʰən2	
尚	ʂaŋ323	
尤	iəu2	
尬	ka2	
就	tɕiəu5	
屍	ʂʅ1	
尺	tʂʰʅ2	
尾	uei3	
尿	niao5	
局	tɕiəu2	
屁	pʰi213	
層	tsʰən2	
居	tɕi1	
屉	tʰi1	
屆	kai5	
屋	uə1	
屎	ʂʅ3	
展	tʂan3	
屯	tʰən2	
山	ʂan1	
歲	sei5	
豈	tɕʰi3	
岔	tʂʰa5	
崗	kaŋ3	
島	tao3	
巖	in2	
岸	an5	
崇	tʂʰoŋ2	
崔	tsʰei1	
崖	ia2	
崖	ai2	
崩	poŋ1	
崴	uai3	
川	tʂʰuan1	
州	tʂəu1	
巢	tʂʰao2	
工	koŋ1	
左	tso3	
巧	tɕʰiao3	
巨	tɕi5	
鞏	koŋ3	
差	tʂʰa1	
差	tʂʰai1	
己	tɕi3	
巴	pa1	
巷	xaŋ5	
巾	tɕin1	
市	ʂʅ5	
布	puə5	
帥	ʂuai5	
帆	fan2	
師	sɿ1	
希	ɕi1	
帕	pʰa5	
帖	tʰiɛ2	
帘	lin2	
帝	ti5	
帶	tai5	
幫	paŋ1	
常	tʂʰaŋ2	
幢	tʂuaŋ5	
幢	toŋ5	
干	kan5	
干	kan1	~脆
平	pʰin2	
年	nin2	
并	pin5	
幸	ɕin5	
幻	xuan5	
幼	iəu5	
廣	kuaŋ3	
莊	tʂuaŋ1	
慶	tɕʰin5	
牀	tʂʰuaŋ2	
庫	kʰuə5	
應	in5	
底	ti3	
店	tin5	
廟	miao5	
庚	kən1	
府	fuə3	
龐	pʰaŋ2	
廢	fei213	
度	tuə213	
庵	an1	
康	kʰaŋ1	
庸	ioŋ1	
延	in2	
廷	tʰin3	
建	tɕin5	
開	kʰai1	
异	i5	
弄	loŋ5	
式	ʂʅ5	
引	in3	
弟	ti5	
張	tʂaŋ1	
弦	ɕin2	
彎	uan1	
弱	ʐo2	
彈	tan5	
彈	tʰan2	~琴
强	tɕʰiaŋ2	
歸	kuei1	
當	taŋ1	
當	taŋ5	~铺
彝	i2	
形	ɕin2	
彭	pʰoŋ2	
影	in3	
徹	tʂʰɛ2	
往	uaŋ3	
待	tai5	
很	xən3	
徊	xuai2	
律	li2	
徐	ɕi2	
得	tɛ5	
徘	pʰai2	
微	uei1	
德	tɛ5	
徽	xuei1	
心	ɕin1	
必	pi2	
忍	ʐən3	
忏	tʂʰan5	
忑	tʰɛ5	
志	tʂʅ5	
忘	uaŋ5	
忙	maŋ2	
念	nin5	
忽	xuə1	
忾	kʰai5	
懷	xuai2	
態	tʰai5	
慫	soŋ2	
慪	əu5	
怎	tsən2	
怒	nuə5	
怕	pʰa5	
憐	lin2	
思	sɿ1	
急	tɕi2	
怨	in5	
怪	kuai5	
怯	tɕʰiɛ5	
總	tsoŋ3	
戀	lin5	
恍	xuaŋ3	
恐	kʰoŋ3	
恆	xən2	
恨	xən5	
恩	ən1	
息	ɕi1	
恰	tɕʰia3	
懇	kʰən3	
悄	tɕʰio1	
悉	ɕi1	
悔	xuei3	
悠	iəu1	
患	xuan5	
您	nin3	
悲	pei1	
情	tɕʰin2	
惜	ɕi1	
惠	xuei5	
慘	tsʰan3	
懲	tʂʰən3	
慣	kuan5	
惰	to213	
想	ɕiaŋ3	
惹	ʐɛ3	
愁	tʂʰəu2	
感	kan3	
憤	fən5	
愧	kʰuei5	
願	in5	
慈	tsʰɿ2	
慕	muə5	
慢	man213	
慧	xuei5	
憋	piɛ1	
憨	xan1	
懂	toŋ3	
懶	lan3	
戈	ko1	
戊	uə5	
戌	ɕi1	
戎	ʐoŋ2	
成	tʂʰən2	
我	o3	
戒	kai5	
或	xo2	
戰	tʂan5	
戚	tɕʰi2	
戳	tʂʰo2	
戴	tai5	
戶	xuə5	
房	faŋ2	
所	so42	
扁	pin3	
手	ʂəu3	
才	tsʰai2	
扑	pʰuə1	
扒	pa1	
打	ta3	
托	tʰo2	
扛	kʰaŋ2	
扣	kʰəu5	
擴	kʰo2	
捫	mən1	
掃	sao3	
掃	sao5	~帚
扭	niəu3	
扮	pan5	
扯	tʂʰɛ3	
擾	ʐao3	
扳	pan1	
扶	fuə2	
批	pʰi1	
扼	æ2	
找	tʂao3	
承	tʂʰən2	
技	tɕi5	
抄	tʂʰao1	
把	pa3	
抓	tʂua1	
投	tʰəu2	
抖	təu3	
抗	kʰaŋ5	
折	tʂɛ2	
抛	pʰao1	
摳	kʰəu1	
搶	tɕʰiaŋ3	
報	pao5	
抨	pʰoŋ1	
披	pʰi1	
抬	tʰai2	
抱	pao5	
抵	ti3	
抹	ma2	
抹	mo3	
抻	tʂʰən1	
抽	tʂʰəu1	
拃	tʂa3	
拄	tʂʰuə42	
擔	tan5	
拈	nin1	
拉	la1	
拍	pʰɛ2	
拎	lin1	
拐	kuai2	
拖	tʰo1	
拗	niəu5	
拘	tɕi1	
招	tʂao1	
拜	pai5	
攏	loŋ3	
擁	ioŋ1	
撥	po2	
括	kua2	
拱	koŋ3	
拳	tɕʰin2	
拴	ʂuan1	
拼	pʰin1	
拽	tʂuai3	
拿	na2	
挂	kua5	
按	an5	
挎	kʰua5	
挑	tʰiao1	
挖	ua2	
撓	nao2	
擋	taŋ3	
掙	tsən5	
擠	tɕi3	
揮	xuei1	
挨	ai2	
挪	no2	
振	tʂən5	
捆	kʰuən3	
捉	tʂo2	
捎	ʂao1	
捏	niɛ5	
捕	puə3	
撈	lao5	
撈	lao2	~鱼
損	sən3	
撿	tɕin42	
換	xuan5	
捧	pʰoŋ3	
据	tɕi5	
掂	tin1	
掉	tiao5	
掌	tʂaŋ3	
掏	tʰao1	
掐	tɕʰia1	
排	pʰai2	
掠	lio2	
掠	liɛ5	
探	tʰan5	
接	tɕiɛ2	
控	kʰoŋ5	
推	tʰei1	
措	tsʰo5	
撣	tan3	
摻	tʂʰan1	
揍	tsəu5	
描	miao2	
插	tʂʰa2	
握	o2	
揣	tʂʰuai1	
揩	kʰai1	
揪	tɕiəu1	
揭	tɕiɛ2	
擱	ko2	
摟	ləu3	
攪	tɕiao3	
搓	tsʰo1	
搔	sao1	
搜	səu1	
搞	kao42	
摆	pai3	
摇	iao2	
攤	tʰan1	
摔	ʂuai1	
摘	tsɛ2	
摸	mo1	
撂	liao5	
撇	pʰiɛ2	
撑	tsʰən1	
撒	sa3	
撕	sɿ1	
撞	tʂuaŋ5	
撬	tɕʰiao5	
撮	tso2	
攆	nin3	
擼	luə42	
操	tsʰao1	
擻	səu3	
擦	tsʰa2	
擩	ʐuə1	
攀	pʰan1	
攢	tsan3	
支	tʂʅ1	
收	ʂəu1	
改	kai3	
攻	koŋ1	
放	faŋ5	
敵	ti2	
敏	min3	
救	tɕiəu5	
教	tɕiao1	
教	tɕiao5	~室
斂	lin3	
敞	tʂʰaŋ3	
敢	kan3	
散	san3	
散	san213	~步
敬	tɕin5	
數	suə3	
數	suə5	数字
敲	kʰao1	
整	tʂən3	
文	uən2	
齋	tʂai1	
斌	pin1	
斗	təu5	~争
斗	təu3	漏~
料	liao5	
斤	tɕin1	
斥	tʂʰʅ5	
斧	fuə3	
斬	tʂan3	
斷	tan5	
斯	sɿ1	
新	ɕin1	
方	faŋ1	
施	ʂʅ1	
旁	pʰaŋ2	
旋	ɕin2	
族	tsʰuə2	
日	ʐʅ2	
旦	tan5	
舊	tɕiəu5	
旨	tʂʅ3	
早	tsao3	
旬	ɕin2	
旭	ɕiəu2	
旱	xan213	
時	ʂʅ2	
旺	uaŋ5	
昂	aŋ2	
昆	kʰuən1	
昌	tʂʰaŋ1	
明	mɛ2	
明	min2	
昏	xuən1	
易	i5	
映	in5	
春	tʂʰuən1	
昨	tso2	
是	ʂʅ5	
顯	ɕin3	
晃	xuaŋ5	
晌	ʂaŋ3	
曬	ʂai5	
曉	ɕiao3	
暈	in5	
暈	in1	头~
晚	uan3	
晨	tʂʰən2	
普	pʰuə3	
景	tɕin42	
晶	tɕin1	
智	tʂʅ5	
晾	laŋ5	
暫	tʂan5	
暫	tsan5	
暑	tʂʰuə42	
暖	nan3	
暗	an5	
暴	pao5	
曲	tɕʰiəu2	
更	kən5	~多
更	kən1	变~
曹	tsʰao2	
曾	tsən1	
替	tʰi5	
最	tsei5	
月	iɛ2	
有	iəu3	
朋	pʰoŋ2	
服	fuə2	
朔	ʂo2	
朗	laŋ3	
望	uaŋ5	
朝	tʂao1	
朝	tʂʰao2	
期	tɕʰi1	
木	muə2	
未	uei5	
末	mo2	
本	pən3	
术	ʂuə5	
朱	tʂuə1	
朶	to2	
機	tɕi1	
朽	ɕiəu3	
殺	ʂa2	
雜	tsa2	
杉	ʂa1	
李	li3	
村	tsʰən1	
杜	tuə213	
束	suə2	
杠	kaŋ5	
條	tʰiao2	
來	lai2	
楊	iaŋ2	
杭	xaŋ2	
杯	pei1	
杷	pʰa1	
松	soŋ1	
板	pan3	
構	kəu5	
枇	pʰi2	
析	ɕi1	
枕	tʂən3	
林	lin2	
枚	mei2	
果	ko3	
棗	tsao3	
槍	tɕʰiaŋ1	
枯	kʰuə1	
架	tɕia5	
柏	pɛ2	
某	məu3	
染	ʐan3	
柔	ʐəu2	
櫃	kuei5	
查	tʂʰa2	
柳	liəu3	
柴	tʂʰai2	
柺	kuai2	
柿	sɿ5	
標	piao1	
樹	ʂuə5	
校	ɕiao5	
校	tɕiao5	~对
樣	iaŋ5	
核	xɛ2	
根	kən1	
格	kɛ2	
栽	tsai1	
桂	kuei5	
桃	tʰao2	
框	kʰuaŋ1	
案	an5	
桌	tʂo2	
桑	saŋ1	
橋	tɕʰiao2	
樁	tʂuaŋ1	
桶	tʰoŋ3	
梁	liaŋ1	
梅	mei2	
梗	kən3	
夢	moŋ5	
梭	so1	
梯	tʰi1	
梳	suə1	
棉	min2	
棍	kuən5	
棒	paŋ5	
森	sən1	
棱	lən2	
棵	kʰo1	
椅	i3	
椎	tʂuei1	
椒	tɕiao1	
橢	tʰo3	
椰	iɛ1	
楂	tʂa1	
楚	tʂʰuə42	
楚	tsʰuə3	
樓	ləu2	
概	kai5	
榔	laŋ2	
榜	paŋ3	
榴	liəu3	
槌	tʂʰuei2	
槽	tsʰao2	
模	mo2	
橫	xuən2	
橘	tɕi2	
橙	tʂʰən2	
檐	in2	
欠	tɕʰin5	
次	tsʰɿ5	
歡	xuan1	
歐	əu1	
欺	tɕʰi1	
款	kʰuan3	
歇	ɕiɛ2	
止	tʂʅ3	
正	tʂən5	
正	tʂən1	~月
此	tsʰɿ3	
步	puə5	
武	uə3	
歪	uai1	
歹	tai3	
死	sɿ3	
殘	tsʰan2	
毆	əu1	
段	tan5	
毁	xuei3	
母	muə3	
每	mei3	
毒	tuə2	
比	pi3	
畢	pi5	
斃	pi5	
毛	mao2	
毡	tʂan1	
毫	xao2	
毯	tʰan3	
民	min2	
气	tɕʰi5	
水	ʂuei3	
汁	tʂʅ2	
求	tɕʰiəu2	
汇	xuei5	
漢	xan213	
汗	xan213	
汝	ʐuə3	
江	tɕiaŋ1	
池	tʂʰʅ2	
湯	tʰaŋ1	
汪	uaŋ1	
沉	tʂʰən2	
沙	ʂa1	
漚	əu5	
瀝	li1	
河	xo2	
油	iəu2	
治	tʂʅ5	
沾	tʂan1	
沿	in2	
泉	tɕʰin2	
法	fa2	
泛	fan5	
泡	pʰao5	
泡	pʰao1	灯泡
波	po1	
泥	ni2	
淚	lei5	
泰	tʰai5	
泳	ioŋ3	
瀉	ɕiɛ5	
潑	pʰo2	
澤	tsʰɛ2	
洒	sa3	
洗	ɕi3	
洞	toŋ5	
洪	xoŋ2	
活	xo2	
派	pʰai5	
流	liəu2	
淺	tɕʰin3	
漿	tɕiaŋ1	
澆	tɕiao1	
測	tsʰɛ2	
濟	tɕi5	
渾	xuən2	
浙	tʂɛ2	
浦	pʰuə3	
浪	laŋ5	
浮	fuə2	
浮	fəu2	
海	xai42	
浸	tɕin5	
涂	tʰuə2	
濤	tʰao1	
潤	ʐuən3	
漲	tʂaŋ3	
澀	sɛ2	
涮	ʂuan5	
淆	ɕiao2	
淌	tʰaŋ3	
淡	tan5	
淫	in2	
深	ʂən1	
淳	tʂʰuən2	
混	xuən5	
淹	in1	
添	tʰin1	
溫	uən1	
港	kaŋ3	
渴	kʰo2	
游	iəu2	
渺	miao2	
湍	tʰan1	
溼	ʂʅ2	
潰	kʰuei5	
溜	liəu1	
溺	ni5	
滑	xua42	
滚	kuən3	
滿	man3	
濫	lan5	
滴	ti2	
漂	pʰiao1	
漂	pʰiao5	~白
漆	tɕʰi2	
漏	ləu5	
演	in5	
漫	man213	
漱	suə2	
潘	pʰan1	
潭	tʰan2	
澈	tʂʰɛ2	
澡	tsao3	
火	xo3	
滅	miɛ5	
燈	tən1	
灰	xuei1	
靈	lin2	
竈	tsao5	
災	tsai1	
燦	tsʰan5	
爐	luə2	
炊	tʂʰuei1	
炒	tʂʰao42	
炭	tʰan5	
炮	pʰao5	
炸	tʂa5	
點	tin3	
爛	lan5	
烘	xoŋ1	
燭	tʂuə2	
烟	in1	
煩	fan2	
燒	ʂao1	
燙	tʰaŋ5	
熱	ʐɛ2	
焚	fən2	
焦	tɕiao1	
然	ʐan2	
煎	tɕin1	
煤	mei2	
煦	ɕiəu2	
照	tʂao5	
煮	tʂuə3	
煽	ʂan1	
熊	ɕioŋ2	
熟	ʂuə2	
熬	ao2	
熬	ao1	~汤
熳	man213	
燃	ʐan2	
燕	in5	
燥	tsao5	
爪	tʂua3	
爬	pʰa2	
愛	ai5	
父	fuə5	
爺	iɛ2	
爸	pa2	
爹	tiɛ1	
爽	ʂuaŋ2	
片	pʰin213	
牌	pʰai2	
牙	ia2	
牛	niəu2	
牟	məu2	
牡	muə3	
牢	lao2	
物	uə2	
牽	tɕʰin1	
牸	tsɿ5	
特	tʰɛ5	
犁	li2	
狀	tʂuaŋ5	
狂	kʰuaŋ2	
狐	xuə2	
狗	kəu3	
狡	tɕiao3	
獨	tuə2	
獄	i2	
獄	iəu2	
獵	liɛ2	
猛	moŋ3	
猜	tsʰai1	
豬	tʂuə1	
猫	mao1	
猴	xəu2	
猾	xua2	
率	ʂuai3	
玉	i5	
王	uaŋ2	
玩	uan2	
環	xuan53	
現	ɕin5	
玻	po1	
珀	pʰɛ2	
珍	tʂən1	
班	pan1	
球	tɕʰiəu2	
琴	tɕʰin2	
琵	pʰi2	
琶	pʰa1	
瑞	ʐuei5	
瑰	kuei1	
瑰	kuei5	
璀	tsʰei3	
瓜	kua1	
瓢	pʰiao2	
瓣	pan5	
瓤	ʐaŋ2	
瓦	ua3	
瓶	pʰin2	
瓷	tsʰɿ2	
甘	kan1	
甜	tʰin2	
生	sən1	
用	ioŋ231	
甩	ʂuai2	
田	tʰin2	
由	iəu2	
甲	tɕia2	
申	ʂən1	
電	tin5	
男	nan2	
畫	xua5	
暢	tʂʰaŋ5	
界	kai5	
留	liəu2	
畜	tʂʰuə2	
略	lio2	
略	liɛ5	
番	fan1	
療	liao2	
瘧	niɛ3	
瘡	tʂʰuaŋ1	
疼	tʰən2	
病	pin5	
痕	xən2	
痛	tʰoŋ5	
痞	pʰi3	
痣	tʂʅ5	
癡	tʂʰʅ1	
痹	pʰi2	
瘤	liəu5	
瘦	səu5	
瘩	kɛ5	
癟	piɛ3	
瘸	tɕʰiɛ3	
癌	ai2	
癸	kʰuei2	
登	tən1	
百	pɛ2	
皂	tsao5	
的	ti1	
的	ti2	目的
皇	xuaŋ2	
皮	pʰi2	
皺	tsəu5	
盆	pʰən2	
盈	in2	
益	i2	
盎	aŋ5	
盞	tʂan3	
鹽	in2	
盔	kʰuei1	
盖	kai5	
盜	tao5	
盤	pʰan2	
盛	ʂən5	
目	muə2	
盲	maŋ2	
直	tʂʅ2	
相	ɕiaŋ1	
相	ɕiaŋ5	首~
盼	pʰan5	
盾	tən213	
省	sən3	
眉	mei2	
看	kʰan5	
看	kʰan1	~守
真	tʂən1	
眨	tʂa2	
眯	mi1	
