#漢字	音標	解釋
㮇	pʰe6	~笔
兔	tʰu5	
黨	taŋ5	官话借词
兜	tau1	
入	ȵiɛ8	
全	tsũ2	
八	pa7	
公	kõ1	
六	li8	
蘭	lã2	
共	kʰiõ6	
關	kuã1	
興	ɕĩ3	~旺官话借词
興	ɕĩ9	高~
兵	pɐn1	
其	kʰi6	
具	ki9	
典	tĩ3	
養	iɐŋ3	
兼	kuin1	
獸	ɕau6	
岡	kɔ̃1	
冊	tɕʰe7	
再	tsa5	
冒	mau9	
寫	sɛ3	
軍	kiɐŋ1	
農	nõ6	官话借词
冠	kuã9	~军
冠	kuã3	衣~
冤	iɛ̃3	官话借词
冬	tõ1	
馮	fõ6	
冰	pɐn1	
決	kɛ6	官话借词
況	kʰuaŋ9	
冷	lɛ̃3	
凍	tõ5	
淨	tsʰɐn6	
準	tɕɐŋ3	
涼	lɛ̃2	
凌	lĩ6	官话借词
減	kã3	
湊	tsʰau5	
凝	nĩ6	官话借词
几	ki3	~个
几	i1	茶~
凡	fã2	
鳳	fõ6	
凭	pʰĩ6	
凱	kʰæ5	
凳	tɐŋ5	
凶	çiõ1	~恶
凶	çiõ1	吉~
出	tɕʰɛ7	
擊	ki6	官话借词
函	hã6	
鑿	tsəu8	
刀	təu1	
刁	ti1	
分	fɐŋ1	
切	tsʰi7	~开
刊	kʰã3	
刎	vɐn6	官话借词
刑	ɕĩ6	官话借词
划	fɔ6	
列	lɛ6	官话借词
劉	liɐu6	官话借词
則	tsə6	官话借词
剛	kaŋ3	官话借词
創	tɕʰɔ̃5	
初	tsʰəu1	
刪	ɕɐŋ3	
刨	va7	~地
利	lɛ6	
別	pɛ6	
別	pɛ6	离~
刮	kua7	
到	təu5	
刷	ɕa7	
券	kɛ̃5	
刺	tsʰɛ5	
刻	kʰə6	官话借词，时~
刻	kʰɔ7	用刀~
劊	kua3	
剁	tuɔ9	
剃	tʰe5	
削	si7	
前	tsĩ2	
劍	kĩ5	
剔	tʰi7	
剖	pʰəu5	
剝	pɔ7	
劇	ki9	~烈
劇	ki9	戏~
剩	hɐn6	
剪	tsĩ3	
副	fu9	
割	kəu7	
劄	tɕa7	用针~
劈	pʰi7	
力	liɔ8	
勸	fĩ5	
辦	pʰã6	
功	kõ6	
加	kɔ1	
務	vu9	
劣	liɔ6	
動	tʰõ3	
努	nu6	
劫	kiɛ6	
勵	li9	
勁	kiɐŋ5	~敌
勁	kiɐŋ5	有~
勞	ləu2	
勢	ɕɛ5	
勃	pʰɔ6	
勇	iõ3	
勉	mĩ3	
勳	ɕĩ3	
勒	lɔ1	
勘	kʰã3	~误
勤	kʰĩ6	官话借词
勺	pi2	瓢的训读
勾	kau1	
勿	ʔu6	官话借词
勻	iɐŋ2	
包	pau1	
化	fɔ5	
北	pɔ7	
匙	pi2	汤~
匠	tsʰɛ̃6	
匡	kʰuɐŋ3	官话借词
匣	ɕia6	官话借词，箱~
匪	fe5	官话借词
匯	huei9	
匹	pɛ8	
區	kʰiɐu1	
區	pɛ6	~别
醫	ʔi6	
匾	pĩ3	
十	ɕiɛ8	
千	tsʰĩ1	
升	ɕɐŋ1	
午	ŋ̍3	
卒	tse7	
卓	tɕɔ6	
單	tã1	~独
賣	mã6	
南	nã2	
博	pɔ7	
卜	pʰu6	官话借词
盧	lu2	
卦	kɔ5	
印	iɐŋ5	
危	vɛ6	
即	tsi6	官话借词
卵	lõ3	
卷	kĩ3	
卸	sɛ5	
卿	kʰin1	
廠	tɕʰɛ̃3	
历	le8	月~
厲	li9	
壓	a7	
厭	ĩ2	
厘	læ2	毫~
厚	hau3	
原	iɛ̃6	官话借词
廂	sɛ̃1	
廚	tʰi6	
廝	sɛ1	
去	çu5	
縣	vĩ6	
参	tsʰã3	
参	ɕɐn3	官话借词，人~
又	iɐu6	
叉	tɕʰɔ1	
友	iau3	
雙	ɕɔ̃1	
反	fã3	
发	fa6	官话借词
叔	ɕəu7	
取	tsʰu3	
受	ɕau6	
變	pĩ5	
叛	pʰã9	
疊	tʰe6	
古	ku3	
句	ki5	
另	lɐn6	
叨	tau3	唠~
叩	kʰɔ7	~头
只	tɕi1	~有
叫	ki5	
召	tsau3	
可	kʰuɔ3	
台	ta2	
右	iau6	
葉	i8	
號	həu6	~数
號	həu6	呼~
司	sæ5	
嘆	tʰã5	
吃	hi7	
各	kəu5	
合	hæ7	
合	hæ7	十合一升
吉	ki6	官话借词
同	tõ2	
名	mɐn2	
后	hau6	
吏	li9	
吐	tʰu5	
向	hɛ̃5	
嚇	he7	~一跳
呂	lɛ3	
君	kiɐŋ1	
吞	tʰɐŋ1	
吠	fe6	
否	fəu5	官话借词
含	vɐŋ2	
聽	tʰɐn5	~见
聽	tʰɐn5	~任
啓	kʰi5	官话借词
吳	vu2	
吵	tɕʰɔ3	
吹	tɕʰu1	
吾	vu2	
呆	mau5	
呈	tɕʰɐn6	官话借词
吿	kəu5	
員	iɛ̃6	官话借词
周	tɕau1	
味	mɛ6	
命	mɐn6	
和	huɔ6	~气
和	hæ7	~面
咒	tɕau5	
咬	ŋau3	
咳	kʰɔ7	
咸	ɕɛ̃6	官话借词
品	pʰĩ1	
哄	hõ5	~骗
響	hɛ̃3	
啞	vɔ3	
哥	kuɔ1	
哪	sɐn5	
哭	həu7	
脣	sɐn6	官话借词
唐	tɔ̃2	
喚	huã9	
售	ɕəu9	
唯	ve6	官话借词
唱	tɕʰaŋ5	
啃	le7	
啄	tɕɔ6	
商	ɕɐŋ3	
囉	luɔ3	官话借词
喂	vɛ5	
善	ɕã9	
喉	hau6	
喊	hã3	
喘	tʰiɐu1	
喜	ɕi3	
喝	hi7	~酒
喧	sɛ̃3	官话借词
噴	pʰɐn9	
嗅	ɕiõ5	有鼻子
嗓	sɔ̃3	
嗽	sau5	咳~
嘉	kɔ1	
囑	tɕu6	
嘴	tsu3	
噎	i8	~住了
器	hi5	
囂	ɕiau3	官话借词
嚥	ĩ5	
嚷	iɐŋ6	
嚼	ȵa5	
嚼	tsiau6	官话借词
囊	nɐŋ6	
四	sɛ5	
回	kuɛ1	
因	iɐŋ1	
团	tũ6	
園	iɛ̃6	官话借词
困	kʰuɐn9	
囪	tʰõ1	烟~
圍	vɛ2	
固	ku3	
國	kɔ7	
圖	tʰu6	官话借词
圓	iɛ̃6	官话借词
圈	fĩ1	
聖	ɕɐn5	
聖	ɕɐn9	
在	tsʰæ3	
圭	kuei3	
地	tʰæ6	
場	tɕɛ̃2	
均	kĩ3	官话借词
壞	va6	
坐	tsʰɛ3	
坑	hɛ̃1	
塊	fa5	
堅	kɛ̃3	官话借词
墳	fɐŋ2	
墜	pɔ8	
坡	pʰəu1	
坤	kʰuɐn3	官话借词
坦	tʰã5	
坪	pɐn2	
坯	pu5	土~
壠	liõ3	
型	ɕĩ6	官话借词
垛	tu1	
墾	kʰɐn5	官话借词
墊	tʰĩ6	~钱
垮	ləu1	
埃	ŋæ6	
埋	mã2	
城	ɕɐn2	
域	iu6	官话借词
基	ki3	
堂	tɔ̃2	
堆	tu1	
堰	vĩ6	
堵	tu3	
塍	ki1	
塑	ni7	
塔	tʰa7	
塘	tɔ̃2	
塞	sɔ7	
塡	tĩ2	
境	kin9	
牆	tsɛ̃2	
增	tsɐŋ1	
墟	çiɐu1	
墨	mɔ8	
墩	tiɐŋ1	
壁	pi6	官话借词
壅	iõ1	
壇	tã2	
壕	hau6	
壤	iɐŋ9	
壩	pa9	
士	sɿ9	
壯	tɕɔ̃5	
聲	ɕɐn6	
壺	fu2	
處	tɕʰu5	
備	pʰɛ6	
复	fu6	~兴
夏	hɔ6	
夕	si6	官话借词
外	va6	
多	təu1	
够	kau5	
大	tʰa6	
天	tʰĩ1	
太	tʰa5	
央	iɐŋ3	
失	ɕi6	官话借词
頭	tau2	
夾	ka7	
奪	tɔ7	
奇	kʰi6	官话借词
奈	næ9	
奉	fõ9	
奮	fɐn9	
奏	tsəu5	
奔	pɐn3	官话借词
獎	tsɛ̃3	
套	tʰəu5	
奠	tĩ5	
奧	ŋau9	
女	ni3	
奴	nu6	
奶	næ6	
奸	kã1	
好	vɛ1	~坏
好	hau3	喜~
妃	fe3	
妄	vaŋ9	
婦	fu6	
妓	tɕi9	
妖	iau3	
妗	kʰiɐŋ3	舅母
妥	tʰuɔ5	
妹	mu6	
妻	tsʰe1	
妾	tsi7	
姊	tsɛ3	
始	ɕi6	
姐	tʰa6	
姑	ku3	官话借词
姓	sɐn5	
委	ve5	官话借词
姚	iau6	
姜	kiɐŋ3	
姨	i2	
姻	iɐŋ1	
威	vɛ1	
娠	ɕɐn3	官话借词
娛	i6	
娶	sau1	
婆	pəu2	
婚	huɐŋ1	
嬰	ĩ3	官话借词
嬸	ɕɐŋ3	
媒	mu2	
媚	me2	
媳	si6	官话借词
嫁	kɔ5	
嫂	səu3	
嫖	pi2	~赌
嫡	ti6	官话借词
嫩	nɐŋ6	
嬉	ɕi3	官话借词
孀	ɕɔ̃1	
子	tsæ3	
孔	kʰõ3	
孕	ȵɐŋ6	
字	tsʰæ6	
存	tsɐŋ2	
孫	sɐŋ1	
孝	hau5	
孟	mõ9	
季	ki5	
孤	ku1	
學	hɔ8	
孵	pʰəu6	
孽	ni8	
寧	nĩ5	~可
寧	nĩ6	安~
宅	tɕe7	
宇	i5	
守	ɕau3	
安	ɔ̃1	
宋	sõ5	
完	vã6	
宏	hõ6	官话借词
宗	tsõ1	
官	kũ1	
宙	tɕəu9	
定	tʰɐn6	
宜	i2	
寶	pəu3	
實	ɕɛ8	
寵	tɕʰõ6	
審	ɕɐn5	官话借词
客	he7	
宣	sɛ̃3	官话借词
室	ɕi6	官话借词
宦	huã9	
宪	iɛ̃9	
宰	tsa3	
害	hæ6	
宴	iɛ̃9	
宵	si1	
家	kɔ1	
容	iõ6	官话借词
寬	kʰuã1	
賓	pĩ1	
宿	su6	官话借词
寂	tsi6	官话借词
寄	ki5	
寅	ȵɐŋ2	
密	mɛ7	
寇	kʰəu9	
富	fu5	
寒	hã6	
寢	tsʰĩ9	
寞	mɔ6	
察	tɕɔ2	
寡	kua5	官话借词
寨	tɕʰa6	
寸	tsʰɐŋ5	
對	tu5	
寺	sɿ9	
尋	tsʰĩ6	
導	tau9	
壽	ɕau6	
封	fõ1	
射	ɕɛ6	
將	tsɛ̃5	大~
將	tsiã3	官话借词
尊	tsɐn3	官话借词
小	nɛ5	
少	nɛ5	~年
少	ɕi3	多~
尖	tsĩ1	
塵	tɕʰɐn6	官话借词
尙	ɕɐŋ6	
嘗	ɕɛ̃2	
尤	iau2	
堯	i6	
就	tsiɐu6	
屍	ɕi1	
尺	tɕʰi7	
尼	ne2	
尽	tsĩ9	
尾	mɛ3	
尿	ni6	
局	ki6	官话借词
屁	pʰɛ3	
層	tsɐŋ2	
屈	kʰi6	官话借词
屉	tʰe5	抽~
屆	ka5	
屋	əu7	
屎	ɕi3	
屛	pɐŋ6	围~
屐	tʰia7	木~
屑	si7	木~
展	tɕã3	
屬	ɕu6	官话借词
屠	tʰu6	官话借词
屢	le5	
履	li5	
山	ɕã1	
歲	se5	
豈	kʰi3	
岔	tɕʰɔ5	
崗	kaŋ3	官话借词
島	tau5	
巖	ŋã2	
岸	hɔ̃6	
峽	ha8	
峯	fõ1	
崇	tɕʰõ6	
崔	tsʰe1	姓
崩	paŋ1	
嵩	sõ1	
嶙	lĩ6	官话借词
嶺	lɐn3	
川	tɕʰũ1	
州	tɕau1	
巡	sɐn6	官话借词
巢	tɕɔ2	
工	kõ1	
工	ve9	
左	tsiɐu3	
巧	kʰiau5	官话借词
鞏	kõ5	官话借词，~固
巫	vu1	
差	tɕʰɔ1	~别
差	tɕʰa1	出~
己	ki3	
已	ʔi3	
巴	pɔ1	
巷	haŋ9	
巾	kiɐŋ1	
幣	pi9	
市	sɿ9	
市	ɕi9	
布	pu5	
帥	ɕa5	
帆	fã2	
師	ɕɛ1	
帳	tɕɛ̃5	
帖	tʰi7	碑~
帛	pe8	
帝	te5	
帶	tæ5	
席	tsi8	
席	si6	官话借词
幫	pɔ̃1	~助
幫	pɐŋ1	一~人
常	tɕʰɛ̃2	
帽	məu6	
幅	fəu7	
幔	mã9	
干	kɔ̃1	
年	nĩ1	
幸	ɕĩ9	
幹	kɔ̃3	
幻	huã9	
幼	iɐu9	
幽	iɐu3	
廣	kɔ̃3	
莊	tɕaŋ3	官话借词
慶	hɐn5	
庇	pi9	
牀	tɕɔ̃2	
廬	lu2	
應	ĩ9	~对
底	te3	
店	tĩ5	
廟	mi6	
庚	kɛ̃1	
府	fu5	
龐	pã6	官话借词
廢	fe5	
度	tu9	
座	tsʰɛ3	
庭	tʰin6	官话借词
庵	ã3	
康	kʰaŋ3	官话借词
庸	iõ3	官话借词
廉	lĩ2	
廊	laŋ6	官话借词
廓	kʰɔ6	
廖	li6	姓
廳	tʰɐn1	
延	iɛ̃6	官话借词
廷	tʰin6	官话借词
建	kɛ̃9	
開	hæ1	
异	i5	
弃	hi9	
弄	lõ6	
弊	pi9	
式	ɕi9	
弓	kiõ1	
引	iɐŋ3	
弘	hõ2	
弟	tʰe3	
張	tɕɛ̃1	
弦	ɕɛ̃6	官话借词
彎	vã1	
彈	tã2	~琴
彈	tã9	子~
强	kɛ̃2	
强	kiɐŋ9	倔~
弼	pi6	官话借词
歸	kuɛ1	
當	tɔ̃1	~时
當	tɔ̃5	~作
形	ɕĩ6	官话借词
彪	pi1	
彬	pĩ1	
彭	pʰɔ̃2	
影	ɐn3	~子
役	iu6	官话借词
往	vɔ̃3	口语
往	vaŋ5	官话借词
征	tɕɐŋ1	~求
征	tɕɐn3	官话借词
徑	kĩ9	
很	hɐŋ3	
律	le7	
後	hau6	
徐	tsu2	
徒	tʰu6	官话借词
得	tɔ7	
御	i9	
復	fu6	官话借词，~原
循	sɐn6	官话借词
微	mɛ6	
德	tɔ7	
心	sɐŋ1	
必	pi6	官话借词
憶	i9	
忍	ȵɐŋ3	
志	tɕi9	
忘	mõ6	
忙	mɔ̃2	
忠	tɕõ1	
憂	iau1	
憂	iau3	
快	fa5	
念	nĩ6	
忽	fu6	官话借词
態	tʰæ9	
慫	tsõ9	~恿
怒	nu6	
怕	pʰɔ5	
怖	pu9	
憐	lĩ2	
思	sɛ1	
思	sɿ3	官话借词
急	kiɛ7	
性	sɐn5	
怨	iɛ̃9	
怪	kua5	
怱	tsʰõ1	
戀	lɛ̃9	
恐	kʰõ5	官话借词
恆	hɐn6	官话借词
恤	si9	
恨	hɐŋ6	
恩	ɐŋ1	
恭	kõ6	
息	sɛ7	
恰	kʰa7	
懇	kʰɐŋ3	
恶	ȵɔ8	可~
恶	əu7	善~
惱	nəu3	
悉	si6	官话借词
悔	huei5	
患	huã9	
懸	ɕɛ̃6	官话借词
悲	pe3	
情	tsɐn2	
驚	kin3	官话借词
惜	se7	
惟	ve6	官话借词
懼	ki9	
慘	tsʰã5	
懲	tɕʰɐn6	官话借词
慣	kuã5	
惰	tʰe6	
想	sɛ̃5	
惹	ȵi3	
愁	tɕau2	
愆	i9	
意	i5	
愚	mau5	
感	kã3	
憤	fɐn9	
愧	kʰuei9	
願	vin6	
慈	tsʰɿ6	官话借词
慌	fɔ̃1	
愼	ɕɐn9	
慢	mã6	
慷	kʰaŋ3	官话借词
憋	pi7	
憎	tsɐŋ1	
憾	hã9	
懂	tõ3	
懶	lã3	
懵	mõ3	~懂
戌	su9	
戎	iõ6	官话借词
戲	hi5	
成	ɕɐn2	
我	ŋəu3	
戒	ka5	
戰	tɕã9	
戚	tsʰi7	
截	tsi7	
戳	tɕʰɔ6	官话借词
戴	tæ5	
戶	fu3	
房	fɔ̃2	
所	sɔ5	官话借词
扁	pĩ3	
扇	ɕĩ5	
手	ɕau3	
才	tsa2	
打	kue7	
扔	iɛ8	
托	tʰəu7	
扛	kaŋ6	
扣	kʰau5	~住
執	tɕi6	
擴	kʰɔ6	
掃	səu3	~竿
掃	səu5	~地
揚	iɐŋ2	
扭	niɐu5	官话借词
扮	pã5	
扯	tɕʰɛ3	
扳	pã3	
批	pʰe1	
扼	uɔ7	
找	lɔ3	
承	tɕʰɐn6	官话借词
技	tɕi9	
抄	tɕʰau1	
把	pɔ3	
抑	i9	
抓	tɕɔ1	
投	təu2	
抗	kʰã9	
折	tɕi7	~断
拋	pʰau1	
摳	kʰau1	
搶	tsʰɛ̃3	
護	vu9	
報	pəu5	
披	pʰɛ1	
抬	ta2	
抱	pʰəu3	
抵	te1	
抹	ma9	
抹	ma8	~布
押	a7	
抽	tɕʰau1	
拄	tɕəu8	~拐杖
擔	tã1	~任
擔	tã5	挑~
拆	tɕʰe7	
拈	ne7	~起来
拉	lɔ1	
拉	tʰəu1	拖的训读
拌	pʰiã6	
拍	pʰe7	
拐	kua3	
拔	pa8	
拖	tʰəu1	
拘	ki3	
拙	tɕɔ6	
拜	pa5	
擬	ni5	
攏	lõ3	
擁	iõ1	
攔	lã2	
撥	pu7	
括	kua6	包~，官话借词
拯	tɕɐn5	官话借词
拱	kõ3	~手
拳	ti2	
拼	pʰɐn1	
拼	pʰɐn1	~命
拾	tɕɛ8	~起来
持	tɕʰi6	官话借词
指	tɕi3	
按	ã5	
挑	tã1	
挖	va7	
挾	ka7	~菜
擋	tʰɔ̃3	阻~
擠	tse3	
挪	nəu2	
振	tɕɐn9	
挺	tʰĩ5	
挽	vã5	
捂	vu3	
捅	tʰõ1	~破了
捉	tɕəu7	
捋	lau3	~袖
捍	kã5	
捏	ni7	
捏	ȵɛ1	~人
捐	kɛ̃3	官话借词
撈	lau2	
損	sɐn6	
捧	pʰõ3	
捨	ɕɛ3	
据	ki9	
捱	ŋæ6	~打
捷	tsi7	
捺	na5	撇~
掀	ɕĩ1	
授	ɕau6	
掉	ləu2	
掌	tɕɛ̃3	
掏	təu2	~出
掐	kʰa7	
排	pa2	
掘	kɛ6	官话借词
掛	kɔ5	
掠	niɔ6	
探	tʰã5	试~
接	tsi7	
接	vu3	~住
控	kʰõ9	
推	tʰu1	
掩	iɛ̃3	
擲	pʰi7	
揈	hõ3	揈出去
揉	lu2	
描	miau6	官话借词
提	te2	
插	tɕʰa7	
揖	iɛ7	作~
握	uɔ7	
揫	tsiɐu1	一把~住
揭	ki7	
援	iɛ̃6	官话借词
攬	lã5	
擱	kuɔ6	官话借词
攪	ki3	
搓	tsʰɛ1	
搜	ɕau1	
搞	kau5	
搧	ɕĩ1	
搭	ta7	
搽	tɕɔ2	
攝	ɕɛ6	
摆	pa3	
搖	ŋəu2	
攤	tʰã1	
摔	tɛ7	跌的训读
摘	tɕe7	
摩	muɔ1	
摸	məu1	
摹	mu6	
摺	tɕi7	~叠
撇	pʰi7	~捺
撑	tɕʰɛ̃1	
撒	sa7	
撕	sɛ1	
撞	tɕʰɔ̃5	
撮	tse7	
撰	tɕã9	
撲	pʰu6	
攆	nĩ3	
撼	hã9	
操	tsʰəu5	~作
擎	kʰin6	官话借词
擒	kiɐŋ2	
擘	pe1	用手~开
擦	tsʰa7	
攘	ȵɐŋ6	
支	tɕi3	官话借词
收	ɕau1	
收	ɕau1	~集
改	kæ3	
攻	kõ1	~击
放	fɔ̃5	
政	tɕɐn9	
故	ku3	
效	ɕiau9	
敵	ti6	官话借词
敏	mĩ5	
救	kiau5	
敎	kau5	~书
敎	kau5	~育
斂	lĩ6	
敝	pi9	
敢	kã3	
散	sã5	分~
散	sã5	鞋带~了
敦	tɐn3	~厚官话借词
敬	kɐn5	
敬	kin9	
數	su3	动词
數	su5	名词
敲	kʰau1	
整	tɕɐn5	官话借词
文	vɐŋ2	
齋	tsa1	
斑	piã1	
斗	tau3	
斗	tau5	决~
料	li6	
斜	tsɛ2	
斟	tɕɐn3	官话借词
斤	kiɐŋ1	
斥	tɕʰi6	官话借词
斧	fu3	
斬	tɕã3	
斷	tʰõ3	~绝
斷	tʰõ3	决~
斯	sɛ1	
新	sɐŋ1	
方	fɔ̃1	
施	iõ1	
施	ɕi3	官话借词
旁	pʰɔ̃6	
旅	lɛ3	
旋	tĩ5	
族	tsu6	官话借词
旗	ki2	
無	məu3	
既	ki5	
日	iɛ7	~本
日	ȵiɛ8	今~
旦	tã9	
舊	kʰiau6	
旨	tɕi3	
早	tsəu3	
旬	sɐn6	官话借词
旱	hɔ̃3	
時	ɕi6	
曠	kʰɔ̃5	
旺	vɔ̃6	兴~
昆	kʰuɐn3	官话借词
昌	tɕʰɐŋ3	官话借词
明	mɐn2	
昏	huɐŋ1	
易	i6	官话借词交~
易	i6	难~
昔	si6	官话借词
星	sɐn1	
映	iɐŋ3	
春	tsʰɐŋ1	
春	tɕʰɐŋ1	
昨	e6	
是	ɕi3	
晝	tɕəu9	
顯	ɕɛ̃5	
晉	tsĩ5	
曬	ɕa5	
暈	huɐŋ1	
晚	vã5	
晦	mu1	
晨	ɕɐŋ2	
普	pʰu3	
景	kin5	
晴	tsɐn2	
晶	tsin3	
智	tɕi9	
暫	tsã9	
暑	ɕu3	
暖	nõ3	
暗	ɐŋ5	
曝	pau9	
曲	kʰi6	官话借词，~折
更	kɐn9	~加
更	kɐn3	官话借词，~换
曹	tsʰəu6	
曾	tsʰɐn6	~经官话借词
曾	tsɐŋ1	姓
替	tʰe5	
最	tsu5	
月	ȵi6	~亮
月	ȵi7	年~
有	iau3	
朋	pʰɐŋ6	官话借词
服	fəu8	~不~
朔	ɕɔ6	官话借词
朗	laŋ5	官话借词
朝	ti1	今~
朝	tsʰau6	官话借词，~代
期	kʰi6	时~
木	məu8	
末	mɔ6	
本	pɐŋ3	
札	tɕa7	
术	ɕu6	
朱	tɕəu1	
朴	pʰu6	
朵	tɛ3	
機	ke1	
殺	ɕa7	
雜	tsa8	
權	kuin2	
杈	tɕʰɔ1	
杉	ɕɔ5	
李	læ3	
杏	ɕĩ9	
材	tsa2	
村	tsʰɐŋ1	
杖	tɕʰɐŋ6	
杜	tu3	
杞	ki1	
束	ɕu6	官话借词
杠	sɔ̃5	
條	ti2	
來	læ2	
楊	iɐŋ2	
杭	hɐŋ6	
杯	pu1	
杷	pɔ2	
松	sõ1	
松	tsʰõ6	老
板	pã3	
極	ki6	官话借词
構	kəu9	
枇	pʰɛ6	~杷
枉	vaŋ5	官话借词
析	si6	官话借词
枕	tsʰɔ6	
枕	tsʰɔ6	动词
林	liã2	
果	kəu3	
枝	tɕi1	
棗	tsʰəu3	
槍	tsʰɛ̃1	
楓	fõ6	
枯	kʰu1	
架	kɔ5	
柄	pɐn5	
柏	pe8	
某	mau3	
柑	kɐŋ6	
染	ȵĩ3	
柚	iau6	
櫃	kʰuɛ6	
査	tɕɔ2	调~
柱	tʰi3	
柳	liɐu3	
柴	tɕa2	
柿	sɛ6	
棧	tɕã9	
棟	tõ5	
欄	lã2	
樹	ɕu6	
栓	təu2	
栗	lɛ8	
校	kiau9	~对
校	ɕiau9	上~
校	ɕiau9	学~
株	tau1	
核	huɔ7	
核	hə6	~查
核	vɛ8	卵~
核	hɔ7	果子~
根	kɐŋ1	
格	ke7	
栽	tɕõ5	
