#漢字	音標	解釋#('cmn_jh_hc_fdgc', '肥東古城話', '肥東古城', '#800080', None, None, '更新：2021-11-15<br>來源：osfans整理自栗華益、鄒冠麗《安徽肥東古城方言同音字彙》', '31 1 1a 陰平 ꜀,35 2 1b 陽平 ꜁,213 3 2 上 ꜂,,53 5 3 去 ꜄,,44 7 4 入 ꜆')
粱	ȵȡiɑ̃2	
粳	kən3	
粵	yɐ7	
粹	tsʰei5	
精	tɕiɪn1	
糉	tsʌŋ5	
糊	xʉ2	
糕	kɔ1	
糖	tʰɑ̃2	
糗	tɕʰiɵ3	
糙	tsʰɔ5	
糞	fən5	
糟	tsɔ1	
糠	kʰɑ̃1	
糧	ȵȡiɑ̃2	
糯	lo5	
系	sɿ5	
糾	tɕiɵ1	
紀	tsɿ5	
紂	tʂɵ5	
紅	xʌŋ2	
紉	ʐən5	
紋	un2	
納	lɐ7	
紐	ȵȡiɵ3	
純	ʂun2	
紗	ʂᴀ1	
紙	tʂʅ3	
級	tɕiɘ7	
紛	fən1	
素	sʉ5	
紡	fɑ̃3	
索	sɐ7	
紫	tsɿ3	
累	lei3	
累	lei5	
細	sɿ5	
紹	ʂɔ2	
終	tʂʌŋ1	
組	tsʉ3	
絆	pʰã5	
結	tɕiɐ7	
絕	tɕyɐ7	
絞	tɕiɔ3	
絡	lɐ7	
絨	ʐʌŋ2	
絮	ʃy5	
統	tʰʌŋ3	
絹	tɕyɪ̃1	
綁	pɑ̃3	
經	tɕiɪn1	
綜	tsʌŋ1	
綠	lɘ7	
綢	tʂʰɵ2	
維	uei2	
綱	kɑ̃1	
網	uɑ̃3	
綻	tʂã5	
綿	miɪ̃2	
緊	tɕiɪn3	
緒	ʃy5	
線	ɕiɪ̃5	
緝	tɕʰiɘ7	～鞋口
緞	tõ5	
緣	yɪ̃2	
緩	xõ3	
緬	miɪ̃5	
緯	uei3	
練	ȵȡiɪ̃5	
縐	tsɵ5	
縛	pɐ7	
縣	ɕiɪ̃5	
縫	fʌŋ1	～衣
縫	fʌŋ5	一條～
縮	suɘ7	
縱	tsʌŋ5	
縷	nzʮ3	
總	tsʌŋ3	
績	tɕiɘ7	
繁	fã2	
織	tʂɘ7	
繞	ʐɔ3	圍～
繞	ʐɔ5	～線
繡	ɕiɵ5	
繩	ʂən2	
繪	xuei5	
繫	tsɿ5	～鞋帶
繭	tɕiɪ̃3	
繮	tɕiɑ̃1	
繰	tɕʰiɔ1	
繳	tɕiɔ3	
繼	tsɿ5	
續	ʃy5	
續	sɘ7	
續	suɘ7	
纏	tʂʰiɪ̃2	
纏	tʂʰiɪ̃5	被某人或某事拖住
纓	iɪn1	
纔	tsʰɛ2	～來
纜	lã3	
缸	kɑ̃1	
缺	tɕʰyɐ7	
罐	kõ5	
罕	xã3	
罩	tʂɔ5	
置	tʂʅ5	
署	ʂʉ3	
罵	mᴀ5	
罷	pᴀ5	
羅	lo2	
羊	iɑ̃2	
美	mei3	
羔	kɔ1	
羞	ɕiɵ1	
羣	tɕʰyɪn2	
羨	ɕyɪ̃5	
義	zɿ5	
羶	ʂiɪ̃1	
羹	kən1	
羽	jʮ3	
翁	ŋʌŋ1	
翅	tʂʰʅ5	
習	ɕiɘ7	
翠	tsʰei5	
翰	xã5	
翻	fã1	
翼	zɿ5	
耀	iɔ5	
老	lɔ3	
考	kʰɔ3	
者	tʂɛ3	
而	ᴀ3	
耍	ʂuᴀ3	
耐	lɛ5	
耒	lei1	鏟
耕	kən1	
耙	pᴀ5	
耬	lɵ3	
耳	ᴀ3	
耷	tɐ7	扔；倒；顛簸
耽	tã1	
耿	kən3	
聊	ȵȡiɔ2	
聖	ʂən5	
聘	pʰiɪ̃5	
聚	tʃy5	
聞	un2	
聯	ȵȡiɪ̃2	
聰	tsʰʌŋ1	
聲	ʂən1	
聶	ȵȡiɐ7	
職	tʂɘ7	
聽	tʰiɪn1	
聾	lʌŋ2	
肄	zɿ5	
肅	sɘ7	
肅	suɘ7	
肆	sɿ5	
肉	ʐɵ5	
肋	lɘ7	
肋	lɐ7	
肌	tsɿ1	
肘	tʂɵ3	
肚	tʉ3	
肝	kã1	
股	kʉ3	
肢	tʂʅ1	
肥	fei2	
肩	tɕiɪ̃1	
肪	fɑ̃3	
肫	tɕyɪn1	
肯	kʰən3	
育	yɘ7	
肺	fei5	
胃	uei5	
背	pei5	
胎	tʰɛ1	
胖	pʰɑ̃5	
胚	pʰɿ1	
胞	pɔ1	
胡	xʉ2	
胳	kɘ7	
胳	kɐ7	
胸	ɕiʌŋ1	
能	lən2	
脂	tʂʅ3	
脅	ɕiɐ7	
脆	tsʰei5	
脊	tɕiɘ7	
脖	pʰuɘ7	
脗	un3	粘
脣	tʂʰən2	
脫	tʰɐ7	
脯	pʰʉ3	
脹	tʂɑ̃5	
脾	pʰɿ2	
脾	pʰɿ3	
腎	ʂən5	
腐	fʉ3	
腑	fʉ3	
腔	tɕʰiɑ̃1	
腕	õ3	
腡	lo2	
腥	ɕiɪn1	
腦	lɔ3	
腫	tʂʌŋ3	
腮	sɛ1	
腰	iɔ1	
腱	tɕyɪ̃5	
腳	tɕyɐ7	
腸	tʂʰɑ̃2	
腹	fuɘ7	
腿	tʰei3	
膏	kɔ1	
膘	piɔ1	
膚	fʉ1	
膜	mo2	
膝	ɕiɘ7	
膠	tɕiɔ1	
膨	pʰoŋ2	
膩	nzɿ1	～拉:不清爽,不利落
膪	tʂʰuɛ5	蠢笨、不利落
膳	ʂiɪ̃5	
膽	tã3	
膿	lʌŋ2	
臀	tʰən2	
臂	pei5	
臉	ȵȡiɪ̃3	
臊	sɔ5	
臍	tsʰɿ2	
臘	lɐ7	
臣	tʂʰən2	
臥	o5	
臨	ȵȡiɪn2	
自	tsɿ5	
臭	tʂʰɵ5	
至	tʂʅ5	
臺	tʰɛ2	
臻	tʂən1	
臼	tɕiɵ5	
舀	iɔ3	
舂	tʂʰʌŋ5	
舅	tɕiɵ5	
與	jʮ3	
興	ɕiɪn1	
興	ɕiɪn5	
舉	tʃy3	
舊	tɕiɵ5	
舌	ʂɐ7	
舍	ʂi3	
舍	ʂi5	
舍	ʂiɪ̃5	
舒	ʂʉ1	
舔	tʰiɪ̃3	
舜	ʂun5	
舞	ʉ3	
舟	tʂɵ1	
航	xɑ̃2	
般	pã1	很一～
般	poŋ1	
舵	to5	
船	tʂʰõ2	
艇	tʰiɪn3	
艦	tɕiɪ̃5	
良	ȵȡiɑ̃2	
色	sɐ7	
艾	ɛ5	
芋	jʮ5	
芍	ʂuɐ7	
芒	mɑ̃2	
芒	uɑ̃2	
芙	fʉ2	
芝	tʂʅ1	
芥	tɕiɛ5	
芬	fən1	
芭	pᴀ1	
芮	ʐuei5	
花	xuᴀ1	
芳	fɑ̃1	
芹	tɕʰiɪn2	
芽	iᴀ2	
苗	miɔ2	
苘	tɕʰyɪn2	
苟	kɵ3	
若	ʐuɐ7	
苦	kʰʉ3	
苧	tʂʉ5	
英	iɪn1	
茂	mɔ5	
茄	tsʰʮ2	
茅	mɔ2	
茫	mɑ̃2	
茬	tʂʰᴀ2	
茲	tsʰɿ2	
茴	xun2	
茶	tʂʰᴀ2	
茸	ʐʌŋ2	
荀	ɕyɪn2	
草	tsʰɔ3	
荊	tɕiɪn1	
荔	nzɿ5	
荷	xo2	
莊	tʂuɑ̃1	
莖	tɕiɪn3	
莧	ɕiɪ̃5	
莫	mɐ7	
莽	mɑ̃3	
菊	tɕyɘ7	
菌	tɕyɪn3	
菖	tʂʰɑ̃1	
菜	tsʰɛ5	
菠	po1	
菢	pɔ5	
菩	pʰʉ2	
華	xuᴀ2	
華	xuᴀ5	
菱	ȵȡiɪn2	
萄	tʰɔ2	
萍	pʰiɪn2	
萎	uei3	
萬	uã5	
落	lɐ7	
葉	iɐ7	
著	tʂʉ5	
葛	kɐ7	
董	tʌŋ3	
葦	uei3	
葫	xʉ2	
葬	tsɑ̃5	
葵	kʰuei2	
葷	xun1	
蒙	moŋ2	
蒜	sõ5	
蒯	kʰuɛ3	
蒲	pʰʉ2	
蒸	tʂən1	
蒼	tsʰɑ̃1	
蒿	xɔ1	
蓄	ɕyɘ7	
蓉	iʌŋ2	
蓋	kɛ5	
蓖	pɿ5	
蓖	pʰɿ5	
蓬	pʰoŋ2	
蓮	ȵȡiɪ̃2	
蔓	mã5	
蔔	pɐ7	蘿～
蔗	tʂi1	
蔡	tsʰɛ5	
蔣	tɕiɑ̃3	
蔥	tsʰʌŋ1	
蔫	iɪ̃1	
蔬	sʉ1	
蔭	iɪn3	
蔽	pei5	
蕉	tɕiɔ1	
蕊	ʐuei5	
蕎	tɕʰiɔ2	
蕩	tɑ̃5	
蕭	ɕiɔ1	
薄	pɐ7	
薅	xɔ1	
薑	tɕiɑ̃1	生～
薛	ɕyɐ7	
薦	tɕiɪ̃5	
薩	sɐ7	
薪	ɕiɪn1	
薯	tʂʰʉ3	
薰	ɕyɪn1	
薹	tʰɛ2	
薺	tsɿ5	
藉	tɕiɘ7	
藍	lã2	
藏	tsɑ̃5	
藏	tsʰɑ̃2	
藐	miɔ3	
藕	ŋɵ3	
藝	zɿ5	
藤	tʰən2	
藥	yɐ7	
藩	fã1	
藹	ɛ3	
藿	xɐ7	
蘆	lʉ2	
蘭	lã2	
蘸	tʂã5	
虎	xʉ3	
虐	ȵȡiɐ7	
處	tʂʰʉ3	
處	tʂʰʉ5	
虛	ʃy1	
虜	lʉ3	
虞	jʮ2	
號	xɔ5	量一量
虧	kʰuei1	
虹	kɑ̃5	
虹	xʌŋ2	
蚊	un2	
蚌	pɑ̃5	
蚌	poŋ5	
蚣	kʌŋ1	
蚤	tsɔ5	
蛀	tʂʉ5	
蛆	tʃʰy1	
蛇	ʂi2	
蛋	tã5	
蛙	uᴀ1	
蛛	tʂʉ1	
蛻	tʰei5	
蛾	o2	
蜀	tʂuɘ7	
蜂	fʌŋ1	
蜈	ʉ2	
蜓	tʰiɪn2	
蜘	tʂʅ1	
蜜	miɘ7	
蜷	kʰuã2	蜷曲：他睡覺時喜歡～着；私藏：這些年她～了不少私房錢
蜻	tɕʰiɪn1	
蝕	ʂɘ7	
蝗	xuɑ̃2	
蝙	piɪ̃1	
蝟	uei5	
蝠	fuɘ7	
蝦	ɕiᴀ1	
蝨	sɐ7	
蝶	tiɐ7	
蝸	o1	
螂	lɑ̃2	
融	iʌŋ2	
螢	iɪn2	
螺	lo2	
蟀	sɘ7	
蟄	tʂɘ7	
蟄	tɕiɐ7	
蟆	mɐ7	
蟒	mɑ̃3	
蟢	sɿ3	
蟬	tʂʰã2	
蟲	tʂʰʌŋ2	
蟹	xɛ3	爬～：螃蟹
蟹	ɕiɛ5	～黃
蟻	zɿ5	
蟾	tʂʰã2	
蠅	iɪn1	
蠍	ɕiɐ7	
蠓	moŋ3	
蠟	lɐ7	
蠢	tʂʰun3	
蠶	tsʰã2	
蠻	mã2	
血	ɕyɐ7	
衆	tʂʌŋ5	
行	xɑ̃2	
行	ɕiɪn2	
術	ʂuɘ7	
街	tɕiɛ1	
衙	iᴀ2	
衛	uei5	
衝	tʂʰʌŋ1	
衡	xən2	
衣	zɿ1	
表	piɔ3	
衫	ʂã1	
衰	ʂuɛ1	
袁	yɪ̃2	
袋	tɛ5	
袍	pʰɔ2	
袐	pɿ5	
袖	ɕiɵ5	
被	pei5	
裁	tsʰɛ2	
裂	ȵȡiɐ7	
裏	nzɿ3	被～，～外
裕	jʮ5	
裝	tʂuɑ̃1	
裳	ʂɑ̃1	
裴	pʰei2	
裹	ko3	
製	tʂʅ5	
複	fuɘ7	
褒	pɔ1	
褚	tʂʰʉ3	
褥	ʐuɘ7	
褪	tʰən5	
褲	kʰʉ5	
褶	tʂɐ7	
襄	ɕiɑ̃1	
襖	ŋɔ3	
襟	tɕiɪn1	
襪	uɐ7	
襯	tsʰən5	
襲	ɕiɘ7	
襻	pʰã5	
西	sɿ1	
要	iɔ1	
要	iɔ5	
覆	fuɘ7	
見	tɕiɪ̃5	
規	kuei1	
覓	mzɿ5	
覓	miɘ7	
視	ʂʅ5	
親	tɕʰiɪn1	
覺	tɕiɔ5	
覺	tɕyɐ7	
覽	lã3	
觀	kõ1	
觀	kõ5	
角	kɐ7	
角	tɕyɐ7	
解	kɛ3	
解	tɕiɛ3	
解	ɕiɛ5	姓
觸	tsʰɘ7	
觸	tʂʰuɘ7	
言	iɪ̃2	
訂	tiɪn5	
訃	fʉ5	
計	tsɿ5	
訊	ɕyɪn5	
討	tʰɔ3	把忘拿的東西拿回來
訓	ɕyɪn5	
託	tʰɐ7	
記	tsɿ5	
訛	o2	
訟	sʌŋ5	
訣	tɕyɐ7	
訪	fɑ̃3	
設	ʂɐ7	
許	ʃy3	
診	tʂən3	
註	tʂʉ5	～解
詐	tʂᴀ5	
詔	tʂɔ5	
評	pʰiɪn2	
詞	tsʰɿ2	
試	ʂʅ5	
詩	ʂʅ1	
詭	kuei3	
話	xuᴀ5	
該	kɛ1	
詳	tɕʰiɑ̃2	
誅	tʂʉ1	
誇	kʰuᴀ1	
認	ʐən5	
誓	ʂʅ5	
誕	tã5	
誘	iɵ5	
語	jʮ3	
誠	tʂʰən2	
誣	ʉ1	
誤	ʉ5	
誦	sʌŋ5	
說	ʂuɐ7	
誰	ʂuei2	
課	kʰo5	
誼	zɿ5	
調	tiɔ5	
調	tʰiɔ2	
談	tʰã2	
請	tɕʰiɪn3	
諒	ȵȡiɑ̃5	
論	lən5	
諜	tiɐ7	
諧	ɕiɛ2	
諧	ɕiɐ7	
諫	tɕiɪ̃3	
諮	tsɿ1	
諱	xuei5	
諷	fʌŋ3	
諸	tʂʉ1	
諾	lɐ7	
謀	mo2	
謂	uei5	
謄	tʰən2	
謊	xuɑ̃3	
謎	mzɿ2	
謗	pɑ̃5	
謙	tɕʰiɪ̃1	
講	tɕiɑ̃3	
謝	ɕi5	
謠	iɔ2	
謹	tɕiɪn3	
證	tʂən5	
識	ʂɘ7	
譚	tʰã2	
警	tɕiɪn3	
譯	iɘ7	
議	zɿ5	
譳	ʐɵ5	做事不乾脆、不利落
譴	tɕʰiɪ̃1	
護	xʉ5	
譽	jʮ5	
讀	tɘ7	
變	piɪ̃5	
讒	tʂʰã2	
讓	ʐɑ̃5	
谷	kuɘ7	
豁	xuɐ7	
豆	tɵ5	
豇	tɕiɑ̃1	
豈	tsʰɿ3	
豌	õ1	
豎	ʂʉ5	
豐	fʌŋ1	
豔	iɪ̃5	
豚	tʰən2	
象	ɕiɑ̃5	
豪	xɔ2	
豫	jʮ5	
豬	tʂʉ1	
豹	pɔ5	
豺	tʂʰɛ2	
貂	tiɔ1	
貌	mɔ5	
貓	mɔ1	
貝	pei5	
貞	tʂən1	
負	fʉ5	
財	tsʰɛ2	
貢	kʌŋ5	
貧	pʰiɪn2	
貨	xo5	
販	fã5	
貪	tʰã1	
貫	kõ5	
責	tsɐ7	
貳	ᴀ5	
貴	kuei5	
貶	piɪ̃3	
買	mɛ3	
貸	tɛ5	
費	fei5	
貼	tʰiɐ7	
貿	mɔ5	
賀	xo5	
賄	xuei5	
資	tsɿ1	
賈	tɕiᴀ3	
賊	tsɐ7	
賊	tsei2	
賒	ʂi1	
賒	ʂiɪ̃1	
賓	piɪn1	
賜	tsʰɿ5	
賞	ʂɑ̃3	
賠	pʰei2	
賢	ɕiɪ̃2	
賣	mɛ5	
賤	tɕiɪ̃5	
賦	fʉ5	
質	tʂɘ7	
賬	tʂɑ̃5	
賭	tʉ3	
賴	lɛ5	
賺	tʂõ5	
購	kɵ5	
賽	sɛ5	
贅	tʂuei5	
贈	tsən5	
贊	tsã5	
贏	iɪn2	
贓	tsɑ̃1	
贖	ʂuɘ7	
赤	tʂʰɘ7	
赦	ʂi5	
赫	xɐ7	
走	tsɵ3	
赴	fʉ5	
起	tsʰɿ3	
趁	tʂʰən5	
超	tʂʰɔ1	
越	yɐ7	
趕	kã3	
趙	tʂɔ5	
趟	tʰɑ̃5	
趣	tʃʰy5	
趨	tʃʰy1	
足	tsuɘ7	
趴	pʰᴀ1	
趼	tɕiɪ̃3	
趾	tʂʅ3	
跌	tiɐ7	
跐	tʂʰʅ1	
跑	pʰɔ3	
跙	tɕʰiᴀ5	跨
跛	po1	
距	tʃy5	
跟	kən1	
跡	tɕiɘ7	
跨	kʰuᴀ5	
跪	kʰuei5	
路	lʉ5	
跳	tʰiɔ5	
踏	tʰɐ7	
踐	tɕiɪ̃3	
踐	tɕiɪ̃5	
踢	tʰiɘ7	
踧	tsʰɘ7	暫時想不起來
踹	tʂʰuɛ5	
蹄	tsʰɿ2	
蹅	tʂʰᴀ3	不小心踩到糞便或泥水
蹔	tsã5	碰：走路沒注意～牆上了
蹤	tsʌŋ1	
蹬	tən1	
蹲	tən1	
躬	kʌŋ1	
躲	to3	
躺	tʰɑ̃3	
車	tʂʰi1	
車	tʃy1	
軋	tʂɐ7	
軋	iᴀ5	
軌	kuei3	
軍	tɕyɪn1	
軒	ɕyɪ̃1	
軛	kɐ7	
軸	tʂuɘ7	
較	tɕiɔ5	
載	tsɛ3	
載	tsɛ5	
輔	fʉ3	
輕	tɕʰiɪn1	
輛	ȵȡiɑ̃3	
輛	ȵȡiɑ̃5	
輝	xuei1	
輦	ȵȡiɪ̃3	
輪	lən2	
輯	tɕiɘ7	
輸	ʂʉ1	
轄	ɕiɐ7	
轅	yɪ̃2	
轉	tʂuɛ3	狂妄、驕傲
轉	tʂõ3	
轉	tʂõ5	
轎	tɕiɔ5	
轟	xʌŋ1	
辛	ɕiɪn1	
辣	lɐ7	
辦	pã5	
辨	piɪ̃5	
辭	tsʰɿ2	
辮	piɪ̃5	
辯	piɪ̃5	
辰	ʂən2	
辱	ʐuɘ7	
農	lʌŋ2	
迂	jʮ1	
迅	ɕyɪn5	
近	tɕiɪn5	
迫	pʰɐ7	
述	ʂuɘ7	
迷	mzɿ2	
追	tʂuei1	
退	tʰei5	
送	sʌŋ5	
逃	tʰɔ2	
逆	ȵȡiɘ7	
透	tʰɵ5	
逐	tʂuɘ7	
途	tʰʉ2	
逗	tɵ5	
通	tʰʌŋ1	
逛	kuɑ̃5	
逝	ʂʅ5	
逞	tʂʰei3	
速	sɘ7	
速	suɘ7	
造	tsɔ5	
逢	fʌŋ1	
連	ȵȡiɪ̃2	
逮	tɛ3	
進	tɕiɪn5	
逵	kʰuei2	
逸	iɘ7	
逼	piɘ7	
逾	jʮ2	
遂	sei5	
遇	jʮ5	
遊	iɵ2	
遍	piɪ̃5	
遍	pʰiɪ̃5	
過	ko1	
過	ko5	
道	tɔ5	
達	tɐ7	
違	uei2	
遜	sən5	
遞	tsɿ5	
遠	yɪ̃3	
適	ʂɘ7	
遭	tsɔ1	
遮	tʂi1	
遮	tʂiɪ̃1	
遲	tʂʰʅ2	
遵	tsən1	
遷	tɕʰiɪ̃1	
選	ɕyɪ̃3	
遺	zɿ2	
遼	ȵȡiɔ2	
避	pei5	
邀	iɔ1	
邁	mɛ5	
還	xɐ7	～有
還	xuã2	動詞
邊	piɪ̃1	
那	lᴀ5	
邦	pɑ̃1	
邪	ɕi2	
邵	ʂɔ5	
郊	tɕiɔ1	
郎	lɑ̃2	
郝	xɐ7	
郡	tɕyɪn5	
部	pʉ5	
郭	kuɐ7	
郵	iɵ2	
都	tʉ1	
都	tɵ1	
鄂	ŋɐ7	
鄉	ɕiɑ̃1	
鄒	tsɵ1	
鄙	pʰɿ3	
鄧	tən5	
鄭	tʂən5	
鄰	ȵȡiɪn2	
酉	iɵ3	
酌	tʂuɐ7	
配	pʰei5	
酒	tɕiɵ3	
酒	iɪn3	
酥	sʉ1	
酬	tʂʰɵ2	
酵	ɕiɔ5	
酷	kʰuɘ7	
酸	sõ1	
醃	iɪ̃1	
醇	tʂʰun2	
醉	tsei5	
醋	tsʰʉ5	
醒	ɕiɪn3	
醜	tʂʰɵ3	
醫	zɿ1	
醬	tɕiɑ̃5	
釀	ȵȡiɑ̃5	
釁	ɕiɪn5	
釃	si3	斟酒
釉	iɵ5	
釋	ʂɘ7	
里	nzɿ3	
重	tsʰʌŋ2	
重	tʂʌŋ5	輕～
重	tʂʰʌŋ2	～複
野	zɿ3	
野	i3	
量	ȵȡiɑ̃2	
量	ȵȡiɑ̃5	
釐	nzɿ2	
金	tɕiɪn1	
釘	tiɪn1	
釘	tiɪn5	
釜	fʉ3	
針	tʂən1	
釣	tiɔ5	
釵	tʂʰɛ1	
鈀	pʰᴀ2	
鈍	tən5	
鈔	tʂʰɔ1	
鈞	tɕyɪn1	
鈴	ȵȡiɪn2	
鉗	tɕʰiɪ̃2	
鉛	tɕʰiɪ̃1	
鉢	pɐ7	
鉤	kɵ1	
鉸	tɕiɔ3	
銀	iɪn2	
銃	tʂʰʌŋ5	
銅	tʰʌŋ2	
銘	miɪn2	
銜	ɕiɪ̃2	
銳	ʐuei5	
銷	ɕiɔ1	
銼	tsʰo5	
鋒	fʌŋ1	
鋤	tsʰo2	
鋪	pʰʉ1	
鋪	pʰʉ5	
鋸	tʃy5	
鋼	kɑ̃1	
鋼	kɑ̃5	
錄	lɘ7	
錐	tʂuei1	
錘	tʂʰuei2	
錠	tiɪn5	
錢	tɕʰiɪ̃2	
錦	tɕiɪn3	
錨	mɔ2	
錫	ɕiɘ7	
錯	tsʰo5	
錶	piɔ3	
鍋	ko1	
鍍	tʉ5	
鍘	tʂɐ7	
鍛	tõ5	
鍬	tɕʰiɔ1	
鍵	tɕiɪ̃5	
鍾	tʂʌŋ1	
鎔	iʌŋ2	
鎖	so3	
鎮	tʂən5	
鏇	ɕyɪ̃5	
鏟	tʂʰã3	
鏡	tɕiɪn5	
鏵	xuᴀ2	
鏽	ɕiɵ5	
鏾	ɕyɪ̃5	～雞：閹割公雞
鐘	tʂʌŋ1	～錶
鐙	tən5	
鐮	ȵȡiɪ̃2	
鐲	tʂuɐ7	
鑄	tʂʉ5	
鑑	tɕiɪ̃5	
鑢	nzʮ1	迅速劃割
鑲	ɕiɑ̃1	
鑷	ȵȡiɐ7	
鑼	lo2	
鑽	tsõ1	
鑽	tsõ5	
鑿	tsɐ7	
長	tʂɑ̃3	
長	tʂʰɑ̃2	
門	mən2	
閂	ʂuã1	
閉	pɿ5	
閉	pei5	
開	kʰɛ1	
閏	ʐən5	
閒	ɕiɪ̃2	
間	tɕiɪ̃1	
閕	ɕiᴀ1	開一點縫
閘	tʂɐ7	
閣	kɐ7	
閨	kuei1	
閩	miɪn3	
閱	yɐ7	
閹	iɪ̃1	
閻	iɪ̃2	
闊	kʰuɐ7	
闖	tʂʰuɑ̃3	
關	kuã1	
闢	pʰiɘ7	
阜	fʉ5	
阮	ʐuã3	
防	fɑ̃2	
阻	tsʉ3	
附	fʉ5	
陋	lɵ5	
陌	mɐ7	
降	tɕiɑ̃5	
降	ɕiɑ̃2	
限	ɕiɪ̃5	
陛	pɿ5	
陡	tɵ3	
院	yɪ̃5	
陣	tʂən5	
除	tʂʰʉ2	
陪	pʰei2	
陰	iɪn1	
陳	tʂʰən2	
陵	ȵȡiɪn2	
陶	tʰɔ2	
陷	ɕiɪ̃5	
陸	lɘ7	
陽	iɑ̃2	
隆	lʌŋ2	
隊	tei5	
階	tɕiɛ1	
隔	kɐ7	
際	tsɿ5	
障	tʂɑ̃5	
隧	sei5	
隨	tsʰei2	
隨	sei2	
險	ɕiɪ̃3	
隱	iɪn3	
隴	lʌŋ3	
隸	nzɿ5	
隻	tʂɘ7	
雀	tɕʰyɐ7	
雁	iɪ̃5	
雄	ɕiʌŋ2	
雅	iᴀ3	
集	tɕiɘ7	
雌	tsʰɿ2	
雍	iʌŋ3	
雕	tiɔ1	
雖	sei1	
雙	ʂuɑ̃1	
雜	tsɐ7	
雞	tsɿ1	
離	nzɿ2	
離	nzɿ5	
難	lã2	
難	lã5	
雨	jʮ3	
雪	ɕyɐ7	
雲	yɪn2	
零	ȵȡiɪn2	
雷	lei2	
雹	pɔ5	
電	tiɪ̃5	
需	ʃy1	
震	tʂən5	
霍	xɐ7	
霜	ʂuɑ̃1	
霧	ʉ5	
露	lʉ5	
霸	pᴀ5	
靈	ȵȡiɪn2	
青	tɕʰiɪn1	
靖	tɕiɪn5	
靜	tɕiɪn5	
非	fei1	
靠	kʰɔ5	
面	miɪ̃5	
革	kɐ7	
靪	tiɪn1	
靴	sʮ1	
靸	sɐ7	
鞋	ɕiɛ2	
鞍	ŋã1	
鞏	kʌŋ3	
鞘	ɕiɔ5	
鞭	piɪ̃1	
韓	xã2	
韭	tɕiɵ3	
音	iɪn1	
韶	ʂɔ2	
韻	yɪn5	
響	ɕiɑ̃3	
頁	iɐ7	
頂	tiɪn3	
頃	tɕʰyɪn2	
項	ɕiɑ̃5	
順	ʂun5	
須	ʃy1	
頌	sʌŋ5	
預	jʮ5	
頑	uã2	
頒	pã1	
頓	tən5	
頗	pʰo1	
領	ȵȡiɪn3	
頪	lei1	低頭疾走；鑽進去
頭	tʰɵ2	
頸	tɕiɪn3	
頻	pʰiɪn2	
顆	kʰo1	
顉	kʰən5	～頭
題	tsʰɿ2	
額	ŋɐ7	
顏	iɪ̃2	
願	yɪ̃5	
顛	tiɪ̃1	
類	lei5	
顧	kʉ5	
顫	tʂiɪ̃5	
顫	tʂʰã5	
顯	ɕiɪ̃3	
風	fʌŋ1	
颬	xᴀ1	撓癢
颼	sɵ1	
飄	pʰiɔ1	
飛	fei1	
食	ʂɘ7	
飢	tsɿ1	
飩	tən5	
飯	fã5	
飲	iɪn3	
飲	iɪn5	
飼	sɿ1	
飽	pɔ3	
飾	ʂɘ7	
餃	tɕiɔ3	
餅	piɪn3	
餈	tsʰɿ2	
餉	ɕiɑ̃3	
養	iɑ̃3	
餌	ᴀ3	
餐	tsʰã1	
餓	o5	
餘	jʮ2	
餚	iɔ2	
餛	xun2	
餜	ko3	
餡	ɕiɪ̃5	
館	kõ3	
餾	ȵȡiɵ1	
餿	sɵ1	
饃	mo2	
饅	moŋ2	
饑	tsɿ1	
饒	ʐɔ2	
饞	tʂʰã2	
首	ʂɵ3	
香	ɕiɑ̃1	
馨	ɕiɪn1	
馬	mᴀ3	
馮	fʌŋ2	
馱	tʰo2	拿:～起來
馳	tʂʰʅ2	
駁	pɐ7	
駐	tʂʉ5	
駒	tʃy1	
駕	tɕiᴀ5	
駛	sɿ3	
駝	tʰo2	
駭	xɛ5	
駱	lɐ7	
騎	tsʰɿ2	
騙	pʰɿ5	
騙	pʰiɪ̃5	
騰	tʰən2	
騲	tsʰɔ3	
騷	sɔ1	
騾	lo2	
驅	tʃʰy1	
驗	iɪ̃5	
驚	tɕiɪn1	
驟	tsɵ5	
驢	nzʮ2	
骨	kuɘ7	
骯	ŋɑ̃1	
髒	tsɑ̃1	
髒	tsɑ̃5	
髓	sei3	
體	tsʰɿ3	
高	kɔ1	
髮	fɐ7	
鬃	tsʌŋ1	
鬆	sʌŋ1	
鬍	xʉ2	～子
鬏	tɕiɵ1	
鬚	ʃy1	鬍～
鬥	tɵ5	
鬧	lɔ5	
鬭	tɵ5	～着:點上火
鬮	tɕiɵ1	
鬼	kuei3	
魁	kʰuei2	
魂	xun2	
魄	pʰɐ7	
魏	uei5	
魔	mo2	
魘	iɪ̃3	
魚	jʮ2	
魯	lʉ3	
鮎	ȵȡiɪ̃2	
鮑	pɔ5	
鮮	ɕyɪ̃1	新～
鮮	ɕyɪ̃3	～少
鯉	ȵȡiɪ̃3	
鯨	tɕiɪn1	
鰓	sɛ1	
鰭	tsʰɿ2	
鱉	piɐ7	
鱔	ʂiɪ̃5	
鱖	kuei5	
鱗	ȵȡiɪn2	
鳥	ȵȡiɔ3	
鳩	tɕʰiɵ2	
鳳	fʌŋ5	
鳴	miɪn2	
鴉	iᴀ1	
鴨	iɐ7	
鴻	xʌŋ2	
鴿	kɐ7	
鵝	o2	
