#漢字	音標	解釋
#簡稱	/	宜昌
#全稱	/	宜昌話
#聲母	/	
#韻母	/	
#聲調	/	35 1 1a 陰平 ꜀,212 2 1b 陽平 ꜁,32 3 2 上 ꜂,24 5 3 去 ꜄
#版本	/	2022-03-10
#錄入人	/	峽江流月
#參考資料	/	《宜昌方言研究》
#說明	/	
凌	nin2	
湊	tsʰəu4	
凛	nin3	
凝	nin2	
几	tɕi1	～乎
几	tɕi3	～何己纪
凡	fan2	
鳳	foŋ4	
凭	pʰin2	
凱	kʰai3	
凳	tən4	
凶	ɕyŋ1	
出	tsʰu2	
擊	tɕi2	
函	xan2	
鑿	tsuo2	
刀	tau1	
刁	tiau1	
刃	ʐən4	
分	fən1	
切	tɕʰie2	
刊	kʰan1	
刑	ɕin2	
划	xua2	～船
划	xua4	计～
列	nie2	
劉	niəu2	
則	tsɤ2	
剛	kaŋ1	
創	tsʰuaŋ4	
初	tsʰu1	
刪	san1	
判	pʰan4	
刨	pʰau2	
利	ni4	
别	pie2	
刮	kua2	
到	tau4	
刷	sua2	
券	tɕyɛn4	
刺	tsʰɿ4	
刻	kʰɤ2	
劊	kʰuai4	
削	ɕio1	
剮	kua3	
劍	tɕiɛn4	
剔	tʰi1	
剖	pʰo3	
剝	po2	
劇	tɕy4	
剪	tɕiɛn3	
副	fu4	
割	kuo2	
剿	tɕiau3	
劄	tsa2	～记
力	ni2	
勸	tɕʰyɛn4	
辦	pan4	
功	koŋ1	
加	tɕia1	
劣	nɤ2	白
劣	nie2	文
動	toŋ4	
助	tsu4	
努	nu3	
劫	tɕie2	
勵	ni4	
勁	tɕin4	
勞	nau2	
勃	pʰu2	
勉	miɛn3	
勋	ɕyn1	
勒	nɤ2	
勘	kʰan1	
募	mo4	
勤	tɕʰin2	
勺	suo2	
勾	kəu1	
包	pau1	
化	xua4	
北	pɤ2	
匙	tsʰɿ3	
匠	tɕiaŋ4	
匡	kʰuaŋ1	
匣	tɕia2	
匪	fei3	
匹	pʰi2	
區	tɕʰy1	
匾	piɛn3	
匿	ni2	
十	sɿ2	
千	tɕʰiɛn1	
卅	sa2	
卉	xuei4	
半	pan4	
華	xua2	中～，～山
協	ɕie2	
卑	pei1	
卒	tsu2	
卓	tsuo2	
單	tan1	～独
單	san4	姓
賣	mai4	
南	nan2	
博	po2	
卜	pʰu2	
占	tsan1	
卡	kʰa2	
卡	tɕʰia3	发～
盧	nu2	
卦	kua4	
卯	mau3	
即	tɕi2	
卻	tɕʰio2	
卵	nuan3	
卷	tɕyɛn4	
卸	ɕie4	
卿	tɕʰin1	
廠	tsʰaŋ3	
廳	tʰin1	
历	ni2	
厲	ni4	
厘	ni2	
厚	xəu4	
廂	ɕiaŋ1	
厥	tɕye2	
廚	tsʰu2	
厮	sɿ1	
去	kʰɯ4	
去	tɕʰy4	文
縣	ɕiɛn4	
参	tsʰan1	
参	sən1	人～
叉	tsʰa1	
及	tɕi2	
雙	suaŋ1	
反	fan3	
发	fa2	
取	tɕʰy3	
受	səu4	
變	piɛn4	
敘	ɕy4	
叛	pʰan4	
叟	səu3	
疊	tie2	
口	kʰəu3	
古	ku3	
句	tɕy4	
叨	tau1	唠～
叩	kʰuo2	～头
叩	kʰəu4	文，～头
只	tsɿ1	两～
只	tsɿ3	～有
叫	tɕiau4	
召	tsau1	
可	kʰuo3	
台	tʰai2	
史	sɿ3	
號	xau2	呼～
號	xau4	～数
司	sɿ1	
嘆	tʰan4	
吃	tɕʰi2	
各	kuo2	
合	xuo2	
吉	tɕi2	
吊	tiau4	
同	tʰoŋ2	
名	min2	
后	xəu4	
吏	ni4	
吐	tʰu3	～痰
吐	tʰu4	呕～
向	ɕiaŋ4	
嚇	ɕia2	文
嚇	xɤ2	白
吕	ny3	
君	tɕyn1	
吝	nin4	
吞	tʰən1	
吠	fei4	
否	fəu3	
含	xan2	
听	tʰin1	
听	tʰin4	～其自然
启	tɕʰi3	
吵	tsʰau3	
吸	tɕi2	
吹	tsʰuei1	
吼	xəu3	
呆	tai1	文
告	kau3	
呢	ni2	
周	tsəu1	
呵	xuo1	～欠
呼	xu1	
命	min4	
和	xuo2	～气
和	xuo4	～面
咎	tɕiəu4	
咒	tsəu4	
咧	nie4	即“这”
咨	tsɿ1	
咪	mi1	
咳	kʰɤ2	
咸	xan2	白
咸	ɕiɛn2	文
品	pʰin3	
哄	xoŋ3	～骗
哈	xa1	
哈	xa3	又
響	ɕiaŋ3	
哥	kuo1	
哪	na3	
哭	kʰu2	
哼	xən1	
哽	kən3	
唆	suo1	
脣	sən2	
唐	tʰaŋ2	
嘮	nau2	
喚	xuan4	
售	səu4	
唱	tsʰaŋ4	
唾	tʰuo4	～沫，～液
啄	tsuo2	
商	saŋ1	
囉	nuo2	～嗦
啼	tʰi2	
善	san4	
喇	na3	
喉	xəu2	
喊	xan3	
喘	tsʰuan3	
喜	ɕi3	
喝	xuo1	
喝	xɤ1	～彩
喧	ɕyɛn1	
噴	fən4	～水，～香
嗅	ɕiəu4	用鼻～
嗉	su4	
嗓	saŋ3	
嗜	sɿ4	
嗝	kɤ3	
嗟	tɕie1	～来之食
嗣	sɿ4	
嗤	tsʰɿ1	
嗽	səu4	咳～
嘉	tɕia1	
嘎	ka3	
噓	ɕy1	
囑	su2	
嘴	tsuei3	
嘶	sɿ1	
嘻	ɕi1	
器	tɕʰi4	
嚏	tʰi2	
囂	ɕiau1	
嚷	ʐaŋ3	
嚼	tɕio2	
嚼	tɕiau2	
囊	naŋ2	
囚	tɕʰiəu2	
回	xuei2	
团	tʰuan2	
囤	tʰən2	
困	kʰuən4	
囱	tsʰoŋ1	
固	ku4	
國	kuo2	
圖	tʰu2	
圈	tɕʰyɛn1	圆～
圈	tɕyɛn4	猪～
土	tʰu3	
在	tsai4	
圭	kuei1	
場	tsʰaŋ2	
址	tsɿ3	
均	tɕyn1	
坍	tʰa2	～下来
坎	kʰan3	
壞	xuai4	
坐	tsuo4	
坑	kʰən1	
塊	kʰuai3	
堅	tɕiɛn1	
壩	pa4	
墳	fən2	
墜	tsuei4	
坡	pʰo1	
坤	kʰuən1	
坦	tʰan3	
坯	pʰei1	土～
垂	tsʰuei2	
壠	noŋ3	
型	ɕin2	
垒	nei3	
垢	kəu4	
墾	kʰən3	
墊	tiɛn4	
