#漢字	音標	解釋
□	tɕiou5	食物不新鲜
聽	tʰiŋ2	
聽	tʰiŋ2	~任
啓	tɕʰi2	
吳	u3	
吵	tʂʰɑo3	
吸	ɕi2	
吹	tʂʰuei2	
吻	uen3	
吼	xou2	
呆	tɛ2	
呈	tʂʰəŋ3	
告	kɑo5	
嘔	ŋou3	
員	yan2	
周	tʂou2	
味	uei5	
呼	xu1	
命	miŋ5	
和	xɤ2	~气,~尚
和	xuo5	~面
咎	tɕiou1	
詠	yŋ5	
咒	tʂou1	
咨	tsɿ1	
咬	ŋiɑo2	
咳	kʰɤ3	
咸	ɕian3	~阳.~淡
咽	ian5	
哀	ɛ2	
品	pʰin3	
哄	xuŋ3	~出去、~骗
哈	xa3	~腰
響	ɕiɑŋ3	
啞	ia2	
噦	yə5	
哥	kɤ2	
哪	na1	哪个
哭	kʰu2	
哲	tʂɤ5	
唆	suo5	
脣	fen3	
唐	tʰɑŋ2	
嘮	lɑo1	
喚	xuan5	
售	ʂou5	
唯	uei2	
唱	tʂʰɑŋ5	
啃	kʰen3	
啄	tʂuo1	
商	ʂɑŋ2	
嗇	sɤ5	
囉	luo5	
啼	tʰi3	
喂	uei2	
善	ʂan5	
喉	xou2	
喊	xan3	
喘	tʂʰuan2	
喜	ɕi1	
喝	xɤ5	
喝	xɤ1	~彩,吆~
喧	ɕyan3	
噴	pʰen2	
喻	y3	
嗅	ɕiou5	
嗉	su2	
嗓	sɑŋ3	
嗜	ʂʅ2	
嗣	sɿ5	
嗤	tʂʰʅ3	
嗽	sou3	
嘉	tɕia2	
嘘	ɕy5	
囑	tʂu3	
嘴	tsuei3	
噍	tɕiɑo3	反刍
噎	iɛ2	~住了
嚷	ʐɑŋ3	
嚼	tɕiɑo3	
囊	nɑŋ2	
囚	tɕʰiou2	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰuan2	
囤	tʰuen2	
困	kʰuen2	
圍	uei3	
固	ku5	
國	kuo2	
圖	tʰu2	
圓	yan2	
圈	tɕʰyan1	圆~
圈	tɕyan5	猪~
土	tʰu3	
聖	ʂəŋ5	
在	tsɛ5	
圭	kuei5	
地	ti5	
場	tʂʰɑŋ3	
均	tɕyn2	
坍	tʰan2	
坎	kʰan3	
壞	xuɛ5	
坐	tsuo5	
坑	kʰəŋ2	
塊	kʰuɛ5	
堅	tɕian5	
坛	tʰan2	
壩	pa1	
塢	u3	
墳	fen2	
墜	tʂʰuei5	
坡	pʰo3	
坪	pʰiŋ3	
坯	pʰei5	
坳	iɑo2	山~
垂	tʂʰuei2	
壠	ləŋ5	
型	ɕiŋ3	
垒	lei5	
垜	tuo5	
垠	uei5	
墾	kʰen3	
墊	tian5	
垮	kʰua5	
垮	kʰua2	垮
埂	kəŋ3	
埃	ɛ2	
埋	mɛ3	
域	y5	
培	pʰei3	
基	tɕi2	
堂	tʰɑŋ3	
堆	tuei2	
堡	pu5	
堤	tʰi3	
堪	kʰan5	
堰	ian5	
堵	tu3	
塌	tʰa1	
塑	suo5	
塔	tʰa1	
塘	tʰɑŋ2	
塞	sɛ3	
填	tʰian2	
境	tɕiŋ5	
墓	mu5	
牆	tɕʰiɑŋ3	
增	tsəŋ5	
墟	ɕy2	
墨	mei5	
墩	tuen5	
壁	pi3	
壅	yŋ5	
壕	xɑo2	
壤	ʐɑŋ3	
士	ʂʅ5	
壬	ʐen2	
壯	tʂuɑŋ5	
殼	tɕʰiɑo5	
壺	xu2	
處	tʂʰu5	相~、~所
備	pei5	
复	fu5	
复	fu5	~兴
夏	ɕia5	姓,季节
夕	ɕi1	
外	uɛ5	
多	tuo3	
夜	iɛ5	
够	kou5	
大	ta5	
大	tɛ2	~夫
大	ta3	~夫
天	tʰian2	
太	tʰɛ5	
夫	fu5	
央	iɑŋ3	
夯	xɑŋ5	
失	ʂʅ5	
頭	tʰou5	
夷	i2	
夸	kʰua2	
奪	tuo3	
奇	tɕʰi3	
奈	nɛ5	
奉	fəŋ5	
奮	fen5	
奎	kʰuei2	
奏	tsou5	
契	tɕʰi5	
奔	pen2	
奔	pen5	~头儿
獎	tɕiɑŋ5	
套	tʰɑo5	
奚	ɕi2	
奠	tian5	
奢	ʂɤ2	
奧	ŋɑo1	
女	ny3	
奴	nu3	
奶	nɛ2	
奸	tɕian2	
好	xɑo2	~坏
好	xɑo5	喜~
如	ʐu5	
妃	fei5	
妄	uɑŋ5	
婦	fu5	
媽	ma5	
妒	tu5	
妓	tɕi5	
妖	iɑo5	
妙	miɑo5	
妥	tʰuo2	
妨	fɑŋ3	~害
妻	tɕʰi2	
妾	tɕʰiɛ5	
姈	tɕin3	
始	ʂʅ5	
姐	tɕiɛ2	
姑	ku2	
姓	ɕiŋ5	
委	uei5	
姚	iɑo3	
姜	tɕiɑŋ5	姓氏
姜	tɕiɑŋ2	生~
姨	i2	
姻	in1	
姿	tsɿ5	
威	uei2	
嬌	tɕiɑo5	
娘	niɑŋ3	
娘	lɑŋ5	
娩	mian5	
娛	y2	
娶	tɕʰy5	
婆	pʰo3	
婚	xuen1	
嬰	iŋ3	
嬸	ʂen3	
婿	ɕy3	
媒	mei3	
媚	mei2	
媳	ɕi1	
嫌	tɕian2	
嫌	ɕian3	
嫡	ti5	
嫩	nen5	
嬉	ɕi3	
孀	ʂuɑŋ2	
子	tsɿ3	
孔	kʰuŋ5	
孕	yn5	
字	tsɿ5	
存	tsʰuen3	
孫	suen2	
孝	ɕiɑo5	
孟	məŋ5	
孤	ku1	
學	ɕyə3	
孩	xɛ3	
孵	fu3	
孽	niɛ5	
寧	niŋ3	安~
宅	tsɛ2	
宇	y2	
守	ʂou3	
安	ŋan2	
宋	suŋ5	
完	uan3	
宏	xuŋ3	
宕	tɑŋ5	
宗	tsuŋ2	
官	kuan2	
宙	tʂou5	
定	tiŋ5	
宛	uan2	
宜	i2	
寶	pɑo3	
實	ʂʅ5	
寵	tʂʰuŋ2	
審	ʂen3	
客	kʰɤ2	
宣	ɕyan3	
室	ʂʅ5	
宦	xuan5	
宪	ɕian2	
宮	kuŋ1	
宰	tsɛ2	
害	xɛ5	
宴	ian5	
宵	ɕiɑo1	
家	tɕia2	
容	ʐuŋ5	
賓	piŋ5	
宿	ɕy5	~舍
寂	tɕi5	
寄	tɕi3	
寅	in3	
密	mi5	
寇	kʰou5	
富	fu5	
寒	xan3	
寓	y5	
寢	tɕʰin2	
寞	mo1	
察	tʂʰa2	
察	piŋ3	
寡	kua2	
寥	liɑo1	
寨	tʂɛ5	
對	tuei5	
寺	sɿ5	
尋	ɕin3	
導	tɑo5	
壽	ʂou5	
封	fəŋ2	
射	ɕiɛ5	
射	ʂɤ5	
射	ʂɤ5	又音
將	tɕiɑŋ5	
將	tɕiɑŋ3	~来
尊	tsuen2	
小	ɕiɑo3	
少	ʂɑo3	~年
少	ʂɑo2	多~
尔	ɚ5	
尖	tɕian2	
塵	tʂʰen2	
尚	ʂɑŋ5	
嘗	tʂʰɑŋ3	
尤	iou3	
尥	liɑo5	
堯	iɑo2	
尬	ka2	
就	tɕiou5	
尷	kan1	
屍	ʂʅ1	
尺	tʂʰʅ2	
尼	ni2	
尽	tɕin5	
尽	tɕin3	~前
尾	uei3	
尿	niɑo5	
局	tɕy3	
屁	pʰi5	
層	tsʰəŋ5	
居	tɕy2	
屈	tɕʰy3	
屉	tʰi5	
屆	tɕiɛ3	
屋	u2	
屎	ʂʅ3	
屏	pʰiŋ3	
屐	tɕi2	
屑	ɕiɛ5	木~、不~
展	tʂan2	
屬	ʂu3	
屠	tʰu2	~夫
屢	ly2	
屯	tʰuen2	
山	ʂan5	
歲	suei5	
豈	tɕʰi3	
岐	tɕʰi3	
岔	tʂʰa1	
崗	kɑŋ1	
島	tɑo3	
巖	ian2	
嶺	liŋ3	
岳	yə5	
岸	ŋan5	
峽	ɕia5	
峰	fəŋ5	
崇	tʂʰuŋ2	
崔	tsʰuei2	
崖	ia2	
崩	pəŋ1	
嵌	tɕʰian5	
川	tʂʰuan2	
州	tʂou2	
巡	ɕyn3	
巢	tʂʰɑo3	
工	kuŋ3	
左	tsuo5	
巧	tɕʰiɑo2	
巨	tɕy5	
巫	u3	
差	tsʰa1	~别
差	tʂʰɛ2	出~
差	tsʰɿ2	参~
己	tɕi5	
己	i5	
巳	sɿ5	
巴	pa3	
巷	ɕiɑŋ5	
巾	tɕin2	
幣	pi5	
市	ʂʅ5	
布	pu5	
帥	ʂuɛ5	
帆	fan1	
師	ʂʅ5	
希	ɕi1	
帳	tʂɑŋ5	
帕	pʰa5	
帖	tʰiɛ2	
帘	lian2	
帚	tʂu1	
帛	po1	
帝	ti3	
帶	tɛ5	
席	ɕi5	
幫	pɑŋ2	
常	tʂʰɑŋ3	
帽	mɑo5	
幅	fu3	
幕	mu5	
干	kan2	~涉,~湿
干	kan3	~部
平	pʰiŋ3	
年	nian2	
并	piŋ2	
幸	ɕiŋ5	
幺	iɑo1	~二三
幻	xuan3	
幼	iou5	
幽	iou5	
廣	kuɑŋ1	
莊	tʂuɑŋ2	
慶	tɕʰiŋ5	
庇	pi5	
牀	tʂʰuɑŋ5	
序	ɕy3	
廬	lu3	
庫	kʰu5	
應	iŋ3	~当
應	iŋ2	对~
底	ti3	
店	tian5	
廟	miɑo5	
庚	kəŋ2	
府	fu5	
廢	fei5	
度	tu5	
座	tsuo5	
庭	tʰiŋ3	
庵	ŋan2	
庶	ʂu1	
康	kʰɑŋ2	
庸	yŋ5	
廉	lian3	
廊	lɑŋ5	
廓	kʰuo5	
廖	liɑo5	
延	ian2	
廷	tʰiŋ3	
建	tɕian5	
開	kʰɛ2	
异	i2	
弃	tɕʰi5	
弄	ləŋ5	
弊	pi3	
式	ʂʅ5	
弓	kuŋ1	
引	in5	
弘	xuŋ3	
弟	ti5	
張	tʂɑŋ2	
弥	mi3	
弦	ɕyan2	
彎	uan2	
弱	ʐuo5	
彈	tʰan2	~琴
强	tɕʰiɑŋ3	~弱.勉~
弼	pi5	
彀	kou2	
歸	kuei2	
當	tɑŋ2	~时
當	tɑŋ3	~作.典~
录	lou5	
彩	tsʰɛ3	
彪	piɑo2	
彭	pʰəŋ3	
影	iŋ3	
役	i5	
徹	tʂʰɤ5	
彼	pʰi2	
往	uɑŋ3	
征	tʂəŋ5	
徑	tɕiŋ5	
待	tɛ3	
很	xen3	
律	ly5	
徐	ɕy3	
徒	tʰu2	
得	tei3	
徙	ɕi2	
御	y5	
循	ɕyn2	
微	uei2	
徵	tʂəŋ5	
德	tei3	
徽	xuei2	
心	ɕin2	
必	pi5	
憶	i5	
忌	tɕi5	
忍	ʐen5	
忐	tʰan3	
忖	tsʰuen3	
志	tsɿ5	
忘	uɑŋ5	
忙	mɑŋ2	
忠	tʂuŋ2	
憂	iou2	
念	nian3	
忿	fen5	
懷	xuɛ3	
態	tʰɛ5	
慫	suŋ3	
慪	ŋou5	
怒	nou3	
怕	pʰa5	
怖	pu5	
憐	lian3	
思	sɿ1	
思	sɿ5	
怠	tɛ3	
急	tɕi3	
性	ɕiŋ5	
怪	kuɛ5	
怯	tɕʰiɛ3	
總	tsuŋ3	
恃	sɿ5	
戀	lian5	
恆	xəŋ5	
恕	ʂu5	
恢	xuei2	
恤	ɕi1	
恨	xen3	
恩	en2	
恭	kuŋ3	
息	ɕi1	
恰	tɕʰia2	
懇	kʰen3	
恶	ŋɤ5	善~
惱	nɑo3	
悄	tɕʰiɑo2	静~~
悉	ɕi5	
悔	xuei5	
悖	po2	
悠	iou5	
患	xuan5	
悦	yə5	
懸	ɕyan2	
憫	min3	
悲	pei2	
情	tɕʰiŋ3	
驚	tɕiŋ3	
惋	uo2	
惑	xuo5	
惜	ɕi5	
惟	uei2	
惠	xuei5	
慘	tsʰan3	
懲	tʂʰəŋ3	
慚	tʂʰan2	
慣	kuan5	
惰	tuo5	
想	ɕiɑŋ3	
惹	ʐuo5	
愁	tʂʰou5	
愉	y5	
意	i5	
愚	y5	
感	kan3	
憤	fen5	
願	yan2	
慈	tsʰɿ3	
慌	xuɑŋ3	
慎	ʂen5	
慕	mu5	
慢	man5	
慧	xuei5	
慨	kʰɛ1	
慰	uei5	
慷	kʰɑŋ2	
憋	piɛ2	
憎	tsəŋ2	
憨	xan2	
憾	xan5	
懂	tuŋ3	
懈	ɕiɛ3	
懊	ŋɑo1	
懶	lan5	
懵	məŋ2	
戈	kɤ2	
戊	u3	
戍	ɕy2	
戍	ʂu5	
戎	ʐuŋ3	
戲	ɕi5	
我	ŋɤ5	
戒	tɕiɛ3	
或	xuo5	
戰	tʂan5	
戚	tɕʰi5	
戟	tɕi2	
截	tɕiɛ2	
戳	tʂʰuo1	
戴	tɛ5	
房	fɑŋ3	
扁	pian3	
扇	ʂan5	
手	ʂou2	
才	tsʰɛ3	~能
才	tsʰɛ2	刚~
扎	tʂa2	
扎	tʂa1	驻~
扑	pu3	
扑	pʰu3	
打	ta3	
扔	ʐəŋ5	
托	tʰuo1	
扛	kʰɑŋ5	
扣	kʰou5	~住
擴	kʰuo5	
掃	sɑo5	
揚	iɑŋ3	
扭	niou1	
扮	pan5	
扯	tʂʰɤ2	
擾	ʐɑo5	
扳	pan2	
扶	fu1	
批	pʰi5	
扼	ŋɤ5	
扽	tei5	
找	tʂɑo3	
承	tʂʰəŋ3	
技	tɕi2	
抄	tʂʰɑo5	
把	pʰa1	
把	pʰa2	
把	pa2	~握
把	pa3	~柄
抑	i5	
抓	tʂua2	
投	tʰou5	
抖	tou5	
抗	kʰɑŋ5	
折	tʂɤ2	~叠
折	tʂɤ3	~断
折	tʂɤ1	弄~了
撫	fu1	
抛	pʰɑo5	
摳	kʰou2	
搶	tɕʰiɑŋ3	
報	pɑo5	
披	pʰi2	
抬	tʰɛ3	
抱	pʰɑo3	
抱	pɑo5	
抵	ti3	
抹	mo5	
抹	mo2	~布
押	ia2	
抽	tʂʰou2	
抿	min3	
擔	tan2	~任,挑~
拆	tʂʰei2	~开
拇	mu5	
拈	nian2	
拉	la5	
拌	pan5	
拍	pʰɛ2	
拍	pʰei2	
拎	liŋ1	
拒	tɕy5	
拔	po2	
拔	pa3	
拖	tʰuo2	
拘	tɕy2	
拙	tʂuo3	
招	tʂɑo2	
拜	pɛ5	
擬	ni2	
攏	ləŋ5	
揀	tɕian2	
擁	yŋ3	
攔	lan2	
撥	po5	
擇	tsɤ2	
括	kʰuo5	
拯	tʂəŋ2	
拳	tɕʰyan3	
拴	ʂuan2	
拼	pʰin2	
拼	pʰin3	
拼	pʰin3	~命
拽	tʂuɛ3	拖,拉
拾	ʂʅ3	~起来
拿	na2	拏
持	tʂʰʅ2	
指	tʂʅ1	
按	ŋan5	
挑	tʰiɑo3	
挖	uan5	
撓	nɑo3	
擋	tɑŋ2	
擠	tɕi3	
揮	xuei2	
挨	ɛ2	
挪	nuo2	
振	tʂen5	
挺	tʰiŋ3	
挽	uan3	
捅	tʰuŋ3	
捆	kʰuen3	
捉	tʂuo1	
捋	luo3	~袖子
捎	ʂɑo2	
捏	niɛ5	
捐	tɕyan2	
捕	pu5	
撈	lɑo2	
損	ɕyn3	~坏
換	xuan5	
捧	pʰəŋ3	
据	tɕy5	
捱	ɛ3	
捷	tɕiɛ3	
捺	na5	
捻	nian5	
掀	ɕian2	
掂	tian2	~掇
掇	tuo3	
授	ʂou5	
掉	tiɑo5	
掌	tʂɑŋ3	
掏	tʰɑo5	
掐	tɕʰia5	
排	pʰɛ2	
掘	tɕyə2	
掠	lyə5	
探	tʰan5	
接	tɕiɛ2	
控	kʰuŋ5	
推	tʰuei2	
掩	ian1	
措	tsʰuo5	
掬	tɕy2	
掮	tɕian2	
掰	pei3	
揉	ʐou2	
描	miɑo3	
提	ti2	
插	tʂʰa2	
揖	i2	
揞	ŋan5	
握	uo2	
揢	tɕʰia3	
揣	tʂʰuɛ2	~度
揩	kʰɛ3	
揪	tɕiou5	
揭	tɕiɛ2	
攬	lan2	
攙	tsʰan2	
擱	kɤ1	
摟	lou3	~取.~抱
攪	tɕiɑo3	
搓	tsʰuo2	
搜	sou2	
搞	kɑo2	
搬	pan5	
搭	ta1	
攜	ɕiɛ2	
搽	tʂʰa3	涂抹
攝	niɛ5	
攝	ʂɤ5	
摆	pɛ3	
摇	iɑo3	
攤	tʰan2	
摔	ʂuɛ2	
摘	tsei2	
摩	mo2	
摸	mo3	
摹	mo2	
撅	tɕyə3	
撇	pʰiɛ2	
撒	sa5	~手
撕	sɿ1	
撞	tʂuɑŋ5	
撞	tʂʰuɑŋ5	
撤	tʂʰɤ5	
撩	liɑo3	
撮	tsʰuo3	一~米
撰	tʂuan5	
攆	nian3	
操	sɑŋ3	
操	tsʰɑo3	~作
擎	tɕʰiŋ3	
擒	tɕʰin5	
擦	tsʰa1	
擩	ʐu5	
攀	pʰan5	
攢	tsan5	
攘	ʐɑŋ3	
攮	nɑŋ2	
收	ʂou2	
改	kɛ3	
攻	kuŋ3	
放	fɑŋ5	
政	tʂəŋ5	
故	ku3	
效	ɕiɑo5	
敵	ti2	
敏	min3	
救	tɕiou5	
教	tɕiɑo2	~书
教	tɕiɑo5	~育
斂	lian5	
斂	lian5	又
敝	pi3	
敢	kan3	
散	san5	鞋带~了.分~
敬	tɕiŋ5	
數	ʂu5	
數	ʂu1	动词
數	su5	名词
敲	tɕʰiɑo2	
整	tʂəŋ3	
文	uen3	
齋	tʂɛ2	
斑	pan5	
斗	tou5	
斗	tou3	~争
料	liɑo5	
斜	ɕiɛ5	
斟	tʂen5	
斤	tɕin1	
斥	tʂʰʅ5	
斬	tʂan3	
斷	tuan2	~绝
斷	tuan3	决~
斯	sɿ1	
新	ɕin5	
方	fɑŋ2	
