#漢字	音標	解釋
㵺	pʰai2	竹排
凝	ŋɐn2	~聚，~结
凝	ŋɐn2	凝固，~油[训]
凝	ŋɐn2	冰霜，霜~[训]
几	ki1a	茶~
凡	fan2	平~
凰	vɔŋ2	凤~
凱	ŋɔi3	~旋
凳	tɐn5	凳子
凶	hoŋ1a	吉~
凸	tʰuk8a	~起
凹	nɐp7	~面镜
出	tsʰuk8a	~入，~发
函	hɐm3	~授，信~
刀	tɔ1a	菜~
刁	tiu1a	~钻，嘴~
刃	ȵɐn3	刀~
分	fɐn1b	~数，区~[文]
分	fɐn1a	给[白]
切	tsiɛt8a	~菜
刊	hɔn3	报~
刑	jiɐn2	判~，~法
列	liɛt8a	排~;~宁(人名)
列	liɛt8a	两~(两排)[白，量]
初	tsʰɔ1a	当~，~中
判	pʰan5	~断，审~
別	piɛt8a	离~，分~
刨	pʰau2	~地，~花板
利	li1a	~润，有~
刪	ɬan1a	~除
別	piɛt8a	区~
刮	kuæk8a	~毛，搜~
到	tɔ5	~站
刴	tiɔk7	~猪肉，~肉丸[训]
制	tsɛ5	~度
刷	sæk7	~牙，牙~
刺	tsʰi5	~激，穿~
刻	hɐt8a	时~ ，~画[文]
刻	hɐt8a	~字[白]
剃	tʰɛ5	~头
則	tsɐn3	否~，规~
削	ɬiœt8a	~皮，剥~
前	tsʰian2	从~，~后
剔	tʰiɐt7	挑~
剖	pʰɔi3	解~
剛	kɔn1a	~才，~好
剝	mɔk8a	~削，~皮
剩	sɐn3	~下，~余
剪	tsian3	~刀
剮	kɔk8a	千刀万~
副	fu5	正~
割	kɔk8a	~禾(割稻)
創	tsʰɔŋ5	开~，~造
剿	kiau3	围~，~匪
劃	vɐt8a	~船
劃	væk7	计~，~线
劇	kʰiɛt8a	~烈，京~[文]
劇	kʰiɛt8a	快[白]
劈	pʰiɛt8a	~开，用刀~，雷~
劉	liu2	姓
劊	ky5	~子手
劍	kiam5	宝~
劑	tsɛ1a	一~药，药~
力	lɐt8a	大~，~量
功	koŋ1a	~夫，成~
加	ka1a	~工
劣	liɛt8a	~质，恶~
助	tsʰɔ3	帮~
努	nu3	~力
劫	kiɛp8a	抢~
勁	kɐn5	有~，~敌
勃	pʰæk8b	勃，蓬~，生机~~
勇	ȵoŋ3	~敢
勉	mian1a	~强，~励
勒	lɐt8a	~索
動	tʰoŋ3	~作[文]
動	tʰoŋ3	~来~去[白]
勘	hɐm5	~误，~探
務	mu5	任~，~农
勝	sɐn5	~任
勝	sɐn5	~利，战~
勞	lɔ2	~动
募	mu5	~捐
勢	sɛ5	~力，有权有~
勤	kʰɐn2	~劳
勳	fɐn1b	~章
勵	li3	鼓~
勸	hian5	规~
勺	sɔk8a	饭~
勻	jun2	均~
勾	ŋɐi1a	~心斗角，~引
勾	ŋɐi1b	~当
勿	mɐt8a	非礼~视
包	pau1a	钱~，~围
化	fa5	变~
北	pɐt8a	东南西北
匙	si2	锁~，汤~
匠	tsʰiœŋ3	木~
匡	vɔn1a	~扶正义;赵~胤(人名)
匣	kæp8a	匣子
匪	fɐi3	土~
匯	fɐi3	~报，~款
匹	pʰɐt7	~配
區	ʔɐi1a	姓
匾	pian3	牌~
區	kʰy1a	地~，~别
十	sɐp8a	数字
千	tsʰian1a	~万
升	sɐn1a	~级
午	ʔŋ̍3	中~，端~
半	pan5	一~，~日
卑	pi1a	自~，~鄙
卒	tsuk7	兵~，小~
卓	tsʰɔk8a	~越;姓，~别林
協	hiɛp8a	~会，~作
南	nam2	东南西北
博	pɔk8a	~士，广~
卜	kua5	占~;姓
卜	pʰæk8b	萝~
占	tsam1a	~卜
卦	kua5	八~
卯	mau1a	地支，子丑寅卯
印	jɐn5	手~
危	ŋɛ2	~险，安~
卵	luɔn3	鸡~(鸡蛋)，~生
卷	kuan3	试~[名]
卸	ɬɛ5	~货，推~
卻	kʰiœt8a	退~，~步
卽	tsɐt7	~时，立~
卿	hiɐn1a	~家;人名用字
厚	hɐi5	忠~
原	ȵan2	~来，平~
厭	jam5	讨~
厲	li3	严~，~害
去	si5	来~，过~
參	tʰam1a	~军，~加
參	tsʰam1a	~差不齐
參	tsʰam1a	人~
又	jiu3	~来
叉	tsʰa1b	刀~，~腰
及	kʰɐp8a	~时
友	jiu5	朋~，~谊
反	fan3	~对，造~
叔	sok7	二~，~~
取	tsʰui3	~钱
受	siu3	接~
叛	pan5	~徒，背~
叢	tsʰoŋ2	草~，~书
口	hɐi3	~头，开~
口	hɐi3	一~饭
古	ku3	~代
句	ky5	~号
另	lɐn3	~外
叨	sɔ1a	唠~
叩	kʰɐi5	~头
只	tsɐt7	~有
叫	kiau5	大~;小孩哭
召	tsʰau3	号~，~集
可	hɔ3	~能，许~证
台	tʰɔi2	天台
史	si3	历~
右	jiu5	左~
司	ɬia1a	公~，~令
各	kɔk8a	~人
合	hæk8a	~作，~适[文]
合	kæp8a	~本，~伙[白]
吉	kɐt8a	~利
吊	tiau5	上~，~车
同	tʰoŋ2	相~，~学
名	mian2	姓~
后	hɐi3	皇~
吏	sia3	官~
吐	tʰɔ5	~痰;呕~
向	sɔŋ5	~东
君	kuɐn1a	~子
吝	mɐn2	吝啬
吞	tʰun1a	~口水
吟	ȵɐm2	~诗
吠	hian3	狗~
否	fɐi3	是~，~定
吧	pa1b	酒~
含	hɐm2	包~[文]
含	hɐm2	~糖[白]
吳	ʔŋ̍2	姓
吵	tsʰau3	~人，争~
吸	kʰɐp8a	呼~，~引
吹	tsʰui1a	~牛皮，~喇叭
吻	mɐn3	接~
呂	ly1a	姓
呃	ŋɐt7	欺骗
呆	ŋɔi2	~板
呈	tsʰɐn2	~现，辞~
吿	kɔ5	报~，~状
周	tsiu1a	姓;~围，~年
味	mei3	~道，~精
呼	fu1a	称~，~吸，招~
命	mian3	~令[文]
命	mian3	~运，算~[白]
和	fɔ2	~平[文]
和	vɔ2	~尚[白]
和	fɔ2	唱~，~诗
和	vɔ2	~气[文]
咐	fu5	吩~
咒	tsiu5	~人
咨	tsi1a	~询
咪	mɐi1b	麦克风
咬	ŋau1a	~人
咳	kʰam3	~嗽，止~糖浆
咸	hɐm2	~丰皇帝
哀	ʔɔi1a	悲~
品	pʰien3	~德
哄	hoŋ5	~骗
員	jan2	人~，~工
哥	kɔ1b	大~，学生~
哨	ɬau5	口~
哪	nai3	~里
哪	na2	~吒
哭	kiau5	~泣
哮	hau1a	~喘
哲	tsiɛt8a	~学
哽	kʰɐn3	哽住，骨头~到
唆	sɔ1a	~使
唐	tʰɔn2	~朝;姓
唔	mɔ2	不
售	siu2	~货，出~
唯	vɐi2	~物主义
唱	tsʰɔŋ5	~歌
唾	sui2	~弃，~液
啄	tœt8a	~木鸟，鸡~米
商	sɔŋ1a	~量，经~
問	mɐn5	~题
啞	ʔa3	哑巴，~佬
啟	tʰɛ3	~发
啱	ŋam1a	合适，恰巧
啼	tʰi2	哭哭~~[文]
啼	tʰɛ2	鸡~[白]
善	sian3	~良，心~
喉	hɐi2	~咙
喊	ham5	叫[文]
喊	ham5	叫[白]
喘	tsʰɔn3	哮~
喚	vɔn3	呼~
喝	hɔk8a	吆~，~彩
喧	ɬian1a	~哗，~闹
喪	ɬɔn5	婚~，~事
喪	ɬɔn5	~失
喬	kʰiau2	姓
單	tan1a	~独
單	sam2	姓
喩	jy3	比~
嗅	tsʰiu5	~觉
嗓	ɬɔn1a	金~子
嗣	sia2	后~;谭~同
嗽	ɬiu5	咳~
嘆	tʰan5	~气
嘉	ka1a	~宾
嘔	ʔɐi3	~吐
嘗	sɔŋ2	~试，品~
噓	tsʰa1a	吹~
嘢	ȵa1a	东西
嘮	lɔ1a	~叨
嘴	tsɔi5	嘴巴[文]
嘴	tsɔi5	嘴巴[白，训]
嘻	hi3	~皮笑脸
噍	ȵai5	嚼
器	hi5	武~，机~，~重
噴	pʰɐn5	~水;~嚏
嚇	hæk8a	~人
嚇	hɐt8a	~一跳
嚥	jiɐn1a	~喉
嚴	ȵam2	~格;姓
嚼	tsʰiœt8a	咀~，~碎
囂	hiau1a	~张
囉	lɔ1a	喽~，~嗦
囊	nɔŋ2	背~
囑	tsok8a	遗~，~托
囚	tsʰiu2	~犯
四	ɬi5	数字
回	fɐi2	~想[文]
回	fɐi2	~礼[白]
因	jɐn1a	原~
囤	tʰun2	~积
囥	ʔɐm1a	藏
囪	tsʰoŋ1a	烟~
困	kʰɐn5	~难
固	ku5	~定
圈	kʰuan1b	圆~，~套
國	kɔk8a	~家，中~
圍	vɐi2	包~，~墙
園	jan2	菜~，花~
圓	jan2	团~
圖	tʰu2	画~，地~
團	tʰɔn2	~结，~长
土	tʰu3	~地
在	tsʰɔi3	实~，现~[文]
在	tsʰɔi1a	存在，还~[白]
圭	kuɐi2	人名用字;乌拉~
地	tʰi3	土~
圳	tsɐn5	深~;田中小沟
址	tsi3	地~
均	kuɐn1a	平~，~匀
坍	tʰæk8a	~塌
坎	hɐm1a	~坷
坐	tsʰɔ1a	~车，~稳
坑	hɐn1a	水~，~沟
坡	pʰɔ1a	山~，~度
坤	kʰuɐn1a	乾~
坦	tʰan3	~白，~克
坪	pʰɐn2	草~
坯	pʰɔi1a	泥~，毛~房
坳	ʔau5	山~，~背
坼	tsʰæk8a	裂开，爆~
垂	sui2	下~，~头丧气
型	jiɐn3	~号，类~
垮	kʰa1a	~台
垻	pa5	平地，湖洋~
埃	ʔai1a	尘~，~及
埋	hoŋ1a	~伏
城	sɐn2	~市，县~
域	jɐt7	领~，地~
埠	fɐi3	开~
埠	fɐi3	庵~，蚌~(地名)
執	tsɐp8a	~行，~法
培	pʰɔi2	~训
基	ki1a	~本，地~
堂	tʰɔn2	~兄，拜~，课~
堅	kian1a	~强
堆	tɔi1b	一~[量]，~放[动]
堡	pɔ3	碉~
堤	tʰi2	河~，~坝
堪	hɐm1a	难~，不~
堯	ȵau2	~舜禹
堰	jan5	坝，都江~
報	pɔ5	~告，日~
場	tʰɔŋ2	排~，~地
堵	ɬɐt7	~车，~塞
塊	mɐn1b	一~钱
塊	fai5	一~
塌	tʰæk8a	倒~
塍	sɐn2	田~
塑	ɬɔk8a	雕~，~料
塔	tʰæk8a	宝~
塗	tʰu2	糊~，~改
塘	tʰɔn2	鱼~
塞	ɬɐt7	堵~，~车
塢	vu1a	船~
塡	tʰian2	~空
塵	tsʰɐn2	灰~，~灰
境	kiɐn3	环~，~界
墅	ɬui3	别~
墊	tʰiam3	~钱，座~
墓	mu5	坟~，~地
墜	tsʰui3	下~，玉~[文]
墜	tsʰui3	目~~[白]
增	tsɐn1a	~加
墟	nau3	~日
墨	mɐt8a	~水
墩	tun3	桥~
墳	fɐn2	~墓，上~
墾	hɐn2	开~
壁	pɐt8a	墙~
壇	tʰan2	天~，文~
壓	ʔæp8a	~力
壕	hɔ2	战~
壘	lui2	堡~，~球
壞	vai3	~人
壟	loŋ3	~断
壢	liɛt8a	地~(旱地)
壤	ȵɔŋ2	土~
壩	pa5	堤，溪~
士	sia3	~兵
壬	ȵɐm3	天干，庚辛壬癸
壯	tsɔŋ5	强~
壺	fu2	水~
壽	siu3	长~
夏	ha3	姓
夏	ha3	春~秋冬
夕	tsʰiɐt8a	~阳
外	ŋɔi3	~面
多	tɔ1a	~少
夜	ja3	日~，~班
夠	kɐi5	足~
夢	moŋ3	发~
夥	fɔ3	合~，~计
大	tʰai3	~夫，~黄
大	tʰai3	大小
天	tʰian1a	~才
太	tʰai5	老~婆
夫	fu1a	~妻，车~
夭	jiau1a	~折
央	jiɔŋ1a	中~台，党中~[文]
央	jiɔŋ1a	中~(中间)[白]
失	tsɐn3	~去，丧~
夷	ji2	化险为~，蛮~
夾	kʰiɛt8a	夹子;~心饼干
奀	ŋian1b	瘦小
奇	ki2	~怪
奉	foŋ3	~献，~承
奎	kʰuɐi2	人名用字;~宁(药名)
奏	tsiu5	节~
契	kʰɛ5	房~，~约
奔	pɐn1a	~跑，东~西走
套	tʰɔ5	配~，~房
奚	kʰɛ1a	~落
奠	tian3	~基
奧	ʔɔ5	~妙，~运会
奪	piɛt3	~取
奮	fɐn3	~斗
女	ȵy3	女人
奴	nu2	~隶
奶	nai5	二~，~牛
奸	kan1a	~诈，~臣
好	hɔ3	~人
好	hɔ5	爱~
如	ȵy2	~果，假~
妃	fɐi1a	贵~
妄	mɔŋ3	狂~，痴心~想
妓	kʰi5	~女
妖	jiau1a	~怪
妙	miau3	~计
妝	tsɔŋ1a	化~
妥	tʰɔ5	~当
妨	fɔn2	~碍
妬	ki5	~忌
妹	mɔi5	妹妹，姊~，老~
妻	tsʰi1a	夫~
妾	tsʰiɛp8a	小老婆
姊	tsia3	~妹
始	si3	开~，~终
姐	tsia3	小~[文]
姐	tsia3	姐姐[白]
姐	tsi3	姐姐2[白]
姑	ku1a	大~
姓	ɬian5	~名
委	vei3	~托，常~
姚	jau2	姓，~明
姜	kiœŋ1a	姓，孟~女，~太公
姨	ji2	大~，~丈
姪	tsʰɐt8a	~子
姻	jɐn1a	婚~
姿	tsi1a	~势
威	vɐi1a	~风，~胁
娃	va1a	洋~~
娘	niœŋ2	姑~
娛	jy2	~乐
娠	sɐn2	妊~反应
娩	mian3	分~
婆	pʰɔ2	老~
婚	fɐn1a	结~
婦	fu3	~女[文]
婦	fu3	新~(儿媳)[白]
婦	fu3	~娘[白]
婿	ɬɛ5	女~
媒	mɔi2	~人
媚	mi2	~眼，妩~;人名用字
媳	ɬɐt8a	~妇，婆~
媽	ma1b	妈妈
媽	ma1b	~祖
嫁	ka5	~人
嫂	ɬɔ3	大~
嫌	sam2	~弃，~人
嫖	pʰiau2	~娼
嫡	tiɐt7	~系，~亲，~子
嫩	nun3	不老
嫲	ma2	雌性
嫽	liau3	玩耍
嬉	hi3	玩，~戏
嬌	kiau1b	~气，做~(撒娇)
嬰	jin1a	~儿
嬸	sɐm3	叔母，大~
孀	ɬɔŋ1a	遗~
子	tsia3	~孙;孔~
孔	hoŋ3	钻~;姓，~子
孕	ȵɐn3	怀~，~妇
孖	lɔn1a	双
字	ɬia3	~典，文~
存	tsʰuɔn2	~在，~折，储~
孝	hau5	~顺
孟	mɐŋ3	姓，~姜女
季	kuɐi5	四~，~节
孤	ku1a	~儿，~单
孩	hɔi2	~童
孫	ɬɐn1a	姓;子~
孵	fu1a	孵小鸡
學	hɔk8a	数~，~习
孽	miɛt8a	造~
宅	tsæk8b	住~
宇	jy3	~宙
守	siu3	看~所，保~
安	ʔɔn1a	公~，~全
宋	ɬoŋ5	~朝;姓，~美龄
完	jan2	~全[文]
完	jan2	用~，食~[白]
宏	vɐn2	~大
宗	tsoŋ1a	祖~，~教
官	kɔn1a	~司，当~
宙	tʰiu3	宇~
定	tʰɐn2	稳~;永~(地名)
宜	ȵi2	适~，~昌
客	hɐk8a	请~
宣	ɬian1a	~布，~传
室	sɐn3	教~，~内
宦	van3	~官
宮	koŋ1a	~殿，大闹天~
宰	tsɔi3	~相
害	hɔi3	~人
宴	jian5	~会
宵	ɬiau1a	元~，夜~
家	ka1a	老~，~庭
容	jioŋ2	~易，宽~
宿	lok7	星~
宿	lok7	~舍，住~
寂	tsʰɐt8a	~寞
寄	ki5	~信，~托
寅	ȵɐn2	地支，子丑寅卯
密	mɐt8a	秘~，~封
寇	kʰɐi5	姓，~准;倭~
富	fu5	丰~，~贵
寐	mei3	梦~以求，假~
寒	hɔn2	大~，~流
寓	jy3	~言;公~
寞	mɔk8a	寂~
察	tsʰæk8a	观~
寡	ka3	~妇，守~
寢	tsɐm3	就~，~室，废~忘食
寥	liau3	~~无几
實	sɐt8a	老~，~在
寧	nɐn2	安~;~波(地名)
寧	nɐn2	~可
寨	tʰai3	山~，大~
審	sɐm3	~问
寫	ɬia3	~字
寬	fɔn1a	~松
寵	tsʰoŋ3	~爱，得~
寶	pɔ3	~贝
寸	tsʰun5	尺~
寺	sia3	~庙，灵光~
封	foŋ1a	密~
射	sa3	发~，~箭
射	sa3	~箭，发~
將	tsiœŋ1a	~来;~军
將	tsiœŋ3	大~，~士
專	tsʰɔn1a	~门，大~
尊	tsuɔn1a	~重
尋	tsʰɐm2	~人
對	tui5	~错;成双成~
導	tʰɔ5	领~，~师
小	ɬiau3	~姐，~人
少	sau3	~数，多~
少	sau5	~年，~爷
尖	tsiam1a	~刀
尙	sɔŋ3	和~，高~
尤	jiu2	~其
尬	kai5	尴~
就	tsʰiu3	成~，~去
尷	kam5	~尬
尹	vɐn1a	姓，~相杰
尺	tsʰɐk7	~寸
尼	nɛ2	~姑
尾	mei1a	尾巴
尿	ȵau3	屙~
局	kʰok8a	~部，公安~
屁	pʰi5	放~
居	ky1a	~民
屆	kai5	第一~
屈	vɐt7	委~，~服[文]
屈	vɐt7	委屈，~气[白]
屋	ʔok8a	老~
屍	si1a	~体，死~
屎	si3	狗~
屛	pʰɐn2	~风，~障
屐	kʰiɛp8a	木~
屑	ɬiɛt7	锯~[白，名]
屑	liɛt7	不~一顾[文，动]
展	tsian3	开~，发~
屙	ʔɔ1a	排泄，~尿，~屎
屜	tʰɔ1b	抽~
屠	tʰɔ2	~杀
屢	lui3	~次，~教不改
層	tsʰɐn2	~次
履	ly1a	~行，~历
屬	tsʰok8a	~于，家~
屯	tʰun2	~田
山	ɬan1a	山
岐	kʰi2	~山
岑	kʰɐm2	姓，~参;~村
岔	tsʰa5	~路
岔	tsʰa1b	三~路口
岡	kɔn1a	井~山(地名)
岳	ŋɔk8a	姓，~飞
岸	ʔɔn5	口~，两~
峯	foŋ1a	山~
島	tɔ3	海南~
峽	hiɛp8a	三~(地名)
崇	soŋ2	~高，推~
崔	tʰui1a	姓，~莺莺
崖	ŋai2	悬~
崗	kɔn1a	站~，~位
崙	lun2	昆~
崠	tsiɛt8a	山~(山脊)，屋~(屋脊)
崩	pɐŋ1a	倒塌，山~，~溃
嵩	soŋ2	~山;严~(人名)
嶂	tsɔŋ1a	耸立如屏障的山峰
嶺	tian1a	~南[文]
嶺	lian1a	~岗[白]
嶽	ŋɔk8a	五~
巖	ŋɐm2	~石，石灰~
川	tsʰɔn1a	四~
州	tsiu1a	广~
巡	tsʰun2	~逻，出~
巢	tsʰiu2	雀~
工	koŋ1a	~人，打~
左	tsɔ3	~右
巧	hau3	~合
巨	kʰy3	~大
巫	mɔ1b	姓;~婆
差	tsʰa1a	~别
差	tsʰai1a	出~
差	tsʰai1a	参~不齐
己	ki3	自~
已	ji3	~经
巳	ji3	地支，~时
巴	pa1a	~掌，~结，~黎
巷	hɔŋ3	巷子，两条~
巾	kɐn1a	围~
巿	si3	~场，城~
布	pu5	红~，~料
帆	fan2	~船
希	hi1a	~望
帕	pʰɐk8a	手~
帖	tʰiɛp8a	请~
帝	ti5	皇~
帥	ɬɔi5	元~
師	sa1a	老~，~父
席	tsʰiɐt8a	酒~，主~
帳	tsɔn5	蚊~
帶	tai5	鞋~
常	sɔŋ2	经~，~识;姓
帽	mɔ3	草~
幅	fok7	一~画，~度
幕	mɔn8a	报~，~布
幣	pʰi3	人民~
幫	pɔn1a	~忙
干	kɔn1a	天~地支;~扰
平	pʰɐn2	和~，~时[文]
平	pʰian2	~头，~地[白]
年	ȵan2	过~
幸	hɐn3	荣~，~福
幹	kɔn5	~部，才~
幻	van3	科~，~想
幼	jiu5	细小，~稚
幽	jiu1b	~默
幾	ki1a	~乎
幾	ki3	~只
幾	ki3	~何
庇	pi5	包~，~护
序	tsʰui3	顺~
底	tɛ3	水~
店	tiam5	开~
庚	kɐn1a	天干，庚辛壬癸
府	fu3	政~
度	tʰu3	~数，长~
度	tʰu3	思~
座	tsʰɔ3	~位，上~
庫	fu5	水~，仓~
庭	tʰɐn2	家~，~院
庵	ʔɐm1a	尼姑~
庶	sa5	~民
