#漢字	音標	解釋
喎	vo3	～人：叫人
哈	kʰap7	
哉	tsai1	
員	ian2	
哥	ko1	
哦	ŋo2	
哩	le1	
哪	nai3	
哭	kʰuk7	
哯	lien3	吐出
哲	tsat7	
哹	fu1	
哼	hen1	
唆	so1	
唇	sun2	
唉	ai1	
唐	tʰoŋ2	
唔	m2	
唧	tsit7	
售	tsʰu2	
唯	vi2	
唱	tsʰoŋ5	
唾	tʰo5	
啄	tuk7	
商	soŋ1	
啊	o1	
問	mun5	
啐	tsʰui5	
啜	tsʰot7	喝湯或稀粥
啞	a3	
啟	kʰi3	
啡	fi1	
啤	pe1	
啦	la1	
嘓	kuet8	
囉	lo1	
啱	ŋam1	～好：正好
啼	tʰai2-	
啾	tsiu1	
喂	voi1	
喂	vai5	
喂	foi5	
喃	nam2	
善	san5	
喉	heu2	
喊	hem1	
喊	ham5	
喘	tsʰon3	
喚	fon5	
喜	hi3	
喝	hot7	
喧	sien1	
喪	soŋ3	
喬	kʰiau2	
單	tan1	
喲	io1	
喳	tsa1	
喻	i5	
嗆	tsʰioŋ5	
嗉	sɿ5	
嗎	ma2	
嗓	soŋ1	
嗓	soŋ3	
嗜	sɿ5	
嗝	kak7	
嗟	tsia1	
嗦	so1	
嗨	hoi3	
嗩	so3	
嗯	en1	
嗲	tia1	
嗷	ŋau2	
嘈	tsʰau2	
嘉	ka1	
嘍	leu2	
嘐	tau2	
嘔	eu3	
嘗	soŋ2	
嘟	tu1	
嘩	fa2	
嘬	tsot8	
嘭	pʰaŋ2	
嘮	lau2	
嘯	siau5	
嘴	tsui3	鳥～
嘴	tsoi5	
嘻	hi1	
嘿	het7	
噁	ok7	
噍	tsʰiau5	嚼
噎	it7	
噓	hi1	
噠	tʰat8	
器	hi5	
噩	ŋok8	
噴	pʰun5	
噸	tun3	
噹	toŋ1	
嚇	hak7	
嚴	ŋiam2	
嚷	ioŋ5	
囁	ŋiap7	閃
囂	hiau1	
囊	noŋ2	
囑	tsuk7	
囚	siu2	
四	si5	
回	fi2	
囟	sim5	
因	in1	
囤	tʰun2	
囪	tsʰuŋ1	
囫	vut7	
困	kʰun5	
固	ku5	
圈	kʰian1	
國	kuet7	
圍	vi2	
園	ian2	
圓	ian2	
圖	tʰu2	
團	tʰon2	
土	tʰu3	
在	tsʰai5	
圭	kui1	
圳	tsun5	
址	tsɿ3	
均	kiun1	
坊	pioŋ1-	
坎	kʰam3	
坐	tsʰo1	
坑	haŋ1	
坡	po1	
坤	kʰun1	
坦	tʰan3	
坪	pʰiaŋ2	
坭	nai2	
坯	pʰoi1	
坳	au5	
坵	kʰiu1	一～田：一塊田
坷	kʰo1	
垂	sui2	
型	hin2	
埃	ai1	
埋	mai2	
城	saŋ2	
域	vet7	
埠	feu5	
執	tsəp7	
培	pʰi2	
基	ki1	
堂	tʰoŋ2	
堅	kian1	
堆	toi1	
堡	pau3	
堤	tʰi2	
堪	kʰam1	
堯	ŋiau2	
堰	ian5	
報	pau5	
場	tsʰoŋ2	
堵	tu3	
塌	tʰap7	
塍	sun2	
塑	sok7	
塔	tʰap7	
塗	tʰu2	
塘	tʰoŋ2	
塚	tsʰuŋ3	
塞	set7	
塢	vu1	
填	tʰen2	
填	tʰien2	
塵	tsʰən2	
塹	tsam3	
境	kin5	
墊	tiam5	
墒	soŋ1	
墓	mu5	
墜	tsui5	
增	len5	
墟	hi1	
墨	met8	
墩	tun1	
墮	tʰo5	
墳	fun2	
壁	piak7	
壅	iuŋ1	
壇	tʰam2	
壇	tʰan2	
壘	lui3	
壞	fai5	
壟	liuŋ1	
壢	lak7	
壤	ioŋ5	
壩	pa5	
士	sɿ5	
壯	tsoŋ5	
壹	it7	
壺	fu2	
壽	su5	
夏	ha5	
外	ŋoi5	
多	to1	
夜	ia5	
夠	keu5	
夢	mu5	
夥	fo2	
夥	fo3	
大	tʰai5	
天	tʰien1	
太	tʰai5	
夫	fu1	
夭	iau1	
央	ioŋ1	
夷	i2	
夾	kiap8	
奄	iam1	
奇	kʰi2	
奈	nai3	
奉	fuŋ5	
奎	kʰui2	
奏	tseu5	
契	kʰat7	～丹
奔	pun1	
套	tʰau5	
奚	hi1	
奠	tʰien5	
奢	tsʰa1	
奧	au5	
奪	tʰot8	
女	n3	
奴	nu2	
奶	nai1	
奸	kian1	
她	tʰa1	
如	i2	
妃	fi1	
妍	ŋan1	
妒	tu5	
妓	kʰi1	
妖	iau1	
妗	kʰim1	
妙	miau5	
妝	tsoŋ1	
妞	ŋiu3	
妥	tʰo3	
妨	foŋ2	
妳	ŋi2	
妹	moi5	
妻	tsʰi1	
妾	tsiap7	
姆	me1	
姊	tsi3	
始	tsʰɿ3	
姍	san1	
姐	tsia3	
姑	ku1	
姓	siaŋ5	
委	vi1	
姘	pʰin5	
姚	iau2	
姜	kioŋ1	
姨	i2	
姻	in1	
姿	tsɿ1	
威	vi1	
娃	va1	
娘	ŋioŋ2	
娛	ŋu2	
娜	na2	
娟	kian1	
娠	sən1	
娶	tsʰi3	
娼	tsʰoŋ1	
婆	pʰo2	
婉	van3	
婊	piau3	
婕	tsʰiap8	
婚	fun1	
婦	fu5	
婪	lam2	
婷	tʰin2	
婿	se5	
媒	moi2	
媚	mi2	
媧	vo1	
媳	sit7	
媽	ma1	
媾	keu5	
嫁	ka5	
嫂	sau3	
嫌	hiam2	
嫡	tit7	
嫩	nun5	
嫫	mo2	
嫲	ma2	狗～：母狗
嫻	han2	
嬈	hiau2	
嬉	hi1	
嬋	sam2	
嬌	kiau1	
嬡	oi5	
嬰	in1	
孀	soŋ1	
子	tsɿ3	
孔	kʰuŋ3	
孕	in3	
字	sɿ5	
存	sun2	
孟	men5	
季	kui5	
孤	ku1	
孩	hai2	
孫	sun1	
孱	tsʰan5	番～：調皮
孵	pʰu5	
學	hok8	
它	tʰa1	
宅	tsʰet8	
宇	i1	
守	su3	
安	on1	
宋	suŋ5	
完	van2	
完	von2	整個
宏	fen2	
宗	tsuŋ1	
官	kuon1	
宙	tsʰiu5	
定	tʰin5	
宛	van3	
宜	ŋi2	
客	hak7	
宣	sien1	
室	sət7	
宦	fon5	
宮	kiuŋ1	
宰	tsai3	
害	hoi5	
宴	ian5	
宵	siau1	
家	ka1	
容	iuŋ2	
宿	siuk7	
寂	siuk7	
寄	ki5	
寅	i2	
密	met8	
富	fu5	
寐	mi5	
寒	hon2	
寓	ŋi5	
寞	mok7	
察	tsʰat7	
寡	kua3	
寢	tsʰim3	
實	set8	
寧	nen2	
寨	tsʰai5	
審	səm1	
寫	sia3	
寬	kʰuon1	
寵	tsʰuŋ3	
寶	pau3	
寸	tsʰun5	
寺	tsʰɿ5	
封	fuŋ1	
射	sa5	
尅	kʰet7	
將	tsioŋ1	
將	tsioŋ5	
專	tson1	
尉	vi3	
尊	tsun1	
尋	tsʰim2	
對	tui5	
導	tʰau1	
小	siau3	
少	sau3	
少	sau5	
尖	tsiam1	
尚	soŋ5	
尤	iu2	
就	tsʰiu5	
尹	iun1	
尺	tsʰak7	
尼	ni2	
尾	mi1	
尿	ŋiau5	
屁	pʰi5	
居	ki1	
屈	kʰiut7	
屍	sɿ1	
屎	sɿ3	
屏	pʰin2	
屐	kʰiak8	
展	tsan3	
屙	o1	
屜	tʰi5	
屠	tʰu2	
屢	lui1	
層	tsʰen2	
履	li3	
屯	tun3	
山	san1	
岑	tsʰem2	
岔	tsʰa5	
岡	koŋ1	
岩	ŋam2	
岷	min2	
岸	ŋan5	
峯	fuŋ1	
島	to3	
峻	tsun5	
峽	hiap8	
崇	tsʰuŋ2	
崑	kʰun1	
崔	tsʰui1	
崖	ŋai2	
崙	lun2	
崩	pen1	
嵌	kʰiam2	
嵩	siuŋ1	
嶇	kʰi1	
嶺	liaŋ1	
嶺	liaŋ3	
嶽	ŋok8	
巋	kui1	
巍	ŋui2	
川	tsʰon1	
州	tsu1	
巡	sun2	
巢	sau2	
工	kuŋ1	
左	tso3	
巨	kʰi1	
巫	mu2	
差	tsʰa1	
己	ki3	
巳	sɿ5	
巴	pa1	
巷	hoŋ5	
巾	kin1	
市	sɿ5	
布	pu5	
帆	fam2	
希	hi1	
帕	pʰa5	面～：毛巾
帖	tʰiap7	
帚	tsu3	
帛	pʰet8	
帝	ti5	
帥	sai5	
師	sɿ1	
席	tsʰiak8	
席	sit8	出～
帳	tsoŋ5	
帶	tai5	
帷	vi2	
常	soŋ2	
帽	mau5	
幅	fuk7	
幕	mok7	
幣	pi5	
幫	poŋ1	
干	kon1	
平	pʰiaŋ2	
平	pʰin2	
年	ŋian2	
幹	kon1	
幹	kon5	
幻	fam5	
幼	iu5	
幽	iu2	
幾	ki1	～何
幾	ki3	～隻
牀	tsʰoŋ2	
底	tai3	
店	tiam5	
庚	kaŋ1	
府	fu3	
度	tʰu5	
座	tsʰo5	
庫	kʰu5	
庭	tʰin2	
庵	am1	
庶	su5	
康	kʰoŋ1	
庸	iuŋ2	
廁	tsʰɿ5	
廂	sioŋ1	
廄	ki5	
廈	ha5	
廉	liam1	
廓	kuok7	
廖	liau5	
廚	tsʰu2	
廝	sɿ1	
廟	miau5	
廠	tsʰoŋ3	
廢	fi5	
廣	kuoŋ3	
廬	lu2	
廳	tʰaŋ1	
廳	tʰin1	
延	ian2	
廷	tʰin2	
建	kian5	
弄	luŋ3	玩～
弄	luŋ5	
弊	pi5	
式	sət7	
弓	kiuŋ1	
引	in3	
弘	fen2	
弟	tʰai1-	
弟	tʰi5	
弦	hian2	
弧	fu2	
張	tsoŋ1	
強	kʰioŋ2	
強	kioŋ3	
弼	pʰet7	
彈	tʰan2	
彎	van1	
形	hin2	
彥	ŋian5	
彩	tsʰai3	
彪	pʰiau1	
彬	pin1	
彭	pʰaŋ2	
彰	tsoŋ1	
影	iaŋ3	
役	it8	
彼	pi3	
彿	fut7	
往	voŋ1	
征	tsən1	
待	tʰai5	
很	hen1	
律	lit8	
後	heu1	
徏	sai3	
徐	tsʰi2	
徑	kaŋ5	
徒	tʰu2	
得	tet7	
徛	kʰi1	站立
從	tsʰiuŋ2	
循	sun2	
微	mi2	
德	tet7	
徹	tsʰat8	
心	sim1	
必	pit7	
忌	kʰi3	
忍	ŋiun1	
志	tsɿ5	
忘	moŋ2	
忙	moŋ2	
忠	tsuŋ1	
念	ŋiam5	
忽	fut7	
忿	fun3	
怒	nu5	
怕	pʰa5	
怖	pu5	
思	sɿ1	
怠	tʰai5	
怡	i5	
急	kip7	
性	siaŋ5-	
性	sin5	
怨	ian5	
怪	kuai5	
怯	kʰiap7	
怱	tsʰuŋ1	
怵	sut8	
恐	kʰiuŋ3	
恕	su5	
恢	foi1	
恥	tsʰɿ3	
恨	hen5	
恩	en1	
恬	tʰiam3	
恭	kiuŋ1	
息	sit7	
恰	kʰap7	
悄	tsʰiau3	
悅	iat8	
悉	sit7	
悔	fi5	
悟	ŋu5	
悠	iu2	
患	fam5	
悮	ŋu5	
悲	pi1	
悶	mun3	
情	tsʰin2	
惕	tʰit7	
惜	siak7-	疼愛
惜	sit7	
惟	vi2	
惠	fi5	
惡	ok7	
惦	tiam5	
惰	tʰo5	
惱	nau1	生氣
惱	nau3	
想	sioŋ3	
惴	tsʰoi3	
惹	ŋia1	
愁	seu2	
愈	i5	
愉	i5	
愕	ŋok8	
愚	ŋi2	
愛	oi5	
感	kam3	
愧	kʰui3	
慈	tsʰɿ2	
態	tʰai5	
慌	foŋ1	
慕	mu5	
慘	tsʰam3	
慚	tsʰam3	
慢	man5	
慣	kuan5	
慧	fi5	
慨	kʰoi3	
慫	suŋ3	
慮	li5	
慰	vi3	
慶	kʰin5	
慷	kʰoŋ3	
慾	iuk8	
憂	iu2	
憋	piet7	
憎	len5	
憐	lin2	
憑	pʰin2	
憚	tan3	
憤	fun3	
憫	men3	
憲	hian3	
憶	it7	
憾	ham5	
憿	kiak7	快
懂	tuŋ3	
懈	hai5	
應	in5	
懊	au5	
懦	no5	
懵	muŋ3	
懶	lan1	
懷	fai2	
懸	hian2	
懼	kʰi3	
戀	lien5	
戇	ŋoŋ5	
戈	kʰo1	
戊	vu5	
戍	sut7	
戎	iuŋ1	
成	tsʰaŋ1-	
成	saŋ2-	
成	sən2	～功
我	ŋo1	
我	ŋai2	
戒	kiai5	
或	fet8	
戚	tsʰit7	
戟	kit7	
截	tsʰiet8	
戰	tsan5	
戳	tsʰok7	
戳	tsʰok8	
戴	tai5	
戶	fu5	
戽	fu5	
房	pʰioŋ2	姓
房	foŋ2	
所	so3	
扁	pien3	
扇	san5	
手	su3	
才	tsʰoi2	
扒	pʰa1	～飯：把飯撥拉進口
扒	pʰa2	～手
打	ta3	
扔	nai1	
托	tʰok7	
扛	koŋ1	
扞	kon3	
扠	tsʰa1	
扣	kʰeu5	
扭	ŋiu3	
扮	pʰan5	
扯	tsʰa3	
扲	kʰiam2	
扳	pan3	
扶	pʰu2-	
扶	fu2	
批	pʰi1	
扼	ak7	
扽	tun5	利物刺入
找	tsau3	
承	sən2	
技	kʰi1	
抄	tsʰau1	
把	pa3	
抑	it7	
投	tʰeu2	
抖	teu3	
抗	kʰoŋ5	
折	tsat7	
抨	pʰin2	
披	pʰi1	
抬	tʰoi2	
抱	pʰau5	
抵	ti3	
抹	mat7	
押	ap7	
抽	tsʰu1	
抿	min2	
拂	fut8	
拄	tsu3	
拆	tsʰak7	
拇	me1	
拈	ŋiam1	
拉	lai1-	～人：捉人
拉	la1	
拊	kuo1	
拋	pʰau1	
拌	pʰan5	
拐	kuai3	
拒	kʰi1	
拖	tʰo1	
拗	au3	折
拘	ki1	
拙	tsot7	
招	tsau1	
拜	pai5	
括	kuat7	
括	kʰuat7	
拭	tsʰət7	
拯	tsən3	
拱	kiuŋ3	
拱	kuŋ3	
拳	kʰian2	
拴	tsien1	
拼	pʰin1	
拾	səp8	
拿	na1	
持	tsʰɿ2	
指	tsɿ3	
按	on5	
挑	tʰiau1	
挖	va1	
挖	vat7	
挨	ai1	
挨	iai1	
挪	na2	
挪	no2	
挫	tsʰo2	
振	tsən3	
挷	paŋ1	拔
挺	tʰen3-	
挺	tʰiaŋ3	
挺	tʰin3	
挽	van3	
捅	tʰuŋ3	
捆	kʰun3	
捉	tsok7	
捋	lot8	
捌	pat7	
捍	hon5	
捏	ŋiap7	
捐	kian1	
捧	puŋ3	
捨	sa3	施～
捱	ŋai2	
捶	tsʰui2	
捷	tsʰiap8	
捺	nai3	
捼	no2	磨
掀	hian1	
掂	tiam1	拿
掃	sau5	
掄	lun2	
掇	tot7	托
授	su3	
掌	tsoŋ3	
掏	tʰau2	
排	pai2-	～～坐
排	pʰai2	
掘	kʰiut7	
掙	tsen1	
掛	kua5	
掠	liok8	
採	tsʰai3	
探	tʰam1	
探	tʰam3	
接	tsiap7	
控	kʰuŋ5	
推	tʰoi1	推脫
推	tʰui1	
掩	iam3	
措	tsʰɿ3	
掬	kʰiuk7	
掭	tʰiam5	條～：有條理有始終
揉	iu2	
揍	tseu5	
描	miau2	
提	tʰi2	
插	tsʰap7	
揚	ioŋ2	
換	von5-	
換	fon5	
揞	am3	～～伏：肚子向下
握	vok7	
揣	tsʰoi3	
揪	tsiu1	
揮	fi1	
援	ian1	
損	sun3	
搏	pok7	
搓	tsʰo5	
搖	iau2	
搗	to3	
搜	seu1	
搞	kau3	
搡	soŋ1	
搦	nak8	
搧	san5	
搪	tʰoŋ2	
搬	pan1	
搭	tap7	
搶	tsʰioŋ3	
搽	tsʰa2	
摑	kuet8	
摔	sut7	
摘	tsak7	
摞	lo5	
摟	leu3	
摧	tsʰui1	
摩	mo2	
摳	kʰeu1	
摸	mo1	
摹	mu2	
摻	tsʰam1	
撇	pʰet7	
撇	pʰiet7	
撈	lau2	
撈	leu2	
撐	tsʰaŋ5	
撒	san5	
撓	nau2	
撕	sɿ1	
撞	tsʰoŋ5	
撣	tan3	
撤	tsʰat8	
撥	pat7	
撥	pʰat8	
撩	liau1	
撩	liau2	
撫	mu3	搞
撫	vu3	
播	po5	
撮	tsot7	
撮	tsʰot7	騙
撰	tsʰion5	
撲	pʰok7	
撳	kʰim5	
撻	tat7	
撼	ham5	
撾	kuo1	
撿	kiam3	
擁	iuŋ3	
擂	lui2	
擄	lu3	
擇	tsʰet8	
擊	kit7	
擋	toŋ3	
操	tsʰau1	
擎	kʰiaŋ2	
擒	kʰim2	
擔	tam1	
據	ki3	
擠	tsi1	
擤	sen5	
擦	tsʰat7	
擬	ŋi3	
擰	nen2	
擱	kok7	
擴	kʰuoŋ3	
擺	pai3	
擼	lu1	
擾	iau3	
攀	pan1	
攆	ŋiam1	
攏	luŋ3	
攔	lan2	
攝	ŋiap7	
攤	tʰan1	
攪	kau3	
攬	lam3	
支	tsɿ1	
收	su1	
攸	iu2	
改	koi3	
攻	kuŋ1	
放	pioŋ5	
放	foŋ5	
政	tsən5	
故	ku5	
敏	men3	
救	kiu5	
敖	ŋau2	
敗	pʰai5	
教	kau1	～書
教	kau5	
敝	pi5	
敞	tsʰoŋ3	
敢	kam3	
散	san3	
散	san5	
敦	tun1	
敬	kin5	
敲	kʰau1-	
整	tsaŋ3	
整	tsən3	
敵	tʰit8	
敷	fu1	
斂	liam3	
斂	liam5	
斃	pi5	
文	vun2	
斌	pin1	
斑	pan1	
料	liau5	
斜	tsʰia2-	
斜	sia2	
斤	kin1	
斧	pu3	
斫	tok8	用刀下砍
斬	tsam3	
斯	sɿ1	
新	sin1	
斷	tʰon1-	
斷	ton5	
斷	tʰon5	
方	foŋ1	
於	i1	
施	sɿ1	
旁	pʰoŋ2	
旅	li1	
旅	li3	
旋	sien2	
旋	tsʰion5	毛髮成螺旋狀
族	tsʰuk8	
旗	kʰi2	
既	ki5	
日	ŋit7	
旦	tan5	
旨	tsɿ3	
早	tsau3	
旬	sun2	
旭	hiuk7	
旱	hon1	
旺	voŋ5	
昂	ŋoŋ1	
昆	kʰun1	
昇	sən1	
昌	tsʰoŋ1	
明	miaŋ2	清～節
明	min2	
昏	fun1	
易	i5	
昔	sit7	
星	sen1	
映	iaŋ3	
春	tsʰun1	
昧	mi5	
昨	tsʰok8	
昭	tsau1	
是	sɿ5	
時	sɿ2	
晃	foŋ3	
晉	tsin3	
晌	hioŋ3	
晗	ham1	
晚	van3	
晝	tsu5	
晡	pu1	暗～：晚上
晡	pʰu3	
晦	fi5	
晨	sən2	
普	pʰu1	
景	kin3	
晰	sit7	
晴	tsʰiaŋ2	
晶	tsin1	
智	tsɿ5	
晾	lioŋ5	
暇	ha2	
暈	in1	
暈	fun1	
暑	tsʰu3	
暖	non1	
暖	non2	
暗	am5	
暢	tsʰoŋ3	
暫	tsʰiam5	
暮	mu5	
暴	pʰau5	
暹	siam2	
曆	lak8	
曉	hiau3	
曬	sai5	
曰	iat8	
曲	kʰiut7	
曲	kʰiuk7	歌～
曳	iak8	～手：招手
更	kaŋ1	
更	ken5	
書	su1	
曹	tsʰau2	
曼	man5	
曾	tsen1	姓
