#漢字	音標	解釋
鋥	tsaŋ6	鋥光
鋪	pʰou1	鋪設
鋪	pʰou5	店鋪
鋸	ku5	鋸子，鋸木頭
鋼	kœŋ1	
錄	lok8	
錐	tʃʊi1	
錘	tʃʊi2	
錛	pən1	
錠	təŋ4	
錢	tɕin2	
錦	tsəm3	
錫	ɬək7a	
錮	kou5	鍋
錯	tsʰʏ5	錯誤
錯	tsʰœk7b	錯雜
鍋	kou1	
鍍	tou6	
鍘	tsap8	鍘刀
鍛	tʊn6	鍛鍊
鍵	kin6	
鍾	tsoŋ1	
鎖	ɬou3	
鎮	tsən5	
鏟	tsʰan3	
鏡	kəŋ5	
鏵	wa2	
鏽	ɬou5	鐵銹
鐘	tsoŋ1	
鐧	tsan5	車鐧
鐮	lin2	
鐲	tʃuk8	鐲子
鐵	tʰit7b	
鐸	tœk8	
鐺	tsʰaŋ1	烙餅用具
鑄	tʃʊi5	
鑒	tsam5	
鑲	ɬiɛŋ1	
鑷	niɛp7b	鑷子
鑼	lʏ2	
鑽	tsʊn5	動詞
鑽	tsʊn5	木工用具
鑿	tsœk8	
長	tɕiɛŋ2	長短
長	tɕiɛŋ3	生長
門	mʊn2	
閃	ɕim3	
閉	pɐi5	
開	xʏ1	
閏	ȵən6	
閑	xan2	
間	tsan1	空間，中間
間	tsan5	間斷，間或
閘	tsap8	
閨	kei1	
閲	jʊt8	
閹	jim1	
閻	jin2	
闊	xʊt7b	
闖	tʃʰuŋ3	
關	kan1	
阮	ȵʊn4	
防	fuŋ2	
阿	a3	阿膠，阿哥
附	fou6	
陌	mak8	陌生
降	tsaŋ5	下降
降	tsaŋ5	降伏，投降
限	xan4	
陝	ɕim3	陝西
陡	tɐu3	
院	jʊn6	
陣	tsən6	
除	tʃʊi2	
陪	pʊi2	
陰	jəm1	
陳	tsən2	
陵	ləŋ2	
陶	tøu2	
陷	xam6	
陸	lok8	
陽	jiɛŋ2	
隆	loŋ2	
隊	tʊi6	
階	tsai1	
隔	kak7b	
際	tsɐi5	
障	tɕiɛŋ5	保障
隧	ɬʊi5	隧道
隨	tʃʊi2	
險	jim3	
隴	loŋ4	
隸	lei6	
隻	tsək7a	
雀	tɕiɛk7b	麻雀
雀	tɕʰiɛk7b	3麻雀“孔雀”的“雀”。
雁	ȵan6	
雄	joŋ2	
雅	ȵa4	
集	tsəp8	
雇	kou5	
雍	joŋ1	
雕	tiou1	
雖	ɬʊi1	
雙	ʃuŋ1	雙生
雛	tʃʊi2	
雜	tsap8	
雞	kɐi1	
離	lei2	離別
離	lei2	離開半寸
難	nan2	難易
難	nan6	患難
雨	xʊi4	
雪	ɬʊt7b	
雲	wən2	
零	ləŋ2	
雷	lʊi2	
電	tin6	
需	ɬʊi1	
霄	ɬiou1	
震	tsən5	
黴	mʊi2	
霍	kʰœk7b	
霜	ʃuŋ1	
霞	xa2	
霧	mou6	
露	lou6	
霸	pa5	
靈	ləŋ2	
青	tsʰəŋ1	
靖	tsəŋ4	
靜	tsəŋ4	
非	fei1	
靠	kʰøu5	
面	min6	面子
革	kak7b	
鞋	xai2	
鞍	ʔøn1	
鞭	pin1	
韓	xøn2	
音	jəm1	
韻	wən6	
響	jiɛŋ3	
頁	jip8	
頂	təŋ3	
頃	kʰən3	
項	xɐŋ6	
順	sən6	
須	ɬʊi1	
預	xʊi6	
頒	pʊn1	
頓	tɐn5	
頗	pʰʏ1	
領	ləŋ4	
頭	tɐu2	
頸	kəŋ3	
頻	pən2	頻繁
題	tɐi2	
額	ŋak8	
顔	ȵan2	
願	ȵʊn6	
顛	tin1	
類	lʊi4	
顧	kou5	
顯	jin3	
風	foŋ1	
飄	pʰiou1	
飛	fei1	
食	sək8	
飢	kei1	飢餓
飯	fan6	
飲	jəm3	飲酒
飴	xei2	高粱飴
飼	tsei2	
飽	pøu3	
飾	sək7a	
餃	tsɐu3	餃子
餅	pəŋ3	
餉	ɕiɛŋ3	
養	jiɛŋ4	
餐	tsʰan1	
餓	ŋʏ6	
餘	xʊi2	
餞	tɕin6	餞行
餡	xam6	
館	kʊn3	
餵	wei5	
餿	sɐu1	飯餿了
饃	mou2	
饅	mɐn6	饅頭
饑	kei1	饑荒
首	ʃou3	
香	jiɛŋ1	
馨	jən1	
馬	ma4	
馮	foŋ2	
馱	tʏ2	拿，馱起來
馳	tɕi2	
駁	pak7b	
駐	tʃʊi5	
駒	kʊi1	
駕	tsa5	
駛	sɐi5	
駝	tʏ2	
駱	lœk8	
騎	kei2	
騙	pʰin5	騙馬
騙	pʰin5	欺騙
騰	tɐŋ2	
驅	kʰʊi1	
驕	kiou1	
驗	nim6	
驚	kəŋ1	
骨	kɐt7a	筋骨，骨頭
髒	tsœŋ1	不乾淨
體	tʰɐi3	
高	køu1	
髮	fat7b	頭發
鬆	ɬoŋ1	
鬥	tɐu5	
鬧	nøu6	
鬼	kei3	
魁	kei2	
魂	wɐn2	
魄	pʰak7b	
魚	ȵʊi2	
魯	lou4	
鮮	ɬin1	新鮮
鮮	ɬin3	鮮少
鯉	lei4	
鯨	kəŋ1	
鯽	tsək7a	
鰓	ɬai1	
鰭	kei2	
鱉	pit7b	
鱗	lən2	
鳥	niou4	
鳳	foŋ6	
鳴	məŋ2	
鴉	a1	
鴨	ʔap7b	
鴻	xoŋ2	
鴿	køp7b	
鵝	ŋʏ2	
鵡	fou4	鸚鵡
鵲	tɕʰiɛk7b	喜鵲
鶯	ʔəŋ1	
鶴	xœk8	
鷹	ʔəŋ1	
鷺	lou6	鷺鷥
鸕	lou2	鸕鷀
鸚	ʔəŋ1	鸚鵡，鸚哥
鸞	lʊn2	
鹵	lou4	
鹹	xam2	
鹼	kan3	
鹽	jim2	
鹽	jim6	醃
鹿	luk8	
麗	lei6	美麗
麥	mak8	
麴	kʰok7a	酒麴
麵	min6	麵粉
麻	ma2	“麻風”中的“麻”變讀為ma31
黃	xuŋ2	
黍	ʃʊi3	
黎	lɐi2	
黏	nim1	黏米，黏起來
黑	xɐk7a	
默	mɐk8	
點	tim3	
黨	tœŋ3	
鼎	təŋ3	
鼓	kou3	
鼠	ʃʊi3	
鼻	pət8	
齊	tsɐi2	
齋	tsai1	
齒	tɕʰi3	
龍	loŋ2	
龐	paŋ2	
龜	kei1	
𤗿	tai2	打𤗿
𨉣	xa1	𨉣下腰
