#漢字	音標	解釋
同	toŋ2	
名	məŋ2	
后	xɐu6	
吐	tʰou3	吐痰
吐	tʰou5	嘔吐
向	jiɛŋ5	
君	kən1	
吞	tʰɐn1	
吠	fei6	
含	xøm2	
吳	ŋou2	
吵	tsʰau3	
吸	tsʰəp7a	
吹	tʃʰʊi1	
吾	ŋou2	
呂	lʊi4	
呆	tai1	
呈	səŋ2	
告	køu5	
周	tʃou1	
味	mei6	
呼	xou1	
命	məŋ6	
和	xou2	和氣
和	xou2	和麵
咨	tsei1	
咬	ȵau4	
咳	xa1	咳嗽
咸	xam2	
哀	ʔai1	
品	pʰam3	
哄	xoŋ3	哄騙
哄	xoŋ6	
哈	xa1	
員	jʊn2	
哥	kʏ1	
哪	na3	哪個
哭	xok7a	
哽	kaŋ3	骨哽在喉
唆	ɬʏ1	囉唆
唇	sən2	
唐	tœŋ2	
售	ɕɐu2	
唯	wei4	
唱	tɕʰiɛŋ5	
啄	tʊt7b	
商	ɕiɛŋ1	
問	mɐn6	
啞	ja3	
啟	xei3	
啼	tɐi2	
善	ɕin4	
喉	xɐu2	
喊	xam5	
喘	tʃʰʊn3	
喚	xʊn5	
喜	xei3	
喧	ɬʊn1	
喬	kiou2	
單	tan1	單獨
單	ɕin6	姓
喻	xʊi6	
嗅	ȵou5	用鼻嗅
嗅	ȵou5	用鼻子聞
嗉	ɬʊi5	鳥嗉子
嗜	ɕi6	
嘆	tʰan5	
嘉	tsa1	
嘔	ʔɐu3	嘔吐
嘗	ɕiɛŋ2	
嘴	tsʏ3	
嘘	xʊi1	吹噓
器	xei5	
噴	pʰɐn1	噴水
噴	pʰɐn5	噴香，噴嚏
嚇	xak7b	嚇一跳
嚇	xak7b	恐嚇
嚴	ȵim2	
囉	lʏ3	囉唆
囊	nœŋ2	
囚	tsou2	
四	ɬei5	
回	xʊi2	
因	ȵən1	
因	jən1	
囤	tɐn2	
困	kʰɐn5	
固	kou3	固定
固	kou5	
圈	kʰʊn1	圓圈
國	kuk7b	
圍	wei2	
園	jʊn2	
圓	jʊn2	
圖	tou2	
團	tʊn2	
土	tʰou3	
在	tsai4	
圭	kei1	
地	tei6	
址	tɕi3	
均	kən1	
坐	tsou4	
坑	kʰaŋ1	
坡	pʰʏ1	
坤	kʰən1	
坦	tʰan3	
坪	pəŋ2	
坯	pʰei1	土坯
坳	ʔak7b	山坳
型	xəŋ2	
垜	tou4	柴垛
垮	kʰa3	
埂	kaŋ3	田埂
埃	ʔai1	塵埃
埋	mai2	
城	səŋ2	
埠	pou6	商埠
執	tsət7a	
培	pʊi2	
基	kei1	
堂	tœŋ2	
堅	kin1	
堆	tʊi1	
堡	pøu3	
堤	tɐi1	
堪	kʰam1	
報	pøu5	
場	tɕiɛŋ2	
堵	tou3	
塊	wai5	
塔	tʰap7b	
塘	tœŋ2	
塚	tsoŋ3	
塞	ɬɐk7a	
填	tin2	
塵	tsən2	
境	kəŋ3	
墊	tim6	墊錢
墓	mou6	
墜	tʃʊi6	與墮異
增	tsɐŋ1	
墟	xʊi1	墟市
墨	mɐk8	
墩	tɐn1	
墳	fɐn2	
壁	pək7a	
壅	ʔoŋ1	施肥
壇	tan2	
壓	ʔat7b	
壕	xøu2	
壞	wai6	
壠	loŋ4	
壩	pa5	壩堤
士	ɕi6	
壯	tʃœŋ5	
壺	xou2	
壽	ʃou4	
壽	ʃou6	
夏	ja6	夏姓
夏	ja6	春夏
夕	tsək8	
外	wei6	
多	tʏ1	
夜	jɛ6	
