#漢字	音標	解釋
□	tsʰɔ1	□起棍子
聊	liɔ2	
聾	luŋ2	
職	tʂʅ1	
聒	kuə1	聒耳朵
聯	liæ̃2	
聘	pʰiə̃5	
聚	tɕy5	
聰	tsʰuŋ1	
肅	su1	
肄	i5	
肆	sɿ5	
肉	ʐou5	
肋	le1	
肌	tɕi1	
肘	tʂou3	
肚	tu5	腹肚
肚	tu3	鱼肚
肝	kæ̃1	
腸	tʂʰɑŋ2	
股	ku3	
肢	tsɿ1	
膚	fu1	
肥	fi2	
肩	tɕiæ̃1	
肪	fɑŋ2	脂肪
骯	ɑŋ1	肮脏
育	u5	
肴	ɕiɔ2	
肺	fe5	
腎	ʂə̃5	
腫	tsuŋ3	
脹	tʂɑŋ5	
脅	ɕiə2	
胃	ue5	
膽	tæ̃3	
背	pe5	背诵
胎	tʰɛ1	
胖	pʰɑŋ5	
胖	pʰɑŋ5	肿
胚	pʰe1	胚胎
胛	tɕia1	肩胛
勝	ʂəŋ5	胜任
勝	ʂəŋ5	胜败
胞	pɔ1	
胡	xu2	
胳	kə1	胳臂
膠	tɕiɔ1	
胸	ɕyŋ1	
能	nəŋ2	
脂	tsɿ1	
脆	tsʰue5	
脉	me1	
脊	tɕi1	
脏	tsɑŋ1	
臍	tɕʰi2	
腦	nɔ3	
膿	nuŋ2	
脚	tɕyə1	
脯	pʰu3	
脯	fu3	
脱	tʰuə1	
臉	liæ̃3	
脾	pʰi2	
腆	tʰiæ̃3	
臘	la1	
腋	iə5	
腌	iæ̃1	
腐	fu3	
腑	fu3	
腔	tɕʰiɑŋ1	
腕	uæ̃5	
腥	ɕiŋ1	
腮	sɛ1	
腰	iɔ1	
腱	tɕiæ̃5	
腹	fu1	
膩	ȵi5	
騰	tʰəŋ2	
腿	tʰue3	
膏	kɔ3	
膏	kɔ5	膏油
膘	piɔ1	肥膘
膜	mu2	
膝	ɕi1	
膨	pʰəŋ2	膨胀
膳	ʂæ̃5	
膻	ʂæ̃1	
臀	tʰuə̃2	
臂	pi5	
臊	sɔ1	臊气
臣	tʂʰə̃2	
臧	tsɑŋ5	西藏
臧	tsʰɑŋ2	隐藏
自	tsɿ5	
臭	tʂʰou5	香臭
至	tʂʅ5	
致	tʂʅ5	
臻	tʂʰə̃1	
臼	tɕiou5	
舀	iɔ3	舀水
舅	tɕiou5	
舌	ʂə2	
舍	ʂə3	
舍	ʂə5	
舒	su1	
舔	tʰiæ̃3	
舜	ʂuə̃5	
舞	u3	
舟	tʂou1	
航	xɑŋ2	
般	pæ̃1	
艦	tɕiæ̃5	
舵	tuə5	
船	tʂʰuæ̃2	
艇	tʰiŋ3	
良	liɑŋ2	
艱	tɕiæ̃1	
色	se1	
豔	iæ̃5	
藝	i5	
艾	ɛ5	
節	tɕiə1	
芋	y5	
芒	mɑŋ2	
芒	mɑŋ2	麦芒儿
芙	fu2	芙蓉
芝	tsɿ1	
芥	tɕiə5	
蘆	lu2	芦草
芬	fə̃1	
芭	pa1	
花	xua1	
芳	fɑŋ1	
芹	tɕʰiə̃2	
芽	ia2	
葦	ue3	芦苇
莧	ɕiæ̃5	苋菜
蒼	tsʰɑŋ1	
苧	tʂu5	苎麻
苏	su1	
苔	tʰɛ1	1青苔;2舌苔
苗	miɔ2	
苟	kou3	
若	ʐuə1	
苦	kʰu3	
英	iŋ1	
茂	mɔ5	
范	fæ̃5	
茄	tɕʰiə2	茄子
茅	mɔ2	
莖	tɕiŋ5	
塋	iŋ2	
繭	tɕiæ̃3	
茫	mɑŋ2	
茬	tsʰa2	
茴	xue2	
茶	tsʰa2	
茸	ʐuŋ2	参茸
荀	ɕyə̃2	
荆	tɕiŋ1	
草	tsʰɔ3	
薦	tɕiæ̃5	
荒	xuɑŋ1	
荔	li5	
蕎	tɕʰiɔ2	
薺	tɕi5	
蕩	tɑŋ5	放荡
榮	ʐuŋ2	
葷	xuə̃1	
滎	iŋ2	
蔭	iə̃1	屋子很荫
藥	yə1	
荷	xə2	荷花
荷	xə5	薄荷
莎	suə1	莎草
莠	iou3	
莫	mə5	
蓮	liæ̃2	
获	xue1	
鶯	iŋ1	
莽	mɑŋ3	
菊	tɕy1	
菌	tɕyə̃3	
菜	tsʰɛ5	
菠	pə1	菠菜
菢	pɔ5	范小鸡
菩	pʰu2	菩萨
菱	liŋ2	
萄	tʰɔ2	
萌	məŋ2	
萍	pʰiŋ2	
萎	ue3	气萎
螢	iŋ2	
營	iŋ2	
蕭	ɕiɔ1	
薩	sa5	
落	luə1	
著	tʂu5	显著
葚	ʂə̃5	桑葚
葛	kə1	
董	tuŋ3	
葬	tsɑŋ5	
葱	tsʰuŋ1	
葵	kʰue2	
蔣	tɕiɑŋ3	
蒙	məŋ2	
蒜	suæ̃5	
蒲	pʰu3	
蒸	tʂəŋ1	
蓄	ɕy1	储蓄
蓉	ʐuŋ2	芙蓉
蓑	suə1	
蓖	pi5	蓖麻
藍	læ̃2	
蓬	pʰəŋ2	
蔓	uæ̃5	瓜蔓子
蔗	tʂə1	
蔡	tsʰɛ5	
蔫	iæ̃1	花萎
蔫	iæ̃1	食物不新鲜
蔬	su1	
藹	ɛ3	和蔼
蔽	pi5	
蕉	tɕiɔ1	芭蕉
蕊	ʐue3	
薄	pə5	薄荷
薅	xɔ1	除田草
薛	ɕyə1	
薪	ɕiə̃1	
藉	tɕiə5	借故
藐	miɔ3	
藕	ou3	
藤	tʰəŋ2	
藩	fæ̃1	
藿	xuə1	藿香
蘸	tsæ̃5	蘸酱油
虎	xu3	
虜	lu3	
虐	ȵyə1	
慮	ly5	
虔	tɕʰiæ̃2	
虚	ɕy1	
虞	y2	
虢	kuə1	虞号
蟲	tsʰuŋ2	
虱	sɿ1	
虹	xuŋ2	
虹	xuŋ2	天上的虹
虻	məŋ3	牛虻
雖	sue1	
蝦	ɕia1	鱼虾
蝕	ʂʅ2	
蟻	i3	
蚊	uə̃2	
蚌	pɑŋ5	
蚌	pəŋ5	
蠶	tsʰæ̃2	
蚣	kuŋ1	蜈蚣
蚤	tsɔ3	
蛀	tʂu5	
蛆	tɕʰy1	生蛆
蛇	ʂə2	
蛋	tæ̃5	
蛙	ua1	
蛛	tʂu1	
蛤	xə2	蛤蜊
蠻	mæ̃2	
蟄	tʂə2	惊蛰
蛾	ə2	
蜂	fəŋ1	
蜇	tʂə1	蝎子蜇人
蜈	u2	蜈蚣
蜋	lɑŋ2	
蜓	tʰiŋ2	蜻蜓
蜕	tʰue5	
蜘	tʂʅ1	
蜜	mi1	
蠟	la1	
蜻	tɕʰiŋ1	蜻蜓
蠅	iŋ2	
蟬	tʂʰæ̃2	
蠍	ɕiə1	
蝗	xuɑŋ2	
蝙	piæ̃1	
蝠	fu3	蝙蝠
蝶	tiə2	
螃	pʰɑŋ2	螃蟹
融	ʐuŋ2	
螳	tʰɑŋ2	
螺	luə2	螺蛳
蟀	suɛ5	
蟆	ma1	蛤蟆
蟒	mɑŋ3	
蟹	ɕiə3	
蟾	tʂʰæ̃2	蟾蜍
蠓	məŋ3	~虫
蠢	tʂʰuə̃3	
血	ɕiə1	
衅	ɕiə̃5	挑衅
行	ɕiŋ2	
行	xɑŋ2	行列
銜	ɕiæ̃2	
街	tɕiɛ1	
衙	ia2	
衡	xəŋ2	
衣	i1	
補	pu3	
表	piɔ3	
衫	sæ̃1	
襯	tsʰə̃5	
衰	suɛ1	
袁	yæ̃2	
襖	ɔ3	
袋	tɛ5	
袍	pʰɔ2	
袖	ɕiou5	
袜	ua1	
被	pe5	~子;~打
被	pe2	被子
被	pe2	被打
襲	ɕi2	
裁	tsʰɛ2	
裂	liə1	
裝	tsuɑŋ1	
裕	y5	
裙	tɕʰyə̃2	
褲	kʰu5	
裳	ʂɑŋ3	衣裳
裴	pʰe2	
裸	luə5	(裸体)两读
裹	kuə3	
褒	pɔ3	褒奖
褚	tʂʰu2	姓
褥	ʐou5	
褯	tɕiə5	褊子
褶	tʂə1	皱纹
襄	ɕiɑŋ1	
襟	tɕiə̃1	
襻	pʰæ̃5	纽襻
西	ɕi1	
要	iɔ1	要求
要	iɔ5	重要
覆	fu1	反复
見	tɕiæ̃5	
觀	kuæ̃1	参观
觀	kuæ̃5	寺观
規	kue1	
覓	mi1	
視	sɿ5	
覽	læ̃3	
覺	tɕiɔ5	睡觉
覺	tɕyə1	知觉
角	tɕyə1	
解	ɕiə5	姓
解	tɕiə3	晓也
解	tɕiə3	解开
觸	tsʰu1	
言	iæ̃2	
譽	y5	荣誉
謄	tʰəŋ2	
誓	ʂʅ5	
警	tɕiŋ3	
譬	pʰi5	譬喻
計	tɕi5	
訂	tiŋ5	订约
訃	fu5	
認	ʐə̃5	
譏	tɕi1	
討	tʰɔ3	
讓	ʐɑŋ5	
訖	tɕʰi5	
訓	ɕyə̃5	
議	i5	
訊	ɕyə̃5	
記	tɕi5	
講	tɕiɑŋ3	
諱	xue5	
許	ɕy3	
訛	ə2	
論	luə̃5	议论
論	luə̃2	论语
訟	suŋ5	
諷	fəŋ1	
設	ʂə1	
訪	fɑŋ3	
訣	tɕyə1	
證	tʂəŋ5	
評	pʰiŋ2	
識	ʂʅ1	
詐	tsa5	
訴	su5	
診	tʂə̃3	
詞	tsʰɿ2	
詔	tʂɔ5	
譯	i5	
試	sɿ5	
詩	sɿ1	
誠	tʂʰəŋ2	
誅	tʂu1	
話	xua5	
誕	tæ̃5	
詭	kue3	
該	kɛ1	
詳	ɕiɑŋ2	
誣	u1	
語	y3	
誤	u5	
誘	iou5	
説	ʂuə1	说话
誦	suŋ5	
請	tɕʰiŋ3	
諸	tʂu1	
諾	nuə1	
讀	tu3	
讀	lə̃5	
課	kʰə5	
誰	se2	
調	tʰiɔ2	调和
調	tiɔ5	调动
調	tiɔ5	音调
諒	liɑŋ5	
談	tʰæ̃2	
誼	i2	
謀	mou2	
諜	tiə2	
謊	xuɑŋ3	
諫	tɕiæ̃5	
諧	ɕiə2	
謂	ue5	
讒	tsʰæ̃2	
諺	iæ̃5	
謎	mi2	
謝	ɕiə5	
謡	iɔ2	
謗	pɑŋ5	
謙	ɕiæ̃2	
謹	tɕiə̃3	
謬	miou5	
譚	tʰæ̃2	
譜	pʰu3	
谷	ku1	
豁	xuə5	豁然
豆	tou5	
豇	tɕiɑŋ1	豇豆
豉	tsʰɿ3	豆豉
豌	uæ̃1	豌豆
豕	ʂʅ3	
豚	tʰuə̃2	
象	ɕiɑŋ5	
豪	xɔ2	
豫	y5	
豹	pɔ5	
豺	tsʰɛ2	
貂	tiɔ1	
貌	mɔ5	
貝	pe5	
貞	tʂə̃1	
負	fu5	
貢	kuŋ5	
財	tsʰɛ2	
責	tse1	
賢	ɕiæ̃2	
敗	pɛ5	
賬	tʂɑŋ5	
貨	xuə5	
質	tʂʅ1	
販	fæ̃5	
貪	tʰæ̃1	
貧	pʰiə̃2	
貶	piæ̃3	
購	kou5	
貫	kuæ̃5	
貳	ɭɯ5	
賤	tɕiæ̃5	
貼	tʰiə1	
貴	kue5	
貸	tɛ5	
貿	mɔ5	
費	fi5	
賀	xə5	
賊	tse2	
賈	tɕia3	姓
賄	xue5	
賃	lə̃5	租赁
賂	lu5	
贓	tsɑŋ1	
資	tsɿ1	
賒	ʂə1	
賦	fu5	
賭	tu3	
贖	ʂu2	
賞	ʂɑŋ3	
賜	tsʰɿ5	
賠	pʰe2	
賴	lɛ5	
贅	tsue5	
賺	tʂæ̃5	
賽	sɛ5	
贊	tsæ̃5	
贈	tsʰəŋ5	
贏	iŋ2	
赤	tʂʰʅ5	
赦	ʂə5	
赫	xə5	
走	tsou3	
赴	fu5	
趙	tʂɔ5	
趕	kæ̃3	
起	tɕʰi3	
趁	tsʰə̃5	
超	tsʰɔ1	
越	yə1	
趨	tɕʰy1	
趟	tʰɑŋ5	一趟
趣	tɕʰy5	
足	tsu1	
趼	tɕiæ̃3	
趾	tsɿ1	
躍	yə1	
跌	tiə1	
跑	pʰɔ3	
距	tɕy5	
跟	kə̃1	
跨	kʰua5	
跪	kue5	
路	lu5	
跳	tʰiɔ5	
踐	tɕiæ̃5	
踏	ta1	
踒	uə1	了脚
踢	tʰi1	
蹤	tsuŋ1	
踱	tuə2	
蹄	tʰi2	
躡	ȵiə1	蹑脚走
蹭	tsʰəŋ5	
蹲	tsʰuə̃2	
躁	tsɔ5	
身	ʂə̃1	
躬	kuŋ1	
躱	tuə3	
躺	tʰɑŋ3	
車	tɕy1	车马炮
車	tʂʰə1	马车
軋	ia5	被车轧
軌	kue3	
軒	ɕyæ̃1	
轉	tʂuæ̃3	转送
轉	tʂuæ̃5	转螺丝
軛	ə5	
輪	luə̃2	
軟	ʐuæ̃3	
轟	xuŋ1	
軸	tsu2	
輕	tɕʰiŋ1	轻重
載	tsɛ3	年载
載	tsɛ5	满载
轎	tɕiɔ5	
較	tɕiɔ5	
輔	fu3	
輛	liɑŋ5	
輦	ȵiæ̃3	
輩	pe5	
輝	xue2	
輯	tɕi1	编辑
輸	ʂu1	
輸	ʂu1	运输
轡	pʰe5	
轅	yæ̃2	
轄	ɕia2	管辖
轍	tʂə2	
辛	ɕiə̃1	
辭	tsʰɿ3	
辟	pʰi1	
辣	la1	
辨	piæ̃5	
辯	piæ̃5	
辮	piæ̃5	
辰	tʂʰə̃2	
辱	ʐu3	
邊	piæ̃1	
遼	liɔ2	
達	ta2	
遷	tɕʰiæ̃1	
迂	y1	
迅	ɕyə̃5	
過	kuə5	
邁	mɛ5	
迎	iŋ2	
運	yə̃5	
近	tɕiə̃5	
還	xɛ2	还有
還	xuæ̃2	还原
進	tɕiə̃5	
違	ue3	
連	liæ̃2	
遲	tʂʰʅ2	
迥	tɕyŋ3	迥然不同
迫	pʰə5	
迷	mi2	
迸	pəŋ5	
迹	tɕi1	
追	tsue1	
退	tʰue5	
送	suŋ5	
適	ʂʅ1	
逃	tʰɔ2	
逆	ȵi5	
選	ɕyæ̃3	
遜	ɕyə̃5	
透	tʰou5	
逐	tsu2	
遞	ti2	
途	tʰu2	
逗	tou5	
通	tʰuŋ1	
通	tʰuŋ1	把包子通通
逛	kuɑŋ5	
逝	ʂʅ5	
逞	tʂʰəŋ3	逞能
速	su1	
造	tsɔ5	建造
逢	fəŋ2	
逵	kʰue2	
逸	i5	
逼	pi1	
逾	y2	
遁	tuə̃5	
遂	sue2	
遇	y5	
遍	piæ̃5	
遐	ɕia2	
道	tɔ5	
遺	i2	
遣	tɕʰiæ̃3	
遭	tsɔ1	
遮	tʂə1	
遵	tsuə̃1	
避	pi5	
邀	iɔ1	
鄧	təŋ5	
那	na5	
邦	pɑŋ1	
邪	ɕiə2	
郵	iou2	
邵	ʂɔ5	
鄒	tʂou1	
鄰	liə̃2	
郁	u5	
郊	tɕiɔ1	
郎	lɑŋ2	
鄭	tʂəŋ5	
郝	xə1	姓
郡	tɕyə̃5	
部	pu5	
郭	kuə1	
都	tu1	都城
都	tou1	都是
鄂	ə5	
鄙	pi3	
酉	iou3	
酌	tʂuə2	
配	pʰe5	
酒	tɕiou3	
酣	xæ̃1	
酥	su1	
酪	lɔ5	
酬	tʂʰou2	
醬	tɕiɑŋ5	
酵	tɕiɔ5	
酷	kʰu5	
酸	suæ̃1	
釀	ȵiɑŋ5	
醇	tsʰuə̃2	酒味醇
醉	tsue5	
醋	tsʰu5	
醒	ɕiŋ3	
醮	tɕiɔ5	打醮
采	tsʰɛ3	
釉	iou5	
釋	ʂʅ1	
里	li3	
重	tsuŋ5	轻重
重	tsʰuŋ2	重复
野	iə3	
量	liɑŋ5	数量
量	liɑŋ2	量长短
金	tɕiə̃1	
釜	fu3	
鑑	tɕiæ̃5	
鏊	ɔ5	烙饼用具
钁	tɕyə1	~头
針	tʂə̃1	
釘	tiŋ5	钉住
釘	tiŋ1	铁钉
釣	tiɔ5	
釵	tsʰɛ1	
鈍	tə̃5	
鈍	tuə̃5	
鈔	tsʰɔ1	钞票
钟	tsuŋ1	
鋼	kɑŋ1	
鋼	kɑŋ5	刀钝了
鑰	yə1	钥匙
欽	tɕʰiə̃1	
鈞	tɕyə̃1	
鉤	kou1	
鈀	pʰa2	钯子
錢	tɕʰiæ̃2	
鉗	tɕʰiæ̃2	
鉢	pə1	
鑽	tsuæ̃1	动词
鑽	tsuæ̃5	木工用具
鐵	tʰiə1	
鈴	liŋ2	
鉛	tɕʰiæ̃1	
鐸	tuə2	
鐃	nɔ2	
銅	tʰuŋ2	
鍘	tsa2	
鏵	xua2	
銘	miŋ2	
鉸	tɕiɔ3	
鏟	tsʰæ̃3	
銀	iə̃2	
鋪	pʰu5	店铺
鋪	pʰu2	铺设
銷	ɕiɔ1	
鎖	suə3	
鋥	tsəŋ5	锃光
鋤	tsʰu2	
鍋	kuə1	
鏽	ɕiou5	铁锈
銼	tsʰuə5	
鋒	fəŋ1	
銳	ʐue5	
鋦	tɕy1	铜碗
錯	tsʰuə5	
錨	mɔ2	
錛	pə̃1	
錫	ɕi1	
錮	ku5	禁锢
鑼	luə2	
錘	tsʰue2	
錐	tsue1	
錦	tɕiə̃3	
錠	tiŋ5	
鍵	tɕiæ̃5	
鋸	tɕy5	锯子
錙	la1	锡锱
鍛	tuæ̃5	锻炼
鍍	tu5	
鎮	tʂə̃5	
鑷	ȵiə1	镊子
鎔	ʐuŋ2	
鏡	tɕiŋ5	
鐙	təŋ5	鞍镫
鑊	xuə5	锅
鐲	tsuə2	镯子
鐮	liæ̃2	
鑲	ɕiɑŋ1	
長	tʂɑŋ3	生长
長	tʂʰɑŋ2	长短
門	mə̃2	
閂	suæ̃1	
閃	ʂæ̃3	
閉	pi5	
問	uə̃5	
闖	tsʰuɑŋ3	
閏	ʐuə̃5	
闲	ɕiæ̃2	
間	tɕiæ̃1	中间
間	tɕiæ̃5	间断
悶	mə̃5	
閘	tsa2	
鬧	nɔ5	
閨	kue1	
聞	uə̃2	
閩	miə̃3	闽越
閣	kə1	
鬮	tɕiou1	拈阄
閲	yə1	
閹	iæ̃1	
閻	iæ̃2	
闊	kʰuə5	
阜	fu5	
隊	tue5	
阮	ʐuæ̃3	
防	fɑŋ2	
陽	iɑŋ2	
陰	iə̃1	
陣	tʂə̃5	
階	tɕiə1	
阻	tsu3	
阿	a2	阿胶;阿哥
附	fu5	
際	tɕi5	
陸	liou5	
隴	luŋ3	
陳	tʂʰə̃2	
陋	lou5	
陌	mə5	陌生
降	tɕiɑŋ5	下降
降	ɕiɑŋ2	投降
限	ɕiæ̃5	
陝	ʂæ̃3	陕西
陛	pi5	陛下
陡	tou3	
院	yæ̃5	
除	tʂʰu2	
險	ɕiæ̃3	
陪	pʰe2	
陵	liŋ2	
陶	tʰɔ2	
陷	ɕiæ̃5	
隆	luŋ2	
隨	sue2	
隱	iə̃3	
隔	ke1	
隘	ɛ5	
障	tʂɑŋ5	保障
隧	sue5	隧道
隰	tɕʰi2	
隶	li5	
難	næ̃5	苦难
難	næ̃2	难易
雀	tɕʰyə1	麻雀
雁	iæ̃5	
雄	ɕyŋ2	
雅	ia3	
集	tɕi2	
雇	ku5	
雉	tʂʰʅ5	雉鸡
雌	tsʰɿ2	
雍	yŋ1	
雛	tʂʰu2	
雕	tiɔ1	
雨	y3	
雪	ɕyə1	
零	liŋ2	
雷	le2	
雹	pə2	
霧	u5	
需	ɕy1	
霄	ɕiɔ1	
震	tʂə̃5	
黴	me2	
霍	xuə1	
霜	suɑŋ1	
霞	ɕia2	
露	lu5	
霸	pa5	
青	tɕʰiŋ1	
靖	tɕiŋ5	
靜	tɕiŋ5	
非	fi1	
靠	kʰɔ5	
靡	mi3	
面	miæ̃5	
靨	iə5	酒靥
革	ke1	
靪	tiŋ1	
靴	ɕyə1	
靿	iɔ5	靴勒
鞋	ɕiɛ2	
鞍	æ̃1	
鞘	ɕiɔ5	刀鞘
鞭	piæ̃1	
韌	ʐə̃5	
韓	xæ̃2	
韭	tɕiou3	
音	iə̃1	
韻	yə̃5	
韶	ʂɔ2	韶关
頁	iə1	
頂	tiŋ3	
頃	tɕʰiŋ3	
項	ɕiɑŋ5	
順	ʂuə̃5	
须	ɕy1	
頑	uæ̃2	顽皮
顧	ku5	
頓	tuə̃5	
頒	pæ̃1	
頌	suŋ5	
預	y5	
領	liŋ3	
頗	pʰə1	
頸	tɕiŋ5	
頻	pʰiə̃2	频繁
穎	iŋ3	
顆	kʰə1	一颗珠
題	tʰi3	
顔	iæ̃2	
額	e3	
顛	tiæ̃1	
顫	tsæ̃5	
顴	tɕʰyæ̃2	颧骨
風	fəŋ1	
颼	sou1	
飄	pʰiɔ1	
飛	fi1	
食	ʂʅ2	
餐	tsʰæ̃1	
餐	tsʰɿ2	瓷巴
饥	tɕi1	饥饿
饥	tɕi1	饥荒
飩	tʰuə̃2	馄饨
飲	iə̃3	米汤
飲	iə̃3	饮酒
飲	iə̃5	饮马
餞	tɕiæ̃5	饯行
飾	ʂʅ1	
飽	pɔ3	
飼	sɿ1	
餌	ɭɯ3	
饒	ʐɔ2	
餉	ɕiɑŋ3	
餃	tɕiɔ3	饺子
餅	piŋ3	
餑	pu2	
餓	ə5	
餜	kuə3	
餛	xuə̃2	馄饨
餡	ɕiæ̃5	
館	kuæ̃3	
餿	sou1	饭馊了
饞	tsʰæ̃2	
饃	mə2	
餾	liou5	
饅	mæ̃2	馒头
首	ʂou3	
香	ɕiɑŋ1	
馨	ɕiə̃1	
騲	tsʰɔ3	
騸	ʂæ̃5	
馬	ma3	
馱	tʰuə2	驮起来
馱	tuə5	驮子
馳	tʂʰʅ2	
驅	tɕʰy1	
駁	pə1	
驢	ly2	
駛	sɿ3	
駒	tɕy1	
駐	tʂu5	
駝	tʰuə2	
駕	tɕia5	
駡	ma5	
驕	tɕiɔ1	
駱	luə1	
駭	xɛ5	惊骇
驗	iæ̃5	
騎	tɕʰi2	
騙	pʰiæ̃5	欺骗
騷	sɔ1	
騾	luə2	
驟	tʂou5	
骨	ku1	筋骨;骨头
髓	sue2	
高	kɔ1	
鬃	tsuŋ1	马鬃
鬢	piə̃5	
鬼	kue3	
魁	kʰue2	
魂	xuə̃2	
魄	pʰə5	
魏	ue5	
魔	mə2	
魚	y2	
魯	lu3	
鮎	ȵiæ̃2	鲇鱼
鮑	pɔ5	1姓;2鲍鱼
鮮	ɕiæ̃1	新鲜
鮮	ɕiæ̃3	鲜少
鯉	li3	
鯽	tɕi5	
鯨	tɕiŋ1	
鰓	sɛ1	
鰭	tɕʰi2	
鰾	pɔ3	
鱉	piə1	
鱖	kue5	
鱗	liə̃2	
鳥	ȵiɔ3	
鳩	tɕiou1	
雞	tɕi1	
鳴	miŋ2	
鴉	ia1	
鸕	lu2	鸬鹚
鴨	ia1	
鴿	kə1	
鸞	luæ̃2	
鴻	xuŋ2	
鵝	ə2	
鵡	u3	鹦鹉
鵲	tɕʰyə1	喜鹊
鶴	xə5	
鸚	iŋ1	鹦鹉
鷹	iŋ1	
鹿	lu1	
麝	ʂə5	麝香
麥	me1	
麩	fu1	麦麸子
麻	ma2	
麾	xue1	
黃	xuɑŋ2	
黎	li2	
黏	ȵiæ̃2	黏米
黑	xe1	
默	me1	
黢	tɕʰy1	黢黑
鼎	tiŋ3	
鼓	ku3	
鼬	iou5	黄鼬
鼻	pi2	
鼾	xæ̃1	睡时鼾声
齊	tɕʰi2	
齒	tsʰɿ3	
龍	luŋ2	
龕	kʰæ̃1	
龜	kue1	
