#漢字	音標	解釋#('wuu_th_shj_shcs', '上海川沙話', '上海川沙', '#8B0000', None, None, '來源：<u>鶩高赭紗匕</u>', '53 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,44 3 2a 陰上 ꜂,213 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇', None, None)
㑚	nɑ6	第二人称复数
倌	kue1	
倍	be4	
們	məŋ2	
倒	ɗɔ3	
倒	ɗɔ5	
倔	dʑyœʔ8	
候	ɦɤ6	
倚	i3	
借	tsiɑ5	
倡	tsʰɒ̃5	
倦	dʑyø6	
倪	ȵi2	
倫	ləŋ2	
值	zʌk8	
偃	i3	
假	kɑ3	【白读】与“真”相对
假	kɑ5	【白读】放～
假	tɕiɑ3	【文读】～使
偉	βe4	
偏	pʰi1	
偕	tɕiɑ1	
偕	ɦiɛ2	【文读】
做	tsu5	
停	din2	
健	dʑi6	
側	tsʌk7	
偵	tsəŋ1	
偶	ŋɤ4	
偷	tʰɤ1	
僞	βe6	
傅	ɸu5	姓
傅	βu6	师～
傍	bɒ̃6	
傑	dʑiɪʔ8	
傘	sɛ3	
備	be6	
傢	kɑ1	【白读】
傢	tɕiɑ1	【文读】
傫	le6	
催	tsʰø1	
傲	ŋɔ6	
傳	ze2	
債	tsɑ5	
傷	sɒ̃1	
傻	sɑ3	
傾	tɕʰiʌŋ1	
僅	dʑin6	
像	ziã4	
僑	dʑiɔ2	
僕	pʰok7	～倒
僕	bok8	～人
僚	liɔ2	
僧	səŋ1	
僱	ku5	
僵	tɕiã1	
價	kɑ5	【白读】～钱（俗写作“～钿”）
價	tɕiɑ5	【文读】～格；～值
僻	pʰiɪʔ7	
儀	ȵi2	
儀	ɦi2	～门；正～（江苏昆山地名）
儂	noŋ6	第二人称单数
儂	noŋ2	吴～软语
億	iʌk7	
儈	kue5	
儉	dʑi4	
儋	ɗɛ1	
儒	zy2	
儡	le4	
優	iɤ1	
儲	zy2	【文读】～蓄所
儲	zɿ2	【白读】姓
儼	ȵi4	
兀	ŋəʔ8	
允	yn3	
元	ɦyø2	人民币单位，实为“圆”字
元	ȵyø2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	zɔ4	
兇	ɕioŋ1	
先	si1	
光	kuɒ̃1	
光	kuã1	～火（发怒）
克	kʰʌk7	
免	mi4	
兒	ȵi2	【白读】
兒	əl2	【文读】～童
兒	ŋ̍2	词后作儿尾：女～
兔	tʰu5	
兖	ɦi4	
兜	ɗɤ1	
入	zəʔ8	【文读】
入	ȵiɪʔ8	【白读】
內	ne6	
全	zi2	
兩	liã4	
八	ɓæʔ7	
公	koŋ1	
六	lok8	
兮	ɦi2	
共	ɡoŋ6	
兲	tʰi1	
兵	ɓin1	
其	dʑi2	
具	dʑy6	
典	ɗi3	
兼	tɕi1	
冀	tɕi5	
冉	ze4	
冊	tsʰɑk7	
再	tse5	
冒	mɔ6	
冠	kuɛ1	鸡～花；鸡～
冠	kue1	衣～
冠	kue5	～军
冢	tsoŋ3	
冤	yø1	
冥	min2	
冬	ɗoŋ1	
冰	ɓin1	
冶	ɦiɑ4	【白读】
冶	ɦi4	【文读】
冷	lã4	
冼	si3	
冽	liɪʔ8	
凄	tsʰi1	
凋	ɗiɔ1	
凌	lin2	
凍	ɗoŋ5	
凜	lin4	
凝	ȵiʌŋ2	
凡	βɛ2	
凣	βɛ2	
凰	βɒ̃2	
凱	kʰe3	
凳	ɗəŋ5	
凸	dəʔ8	
凹	ɔ1	
出	tsʰəʔ7	
函	ɦe2	
刀	ɗɔ1	
刁	ɗiɔ1	
刃	zəŋ6	
分	ɸəŋ1	
分	βəŋ6	成～
切	tsʰiɪʔ7	
刊	kʰø1	
刎	βəŋ4	
刑	ɦiʌŋ2	
列	liɪʔ8	
初	tsʰu1	
判	pʰe5	
別	bəʔ8	
別	biɪʔ8	
刨	bɔ6	
利	li6	
刪	sɛ1	
剗	tsʰɛ3	
刮	kuæʔ7	
到	ɗɔ5	
制	tsɿ5	
刷	səʔ7	
券	tɕʰyø5	
刹	tsʰæʔ7	古～
刹	sæʔ7	～车
刺	tsʰɿ5	
刻	kʰʌk7	
剁	ɗu5	
剃	tʰi5	
削	siɑk7	
剋	kʰʌk7	
剌	læʔ8	
前	zi2	
剔	tʰiɪʔ7	
剖	pʰe5	
剖	pʰu5	～开
剛	kɒ̃1	
剝	ɓɒk7	
剡	ze4	
剩	zəŋ6	
剩	zã6	
剪	tsi3	
剮	kuo3	
副	ɸu5	
割	kœʔ7	
創	tsʰɒ̃5	
剿	tsiɔ3	
劃	βo2	～船
劃	βɑk8	计～；～一刀
劇	dʑiɑk8	
劈	pʰiɪʔ7	
劉	liɤ2	
劊	kue5	
劍	tɕi5	
劗	tsɛ1	剁：～肉
力	liɪʔ8	
功	koŋ1	
加	kɑ1	
劣	liɪʔ8	
助	zu6	
努	nu4	
劫	tɕiɪʔ7	
劾	ɦʌk8	
勁	tɕin5	
勁	tɕiʌŋ5	
勃	bəʔ8	
勇	ioŋ3	
勉	mi4	
勒	lʌk8	
動	doŋ4	
勘	kʰe5	
務	βu6	
勝	səŋ5	常用读音
勝	səŋ1	
勞	lɔ2	
募	mu6	
勢	sɿ5	
勤	dʑin2	
勥	dʑiã4	
勩	ɦi6	
勳	ɕyn1	
勵	li6	
勸	tɕʰyø5	
勺	zɒk8	【白读】
勻	ɦyn2	
勾	kɤ1	
勾	kɤ5	～当
勿	βəʔ8	否定词
包	ɓɔ1	
匆	tsʰoŋ1	
匈	ɕioŋ1	
匕	ɓi3	
化	ɸo5	
北	ɓok7	
匙	zɿ2	
匝	tsæʔ7	
匠	ziã6	
匡	tɕʰiɒ̃1	【白读】姓：～巷（上海嘉定地名）
匡	kʰuɒ̃1	【文读】
匪	ɸi3	
匯	βe6	～集；～合
匹	pʰiɪʔ7	
匾	ɓi3	
區	tɕʰy1	
區	ɤ1	姓；具～（太湖的别称）
十	zəʔ8	
十	siɔ3	～五，三～五，四～五……避讳“入”音
千	tsʰi1	
卅	sæʔ7	三十
升	səŋ1	
午	βu4	【文读】
午	ŋ̍4	【白读】端～
卉	ɸe5	
半	ɓe5	
卑	ɓe1	
卒	tsəʔ7	
協	ɦiæʔ8	
南	ne2	
南	nɑ2	～无阿弥陀佛
博	ɓɒk7	
卜	ɓok7	占～
卞	bi6	
占	tse1	～卜
占	tse5	～领
占	tsi5	～便宜
卡	kʰɑ3	
卦	ku5	
卯	mɔ4	
印	in5	
危	ŋue2	
即	tsiɪʔ7	
卵	lu4	～巢，～子，～磷脂。雅化发音
卵	lø4	男阴
卷	tɕyø3	
卷	tɕyø5	
卸	siɑ5	
卿	tɕʰiʌŋ1	
厄	ŋʌk8	
厘	li2	
厙	siɔ5	
厚	ɦɤ4	
原	ȵyø2	
厥	tɕyœʔ7	
厭	i5	
厲	li6	
去	tɕʰi5	【白读】
去	tɕʰy5	【文读】～向；～声
厾	ɗok7	掷，扔，甩：～篮球
叄	sɛ1	
參	tsʰe1	～加
參	tsʰəŋ1	～差
又	ɦiɤ6	【文读】
又	ɦi6	【白读】
叉	tsʰiɔ1	
及	dʑiɪʔ8	
友	ɦiɤ4	
反	ɸɛ3	
叒	zɑk8	
叔	sok7	
叕	tsəʔ7	
取	tsʰy3	
受	zɤ4	
叛	be6	
叢	zoŋ2	
口	kʰɤ3	
古	ku3	
句	tɕy5	
句	kɤ1	“勾”本字：越王～践。高～丽
另	lin6	
叨	ɗɔ1	唠～
叨	tʰɔ1	～光
叩	kʰɤ5	
只	tsɿ3	
只	tsəʔ7	～是；～有；～不过
叫	tɕiɔ5	
叫	kɔ5	～花子
召	zɔ6	
召	dɔ6	三～址（上海金山地名）
叭	ɓɑ1	
叮	ɗin1	
可	kʰo3	～惜
可	kʰø3	～以
台	tʰe1	星宿名，古代用三台来比喻三公：～州，天～（浙江地名）
叱	tsʰəʔ7	
史	sɿ3	
右	ɦiɤ6	
叵	pʰu3	
叶	ɦiæʔ8	～韵
司	sɿ1	
叼	ɗiɔ1	
叽	tɕi1	
吁	ɕy1	气喘～～；长～短叹
吃	tɕʰiɪʔ7	口～
各	kɒk7	
吆	iɔ1	
合	ɦəʔ8	
合	kəʔ7	～算；～伙。共同：～买一本书。容积单位，十合为一市升
吉	tɕiɪʔ7	
吊	ɗiɔ5	
同	doŋ2	
名	min2	
后	ɦɤ4	皇～
吏	li6	
吐	tʰu3	
向	ɕiã5	
吒	tsiɔ5	
君	tɕyn1	
吝	lin6	
吞	tʰəŋ1	
吟	ȵin2	
否	ɸɤ3	
否	bi4	臧～；～极泰来
吧	bɑ	外语bar的音译：酒～
吨	ɗəŋ1	质量单位
吨	tʰəŋ1	烟、气味袭人
吩	ɸəŋ1	
含	ɦe2	
吳	ŋ̍2	【白读】姓；～县，～江（江苏地名）；～溇（江苏吴江地名）；～趋坊（江苏苏州地名）；～淞江
吳	ɦoŋ2	【白读】～市（江苏常熟地名）；～山渡（浙江长兴地名）
吳	βu2	【文读】～国；东～；～越；～语
吵	tsʰɔ3	
吸	ɕiɪʔ7	
吹	tsʰɿ1	【白读】
吹	tsʰø1	【文读】
吻	məŋ4	【白读】
吻	βəŋ4	【文读】
吼	hɤ3	
吾	ŋu2	
呂	li4	
呆	ŋe2	～头～脑；～板
呆	ɗe1	痴～
呈	zəŋ2	
告	kɔ5	
呐	nəʔ8	
呢	ȵi2	
呤	lin2	
呦	iɤ1	
呱	kuɑk7	～～叫
呱	ku1	～～坠地
呲	tsʰɿ1	
味	mi6	【白读】～道
味	βi6	【文读】～精
呴	hɤ1	
呵	ɸu1	～斥；一气～成
呵	hɑ1	～气
呵	hɔ1	～欠
呷	hæʔ7	喝：～汤；～醪酒
呷	kæʔ7	鸭叫声
呻	səŋ1	
呼	ɸu1	
命	min6	
咋	tsiɔ5	～舌
和	βu2	
咍	he1	
咎	dʑiɤ4	
咐	ɸu5	
咒	tsɤ5	
咕	ku1	
咖	kʰɑ1	～啡
咖	kɑ1	～喱
咚	ɗoŋ1	
咤	tsiɔ5	
咩	mɛ3	
咪	mi1	
咬	ŋɔ4	
咳	kʰəʔ7	
咸	ɦɛ2	【白读】～阳（陕西地名）
咸	ɦiɛ2	【文读】～丰（清朝年号）
咽	i1	～喉
咽	i5	～下去
咽	iɪʔ7	哽～；呜～
哀	e1	
品	pʰin3	
哄	hoŋ1	～堂大笑
哄	hoŋ3	～骗
哄	hoŋ5	起～
哇	βɑ1	
哇	βɔ	表揣测，“对吧？”
哈	hɑ1	
哉	tse1	
哎	e1	
哎	e5	
哏	kʰəŋ1	形容咳嗽声
哏	ɡəŋ2	形容咳嗽声
員	ɦyø2	
哥	ku1	
哨	sɔ5	
哩	li1	
哪	nɑ1	【文读】
哪	nɑ4	～能（怎么）
哪	nɔ2	～吒
哭	kʰok7	
哲	tsəʔ7	
哳	tsæʔ7	
哺	bu6	
哼	hã1	【白读】
哼	həŋ1	【文读】
哽	kã3	
唁	ȵi6	
唇	zəŋ2	
唐	dɒ̃2	
唑	zu6	
唔	ŋ̍	应答声
唧	tsiɪʔ7	
售	zɤ6	
唯	ɦi2	【白读】～亭（江苏苏州地名）
唯	βi2	【文读】
唱	tsʰɒ̃5	
唳	li6	
唾	tʰu5	
啄	tsɒk7	
啄	ɗok7	
商	sɒ̃1	
商	siɔ1	～墓（浙江湖州地名）
啊	ɑ1	
啊	æʔ7	
問	məŋ6	【白读】
問	βəŋ6	【文读】
啐	tsʰe5	～人（骂人）
啞	ɔ3	【白读】～巴
啞	iɑ3	【文读】沙～
啞	iɑ1	呕～嘲哳
啟	tɕʰi3	
啡	ɸi1	
啤	bi2	
啥	sɑ5	疑问词
啦	lɑ1	
啷	lɒ̃1	形容骑马声
啼	di2	
啾	tsiɤ1	
喃	ne2	
善	ze4	
喆	tsəʔ7	
喇	lɑ2	
喉	ɦɤ2	
喊	hɛ3	
喏	ziɔ4	唱～（拜祖宗）
喑	in1	
喘	tsʰe3	
喚	ɸe5	
喜	ɕi3	
喝	hæʔ7	～汤。本字或为“呷”
喝	hœʔ7	吆～；～彩
喝	həʔ7	饮。口语中一般不用
喥	dɒk8	傻：～头
喪	sɒ̃1	～事
喪	sɒ̃5	～失
喫	tɕʰiʌk7	～饭
喬	dʑiɔ2	
單	ɗɛ1	
單	ze2	～于
單	ze4	姓
喱	li2	
喲	iɤ1	
喵	miɔ1	
噴	pʰəŋ5	～香
喻	ɦy6	
嗅	ɕiɤ5	
嗅	hŋ̍5	
嗆	tsʰiã1	
嗆	tsʰiã5	
嗎	mo4	～啡
嗎	mɑ1	
嗓	sɒ̃3	
嗜	zɿ6	
嗟	tsiɑ1	
嗣	zɿ6	
嗤	tsʰɿ1	
嗥	ɦɔ2	
嗨	he1	
嗬	ɸu1	
嗯	n̩	
嗲	ɗiɑ3	发～
嗽	sɤ5	
嘆	tʰɛ5	
嘈	zɔ2	
嘉	kɑ1	【白读】～定（上海地名，北宋年号）；～兴，～善，永～（浙江地名）
嘉	tɕiɑ1	【文读】～奖；～庆（清朝年号）
嘌	pʰiɔ1	
嘎	kæʔ7	鸭叫声
嘔	ɤ3	吐
嘔	ɤ1	～哑嘲哳
嘖	tsəʔ7	
嘖	tsɑk7	
嘛	mɑ1	
嘮	lɔ1	
嘯	siɔ5	
嘲	zɔ2	～笑
嘲	tsɔ1	呕哑～哳
嘴	tsɿ3	【白读】
嘸	m̩2	“无”的俗字
嘻	ɕi1	
噎	iɪʔ7	
噓	ɕy1	
噘	tɕyœʔ7	
嚕	lu1	
噢	ɔ1	
噦	yœʔ7	
器	tɕʰi5	
噩	ŋɒk8	
噪	tsɔ5	
噬	zɿ6	
噯	e3	
噱	ɕyœʔ7	
噲	kʰuɑ5	
噴	pʰəŋ1	
嚀	ȵin2	
嚇	hɑk7	
嚎	ɦɔ2	
嚓	tsʰæʔ7	
嚴	ȵi2	
嚼	ziɑk8	
囂	ɕiɔ1	
囊	nɒ̃2	
囍	ɕi3	
囑	tsok7	
囚	ziɤ2	
四	sɿ5	
囝	kø1	小～（小孩）
回	βe2	
囟	sin5	
因	in1	
囡	nø4	
囡	nø1	～～（对孩子的昵称）
囤	dəŋ2	～积；～粮
囤	dəŋ4	仓～
囥	kʰɒ̃5	藏
囧	tɕioŋ3	
囪	tsʰoŋ1	
囫	βəʔ8	
困	kʰuəŋ5	
固	ku5	
圃	pʰu3	
圇	ləŋ2	
圈	tɕʰyø1	圆～
圈	dʑyø4	养家畜的栅栏：猪～
國	kok7	
圌	ze2	
圌	zø2	
圍	ɦy2	【白读】～巾
圍	βe2	【文读】包～；～棋；～墙
園	ɦyø2	
圓	ɦyø2	
圖	du2	
團	dø2	
土	tʰu3	
在	ze4	
圩	ɦy2	【白读】
圩	βe2	【文读】
圩	ɕy1	岭南地名中“墟”的俗字
圮	pʰi3	
圯	ɦi2	
地	di6	
圳	tsəŋ5	
圻	dʑi2	
圾	si1	
圾	səʔ7	
址	tsɿ3	
坂	ɓɛ3	
均	tɕyn1	
坊	ɸɒ̃1	
坎	kʰe3	
坐	zu4	
坑	kʰã1	【白读】～缸；～棚；粪～
坑	kʰəŋ1	【文读】
坤	kʰuəŋ1	
坦	tʰɛ3	
坨	du2	
坪	bin2	
坯	pʰe1	
坳	ɔ1	
坵	tɕʰiɤ1	
坷	kʰu3	坎～
坷	kʰəʔ7	金～垃
坼	tsʰɑk7	
垂	zø2	
垃	lɑ2	
垃	ləʔ8	
壟	loŋ4	
型	ɦiʌŋ2	
垛	ɗu3	
垠	ȵin2	
垡	βæʔ8	
垢	kɤ5	
垬	ɦoŋ2	
垮	kʰuo3	
墶	ɗæʔ7	
垻	ɓɑ5	【文读】沙坪～；～上草原
埇	ɦioŋ4	
埋	mɑ2	
埌	lɒ̃6	
城	zã2	【白读】巴～（江苏昆山地名）；摇～（江苏苏州地名）
城	zəŋ2	【文读】～里；～市
埒	liɪʔ8	
埔	ɓu5	黄～，大～（广东地名）。广东、福建、台湾一带的地名用字。“黄埔”的“埔”本应读此音，但常被误读为“浦”
埔	pʰu3	柬～寨
埝	ȵi6	
域	ɦiok8	
埠	bu6	
埡	iɑ1	
埤	bi2	
埭	de6	堤坝：黄～（江苏苏州地名）
埭	dɑ6	条状地形、条状物、量词：一～（一排）
埭	dɒ̃6	表示方位、处所的词，意思是“此处”，多见于地名
埲	boŋ4	
執	tsəʔ7	
培	be2	
基	tɕi1	
堂	dɒ̃2	
堅	tɕi1	
堆	ɗe1	
堊	ɔ5	～壅（肥料）
堍	tʰu5	
堡	ɓɔ3	
堡	ɓu3	【白读】～镇（上海崇明地名）
堤	di2	
堪	kʰe1	
堯	ȵiɔ2	
堰	i5	
報	ɓɔ5	
場	zã2	
堵	ɗu3	
塊	kʰue5	
塌	tʰæʔ7	
塍	zã2	【白读】堤岸
塍	zəŋ2	【文读】
塑	su5	
塔	tʰæʔ7	
塗	du2	
塘	dɒ̃2	
塚	tsoŋ3	
塞	sʌk7	活～；殟～
塞	se5	要～；边～
塢	βu1	
填	di2	
塱	lɒ̃4	
塵	zəŋ2	
塹	tsʰi5	
塾	zok8	
境	tɕiʌŋ5	
墅	zɿ4	该字主要见于雅化地名，通“市”：金～，蠡～，浒～关（江苏苏州地名）；陈～（江苏无锡地名）；平～（江苏常熟地名）；萧～（江苏昆山地名）
墊	di6	
墓	mu6	
墓	m̩6	陆～（江苏苏州地名）；严～（江苏吴江地名）；陈～（江苏昆山地名）
墕	i5	
墜	zɿ6	【白读】下落，下垂
墜	zø6	【文读】
增	tsəŋ1	
墟	tɕʰy1	
墨	mʌk8	
墩	ɗəŋ1	
墮	du4	
墳	βəŋ2	
墺	ɔ1	同“礇”
墺	ɔ5	
墾	kʰəŋ3	
壁	ɓiɪʔ7	
壅	ioŋ1	
壇	dɛ2	天～；讲～；论～
壑	hɒk7	
壓	æʔ7	
壕	ɦɔ2	
壘	le4	
壚	lu2	
壜	de2	～子；酒～
壞	βɑ6	
壤	ȵiã4	【白读】
壤	zã4	【文读】
壩	ɓo5	【白读】～堰；水～；堤～
士	zɿ4	
壯	tsɒ̃5	
壹	iɪʔ7	
壼	βu2	
壽	zɤ6	
夏	ɦɔ4	姓；朝代名
夏	ɦɔ6	季节
夔	ɡue2	
夕	ziɪʔ8	
外	ŋɑ6	
多	ɗu1	【文读】
多	ɗɑ1	【白读】
夜	ɦiɑ6	
夠	kɤ5	
夢	mɒ̃6	【白读】
夢	moŋ6	【文读】
夥	ɸu3	
大	du6	【白读】～小；～门
大	dɑ6	【文读】～学；～蒜
大	dɑ6	～王
天	tʰi1	
太	tʰɑ5	
夫	ɸu1	
夬	kuɑ5	
夭	iɔ1	
央	iã1	
夯	hɒ̃1	
失	səʔ7	
夷	ɦi2	
夾	kæʔ7	
奄	i3	
奇	dʑi2	
奈	nɑ6	【白读】～何桥
奈	ne6	【文读】
奉	ɦoŋ4	
奎	kʰue1	
奏	tsɤ5	
契	tɕʰi5	
奔	ɓəŋ1	
套	tʰɔ5	
奚	ɦi2	
奢	ɕiɑ1	～遮（聪明）
奢	siɔ1	～侈
奣	kuɒ̃3	～子（江苏昆山地名）
奧	ɔ5	
奪	dœʔ8	
奮	ɸəŋ5	
女	ȵy4	【文读】妇～
女	ȵi4	【白读】～婿
女	nø4	～儿。俗写作“囡”
奴	nu2	
奶	nɑ4	【白读】
奶	ne4	【文读】
奸	kɛ1	～细
奸	tɕiɛ1	【文读】～细
她	tʰɑ1	
好	hɔ3	
好	hɔ5	
如	zy2	
妃	ɸi1	
妄	mɒ̃6	【白读】痴心～想
妄	βɒ̃6	【文读】狂～
妊	zəŋ6	
妒	ɗu5	
妓	dʑi4	
妖	iɔ1	
妗	ɕi1	轻浮不稳重，炫耀：～夹夹
妗	dʑin6	
妙	miɔ6	
妝	tsɒ̃1	
妥	tʰu3	
妨	ɸɒ̃1	
妮	ȵi2	
妳	ni1	
妹	me6	
妻	tsʰi1	
妾	tsʰiɪʔ7	
姆	mu4	【文读】保～
姆	m̩1	【白读】～妈（母亲）
姊	tsɿ3	【文读】
姊	tsi3	【白读】
始	sɿ3	
姐	tsiɑ3	【白读】
姐	tsi3	【文读】
姑	ku1	
姓	sin5	
委	βe3	
姘	pʰin1	
姚	ɦiɔ2	
姜	tɕiã1	
姣	tɕiɔ1	
姥	mu4	天～山
姥	lɔ4	刘～～
姦	kɛ1	捉～
姦	tɕiɛ1	【文读】捉～
姨	ɦi2	
姻	in1	
姿	tsɿ1	
威	βe1	
娘	ȵiã2	
娛	ȵy2	
娜	nu2	婀～
娜	nɑ6	
娟	tɕyø1	
娠	səŋ1	
娣	di4	
娩	mi4	
娶	tsʰy3	
娼	tsʰɒ̃1	
婀	βu1	
婁	lɤ2	
婁	liɤ2	～塘（上海嘉定地名）
婆	bu2	
婉	βe3	
婊	ɓiɔ3	
婚	ɸəŋ1	
婢	bi4	
婦	βu4	
婪	le2	
婺	βu6	
婿	si5	
媒	me2	
媚	mi6	【白读】做～眼；抛～眼
媚	me6	【文读】
媛	nø2	
媛	ɦyø2	
媽	mɑ1	
嫁	kɑ5	【白读】出～
嫁	tɕiɑ5	【文读】～接
嫂	sɔ3	
嫉	ziɪʔ8	
嫖	biɔ2	
嫡	ɗiɪʔ7	
嫣	i1	
嫩	nəŋ6	
嬉	ɕi1	
嬋	ze2	
嬌	tɕiɔ1	
嬙	ziã2	
嬰	iʌŋ1	
嬲	ȵiɔ4	
嬸	səŋ3	
孃	ȵiã1	
孌	lø2	
子	tsɿ3	
孑	tɕiɪʔ7	
孓	tɕyœʔ7	
孔	kʰoŋ3	
孕	ɦyn6	
字	zɿ6	
存	zəŋ2	
孚	ɸu1	
孛	be6	～儿只斤
孛	bəʔ8	～相
孛	biɪʔ8	～相
孜	tsɿ3	
孝	hɔ5	【白读】戴～
孝	ɕiɔ5	【文读】～顺
孟	mã6	
孢	ɓɔ1	
季	tɕi5	
孤	ku1	
孩	ɦe2	
孫	səŋ1	
孰	zok8	
孵	ɸu1	～化
孵	bu6	～小鸡
學	ɦɒk8	【白读】～习；～生；～堂；小～、中～、大～（学校）
學	ɦiɑk8	【文读】～校；大～（儒家经典）
孽	ȵiɪʔ8	
孿	lø2	
宁	zy4	
它	tʰɑ1	
