#漢字	音標	解釋#('wuu_th_shj_sz_ltc', '淸末蘇州話', '淸末蘇州', '#0000FF,#4D4D4D', None, None, '版本：2.0(2022-01-03)<br>來源：樛木整理自《一百年前的蘇州話》、《蘇州同音字彙1892》、《鄉音字類》<br>說明：加*的漢字表示[ʐ][dʐ]歸屬、陽上陽去歸屬缺乏直接資料，以區分這兩者的蘇州行政區劃內的方吳語爲基準。', '44 1 1a 陰平 ꜀,223 2 1b 陽平 ꜁,51 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,523 5 3a 陰去 ꜄,312 6 3b 陽去 ꜅,4 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇')
倨	tɕy5	
倩	tsʰiɛ5	
倪	ȵi2	姓
倫	lən2	
倬	tʂoʔ7	
倭	uᴇ1	
倮	lᵊu4	
倷	nᴇ6	
值	dʐəʔ8	價～
偁	tʂʰən1	
偃	iɛ3	
假	kɑ3	白讀
假	tɕiɑ3	
偈	dʑi6	
偉	uᴇ3	
偎	uᴇ1	
偏	pʰiɛ1	
偓	oʔ7	
偕	tɕiɑ1	
做	tsᵊu5	
停	diɪn2	
偝	bᴇ6	
偟	ɦuɑ̃2	
健	dʑiɛ6	康～
偪	piəʔ7	
偭	miɛ6	
偯	i3	
偲	sɿ1	
側	tsəʔ7	
偵	tʂən1	
偵	tʂʰən1	
偶	ŋ𐞢ʏ6	～然
偶	ŋ𐞢ʏ4	
偷	tʰ𐞢ʏ1	
偽	ŋuᴇ6	～造
傀	kuᴇ1	
傀	kʰuᴇ3	即木人頭
傃	sᵊu5	
傅	fv̩5	
傍	bɑ̃2	側，亦作“旁”
傍	bɑ̃6	依～
傎	tiɛ1	
傑	dʑiəʔ8	豪～
傒	ɦi2	
傖	tsʰən1	寒～
傘	sɛ5	雨～
備	bᴇ6	
傚	ɦiæ6	
傞	sᵊu1	
傞	tsʰᵊu1	
傢	kɑ1	白讀
傢	tɕiɑ1	文讀
催	tsʰᴇ1	～子
傭	ɦioŋ2	～工
傱	zoŋ2	
傲	ŋæ6	驕～
傳	dʐø2	
傴	𐞢ʏ3	
債	tsɑ5	欠～還錢
債	tsᴇ5	
傷	ʂã1	
傷	sɑ̃1	白讀
傾	tɕʰiɪn1	～覆
僂	l𐞢ʏ4	
僃	bᴇ6	
僅	dʑiɪn6	
僇	loʔ8	
僉	tsʰiɛ1	
僊	siɛ1	
働	doŋ4	勞～
僎	zɛ4	
像	dziã6	
像	ziã4	
僑	dʑiæ2	華～
僔	zən4	
僕	boʔ8	公～
僖	ɕi1	
僚	liæ2	
僛	tɕʰi1	
僤	tɛ3	
僥	tɕiæ1	
僥	tɕiæ3	～倖（該詞變調特殊，爲55-21）
僥	ɕiæ1	
僦	z𐞢ʏ6	
僧	sən1	～道
僨	fən5	
僬	tsiæ1	
僭	tsiɛ5	
僮	doŋ2	
僱	kᵊu5	
僴	ɕiɛ3	
僵	tɕiã1	
價	kɑ5	白讀
價	tɕiɑ5	文讀
僻	pʰiəʔ7	
僾	ᴇ5	
儀	i1	
儀	ɦi2	
儁	tsiɪn5	
儂	noŋ2	
億	iəʔ7	
儆	tɕiɪn3	
儆	tɕiɪn5	
儇	ɡuɛ2	
儇	tɕiø1	
儈	kuᴇ5	
儉	dʑiɛ4	～樸
儉	dʑiɛ6	
儋	tɛ1	
儐	piɪn1	
儐	piɪn5	
儒	ʐʯ2	
儓	dᴇ2	
儔	dʐ𐞢ʏ2	
儕	zᴇ2	
儗	ȵi4	
儘	tsiən3	～够
儘	tsiən3	
儛	vv̩4	
償	dzɑ̃2	
償	dʐã2	～還
儡	lᴇ6	
儡	lᴇ4	
儤	pæ5	
儥	ioʔ7	
儦	piæ1	
儩	sɿ5	
優	iʏ1	～等
儲	dʐʯ2	～蓄
儳	zɛ6	
儳	zᴇ2	
儵	ɕyəʔ7	
儷	li6	
儺	nᵊu4	
儻	tʰɑ̃3	
儼	ȵiɛ4	
兀	ŋəʔ8	
允	yən3	應～
元	ɦiø2	
元	ȵiø2	
兄	ɕioŋ1	兄～
充	tʂʰoŋ1	
兆	ʐæ6	
兆	dʐæ6	～頭
兇	ɕioŋ1	～惡
先	siɛ1	
光	kuɑ̃1	
兊	dᴇ6	
克	kʰəʔ7	
免	miɛ4	
兌	dᴇ4	本音陽去
兒	ȵi2	～子
兒	əl2	文讀：小～
兔	tʰᵊu5	～子
兗	iɛ3	
党	tɑ̃3	
兜	t𐞢ʏ1	
兢	tɕiɪn1	
入	ʐəʔ8	出～
全	dziɛ2	
全	ziɛ2	
兩	liã4	
八	poʔ7	
公	koŋ1	
六	loʔ8	
兮	i1	
共	ɡoŋ2	
共	ɡoŋ6	～總
共	koŋ1	
共	dʑioŋ6	
兵	piɪn1	養～千日用在一朝
其	dʑi2	
具	dʑy6	
具	dʑy4	
典	tiɛ3	～當
兼	tɕiɛ1	
冀	tɕi5	
內	nᴇ6	
冉	ʐø4	
冊	tsʰɑʔ7	白讀：書一～
冊	tsʰəʔ7	
再	tsᴇ5	
冏	tɕioŋ3	
冐	mæ6	
冒	mæ6	～充
冓	k𐞢ʏ5	
冔	ɕy1	中國殷代冠名
冕	miɛ4	
冞	mi2	
冠	kuø1	衣～中人
冢	tʂoŋ3	
冤	iø1	
冥	miɪn2	
冦	kʰ𐞢ʏ5	
冪	miəʔ8	
冬	toŋ1	
冰	piɪn1	
冱	ŋᵊu6	
冲	tʂʰoŋ1	
决	tɕyəʔ7	
况	huɑ̃5	
冶	ɦiɑ4	白讀：～坊
冶	iɑ3	
冷	lã4	白讀：～落得極
冷	lən4	
冽	liəʔ8	
凄	tsʰi1	
准	tʂən3	
凉	liã2	
凊	ziɪn6	
凋	tiæ1	
凌	liɪn2	姓
凍	toŋ5	～瘃，即凍瘡
凐	iɪn1	
凓	liəʔ8	寒冷
凖	tʂən3	～備
凘	sɿ1	
凜	liɪn4	
凜	liən2	讀音據韻書推導
凜	liɪn3	～冽
凜	liɪn4	～一～，指受驚或受寒，身體突然抽搐一下
凝	ȵiɪn2	～攏来
凝	ȵiɪn2	～攏來
凟	doʔ8	同“瀆”
几	tɕi3	茶～
凡	vɛ2	～人
凭	biɪn2	
凰	ɦuɑ̃2	
凱	kʰᴇ3	～旋
凳	tən5	板～
凶	ɕioŋ1	吉～
凸	dəʔ8	
凸	diəʔ8	
凹	æ1	～進去
出	tʂʰəʔ7	
函	ɦø2	信～
刀	tæ1	
刁	tiæ1	
刃	ʐən6	
刅	tʂʰɑ̃5	
分	vən6	二～之一；守本～
分	fən1	
切	tsʰiəʔ7	
刈	ȵi6	
刊	kʰø1	
刎	ɦuɑʔ8	
刎	vən4	
刑	ɦiɪn2	～罰
划	ɦuo2	～船
划	ɦo2	～船
刓	ɦuø2	
刖	ɦyəʔ8	
列	liəʔ8	
刜	fəʔ7	
初	tsʰᵊu1	
刪	sɛ1	
刪	sᴇ1	
判	pʰø5	～斷
別	piəʔ7	
刧	tɕiəʔ7	同“劫”
刨	bæ2	聲調類推
利	dzᴇ6	
利	li6	
别	bəʔ8	～人
别	biəʔ8	
刮	kuaʔ7	～地皮
到	tæ5	
刱	tʂʰɑ̃5	
刲	kʰuᴇ1	
刳	kʰᵊu1	從中間破開再挖空
刵	əl6	
刷	ʂəʔ7	板～
券	tɕʰiø5	禮～
刹	saʔ7	
刺	tsʰɿ5	
刻	kʰəʔ7	時～
剃	tʰi5	
剄	tɕiɪn3	
則	tsəʔ7	法～
剉	tsʰᵊu5	～刀
削	siɑʔ7	剥～
剋	kʰəʔ7	
剌	laʔ8	
前	dziɛ2	
剒	tsʰoʔ7	
剔	tʰiəʔ7	
剖	pʰ𐞢ʏ1	～辨
剗	tsʰɛ3	
剚	tsɿ5	
剛	kɑ̃1	
剜	uø1	
剞	tɕi1	
剡	iɛ3	
剝	poʔ7	～削
剩	dʐən6	
剬	dø2	
副	fv̩5	
割	kəʔ7	
剳	taʔ7	
剴	kʰᴇ1	《廣韻》：古哀切
剴	kʰᴇ3	～切曉諭
創	tsʰɑ̃1	
創	tsʰɑ̃5	～辦
剷	tsʰɛ3	～削
剸	tʂø3	
剸	dø2	
剺	li2	
剽	piæ5	
剽	pʰiæ5	
剽	biæ2	
劀	kuaʔ7	
劂	tɕyəʔ7	
劃	ɦuɑʔ8	～一不二
劃	ɦuaʔ8	
劇	dʑiəʔ8	戲～
劈	pʰiəʔ7	
劉	l𐞢ʏ2	姓
劊	kuᴇ5	
劌	kʰuᴇ5	
劍	tɕiɛ5	寶～
劑	tsi1	
劑	tsi5	調～
劓	ȵi6	
劖	tsʰɛ1	
劘	mi2	
力	liəʔ8	
功	koŋ1	
加	kɑ1	白讀
加	tɕiɑ1	文讀
劣	liəʔ8	
助	dzᵊu6	
助	zᵊu6	幫～
努	nᵊu4	～力
劫	tɕiəʔ7	
劬	dʑy2	
劭	dʐæ6	
効	ɦiæ6	報～
劼	ɡɑʔ8	
劼	tɕiəʔ7	
劾	ŋəʔ8	
勁	dʑiɪn6	
勁	tɕiɪn5	
勃	bəʔ8	
勇	ioŋ3	
勉	miɛ4	
勍	dʑiɪn2	
勒	ləʔ8	
勔	miɛ6	
動	doŋ4	
勖	ɕioʔ7	
勘	kʰø5	踏～
務	vv̩6	
勝	ʂən1	
勝	ʂən5	好～
勞	læ2	
募	mo6	
勠	loʔ8	
勢	ʂʯ5	
勣	tsiəʔ7	
勤	dʑiən2	～儉
勩	ɦi6	
勰	ɦiəʔ8	
勱	mᴇ6	
勳	ɕyən1	
勵	li6	
勸	tɕʰiø5	
勺	tʂɑʔ7	
勻	ɦyən2	
勽	bæ6	同“抱”
勾	k𐞢ʏ1	
勿	fəʔ7	正字可能是“弗”
勿	vəʔ8	
匄	kᴇ5	
包	pæ1	
匆	tsʰoŋ1	～～忙忙
匈	ɕioŋ1	
匉	pʰən1	
匊	tɕioʔ7	
匍	bu2	
匏	bæ2	
匐	boʔ8	
匕	pʰi3	
化	huo5	
化	ho5	千變萬～
北	poʔ7	
匙	ʐʯ2	
匙	zɿ2	
匜	ɦi2	
匝	tsaʔ7	
匟	kʰɑ̃5	～牀
匠	dziã6	
匠	ziã6	
匡	kʰuɑ̃1	姓
匡	tɕʰiã1=	(書)
匣	ɦiaʔ8	
匣	ɦɑʔ8	
匣	ɦaʔ8	白讀
匪	fi3	土～
匭	kuᴇ3	箱子，小匣子：辦選舉个投票～
匯	ɦuᴇ4	～水
匯	ɦuᴇ6	又音。據《集韻》：胡對切
匱	ɡuᴇ6	
匵	doʔ8	
匹	pʰiəʔ7	
匾	piɛ3	～額
匿	ȵiəʔ8	藏～
區	tɕʰy1	鄉～
十	ʂəʔ7	
十	ʂɑʔ7	
十	ʐəʔ8	
千	tsʰiɛ1	
卄	ȵiɛ6	
卅	saʔ7	三十
升	ʂən1	
午	ᵊu3	
午	ŋ̍4	～時
卉	huᴇ3	又音
卉	huᴇ5	花～
半	pø5	
卌	si5	四十。聲調不確定
卑	pᴇ1	
卒	tsəʔ7	兵～
卓	tʂoʔ7	
協	ɦiəʔ8	～力同心
南	nø2	
博	poʔ7	賭～
卜	poʔ7	
卝	kʰuɑ̃5	
卞	biɛ6	姓
占	tʂø1	
卡	kʰɑ3	～子
卣	ɦiʏ4	
卦	kuo5	變仔～哉
卦	kua5	
卨	siəʔ7	
卬	ŋɑ̃2	
卮	tʂʯ1	
卯	mæ4	
印	iɪn5	
危	ŋuᴇ2	～險
即	tsiəʔ7	
却	tɕʰiɑʔ7	
卵	lᵊu4	
卵	lø4	
卷	tɕiø5	～子
卷	tɕiø3	
卷	dʑiø2	
卸	siɑ5	交～
卹	siəʔ7	
卻	tɕʰiɑʔ7	推～不受
卼	ŋəʔ8	
卽	tsiəʔ7	
卿	tɕʰiɪn1	
厀	siəʔ7	
厄	ŋəʔ8	
厊	nɡo2	
厎	tʂʯ3	
厓	iɑ1	
厔	tʂəʔ7	
厖	bɑ̃2	
厘	li2	
厙	ʂɑ5=	(書)
厚	ɦ𐞢ʏ4	忠～。據《廣韻》：胡口切
厚	ɦ𐞢ʏ6	據《廣韻》：胡遘切
厚	ɦ𐞢ʏ4	
原	ȵiø2	～諒
厠	tsʰɿ5	～所
厥	tɕyəʔ7	
厫	ŋæ2	～間
厭	iɛ5	討惹～
厯	liəʔ8	
厲	li6	
厹	dʑiʏ2	
去	tɕʰi3	白讀：出～
去	tɕʰy3	
厾	toʔ7	吳語。扔：～脫，扔掉
叄	sɛ1	
参	tsʰø1	
參	sən1	人～
參	tsʰø1	～觀
參	sᴇ1	
又	iʏ5	
又	ɦiʏ6	
叉	tsʰo1	
及	dʑiəʔ8	
友	iʏ3	
友	ɦiʏ4	
反	fɛ3	
叔	ʂoʔ7	～～
取	tsʰi3	
受	ʐ𐞢ʏ6	
受	dʐ𐞢ʏ4	
叙	zi4	～一碗茶
叚	dø6	疑爲“段”
叛	bø6	
叟	s𐞢ʏ1	
叟	s𐞢ʏ3	童～無欺
叡	zᴇ6	
叢	dzoŋ2	
叢	zoŋ2	
口	kʰ𐞢ʏ3	～舌
古	kᵊu3	
句	tɕy5	
另	liɪn6	～外
叨	tʰæ1	～光
叩	kʰ𐞢ʏ5	～首
只	tʂʯ3	
只	tsɑʔ7	白讀：一～老黄牛
只	tsəʔ7	～有
叫	tɕiæ5	
召	ʐæ6	～租
召	dʐæ6	
叭	pɑ5	～兒狗
叮	tiɪn1	～嘱
可	kʰᵊu3	
台	tʰᴇ1	
叱	tʂʰəʔ7	
史	sɿ3	姓
右	ɦiʏ6	～手
叵	pʰu3	
叶	ɦiəʔ8	
司	sɿ1	～務
吁	ɕy1	
吃	tɕʰiəʔ7	
各	koʔ7	～人一本
吆	iæ1	
合	kəʔ7	～會
合	ɦəʔ8	
吉	tɕiəʔ7	
吊	tiæ5	
同	doŋ2	
名	miɪn2	
后	ɦ𐞢ʏ6	
吏	li6	
吐	tʰᵊu3	
向	ɕiã5	方～
吕	li4	
君	tɕyən1	
吝	liən5	～嗇
吝	liən6	～惜
吞	tʰən1	
吟	ȵiən2	
吠	vi4	
吠	vi6	
吡	pi1	
吤	tɕiɑ5	
吥	pʰᴇ1	
否	f𐞢ʏ3	可～
否	pʰi3	聲調類推。理論上聲母該字應讀並母
吧	po1	
吩	fən1	～咐
含	ɦø2	～胡
听	ȵiɪn4	
听	ȵiən4	
吭	ɦɑ̃2	
吮	tsiɛ3	
吮	ɦyən4	聲調類推
吮	ʐən4*	辣嘴裏～一～
启	tɕʰi3	
吰	ɦoŋ2	
吱	tʂʯ1	
吳	ɦᵊu2=	～县
吳	ŋ̍2	姓
吵	tsʰæ3	～鬧
吶	nəʔ8	～喊
吷	tɕyəʔ7	
吸	ɕiəʔ7	呼吸淸～
吹	tʂʰʯ1	
吹	tsʰᴇ1	
吻	vən4	
吼	h𐞢ʏ3	大～一聲
吾	ŋᵊu2	
呀	iɑ1	阿～
呃	əʔ7	打～。正字可能是“餩”
呃	ŋəʔ8	
呆	ŋᴇ2	呆～
呈	dʐən2	
告	kæ5	
呌	tɕiæ5	同“叫”
呢	ȵi2	
呦	iʏ1	
周	tʂ𐞢ʏ1	
呫	tʰiəʔ7	
呱	kᵊu1	
味	mi6	
味	vi6	文讀：滋～
呴	ɕy1	
呵	hᵊu1	～斥
呶	næ2	
呷	haʔ7	～一口
呸	pʰᴇ1	
呻	ʂən1	
呼	hᵊu1	
命	miɪn6	
咀	tsi3	
咄	tʂəʔ7	
咄	tʂʰəʔ7	
咆	bæ2	
咈	fəʔ7	
咈	fəʔ7	～布
咊	ɦᵊu2	
咋	tso5	
咋	tsəʔ7	
咍	tʰᴇ1	
咎	dʑiʏ4	～由自取
咎	dʑiʏ6	
咎	dʑiʏ4	
咐	fv̩5	
咒	tʂ𐞢ʏ5	
咕	kᵊu3	
咖	kʰɑ1	～啡
咟	pɑʔ7	
咡	əl6	
咤	tsʰo5	
咥	ɕi5	
咦	ɦi2	
咨	tsɿ1	
咩	mɑ1	羊～～。可能不是本字
咪	mi1	～～，呼貓聲
咫	tʂʯ3	
咬	ŋæ4	
咮	tʂ𐞢ʏ5	
咯	koʔ7	
咳	kʰᴇ5	
咳	ɦᴇ2	
咷	dæ2	
咺	ɕiø3	
