#漢字	音標	解釋
#簡稱	/	杭州
#全稱	/	杭州話
#聲母	/	
#韻母	/	
#聲調	/	33 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,53 3 2 上 ꜂,,445 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇
#版本	/	2021-11-12
#錄入人	/	
#參考資料	/	#漢語多功能字庫#
#說明	/	來源：http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=M
羞	ɕiø1	
羡	dʑiᴇ̃6	
羣	dzʮen2	
義	ȵi6	
羶	sʮõ1	
羹	kɑŋ1	
羽	ʔʮ3	
翁	ʔoŋ1	
翅	tsʰɿ5	
翎	lin2	
習	dʑiəʔ8	
翠	tsʰʮei5	
翡	fi5	
翰	ɦᴇ̃6	
翻	fᴇ̃1	
翼	ɦiəʔ8	
耀	ɦiɔ6	
老	lɔ3	
老	lɔ6	
考	kʰɔ3	
者	tsᴇ3	
而	əl2	
耍	sɑ3	
耍	sʮa3	
耐	nᴇ6	
耕	ken1	
耗	hɔ5	
耙	bɑ2	
耳	əl3	
耶	ɦiɑ2	
耽	tᴇ̃1	
耿	ken3	
聊	liɔ2	
聖	sen5	
聘	pʰin3	
聞	ven2	
聯	liᴇ̃2	
聰	tsʰoŋ1	
聲	sen1	
職	tsəʔ7	
聽	tʰin1	
聽	tʰin5	
聾	loŋ2	
肄	ɦi6	
肅	soʔ7	
肆	sɿ5	
肉	zoʔ8	
肋	ləʔ8	
肌	tɕi1	
肘	tsei3	
肚	tu3	
肚	du6	
肝	kᴇ̃1	
股	ku3	
肢	tsɿ1	
肥	bi2	
肥	vi2	
肨	pʰɑŋ1	
肨	pʰɑŋ5	
肩	tɕiᴇ̃1	
肪	fɑŋ1	
肫	tsen1	
肯	kʰen3	
肴	ɦiɔ6	
肺	fi5	
胃	ɦui6	
背	pei5	
背	bei6	
胎	tʰᴇ1	
胚	pʰei1	
胛	tɕiɑʔ7	
胞	pɔ1	
胡	ɦu2	
胭	ʔiᴇ̃1	
胯	kʰuɑ5	
胸	ɕioŋ1	
能	nen2	
脂	tsɿ1	
脅	ɕiəʔ7	
脆	tsʰʮei5	
脈	mɑʔ8	
脊	tɕiəʔ7	
脫	tʰoʔ7	
脯	bu2	
脯	fu3	
脹	tsɑŋ5	
脾	bi2	
腋	ɦiəʔ8	
腌	ʔiᴇ̃1	
腎	zen6	
腐	vu6	
腑	fu3	
腔	tɕʰiɑŋ1	
腕	ʔuõ5	
腡	lo2	
腥	ɕin1	
腦	nɔ3	
腫	tsoŋ3	
腮	sᴇ1	
腰	ʔiɔ1	
腳	tɕiɑʔ7	
腸	dzɑŋ2	
腹	foʔ7	
腿	tʰui3	
膀	pʰɑŋ3	
膏	kɔ1	
膚	fu1	
膜	moʔ8	
膝	ɕiəʔ7	
膠	tɕiɔ1	
膩	ȵi6	
膳	zʮõ6	
膽	tᴇ̃3	
膿	noŋ2	
臀	den2	
臉	liᴇ̃3	
臊	sɔ1	
臍	dʑi2	
臕	piɔ1	
臘	lɑʔ8	
臟	dzɑŋ2	
臣	dzen2	
臥	ŋo6	
臥	ɦo6	
臨	lin2	
自	zɿ6	
臭	tsʰei5	
至	tsɿ5	
致	tsɿ5	
臺	dᴇ2	
臼	dʑiø6	
舀	ʔiɔ3	
舂	tsʰoŋ1	
舅	dʑiø6	
與	ʔʮ3	
興	ɕin5	
舉	tsʮ3	
舊	dʑiø6	
舌	zɑʔ8	
舍	sʮei5	
舒	sʮ1	
舔	tʰiᴇ̃3	
舜	sʮen5	
舞	ʔu3	
舟	tsei1	
航	ɦɑŋ2	
般	puõ1	
舵	do6	
船	dzʮõ2	
艇	tʰin3	
艦	tɕʰiᴇ̃3	
艦	kʰᴇ̃3	
良	liɑŋ2	
艱	tɕiᴇ̃1	
色	səʔ7	
艾	ŋᴇ6	
芋	ʔʮ5	
芍	zoʔ8	
芒	mɑŋ2	
芝	tsɿ1	
芥	tɕiᴇ5	
芬	fen1	
芭	pɑ1	
花	huɑ1	
芳	fɑŋ1	
芹	dʑin2	
芽	ɦiɑ2	
苧	dzɿ6	
苔	dᴇ2	
苗	miɔ2	
苟	kø3	
苦	kʰu3	
英	ʔin1	
茂	mei6	
范	vᴇ̃6	
茫	mɑŋ2	
茲	tsɿ1	
茴	ɦui2	
茶	dzɑ2	
茸	dzoŋ2	
荀	sʮen1	
荀	ɕin5	
荆	tɕin1	
草	tsʰɔ3	
荒	huɑŋ1	
荷	ɦo2	
莊	tsʮɑŋ1	
莎	sɑ1	
莠	ɦiø6	
莧	ɕiᴇ̃5	
莫	moʔ8	
莽	mɑŋ3	
菊	tsʮəʔ7	
菌	tsʮen3	
菖	tsʰɑŋ1	
菜	tsʰᴇ5	
菠	po1	
菩	bu2	
華	ɦuɑ2	
菱	lin2	
萄	dɔ2	
萌	men2	
萌	min2	
萍	bin2	
萎	ʔui1	
萬	vᴇ̃6	
落	loʔ8	
葉	ɦiəʔ8	
著	tsʮ5	
葚	zen6	
葛	kɑʔ7	
董	toŋ3	
葦	ɦui6	
葬	tsɑŋ5	
葱	tsʰoŋ1	
葵	ɡui2	
葷	hun1	
蒐	sei1	
蒓	dzen2	
蒙	moŋ2	
蒜	sʮõ5	
蒲	bu2	
蒸	tsen1	
蒼	tsʰɑŋ1	
蒿	hɔ1	
蓉	ɦioŋ2	
蓋	kᴇ5	
蓑	so1	
蓖	pi1	
蓖	pei1	
蓬	boŋ2	
蓮	liᴇ̃2	
蔓	mᴇ̃6	
蔗	tsɿ5	
蔗	tsɑ1	
蔡	tsʰᴇ5	
蔣	tɕiɑŋ3	
蔬	su1	
蔭	ʔin5	
蔽	bi6	
蕉	tɕiɔ1	
蕎	dʑiɔ2	
蕩	dɑŋ6	
蕭	ɕiɔ1	
薄	bo6	
薄	boʔ8	
薅	hɔ1	
薑	tɕiɑŋ1	
薛	ɕiəʔ7	
薦	tɕiᴇ̃5	
薩	sɑʔ7	
薪	ɕin1	
薯	dzʮ6	
薰	sʮen1	
薺	tɕi5	
薺	dʑi6	
藉	dʑiəʔ8	
藏	dzɑŋ2	
藐	miɔ3	
藕	ŋei3	
藝	ȵi6	
藤	den2	
藥	ɦiɑʔ8	
藩	fᴇ̃1	
藩	vᴇ̃2	
藹	ʔᴇ5	
蘂	zʮei6	
蘆	lu2	
蘇	su1	
蘭	lᴇ̃2	
蘸	tsᴇ̃5	
虎	hu3	
虐	niɑʔ8	
虔	dʑiᴇ̃2	
處	tsʰʮ3	
虛	sʮ1	
虜	lu3	
虞	ɦʮ2	
號	ɦɔ2	
號	ɦɔ6	
虧	kʰui1	
虹	ɦoŋ2	
虻	mɑŋ2	
蚊	ven2	
蚌	bɑŋ6	
蚣	koŋ1	
蚤	tsɔ3	
蚶	hᴇ̃1	
蛀	tsʮ5	
蛆	tɕʰi1	
蛇	dzʮei2	
蛋	dᴇ̃6	
蛙	ʔuɑ1	
蛛	tsʮ1	
蛤	kɑʔ7	
蛻	tʰui5	
蛻	tʰoʔ7	
蛾	ŋo2	
蜀	dzoʔ8	
蜂	foŋ1	
蜇	tsəʔ7	
蜈	ɦu2	
蜘	tsɿ1	
蜜	miəʔ8	
蝕	zəʔ8	
蝗	ɦuɑŋ2	
蝙	piᴇ̃1	
蝟	ɦui6	
蝠	foʔ7	
蝦	ɕiɑ1	
蝨	sʮəʔ7	
蝶	diəʔ8	
蝸	ku1	
螂	lɑŋ2	
融	ɦioŋ2	
螢	ɦin2	
螳	dɑŋ2	
螺	lo2	
蟀	sʮəʔ7	
蟀	soʔ7	
蟄	tsəʔ7	
蟒	mɑŋ3	
蟢	ɕi3	
蟬	zʮõ2	
蟲	dzoŋ2	
蟹	ɕiᴇ3	
蟻	ȵi2	
蟾	zʮõ2	
蠅	ʔin1	
蠍	ɕiəʔ7	
蠓	moŋ2	
蠟	lɑʔ8	
蠢	tsʰʮen3	
蠶	dzᴇ̃2	
蠻	mᴇ̃1	
蠻	mᴇ̃2	
血	sʮəʔ7	
行	ɦin2	
行	ɦɑŋ2	
街	tɕiᴇ1	
衙	ɦiɑ2	
衛	ɦui6	
衝	tsʰoŋ1	
衡	ɦen2	
衣	ʔi1	
表	piɔ3	
衫	sᴇ̃1	
衰	sᴇ1	
衲	nɑʔ8	
衷	tsoŋ1	
袁	ɦyõ2	
袋	dᴇ6	
袍	bɔ2	
袖	dʑiø6	
裁	dzᴇ2	
裂	liəʔ8	
裌	tɕiɑʔ7	
裏	li3	
裕	ɦʮ6	
裙	dzʮen2	
補	pu3	
裝	tsʮɑŋ1	
裱	piɔ3	
裳	zɑŋ6	
裴	bei2	
裸	lo3	
裹	ku3	
製	tsɿ5	
複	foʔ7	
褒	pɔ3	
褚	tsʰʮ3	
褥	zoʔ8	
褪	tʰun5	
褲	kʰu5	
褶	tsəʔ7	
襄	ɕiɑŋ1	
襇	tɕiᴇ̃3	
襖	ʔɔ3	
襟	tɕin1	
襪	mɑʔ8	
襲	dʑiəʔ8	
襻	pʰᴇ̃5	
西	ɕi1	
要	ʔiɔ1	
要	ʔiɔ5	
覆	foʔ7	
見	tɕiᴇ̃5	
規	kui1	
覓	miəʔ8	
視	zɿ6	
覺	tɕiɔ5	
覺	tɕiɑʔ7	
覽	lᴇ̃6	
觀	kuõ1	
角	tɕiɑʔ7	
角	koʔ7	
解	tɕiᴇ3	
觸	tsʰoʔ7	
言	ɦiᴇ̃2	
訂	tin5	
訃	fu5	
訇	hoŋ1	
計	tɕi5	
訊	ɕin5	
討	tʰɔ3	
訓	sʮen5	
訖	tɕʰiəʔ7	
託	tʰoʔ7	
記	tɕi5	
訛	ŋo2	
訟	dzoŋ6	
訣	tsʮəʔ7	
訪	fɑŋ3	
設	səʔ7	
許	sʮ3	
診	tsen1	
註	tsʮ3	
詐	tsɑ5	
詔	tsɔ5	
評	bin2	
詞	dzɿ2	
詠	ʔioŋ3	
試	sɿ5	
詩	sɿ1	
詭	kui3	
話	ɦuɑ6	
話	ɦuo6	
該	kᴇ1	
詳	dʑiɑŋ2	
詳	ɦiɑŋ2	
誅	tsʮ1	
誇	kʰuɑ1	
誌	tsɿ5	
認	zen6	
誓	zɿ6	
誕	dᴇ̃2	
誘	ɦiø6	
語	ʔʮ3	
誠	dzen2	
誣	ɦu6	
誤	ɦu6	
誥	kɔ5	
誦	dzoŋ6	
說	sʮəʔ7	
誰	dzʮei2	
課	kʰo5	
誼	ȵi6	
調	diɔ2	
調	diɔ6	
談	dᴇ̃2	
諒	liɑŋ6	
論	len2	
論	len6	
諜	diəʔ8	
諧	ɦiᴇ2	
諫	tɕiᴇ̃5	
諱	hui5	
諷	foŋ1	
諸	tsʮ1	
諺	ɦiᴇ̃6	
諾	noʔ8	
謂	ɦui6	
謄	den2	
謊	huɑŋ3	
謎	mi6	
謗	pɑŋ3	
謙	tɕʰiᴇ̃1	
講	tɕiɑŋ3	
謝	dʑi6	
謠	ɦiɔ2	
謬	miɔ6	
謹	tɕin3	
證	tsen5	
譏	tɕi1	
識	səʔ7	
譚	dᴇ̃2	
譜	pu3	
警	tɕin3	
譯	ɦiəʔ8	
議	ȵi6	
護	ɦu6	
譽	ɦʮ6	
讀	doʔ8	
變	piᴇ̃5	
讒	dzᴇ̃2	
讓	zɑŋ6	
谷	koʔ7	
豆	dei6	
豇	kɑŋ1	
豈	tɕʰi3	
豉	zɿ6	
豌	ʔuõ1	
豎	zʮ6	
豐	foŋ1	
豔	ɦiᴇ̃6	
豕	sɿ3	
豚	den2	
象	dʑiɑŋ6	
豪	ɦɔ2	
豫	ɦʮ6	
豬	tsʮ1	
豹	pɔ5	
豺	dzᴇ2	
貂	tiɔ1	
貌	mɔ6	
貓	mɔ2	
貝	pei1	
貝	pei5	
貞	tsen1	
負	vei6	
財	dzᴇ2	
貢	koŋ5	
貧	bin2	
貨	hu5	
販	fᴇ̃5	
貪	tʰᴇ̃1	
貫	kuõ5	
責	tsəʔ7	
貳	əl5	
貴	kui5	
貶	piᴇ̃3	
買	mᴇ3	
貸	dᴇ6	
費	fi5	
貼	tʰiəʔ7	
貿	mei6	
賀	ɦo6	
賂	lu6	
賃	zen6	
賄	hui3	
賅	kᴇ1	
資	tsɿ1	
賈	tɕiɑ3	
賊	dzəʔ8	
賒	sʮei1	
賓	pin1	
賜	sɿ5	
賞	sɑŋ3	
賠	bei2	
賢	ɦiᴇ̃2	
賣	mᴇ5	
賤	dʑiᴇ̃6	
賦	fu5	
質	tsəʔ7	
賬	tsɑŋ5	
賭	tu3	
賴	lᴇ6	
賺	dzᴇ̃6	
購	kø5	
賽	sᴇ5	
贅	tsʮei5	
贈	dzen6	
贊	tsᴇ̃5	
贏	ɦin2	
贓	tsɑŋ1	
贖	zoʔ8	
贛	kᴇ̃5	
赤	tsʰəʔ7	
赦	sʮei5	
赫	hɑʔ7	
走	tsei3	
赳	tɕiø1	
赴	fu5	
起	tɕʰi3	
趁	tsʰen5	
超	tsʰɔ1	
越	ɦyəʔ8	
趕	kᴇ̃3	
趟	tʰɑŋ5	
趣	tsʰʮ5	
趨	tsʰʮ1	
足	tsoʔ7	
趼	tɕiᴇ̃3	
趾	tsɿ3	
跌	tiəʔ7	
跑	bɔ2	
跔	ɡø2	
跛	po3	
距	dzʮ6	
跟	ken1	
跡	tɕiəʔ7	
跨	kʰuɑ5	
跪	ɡui6	
路	lu6	
跳	tʰiɔ5	
踏	dɑʔ8	
踐	dʑiᴇ̃6	
踢	tʰiəʔ7	
踱	doʔ8	
蹄	di2	
蹤	tsoŋ1	
蹦	poŋ5	
蹲	ten1	
躁	tsʰɔ5	
躍	ʔiɔ5	
躍	ɦiɑʔ8	
身	sen1	
躬	koŋ1	
躱	to3	
躺	tʰɑŋ3	
車	tsʮ1	
車	tsʰʮei1	
軋	ɡɑʔ8	
軌	kui3	
軍	tsʮen1	
軒	ɕiᴇ̃1	
軛	ʔɑʔ7	
軟	nuõ3	
軸	dzoʔ8	
較	tɕiɔ5	
載	tsᴇ3	
載	tsᴇ5	
輔	fu3	
輛	liɑŋ3	
輜	tsɿ1	
輝	hui1	
輦	liᴇ̃3	
輩	pei5	
輪	len2	
輯	tɕʰiəʔ7	
輸	sʮ1	
轅	ɦyõ2	
轉	tsʮõ3	
轍	tsəʔ7	
轎	dʑiɔ6	
轟	hoŋ1	
轡	pʰei5	
辛	ɕin1	
辣	lɑʔ8	
辦	bᴇ̃6	
辨	biᴇ̃6	
辭	dzɿ2	
辮	biᴇ̃6	
辯	biᴇ̃6	
辰	zen2	
辱	zoʔ8	
農	noŋ2	
農	ȵioŋ2	
迂	ʔʮ1	
迅	ɕin5	
迎	ȵin2	
迎	ɦin2	
近	dʑin6	
迫	pʰɑʔ7	
迭	diəʔ8	
述	zəʔ8	
迷	mi2	
迸	pin5	
追	tsʮei1	
退	tʰui5	
送	soŋ5	
逃	dɔ2	
逆	ȵiəʔ8	
透	tʰei5	
逐	dzoʔ8	
途	du2	
逗	dei6	
通	tʰoŋ1	
逛	ɡuɑŋ6	
逝	zɿ6	
逞	tsʰen3	
速	soʔ7	
造	dzɔ6	
逢	voŋ2	
連	liᴇ̃2	
進	tɕin5	
逵	ɡui2	
逸	ɦiəʔ8	
逾	ɦʮ2	
遁	den6	
遂	zʮei6	
遇	ɦʮ6	
運	ɦyn6	
遍	piᴇ̃5	
遍	pʰiᴇ̃5	
過	ku1	
過	ku5	
遐	ɦiɑ2	
道	dɔ6	
達	dɑʔ8	
違	ɦui2	
遜	sʮen5	
遞	di6	
遠	ʔyõ3	
遣	tɕʰiᴇ̃3	
適	səʔ7	
遭	tsɔ1	
遮	tsʮei1	
遲	dzɿ2	
遵	tsʮen1	
遷	tɕʰiᴇ̃1	
選	ɕiᴇ̃3	
遼	liɔ2	
避	bi6	
邀	ʔiɔ1	
邁	mᴇ5	
還	ɦɑ2	
還	ɦuõ2	
邊	piᴇ̃1	
邢	ɦin2	
那	nɑ5	
邦	pɑŋ1	
邪	dʑiɑ2	
邱	tɕʰiø1	
邵	dzɔ6	
郁	ʔyəʔ7	
郊	tɕiɔ1	
郎	lɑŋ2	
郡	dzʮen6	
部	bu6	
郭	koʔ7	
郵	ɦiø2	
都	tu1	
鄂	ŋoʔ8	
鄉	ɕiɑŋ1	
鄒	tsei1	
鄙	pi3	
鄧	den6	
鄭	dzen6	
鄰	lin2	
酉	ʔiø3	
酌	tsɑʔ7	
配	pʰei5	
酒	tɕiø3	
酣	hᴇ̃1	
酥	su1	
酪	loʔ8	
酬	dzei2	
酵	ɕiɔ5	
酷	kʰoʔ7	
酸	sʮõ1	
醇	zʮen2	
醉	tsʮei5	
醋	tsʰu5	
醒	ɕin3	
醜	tsʰei3	
醫	ʔi1	
醬	tɕiɑŋ5	
釀	ȵiɑŋ3	
釁	ɕin5	
釉	ɦiø6	
釋	səʔ7	
里	li3	
重	dzoŋ2	
重	dzoŋ6	
野	ʔi3	
野	ʔiᴇ3	
量	liɑŋ2	
量	liɑŋ6	
釐	li2	
金	tɕin1	
釘	tin1	
釘	tin5	
釜	vu6	
針	tsen1	
釣	tiɔ5	
釵	tsʰᴇ1	
鈀	bɑ2	
鈍	den6	
鈔	tsʰɔ3	
鈕	niø3	
鈞	tsʮen1	
鈴	lin2	
鉗	dʑiᴇ̃2	
鉛	tɕʰiᴇ̃1	
鉢	poʔ7	
鉤	kø1	
鉸	tɕiɔ3	
銀	ȵin2	
銃	tsʰoŋ5	
銅	doŋ2	
銘	min2	
銜	ɦᴇ̃2	
銜	ɦiᴇ̃2	
銬	kʰɔ5	
銲	ɦᴇ̃6	
銳	zʮei6	
銷	ɕiɔ1	
銹	ɕiø5	
銼	tsʰo5	
鋒	foŋ1	
鋤	dzu2	
鋥	dzɑŋ6	
鋪	pʰu1	
鋪	pʰu5	
鋸	tsʮ5	
鋼	kɑŋ1	
錄	loʔ8	
錐	tsʮei1	
錘	dzʮei2	
錛	pen1	
錢	dʑiᴇ̃2	
錦	tɕin3	
錨	mɔ2	
錫	ɕiəʔ7	
錯	tsʰu5	
鍊	liᴇ̃6	
鍋	ku1	
鍍	du6	
鍘	zɑʔ8	
鍛	tuõ5	
鍛	duõ6	
鍬	tɕʰiɔ1	
鍵	dʑiᴇ̃6	
鍾	tsoŋ1	
鎖	so3	
鎮	tsen5	
鏇	dʑiᴇ̃6	
鏈	liᴇ̃6	
鏟	tsʰᴇ̃3	
鏡	tɕin5	
鏵	ɦuɑ2	
鐘	tsoŋ1	
鐙	ten5	
鐧	tɕiᴇ̃1	
鐮	liᴇ̃2	
鐲	dzoʔ8	
鐸	doʔ8	
鐾	bi6	
鑄	tsʮ5	
鑞	lɑʔ8	
鑰	ɦiɑʔ8	
鑲	ɕiɑŋ1	
鑼	lo2	
鑽	tsʮõ1	
鑽	tsʮõ5	
鑿	zoʔ8	
長	tsɑŋ3	
長	dzɑŋ2	
門	men2	
閂	sʮõ1	
閃	sʮõ3	
閉	pi5	
開	kʰᴇ1	
閏	zʮen6	
閒	ɦiᴇ̃2	
間	tɕiᴇ̃1	
閘	zɑʔ8	
閣	koʔ7	
閧	hoŋ5	
閨	kui1	
閩	min3	
閱	ɦyəʔ8	
閹	ʔiᴇ̃1	
閻	ȵiᴇ̃2	
闖	tsʰʮɑŋ3	
關	kuõ1	
阜	vei6	
阮	ʔyõ3	
阱	tɕin3	
阻	tsu3	
阿	ʔɑ1	
阿	ʔo1	
附	vu6	
陋	lei6	
陌	mɑʔ8	
降	tɕiɑŋ5	
降	ɦiɑŋ2	
限	ɦiᴇ̃6	
陛	bi6	
陝	sʮõ3	
陡	tei3	
院	ɦyõ6	
陣	dzen6	
除	dzʮ2	
陪	bei2	
陰	ʔin1	
陳	dzen2	
陵	lin2	
陶	dɔ2	
陷	ɦiᴇ̃6	
陸	loʔ8	
陽	ɦiɑŋ2	
隆	loŋ2	
隊	dui6	
階	tɕiᴇ1	
隑	ɡᴇ6	
際	tɕi5	
障	tsɑŋ5	
隧	zʮei6	
隨	dzʮei2	
險	ɕiᴇ̃3	
隱	ʔin3	
隴	loŋ3	
隸	di6	
隻	tsəʔ7	
雀	tɕʰiɑʔ7	
雁	ʔiᴇ̃5	
雄	ɦioŋ2	
雅	ʔiɑ3	
集	dʑiəʔ8	
雇	ku5	
雉	dzɿ6	
雌	tsʰɿ1	
雍	ʔioŋ1	
雕	tiɔ1	
雖	sʮei1	
雙	sʮɑŋ1	
雜	zɑʔ8	
雞	tɕi1	
離	li6	
難	nᴇ̃2	
難	nᴇ̃6	
雨	ʔʮ3	
雪	ɕiəʔ7	
雲	ɦyn2	
零	lin2	
雷	lei2	
雹	boʔ8	
電	diᴇ̃6	
需	sʮ1	
霄	ɕiɔ1	
震	tsen5	
霜	sʮɑŋ1	
霞	ɦiɑ2	
霧	ɦu6	
露	lu6	
霸	pɑ5	
靈	lin2	
靜	dʑin6	
非	fi1	
靠	kʰɔ5	
靡	mi2	
面	miᴇ̃6	
靨	ʔiəʔ7	
靪	tin1	
靴	sʮ1	
鞋	ɦiᴇ2	
鞍	ʔᴇ̃1	
鞏	koŋ3	
鞭	piᴇ̃1	
韌	ȵin6	
韓	ɦᴇ̃2	
韭	tɕiø3	
音	ʔin1	
韻	ɦyn6	
響	ɕiɑŋ3	
頁	ɦiəʔ8	
頂	tin3	
項	ɦɑŋ6	
順	zʮen6	
須	sʮ1	
頌	dzoŋ6	
預	ɦʮ6	
頑	ɦuõ2	
頒	pᴇ̃1	
頓	tun5	
頗	pʰo1	
領	lin3	
頭	dei2	
頸	tɕin3	
頻	bin2	
顆	kʰo1	
題	di2	
額	ŋɑʔ8	
顏	ɦiᴇ̃2	
願	ɦyõ6	
顛	tiᴇ̃1	
類	lei6	
顧	ku5	
顫	tsʮõ5	
顯	ɕiᴇ̃3	
顴	dzʮõ2	
風	foŋ1	
飄	pʰiɔ1	
飛	fi1	
食	zəʔ8	
飢	tɕi1	
飩	den2	
飯	vᴇ̃6	
飲	ʔin3	
飲	ʔin5	
飽	pɔ3	
飾	səʔ7	
餃	tɕiɔ3	
餅	pin3	
餈	dzɿ2	
養	ʔiɑŋ3	
餌	əl3	
餐	tsʰᴇ̃1	
餓	ŋo6	
餘	ɦʮ2	
餛	ɦun2	
餜	ku3	
餞	dʑiᴇ̃6	
餡	ɦiᴇ̃6	
館	kuõ3	
餿	sei1	
饅	muõ2	
饑	tɕi1	
饒	zɔ2	
饒	ȵiɔ2	
饞	dzᴇ̃2	
首	sei3	
香	ɕiɑŋ1	
馨	ɕin1	
馬	mɑ3	
馮	voŋ2	
馱	do2	
馳	dzɿ2	
駁	poʔ7	
駐	tsʮ5	
駕	tɕiɑ5	
駛	sɿ3	
駝	do2	
駱	loʔ8	
騎	dʑi2	
騙	pʰiᴇ̃5	
騰	den2	
騲	tsʰɔ3	
騷	sɔ1	
騾	lo2	
驅	tsʰʮ1	
驕	tɕiɔ1	
驗	ȵiᴇ̃6	
驚	tɕin1	
驟	dzei6	
骯	ʔɑŋ1	
髒	tsɑŋ1	
體	tʰi3	
高	kɔ1	
髮	fɑʔ7	
髻	tɕi5	
鬃	tsoŋ1	
鬆	soŋ1	
鬍	ɦu2	
鬏	tɕiø1	
鬚	sʮ1	
鬢	pin1	
鬥	tei5	
鬧	nɔ6	
鬮	tɕiø1	
鬼	kui3	
魁	kʰui1	
魂	ɦun2	
魄	pʰɑʔ7	
魏	ɦui6	
魔	mo2	
魘	ʔiᴇ̃3	
魚	ɦʮ2	
魯	lu3	
鮑	bɔ6	
鮝	ɕiɑŋ3	
鮮	ɕiᴇ̃1	
鯉	li3	
鯨	dʑin2	
鰓	sᴇ1	
鰣	zɿ2	
鰥	kuõ1	
鰭	dʑi2	
鰻	muõ2	
鰾	biɔ6	
鱖	kui5	
鱗	lin2	
鱟	hei5	
鳥	ȵiɔ3	
鳩	tɕiø1	
鳳	voŋ6	
鳴	min2	
鴉	ʔiɑ1	
鴨	ʔiɑʔ7	
鴻	ɦoŋ2	
鴿	kɑʔ7	
鵝	ŋo2	
鵡	ʔu3	
鵲	tɕʰiɑʔ7	
鶯	ʔin1	
鶴	ŋoʔ8	
鷂	ɦiɔ6	
鷹	ʔin1	
鷺	lu6	
鸕	lu2	
鸚	ʔin1	
鸞	luõ2	
鹹	ɦiᴇ̃2	
鹼	tɕiᴇ̃3	
鹽	ɦiᴇ̃2	
鹿	loʔ8	
麗	li6	
麝	zʮei6	
麥	mɑʔ8	
麩	fu1	
麵	miᴇ̃6	
麻	mɑ2	
麾	hui1	
黃	ɦuɑŋ2	
黎	li2	
黏	ȵiᴇ̃1	
黑	hɑʔ7	
默	moʔ8	
點	tiᴇ̃3	
黨	tɑŋ3	
黴	mei2	
鱉	piəʔ7	
鼎	tin3	
鼓	ku3	
鼠	tsʰʮ3	
鼬	ɦiø6	
鼾	hᴇ̃1	
齁	hei1	
齈	noŋ2	
齊	dʑi2	
齋	tsᴇ1	
齒	tsʰɿ3	
齦	kʰen3	
龍	loŋ2	
龕	kʰᴇ̃3	
龜	kui1	
