#漢字	音標	解釋
#簡稱	/	杭州
#全稱	/	杭州話
#聲母	/	
#韻母	/	
#聲調	/	33 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,53 3 2 上 ꜂,,445 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇
#版本	/	2021-11-12
#錄入人	/	
#參考資料	/	#漢語多功能字庫#
#說明	/	來源：http://humanum.arts.cuhk.edu.hk/Lexis/lexi-mf/dialectIndex.php?point=M
幸	ɦin6	
幹	kᴇ̃5	
幻	ɦuõ6	
幽	ʔiø1	
幾	tɕi1	
幾	tɕi3	
序	dzʮ6	
底	ti3	
店	tiᴇ̃5	
庚	ken1	
府	fu3	
度	du6	
座	dzo6	
庫	kʰu5	
庵	ʔᴇ̃1	
庶	sʮ5	
康	kʰɑŋ1	
庸	ɦioŋ2	
廁	tsʰɿ5	
廂	ɕiɑŋ1	
廈	ɦiɑ6	
廉	liᴇ̃2	
廊	lɑŋ2	
廓	kʰoʔ7	
廖	liɔ6	
廚	dzʮ2	
廝	sɿ1	
廟	miɔ6	
廠	tsʰɑŋ3	
廢	fi5	
廣	kuɑŋ3	
廬	lu2	
廳	tʰin1	
延	ɦiᴇ̃2	
建	tɕiᴇ̃5	
弄	loŋ6	
弊	bi6	
式	səʔ7	
弓	koŋ1	
弔	tiɔ5	
引	ʔin3	
弘	ɦoŋ2	
弟	di6	
弦	ɦiᴇ̃2	
弱	zɑʔ8	
張	tsɑŋ1	
強	tɕʰiɑŋ3	
強	dʑiɑŋ2	
強	dʑiɑŋ6	
弼	biəʔ8	
彀	kø5	
彈	dᴇ̃2	
彈	dᴇ̃6	
彌	mi2	
彎	ʔuõ1	
彙	ɦui6	
形	ɦin2	
彩	tsʰᴇ3	
彪	piɔ1	
彬	pin1	
彭	boŋ2	
影	ʔin3	
彷	fɑŋ3	
彿	foʔ7	
往	ʔuɑŋ3	
征	tsen1	
待	dᴇ6	
很	hen3	
律	liəʔ8	
後	ɦei6	
徐	dzʮ2	
徑	tɕin1	
徒	du2	
得	təʔ7	
徙	ɕi3	
從	tsʰoŋ1	
從	dzoŋ2	
御	ɦʮ6	
復	foʔ7	
循	dʑin2	
微	vi2	
徵	tsen1	
德	təʔ7	
徹	tsʰəʔ7	
徽	hui1	
心	ɕin1	
必	piəʔ7	
忌	dʑi6	
忒	tʰəʔ7	
志	tsɿ5	
忘	mɑŋ6	
忘	vɑŋ6	
忙	mɑŋ2	
忠	tsoŋ1	
快	kʰuᴇ5	
