#漢字	音標	解釋
□	tsei1	吃东西
舊	tɕiəu5	
旨	tsɿ3	
早	tsau3	
旬	ɕyn2	
旱	xan5	
時	sɿ2	
曠	kʰuaŋ5	
昂	ŋaŋ2-	雄赳赳气~~
昂	aŋ2=	雄赳赳气~~
昆	kʰun1	
昌	tʂʰaŋ1	
明	min2	
昏	xun1	
易	i5	交~
易	i5	难~
星	ɕin1	
映	in5	
春	tsʰun1	
昧	mei5	
昨	tsuo2	
昭	tʂau1	
是	sɿ5	
晝	tʂəu5	
顯	ɕian3	
晃	xuaŋ5	~眼
晌	ʂaŋ3	~午
曬	sai5	
曉	ɕiau3	
暈	yn1	
晚	uan3	
晦	xuei5	
晨	tʂʰən2	
普	pʰu3	
景	tɕin3	
晴	tɕʰin2	
智	tʂʅ5	
暫	tsan5	
暇	ɕia2	
暑	su3	
暖	nuan3	
暗	ŋan5-	黑~
暗	an5=	黑~
暮	mu5	
暴	pau5	
曝	pʰu5	
曰	yɛ1	
曲	tɕʰy1	~折
曲	tɕʰy3	歌~
更	kən1	~换,五~
更	kən5	~加
曹	tsʰau2	
曾	tsʰən2	~经
曾	tsən1	姓
替	tʰi5	
最	tsuei5	
月	yɛ1	
有	iəu3	
朋	pʰəŋ2	
服	fu2	
朔	suo1	
朗	laŋ3	
朝	tʂau1	今~
朝	tʂʰau2	又,~代
期	tɕʰi1	时~
木	mu1	
末	mo1	
本	pən3	
术	su5	
朴	pʰu3	
朶	tuo3	
機	tɕi1	
朽	ɕiəu3	
殺	sa1	
雜	tsa2	
權	tɕʰyan2	
杆	kan1	
杈	tsʰa5	枝~
杉	san1	
李	li3	
杏	xən5-	~子
杏	ɕin5=	~子
材	tsʰai2	
村	tsʰun1	
杜	tu5	
杞	tɕi3	
束	su5	
杠	kaŋ5	
條	tʰiau2	
來	lai2	
楊	iaŋ2	
杭	xaŋ2	
杯	pei1	
杰	tɕiɛ2	
杳	iau3	~无音信
杵	tsʰu3	
杷	pʰa2	~杷
松	suŋ1	
板	pan3	
極	tɕi1	
枇	pʰi2	~杷
枕	tʂən3	~头
林	lin2	
枚	mei2	
果	kuo3	
枝	tʂʅ1	
樞	su1	
棗	tsau3	
槍	tɕʰiaŋ1	
楓	fəŋ1	
枯	kʰu1	
架	tɕia5	
柄	pin3	
柏	pei1	
某	məu3	
柑	kan1	
染	ʐan3	
柔	ʐəu2	
柚	iəu5	
櫃	kuei5	
查	tsʰa2	调~
柩	tɕiəu5	
柬	tɕian3	
柱	tsu5	
柳	liəu3	
柴	tsʰai2	
柿	sɿ5	
梔	tʂʅ1	~子花
栅	tsa5	~栏
標	piau1	
棧	tsan5	
棟	tuŋ5	
樹	su5	
栖	tɕʰi1	
校	tɕiau5	~对
樣	iaŋ5	
核	xei1-	~查
核	xɤ2=	~查
核	xu2	果子~
根	kən1	
格	kei1-	~子
格	kɤ2=	~子
栽	tsai1	
桂	kuei5	
桃	tʰau2	
案	ŋan5-	~板
案	an5=	~板
桌	tsuo1	
桐	tʰuŋ2	
桑	saŋ1	
橋	tɕiau5	
槳	tɕiaŋ3	
樁	tsuaŋ1	
桶	tʰuŋ3	
梁	liaŋ2	
梅	mei2	
梓	tsɿ3	
梗	kən3	
梢	sau1	树~
夢	məŋ5	
梨	li2	
梭	suo1	
梯	tʰi1	
械	ɕiɛ5	
梳	su1	~头
檢	tɕian3	
棉	mian2	
棋	tɕʰi2	
棍	kun5	
棒	paŋ5	
棕	tsuŋ1	
棚	pʰəŋ2	
棠	tʰaŋ2	
森	sən1	
棵	kʰɤ1	
植	tʂʅ1	
椒	tɕiau1	
橢	tʰuo3	~圆
椽	tsʰuan2	
椿	tsʰun1	~树
楔	ɕiɛ1	~子
楚	tsʰu3	
楞	lən2	
楣	mei2	
楷	kʰai3	
樓	ləu2	
榆	y2	
榛	tʂən1	
榜	paŋ2	
榴	liəu2	石~
榻	tʰa5	
槌	tsʰuei2	
槐	xuai2	
檳	pin1	~榔
槽	tsʰau2	马~
模	mu2	~子
模	mo2	~范
橫	xən2	~直
橫	xən5	蛮~’
櫻	in1	~桃
樵	tɕʰiau2	
橄	kan3	~榄
橙	tʂʰən2	
橙	tʂʰən2	~子
橡	ɕiaŋ5	~树
檐	ian2	
欛	pa3	柄
欠	tɕʰian5	
次	tsʰɿ5	
歡	xuan1	
欣	ɕin1	
歐	əu1	
欲	y5	
欺	tɕʰi1	
款	kʰuan3	
歇	ɕiɛ1	
歉	tɕʰian5	
歌	kɤ1	
止	tsɿ3	
正	tʂən1	~月
正	tʂən5	~好
此	tsʰɿ3	
步	pu5	
武	u3	
歪	uai1	
死	sɿ3	
殲	tɕian1	~灭
殃	iaŋ1	
殆	tai5	
殉	ɕyn5	
殊	su1	
殘	tsʰan2	
殮	lian5	
殖	tʂʅ1	
殯	pin5	
毆	əu1	
段	tuan5	
殷	in1	
毁	xuei3	
毅	i5	
母	mu3	
每	mei3	
毒	tu2	
比	pi3	~较
畢	pi1	
斃	pi5	
毛	mau2	
毡	tʂan1	
毫	xau2	
氄	ʐuŋ3	~毛:鸟兽细软而茂密的毛
氏	sɿ5	
民	min2	
水	suei3	
永	ioŋ3	
汁	tʂʅ1	
求	tɕʰiəu2	
汇	xuei5	
漢	xan5	
汗	xan5	
汝	ʐu3	
汞	kuŋ3	
江	tɕiaŋ1	
池	tʂʰʅ2	
污	u1	
湯	tʰaŋ1	
汪	uaŋ1	一~水
汴	pian5	
沂	i2	
沃	uo5	
沈	ʂən3	
沉	tʂʰən2	
沌	tun5	
沓	tʰa2	一~纸
沙	sa1	
溝	kəu1	
没	mo5	沉~,~有
滬	xu5	
沫	mo1	
河	xɤ2	
油	iəu2	
治	tsɿ5	
沼	tʂau3	池~,~气
沾	tʂan1	
沿	ian2	
泄	ɕiɛ5	~漏
泉	tɕʰyan2	
泊	po2	
泊	po2	梁山~
泌	mi5	
法	fa1	~人
泛	fan5	
泡	pʰau5	
波	po1	
泥	ni2	
注	tsu5	
淚	luei5-	流~
淚	lei5=	流~
泰	tʰai5	
泳	ioŋ3	
瀉	ɕiɛ5	
潑	pʰo1	
澤	tsei2-	光~
澤	tsɤ2=	光~
潔	tɕiɛ2	
洇	in1	这种纸写字不~
洋	iaŋ2	
洒	sa3	
洗	ɕi3	
洛	luo1	
洞	tuŋ5	
津	tɕin1	
洪	xuŋ2	
洲	tʂəu1	
活	xuo2	
洼	ua1	
洽	tɕʰia5	
派	pʰai5	
流	liəu2	
淺	tɕʰian3	
漿	tɕiaŋ1	
澆	tɕiau1	
濁	tsuo2	
測	tsʰei1-	~验
測	tsʰɤ1=	~试
濟	tɕi5	
渾	xun2	~浊
滸	xu3	水~
濃	luŋ2	
浙	tʂɤ1	
浚	tɕyn5	~河
浦	pʰu3	
浩	xau5	
浪	laŋ5	
浮	fu2	
浴	y5	
海	xai3	
浸	tɕʰin5-	~湿
浸	tɕin5=	沉~
涂	tʰu2	
消	ɕiau1	
涉	ʂɤ5	
涌	ioŋ3	
涕	tʰi5	鼻~
濤	tʰau1	
澇	lau5	旱~
潤	ʐun5	
澗	tɕian5	
漲	tʂaŋ2	
澀	tsʰɤ5	
涮	suan5	~洗
液	iɛ1	
淋	lin2	~漓,~湿
淑	su1	
淘	tʰau2	~米
淡	tan5	
淤	y1	
淫	in2	
淮	xuai2	
深	ʂən1	
混	xun5	相~
淹	ian1	
添	tʰian1	
清	tɕʰin1	
淵	yan1	
漸	tɕian5	
澠	mian3	~池
漁	y2	
滲	sən5	~透
渠	tɕʰy2	
渡	tu5	
渣	tsa1	
溫	un1	
港	kaŋ3	~口
渴	kʰɤ1	口~
游	iəu2	
渺	miau3	
湖	xu2	
湘	ɕiaŋ1	
灣	uan1	
溼	ʂʅ1	
潰	kʰuei5	~脓
濺	tɕian5	~一身水
源	yan2	
溜	liəu1	~冰
溪	ɕi1	
溻	tʰa1	汗~湿了
滂	pʰaŋ2	~沱
滋	tsɿ1	
滑	xua2	
滓	tsɿ3	油~(渣子,沉淀物)
滔	tʰau1	
滚	kun3	
滯	tʂʅ5	停滞,积滞
滿	man3	
濾	ly5	
濫	nan5	
漂	pʰiau1	~泊
漂	pʰiau5	又,~亮
漏	ləu5	
演	ian3	
漤	nan5	~菜:蔬菜用热水煮一下
漫	man5	
漱	su5	~口
潘	pʰan1	
潛	tɕʰian2	
潭	tʰan2	
潮	tʂʰau2	
澄	tʂʰən2	
澄	tʂʰən2	~清
澄	tən5	水浑,~一~
澡	tsau3	
激	tɕi1	
瀑	pʰu5	~布
灒	tsan5	溅
火	xuo3	
滅	miɛ1	
燈	tən1	
灰	xuei1	
靈	lin2	
竈	tsau5	
灸	tɕiəu3	针~
災	tsai1	
燦	tsʰan5	
爐	lu2	
炊	tsʰuei1	
炎	ian2	
炒	tsʰau3	
炕	kʰaŋ5	
炙	tʂʅ1	
炮	pʰau5	枪~
點	tian3	
煉	lian5	
爛	nan5	
烈	liɛ1	
烊	iaŋ2	打~
烘	xuŋ1	~干
烙	luo1	
烟	ian1	
烤	kʰau3	
煩	fan2	
燒	ʂau1	
燙	tʰaŋ5	
熱	ʐɤ1	
烹	pʰəŋ1	
焊	xan5	~铁壶
焙	pei5	~干
焚	fən2	
焦	tɕiau1	
然	ʐan2	
煎	tɕian1	
煤	mei2	
照	tʂau5	
煨	uei1	~汤:把汤热一下
熄	ɕi1	
熊	ɕioŋ2	
熏	ɕyn1	
熟	su3	煮~,~悉
熨	yn5	
熬	au2	
燃	ʐan2	
燎	liau2	
燎	liau3	火~眉毛
燕	ian5	~子
爆	pau5	
爊	au1	~白菜
爪	tsua3	~子
爬	pʰa2	
愛	ŋai5-	可~
愛	ai5=	可~
父	fu5	
爺	iɛ1	
爸	pa5	
爹	tiɛ1	
爽	suaŋ3	
片	pʰian5	
版	pan3	
牌	pʰai2	
牒	tiɛ2	
牙	ia2	
牚	tsʰən5	椅子~~
牛	niəu2	
牢	lau2	
物	u1	
牯	ku3	
牲	sən1	
牽	tɕʰian1	
特	tʰei1-	~别
特	tʰɤ5=	~别
犀	ɕi1	
犒	kʰau5	
犬	tɕʰyan3	
犯	fan5	
狀	tsuaŋ5	
猶	iəu2	
狂	kʰuaŋ2	
狐	xu2	
狗	kəu3	
獨	tu2	
狹	ɕia2	
獅	sɿ1	
獄	y1	
狸	li1	~猫
狼	laŋ2	
獵	liɛ1	打~
猛	məŋ3	
猜	tsʰai1	
猝	tsʰu5	仓~
豬	tsu1	
猫	mau1	
猴	xəu2	
猾	xua2	狡~
玄	ɕyan2	
率	suai5	~领
率	ly1	速~
玉	y1	
王	uaŋ2	
玩	uan2	古~,游~
環	xuan2	
玻	po1	~璃
珊	san1	
珍	tʂən1	
班	pan1	
球	tɕʰiəu2	
理	li3	
琉	liəu2	~璃
瑣	suo3	~碎
琢	tsuo1	
琴	tɕʰin2	
琵	pʰi2	琵~
琶	pʰa2	琵~
瓊	tɕʰioŋ2	
瑕	ɕia2	
瑞	ʐuei5	
瑟	tsʰɤ5	
璃	li2	玻~
璧	pi1	
瓜	kua1	
瓠	xu2	~子,~瓜
瓢	pʰiau2	
瓣	pan5	
瓤	ʐaŋ2	瓜~
瓦	ua5	动词
瓮	uŋ5	
瓶	pʰin2	
瓷	tsʰɿ2	~器
甘	kan1	
甚	ʂən5	
甜	tʰian2	
生	sən1	
甥	sən1	
用	ioŋ5	
甫	fu3	
甬	ioŋ3	
田	tʰian2	
由	iəu2	
甲	tɕia1	
申	ʂən1	
電	tian5	
男	nan2	
畫	xua5	
暢	tʂʰaŋ5	
界	tɕiɛ5	
留	liəu2	
畜	tsʰu1	~牲
畜	ɕy1	~牧
略	lyɛ1	
番	fan1	几~
疆	tɕiaŋ1	
疏	su1	~远
疑	ni2	
療	liau2	
瘧	lyɛ1	~疾
瘍	iaŋ2	溃~
疤	pa1	
疥	tɕiɛ5	~疮
疫	i5	
瘡	tsʰuaŋ1	
瘋	fəŋ1	
疲	pʰi2	
疹	tʂən3	
疼	tən2	
疾	tɕi2	
疿	fei5	~子
痂	tɕia1	
病	pin5	
症	tʂən5	
痒	niau3-	~得很
痒	iaŋ3=	~得很
痔	tsɿ5	
痕	xən2	
痛	tʰuŋ5	
痣	tsɿ5	
痰	tʰan2	
癡	tʂʰʅ1	
痹	pi5	麻痹
瘊	xəu2	~子
瘌	lai5	~蛤蟆
瘟	un1	
瘦	səu5	
瘸	tɕʰyɛ2	~腿
癩	lai5	
癸	kʰuei2	
登	tən1	
白	pei2-	~色
白	pai2=	~色
百	pei1-	一~
百	pai3=	一~
皂	tsau5	
皆	tɕiɛ1	
皇	xuaŋ2	
皖	uan3	
皮	pʰi2	
皺	tsəu5	
皴	tsʰun1	脸~
皿	min3	
盂	y2	
盅	tsuŋ1	
盆	pʰən2	
盈	in2	
益	i1	
盞	tsan3	
鹽	ian2	
鹽	ian2	腌
監	tɕian1	~察
盒	xɤ2	烟~
盔	kʰuei1	
盖	kai5	
盤	pʰan2	
盛	tʂʰən2	~满了
盛	ʂən5	兴~
盟	məŋ2	
目	mu1	
盲	maŋ2	
直	tʂʅ2	
相	ɕiaŋ5	~貌
相	ɕiaŋ1	互~
盼	pʰan5	
盾	tun5	矛~
省	sən3	~长
省	ɕin3	反~
眉	mi2-	~毛
眉	mei2=	~毛
看	kʰan1	~守
看	kʰan5	~见
真	tʂən1	
眠	mian2	
眨	tsa3	~眼
眩	ɕyan5	
眶	kʰuaŋ1	眼~
眷	tɕyan5	
眼	nian3	
着	tʂʰɤ2-	睡~了;火越~越大
着	tʂau2=	睡~了;火越~越大
睜	tsən1	
睛	tɕʰin2	眼~
睡	suei5	
督	tu1	
睬	tsʰai3	
瞎	xa1-	眼睛~了
瞎	ɕia1=	眼睛~了
瞞	man2	
瞖	i5	
瞧	tɕʰiau2	
瞪	tən5	~眼
瞭	liau5	
瞳	tʰuŋ2	
瞻	tʂan1	
瞿	tɕʰy1	
矁	tsʰəu5	
矛	mau3	
矢	sɿ3	
矣	i3	
知	tʂʅ1	
矩	tɕy5	规~
矯	tɕiau3	
矬	tsʰuo2	矮~~
短	tuan3	
矮	ŋai3-	~子
矮	ai3=	~子
石	ʂʅ2	
礦	kʰuaŋ5	
碼	ma3	
砌	tɕʰi5	
砍	kʰan3	
研	ian2	
破	pʰo5	
硫	liəu2	~黄
硬	nin5-	~邦邦
硬	in5=	~邦邦
確	tɕʰyɛ1	
礙	ŋai5-	~事
礙	ai5=	~事
碎	suei5	
碑	pei1	
碗	uan3	
碟	tiɛ2	
碧	pi1	
碾	nian3	
磁	tsʰɿ2	~石
磕	kʰɤ1	
磨	mo5	石~
磨	mo2	磨刀
磷	lin2	
示	sɿ5	
禮	li3	
社	ʂɤ5	
祀	sɿ5	祭~
祖	tsu3	
祝	tsu1	
神	ʂən2	
祠	tsʰɿ2	
祥	ɕiaŋ3	
票	pʰiau5	车~
祭	tɕi5	
禍	xuo5	
稟	pin3	
禁	tɕin5	又,~止
禁	tɕin1	禁不住
祿	lu1	
禪	tʂʰan2	
禪	ʂan5	~让
福	fu1	
离	li2	~别
离	li2	~开
禽	tɕʰin2	
禾	xɤ2	
秀	ɕiəu5	
私	sɿ1	
秃	tʰu1	
稈	kan3	稻~
秉	pin3	
秋	tɕʰiəu1	~天
秋	tɕʰiəu1	~千
種	tsuŋ3	~类
種	tsuŋ5	又,~树
科	kʰɤ1	
秒	miau3	
秕	pi3	~子,~谷
秘	mi5	
秤	tʂʰən5	一杆~
秦	tɕʰin2	
秧	iaŋ1	
秩	tʂʅ5	
積	tɕi1	
稱	tʂʰən1	~呼,~重量
稱	tʂʰən5	相~
秸	tɕiɛ2	麦~
移	i2	
穢	xuei5	
稀	ɕi1	
程	tʂʰən2	
稍	sau1	
税	suei5	
稗	pai5	~子:稻田的害草
稚	tʂʅ5	幼~
稠	tʂʰəu2	
穩	un3	
稼	tɕia5	
稽	tɕi1	
稿	kau3	
穄	tɕi5	~子,亦称糜[]子,谷类作物
穗	suei5	
穰	ʐaŋ2	禾茎
穴	ɕyɛ2	
究	tɕiəu1	
窮	tɕʰioŋ2	
空	kʰuŋ1	~虚
空	kʰuŋ5	又,~缺
穿	tsʰuan1	
突	tʰu1	
窄	tsei1-	~路
窄	tsai3=	~路
竅	tɕʰiau5	
窯	iau2	
窖	tɕiau5	
窗	tsʰuaŋ1	
窘	tɕioŋ3	
竄	tsʰuan5	
窩	uo1	
窟	kʰu1	~窿
窺	kʰuei1	
立	li1	
豎	su5	
站	tsan5	立
站	tsan5	车~
童	tʰuŋ2	
端	tuan1	
竹	tsu1	
竿	kan1	竹~
笋	sun3	
笑	ɕiau5	
筆	pi1	
笙	sən1	
笠	li1	
笡	tɕʰiɛ5	斜~~子:歪了
符	fu2	
笨	pən5	
箋	tɕian1	
籠	luŋ2	
等	tən3	
筋	tɕin1	
筏	fa2	
筐	kʰuaŋ1	
筑	tsu5	
筒	tʰuŋ2	
答	ta1	~应
策	tsʰɤ1	
篩	sai1	~子
箏	tsən1	
筵	ian2	
筷	kʰuai5	
籌	tʂʰəu2	
签	tɕʰian1	
簡	tɕian3	
箅	pi5	~子
箍	ku1	
算	suan5	
管	kuan3	
籮	luo2	
簫	ɕiau1	
箭	tɕian5	
箱	ɕiaŋ1	
箱	ɕia2	
篇	pʰian1	
簍	ləu3	
篙	kau1	
篡	tsʰuan5	
篦	pi5	
籃	nan2	
篷	pʰəŋ2	
篾	miɛ1	竹~
簧	xuaŋ2	
簪	tsan1	
簸	po1	~一~
簸	po5	簸~
籍	tɕi1	
米	mi3	
類	luei5-	~别
類	lei5=	~别
粉	fən3	
粒	li1	
粗	tsʰu1	
粘	tʂan1	~贴
粟	su5	
粤	yɛ5	
粥	tʂəu1	
糞	fən5	
糧	liaŋ2	
粱	liaŋ2	
粹	tsʰuei5	纯~
糉	tsuŋ5	
精	tɕin1	
糕	kau1	
糖	tʰaŋ2	
糗	tɕʰiəu5	面~到一起
糙	tsʰau1	粗~,~米
糜	mi2	
糠	kʰaŋ1	
糯	luo5	~米
系	tɕi5	~鞋带
素	su5	
索	suo3	绳~
緊	tɕin3	
紫	tsɿ3	
累	luei3	~积
累	lei5=	~得很
累	luei5-	又,~得很
絮	ɕy5	
糾	tɕiəu1	~缠
糾	tɕiəu1	~正
紅	xuŋ2	
紂	tʂəu5	
約	yɛ1	
級	tɕi1	
紀	tɕi5	~律
緯	uei3	
純	tsʰun2	
紗	sa1	
綱	kaŋ1	
納	la5	
紝	ʐən5	缝纴
縱	tsuŋ2	~横
縱	tsuŋ5	放~
紛	fən1	
紙	tʂʅ3	
紋	un2	
紡	faŋ3	
紐	niəu3	
線	ɕian5	
練	lian5	
細	ɕi5	
織	tʂʅ1	
終	tsuŋ1	
絆	pan5	
紹	ʂau5	
綁	paŋ3	
絨	ʐuŋ2	
結	tɕiɛ2	
繞	ʐau5	~线
繪	xuei5	
給	tɕi3	供~
絡	luo1	
絶	tɕyɛ2	
絞	tɕiau3	
統	tʰuŋ3	
絹	tɕyan5	
繡	ɕiəu5	
綏	suei2	
繼	tɕi5	
績	tɕi1	
緒	ɕy5	
續	ɕy5	
繩	ʂən2	
綿	mian2	
綢	tʂʰəu2	
綜	tsuŋ1	
綻	tsan5	破~
綠	liəu1-	变~了
綠	ly1=	变~了
綴	tsuei5	点~
緬	mian3	
緝	tɕi1	~毒
緞	tuan5	
緩	xuan3	
縷	liəu3-	一~头发
縷	ly3=	一~头发
編	pian1	
緣	yan2	
縛	fu2	
縫	fəŋ2	~衣服
縫	fəŋ5	又,一条~
纏	tʂʰan2	
縊	i5	
纓	in1	
縮	suo1	
繮	tɕiaŋ1	~绳
缸	kaŋ1	
缺	tɕʰyɛ1	
罐	kuan5	
网	uaŋ3	
罕	xan3	
羅	luo2	
罰	fa2	
罩	tsau5	
罪	tsuei5	
置	tʂʅ5	
署	su3	专~
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	mei3	
羔	kau1	
羞	ɕiəu1	
群	tɕʰyn2	
羹	kən1	
羽	y3	
翁	uŋ1	
翅	tʂʰʅ5	
翎	lin2	
翠	tsʰuei5	
翰	xan5	
翻	fan1	~身
翼	i5	
耀	iau5	
老	lau3	
考	kʰau3	
者	tʂɤ3	
而	ɚ2	
耍	sua3	
耐	lai5	
耕	kən1	
耗	xau5	
耙	pʰa2	犁~,~地
耳	ɚ3	
耶	iɛ1	
耻	tʂʰʅ3	
耿	kən3	
聶	niɛ1	姓
聊	liau2	
聾	luŋ1	
職	tʂʅ1	
聯	lian2	
聘	pʰin5	
聚	tɕy5	
聰	tsʰuŋ1	
肅	su1	
肄	i5	~业
肆	sɿ5	
肉	ʐəu5	
肋	lei1	
肌	tɕi1	
肘	tʂəu3	
肚	tu5	鱼~,猪~
肝	kan1	
腸	tʂʰaŋ2	
股	ku3	
肢	tʂʅ1	
膚	fu1	
肥	fei2	
肩	tɕian1	
肪	faŋ2	脂~
骯	ŋaŋ1-	~脏
骯	aŋ1=	~脏
肯	kʰən3	
育	y5	
肴	iau2	
腎	ʂən5	
腫	tsuŋ3	
脹	tʂaŋ5	
脅	ɕiɛ2	
胃	uei5	
膽	tan3	
背	pei5	
背	pei5	~诵
胎	tʰai1	
胖	pʰaŋ5	
胚	pʰei1	~胎
胛	tɕia2	肩~
勝	ʂən5	~任
勝	ʂən5	~败
胞	pau1	
胡	xu2	
胳	kɤ1	~臂
膠	tɕiau1	
胸	ɕioŋ1	
能	lən2	
脂	tsɿ3	
脆	tsʰuei5	
脊	tɕi1	
脏	tsaŋ5	又,内~
脏	tsaŋ1	弄~
腦	lau3	
膿	luŋ2	
脚	tɕyɛ1-	~步
脚	tɕiau3-	~步
脯	pʰu2	胸脯
脱	tʰuo1	
腡	luo2	手指文
臉	lian3	
脾	pʰi2	
臘	la5	
腋	iɛ1	
腌	ian1	~肉
腐	fu3	
腔	tɕʰiaŋ1	
腕	uan5	
腥	ɕin1	
腮	sai1	
腰	iau1	
腱	tɕian5	
膩	ni5	
騰	tən2	
腿	tʰuei3	
膏	kau1	
膏	kau5	
膜	mo2	
膝	tɕi1	
膨	pʰəŋ2	~胀
膳	ʂan5	
膻	ʂan1	
臀	tʰun2	
臂	pi5	
臊	sau1	~气
臕	piau1	肥~
臣	tʂʰən2	
自	tsɿ5	
臭	tʂʰəu5	香~
至	tsɿ5	
致	tʂʅ5	
臻	tʂən1	
臼	tɕiəu5	
舀	iau3	~水
舅	tɕiəu5	
舌	ʂɤ2	
舍	ʂɤ3	~不得
舒	su1	
舔	tʰian3	以舌取物
舜	sun5	
舞	u3	
舟	tʂəu1	
航	xaŋ2	
般	pan1	
艦	tɕian5	
船	tsʰuan2	
艇	tʰin3	
良	liaŋ2	
艱	tɕian1	
色	sei1-	颜~
色	tsʰɤ5=	颜~
豔	ian5	
藝	i5	
艾	ŋai5-	~叶
艾	ai5=	~叶
節	tɕiɛ2	
芋	y5	
芍	ʂau2	~药花
芒	maŋ2	
芙	fu2	~蓉
芝	tsɿ1	
芥	tɕiɛ5	
蘆	lu2	~苇
芬	fən1	
芭	pa1	
芮	ʐuei5	姓
花	xua1	
芳	faŋ1	
芹	tɕʰin2	
芽	ia2	
葦	uei3	芦~
莧	xan5-	~菜
莧	ɕian5=	~菜
蒼	tsʰaŋ1	
苏	su1	
苔	tʰai2	青~
苗	miau2	
若	ʐuo1	
苦	kʰu3	
英	in1	
苶	niɛ2	发~:痴呆,精神不振
范	fan5	
茄	tɕʰiɛ2	~子
茅	mau2	
繭	tɕian3	
茫	maŋ2	
茬	tsʰa2	
茴	xuei2	~香
茶	tsa2	
茸	ʐuŋ2	参~
荀	ɕun2	
草	tsʰau3	
薦	tɕian5	
荒	xuaŋ1	
荔	li5	~枝
蕎	tɕʰiau2	
薺	tɕi5	荠荠菜
蕩	taŋ5	放~
榮	ʐuŋ2	
葷	xyn1	
蔭	in1	屋子很~
藥	yɛ1-	喝~
荷	xɤ2	~花
荷	xɤ2	薄~
莎	suo1	
莠	iəu3	
莫	mo1	
蓮	lian2	
获	xuo5	
鶯	in1	
蓴	tsʰun2	~菜
莽	maŋ3	
菊	tɕy2	
菌	tɕyn1	
菜	tsʰai5	
菠	po1	~菜
菩	pʰu2	~萨
菱	lin2	
萄	tʰau2	
萌	məŋ2	
萍	pʰin2	
螢	in2	
營	in2	
薩	sa1	
落	luo1	
葚	ʂən5	桑~
葛	kɤ3	
董	tuŋ3	
葬	tsaŋ5	
葱	tsʰuŋ1	
葵	kʰuei2	
蔣	tɕiaŋ3	
蒙	məŋ1	~头转向
蒜	suan5	
蒲	pʰu2	~扇
蒸	tʂən1	
蓄	ɕy1	储~
蓉	ʐuŋ2	芙~
蓑	suo1	
蓖	pi1	~麻
藍	nan2	
蓬	pʰəŋ2	
蔓	uan5	瓜~
蔗	tʂɤ5	
蔡	tsʰai5	
蔫	ian1	花~了
蔬	su1	
藹	ŋai3-	和~
藹	ai3=	和~
蔽	pi5	
蕉	tɕiau1	芭~,香~
薄	po2	
薄	po5	~荷
薅	xau1	~草:除田里杂草
薛	ɕyɛ1	
薪	ɕin1	
薯	su3	
藉	tɕiɛ5	
藉	tɕi1	狼~
藏	tɕʰiaŋ2-	~起来
藏	tsʰaŋ2=	~起来
藏	tsaŋ5	又,西~
藐	miau3	
藕	əu3	
藤	tən2	
藿	xuo5	~香
蘸	tsan5	~酱油
虎	xu3	
虜	lu3	
虐	lyɛ1	
慮	ly5	
虔	tɕʰian2	
虚	ɕy1	
虞	y2	
蟲	tsʰuŋ2	
虱	sei1-	~子
虱	ʂʅ1=	~子
虹	xuŋ2	
虻	maŋ2	牛~
雖	suei1	
蝦	ɕia1	
蝕	ʂʅ2	
蟻	i3	
蚊	mo1-	~子
蚊	un2=	~子
蚌	paŋ5	
蠶	tsʰan2	
蚣	kuŋ1	蜈~
蚤	tsau3	
蛀	tsu5	
蛆	tɕʰy1	生~
蛇	ʂɤ2	
蛋	tan5	
蛙	ua1	
蛤	xa2	~蟆
蛤	kɤ2	~蜊
蠻	man2	
蟄	tʂɤ2	惊~
蛾	ŋɤ2-	~子
蛾	ɤ2=	~子
蜀	su3	
蜂	fəŋ1	
蜇	tʂɤ1	蝎子~人
蜓	tʰin2	蜻~
蜕	tʰuei5	蛇~皮,蝉~
蝸	uo1	
蜘	tʂʅ1	~蛛
蜜	mi1	
蠟	la5	
蜻	tɕʰin1	~蜓
蠅	in2	
蟬	tʂʰan2	
蠍	ɕiɛ1	
蝗	xuaŋ2	
蝶	tiɛ2	
螃	pʰaŋ2	~蟹
融	ʐuŋ2	
螳	tʰaŋ2	~螂
螺	luo2	~蛳
蟀	suai5	
蟆	ma2	蛤~
蟒	maŋ3	
蟹	xai2-	螃~
蟹	ɕiɛ2=	螃~
蟾	tsʰan2	~酥
蠚	xɤ1	蜂子~人
蠢	tsʰun3	
血	ɕiɛ1	
衅	ɕin5	挑~
行	xaŋ2	又,~列
行	ɕin2	品~
街	kai1-	~街
街	tɕiɛ1=	逛~
衙	ia2	
衡	xən2	
衣	i1	
補	pu3	
表	piau3	
衫	san1	
襯	tsʰən5	
衰	suai1	
袁	yan2	
襖	au3	
袋	tai5	
袍	pʰau2	
袖	ɕiəu5	
袜	ua1	
被	pei5	~子
襲	ɕi2	
裁	tsʰai2	
裂	liɛ1	
裝	tsuaŋ1	
裕	y5	
裙	tɕʰyn2	
褲	kʰu5	
裳	ʂaŋ1	衣~
裸	luo3	~体
裹	kuo3	
製	tʂʅ5	
褒	pau1	~奖
褚	tsʰu3	姓
褥	ʐu3	
褪	tʰuei5	
褶	tʂɤ3	~子
襻	pʰan5	纽~
西	ɕi1	
要	iau1	~求
要	iau5	想~
見	tɕian5	
規	kuei1	
覓	mi1	
視	sɿ5	
覽	nan3	
覺	tɕiau5	睡~
覺	tɕyɛ2	知~
角	tɕyɛ1-	~色
