#漢字	音標	解釋
#簡稱	/	江門墟頂
#全稱	/	江門市區話（墟頂）
#聲母	/	
#韻母	/	
#聲調	/	23 1 1a 陰平陰去 ꜀,45 3 2 陰上 ꜂,,21 2 1b 陽平陽上 ꜁,,32 6 3 陽去 ꜅,45 7a 4a 上陰入 ꜆,23 7b 4b 下陰入 ꜀,32 8a 4c 陽入 ꜇,21 8b 4d 變入 ꜁
#版本	/	2022-02-13
#錄入人	/	Kwíngiem Chan
#參考資料	/	
#說明	/	
啁	tsɐu1	
啃	hɐŋ2	
啄	tiɔk8	
商	siɔŋ1	
啊	ʔa1	
問	mɐn6	
啕	hou4	
啜	tsit8	
啞	ŋa2	聾啞
啞	ŋa1	嘔啞
啞	ŋɐk7	啞然而笑
啟	kʰɐi2	
啡	fɛ1	
啤	pɛ1	
啦	la1	
啪	pʰɐk7	
啲	nit7	
啼	hɐi4	
啾	tsɐu1	
喀	hɐk7	
喂	wɐi1	
喃	nam4	
善	sin6	
喇	la1	喇嘛
喇	la4	喇叭
喉	hɐu4	
喊	ham1	
喋	tip9	
喔	wɔ1	嘆詞
喘	tsʰin2	
喙	fui1	
喚	wun6	
喜	hei2	
喝	hɔt8	
喟	wɐi2	
喧	hin1	
喪	sɔŋ1	喪事
喪	sɔŋ1	喪失
喫	hiɐk8	
喬	kʰiu4	
單	tan1	單純
單	sin4	單于
單	sin6	姓單
喲	jɔ1	
喳	tsa1	
喵	miu1	
喻	ji6	
嗅	tsʰɐu1	
嗆	tsʰiɔŋ1	食急氣逆
嗆	tsʰiɔŋ1	嗆鼻
嗇	sɪk7	
嗎	ma1	是嗎
嗎	ma4	嗎啡
嗑	hɐp7	
嗓	sɔŋ2	
嗖	sɐu1	
嗚	wu1	
嗜	si1	
嗡	jʊŋ1	
嗣	tsi6	
嗤	tsʰi1	
嗦	sɔ1	
嗨	hɔi1	
嗯	ŋ2	
嗯	ŋ1	
嗶	pɐt7	
嗽	sɐu1	
嘀	tɪk9	
嘅	kɛ1	
嘆	han1	
嘈	tsʰou4	
嘉	ka1	
嘍	lɐu4	
嘎	kat8	
嘔	ŋɐu1	嘔啞
嘔	ŋɐu2	嘔吐
嘔	ŋɐu2	嘔氣
嘖	tsɐk7	
嘗	siɔŋ4	
嘛	ma4	喇嘛
嘟	tou1	
嘩	wa1	
嘩	wa4	
嘮	lou4	
嘯	siu1	
嘰	kei1	
嘲	tsau2	
嘴	tsui2	
嘶	sɐi1	
嘹	liu4	
嘻	hei1	
嘿	hɐk7	嘿嘿
嘿	mɐk9	通「默」
噎	jit8	
噓	hui1	噓寒問暖
噢	ŋou1	
器	hei1	
噩	ŋɔk9	
噪	tsʰou1	
噬	sɐi6	
噴	pʰɐn1	
噸	tɐn1	
噹	tɔŋ1	
嚀	nɪŋ4	
嚅	ji4	
嚇	hɐk7	
嚎	hou4	
嚏	hɐi1	
嚐	siɔŋ4	
嚕	lou1	
