#漢字	音標	解釋
#簡稱	/	東至
#全稱	/	東至話
#聲母	/	
#韻母	/	
#聲調	/	11 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,35 3 2 上 ꜂,,41 5 3 去 ꜄,,55 7 4 入 ꜆
#版本	/	2022-03-15
#錄入人	/	空島。
#參考資料	/	《東至縣誌》
#說明	/	
艳	iɛn1	
藝	i1	
節	tɕie7	
芋	y1	
芒	maŋ2	
芙	fu2	
芜	u2	
芝	tsɿ1	
芥	tɕie5	
蘆	lu2	
芬	dən1	
芭	pa1	
芯	ɕin1	
花	xua1	
芳	faŋ1	
芹	tɕʰin2	
芽	ia2	
葦	uei3	
蒼	tsʰaŋ1	
苏	su1	
苑	yan1	
苔	tʰai1	舌苔
苔	tʰai2	青苔
苗	miau2	
苛	kʰo1	
苞	pau1	
苟	kəu3	
苟	kiəu3	
苦	kʰu3	
英	in1	
蘋	pʰin2	
茁	tso7	
茂	mau1	
范	fan1	
茄	tɕʰie2	
茅	mau2	
茉	mo1	
茜	ɕi1	
繭	tɕiɛn3	
茫	maŋ2	
茬	tsʰa2	
茭	kau1	～白
茵	in1	
茵	xuei2	
茶	tsʰa2	
草	tsʰau3	
薦	tɕiɛn5	
荒	xuaŋ1	
蕎	tɕʰiau2	
蕎	tɕi5	
薈	xuei5	
荡	saŋ1	
荡	taŋ5	
榮	zoŋ2	
葷	xuən1	
荫	in1	
藥	io7	
荷	xo2	
莉	li1	
莓	mei2	
莞	kon3	
莫	mo1	
萊	lai2	
萵	uo1	
获	xo1	
瑩	in2	
鶯	in1	
莽	maŋ3	
菇	ku1	
菊	tsy7	
菜	tsʰai5	
菠	po1	
菩	pʰu2	
菱	lin2	
菲	fei1	
萃	tsʰei5	
萄	tʰau2	
萌	moŋ2	
萍	pʰin2	
萎	uei3	
蘿	lo2	
螢	in2	
營	in2	
縈	in2	
蕭	ɕiau1	
薩	sa7	
落	lo7	
著	tsy5	
葡	pʰu2	
董	toŋ3	
葫	kʰu2	
葬	tsaŋ5	
葱	tsʰoŋ1	
葵	kʰuei2	
蔣	tɕiaŋ3	
蒗	laŋ1	
蒙	moŋ1	
蒜	son5	
蒲	pʰu2	
蒸	tsən1	
蒿	xau1	
蓉	zoŋ2	
蓖	pi5	
藍	lan2	
蓬	pʰoŋ2	
蔑	mie7	
蔓	man1	
蔓	tʰai2	
蔗	tsæ7	
蔚	uei1	
蔡	tsʰai5	
蔬	sy1	
蔬	su1	
蔸	təu1	树～:树根
藹	ŋai3	
蔽	pi5	
蕉	tɕiau1	
蕊	yei3	
蕾	lei3	
薄	po1	
薅	xau1	
薛	ɕie7	
薪	ɕin1	
薯	sy3	
藉	tɕi7	
藏	tsaŋ1	西藏
藏	tsʰaŋ2	
藐	miau3	
藕	ŋəu3	
藕	ŋiəu3	
藤	tʰən2	
藩	fan1	
藻	tsau3	
蘑	mo2	
蘸	tsan5	
虎	xu3	
虐	ȵio7	
虑	ly1	
虔	tɕʰiɛn2	
虛	sy1	
蟲	tsʰoŋ2	
虹	xoŋ2	
雖	sei1	
蝦	xa1	
蟻	i3	
螞	ma3	
蚊	mən2	
蚌	poŋ5	
蚓	in3	
蠶	tsʰon2	
蚜	ia2	
蚯	tɕʰiəu1	
蛀	tsy1	
蛇	sæ2	
蠱	ku3	
蛋	tʰan1	
蛐	tsʰy7	
蛔	xuei2	
蛙	ua1	
蛛	tsy1	
蛤	koŋ1	
蛤	kʰa2	
蠻	man2	
蠻	mon2	
蟄	tsæ7	
蛹	ioŋ3	
蛾	ŋo2	
蜀	sy3	
蜂	foŋ1	
蜈	u2	
蜓	tʰin2	
蛻	tʰei5	
蝸	ua1	
蝸	uo1	
蜘	tsɿ1	
蜚	fei1	
蜜	mi7	
蠟	la7	
蜷	tɕʰyan2	
蜻	tɕʰin1	
蟬	tsʰan2	
蝗	tʰaŋ2	
蝗	xuaŋ2	
蝙	piɛn1	
蝠	fu7	
蝴	xu2	
蝶	tie7	
螂	laŋ2	
螃	pʰaŋ2	
融	zoŋ2	
螟	min2	
蟎	mon3	
螺	lo2	
蟀	ɕyai5	
蟆	ma5	
蟒	maŋ3	
蟾	tsʰan2	
蠓	moŋ3	
血	ɕie7	
血	ɕyæ7	
衅	ɕin5	
行	xaŋ2	
行	ɕin2	
街	kai1	
街	tɕiai1	
衙	ia2	
衡	xən2	
衣	i1	
補	pu3	
表	piau3	
衫	san1	
襯	tsʰən5	
衰	ɕyai1	
衷	tsoŋ1	
袁	yan2	
襖	ŋau3	
袅	ȵiau3	
袈	tɕia1	
袍	pʰau2	
袖	ɕiəu1	
袖	iəu1	
袜	ua7	
被	pʰei1	
襲	ɕi7	
裁	tsʰai2	
裂	lie7	
裝	tsuaŋ1	
裔	i5	
裕	y1	
裕	iəu7	
裘	tɕʰiəu2	
裟	sa1	
褲	kʰu5	
裱	piau3	
裳	saŋ1	
裸	lo3	
裹	ko3	
褂	kua5	
褐	xæ7	
褒	pau3	
褪	tʰei5	
褪	tʰən5	
襄	ɕiaŋ1	
西	ɕi1	
要	iau5	
覆	fu7	
見	tɕiɛn5	
觀	kon1	
觀	kon5	
規	kuei1	
覓	mi7	
視	sɿ5	
覽	lan3	
覺	kau5	白
覺	tɕio7	
角	ko7	
解	kai3	白
解	tɕiai3	
觸	tsʰy7	
言	iɛn2	
詹	tsan1	
譽	y1	
謄	tʰən2	
誓	sɿ5	
計	tɕi5	
訂	tin5	
認	zən1	
討	tʰau3	
讓	zaŋ1	
訖	tɕʰi5	
議	i1	
記	tɕi5	
講	kaŋ3	白
諱	xuei5	
謳	kʰuaŋ1	
訝	ŋa2	
許	sy3	
訛	ŋo2	
訛	uo2	相差:～不少;怪罪;蔽诈
論	lən1	议论
論	lən2	论语
論	luən2	论语
訟	soŋ5	
諷	foŋ3	
設	sæ1	
設	sæ7	
訪	faŋ3	
訣	tɕyæ7	
证	tsən5	
证	xoŋ5	
評	pʰin3	
詛	tsu3	
識	sɿ2	
詐	tsa5	
訴	su5	
訴	su7	
診	tsən3	
詞	tsʰɿ2	
詔	tsau1	
譯	i7	
試	sɿ5	
詩	sɿ1	
詼	xuei1	
誠	tsʰən2	
誅	tsy1	
話	xua1	
詭	kuei3	
該	kai1	
詳	ɕiaŋ2	
誡	tɕie5	
誣	u1	
語	y3	
誤	u1	
誘	iəu5	
說	ɕyæ7	
誦	soŋ5	
請	tɕʰin3	
諸	tsy1	
諾	no7	
讀	tu7	
課	kʰo5	
誰	ɕyei2	
調	tʰiau1	调动
調	tʰiau2	调节
調	tʰi5	
諒	liaŋ1	
談	tʰan2	
諜	tie7	
謊	xuaŋ3	
諧	ɕiai2	
謂	uei1	
諭	y1	
讒	tsʰan2	
諺	iɛn1	
諦	ti1	
謝	ɕie1	
謠	iau2	
謗	paŋ5	
謙	tɕʰiɛn1	
謬	miəu5	
譚	tʰan2	
譜	pʰu1	
譜	pʰu3	
譴	tɕʰiɛn3	
谷	ku7	
豁	xo1	
豆	tʰəu1	
豌	ŋon1	
豚	tʰən2	
象	ɕiaŋ1	
豪	xau2	
豹	pau5	
豺	tsʰai2	
貂	tiau1	
貌	mau1	
貝	pei5	
貞	tsən1	
負	fu5	
貢	koŋ5	
財	tsʰai2	
責	tsæ7	
賢	ɕiɛn2	
敗	pai1	
敗	pʰai1	白
賬	tsaŋ5	
貨	xo5	
質	tsɿ7	
販	fan1	
貧	pʰin2	
貶	piɛn3	
購	kəu5	
購	kiəu5	
貫	kon5	
賤	tɕiɛn5	
貼	tʰie7	
貴	kuei5	
貸	tʰai1	
貿	mau1	
費	fei5	
賊	tsʰei1	
賈	tɕia3	
賄	xuei1	
賂	lu7	
贓	tsaŋ1	
資	tsɿ1	
賒	sæ1	
賦	fu5	
賭	tu3	
贖	sy1	
賞	saŋ3	
賜	tsʰɿ5	
賠	pʰei2	
賴	lai1	
贅	tɕyei5	
賺	tɕyan5	
賽	sai5	
赝	iɛn1	
赞	tsan5	
贈	tsən5	
贍	san5	
贏	in2	
赤	tsʰɿ7	
赦	sæ7	
赫	xæ7	
走	tsəu3	
赴	fu5	
趙	tsʰau1	
趕	kan3	
趕	kon3	
起	tɕʰi3	
趁	tsʰən5	
超	tsʰau1	
越	yæ7	
趨	tsʰy1	
趔	kʰəu2	蜷曲,足不伸
趔	kʰiəu2	蜷曲,足不伸
趟	tʰaŋ5	
足	tsu7	
趴	pʰa1	
趾	tsɿ3	
躍	yæ7	
跋	tsʰo1	
跋	po3	
跌	tie7	
跑	pʰau2	
距	tsy5	
跟	kən1	
跤	kau1	白
跤	kau1	
跨	kʰa2	～门槛
跨	kʰua5	
跪	kuei5	
路	lu1	
跳	tʰiau5	
踐	tɕiɛn3	
蹺	tɕʰiau1	
跺	to5	
踊	ioŋ3	
踏	tʰa7	
踢	tʰi7	
踩	tsʰai3	
蹤	tsoŋ1	
踱	to7	
踵	tsoŋ3	
踹	tɕʰyai5	
蹂	zəu2	
蹄	tʰi2	
蹈	tau3	
蹊	tɕʰi1	
蹋	tʰa7	
蹓	liəu1	
蹦	poŋ5	
蹬	tən1	
蹬	tʰaŋ1	
蹬	tən5	
蹭	tsʰən5	
蹲	tən1	
躁	xuai2	
躁	tsau5	
身	sən1	
躬	koŋ1	
軀	tsʰy1	
躲	to3	
躺	tʰaŋ3	
車	tsy1	象棋
車	tsʰæ1	
軋	ŋa1	轧平
軋	tsa7	
軌	kuei3	
轉	tɕyan3	
轉	tɕyan5	
輪	luən2	
軟	yan3	
轟	xoŋ1	
輕	tɕʰin1	
軾	sɿ5	
載	tsai1	载人
載	tsai3	
轎	tɕiau1	
較	kau5	～秤
輔	fu3	
輛	liaŋ3	
輦	ȵiɛn3	
輩	pei5	
輝	xuei1	
輥	kuən3	
輟	tsʰo7	
輻	fu7	
輯	tɕi7	
輸	sy1	
轅	yan2	
轄	ɕia7	
輾	tsan3	
辛	ɕin1	
辜	ku1	
辭	tsʰɿ2	
辟	pʰi5	开辟
辟	pi7	
辣	la7	
辨	piɛn5	
辯	piɛn5	
辮	pʰiɛn1	
辰	tsʰən2	
邊	piɛn1	
遼	liau2	
达	ta7	
迁	tɕʰiɛn1	
迂	y1	
迄	tɕʰi5	
過	ko1	
過	ko5	
邁	mai1	
迎	in2	
近	tɕʰin1	
返	fan3	
還	xai2	
還	xuan2	
這	tsæ5	
遠	yan3	
連	liɛn2	
遲	tsʰɿ2	
迢	tʰiau2	
迥	tɕioŋ3	
迪	ti7	
迫	pʰo7	
述	sy7	
迷	mi2	
迹	tɕi7	
追	tɕyei1	
退	tʰei5	
送	soŋ5	
適	sɿ7	
逃	tʰau2	
逆	ȵi7	
選	ɕiɛn3	
逍	ɕiau1	
透	tʰəu5	
透	pən5	
遞	ti1	
遞	tʰi1	
途	tʰu2	
逗	təu5	
通	tʰoŋ1	
逛	kuaŋ5	
逝	sɿ5	
逞	tsʰən3	
速	su7	
造	tsʰau1	
逢	foŋ2	
逮	tai3	
逸	i5	
邏	lo2	
逼	pi7	
遂	sei2	
遇	y1	
遍	piɛn5	
道	tʰau1	
遺	i2	
遺	kʰuei2	
遛	liəu5	
遣	tɕʰiɛn3	
遥	iau2	
遭	tsau1	
遮	tsæ1	
遵	tsən1	
避	pi5	
邀	iau1	
邓	tən5	
邢	ɕin2	
那	na5	
邦	paŋ1	
邪	ɕie2	
郵	iəu2	
邱	tɕʰiəu1	
邵	sau5	
鄰	lin2	
郁	y1	
郊	tɕiau1	
郎	laŋ2	
鄭	tsʰən1	
郝	xau3	
部	pʰu1	
郭	ko7	
都	pʰo2	
鄙	pi3	
酌	tso7	
配	pʰei5	
酒	tɕiəu3	
酣	xan1	
酥	su1	
酪	lau1	
酬	tsʰəu2	
酷	kʰu5	
酸	son1	
釀	ȵiaŋ1	
醉	tsei5	
醋	tsʰu5	
醒	ɕin3	
采	tsʰai3	
釋	sɿ7	
里	li3	
重	tsʰoŋ1	
重	tsʰoŋ2	
野	ie3	
量	liaŋ1	数量
量	liaŋ2	测量
釜	fu3	
鉴	tɕiɛn5	
鑫	ɕin1	
针	tsən1	
釘	tin5	
釗	tsau1	
釣	tiau5	
釵	tsʰai1	
鈣	kai5	
鈍	tʰən1	
鈔	tsʰau1	
钟	tsoŋ1	
鈉	na7	
鋼	kaŋ1	
鑰	io7	
欽	tɕʰin1	
鎢	u1	
鉤	kəu1	
鉤	kiəu1	
錢	tɕʰiɛn2	
鉗	tɕʰiɛn2	
鑽	tson1	
鑽	tson5	钻石
鉀	tɕia7	
鐵	tʰie7	
鉑	po7	
鈴	lin2	
鉛	kʰan1	白
鉛	tɕʰiɛn1	
鉚	mau3	
鐸	to7	
銬	kʰau5	
鐺	taŋ1	
銅	tʰoŋ2	
鋁	ly3	
鍘	tsa7	
鋌	tʰin3	
銘	min2	
铲	tsʰan3	
銀	in2	
鑄	tsy5	
鋪	pʰu1	铺设
鋪	pʰu5	店铺
链	liɛn2	
鏗	kʰən1	
鋤	tsʰu2	
鍋	ko1	
鏽	ɕiəu5	
銼	tsʰo1	
鋒	foŋ1	
鋅	ɕin1	
銳	yei5	
錯	tsʰo5	
錨	mau2	
鑼	lo2	
錘	tɕʰyei2	
錐	tɕyei1	
錠	tin5	
鍵	tɕiɛn5	
鋸	tsy5	
鏘	tɕʰiaŋ1	
鍬	tɕʰiau1	
鍛	ton5	
鍍	tʰu1	
鎮	tsən5	
鑷	ȵie7	
鎊	pən1	
鎊	paŋ5	
鏢	piau1	
鏡	tʰaŋ3	
鐐	liau1	
鐲	tso7	
鑣	piau1	
鑲	ɕiaŋ1	
長	tsʰaŋ2	
長	tsaŋ3	
門	mən2	
閂	ɕyan1	
閃	san3	
閉	pi5	
閉	pei5	白
問	mən1	
闖	tsʰuaŋ3	
闲	ɕiɛn2	
間	kan1	
悶	mən1	
閘	tsa7	
鬧	nau1	
閨	kuei1	
聞	uən2	
閩	min3	
閥	fa7	
閣	ko7	
閱	yæ7	
閹	tɕiəu1	
閻	iɛn2	
闡	tsʰan3	
隊	tei5	
阮	yan3	
防	faŋ2	
陽	iaŋ2	
陰	in1	
陣	tsʰən1	
階	tɕiai1	
阻	tsu3	
阿	a1	
阿	ŋo1	～胶
附	fu5	
際	tɕi5	
陸	lu7	
陳	tsʰən2	
陋	ləu1	
降	tɕiaŋ5	
限	ɕiɛn1	
陝	san3	
陡	təu3	
院	yan1	
除	tsʰy2	
險	ɕiɛn3	
陪	pʰei2	
陵	lin2	
陶	tʰau2	
陷	ɕiɛn1	
隆	loŋ2	
隋	sei2	
隨	sei2	
隱	in3	
隔	kæ7	
隘	ŋai1	
隙	ɕi5	
障	tsaŋ5	
隶	li7	
難	nan1	难兄难弟
難	nan2	难易
雀	tɕʰio7	
雁	iɛn1	
雄	ɕioŋ2	
雅	ia3	
集	tɕi7	
雇	ku5	
雌	tsʰɿ2	
雍	ioŋ1	
雛	tsʰy2	
雕	tiau1	
雨	y3	
雪	ɕie7	
雪	ɕyæ7	
零	lin2	
雹	pʰau1	
霧	u1	
需	sy1	
霆	tʰin3	
震	tsən5	
霉	mei2	
霍	xo5	
霏	fei1	
霓	ȵi2	
霜	suaŋ1	
霞	ɕia2	
露	lu1	
霸	pa5	
霹	pʰi1	
青	tɕʰin1	
靜	tɕʰin1	
非	fei1	
靠	kʰau5	
靡	mi2	
面	miɛn1	
革	kæ7	
靴	ɕyæ1	
靶	pa3	
鞋	xai2	白
鞋	ɕiai2	
鞍	ŋan1	
鞍	iaŋ1	
鞘	tɕʰiau5	
鞠	tsy1	
鞭	piɛn1	
韌	zən1	
韓	xan2	
韭	tɕiəu3	
音	in1	
韶	sau2	
頁	ie7	
頂	tin3	
頃	tɕʰin3	
項	xaŋ1	
须	sy1	
頑	uon2	
顧	ku5	
頓	tən5	
頒	pan1	
頌	soŋ5	
預	y1	
顱	lu2	
領	lin3	
頗	pʰo1	
頰	tɕia7	
頤	i2	
頻	pʰin2	
穎	in2	
顆	kʰo1	
題	tʰi2	
顏	iɛn2	
額	ŋie7	
顛	tiɛn1	
顫	tsʰan5	
風	foŋ1	
颼	səu1	
飄	pʰiau1	
飆	piau1	
飛	fei1	
餐	tsʰan1	
饥	tɕi1	
飯	fan1	
飲	in3	
飾	sɿ7	
飼	tsʰɿ2	
飼	tsʰɿ5	
餌	æ3	
饒	tsau2	
餅	pin3	
餓	ŋo1	
餛	xuən2	
餡	ɕiɛn1	
館	kon3	
餷	tsʰa1	
饞	tsʰan2	
饅	mon2	
首	səu3	
香	ɕiaŋ1	
馨	ɕin1	
驊	tsʰau3	
馬	ma3	
馱	tʰo2	
馳	tsʰɿ2	
驅	tsʰy1	
駁	po7	
驢	ly2	
駛	sɿ3	
駐	tsy5	
駝	tʰo2	
駕	tɕia5	
罵	ma1	
驕	tɕiau1	
驕	pʰiɛn2	
駱	lo7	
駭	xai1	
騁	tsʰən3	
驗	iɛn1	
騎	tɕʰi2	
騙	pʰiɛn5	
騷	sau1	
騷	i5	
騾	lo2	
驥	tɕi5	
骨	ku3	
骷	kʰu1	
髓	sei3	
高	kau1	
髦	mau2	
鬃	tsoŋ1	
鬢	pin5	
鬼	kuei3	
魁	kʰuei2	
魂	xuən2	
魄	pʰo5	
魏	uei1	
魔	mo2	
魚	y2	
魛	tau1	
魷	iəu2	
魯	lu3	
鮓	tsa3	
鮑	pau5	
鮮	ɕiɛn1	
鰱	liɛn2	
鯉	li3	
鯰	ȵiɛn2	
鰓	sai1	
鰍	tɕʰiəu1	
鰲	ŋau2	
鱉	sa1	
鱉	pie7	
鰻	mon1	
鱔	san5	
鱗	lin2	
鳥	ȵiau3	
鳩	kəu1	
鳩	tɕiəu1	
鳩	kiəu1	
雞	tɕi1	
鳴	min2	
鴉	ia1	
鴨	ŋa7	
鴛	yan1	
鴕	tʰo2	
鴿	ko7	
鴻	xoŋ2	
鵑	tɕyan1	
鵑	kʰan2	
鵝	ŋo2	
鵡	u3	
鵲	kua1	
鵬	pʰoŋ2	
鶴	ŋan1	
鶴	xo7	
鸚	in1	
鷹	in1	
鹿	lu7	
麒	tɕʰi2	
麝	sæ7	
麟	lin2	
麻	ma2	
黃	xuaŋ2	
黎	li2	
黏	ȵiɛn1	
黑	xæ7	
黔	xan1	
默	mo7	
默	mæ7	
黛	tai1	
黝	iəu1	
鼎	tin3	
鼓	ku3	
鼠	sy3	
鼻	pʰi1	
齁	xəu1	
齁	xiəu1	
齊	tɕʰi2	
齒	tsʰɿ3	
齡	lin2	
齜	tsɿ1	
齷	uo7	
龍	loŋ2	
龕	kʰan1	
龜	kuei1	
