#漢字	音標	解釋
#簡稱	/	東至
#全稱	/	東至話
#聲母	/	
#韻母	/	
#聲調	/	11 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,35 3 2 上 ꜂,,41 5 3 去 ꜄,,55 7 4 入 ꜆
#版本	/	2022-03-15
#錄入人	/	空島。
#參考資料	/	《東至縣誌》
#說明	/	
喳	tsa1	
噴	pʰən1	
喻	y1	
嗒	ta7	
嗓	saŋ3	
嗜	sɿ5	
嗟	tɕie1	叹词
嗡	uoŋ1	
嗤	tsʰɿ1	
嗨	xai1	
嗲	tia3	
嘁	tɕʰi1	
嘉	tɕia1	
嘛	ma3	
嘣	poŋ1	
囑	o1	
囑	tsy3	
嘲	tsʰau2	
嘴	tsei3	
嘶	sɿ1	
嘶	ɕi1	大声喊叫
嘻	ɕi1	
嘿	xæ1	
噪	tsau5	
嚎	xau2	
嚏	tʰi5	
嚓	tsʰa7	
囂	ɕiau1	
嚷	zaŋ1	
嚼	tɕʰio1	
囊	naŋ2	
囚	tɕʰiəu2	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰon2	
囤	tʰuən2	
囥	kʰaŋ5	
園	yan2	
困	kʰuən5	
囱	tsʰoŋ1	
圍	uei2	
固	ku5	
國	kuæ7	
圖	tʰu2	
圃	pʰu3	
圓	yan2	
圈	tɕʰyan1	
圈	tɕʰyan5	猪圈
土	tʰu3	
聖	sən5	
在	tsʰai1	
圭	kuei1	
地	tʰi1	
場	taŋ1	
場	tsʰaŋ3	
址	tsɿ3	
坊	faŋ1	
坍	tʰan1	
坎	kʰan3	
壞	xuai1	
坐	tsʰo1	
坑	kʰən1	
塊	kʰuai5	
堅	tɕiɛn1	
坛	tʰan2	
壩	pa5	
墳	kai1	
墳	dən2	
墜	tɕyei5	
坡	pʰo1	
坤	kʰuən1	
坦	tʰan3	
坪	pʰin2	
坯	pʰi1	
坳	ŋau5	
垂	tsʰən2	
垂	tɕʰyei2	
垃	la1	
壟	loŋ3	
型	ɕin2	
垒	lei3	
垠	in2	
垢	kəu1	
垢	kiəu1	
垢	kəu5	
垢	kiəu5	
墾	kʰən3	
墊	tʰiɛn1	
垮	kʰua3	
埂	kən3	
埃	ŋai1	
埋	mai2	
城	tsʰən2	
埔	pʰu3	
域	y1	
域	iəu7	
埠	pu5	
培	pʰei2	
基	tɕi1	
堂	tʰaŋ2	
堆	tei1	
墮	to5	
堡	pau3	
堤	ti1	
堪	kʰan1	
堰	iɛn1	
堵	tu3	
塌	tʰa7	
塑	su5	
塔	tʰa7	
塘	tʰaŋ2	
塞	sai1	
塞	sai5	塞外
塞	sæ7	瓶塞
填	tʰiɛn2	
塾	sy7	
墅	sy1	
墓	mu1	
牆	tɕʰiaŋ2	
增	tsən1	
墨	mo7	
墨	mæ7	
墩	tən1	
壁	pi7	
壕	xau2	
壤	zaŋ3	
壩	pa5	
士	sɿ1	
壯	tsuaŋ5	
聲	sən1	
殼	kʰo7	
壺	xu2	
處	tsʰy3	处理
備	pei5	
复	fu7	
夏	ɕia1	
夕	ɕi7	
外	uai1	
多	to1	
夜	ie1	
够	kəu5	
够	kiəu5	
大	ta1	
大	tai1	大夫
天	tʰiɛn1	
太	tʰai5	
夫	fu1	
夭	iau1	
央	iaŋ1	
夯	xaŋ1	
頭	tʰəu2	
夸	kʰua1	
夾	ka7	
夾	tɕia7	夹袄
奪	tʰo1	
奇	tɕʰi2	
奈	nai1	
奉	foŋ1	
奮	dən5	
奎	kʰuei2	
奏	tsəu5	
奔	pən1	
奕	i5	
獎	tɕiaŋ3	
套	tʰau5	
奘	tsaŋ5	
奠	tʰiɛn1	
奢	sæ1	
奧	ŋau5	
女	ȵy3	
奴	nu2	
奶	nai1	奶奶
奶	nai3	
奸	tɕiɛn1	
她	tʰa1	
好	xau3	
好	xau5	
如	y2	
妃	fei1	
妄	uaŋ1	
妝	tsuaŋ1	
媽	ma1	
妊	zən1	
妒	lu2	
妒	tu5	
妓	tɕi5	
妖	iau1	
妙	miau1	
妞	ȵiəu1	
妥	tʰo3	
妨	faŋ2	
嫵	u3	
妹	mei1	
妻	tɕʰi1	
妾	tɕʰie7	
姆	m̩3	
姊	tsɿ3	
始	sɿ3	
姐	tɕie3	
姑	ku1	
姓	ɕin5	
委	uei3	
姚	iau2	
姜	tɕiaŋ1	
姥	lau3	
姨	i2	
姻	in1	
威	uei1	
威	uai3	
娃	ua2	
婭	ia1	
嬌	tɕiau1	
娘	ȵiaŋ2	
娜	na7	
娜	la7	
娟	tɕyan1	
娟	tsʰaŋ1	
娥	ŋo2	
娩	miɛn3	
娩	uon3	
娛	y2	
娴	ɕiɛn2	
婆	pʰo2	
婉	uan3	
婊	piau3	
婚	xuən1	
嬰	in1	
嬸	sən3	
婷	tʰin2	
媒	mei2	
媚	mei2	
媚	mei5	
媳	ɕi7	
嫁	ka5	
嫂	səu1	
嫂	sau3	
嫌	ɕiɛn2	
嫦	tsʰaŋ2	
嫩	nən1	
嬉	ɕi1	
嬲	ȵiau1	
孀	suaŋ1	
子	tsɿ3	
孔	kʰoŋ3	
字	tsʰɿ1	
存	tsʰən2	
孫	sən1	
孚	fu2	
孜	tsɿ1	
