#漢字	音標	解釋
卉	jui2	
半	ɓun3	
卑	ɓi1	
卒	ɗat7	
卓	tʃɔk8	
協	jip7	
南	nɔm4	
博	ɓɔk8	
卜	ɓok7	
卞	pin6	
卟	ɓok7	
占	tʃim1	
卡	kʰɔ1	
卣	jau5	
卦	kʷɔ3	
卩	ɗit7	
卮	tʃi1	
卯	mɔu5	
卯	mau5	又讀
印	an3	又讀
印	jan3	
危	ŋai4	
即	ɗek7	
卵	lyn5	
卷	kyn2	
卸	ɬɛ3	
卺	tʃan2	
卻	kʰa2	
卿	heŋ1	
厄	a2	
厘	li1	
厙	ʃɛ3	
厚	au5	薄～
厚	au6	地名用音，如「六～」。來源自壯語「lueg haeux」，意爲「稻米山谷」。
厝	tʰu3	
原	ȵyn4	
厥	kyt7	
厭	jim3	
厲	lai6	
厴	jim2	
厶	mau5	同「某」
厶	ɬi1	同「私」
去	hy3	
參	tʰɔm1	～加，～差
參	ʃam1	人～
叄	ɬɔm1	
又	jau6	
叉	tʃʰɔ1	
及	tʃap9	
友	jau5	
反	fɔn2	
叔	ʃok7	
取	tʰy2	
受	ʃau6	
叛	pʰun3	
叟	ɬau2	
叢	ɬoŋ1	見1959年資料
叢	toŋ4	見《玉林市志》
口	hau2	
古	ku2	
古	ku1	朱～力：巧克力
句	ky3	
另	leŋ6	
叨	ɗəu1	
叩	kʰau3	
只	tʃi2	
叫	kiu3	
召	tʃiu6	
叭	ɓɔ1	
叮	ɗeŋ1	
可	ho2	
台	ji4	古越語第一人稱
台	tʰɔi1	地名：天～、～州
叱	tʃʰek7	
史	ʃi2	
右	jau6	
叵	pʰo2	
司	ɬi1	
叻	lek7	
叼	ɗiu1	
吁	hy1	
吂	ma5	没有
吃	kʰɛt8	擬笑聲。關於「食用」之「吃」見「喫」。
各	kɔk8	
吆	ɛu1	白讀
吆	jiu1	文讀
合	ɔp10	
吉	kat7	
吊	ɗiu3	
同	toŋ4	
名	meŋ4	
后	au6	
吏	li6	
吐	tʰu3	
向	ja3	
吒	tʃɔ3	
