#漢字	音標	解釋
旮	kɛ6	
旯	lɛ3	
旰	kɔn3	
旱	ɔn5	
旺	wɔŋ6	
昀	jan4	
昂	ŋɔŋ4	
昃	tʃak7	
昆	kʷʰan1	
昇	ʃeŋ1	
昉	fɔŋ2	李紹～：清朝北流清灣鎮才子
昊	əu6	
昌	tʃʰa1	
明	meŋ4	
昏	wun1	
昏	wan1	又讀
易	ek9	交～ ；姓
易	ji6	容～
昔	ɬek7	
昕	jan1	
昝	ɗɔm2	
星	ɬeŋ1	
映	eŋ2	
春	tʃʰan1	
昧	mui6	
昨	tɔk10	
昭	tʃiu1	
是	ʃi5	
昱	jok7	
昴	mau5	
昵	nek9	
昶	tʃʰɔŋ2	
晁	tʃiu4	
時	ʃi4	
晃	kʷɔŋ2	
晉	ɗan3	
晌	ja2	
晏	ɔn3	
曬	ʃɔi3	
晗	ɔm4	
晚	mɔn5	
晝	tʃau3	
晟	ʃeŋ6	
晡	ɓu1	
晤	ŋ̍6	
晦	wui3	
晨	ʃan4	
普	pʰu2	
景	keŋ2	
晰	ɬek7	
晴	teŋ4	
晶	ɗeŋ1	
晷	kʷai2	
智	tʃi3	
晾	lɔŋ6	
暄	jyn1	
暇	ɔ4	
暈	wan4	白讀
暈	wan1	文讀
暉	kʷʰai1	
暌	wui1	
暑	ʃy2	
暖	nyn5	
暗	ɔm3	
暝	meŋ4	
暢	tʃʰa2	
暨	ki3	
暪	mun4	
暫	tɔm6	
暫	tim6	
暮	mu6	
暮	mak7	口語。夜～：夜晚
暱	nek9	
暴	pəu6	
暹	ɬim1	
暾	tʰan1	
曄	jɛp10	
曆	lek9	
曇	tɔm4	
曉	ȵiu2	
曖	ɔi3	
曙	ʃy2	
曛	wan1	
曜	jiu6	
曝	pəu6	
曠	kʷʰɔŋ3	
曦	hi1	
曩	nɔŋ5	
曬	ʃɔi3	
曰	jœt10	
曲	kʰok7	
曲	ŋok7	白讀。拐彎；使曲折。
曳	jai6	
更	ka1	～替，五～
更	ka3	～加
曷	ɔt10	
書	ʃy1	
曹	təu4	
曼	mɔn6	
曾	ɗaŋ1	姓
曾	taŋ4	
替	tʰai3	
最	ɗui3	
會	wai6	
月	ȵœt10	
有	jau5	
朊	ȵyn5	
朋	paŋ4	
服	fok9	
朐	ky4	
朔	ʃɔk8	
朕	tʃam6	
朗	lɔŋ6	
望	mɔŋ6	
朝	tʃiu4	
朝	tʃiu1	
期	ki4	
朦	moŋ4	
朧	loŋ4	
木	mok9	
未	mi6	
末	mɔt10	
本	ɓun2	
札	tʃɔt8	
朮	tʃat9	
朱	tʃy1	
朵	ɗœ2	
朽	jau2	
杆	kɔn2	
杈	tʃʰɔ1	
杉	tʃʰɔm1	
杌	ŋat9	
李	li5	
杏	a6	
材	tɔi4	
村	tʰyn1	
杓	tʃɔ1	
杖	tʃa5	
杜	tu6	
杜	tu5	又讀
杞	ki2	
束	tʃʰok7	
杧	maŋ1	
杪	miu5	
杭	ɔŋ4	
杯	ɓui1	
杰	kɛt10	
東	ɗoŋ1	
杲	kəu2	
杳	miu5	
杵	tʃʰy2	
杷	pɔ4	
杼	tʃy5	
松	toŋ4	
板	ɓɔn2	
枇	pi4	
枉	wɔŋ2	
枋	fɔŋ1	
析	ɬek7	
枒	ȵɔ4	
枕	tʃam2	
林	lam4	
枘	ȵui6	
枚	mui1	
果	kʷo2	
枝	tʃi1	
枯	wu1	白讀
枯	ku1	文讀
枯	kʰu1	文讀
枰	peŋ4	
枳	tʃi2	
枴	kʷɔi2	
枵	hiu1	
架	kɔ3	
枷	kɔ1	
枸	kau2	
枼	jɛp10	衣物單薄；單薄衣物的量詞
柁	to4	
柃	leŋ4	
柄	ɓeŋ3	
柏	ɓa2	
某	mau5	
柑	kɔm1	
柒	tʰat7	
染	ȵim5	
柔	jau4	
柘	tʃɛ3	
柙	ɔp10	
柚	jau6	
柝	tʰɔk8	
柢	ɗai2	
查	tʃɔ4	
查	tʃɔ1	姓
柩	tʃau6	
柬	kɔn2	
柯	kʰo1	
柰	nɔi6	
柱	tʃy5	
柳	lau5	
柴	ʃɔi4	
柵	ʃɔn1	欄～：欄杆；～極
柵	tʃʰa2	～欄
柿	ʃi5	
柿	ʃi6	
梔	tʃi1	
栓	ʃɔn1	
栗	lat9	
栗	lak9	又
栝	tʰim2	撥火棍
栝	kʷɔt8	
校	kɔu3	～正
校	kɔu2	學～
栩	hy2	
株	tʃy1	一說爲tau1（量詞，條狀）之本字
栲	hɔu2	
栳	ləu5	
核	wat9	果核
核	a6	～子：睾丸
根	kan1	
格	ka2	
栽	ɗɔi1	
桀	kɛt10	
桁	a4	
桂	kʷai3	
桃	təu4	
桄	kʷɔŋ1	～榔
桄	kʷɔŋ3	
桅	ŋai4	
框	kʷʰɔŋ1	
框	kʷʰaŋ1	口語讀音
案	ɔn3	
桉	ɔn1	
桌	tʃɔk8	
桎	tʃat7	
桐	toŋ4	
桑	ɬɔŋ1	
桓	wun4	
桔	kat7	
桕	tʃau5	
桫	ɬo1	
桴	fu1	
桶	tʰoŋ2	
桷	kak7	
桿	kɔn2	
梁	la4	
梃	teŋ5	
梅	mui4	
梆	ɓaŋ1	～子：粵劇曲牌名
梏	kok7	
梓	ɗi2	
梔	tʃi1	
梗	kaŋ2	心肌～塞
梗	kʷa2	枝～
梘	kɔn2	
條	tiu4	
梟	hiu1	
梢	ʃɔu1	
梧	ŋ̍4	
梨	li1	
梭	ɬœ1	
梯	tʰai1	
械	kɔi3	
械	ɔi5	白讀
械	ɔi6	
梳	ʃo1	
梵	fɔn6	
棄	hi3	
棉	min4	
棋	ki4	
棍	kʷan2	
棒	ɓoŋ2	棍～
棕	ɗoŋ3	
棖	tʃa4	
棗	ɗəu2	
棘	tʃʰek7	
棚	pa4	
棟	toŋ6	
棠	tɔŋ4	
棣	tai6	～棠
棣	tɔi6	～～：文雅安閒貌
棣	tʰai3	通達
棧	tʃɔn6	
棬	kʰyn1	
森	ʃam1	
棰	tʃui4	
棱	leŋ4	
棲	tʰai1	
棵	wo2	
棹	tʃɔu6	
棺	kun1	
棼	fan4	
椁	kʷɔk8	
椅	ji2	
椊	tʰœt10	
椋	la4	
植	tʃek9	
椎	tʃui1	
椏	ɔ1	
椐	ky1	
椒	ɗiu1	
椰	jɛ1	
椴	tyn6	
椹	ʃam6	同「葚」；木上生的菌
椹	tʃam1	同「砧」
椽	tʃyn4	
楂	tʃɔ1	
楊	ja4	
楓	foŋ1	
楔	ɬit7	
楗	kin6	
楗	kyn6	馬疲
楚	tʃʰo2	白讀：淸～
楚	tʃʰu2	文讀：～國
楝	lin6	
楞	laŋ4	
楠	nɔm4	
楣	mi4	
楥	jyn3	
楦	jyn3	
楨	tʃeŋ1	
楫	ɗip7	
業	ȵɛp10	
楮	tʃʰy2	
楱	tʰau3	
極	kek9	
楷	kɔi1	
楸	tʰau1	
楹	ŋeŋ4	
榀	pʰan2	
概	kʰɔi3	
榆	jy6	
榍	ɬit7	
榔	lɔŋ4	
榕	joŋ4	
榘	ky2	
榛	ɗan1	
榜	ɓɔŋ2	
榧	fi2	
榨	tʃɔ3	
榪	mɔ6	
榫	ɬan2	
榭	tɛ6	
榮	weŋ4	
榱	tʃʰui1	
榴	lau4	
榷	kʰak7	
榻	tʰɔp8	
榿	hi1	
槁	kəu2	
槊	ʃɔk8	
構	kau3	
槌	tʃui4	
槍	tʰa1	
槎	ʃɔ4	
槐	wɔi4	
槐	wɔi1	六～：地名，在容縣六王鎮。
槓	kɔŋ3	
槔	kəu1	
槧	tʰim3	
槭	ɗok7	
槭	ʃa2	木葉落
槲	kok7	
槳	ɗa2	
槽	təu4	
槿	kan2	
樁	tʃɔŋ1	
樂	lɔk10	快～
樂	ȵa6	音～
樂	ȵɔu6	喜愛：仁者～山，智者～水
樅	ɗoŋ1	「～陽」在安徽
樅	tʰoŋ1	樹名
樊	fɔn4	
樓	lau4	
樗	ʃy1	
樘	tɔŋ4	門框或窗框
樘	tʃʰa1	支柱，又用于人名
標	ɓiu1	
樞	ʃy1	
樟	tʃa1	
模	mu1	
樣	ja6	
樨	ɬai1	
樳	tam4	
樵	ɗiu1	
樸	pʰɔk8	
樹	ʃy6	
樺	wɔ6	
樽	ɗyn1	
樾	jœt10	
橄	kɔm2	
橈	nɔu4	
橋	kiu4	
橐	tʰɔk8	
橘	kʷat7	
橙	tʃeŋ4	
橛	kyt7	
機	ki1	
橡	ta6	
橢	tʰœ2	
橫	wa4	
檀	tɔn4	
檁	lam5	
檉	tʃʰeŋ1	
檎	tʃam4	
檐	jim4	
檑	lui4	
檔	ɗɔŋ2	檔案
檔	ɗɔŋ3	大排檔
檗	ɓa2	
檜	kʷʰai3	
檠	keŋ4	
檢	kim2	
檣	ta4	
檁	lam6	
檫	tʃʰɔt8	
檬	moŋ1	
檬	moŋ4	見《玉林市志》
檯	tɔi4	
檳	ɓan1	
檸	neŋ4	
檻	kʰɔm2	
檾	kʷʰeŋ2	
櫃	kʷai6	
櫓	lu5	
櫚	ly4	
櫛	tʃit7	
櫝	tok9	
櫞	jyn4	
櫟	lek9	
櫟	ja6	～陽：地名
櫥	tʃy4	
櫧	tʃy1	
櫪	lek9	
櫫	tʃy1	
櫬	tʃʰan3	
櫱	nɛt10	
櫱	nɛp10	又讀
櫳	loŋ4	
櫸	ky2	
櫻	eŋ1	
櫼	ɗɛm1	來自《第六屆國際粵方言硏討會論文集》中的論文《廣西玉林話音系》（周成松 著）。該文止給出的該字的韻母,聲母及聲調由錄入者推定。推定此字爲玉林話中[tem1]字，義爲「戳、刺」。
欄	lɔn4	
欄	lɔn1	畜養牛、羊等牲畜的處所
權	kyn4	
欏	lo4	
欒	lyn4	
欖	lɔm2	
欛	ɓɔ3	
欞	leŋ4	
欠	jim3	
次	tʰi3	
欣	jan1	
欲	jok9	
欷	hi1	
欸	ɛ13	
欸	ei4	
欹	ki5	陡
欺	hi1	
欽	ham1	
款	wun2	
歃	ʃɔp8	
歆	ham1	
歇	jit7	
歉	kʰim2	
歌	ko1	
歎	tʰɔn3	
歐	au1	
歙	hap7	
歙	ʃip7	～縣
歟	jy4	
歡	wun1	
止	tʃi2	
正	tʃeŋ1	～月
正	tʃeŋ3	
此	tʰi2	
步	pu6	
武	fu5	
武	mu5	異讀
歧	ki4	
歪	wɔi1	
歲	ɬui3	
歷	lek9	
歸	kʷai1	
歹	ɗɔi2	
死	ɬi2	
歿	mɔt10	
殁	mɔt10	
殂	tu4	
殃	ja1	
殆	ɗai1	
殉	tan6	
殊	ʃy4	
殍	pʰiu2	
殖	tʃek9	
殘	tɔn4	
殛	kek7	
殞	wan5	
殤	ʃa1	
殪	ji3	
殫	ɗɔn1	
殮	lim5	
殯	ɓan3	
殳	ʃy4	
段	tyn6	
殷	an1	
殺	ʃɔt8	
殼	hak7	
殿	tin6	
毀	wai2	
毁	wai2	
毃	kʷʰak7	物體撞到頭部
毅	ŋai6	
毆	au3	
毋	fu4	
母	mu5	
每	mui5	
毒	tok9	
毓	jok7	
比	ɓi2	
毛	məu4	
毪	mu4	
毫	əu4	
毬	tʃau4	
毯	tʰɔn2	
毳	tʰui3	
毹	ʃy1	
毽	kin6	
毿	ɬɔm1	
氅	tʃʰɔŋ2	
氆	pʰu2	
氈	tʃin1	
氌	lu5	
氍	ky4	
氏	ʃi6	
氐	ɗai2	
民	man4	
氕	pʰit7	
氖	nɔi5	
氘	ɗəu1	
氙	ɬin1	
氚	tʃʰyn1	
氛	fan1	
氡	ɗoŋ1	
氣	hi3	
氤	an1	
氦	hɔi3	
氧	ja5	
氨	ɔn1	
氪	hak7	
氫	heŋ1	
氬	ɔt8	
氮	tɔm5	
氯	lok9	
氰	teŋ4	
氳	wan1	
水	ʃui2	
氵	ʃui2	
永	weŋ5	
氹	tam5	
氽	tʰan2	
氾	fɔm4	地名；河流名；姓
氾	fɔm3	大水淹
汀	tʰeŋ1	
汁	tʃap7	
求	tʃau4	
求	kau4	異讀
汆	tʰyn1	
汊	tʃʰɔ1	
汐	tek9	
汔	at9	
汗	ŋɔn6	
汙	wu1	
污	wu1	
汜	ti5	
汝	ʃy5	
汞	koŋ3	
江	kaŋ1	
池	tʃi4	
污	wu1	
汨	mek9	
汩	kut9	
汪	wɔŋ1	
汰	tʰɔi3	
汲	kap7	白讀
汲	tʃap7	
汴	pin6	
汶	man6	
決	kʰyt7	
汽	hi3	
沁	ɬam2	
沁	tʰam3	
沃	jok7	
沅	ȵyn4	
沆	ɔŋ5	
沈	ʃam2	
沉	tʃam4	
沌	tan5	
沏	tʰit7	
沐	mok9	
沒	mɔt10	
沓	tɔp10	
沔	min5	
沖	tʃʰoŋ1	
沙	ʃɔ1	
沛	pʰui3	
沫	mɔt10	
沭	ʃat9	
沮	ɗy1	河流
沮	ɗy2	～喪
沱	to4	
沲	to4	
河	o4	
沸	fi3	
油	jau4	
治	tʃi6	
沼	tʃiu2	
沽	ku1	
沾	tʃim1	
沿	jyn4	
況	kʷʰɔŋ3	
泄	ɬit7	
泉	tyn4	
泊	pɔk10	
泌	ɓi3	
泐	lak9	
泓	oŋ4	
泔	kɔm1	
法	fɔt8	
泖	mau5	
泗	ɬi3	
泛	fɔm3	
泠	leŋ4	
泡	pʰɔu1	名詞：燈～、水～
泡	pʰɔu3	動詞：～茶
泡	pəu5	泡沫
波	ɓo1	
泣	lap7	
泥	nai4	
注	tʃy3	
泫	jyn4	
泮	pʰun3	
泯	man5	
泰	tʰɔi3	
泱	ja1	
泳	weŋ6	
泳	weŋ5	又讀
泵	ɗam1	
洄	wui4	
洇	jan1	
洋	ja4	
洌	lɛt10	
洎	ki6	
洎	ki3	肉汁
洗	ɬai2	
洙	tʃy1	
洚	kaŋ3	
洛	lɔk8	
洞	toŋ6	山～
津	ɗan1	
洧	wai5	
洩	jai6	
洪	oŋ4	
洫	kʷʰek7	
洮	təu4	
洮	jiu4	
洲	tʃau1	
洳	ʃy6	
洵	tan4	
洶	hoŋ1	
洹	wun4	
活	wɔt10	
洽	hɔp8	
派	pʰɔi2	
派	pʰɔi3	又讀
流	lau4	
浖	lœt10	人工修築的、用於洗涤衣物、汲水、灌溉用的水渠
浙	tʃit7	
浜	ɓaŋ1	
浞	ʃɔk10	
浠	hi1	
浣	wun5	
浥	jap7	
浦	pʰu2	
浩	əu6	
浪	lɔŋ6	
浮	fu4	白讀
浮	fau4	文讀
浯	ŋ̍4	
浴	jok9	
海	hɔi2	
浸	ɗam3	
浹	lɔp8	
浼	mui5	
涂	tu4	
涅	nɛp10	又讀
涅	nɛt10	
涇	keŋ1	
消	ɬiu1	
涉	ʃɛp10	
涌	ȵoŋ2	同「湧」
涌	tʃʰoŋ1	地名用字，又作「冲」，本字或爲「潨」
涎	jin5	
涑	ɬok7	
涓	kyn1	
涔	ʃam4	
涕	tʰai3	
涪	fau4	
涫	kʷan2	
涮	ʃɔn3	刷洗：～淨｜出力～；清洁用具：牙～｜～掃；
涯	ŋɔi4	
液	ek9	
涵	ɔm4	
涸	ɔk10	
涼	la4	
涿	ɗok7	
淅	ɬek7	
淆	ȵɔu4	
淇	ki4	
淋	lam4	
淌	tʰɔŋ2	
淑	ʃok7	
淒	tʰai1	
淘	təu4	
淙	toŋ4	
淚	lui6	
淝	fi4	
淞	ɬoŋ1	
淠	pʰai3	舟行貌；茂盛貌
淠	pʰi3	河流名
淡	tɔm5	
淥	lok9	
淦	kɔm3	
淨	teŋ6	
淪	lan4	
淫	jam4	
淬	tʰui3	
淮	wɔi4	
深	ʃam1	
淳	ʃan4	
淵	jyn1	
淶	lɔi4	
混	kʷan2	
淹	jim2	
淺	tʰin2	
添	tʰim1	
添	tʰam1	白讀
淼	miu5	
清	tʰeŋ1	
渙	wun6	
渚	tʃy2	
減	kɔm2	
渝	jy6	
渠	ky4	
渡	tu6	
渣	tʃɔ1	
渤	pɔt10	
渥	ak7	
渦	wo1	
渫	ɬit7	
測	tʃʰak7	
渭	wai6	
港	kaŋ2	
渲	ɬyn3	
渴	hɔt8	
游	jau4	
渺	miu5	
渾	wan4	～沌，～～噩噩
渾	wan5	
湃	pʰɔi3	
湄	mi4	
湊	tʰau3	
湍	tʰyn1	
湎	min5	
湓	pun4	
湔	ɗin1	
湖	wu4	
湘	ɬa1	
湛	tʃɔm5	
湞	tʃeŋ1	
湟	wɔŋ4	
湣	man5	
湣	wun1	滑～：昏亂貌
湧	ȵoŋ2	
湫	ɗau1	
湮	jin1	
湯	tʰɔŋ1	
湲	jyn4	
湽	ɗi1	
漵	ty5	
溈	kʷai1	
溉	kʰɔi3	
溏	tɔŋ4	
源	ȵyn4	
準	tʃan2	
溘	hɔp8	
溜	lau3	順口～
溝	kau1	
溟	meŋ4	
溢	jat9	
溥	pʰu2	
溧	lɛt10	
溪	kʰai1	
溫	wan1	
溯	ɬu3	
溱	ɗan1	
溲	ʃau1	
溴	tʃʰau3	
溶	joŋ4	
溷	wan6	
溺	nek9	
溻	tʰɔp8	
溼	ʃap7	
溽	ȵok9	
滂	pɔŋ4	
滄	tʰɔŋ1	
滅	mɛt10	
滇	ɗin1	
滋	ɗi1	
滌	tek9	
滎	weŋ4	
滏	fu5	
滑	wɔt10	
滔	tʰəu1	
滕	taŋ4	
滬	wu5	
滯	tʃai6	
滯	tai6	《广西通志・汉语方言志》中標記有的另一讀音
滲	tʃʰɔm3	文讀
滲	ȵɔm3	白讀
滴	ɗek7	
滷	lu5	
滸	wu4	水～傳
滸	hy2	地名
滹	wu1	
滾	kʷan2	
滿	mun5	
漁	ȵy4	
漂	pʰiu1	～泊
漂	pʰiu3	～亮，～白
漆	tʰat7	
漉	lok9	
漏	lau6	
漏	lau4	勾～山，勾～洞
漓	li4	
演	jin5	
漕	təu4	
漚	au3	
漠	mɔk10	
漢	hɔn3	
漣	lin4	
漦	ʃɔn4	黏液。～水：口水
漩	ʃyn4	
漪	ji1	
漫	mɔn6	
漬	ti6	
漭	mɔŋ5	
漯	tʰɔp8	古河名，在山東
漯	lui5	古河名，發源于山西省神池縣東
漯	lœ6	市名，在河南省
漱	ʃu3	
漲	tʃa3	
漳	tʃa1	
漵	ty5	
漶	wun6	
漸	tim6	
漾	ja6	
漿	ɗa1	
潁	weŋ5	
潊	ty5	
潑	pʰut7	
潔	kit7	
潘	pʰun1	
潙	kʷai1	
潛	tim4	
潢	wɔŋ4	
潤	ȵan6	
潦	lɛu2	潦草
潭	tɔm4	
潮	tʃiu4	
潯	tam4	
潰	kʷai6	
潲	ʃɔu3	
潷	ɓat7	
潸	ʃɔn1	
潺	tʃɔn4	
潼	toŋ4	
潿	wai4	
澀	tʃɔp8	又讀
澀	tʃɔp10	又讀
澀	ȵɔp8	白讀。粗糙
澄	tʃeŋ4	
澆	ȵiu4	
澇	ləu1	
澈	tʃʰit7	
澉	kɔm2	
澌	ɬi1	
澍	ʃy6	時雨
澍	tʃy3	通「注」
澎	pa4	
澗	kɔn3	
澠	min5	澠池
澠	ʃeŋ4	
澡	ɗəu2	
澤	tʃa6	
澧	lai5	
澩	ɔ6	
澮	kʷai3	
澱	tin6	
澳	əu3	
澶	ʃin4	
澹	tɔm4	
激	kek7	
濁	tʃɔk10	
濂	lim4	
濃	noŋ4	
濉	ɬui1	
濕	ʃap7	
濘	neŋ6	
濛	moŋ1	～～雨：細雨
濞	pʰi3	
濟	ɗai3	
濠	əu4	
濡	ʃy4	
濤	təu4	
濫	lɔm6	
濮	ɓok7	
濯	tʃɔk10	
濱	ɓan1	
濺	tɛn6	白讀
濺	tin6	文讀
濼	lɔk10	
濼	pʰɔk8	
濾	ly6	
濾	ly1	
瀅	eŋ4	
瀆	tok9	
瀉	ɬɛ3	
瀋	ʃam2	
瀏	lau4	
瀑	pəu6	
瀕	ɓan1	
瀘	lu4	
瀚	ŋɔn6	
瀛	eŋ4	
瀝	lek9	
瀟	ɬiu1	
瀠	weŋ4	
瀢	jui6	油膩，油亮
瀣	ɔi6	
瀦	tʃy1	
瀧	ʃɔŋ1	
瀨	tʰɔt8	
瀨	lɔi6	
瀰	mi4	
瀲	lim6	
瀵	fan3	
瀹	ja2	
瀾	lɔn4	
灃	foŋ1	
灄	ʃip7	
灌	kun3	
灌	kʰun3	1959年調查的記音
灑	ʃɔ3	
灘	tʰɔn1	
灝	əu6	
灞	ɓɔ3	
灣	wɔn1	
灩	jim6	
火	wo2	
灬	wo2	
灰	wui1	
灶	ɗəu3	
灸	tʃau2	
灸	tʃau3	又讀
灼	tʃa2	
災	ɗɔi1	
炅	kʷeŋ2	
炅	kʷai3	姓
炊	tʃʰui1	
炎	jim6	炎症，發炎
炎	jim4	炎熱
炒	tʃʰɔu2	
炔	kʰyt7	
炕	kʰɔŋ3	
炙	tʃœk7	
炫	jyn6	
炬	ky5	
炭	tʰɔn3	
炮	pʰɔu3	
炯	kʷeŋ2	
炱	tɔi4	
炳	ɓeŋ2	
炷	tʃy3	
炸	tʃɔ3	爆～
炸	tʃɔu3	油～。本字「焯」
爲	wai4	行～
爲	wai6	因～
炻	ʃek9	
烀	wu1	
烈	lɛt10	
烊	ja4	
烏	wu1	
烘	hoŋ1	～亁，～托
烘	oŋ6	火盛貌
烙	lɔk8	
烤	hɔu1	
烯	hi1	
烴	tʰeŋ1	
烷	jyn4	
烹	pʰa1	
烽	foŋ1	
焉	jin1	
焐	ŋ̍6	
焓	ɔm4	
焙	pui6	
焚	fan4	
無	fu4	文讀
焦	ɗiu1	
焯	tʃɔu3	
焰	jim6	
焱	jim6	
然	ʃin4	
煆	hɔ1	
煉	lin6	
煊	jyn1	
煌	wɔŋ4	
煎	ɗin1	
煎	ɗin3	白讀
煒	wai5	
煙	jin1	
煙	ȵin1	
煜	jok7	
煞	ʃɔt8	
煢	keŋ4	
煤	mui4	
煥	wun6	
煦	hy2	
照	tʃiu3	
煨	wui1	
煩	fɔn4	
煬	ja4	鎔化金屬
煬	ja6	烘烤；就火取暖；炎熱
煮	tʃy2	
煲	ɓəu1	
煸	pʰin1	
煽	ʃin3	
熄	ɬek7	
熆	ɔp10	生火
熊	joŋ4	
熔	joŋ4	
熗	tʰa3	
熙	hi1	
熟	ʃok9	
熠	jɔp10	
熨	tʰɔŋ3	「燙」的訓讀
熬	ŋəu4	
熬	ŋəu6	白讀
熱	ȵɛt10	
熳	mɔn6	
熵	ʃa1	
熹	hi1	
熾	tʃek7	見《玉林话研究》
燁	jɛp10	
燃	ʃin4	文讀
燃	ȵin4	白讀
燄	jim6	
燈	ɗaŋ1	
燉	tan6	
燎	lɛu1	白讀：火～
燎	liu4	文讀
燒	ʃiu1	
燔	fɔn4	
燕	jin3	鳥名
燕	jin1	地名
燙	tʰɔŋ3	
燜	man1	
營	weŋ4	
燠	əu2	
燥	tʰəu3	
燦	tʰɔn2	
燧	tʃui6	
燬	wai2	
燭	tʃok7	
燮	ɬip7	
燹	ɬin2	
燻	wan1	
燼	tan6	
燾	təu6	
爆	ɓɔu3	～裂
爆	pəu6	～炸
爍	lek7	
爐	lu4	
爛	lɔn6	
爝	tʰa2	
爨	tʰyn3	
爪	tʃɔu2	文讀：～牙
爪	ȵɔu2	白讀，雞～
爬	pɔ4	
爭	tʃa1	
爰	jyn4	
爲	wai4	行～
爲	wai6	因～
爵	tʰa2	
父	fu6	
爸	ɓɔ1	
爹	ɗɛ1	
爺	jɛ1	
爻	ȵɔu4	
爽	ʃɔŋ2	
爾	ni5	
爿	pɔn4	
牀	ʃɔŋ4	
牆	ta4	
片	pʰɛn3	白讀。量詞；切成片
片	pʰin3	
版	ɓɔn2	
牌	pɔi4	
牒	tɛp10	
牖	jau5	
牘	tok9	
牙	ȵɔ4	
牚	tʃʰa3	死雞～硬頸
牚	tʰa3	硬～
牛	ȵau4	
牜	ȵau4	
牝	pan5	
牟	mu6	
牠	tʰɔ1	
牡	məu5	
牢	ləu4	
牦	məu4	
牧	mok9	
物	mat9	
牮	ɗɛn3	
牯	ku2	
牲	ʃa1	
牴	ɗai2	
牸	ti6	
特	tak9	
牽	jin1	
牾	ŋ̍5	
牿	kok7	
犀	ɬai1	
犁	lai4	
犄	ki1	
犋	ky6	
犍	kin6	
犏	pʰin1	
犒	həu3	
犛	li4	
犟	ka6	～頸
犢	tok9	
犧	hi1	
犬	jyn2	
犭	jyn2	
犯	fɔm6	
犰	tʃau4	
犴	ŋɔn6	
狀	tʃɔŋ6	形～、奬～、～元
狀	ʃɔŋ6	陳述事實的文字：告～、～紙、～告
狁	jan5	
狂	kʷɔŋ4	
狃	nau5	
狄	tek9	
狍	pɔu4	
狎	ɔp10	
狐	wu4	
狒	fi6	
狗	kau2	
狠	an6	
狡	kɔu2	
狨	joŋ4	
狩	ʃau2	
狳	jy4	
狴	pi6	
狷	kyn3	
狸	li4	
狹	kɛp10	白讀
狹	ɔp10	文讀
狺	ŋan4	
狻	ɬyn1	
狼	lɔŋ4	
狽	ɓui3	
猁	li6	
猄	keŋ1	黄～：赤麂
猊	ȵi4	
猓	kʷo2	
猖	tʃʰa1	
猗	ji1	美好盛大的樣子；語尾助詞
猗	ji2	加，超越；倚靠；束而採之
猙	tʃa1	
猛	maŋ5	異讀
猛	ma5	
猜	tʃʰɔi1	
猝	ɗat7	
猞	ʃɛ1	
猢	wu4	
猥	wui2	
猩	ɬeŋ1	
猬	wai6	
猱	lau1	
猴	au4	
猶	jau4	
猷	jau4	大～窩
猸	mi4	
猹	tʃɔ4	
猻	ɬyn1	
猾	wɔt10	
猿	jyn4	
獁	mɔ1	
獁	mɔ5	
獄	ȵok9	
獅	ʃi1	
獍	keŋ3	
獎	ɗa2	
獐	tʃa1	
獒	ŋəu4	
獗	kyt7	
獠	liu4	
獠	ləu5	古時中原對西南諸少數民族的蔑稱
獨	tok9	
獪	kʷai3	
獫	jim2	
獬	ɔi5	
獯	wan1	
獰	neŋ4	
獲	wa6	
獵	lɛp10	
獷	kʷɔŋ2	
獸	ʃau3	
獺	tʃʰɔt8	
獻	jin3	
獼	mi4	
獾	wun1	
玀	lo4	
玄	jyn4	
率	lat9	效～，百分～
率	ʃat7	～领
玉	ȵok9	
王	wɔŋ4	
玎	ɗeŋ1	
玖	kau2	異讀
玖	tʃau2	
玟	man4	
玢	ɓan1	
玨	kak7	
玩	wun6	
玫	mui4	
玲	leŋ4	
玳	tɔi6	
玷	ɗim3	
玻	ɓo1	
珀	pʰa2	
珂	kʰo1	
珈	kɔ1	
珊	ʃɔn1	
珍	tʃan1	
珙	koŋ2	
珞	lɔk10	
珠	tʃy1	
珥	ȵi5	
珧	jiu4	
珩	a4	
班	ɓɔn1	
珮	ɓui3	
現	jin6	
球	tʃau4	
球	kau4	異讀
琅	lɔŋ4	
理	li5	
琇	ɬau3	
琉	lau4	
琊	jɛ4	
琚	ky1	
琛	tʃʰam1	
琢	ɗɔk8	
琥	wu2	
琦	ki4	
琨	kʷʰan1	
琪	ki4	
琬	jyn2	
琮	toŋ4	
琰	jim5	
琳	lam4	
琴	tʃam4	
琴	kam4	異讀
琵	pi4	
琶	pɔ4	
琿	kʷʰai1	
瑁	məu6	
瑉	man4	
瑋	wai5	
瑕	ɔ4	
瑗	jyn6	
瑙	nəu5	
瑚	wu4	
瑛	eŋ1	
瑜	jy4	
瑞	ʃui6	
瑟	ʃat7	
瑣	ɬœ2	
瑤	jiu4	
瑩	weŋ4	
瑪	mɔ5	
瑭	tɔŋ4	
瑯	lɔŋ4	
瑰	kʷai3	
瑾	kan6	
璀	tʰui1	見《玉林话研究》
璁	tʰoŋ1	
璃	li1	
璇	ʃyn4	
璉	lin5	
璋	tʃa1	
璐	lu6	
璜	wɔŋ4	
璞	pʰɔk8	
璣	ki1	
璦	ɔi3	
璧	ɓek7	
璨	tʰɔn3	
璩	ky4	
環	wɔn4	
璺	man6	
璽	ɬai2	
瓊	keŋ4	
瓏	loŋ4	
