#漢字	音標	解釋#('cmn_jh_hx_ch_ljn', '廬江南話', '廬江南', '#8B0000', None, None, '來源：《安徽廬江南部方言研究》，“空島。”整理', '55 1 1a 陰平 ꜀,53 2 1b 陽平 ꜁,213 3 2 上 ꜂,,44 5 3 去 ꜄,,5 7 4a 陰入 ꜆,3 8 4b 陽入 ꜇', None, None)
#簡稱	/	廬江南#與文件名一致
#全稱	/	廬江南話#xx話
#版本	/	#版本號或更新時間
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	55 1 1a 陰平 ꜀,53 2 1b 陽平 ꜁,213 3 2 上 ꜂,,44 5 3 去 ꜄,,5 7 4a 陰入 ꜆,3 8 4b 陽入 ꜇#每個聲調包括：五度調值 八聲 四聲 漢字調類 四角調類，調內用空格分隔，調間用逗號分開。如：55 1 1a 陰平 ꜀,35 2 1b 陽平 ꜁,214 3 2 上 ꜂,51 5 3 去 ꜄
#說明	/	來源：《安徽廬江南部方言研究》，“空島。”整理#HTML格式，僅允許一行，用<br>換行
吝	nin5	
吞	tʰən1	
吟	in2	
吠	fei5	
否	fei3	
吨	tən1	
吩	fən1	
含	xɛ̃2	
听	tʰin5	
吭	kʰən1	
启	tɕʰi3	
吴	u2	
吵	tsʰɔ3	
吸	ɕiəʔ7	
吹	ʈʂʰuei1	
吻	uən3	
吼	xəu3	
呆	tɛ1	
呆	ŋɛ2	
呈	tsʰən2	
告	kɔ5	
嘔	ŋəu3	
嘔	ŋəu5	
員	ʯɛ̃2	
嗆	tɕʰiã5	
周	tsəu1	
呱	kua1	
味	uei5	
呵	xo1	
呻	sən1	
呼	xu1	
命	min5	
咀	tɕi3	白
咀	tsei3	文
和	xo2	
咎	tɕiəu5	
咏	ʯən3	
咒	tsəu5	
咔	kʰa3	
嚨	nən2	
咨	tsɿ1	
咬	ŋɔ3	
咯	kʰa3	
咳	kʰɪʔ7	
咸	xɛ̃2	白
咸	ɕiẽ2	文
咽	iẽ1	
哀	ŋɛ1	
品	pʰin3	
哄	xuən3	
哄	xuən5	
哇	ua1	
哈	xa1	
響	ɕiã3	
哎	so3	
啞	ŋa3	
哥	ko1	
哨	sɔ5	
哪	na3	
哭	kʰuəʔ7	
哲	tsɪʔ7	
哺	pu3	
哼	xən1	
唆	so1	
脣	ʈʂʰʯən2	
唐	tʰã2	
嘮	nɔ1	
喚	xõ5	
售	səu5	
唱	tsʰã5	
啃	kʰən3	
啄	ʈʂo1	
商	sã1	
啊	a1	
啤	pʰi2	
嗇	sɪʔ7	
囉	no1	
啼	tʰi2	
喂	uei5	
善	sẽ5	
喇	na3	
喉	xəu2	
喊	xɛ̃3	
喘	ʈʂʰʯɛ̃3	
喜	ɕi3	
喝	xoʔ7	
喧	ʂʯɛ̃1	
喳	tsa1	
噴	pʰən1	
喻	ʯ5	
嗅	ɕiəu5	
嗓	sã3	
嗜	sɿ5	
嗣	sɿ5	
嗤	tsʰɿ1	
嗦	səu5	
嗽	səu5	
嘉	tɕia1	
噓	ʂʯ1	
囑	ʈʂʯəʔ7	
嘲	tsʰɔ2	
嘴	tɕi3	白
嘴	tsei3	文
噎	iɪʔ7	
器	tɕʰi5	
噪	tsɔ5	
嚎	xɔ2	
嚏	tʰi5	
囂	ɕiɔ1	
嚷	ʐã3	
囊	nã2	
囊	nã3	
囚	tɕʰiəu2	
四	sɿ5	
回	xuei2	
因	in1	
因	kʰã5	
团	tʰõ2	
囤	tʰən2	
園	ʯɛ̃2	
困	kʰuən5	
囱	tsʰən1	
圍	uei2	
固	ku5	
國	koʔ7	
圖	tʰəu2	
圓	ʯɛ̃2	
圈	ʈʂʰʯɛ̃1	圆～
圈	ʈʂʯɛ̃5	猪～
聖	sən5	
在	tsɛ5	
圭	kuei1	
地	ti5	
場	tsʰã3	
均	ʈʂʯən1	
坊	fã1	
坎	kʰiẽ3	
壞	xuɛ5	
坐	tso5	
坑	kʰən1	
塊	kʰuɛ5	
堅	tɕiẽ1	
坛	tʰõ2	
壩	pa5	
塢	u5	
墳	fən2	
墳	uən2	
墜	ʈʂuei5	
坡	po1	
坤	kʰuən1	
坦	tʰɛ̃3	
坪	pʰin2	
坯	pʰi1	
坳	ŋɔ5	
坷	kʰo3	
垂	ʈʂʰuei2	
壟	nən3	
型	ɕin2	
垒	nei3	
垛	to5	
垢	kəu5	
墾	kʰən3	
墊	tiẽ5	
垮	kʰua3	
埂	kiẽ3	
埃	ŋɛ1	
埋	mɛ2	
城	tsʰən2	
域	ʯəʔ7	
埠	pu5	
培	pʰei2	
基	tɕi1	
堂	tʰã2	
堆	ti1	白
堆	tei1	文
堡	pɔ3	
堤	tʰi2	
堪	kʰɛ̃1	
堰	iẽ5	
堵	təu3	
塌	tʰɛʔ7	
塑	səu5	
塔	tʰɛʔ7	
塘	tʰã2	
塞	sɛ5	边～
塞	sɪʔ7	活～
填	tʰiẽ2	
墓	mo5	
牆	tɕʰiã2	
增	tsən1	
墟	ʂʯ1	
墨	mɪʔ7	
墩	tən1	
壁	piəʔ7	
壕	xɔ2	
壤	ʐã3	
士	sɿ5	
壬	ʐən2	
壯	ʈʂuã5	
聲	sən1	
殼	kʰoʔ7	
壺	xu2	
處	ʈʂʰʯ3	相～
處	ʈʂʰʯ5	～长
備	pei5	
复	fəʔ7	
夏	ɕia5	
夕	ɕiəʔ7	
外	uɛ5	
多	to1	
夜	iɪ5	
够	kəu5	
大	ta5	
大	tɛ5	～夫
天	tʰiẽ1	
太	tʰɛ5	
夫	fu1	
央	iã1	
夯	xã1	
失	səʔ7	
頭	tʰəu2	
夷	i2	
夸	kʰua1	
夾	kɛʔ7	白
夾	tɕiɛʔ7	文
奪	toʔ7	
奄	iẽ1	
奇	tɕʰi2	
奈	nɛ5	
奉	fən5	
奮	fən5	
奎	kʰuei2	
奏	tsəu5	
契	tɕʰi5	
奔	pən1	
獎	tɕiã3	
套	tʰɔ5	
奚	ɕi5	
奠	tiẽ5	
奢	sɪ1	
奧	ŋɔ5	
女	ʯ3	
奴	nəu2	
奶	nɛ1	祖母
奶	nɛ3	
奸	tɕiẽ1	
她	tʰa1	
好	xɔ3	
好	xɔ5	
如	ʯ2	
妃	fei1	
妄	uã5	
妝	ʈʂuã1	
婦	fu5	
妊	ʐən5	
妓	tɕi5	
妖	iɔ1	
妙	miɔ5	
妥	tʰo3	
妨	fã2	
妹	mei5	
妻	tɕʰi1	
妾	tɕʰiɪʔ7	
姊	tsɿ3	
始	sɿ3	
姐	tɕiɪ2	
姑	ku1	
姑	piɔ3	
姓	ɕin5	
委	uei3	
姚	iɔ2	
姜	tɕiã1	
姥	nɔ3	
姨	i2	
姻	in1	
姿	tsɿ1	
威	uei1	
娃	ua2	
婭	ŋa1	
嬌	tɕiɔ1	
娘	niã2	
娠	sən1	
娩	miẽ3	
娛	u2	
娛	ʯ5	
娶	ʈʂʰʯ3	
娼	tsʰã1	
婆	pʰo2	
婉	uo5	
婚	xuən1	
嬰	in1	
嬸	sən3	
婷	tʰin2	
婿	ɕi5	
媒	mei2	
媚	mei5	
媳	ɕiəʔ7	
嫁	tɕia5	
嫂	səu1	
嫂	sɔ3	
嫌	tɕiẽ1	
嫌	ɕiẽ2	
嫖	pʰiɔ2	
嫡	tiəʔ7	
嫦	tsʰã2	
嫩	nən5	
嬉	ɕi1	
孀	ʂuã1	
子	tsɿ3	
孔	kʰuən3	
孕	ʯən5	
字	tsɿ5	
存	tsʰən2	
孫	sən1	
孝	ɕiɔ5	
孟	mən5	
季	tɕi5	
孤	ku1	
學	ɕioʔ7	
學	ɕioʔ8	～手艺
孩	xɛ2	
孬	nɔ1	
孽	niɪʔ7	
寧	nin2	
它	tʰa1	
宅	tsɪʔ7	
宇	ʯ3	
守	səu3	
安	ŋɛ̃1	
宋	sən5	
完	uõ2	
宏	xuən2	
宕	tã5	
宗	tsən1	
官	kõ1	
宙	tsəu5	
定	tin5	
宛	uõ3	姓
宜	i2	
寶	pɔ3	
實	səʔ7	
寵	ʈʂʰʯən3	
審	sən3	
客	kʰɪʔ7	
宣	ʂʯɛ̃1	
室	səʔ7	
宦	xuɛ̃5	
宪	ɕiẽ5	
宮	kuən1	
宰	tsɛ3	
害	xɛ5	
宴	iẽ5	
宵	ɕiɔ1	
家	ka1	白
家	tɕia1	文
容	ʯən2	
寬	kʰõ1	
賓	pin1	
宿	səʔ7	
寄	tɕi5	
寅	in2	
密	miəʔ7	
寇	kʰəu5	
富	fu5	
寒	xɛ̃2	
寢	tɕʰin3	
寞	kʰo1	
寞	moʔ7	
察	pin3	
察	tsʰɛʔ7	
寡	kua3	
寥	niɔ2	
寨	tsɛ5	
寸	tsʰən5	
對	ti5	白
對	tei5	文
寺	sɿ5	
尋	tɕʰin2	～死
尋	ʂʯən2	文
壽	səu5	
封	fən1	
封	tsəu5	
射	sɪ5	
將	tɕiã1	～来
將	tɕiã5	大～
尊	tsən1	
小	ɕiɔ3	
少	sɔ3	
少	sɔ5	～年
尔	ɔ3	
尖	tɕiẽ1	
尘	tsʰən2	
尚	sã5	
嘗	tsʰã2	
尤	iəu2	
尬	ka5	
就	tɕiəu5	
尷	kɛ̃1	
屍	sɿ1	
尹	in3	
尺	tsʰəʔ7	
尼	ni2	
尽	tɕin3	～管
尽	tɕin5	～力
尾	uei3	
尿	niɔ5	
局	ʈʂʯəʔ7	
屁	pʰi5	
層	tsʰən2	
屄	pi1	
居	ʈʂʯ1	
屈	ʈʂʰʯəʔ7	
屉	tʰi5	
屆	tɕiɛ5	
屋	uəʔ7	
屌	tiɔ3	
屎	sɿ3	
屏	pʰin2	
屑	sɪʔ7	
展	tsɛ̃3	
屬	uo1	
屬	ʂʯəʔ7	
屠	tʰəu2	
屢	nəu3	
履	ʯ3	
屯	tən1	地名：黄～
山	sɛ̃1	
歲	ɕi5	白
歲	sei5	文
豈	tɕʰi3	
岐	tɕʰi2	
岑	tsʰən2	
岔	tsʰa5	
崗	kã3	
島	tɔ3	
岭	nin3	
岳	ioʔ7	
岸	ŋɛ̃5	
峽	ɕiɛʔ7	
峯	fən1	
崇	tsʰən2	
崔	tsʰei1	
崖	ia2	
崩	pən1	
崴	uɛ3	
嵌	kʰɛ̃5	
嵩	sən1	
川	ʈʂʰʯɛ̃1	
州	tsəu1	
巡	ʂʯən2	
巢	tsʰɔ2	
工	kuən1	
左	tso3	
巧	tɕʰiɔ3	
巨	ʈʂʯ5	
鞏	kuən3	
巫	u1	
差	tsʰɿ1	参～
差	tsʰa1	～别
差	tsʰɛ1	出～
己	tɕi3	
己	i3	
巴	pa1	
巷	xã5	
巾	tɕin1	
幣	pi5	文
幣	pei5	白
市	sɿ5	
布	pu5	
帥	ʂuɛ5	
帆	fɛ̃1	
師	sɿ1	
希	ɕi1	
帳	tsã5	
帖	tʰiɪʔ7	
帚	tsəu3	
帝	ti5	
帶	tɕi5	
帶	tɛ5	
席	ɕiəʔ7	
幫	pã1	
常	tsʰã2	
帽	mɔ5	
幅	fəʔ7	
幌	xuã3	
幕	mo5	
干	kɛ̃1	文；不相～
干	kiẽ1	白
干	kɛ̃5	文；～部
平	pʰin2	
年	niẽ2	
并	pin5	
幸	ɕin5	
幺	iɔ1	
幻	xuɛ̃5	
幼	iəu5	
幽	iəu1	
廣	kuã3	
莊	ʈʂuã1	
慶	tɕʰin5	
庇	pʰi5	
牀	ʈʂʰuã2	
序	ʂʯ5	
廬	ʯ2	
庫	kʰu5	
應	in1	～当
應	in5	
底	ti3	
店	tiẽ5	
廟	miɔ5	
庚	kən1	
府	fu3	
龐	pʰã2	
廢	fei5	
度	təu5	
座	tso5	
庭	tʰin2	
庵	ŋɛ̃1	
庶	ʂʯ5	
康	kʰã1	
康	sɪ5	
庸	ʯən1	
廉	niẽ2	
廊	nã2	
廓	kʰoʔ7	
廖	niɔ5	
延	iẽ2	
廷	tʰin2	
建	tɕiẽ5	
開	kʰɛ1	
异	i5	
弃	tɕʰi5	
弊	pi5	文
弊	pei5	白
式	sɿ5	
弓	kuən1	
引	in3	
弘	xuən2	
弟	ti5	
張	tsã1	
弦	ʂʯɛ̃2	
彎	uɛ̃1	
弱	ʐoʔ7	
彈	tʰɛ̃2	
彈	tɛ̃5	子～
强	tɕʰiã2	～盗
强	tɕiã5	倔～
弼	piəʔ7	
歸	kuei1	
當	tã1	
當	tã5	～铺
录	nəʔ7	
形	ɕin2	
彩	tsʰɛ3	
彪	piɔ1	
彬	pin1	
彭	pʰən2	
彰	tsã1	
影	in3	
役	ʯəʔ7	
徹	tsʰɪʔ7	
彼	pi3	
往	uã3	
征	tsən1	
徑	tɕin5	
待	tɛ5	
很	xən3	
律	niəʔ7	
徐	tɕʰi2	白
徐	ʂʯ2	文
徒	tʰəu2	
得	təʔ7	
徘	pʰɛ2	
徙	ɕi3	
御	ʯ5	
徨	xuã2	
循	ʂʯən2	
微	uei1	
德	təʔ7	
徽	xuei1	
心	ɕin1	
必	piəʔ7	
憶	i5	
忌	tɕi5	
忍	ʐən3	
忒	tʰəʔ7	
志	tsɿ5	
忘	uã2	
忙	mã2	
忠	ʈʂʯən1	
憂	iəu1	
快	kʰuɛ5	
念	niẽ5	
忽	xuəʔ7	
忿	fən5	
懷	xuɛ2	
態	tʰɛ5	
慫	sən3	
悵	tsʰã5	
怎	tsən3	
怒	nəu5	
怔	tsən5	
怕	pʰa5	
怖	pu5	
憐	niẽ2	
思	sɿ1	
怠	tɛ5	
怡	i2	
急	tɕiəʔ7	
性	ɕin5	
怨	ʯɛ̃5	
怪	kuɛ5	
怯	tɕʰiɪʔ7	
總	tsən3	
恃	sɿ5	
戀	niẽ5	
恍	xuã3	
恐	kʰuən3	
恆	xən2	
恕	ʂʯ5	
恢	xuei1	
恤	ʂʯəʔ7	
恨	xən5	
恩	ŋən1	
恬	tʰiẽ2	
恭	kuən1	
息	ɕiəʔ7	
恰	tɕʰiɛʔ7	
懇	kʰən3	
恶	u5	厌～
恶	ŋoʔ7	
惱	nɔ3	
悄	tɕʰiɔ1	
悉	ɕiəʔ7	
悔	xuei3	
悟	u5	
悠	iəu1	
患	xuɛ̃5	
悅	ʯɪʔ7	
懸	ʂʯɛ̃2	
憫	min3	
悲	pei1	
情	tɕʰin2	
惆	tsʰəu2	
驚	tɕin1	
惋	uõ1	
惋	uõ3	
惑	xoʔ7	
惚	xuəʔ7	
惜	ɕiəʔ7	
惟	uei2	
惠	xuei5	
惦	tiẽ5	
懼	ʈʂʯ5	
懲	tsʰən3	
慚	tsʰɛ̃2	
慣	kuɛ̃5	
惰	to5	
想	ɕiã3	
惶	xuã2	
惹	ʐo3	
愁	tsʰəu2	
愈	ʯ5	
愉	ʯ5	
意	i5	
愚	ʯ2	
感	kɛ̃3	
愣	nən5	
憤	fən5	
愧	kʰuei5	
願	ʯɛ̃5	
慈	tsʰɿ2	
慌	xuã1	
慕	mo5	
慢	mɛ̃5	
慧	xuei5	
慨	kʰɛ3	
慰	uei5	
慷	kʰã1	
憋	piɪʔ7	
憔	tɕiɔ5	
憨	xɛ̃1	
憾	xɛ̃5	
懂	tən3	
懊	ŋɔ5	
懶	nɛ̃3	
懦	no5	
戈	ko1	
戊	u5	
戍	ʂʯ5	
戎	ʯən2	
戲	ɕi5	
成	tsʰən2	
我	ŋo3	
戒	kɛ5	白
戒	tɕiɛ5	文
或	xoʔ7	
戰	tsɛ̃5	
戚	tɕʰiəʔ7	
截	tɕiɪʔ7	
戳	ʈʂʰoʔ7	
戴	tɛ5	
戶	xu5	
戽	xu5	
房	fã2	
所	so3	
扁	piẽ3	
扇	sẽ5	
手	səu3	
才	tsʰɛ2	
扎	tsɛʔ7	
扑	pʰəʔ7	
扒	pa1	～家
