#漢字	音標	解釋
墾	kʰᴀŋ3	
埋	me2	
城	ʑia2	
城	ʑieŋ2	
域	iəʔ8	
基	tsɿ1	
堆	tø1	
塑	su5	
塔	tʰəʔ7	
塞	səʔ7	名
填	dai2	
填	di2	
牆	ʑiã2	
墨	məʔ8	
壁	piəʔ7	
壯	tsɔ̃5	
聲	ɕiã1	
殼	kʰəʔ7	
外	ȵiɔ̃6	
多	tu1	
夜	i6	
够	kɑu5	
大	do6	~小
天	tʰi1	
頭	dɔ2	脑袋
夸	kʰua1	
奪	dəʔ8	
奉	hɔŋ6	
女	ȵy3	
奶	nai1	娘~
奸	ke1	
奸	ka1	
好	hɑu3	形
媽	mã2	
妖	ieu1	
妹	mø5	
妻	tsʰai1	
姊	tsɿ3	
姓	sã5	
姜	tɕiɔ̃1	
姜	tɕiã1	
姨	i2	
娘	ȵiɔ̃2	
婆	bu2	
婿	sa5	
嫁	ko5	
嫌	ai2	
嫩	nø6	
嬉	sɿ1	玩儿
子	tsɿ3	
字	zɿ6	
存	dzø2	
孫	sø1	~子
孝	hɔ5	
孟	mɔŋ2	
學	ɑu6	
學	ɔ6	
宅	dza6	
安	e1	
宋	sɔŋ5	
宏	hɔŋ2	
官	kue1	
定	diã6	
寶	pɑu3	
實	ʑiəʔ8	
審	ɕieŋ3	
客	kʰa5	
宰	tsa3	~相
宰	tse3	屠~
害	ha6	
家	ko1	
容	iɔŋ2	
寬	kʰue1	
賓	pieŋ1	
寄	tsɿ5	
密	miəʔ7	
富	fu5	
寒	e2	
寒	ɡe2	冷
寡	kua3	
寨	dze6	
對	tø5	
尋	ʑieŋ2	
封	hɔŋ1	
射	ʑi6	
少	tɕieu3	多~
尖	tɕi1	
嘗	ɕiɔ̃2	
屍	sɿ1	
尺	tɕʰy5	
尾	mø3	~巴
局	dʑiəʔ8	
層	zᴀŋ2	
層	zai2	
屈	tɕʰiəʔ7	
屋	ɔ3	
屎	sa3	
屬	dʑiəʔ8	
山	se1	
歲	sø5	
嶺	liã3	
岳	ŋəʔ8	
岸	ŋe6	
川	tɕʰy1	
工	kɔŋ1	
左	tsu3	
巨	dʑy6	
巫	vu3	
己	tsɿ3	
巾	tɕiɔŋ1	
市	zɿ6	
布	pu5	
帥	sa5	
師	sɿ1	
希	ɕi1	
帳	tiɔ̃5	蚊~
帖	tʰəʔ7	
帘	li2	
帚	tɕieu3	
帶	to5	名
席	y6	草~
席	ʑiəʔ8	
幫	pɔ̃1	
帽	mɑu6	
平	bã2	
年	ȵi2	
幸	ã6	
幻	ve3	
幽	iɑu1	
幾	tɕy3	~个
慶	tɕʰieŋ5	
牀	dʑiɔ̃2	
廬	lu2	
應	ieŋ5	答~
底	ti3	
底	tai3	
店	tai5	
廟	mieu6	
庚	kai1	
庵	e1	
康	kʰɔ̃1	
延	i2	
建	tɕi5	
開	kʰe1	
開	tɕʰy1	
异	i6	
弄	lɔŋ1	名
弓	kɔŋ1	
引	ieŋ3	
弟	di6	
張	tiɔ̃1	量
弦	i2	
彎	vã1	
歸	kuai1	
當	tɔ̃5	~铺
录	ləʔ8	
形	ieŋ2	
彪	pieu1	
彭	bã2	
影	iã3	
役	iəʔ8	
征	tɕieŋ1	
很	hᴀŋ3	
律	liəʔ8	
徐	ʑy2	
得	təʔ7	晓~
微	vi2	
心	ɕieŋ1	
忍	ȵiɔŋ3	
志	tsɿ5	
忙	mɔ̃2	
忠	tsɔŋ1	
快	kʰai5	
念	nai6	
念	ȵi6	
忽	fəʔ7	
懷	ɡuai2	
懷	ve2	
怕	pʰo5	
急	tɕiəʔ7	
怨	y5	
怪	kua5	
總	tsɔŋ3	
恆	hᴀŋ2	
恨	hᴀŋ6	
恩	ᴀŋ1	
恭	kɔŋ1	
息	ɕiəʔ7	
懇	kʰᴀŋ3	
恶	ɔ3	形
懸	ɡai2	高
驚	tɕiã1	
惜	ɕiəʔ7	
愁	zɑu2	
感	ke3	
慌	fɔ̃1	
慢	mai6	
懂	tɔŋ3	
戲	sɿ5	
我	o3	
戒	ka5	
或	vəʔ8	
戰	tɕi5	
戚	tɕʰiəʔ7	
戳	tsʰəʔ7	
房	vɔ̃2	
扁	pi3	
扇	ɕi5	名
手	tɕʰieu3	
打	ta3	
托	tʰəʔ7	
擴	kʰəʔ7	
掃	sɔ5	动
扶	vu2	
找	tsɔ3	
承	ʑieŋ2	
把	po3	
抓	tsɔ1	~牌
抓	tsa1	
折	ʑiəʔ8	亏本
搶	tɕʰiɔ̃3	
報	pɑu5	
押	a3	
抽	tʰieu1	
擔	te5	名
擔	te1	
拆	tʰa5	
拔	bəʔ8	
拖	tʰo1	
拜	pai5	
攔	le2	
撥	pəʔ7	
擇	dzəʔ7	
拳	ɡuᴀŋ2	
拿	na2	
持	dzɿ2	
挂	ko5	
指	tsai3	
指	tsɿ3	
挖	vəʔ7	
挾	kəʔ7	~菜
捏	nəʔ8	~牙膏
掌	tɕiɔ̃3	
掌	tɕiã3	
排	bai2	
接	tɕiəʔ7	
推	tʰø1	
插	tsʰəʔ7	
換	ve6	
揭	tɕʰiəʔ7	
搓	tsʰɑu1	
搜	sɔ1	
搬	be2	
摆	pai3	
攤	tʰe1	
摘	ta5	
撑	tʰã1	
撞	dʑiɔ̃6	
撮	tsʰəʔ7	
擦	tsʰəʔ7	
改	kø3	
放	pɔŋ5	
放	fɔ̃5	
政	tɕieŋ5	
敵	diəʔ8	
救	tɕiɑu5	
教	kɔ5	动
敢	ke3	
㪗	tʰɔ3	展开
數	ɕy3	动
數	su5	名
敲	kʰɔ1	
文	vᴀŋ2	
齋	tsa1	
斗	tɔ3	一~
料	lieu6	
斛	hɔ6	
斜	dʑi2	
斤	tɕiɔŋ1	~两
斧	fu3	
斬	tse3	
斷	dø6	拗~
新	ɕieŋ1	
方	fɔ̃1	
旋	iɔŋ6	头旋
族	zəʔ8	
旗	dzɿ2	
無	m̩2	
無	vu2	
日	ȵiəʔ8	~头
日	ʑiəʔ8	~头
旦	te5	
舊	dʑiɑu6	
早	tsɔ3	
旱	he6	
時	zɿ2	
旺	vɔ̃6	
明	mieŋ2	
昏	hø1	
星	ɕieŋ1	
春	tɕʰiɔŋ1	
是	zɿ6	
晝	tɔ5	
晝	tɕieu5	
曬	so5	
晚	ve3	
晚	mɔ6	
晴	zã2	
暗	e5	
暝	mã2	夜晚,原文记作冥
曲	tɕʰiəʔ7	
更	kã1	
月	ȵiəʔ8	
有	vu6	
有	iɑu3	
朋	bɔŋ2	
服	vəʔ8	
望	vɔ̃6	
木	məʔ8	
未	mi6	
末	məʔ8	
本	pᴀŋ3	
术	ʑiəʔ8	
朶	tɑu3	耳~
機	tsɿ1	
殺	səʔ7	
雜	zəʔ8	
李	li3	姓
村	tsʰø1	
條	dieu2	
來	li2	
來	la2	
來	le2	
杭	ɔ̃2	
杯	pai1	
杰	dʑiəʔ8	
松	sɔŋ1	~树
板	pai3	
極	dʑiəʔ8	
林	lieŋ2	
果	ku3	
枝	tsɿ1	
棗	tsɑu3	
柄	pã3	
染	ȵi3	
櫃	ɡuai6	
查	dzo2	调~
柱	dieu6	
柱	dʑy6	
柴	dzɔ2	
標	pieu1	
棧	dze6	
欄	le2	
樹	tɕʰieu5	
樹	ʑy6	
栗	liəʔ8	
樣	iɔ̃6	
核	hɔ6	水果的核
根	kᴀŋ1	
格	ka5	
桂	kuai5	
桃	dɑu2	
桌	tɑu5	
桑	sɔ̃1	
橋	dʑieu2	
樁	tɔ̃1	
桶	tʰɔŋ3	
梗	kã3	
夢	mɔŋ5	
梨	li2	
梯	tʰai1	
梳	sai1	
棋	dzɿ2	
棍	kuᴀŋ5	
棒	bɔ̃6	
棕	tsɔŋ1	
棚	bɔŋ2	
椅	i3	
椒	tɕieu1	
椽	dø2	
楚	tsʰu3	
楦	ɕy5	
樓	lɔ2	
榜	pɔ̃3	
槌	dʑy2	
