#漢字	音標	解釋
□	ɡiɔ1	播撒
榜	paŋ3	
槍	tsʰiaŋ1	
槳	tsiŋ3	
槽	tsɯ2	
樂	loʔ8	快樂
樂	ɡiaʔ8	音樂
樓	lɔ2	
標	piɔ1	
模	bu2	
樵	tsʰa2	
樹	tsʰau5	
橄	kã3	
橋	kiɯ2	
機	ki1	
橫	huɛ̃2	
檀	tʰan2	
檢	kiaŋ3	
權	kʰien2	
欖	nã3	
欠	kʰiaŋ5	
欺	kʰei1	
款	kʰuan3	
歇	hiɯ5	
歉	kʰiaŋ5	
歌	kɯ1	
歡	hɔ̃1	
正	tsã1	正月
正	tsã5	
步	pu1	一步
步	pu4	進步
武	bu3	
歲	hue5	
歷	leʔ8	
歸	kuai1	
死	si3	
殊	sɯ2	
殺	saʔ7	
殼	kʰaʔ7	
母	bɯ3	
毒	toʔ8	
比	pi3	
毛	mŋ̍2	
毯	tʰaŋ3	
民	bin2	
氣	kʰi5	天氣
氣	kʰuai5	受氣
水	tsai3	
永	in3	
汁	tsiaʔ7	
求	kʰiau2	求人,求神
汗	kɔ̃1	
汝	li3	你
江	kaŋ1	
池	ti2	
決	kiaʔ7	
沃	aʔ7	
沉	tiaŋ2	
沕	bi5	躲
沙	sɔ1	
河	hɯ2	
油	ɡiau2	
治	ti4	
泅	siau2	
泉	tsaĩ2	泉州,礦泉
法	huaʔ7	
泡	pʰɔ5	
波	pɯ1	
泰	tʰɛ5	
洗	sei3	
洞	toŋ4	
活	ɡua4	
派	pʰɛ5	
流	lɔ2	
浴	ɡioʔ8	
海	hɛ3	
消	siɔ1	
涼	liaŋ2	
深	tsʰaŋ1	
淹	ɡiaŋ1	
淺	tsʰien3	
添	tʰin1	
清	tsʰin1	
減	kiaŋ3	
港	kaŋ3	
湖	hu2	
湯	tʰŋ̍1	
準	tsoŋ3	
溝	kɔ1	
溪	kʰei1	
溫	ɡoŋ1	
滅	biaʔ8	
滑	koʔ8	
滴	ti5	
滷	lau3	
滚	koŋ3	
滿	mɔ̃3	
漆	tsʰaʔ7	
漏	lɔ1	
演	ɡien3	
漳	tsaŋ1	
漿	tsiŋ1	
潑	pʰɔ̃5	
潭	tʰaŋ2	
激	keʔ7	
濕	seʔ7	
灣	ɡuan1	
火	hue3	
灰	hue1	灰芋
災	tsiɛ1	
炊	tsʰue1	
炎	ɡiaŋ2	
炒	tsʰa3	
炭	tʰɔ̃5	
炮	pʰɔ5	
爲	ɡuai2	
烊	ɡiŋ2	
烏	u1	
無	bɯ2	
煎	tsɔ̃1	煎藥
煎	tsien1	煎魚
煙	ɡien1	
煤	bue2	
照	tsɯ5	
煩	huan2	
熊	hiaŋ2	
熱	ɡiaʔ4	
燈	tin1	
燒	siɯ1	
燕	ĩ5	
燙	tʰŋ̍5	
營	ŋiã2	
燭	tsoʔ7	
爐	lau2	
爛	nɔ̃1	
爬	pe2	
爭	tsin1	
父	pu4	伯父
父	hu4	
爿	pin2	
牀	tsʰŋ̍2	
牆	tsʰiŋ2	
片	pʰin5	
牌	pɛ2	
牙	ɡe2	
牛	ɡu2	
物	mĩ4	
牯	ku3	
特	tʰeʔ8	
牽	kʰan1	
犯	huan4	
狗	kɔ3	
猛	bin3	
猴	kɔ2	
獅	se1	
獎	tsiaŋ3	
獨	toʔ8	
獸	sau5	
獻	hien5	
玉	ɡioʔ8	
王	ɡuaŋ2	
珍	tsin1	
珠	tsau1	目珠,珍珠
班	pan1	
現	hien4	
球	kʰiau2	
理	li3	
琴	kʰiaŋ2	
環	kʰuan2	
瓜	kuɛ1	
瓤	nŋ̍2	
瓦	ɡuɛ4	
甌	ɔ1	小碗
甕	aŋ5	
甜	tiaŋ2	
生	sẽ1	生日
産	tsʰan3	
用	ɡioŋ4	
甲	ka5	
界	kɛ5	
留	lɔ2	
畢	peʔ7	
番	huan1	蕃薯
畫	ɡuɛ1	
當	taŋ1	當然
當	taŋ5	典當
疊	tʰa4	
疼	tʰiã5	
疾	tseʔ8	
病	pẽ1	
痣	ki5	
痱	pai5	
痲	mɔ̃2	
療	liɔ2	
癢	tsiŋ4	
發	huaʔ7	
白	pe4	
百	pe5	
的	teʔ7	
皇	huaŋ2	
皮	pʰue2	
盆	pʰoŋ2	
盒	aʔ8	
監	kã1	
盤	pɔ̃2	
目	baʔ8	目珠
目	boʔ8	題目
直	teʔ8	
相	siaŋ1	
省	sẽ3	
省	sin3	
眉	bɛ2	
看	kʰɔ̃5	
真	tsin1	
眠	bin2	
眾	tsoŋ5	
睡	sai4	
督	toʔ7	
睭	tsau1	目珠
知	tsiɛ1	
矩	ki3	
矮	ei3	
石	tsɯ4	石頭
石	seʔ8	雁石
破	pʰɔ5	
硬	ŋẽ1	
碑	pue1	
碗	ŋɔ̃3	
確	kʰaʔ7	
磚	tsaĩ1	
磨	bɔ2	
礦	kʰuaŋ5	
社	sa4	
祖	tsɯ3	
祝	tsoʔ7	
神	sin2	
票	pʰiɯ5	
禍	hɯ4	
福	hoʔ7	
禮	lei3	
禾	ɡue2	
秀	siau5	
私	sɯ1	
秋	tsʰiau1	
科	kʰɯ1	
秒	miɔ̃3	
租	tsɯ1	
秧	ŋ̍1	
税	sue5	
種	tsoŋ3	種類
種	tsoŋ5	種樹
稱	tsʰin5	
穀	koʔ7	
積	tseʔ7	
穩	ɡoŋ3	
究	kiau5	
空	kʰaŋ1	
穿	tsʰaĩ1	
窗	tʰoŋ1	
窟	kʰoʔ7	
窮	kʰoŋ2	
窰	ɡiɯ2	
竈	tsɔ5	
立	leʔ8	
站	tsaŋ4	
章	tsaŋ1	
童	tʰoŋ2	
竹	toʔ7	
笑	tsʰɯ5	
符	hu2	
第	tei4	
筆	peʔ7	
等	tan3	
筍	soŋ3	
答	taʔ7	
策	tsʰe5	
算	saĩ5	
算	suan5	
管	kuan3	
箬	liɯ4	
箭	tsin5	
箱	siŋ1	
箸	tiau1	
節	tsei5	五月節
節	tsaʔ7	一節
節	tsiaʔ7	教師節
範	huan4	
篇	pʰien1	
篙	kɯ1	
篩	tʰɛ1	動詞
篾	bi4	
簡	kiaŋ3	
簪	tsaŋ1	
簫	siɔ1	
簽	tsʰiaŋ1	
籃	nã2	
籠	loŋ2	
籤	tsʰiaŋ1	
米	bi3	
籽	tsi3	種子
粉	hoŋ3	
粒	liaʔ8	
粗	tsʰau1	
粟	tsʰoʔ7	
精	tsiã1	味精
粿	kue3	
糉	tsaŋ5	
糕	kɯ1	
糖	tʰŋ̍2	
糜	bue2	
糟	tsɔ1	
糶	tʰiɔ5	
紅	aŋ2	
紐	liau3	
純	soŋ2	
紙	tsua3	
級	keʔ7	
素	sau5	
索	sɯ5	
細	sei5	
紹	siɔ4	
終	tsoŋ1	
結	kaʔ7	打結
結	kiaʔ7	結束
統	tʰoŋ3	
絲	si1	
綑	kʰoŋ3	
經	kin1	
綠	loʔ8	
維	ɡuai2	
網	baŋ4	
緊	kin3	
線	sɔ̃5	
編	pien1	
練	lien4	
縛	paʔ8	
縣	kuaĩ1	
縫	hoŋ2	
縫	pʰaŋ5	
總	tsoŋ3	
績	tseʔ7	
纏	tin2	
缺	kʰiaʔ7	
罐	kuan5	
罪	tsue4	
罰	huaʔ8	
罵	mẽ5	
羅	lɯ2	
羊	ɡiŋ2	
群	kun2	
翁	aŋ1	
習	seʔ8	
翼	seʔ8	
老	lɯ3	
老	lɔ3	
考	kʰɯ3	
耳	hi4	
聘	pʰin5	
聞	boŋ2	
聰	tsʰoŋ1	
聲	sã1	
職	tseʔ7	
聽	tʰiã1	
肚	tau3	
肝	kɔ̃1	
肥	pai2	
肩	kin1	
肯	kʰin3	
育	ɡioʔ8	
肺	huai5	
胃	ɡuai4	
背	pue5	背後
背	pue4	背誦
胎	tʰɛ1	
胞	pɔ1	
胸	hioŋ1	
能	lin2	
脅	hiaʔ8	
脊	tsia5	
脱	tsʰai5	
腐	hu1	
腕	ɡuan3	
腡	lɯ2	
腦	nɔ̃3	
腫	tsoŋ3	
腰	ɡiɯ1	
腸	tŋ̍2	
腹	paʔ7	
腿	tʰai3	
膏	kɯ1	
膚	hu1	
膽	tã3	
臍	tsiɛ2	
自	tsɯ5	
臭	tsʰiɔ5	
臺	tʰɛ2	
舂	tsoŋ1	
舅	ku4	
興	hin5	
舌	sɔ4	
舞	bu3	
般	pɔ̃1	
船	tsoŋ2	
良	liaŋ2	
艱	kan1	
色	seʔ7	
芋	u4	
花	huɛ1	
芳	pʰaŋ1	
芹	kʰin2	
苦	kʰu3	
英	in1	
茄	kiɯ2	
茶	te2	
茸	ɡioŋ2	
草	tsʰɔ3	
荔	li1	
荷	hɯ2	
菊	kioʔ7	
菜	tsʰiɛ5	
華	hua2	
萬	ban1	
落	lɯ4	
董	toŋ3	
蒙	boŋ2	
蒜	saĩ5	
蓆	tsʰɯ4	草席
蓮	lien2	
蔗	tsa5	
蔘	tsʰaŋ1	
蔡	tsʰɛ5	
蔣	tsiaŋ3	
葱	tsʰaŋ1	
蕃	huan1	蕃薯
蕉	tsiɯ1	
薄	pɯ4	
薑	kioŋ1	
薯	tsau2	番薯
薰	hoŋ1	
藍	laŋ2	
藕	ŋɔ̃3	
藥	ɡiɯ4	
蘇	sɯ1	
蘭	lan2	
虎	hu3	
虚	hiau1	
號	hɯ1	
虧	kʰuai1	
蛀	tsau5	
蛇	tsɔ2	
蜀	tseʔ8	
蜂	pʰaŋ1	
蜜	beʔ8	
蝦	hɛ2	
虱	saʔ7	
螺	lue2	
蟲	tʰaŋ2	
蟻	hiɔ4	
蠅	sin2	
蠓	baŋ3	
蠟	la4	
血	hue5	
行	haŋ2	銀行
行	kiã2	走
行	hin2	行為
術	soʔ8	手術,技術
街	kei1	
衛	ɡuai4	
衣	i1	
表	piɔ3	
衫	sã1	
袋	tɛ4	
被	pʰue4	
裙	koŋ2	
補	pu3	
裝	tsŋ̍1	動詞
裝	tsuaŋ1	裝潢
複	hoʔ7	
褲	kʰu5	
襪	bue4	
西	sei1	
要	ɡiɔ5	
規	kuai1	
視	si4	近視,電視
親	tsʰin1	
覽	laŋ3	
觀	kuan1	
角	kaʔ7	
解	kɛ3	
解	ei4	不會
言	ɡien2	
計	ki5	
討	tʰɯ3	
託	tʰoʔ2	
記	ki5	
設	siaʔ7	
許	kʰu3	姓氏
診	tsin3	
試	tsʰi5	
話	ɡuɛ1	
該	kɛ1	
詳	siŋ2	
認	lin1	
誓	sɯ4	
課	kʰɯ5	
調	tiɔ2	
調	tiɔ4	
談	tʰaŋ2	
請	tsʰiã3	
諒	liaŋ4	
論	loŋ4	
謙	kʰiaŋ1	
講	kŋ̍3	
謝	tsia1	姓氏
謝	sia1	多謝
證	tsin5	
識	seʔ7	
警	kin3	
護	hu4	
讀	tʰaʔ8	
變	pien5	
讓	ɡiŋ1	
豆	tau1	
豐	hoŋ1	
豬	tiau1	
貌	mɔ̃4	
貝	pue5	
負	hu4	
財	tsʰiɛ2	橫財,財源
貨	hue5	
貪	tʰaŋ1	
責	tseʔ7	
貴	kuai5	
買	bei3	
貸	tɛ5	
費	huai5	
資	tsɯ1	
賊	tsʰaʔ8	
賠	pue2	
賢	hien2	
賣	bei1	
質	tseʔ7	
賭	tu3	
賴	lɔ1	
賽	sɛ5	
赤	tsʰa5	
走	tsɔ3	
赴	hu5	
起	kʰi3	
趁	tʰan5	
趙	tiɯ4	
足	tsoʔ7	
跡	tseʔ7	
跪	kuai4	
路	lau1	
跳	tʰiɔ5	
踢	tʰaʔ7	
身	sin1	
車	tsʰa1	
軍	kin1	
軟	naĩ3	
較	kiɔ5	
載	tsiɛ5	
輕	kʰin1	
輩	pue5	
輪	loŋ2	
輸	sau1	輸贏,運輸
轉	taĩ3	
辛	sin1	
辣	lɔ4	
辦	pan4	
迎	ŋiã2	
近	kin4	
退	tʰue5	
送	saŋ5	
透	tʰɔ5	
通	tʰoŋ1	
速	soʔ7	
連	lien2	
進	tsin5	
逼	peʔ7	
運	ɡin4	
遍	pien5	
過	kɯ5	
達	taʔ8	
遠	huaĩ4	很遠
遠	ɡien3	永遠
適	seʔ7	
遮	tsa1	
遲	ti2	
遵	tsoŋ1	
選	sien3	
邊	pin1	
郎	nŋ̍2	
部	pu4	
郭	kue5	
都	tau1	
鄉	hiŋ1	
鄭	tẽ1	
鄰	lin2	
配	pʰue5	
酒	tsiu3	
酸	saĩ1	
醃	ɡiaŋ1	
醉	tsai5	
醋	tsʰau5	
醒	tsʰẽ3	
醫	i1	
醬	tsiŋ5	
重	taŋ4	輕重
重	tioŋ4	尊重
野	ɡia3	
量	liaŋ4	
金	kiaŋ1	
釘	tin1	鐵釘
釘	tin5	動詞
針	tsiaŋ1	
釣	tiɯ5	
鈍	toŋ4	
鉛	ɡien2	
鉢	pɔ5	
鉤	kɔ1	
鉸	ka1	
銀	ɡin2	
銅	taŋ2	
鋪	pʰu1	鋪著
鋪	pʰu5	店鋪
鋸	kiau5	
錄	loʔ8	
錢	tsin2	
錦	kiaŋ3	
鍛	tuan5	
鎖	sɯ3	名詞,動詞
鎮	tin5	
鏡	kiã5	
鐘	tsoŋ1	
鐮	liaŋ2	
鐲	siɯ̃4	
鐵	tʰi5	
鑼	lɯ2	
鑽	tsaĩ5	
鑿	tsʰaʔ8	
長	tŋ̍2	
門	maĩ2	
開	kʰuai1	
閏	loŋ4	閏月
閑	ĩ2	
間	kin1	
間	kĩ1	
闊	kʰua5	
關	kuɛ̃1	
降	kaŋ5	
限	han4	
院	ĩ1	
除	tiau2	
陪	pue2	
陳	tan2	
陸	loʔ8	
隊	tai4	
障	tsaŋ5	
險	hiaŋ3	
雄	hioŋ2	
集	tsiaʔ8	
雙	saŋ1	
雜	tsaʔ8	
雞	ki1	
離	li2	
難	lan2	
雨	hu4	
雪	sue5	
雲	hoŋ2	
零	lin2	
雷	lai2	
電	tien4	
震	tsin5	
霜	sŋ̍1	
露	lau5	
靈	lin2	
青	tsʰẽ1	
靜	tsin4	
靠	kʰɯ5	
面	bin5	
革	keʔ7	
鞋	ei2	
韌	loŋ1	
韭	ku3	
音	ɡiaŋ1	
響	hiaŋ3	
頁	ɡiaʔ8	
頂	tin3	
項	haŋ4	
順	soŋ4	
頓	taĩ5	
領	niã3	
頭	tʰɔ2	
題	tei2	
額	hia4	
顔	ɡien2	顏色
顧	ku5	
顯	hiaŋ3	
風	hoŋ1	
颺	ɡioŋ1	
飄	pʰiɔ1	
飛	pue1	動詞
飛	huai1	飛機
食	tsa4	吃
食	seʔ8	扁食
飯	paĩ1	
飲	aŋ3	
飼	tsʰi5	
飽	pa3	
餅	piã3	
餐	tsʰan1	
餓	ɡɯ1	
餜	kue3	
香	hiŋ1	燒香
香	hiaŋ1	香港
馬	be3	
騙	pʰin5	
驕	kiɔ1	
驗	ɡiaŋ4	
驚	kiã1	
骨	koʔ7	
骹	kʰa1	
髓	tsʰue3	
體	tʰei3	
高	kɔ1	
鬆	saŋ1	
鬚	tsʰiau1	
鬥	tɔ5	
鬧	lɔ1	熱鬧
鬧	nɔ̃4	吵鬧
鬼	kuai3	
魂	hoŋ2	
魚	hiau2	
鮮	sien1	
鱗	lan2	
鳥	tsia3	
鳳	hoŋ4	
鴉	a1	
鴨	a5	
鴿	kaʔ7	
鵝	ɡɯ2	
鹹	kiaŋ2	
鹽	ɡiaŋ2	
鹿	loʔ8	
麗	lei4	
麥	be4	
麵	mĩ4	
麻	mã2	
黃	ŋuaĩ2	
黏	ku2	黏貼
黏	liaŋ2	
點	tiaŋ3	
黨	taŋ3	
鼈	pi5	
鼎	tiã3	
鼓	ku3	
鼠	tsʰau3	
鼻	pʰi5	
齊	tsei2	
齋	tse1	
齒	kʰi3	
龍	lioŋ2	
龜	kuai1	
𢶀	tsʰue5	找
𤆬	tsʰɔ5	娶
𥭘	tʰɛ1	動詞
𧄔	tsau2	番薯
𩟗	tsiã3	
