#漢字	音標	解釋
□	pv̩1	~子:姑姑
列	liʔ7	
劉	liɤɯ2	
則	tsəʔ7	
剛	kaŋ1	
創	tɕʰyaŋ5	
初	tsʰv̩1	
删	ɕyæ̃1	
判	pʰʊ̃5	
刨	pʰɔ1	
利	iᶽ1	
别	piʔ7	
刮	kuæʔ7	
到	tɔ5	
制	tsɿ5	
刷	ɕyæʔ7	
券	tɕʰyʊ̃5	
刺	tsʰɿ5	
刻	kʰəʔ7	
刴	to5	
劑	tɕiᶽ5	
剃	tɕʰiᶽ5	
削	ɕiaʔ7	
前	tɕʰiɪ̃2	
劍	tɕiɪ̃5	
剔	tʰiʔ7	
剝	paʔ7	
劇	tɕyᶽ5	普化音
剩	tsʰən5	
剪	tɕiɪ̃3	
副	fv̩5	
割	kʊʔ7	
剿	tɕiɔ3	
劈	pʰiʔ7	
力	liʔ7	
勸	tɕʰyʊ̃5	
辦	pæ̃5	
功	kɔŋ1	
加	ka1-	
加	tɕia1	
務	v̩5	
劣	liʔ7	
動	tʰɔŋ1-	
動	tɔŋ5=	
助	tsv̩5	
努	no3	
劫	tɕiʔ7	
勵	iᶽ1-	
勵	iᶽ5=	
勁	tɕin5	
勞	lɔ2	
勢	sɿ5	
勃	pʊʔ7	
勇	iɔŋ3	
勉	miɪ̃3	
勳	ɕyn1	
勒	nəʔ7	(又)
勒	ləʔ7	(又)
勘	kʰæ̃1	
勤	tɕʰin2	
勺	saʔ7	
勾	kɤɯ1	
勾	kɤɯ5	勾当
勿	v̩5	普化音
匀	yn2	
包	pɔ1	
匆	tsʰɔŋ1	
化	xua5	
北	pɔʔ7	
匙	tsʰɿ2	
匠	tɕʰiaŋ5-	
匠	tɕiaŋ5=	
匡	kʰuaŋ1	
匪	fɪ3	
匹	pʰiʔ7	一匹
區	tɕʰyᶽ1	
醫	iᶽ1	
匾	piɪ̃3	
匿	niʔ7	
十	səʔ7	
千	tɕʰiɪ̃1	
升	sən1	
午	v̩3	
半	pʊ̃5	
華	xua2	中华
華	xua5	华山
協	ɕiʔ7	
卑	pɪ1	
卒	tsɔʔ7	
卓	tɕyaʔ7	
單	tæ̃1	单独
單	siɪ̃1	姓
賣	mɛ1	
南	næ̃2	
博	paʔ7	
卞	pʰiɪ̃1	
占	tsiɪ̃1	
占	tsæ̃1	普化音:占卜
卡	kʰa3	
盧	lv̩2	
卤	lv̩3	
卦	kua5	
臥	o5	
衛	vɪ5	
卯	mɔ3	
印	in5	
危	vɪ1	
即	tɕiʔ7	
卻	tɕʰiaʔ7	
卵	lʊ̃3	
卷	tɕyʊ̃3	卷起
卷	tɕyʊ̃5	试卷
卸	ɕia5	
卸	ɕɪ5=	
卿	tɕʰin1	
廠	tsʰaŋ3	
廳	tʰin1	
厲	iᶽ1	
壓	ŋæʔ7	
厭	iɪ̃5	
廁	tsʰəʔ7	普化音
厘	iᶽ2	
厚	xɤɯ1	
原	yʊ̃2	
廂	ɕiaŋ1	
厦	ɕia1	厦门
廚	tsʰv̩2	
去	tɕʰyᶽ5	
縣	ɕiɪ̃5	
参	tsʰæ̃1	
参	sən1	人参
参	tsʰən1	参差
又	iɤɯ1	
叉	tsʰa1	
及	tɕiʔ7	
友	iɤɯ3	
雙	ɕyaŋ1	
反	fæ̃3	
叔	sɔʔ7	
取	tɕʰyᶽ3	
受	sɤɯ5	
變	piɪ̃5	
敍	ɕyᶽ5	
叛	pʰʊ̃5	
叟	sɤɯ3	
疊	tiʔ7	
口	kʰɤɯ3	
古	kv̩3	
句	tɕyᶽ5	
另	lin1-	
另	lin5	
叨	tɔ1	
叩	kʰɤɯ5	
只	tsəʔ7	
叫	tɕiɔ5	
召	tsɔ1	
可	kʰo3	
台	tʰɛ2	天台
史	sɿ3	
右	iɤɯ1	
號	xɔ5	
號	xɔ1	号数
司	sɿ1	
嘆	tʰæ̃5	
吁	yᶽ2	
吃	tɕʰiəʔ7	
各	kəʔ7	普化音
吆	iɔ1	
合	xʊʔ7	
吉	tɕiʔ7	
吊	tiɔ5	
同	tʰɔŋ2	
名	min2	
后	xɤɯ1	
吏	iᶽ1	
吐	tʰv̩3	吐痰
吐	tʰv̩5	呕吐
向	ɕiaŋ5	
嚇	xəʔ7	吓一跳
呂	yᶽ3	
君	tɕyn1	
吝	lin5	
吞	tʰən1	
吟	in2	
否	fɤɯ3	
含	xʊ̃2-	
含	xæ̃2=	
聽	tʰin1	
啓	tɕʰiᶽ3	
吳	v̩2	
吵	tsʰɔ3	
吸	ɕiʔ7	
吹	tɕʰyɪ1	
吻	vən3	
吼	xɤɯ3	
吾	v̩2	
呆	tɛ1	
呈	tsʰən2	
告	kɔ5	
嘔	ŋɤɯ3	
員	yʊ̃2	
周	tsɤɯ1	
味	vɪ1	
呼	fv̩1	
命	min1	
和	xo2	和气
和	xo5	和面
咎	tɕiɤɯ1	
咒	tsɤɯ5	
咨	tsɿ1	
咬	ŋɔ3	
咳	kʰəʔ7	咳嗽
咸	xæ̃2	
咽	iʔ7	
哀	ŋɛ1	
品	pʰin3	
哄	xɔŋ3	哄骗
哈	xa1	哈腰
啞	ŋa3	
哥	ko1	
哪	la3-	
哭	kʰɔʔ7	
哲	tsiʔ7	
哽	kən3	
唆	so1	啰唆
脣	tɕʰyn2	
唐	tʰaŋ2	
嘮	lɔ1	
喚	xʊ̃1	
售	sɤɯ5	
唯	vɪ2	
唱	tsʰaŋ5	
唾	tʰo5	
商	saŋ1	
嗇	səʔ7	
囉	lo1	啰嗦
啼	tɕʰiᶽ2	
喂	uɛ1	叫人
善	siɪ̃5	
喉	xɤɯ2	
喊	xæ̃3	
喘	tsʰʊ̃3	
喜	ɕiᶽ5	
喝	xʊʔ7	
喝	xʊʔ7	吆喝
喧	ɕyʊ̃1	
噴	pʰən1	喷水
噴	pʰən1	喷嚏
噴	pʰin5	喷香
喻	yᶽ5	
嗅	ɕiɤɯ5	
嗓	saŋ3	
嗜	sɿ5	
嗣	sɿ5	
嗤	tsʰɿ1	
嗦	so1	啰嗦
嗽	sɤɯ5	
嘉	tɕia1	
嘘	ɕyᶽ1	
囑	tsɔʔ7	
嘴	tɕyɪ3	
噎	iʔ7	
器	tɕʰiᶽ5	
嚇	xəʔ7	
嚏	tɕʰiᶽ0	
囂	ɕiɔ1	
嚷	laŋ3	
嚼	tɕʰiaʔ7	
囊	naŋ2	
囚	tɕʰiɤɯ2	
四	sɿ5	
回	xuɪ2	
因	in1	
团	tʰʊ̃2	
囤	tʰən2	
園	yʊ̃2	
困	kʰun5	
囱	tsʰɔŋ1	
圍	vɪ2	
固	kv̩5	
國	kɔʔ7	
圖	tʰv̩2	
圓	yʊ̃2	
圈	tɕʰyʊ̃1	
土	tʰv̩3	
聖	sən5	
在	tsʰɛ1-	
在	tsɛ5=	
地	tɕʰiᶽ1-	
地	tɕiᶽ5=	
場	tsʰaŋ3	场地
場	tsʰaŋ2	水泥场
址	tsɿ3	
均	tɕyn1	
坍	tʰæ̃1	
坎	kʰæ̃3	
壞	xuɛ1	
坐	tsʰo1-	
坐	tso5=	
坑	kʰən1	
塊	kʰuɛ5	
堅	tɕiɪ̃1	
坛	tʰæ̃2	
壩	pa5	
墳	fən2	
墜	tɕyɪ5	
坡	pʰo1	
坤	kʰun1	
坦	tʰæ̃3	
坪	pʰin2	
坯	pʰiᶽ1	
坳	ŋɔ5	
垂	tɕʰyɪ2	
壠	lɔŋ3	
型	ɕin2	
垒	lɪ3	
垜	to5	
墾	kʰən3	
墊	tʰiɪ̃1-	
墊	tiɪ̃5=	
垮	kʰua3	
埂	kən3	
埃	ŋɛ1	尘埃
埋	mɛ2	
城	tsʰən2	
域	iɔʔ7	
埯	ŋæ̃1	
培	pʰɪ2	
基	tɕiᶽ1	
堂	tʰaŋ2	
堆	tɪ1	
堡	pɔ3	
堤	tɕiᶽ1	堤坝
堤	tɕʰiᶽ2	龙堤
堪	kʰæ̃1	
堵	tv̩3	
塑	sv̩5	
塔	tʰæʔ7	
塘	tʰaŋ2	
塞	tsəʔ7	又
塞	səʔ7	又
填	tʰiɪ̃2	
境	tɕin5	
墓	mo1	
墓	mo5	
牆	tɕʰiaŋ2	
增	tsən1	
墟	ɕyᶽ1	
墨	mɔʔ7	
墩	tən1	
壁	piʔ7	
壕	xɔ2	
壤	laŋ3	
士	sɿ5	
壯	tɕyaŋ5	
聲	sən1	
殼	kʰaʔ7	
壺	fv̩2	
處	tsʰv̩5	处所
處	tsʰv̩3	相处
備	pɪ5	
复	fɔʔ7	
复	fɔʔ7	复兴
夏	ɕia1	姓
夏	ɕia1	春夏
夕	ɕiʔ7	
外	vɛ1	
多	to1	
夜	ia1	
够	kɤɯ5	
大	ta1-	
大	ta5=	~丰
大	tɛ5	大夫
天	tʰiɪ̃1	
夫	fv̩1	
央	iaŋ1	
夯	xaŋ1	
失	səʔ7	
頭	tʰɤɯ2	
夷	iᶽ2	
夸	kʰua1	
夾	kæʔ7	
奪	tʊʔ7	
奇	tɕʰiᶽ2	
奈	nɛ5	
奉	fɔŋ5	
奮	fən5	
奎	kʰuɪ2	
奏	tsɤɯ5	
契	tɕʰiᶽ5	
奔	pən1	
奔	pən5	奔头
獎	tɕiaŋ3	
套	tʰɔ5	
奚	tɕʰiᶽ2	
奠	tiɪ̃5	
奢	sɪ1	
奧	ɔ5	
女	nyᶽ3	
奴	no2	
奶	nɛ3	
奸	tɕiæ̃1	
好	xɔ5	喜好
好	xɔ3	好坏
如	lv̩2	
妃	fɪ1	
妄	vaŋ5	
婦	fv̩1-	
婦	fv̩5=	
媽	ma1	
妒	tv̩5	
妓	tɕiᶽ5	
妖	iɔ1	
妙	miɔ5	
妥	tʰo3	
妨	faŋ2	
妹	mɪ1-	
妹	mɪ5=	
妻	tɕʰiᶽ1	
妾	tɕʰiʔ7	
姊	tsɿ3	
始	sɿ3	
姐	tɕɪ3	
姑	kv̩1	
姓	ɕin5	
委	vɪ3	
姚	iɔ2	
姜	tɕiaŋ1	
姨	iᶽ2	
姻	in1	
姿	tsɿ1	
威	vɪ1	
嬌	tɕiɔ1	
娘	niaŋ2	
娠	sən1	
娩	miɪ̃3	
娛	yᶽ2	
娶	tɕʰyᶽ3	
婆	pʰo2	
婚	xun1	
婢	pɪ5	
嬰	in1	
嬸	sən3	
婿	ɕyᶽ5	
媒	mɪ2	
媳	ɕiʔ7	
嫁	tɕia5	
嫂	sɔ3	
嫌	ɕiɪ̃2	
嫖	pʰiɔ2	
嫡	tiʔ7	
嫩	nən1	
嬉	ɕiᶽ1	
孀	ɕyaŋ1	
子	tsɿ3	
孔	kʰɔŋ3	
孕	yn5	
字	tsʰɿ1-	
字	tsɿ5=	
存	tɕʰyn2	
孫	ɕyn1	
孝	ɕiɔ5	
孟	mɔŋ1-	
孟	mɔŋ5=	
季	tɕiᶽ5	
孤	kv̩1	
學	xaʔ7-	
學	ɕiaʔ7=	
孩	xɛ2	
孵	fv̩1	
孺	lv̩2	
孽	niʔ7	
寧	nin2	宁愿
寧	nin2	安宁
宅	tsɛ2	普化音
宇	yᶽ3	
守	sɤɯ3	
安	ŋæ̃1	
安	ʊ̃1-	安逸
宋	sɔŋ5	
完	ʊ̃2	
宏	xɔŋ2	
宗	tsɔŋ1	
官	kʊ̃1	
宙	tsɤɯ5	
定	tin5	
宛	ʊ̃3	
寶	pɔ3	
實	səʔ7	
寵	tsʰɔŋ3	
審	sən3	
客	kʰəʔ7	
宣	ɕyʊ̃1	
室	səʔ7	
宦	xuæ̃5	
宪	ɕiɪ̃5	
宮	kɔŋ1	
宰	tsɛ3	
害	xɛ1-	
害	xɛ5=	
宴	iɪ̃5	
宵	ɕiɔ1	
家	ka1-	
家	tɕia1	家具
容	iɔŋ2	
寬	kʰʊ̃1	
賓	pin1	
宿	sɔʔ7	
寂	tɕiʔ7	
寄	tɕiᶽ5	
寅	in2	
密	miʔ7	
寇	kʰɤɯ5	
富	fv̩5	
寐	mɪ5	
寒	xæ̃2	
寓	yᶽ5	
寢	tɕʰin3	
寞	maʔ7	
察	tsʰæʔ7	
寡	kua3	
寥	liɔ2	
寨	tsɛ5	
寸	tɕʰyn5	
對	tɪ5	
寺	sɿ1	
尋	tɕʰin2-	
尋	ɕyn2=	
導	tɔ3	
壽	sɤɯ5	
封	fɔŋ1	
射	sɪ5	
將	tɕiaŋ5	大将
將	tɕiaŋ1	将来
尊	tɕyn1	
小	ɕiɔ3	
少	sɔ3	多少
少	sɔ5	少年
尖	tɕiɪ̃1	
塵	tsʰən2	
尚	saŋ5	
嘗	tsʰaŋ2	
尤	iɤɯ2	
堯	iɔ2	
尬	ka5	
就	tɕʰiɤɯ1-	
就	tɕiɤɯ5=	
尷	kæ̃1	
屍	sɿ1	
尹	in3	
尺	tsʰəʔ7	
尼	niᶽ2	
尽	tɕin5	
尽	tɕin3	尽前
尾	vɪ3	
尿	niɔ1	
局	tɕiɔʔ7	
屁	pʰiᶽ5	
層	tsʰən2	
居	tɕyᶽ1	
屈	tɕʰyəʔ7	
屉	tɕʰiᶽ5	
屆	tɕiɛ5	
屋	ɔʔ7	
屎	sɿ3	
屏	pʰin2	
屐	tɕiᶽ1	
屑	ɕyʊʔ7	木屑
展	tsiɪ̃3	
屬	sɔʔ7	
屠	tʰv̩2	
屢	yᶽ3	
履	yᶽ3	
山	sæ̃1	
歲	ɕyɪ5	
豈	tɕʰiᶽ3	
岐	tɕʰiᶽ2	
岔	tsʰa5	
崗	kaŋ3	
島	tɔ3	
巖	ɛ2	
嶺	lin3	
岳	iaʔ7	
岸	ŋæ̃1	
峽	ɕiaʔ7	
峰	fɔŋ1	
崇	tsʰɔŋ2	
崔	tɕʰyɪ1	
崖	ia2	
崩	pɔŋ1	
嵌	kʰæ̃1	
嵌	kʰæ̃3+	指~:指甲
嵩	sɔŋ1	
川	tsʰʊ̃1	
州	tsɤɯ1	
巡	ɕyn2	
巢	tsʰɔ2	
工	kɔŋ1	
左	tso3	
巧	tɕʰiɔ3	
巨	tɕyᶽ5	
鞏	kɔŋ3	
巫	v̩1	
差	tsʰɛ1	出差
差	tsʰɿ1	参差
差	tsʰa1	差别
己	tɕiᶽ3	
已	iᶽ3	
巳	sɿ5	
巴	pa1	
巷	xaŋ1	
巾	tɕin1	
幣	pɪ5	
市	sɿ1	
市	sɿ5	
布	pv̩5	
帥	ɕyɛ5	
帆	fæ̃1	
師	sɿ1	
希	ɕiᶽ1	
帳	tsaŋ5	
帕	pʰaʔ7	
帖	tʰiʔ7	
帘	liɪ̃2	
帚	tsɤɯ3	
帝	tɕiᶽ5	
帶	tɛ5	
席	tɕʰiʔ7-	
席	ɕiʔ7	
席	ɕiʔ7=	
幫	paŋ1	
常	tsʰaŋ2	
帽	mɔ1	
幅	fɔʔ7	
幔	mæ̃1	
幕	maʔ7	
平	pʰin2	
年	niɪ̃2	
并	pin5	合并
幸	ɕin5	
幹	kæ̃5	~部
幺	iɔ1	
幼	iɤɯ1-	
幼	iɤɯ5=	
幽	iɤɯ1	
幾	tɕiᶽ1	~乎
幾	tɕiᶽ3	~个
廣	kuaŋ3	
莊	tɕyaŋ1	
慶	tɕʰin5	
庇	piʔ7	
牀	tɕʰyaŋ2	
序	ɕyᶽ5	
廬	lv̩2	
庫	kʰv̩5	
應	in5	应当
應	in5	应对
底	tɕiᶽ3	
店	tiɪ̃5	
廟	miɔ1	
庚	kən1	
府	fv̩3	
龐	pʰaŋ2	
廢	fɪ5	
度	tv̩5	
座	tso5	
庭	tʰin2	
庵	ŋæ̃1	
庶	sv̩5	
康	kʰaŋ1	
庸	iɔŋ1	
廉	liɪ̃2	
廊	laŋ2	
廓	kʰuaʔ7	
廖	liɔ5	姓
延	iɪ̃2	
廷	tʰin2	
建	tɕiɪ̃5	
開	kʰɛ1	
异	iᶽ5	
弃	tɕʰiᶽ5	
弄	nɔŋ1	
弊	pɪ5	
式	səʔ7	
弓	kɔŋ1	
引	in3	
弘	xɔŋ2	
弟	tɕʰiᶽ1-	
弟	tɕiᶽ5=	
張	tsaŋ1	
弥	mɪ2	
弦	ɕyʊ̃2	
彎	væ̃1	
弱	laʔ7	
彈	tæ̃5	子弹
彈	tʰæ̃2	弹琴
强	tɕʰiaŋ2	
强	tɕʰiaŋ3	勉强
弼	piʔ7	
歸	kuɪ1	
當	taŋ5	典当
當	taŋ1	当时
當	taŋ1	当作
录	lɔʔ7	
形	ɕin2	
彩	tsʰɛ3	
彪	piɔ1	
彬	pin1	
彭	pʰɔŋ2	
影	in3	
役	yəʔ7	
徹	tsʰiʔ7	
彼	piᶽ3	
往	vaŋ3	
征	tsən1	征求
徑	tɕin1	
待	tʰɛ1-	
待	tɛ5	
很	xən3	
律	liʔ7	
徐	tɕʰyᶽ2	
徒	tʰv̩2	
得	təʔ7	
徙	ɕiᶽ3	
御	yᶽ5	
循	ɕyn2	
微	vɪ1	
德	təʔ7	
徽	xuɪ1	
心	ɕin1	
必	piʔ7	
憶	iᶽ5	
忌	tɕiᶽ5	
忍	lən3	
志	tsɿ5	
忘	vaŋ1	
忙	maŋ2	
忠	tsɔŋ1	
憂	iɤɯ1	
快	kʰuɛ5	
念	niɪ̃1	
忽	xuəʔ7	
忿	fən5	
懷	xuɛ2	
慪	ŋɤɯ5	
怒	no5	
怕	pʰa5	
怖	pv̩5	
憐	liɪ̃2	
思	sɿ1	
怠	tɛ5	
急	tɕiʔ7	
性	ɕin5	
怨	yʊ̃5	
怪	kuɛ5	
怯	tɕʰiʔ7	
總	tsɔŋ3	
恃	sɿ5	
戀	liɪ̃5	
恐	kʰɔŋ3	
恆	xən2	
恕	sv̩5	
恢	xuɪ1	
恤	ɕyʊʔ7	
恨	xən5	
恩	ŋən1	
恭	kɔŋ1	
息	ɕiʔ7	
恰	tɕʰiaʔ7	
懇	kʰən3	
惱	nɔ3	
悄	tɕʰiɔ1	静悄悄
悉	ɕiʔ7	
悔	xuɪ3	
悟	v̩5	
悠	iɤɯ1	
患	xuæ̃5	
悦	yʊʔ7	
懸	ɕyʊ̃2	
憫	min3	
悲	pɪ1	
情	tɕʰin2	
驚	tɕin1	
惑	xɔʔ7	
惜	ɕiʔ7	
惟	vɪ2	
惠	xuɪ5	
惡	aʔ7	
惡	ŋaʔ7	善~
懼	tɕyᶽ5	
慘	tsʰæ̃3	
懲	tsʰən2	
慚	tsʰæ̃2	
慣	kuæ̃5	
惰	to5	
想	ɕiaŋ3	
惹	la3	
愁	tsʰɤɯ2	
愈	yᶽ5	
愉	yᶽ2	
意	iᶽ5	
愚	yᶽ2	
感	kæ̃3	
憤	fən5	
愧	kʰuɪ5	
願	yʊ̃1-	
願	yʊ̃5=	
慈	tsʰɿ2	
慌	xuaŋ1	
慎	sən5	
慕	mo5	
慢	mæ̃1	
慧	xuɪ5	
慨	kʰɛ3	
慰	vɪ5	
慷	kʰaŋ1	
憋	piʔ7	
憎	tsən1	
憨	xæ̃1	
憾	xæ̃5	
懂	tɔŋ3	
懈	ɕɪ5	
懊	ɔ5	
懊	ŋɔ5	懊恼
懶	læ̃3	
懵	mɔŋ3	
戊	o5	
戍	sv̩5	
戎	lɔŋ2	
戲	ɕiᶽ5	
成	tsʰən2	
我	ŋ̍3	
戒	kɛ5-	
戒	tɕiɛ5=	
或	xɔʔ7	
戰	tsæ̃5	
戚	tɕʰiʔ7	
截	tɕiʔ7	
戳	tɕʰyaʔ7	
戴	tɛ5	
戶	fv̩5	
房	faŋ2	
所	so3	
扁	piɪ̃3	
扇	siɪ̃5	
扇	siɪ̃1	动词
手	sɤɯ3	
才	tsʰɛ2	
扎	tsæʔ7	
扎	tsæʔ7	扎营
扑	pʰɔʔ7	
打	ta3	
扔	lən1	
托	tʰaʔ7	
扛	kʰaŋ2	
扣	kʰɤɯ5	
執	tsəʔ7	
擴	kʰuaʔ7	
掃	sɔ3	扫地
掃	sɔ3	扫帚
揚	iaŋ2	
扭	niɤɯ3	
扮	pæ̃5	
扯	tsʰa3-	
扯	tsʰɪ3-	
擾	lɔ3	
扳	pæ̃1	
扶	fv̩2	
批	pʰiᶽ1	
扼	ŋəʔ7	
扽	tən5	
找	tsɔ3	
承	tsʰən2	
技	tɕiᶽ5	
抄	tsʰɔ1	
把	ma3	动词
把	pa3	把守
把	pa5	把柄
抓	tɕya1	
