#漢字	音標	解釋
□	ȵiəu5	扭
笑	ɕiɐɤ5	
筆	pi2	
笛	ti2	
笛	tie2	
符	fuᶹ2	
笨	pən5	
第	ti5	
籠	noŋ2	
等	tən3	
筐	tɕʰiaŋ1	
筐	kʰuaŋ1	
答	tᴀ2	
策	tsʰe2	
篩	sae1	
箍	kʰuᶹ1	
算	suaⁿ5	
管	kuaⁿ3	
篆	tsuaⁿ5	
米	mi3	
類	nuəi5	
粉	fən3	
粗	tsʰuᶹ1	
糞	fən5	
粹	tsʰuəi5	
糙	tsʰɐɤ5	
系	ɕi5	
素	suᶹ5	
緊	tɕin3	
累	nuəi5	劳~,连~
累	nuəi3	积~
糾	tɕiəu1	
紅	xoŋ2	
約	io2	
純	suən2	
紗	sᴀ1	
綱	kaŋ1	
納	nᴀ2	
紙	tsɿ3	
紡	faŋ3	
紐	ȵiəu3	
練	niæⁿ5	
細	ɕi5	
終	tsoŋ1	
絆	pʰaⁿ5	
紹	sɐɤ5	
經	tɕin1	
綁	paŋ3	
絨	zoŋ2	
繞	zɐɤ3	
絶	tɕye1	
絞	tɕiɐɤ3	
統	tʰoŋ3	
繼	tɕi5	
繩	suən2	
維	uəi2	
繃	pən1	
綢	tsʰəu2	
綻	tsaⁿ5	
綠	nuᶹ2	
綴	tsue2	
緩	xuaⁿ3	
縷	nəu3	
緣	yæⁿ2	
縛	po2	
縮	so2	
繆	miəu5	
缺	tɕʰye2	
羅	no2	
罷	pᴀ5	
罩	tsɐɤ5	
罪	tsuəi5	
羊	iaŋ2	
美	məi3	
群	tɕʰyn2	
羽	y3	
翁	oŋ1	
翅	tsɿ5	
翠	tsʰuəi5	
翻	faⁿ1	
老	nɐɤ3	
考	kʰɐɤ3	
者	tse3	
而	ɚ2	
耍	suᴀ3	
耐	nae5	
耕	kən1	
耳	ɚ3	
耻	tsʰɿ3	
耿	kən3	
聶	ȵie2	
聊	niɐɤ2	
職	tsɿ2	
聯	niæⁿ2	
聚	tɕy5	
肅	ɕio2	
肉	zo2	
肉	zəu5	
肚	tuᶹ3	2
肚	tuᶹ5	
肥	fəi2	
肯	kʰən3	
育	io2	
肴	ɕiɐɤ2	
肺	fəi5	
脅	ɕie2	
膽	taⁿ3	
背	pəi1	~负
背	pəi5	后~
胎	tʰae1	
胖	pʰaŋ5	
胚	pʰəi1	
胡	fuᶹ2	
胸	ɕioŋ1	
能	nən2	
脆	tsʰuəi5	
腦	nɐɤ3	
脚	tɕio2	
脱	tʰo2	
臉	niæⁿ3	
臘	nᴀ2	
腐	fuᶹ3	
腔	tɕʰiaŋ1	
腥	ɕin1	
腮	sae1	
腿	tʰuəi3	
膨	pʰən2	
臂	pəi5	
臣	tsʰən2	
自	tsɿ5	
至	tsɿ5	
致	tsɿ5	
臻	tsən1	
臼	tɕʰiəu3	
舀	iɐɤ3	
舅	tɕiəu5	
舌	se2	
舍	se5	
舔	tʰiæⁿ3	
舞	vuᶹ3	
舵	to5	
船	tsʰuaⁿ2	
良	niaŋ2	
色	se2	
藝	ȵi5	
艾	ŋae5	
節	tɕie2	
芍	so2	
芥	tɕiae5	
花	xuᴀ1	
芳	faŋ1	
芽	iᴀ2	
莧	xaⁿ5	
苏	suᶹ1	
苗	miɐɤ2	
若	zo2	
苦	kʰuᶹ3	
英	in1	
茂	moŋ5	
范	faⁿ5	
茄	tɕʰie2	
茅	mɐɤ2	
莖	xən2	
繭	tɕiæⁿ3	
茶	tsʰᴀ2	
茸	zoŋ2	
荆	tɕin1	
草	tsʰɐɤ3	
荒	xuaŋ1	
榮	yn2	
葷	xuən1	
藥	io2	
荷	xo2	
莫	mo2	
获	xue2	
鶯	in1	
莽	maŋ3	
菜	tsʰae5	
菠	po1	
菱	nin2	
萌	moŋ2	
螢	yn2	
營	yn2	
蕭	ɕiɐɤ1	
落	no2	
葱	tsʰoŋ1	
葵	kʰuəi2	
蒙	moŋ2	
蒸	tsən1	
蓑	so1	
藍	naⁿ2	
蓬	pʰoŋ2	
蔡	tsʰae5	
蔽	pi5	
薛	ɕye2	
藕	ŋəu3	
虎	fuᶹ3	
虐	nio2	
虐	ȵio2	
慮	ny5	
虚	ɕy1	
蟲	tsʰoŋ2	
雖	ɕy1	
蝦	ɕiᴀ1	
蝕	sɿ2	
蟻	ȵi3	
蚊	uən2	
蠶	tsʰaⁿ2	
蛇	se2	
蛙	uᴀ1	
蠻	maⁿ2	
蛾	o2	
蜂	foŋ1	
蝸	o1	
蟬	saⁿ2	
融	ioŋ2	
蟒	maŋ3	
蟹	ɕiae5	文
蟹	xae3	白
蠢	tsʰuən3	
血	ɕye2	
行	ɕin2	
行	xaŋ2	
銜	xaⁿ2	
街	kae1	
衣	i1	
補	puᶹ3	
表	piɐɤ3	
衫	saⁿ1	
襯	tsʰən5	
衰	suae1	
襖	ŋɐɤ3	
袍	pʰɐɤ2	
袖	ɕiəu5	
袜	uᴀ2	
被	pi5	
裙	tɕʰyn2	
褲	kʰuᶹ5	
西	ɕi1	
要	iɐɤ5	
要	iɐɤ1	~求
見	tɕiæⁿ5	
觀	kuaⁿ1	
視	sɿ5	
覽	naⁿ3	
覺	tɕio2	
覺	tɕiɐɤ5	
覺	kɐɤ5	白,古孝切
角	tɕio2	
角	ko2	牛~
解	tɕiae3	
解	kae3	白,~开
觸	tso2	
言	iæⁿ2	
託	tʰo2	
話	xuᴀ5	
誰	suəi2	
譬	pʰəi5	
讎	tsʰəu2	
計	tɕi5	
認	zən5	
討	tʰɐɤ3	
讓	zaŋ5	
訓	ɕyn5	
議	ȵi5	
訊	ɕyn5	
講	tɕiaŋ3	
許	ɕy3	
訛	ŋo2	
論	nən2	~语
論	nən5	议~
諷	foŋ3	
設	se2	
識	sɿ2	
詐	tsᴀ5	
詞	tsʰɿ2	
譯	i2	
譯	ie2	
試	sɿ5	
詩	sɿ1	
誠	tsʰən2	
詭	kuəi3	
該	kae1	
詳	ɕiaŋ2	
誤	vuᶹ5	
説	so2	
誦	soŋ5	
請	tɕʰin3	
諸	tsuᶹ1	
諾	no5	
讀	tuᶹ2	
讀	to2	
課	kʰo5	
調	tʰiɐɤ2	~和
調	tiɐɤ5	~动,音~
談	tʰaⁿ2	
誼	ȵi2	
誼	ȵi5	
謀	moŋ2	
謊	xuaŋ3	
諧	ɕiae2	
謎	mi2	
謝	ɕie5	
謙	tɕʰiæⁿ1	
謬	miəu5	
譜	pʰuᶹ3	
豆	təu5	
象	ɕiaŋ5	
貌	mɐɤ5	
貝	pəi5	
貞	tsən1	
負	fuᶹ5	
責	tse2	
賢	ɕiæⁿ2	
敗	pae5	
質	tsɿ2	
販	faⁿ5	
貪	tʰaⁿ1	
貧	pʰin2	
貶	piæⁿ3	
貫	kuaⁿ5	
貳	ɚ5	
賤	tɕiæⁿ5	
貴	kuəi5	
貿	moŋ5	
費	fəi5	
賊	tse2	
賈	tɕiᴀ3	
賂	no2	
資	tsɿ1	
賒	se1	
賭	tuᶹ3	
賞	saŋ3	
賜	tsʰɿ5	
賠	pʰəi2	
賴	nae5	
贊	tsaⁿ5	
赤	tsʰɿ2	
赫	xe2	
走	tsəu3	
趙	tsɐɤ5	
起	tɕʰi3	
趁	tsʰən5	
超	tsʰɐɤ1	
越	ye2	
趣	tɕʰy5	
足	tɕio2	
跌	tie2	
跌	tʰie2	
跑	pʰɐɤ3	
跟	kən1	
跨	kʰuᴀ5	
跪	kuəi5	
路	nuᶹ5	
跳	tʰiɐɤ5	
踐	tɕiæⁿ3	
踐	tɕiæⁿ5	
踏	tʰᴀ2	
踢	tʰie2	
身	sən1	
車	tsʰe1	
車	tɕy1	~马炮
軋	tsᴀ2	
軌	kuəi3	
軒	ɕyæⁿ1	
轉	tsuaⁿ3	~变
轉	tsuaⁿ5	~动
輪	nən2	
軟	zuaⁿ3	
轟	xoŋ1	
輕	tɕʰin1	
轎	tɕiɐɤ5	
輒	tsʰe2	
輟	tɕye1	
輟	tsue2	
轍	tsʰe2	
辭	tsʰɿ2	
辟	pʰie2	
辣	nᴀ2	
辨	piæⁿ5	
辰	sən2	
辱	zuᶹ2	
辱	zo2	
邊	piæⁿ1	
達	tᴀ2	
迅	ɕyn5	
過	ko5	
邁	mae5	
迎	in2	
運	yn5	
近	tɕin5	
還	xuaⁿ2	~原
遠	yæⁿ3	
連	niæⁿ2	
遲	tsʰɿ2	
迫	pʰe2	
迷	mi2	
迸	pin5	
追	tsuəi1	
退	tʰuəi5	
送	soŋ5	
適	sɿ2	
逆	ȵie2	
選	ɕyæⁿ3	
透	tʰəu5	
逐	tsuᶹ2	
通	tʰoŋ1	
速	ɕio2	
造	tsʰɐɤ5	
進	tɕin5	
逸	i2	
逼	pie2	
遁	tən5	
遂	ɕy5	
遇	y5	
遍	pʰiæⁿ5	
道	tɐɤ5	
遺	i2	
遵	tsən1	
邑	i2	
邑	ie2	
鄧	tən5	
那	nᴀ5	
邦	paŋ1	
邪	ɕie2	
鄰	nin2	
郁	io2	
郎	naŋ2	
鄭	tsən5	
部	puᶹ5	
都	tuᶹ1	~城,~是
都	təu1	~是
鄙	pʰi3	
酌	tso2	
配	pʰəi5	
酒	tɕiəu3	
酣	xaⁿ1	
酵	ɕiɐɤ5	
酷	kʰo2	
酸	suaⁿ1	
醃	iæⁿ1	
醉	tsuəi5	
醋	tsʰuᶹ5	
醜	tsʰəu3	
里	ni3	
重	tsoŋ5	
野	ie3	
金	tɕin1	
鐘	tsoŋ1	
釘	tin1	~子
釘	tin5	装~
釣	tiɐɤ5	
欽	tɕʰin1	
錢	tɕʰiæⁿ2	
鉗	tɕʰiæⁿ2	
鐵	tʰe2	
鐵	tʰie2	
鉛	yæⁿ2	
鍘	tsᴀ2	
鏟	tsʰuaⁿ3	
銀	in2	
鋪	pʰuᶹ1	~设
鋪	pʰuᶹ5	店~
鎖	so3	
鋤	tsʰuᶹ2	
鍋	ko1	
銼	tsʰo5	
鋒	foŋ1	
銳	zuəi5	
錯	tsʰo5	
錐	tsuəi1	
鍬	tɕʰiɐɤ1	
鐲	tsuᶹ2	
長	tsʰaŋ2	1
長	tsaŋ3	2
閂	suaⁿ5	
關	kuaⁿ1	
門	mən2	
閃	saⁿ3	
閉	pi5	
問	uən5	
閏	zuən5	
闲	ɕiæⁿ2	
間	tɕiæⁿ1	
間	kaⁿ1	白,房~
悶	mən5	
悶	mən1	口
閘	tɕiᴀ2	
鬧	nɐɤ5	
聞	uən2	
鬮	iæⁿ1	
閲	ye2	
閻	ȵiæⁿ2	
闊	kʰue2	
隊	tuəi5	
阮	zuaⁿ3	
防	faŋ2	
陽	iaŋ2	
陣	tsən5	
階	kae1	
阿	o1	
附	fuᶹ5	
陸	nuᶹ2	
陸	no2	
陳	tsʰən2	
降	ɕiaŋ2	投~
限	ɕiæⁿ5	
陝	saⁿ3	
院	uaⁿ5	
院	yæⁿ5	
除	tsʰuᶹ2	
險	ɕiæⁿ3	
陪	pʰəi2	
陵	nin2	
陷	xaⁿ5	
隆	noŋ2	
隨	suəi2	
隱	in3	
隨	suəi2	
隶	ti5	
隻	tsɿ1	
難	naⁿ2	~易
難	naⁿ3	灾~
雀	tɕʰio2	
雁	ŋaⁿ5	
雁	iæⁿ5	
雄	ɕioŋ2	
集	tɕie2	
雌	tsʰɿ1	
雍	ioŋ1	
雨	y3	
雪	ɕye2	
雲	yn2	
零	nin2	
雷	nuəi2	
雹	pɐɤ1	
霧	vuᶹ5	
霍	xo2	
霜	suaŋ1	
霞	ɕiᴀ2	
霸	pᴀ5	
靈	nin2	
靜	tɕin5	
非	fəi1	
靠	kʰɐɤ5	
面	miæⁿ5	
革	ke2	
靴	ɕye1	
鞋	xae2	
韌	zən3	
音	in1	
頂	tin3	
頃	tɕʰyn3	
項	xaŋ5	
順	suən5	
须	ɕy1	
頓	tən5	
頗	pʰo3	
頸	tɕin3	
頽	tʰuəi2	
題	tʰi2	
額	ŋe2	
顫	tsaⁿ5	
風	foŋ1	
飄	pʰiɐɤ1	
飛	fəi1	
食	sɿ2	
餐	tsʰaⁿ1	
餘	y2	
飯	faⁿ5	
飾	sɿ5	
飽	pɐɤ3	
饒	zɐɤ2	
餓	ŋo5	
餓	o5	
首	səu3	
香	ɕiaŋ1	
馬	mᴀ3	
驢	nuᶹ2	
駕	tɕiᴀ5	
駡	mᴀ5	
驕	tɕiɐɤ1	
驗	ȵiæⁿ5	
騾	no2	
驟	tsʰəu5	
骨	kuᶹ2	
高	kɐɤ1	
髮	fᴀ2	
鬆	soŋ1	
鬥	təu5	
鬱	io2	
鬼	kuəi3	
魂	xuən2	
魚	y2	
鮮	ɕyæⁿ1	
鰥	kuaⁿ1	
鳥	ȵiɐɤ3	
雞	tɕi1	
鴉	iᴀ1	
鴨	iᴀ2	
鴿	ko2	
鸞	nuaⁿ2	
鵝	ŋo2	
鶴	xo2	
鹹	xaⁿ2	
鹿	nuᶹ2	
麥	me2	
麻	mᴀ2	
黃	xuaŋ2	
黍	suᶹ3	
黑	xe2	
鼠	suᶹ3	
鼻	pi2	
齊	tɕʰi2	
齒	tsʰɿ3	
龍	noŋ2	
龜	kuəi1	
