#漢字	音標	解釋
㪗	tʰɯ3	展开，〜气
倍	bᴇi2	
倒	tɤ5	~水
倒	tɤ5	打〜，颠〜
倔	tɕʰyeʔ7	〜强
倘	tʰɔ3	~使
候	ɦɯ6	
倚	i1	
借	tɕia5	
倡	tsʰɔ5	提〜
倦	dʑy6	
倪	ȵi2	
倭	uᴇi1	
債	tsa5	
值	dʑieʔ8	
傾	tɕʰiŋ1	
假	tɕia1	2真〜,文
假	ko5	2放〜.白
假	tɕia5	放〜,文
假	ko1	真~，白
偏	pʰi1	
做	tsʊ5	
停	dʑiŋ6	
健	dʑi6	
偶	ŋɯ2	
偷	tʰɯ1	
償	zɔ2	
傀	kʰuᴇi1	~儡
傅	fu5	太~
傅	vu2	姓氏
傍	bɔ2	
傢	tɕia1	〜具
儲	zʮ2	〜蓄
催	tsʰᴇi1	
傲	ŋɤ6	
傻	sa5	
像	ʑia4	
僧	saŋ1	
僵	tɕia1	
僻	pʰieʔ7	
儒	sʮ1	
儡	lᴇi2	傀〜
兒	ɚ2	文
兒	ŋ̍2	白
允	yoŋ4	
元	ȵy2	
兄	ɕyoŋ1	
充	tsʰoŋ1	
兆	dʑiɤ6	
先	ɕi1	
光	kuɔ1	
克	kʰɐʔ5	
免	mi4	
兑	dᴇi6	
兔	tʰu5	
黨	tɔ3	
兜	tɯ1	
入	ʑyeʔ8	
全	dzø2	
八	pɐʔ7	
公	koŋ1	
六	lɔʔ8	
兮	ɕi1	
蘭	lɛ2	
共	ɡoŋ6	
關	kuɛ1	
興	ɕiŋ5	~旺
興	ɕiŋ5	高~
兵	piŋ1	
其	dʑi2	
具	dʑy2	
典	tɕie3	
兹	tsɿ1	
養	ia3	
兼	tɕi1	
獸	ɕiu1	
冀	tɕi5	
内	nᴇi6	
岡	kɔ5	
冉	zø2	
册	tsʰɐʔ5	
再	tse5	
冒	mɤ6	
寫	ɕia3	
軍	tɕyoŋ1	
農	noŋ2	
冠	kuᴇi5	~军
冠	kuᴇi1	衣〜
冢	tsoŋ5	
冤	y1	
冬	toŋ1	
馮	voŋ6	
冰	piŋ1	
冲	tsʰoŋ1	
決	tɕyeʔ7	
况	huɔ1	
冷	la4	
凍	toŋ5	
淨	ʑiŋ6	
準	tsoŋ3	
涼	ia2	
凌	iŋ2	
減	kɛ3	
湊	tsʰɯ5	
凝	ȵiŋ2	
几	tɕi1	~乎
几	tɕi1	~个
几	tɕi1	茶~
凡	vɛ2	
鳳	voŋ6	
凭	biŋ2	
凱	kʰɛ5	
凳	taŋ5	
凶	ɕyoŋ1	
出	tɕʰyeʔ7	
擊	tɕieʔ7	
函	ɦei4	
刀	tɤ1	
刁	tɕiɤ1	
刃	zoŋ6	
分	faŋ1	~开
切	tɕʰieʔ7	~开
刊	kʰei1	
刑	ʑiŋ2	
划	ɦuɐʔ8	
列	ieʔ8	
劉	iu2	
則	tsɐʔ5	
剛	kɔ1	
創	tsʰɔ5	
初	tʰu1	
删	sɛ1	
判	pʰø5	
刨	bɤ2	
刨	bɤ2	〜地
利	i2	
别	bieʔ8	
刮	kuɐʔ7	
到	tɤ5	
制	tsʮ5	
刷	sɔʔ7	
券	tɕʰy3	
刺	tsʰɿ5	
刻	kʰɐʔ5	时〜
刻	kʰɐʔ5	用刀~
劊	kuᴇi5	
刴	to5	
剃	tɕʰi5	
削	ɕieʔ7	
前	ʑi2	
剮	kua1	
劍	tɕi5	
剔	tɕʰieʔ7	
剖	pʰʊ1	
剝	pɔʔ7	
劇	dʑieʔ8	
剩	dʑiŋ6	
剪	tɕi3	
副	fu5	
割	kɐʔ5	
剿	dzɤ2	
劈	pʰieʔ7	
力	ieʔ8	
勸	tɕʰy5	
辦	bɛ6	
功	koŋ1	
加	tɕia1	2文
加	ko1	白
務	vu6	
劣	ieʔ8	
動	doŋ4	
助	du6	阳声韵
努	nu4	
劫	tɕieʔ7	
勵	i5	
勁	tɕiŋ5	~敌
勁	dʑiŋ4	有~
勞	lɤ4	
勢	sʮ5	
勃	bɔʔ8	
勇	yoŋ3	
勉	mi4	
勳	ɕyoŋ1	
勒	lɐʔ8	
勘	kʰɛ5	~误,~探
募	mʊ6	
勤	dʑiŋ2	
勺	dzɔʔ8	〜子
勾	kɯ1	
勾	kɯ5	勾当
勿	vɐʔ8	
匀	yoŋ2	
包	pɤ1	
匆	tsʰoŋ1	
化	ho5	
北	pɔʔ7	
匙	zɿ2	汤~，钥~
匠	dʑia6	
匡	kʰɔ5	
匣	tɕieʔ7	箱~
匪	fi1	
匹	pʰieʔ7	一~布,一~马
區	tɕʰy1	〜域
醫	i1	
匾	pi3	
匿	ȵieʔ8	
十	ʑyeʔ8	
千	tɕʰi1	
升	ɕiŋ1	
午	vu4	
半	pø5	
華	ɦo2	〜山，姓
華	ɦo2	中~
協	ieʔ8	
卑	pᴇi5	
卒	tsɐʔ5	兵〜
卓	tɕyeʔ7	
單	tɛ1	单〜
單	zø2	姓
賣	ma6	
南	nei2	
博	pɔʔ7	
卜	bɔʔ8	
占	tɕi5	
占	tɕi5	〜卜
盧	lu2	
卤	lu4	
卦	ko5	
臥	ŋʊ6	
衛	uᴇi6	
卯	mɤ2	
印	iŋ5	
危	uᴇi2	
即	tɕieʔ7	
卻	tɕʰieʔ7	
卵	lʊ2	
卷	tɕy3	
卷	tɕy3	~起
卸	ɕia5	
卿	tɕʰiŋ1	
廠	tɕʰia5	
廳	tɕʰiŋ1	
历	ieʔ8	
厲	i5	
壓	ɐʔ5	
厭	i6	
廁	tsʰɿ5	~所.茅~
厘	i2	
厚	ɦɯ4	
原	ȵy2	
廂	ɕia1	
厥	tɕʰyeʔ7	
厦	sa5	2偏~，前廊后~，白
厦	ɕia5	2~门
厦	ɦo6	〜门,白
厦	ɕia5	偏〜，前廊后〜,文
廚	dzʮ2	
厮	sɿ1	
去	tɕʰi5	2来〜~皮
去	tɕʰy5	来〜，〜皮，文
縣	y2	
参	tsʰei1	2〜差
参	tsʰɛ1	~差
参	saŋ1	人~
又	iu6	
叉	tsʰo1	
及	dʑieʔ8	
友	iu4	
雙	sɔ1	
反	fɛ1	
发	fɐʔ5	
叔	ɕyeʔ7	
取	tsʰʮ5	
受	ʑiu4	
變	pi5	
敍	zʮ4	
叛	bø6	
叟	sɯ5	
疊	dʑieʔ8	
口	kʰɯ3	
古	ku1	
句	tɕy5	
另	iŋ6	
叨	tɤ1	唠〜
叩	kʰɯ5	叩头
只	tsɐʔ5	
只	tsɿ3	〜有
叫	tɕiɤ5	
召	ʑiɤ6	
可	kʰʊ1	
台	de2	
台	tʰe1	天〜，〜州
史	sɿ3	
右	iu6	
葉	ieʔ8	
號	ɦɤ6	~数
號	ɦɤ2	呼〜
司	sɿ1	
嘆	tʰɛ5	
吁	y1	
吃	tɕʰyɔʔ7	
各	kɔʔ7	
吆	iɤ1	~喝
合	ɦɐʔ8	
合	ɦɐʔ8	十~一升
吉	tɕieʔ7	
吊	tɕiɤ5	
同	doŋ2	
名	miŋ2	
后	ɦɯ4	
吏	i4	
吐	tʰu3	〜痰
吐	tʰu3	呕~
向	ɕia5	
嚇	hɐʔ5	~一跳
嚇	hɐʔ5	恐〜
呂	i2	
君	tɕyoŋ1	
吝	iŋ6	~啬
吞	tʰaŋ1	
吟	iŋ2	
否	fɯ1	
含	ɦei4	
聽	tɕʰiŋ5	~见，〜话
聽	tɕʰiŋ5	~其自然，~任
啓	tɕʰi1	
吳	vu2	
吵	tsʰɤ3	
吸	ɕieʔ7	
吹	tsʰᴇi1	2白
吹	tsʰʮ1	文
呆	ŋe2	
呈	dʑiŋ2	
告	kɤ5	
嘔	ɯ1	〜吐
員	y2	
周	tɕiu1	
味	vi2	
呼	fu5	
命	miŋ6	
和	ɦʊ4	~面
和	ɦʊ2	〜气
咎	tɕiu5	
詠	yoŋ3	
咒	tɕiu5	
咨	tsɿ1	
咬	ŋɤ4	
咳	kʰɐʔ5	〜嗽
咸	ɦɛ2	
咽	i6	
哀	e1	
品	pʰiŋ3	
哄	hoŋ5	
哄	hoŋ3	~骗
哈	hɐʔ5	~一下腰
響	ɕia1	
啞	ia1	2文
啞	o1	白
哥	kʊ1	
哪	na2	
哭	kʰɔʔ7	
哲	tɕieʔ7	
唆	sʊ1	啰~
脣	zoŋ2	
唐	dɔ2	
嘮	lɤ4	〜叨
喚	huᴇi5	
售	dʑiu2	
唯	vi2	
唱	tsʰɔ5	
啄	tsɔʔ7	
商	sɔ1	
嗇	sɐʔ5	吝~
囉	lʊ2	~嗦
啼	dʑi2	
喂	y5	
善	zø2	
喉	ɦɯ2	
喊	hɛ5	
喘	tsʰø1	
喜	ɕi3	
喝	hɐʔ5	〜酒
喝	ɦɐʔ8	〜采,吆〜
喧	sø1	
噴	pʰaŋ1	~水
喻	y2	
嗅	ɕyoŋ5	用鼻~
嗓	sɔ1	
嗜	sʮ1	
嗣	sɿ5	
嗽	sɯ5	咳~
嘉	tɕia1	2文
嘉	tɕyɔ1	白
嘘	ɕy1	吹~
嘴	tsʮ3	2白
嘴	tsᴇi3	文
噎	ieʔ7	〜住了
器	tɕʰi5	
囂	ɕiɤ1	
嚷	ȵia4	
嚼	ʑieʔ8	
囊	nɔ2	
囚	dʑiu2	
四	sɿ5	
回	ɦuᴇi2	
因	iŋ1	
团	dø2	
囤	daŋ2	
囥	kʰɔ5	藏
園	y2	
困	kʰuaŋ5	
囱	tsʰoŋ1	烟~
圍	uᴇi2	
固	ku5	
國	kɔʔ7	
圖	du2	
圓	y2	
圈	tɕʰy3	圆〜
圈	tɕʰy3	猪〜
土	tʰu3	
聖	ɕiŋ5	
在	tse5	
圭	kʰuᴇi5	
地	dʑi6	
場	dʑia2	
址	tsɿ3	
均	tɕyoŋ1	
坍	tʰɛ1	〜下来
坎	kʰɛ3	
壞	ua1	2白
壞	ɦuɛ6	文
坐	zʊ4	
坑	kʰaŋ1	
塊	kʰuᴇi1	
堅	tɕi1	
坛	dɛ2	
壩	po5	堤
壩	po5	平川
塢	u1	
墳	vaŋ2	文
墜	tsᴇi1	与墮异
坡	pʰʊ5	
坤	kʰuaŋ1	
坦	tʰɛ5	
坪	biŋ2	
坯	pʰᴇi5	土~
坳	ɤ5	山〜
垂	zᴇi2	
壠	loŋ2	
型	ʑiŋ2	
垒	lᴇi6	
垜	do6	柴〜
墾	kʰaŋ3	
墊	dʑie6	
垮	kʰua5	
埂	ka3	田〜
埃	a1	尘〜
埋	mɛ2	
城	dʑiŋ2	
域	yeʔ8	
埠	bu6	商〜
培	bᴇi2	
基	tɕi1	
堂	dɔ2	
堆	tᴇi3	
堡	pɤ3	
堤	tɕi1	
堪	kʰɛ3	
堰	i5	
堵	tu3	
塌	tʰɐʔ5	
塍	ʑiŋ2	田~
塑	sɔʔ7	2~像,白
塑	su5	〜像,文
塔	tʰɐʔ5	
塘	dɔ2	
塞	sɐʔ5	
填	dʑi2	
境	tɕiŋ1	
墓	mʊ6	
牆	dʑia2	
增	tsaŋ1	
墟	ɕy5	〜市
墨	mɔʔ8	
墩	taŋ1	
壁	pieʔ7	
壕	ɦɤ2	
壤	ȵia4	土~
士	zɿ4	
壬	ʑiŋ2	
壯	tsɔ5	
聲	ɕiŋ1	
殼	kʰɔʔ7	
壺	vu2	
處	tsʰʮ1	~所
處	tsʰʮ1	相〜
備	bᴇi2	
复	fɔʔ7	
复	vɔʔ8	〜原，〜辟
夏	ɕia5	2姓
夏	ɦo6	姓,白
夏	ɦo6	春〜
夕	ɕi1	
夕	ʑieʔ8	2
外	uɛ6	2文
外	ŋa6	白
多	tʊ1	
夜	ia6	2白
夜	ie6	文
够	kɯ5	
大	da6	2文
大	dʊ6	3
大	da6	~夫;〜黄，药名
天	tɕʰi1	
太	tʰa5	
夫	fu5	
央	ia1	
失	ɕyeʔ7	
頭	dɯ2	
夷	i2	
夸	kʰua5	
夾	ɡɐʔ8	2
夾	kɐʔ5	
奪	dɐʔ8	
奇	dʑi2	
奈	nɛ2	
奉	vaŋ2	
奮	faŋ5	
奎	kʰuᴇi1	
奏	tsɯ5	
契	tɕʰi1	〜约
奔	paŋ5	
獎	tɕia1	
套	tʰɤ5	
奚	ɕi1	
奠	dʑi6	
奢	sʮ1	
奧	ɤ6	
女	ȵy4	
奴	nu2	
奶	na4	2牛~
奶	nɛ1	奶〜
奸	kɛ1	
好	hɤ3	~坏
好	hɤ5	喜~
如	zʮ2	
妃	fi1	
妄	vɔ6	2文
妄	mɔ6	白
婦	vu2	
媽	ma1	
妒	tu5	
妓	dʑi2	
妖	iɤ1	
妙	miɤ5	
妥	tʰʊ1	
妨	fɔ1	~害
妹	mᴇi1	
妻	tɕʰi1	
妾	tɕʰieʔ7	
姊	tɕi3	
始	sɿ3	
姐	tɕi3	
姐	tɕia3	文2
姑	ku1	
姓	ɕiŋ5	
委	uᴇi1	
姘	pʰiŋ1	~头
姚	iɤ2	
姜	tɕia1	
姨	i2	
姻	iŋ1	
姿	tsɿ1	
威	uᴇi1	
嬌	tɕiɤ1	
娘	ȵia2	
娠	soŋ1	
娩	mi4	分〜
娛	nu2	
娛	vu2	〜蚣,文
娶	tsʰʮ3	
婆	bʊ2	
婚	huaŋ1	
婢	bi2	
嬰	iŋ1	
嬸	ɕiŋ1	
婿	ɕi1	女〜
媒	mᴇi4	
媚	mᴇi2	
媚	uᴇi2	2
媳	ɕieʔ7	
嫁	tɕia5	2文
嫁	ko5	白
嫂	sɤ1	
嫖	biɤ2	~赌
嫡	tɕieʔ7	
嫩	ȵaŋ6	
嬉	ɕi1	
孀	sɔ1	
子	tsɿ3	
孔	kʰoŋ1	
孕	yoŋ2	
字	zɿ6	
存	dzaŋ2	
孫	saŋ1	
孝	ɕiɤ5	
孟	ma6	
季	tɕi5	
孤	ku1	
學	ɦɔʔ8	
孩	ɦe2	
孽	ȵieʔ8	
寧	ȵiŋ2	~可
寧	ȵiŋ2	安~，沪〜
宅	tsa5	
宇	y2	
守	ɕiu3	
安	ei1	
宋	soŋ5	
完	uᴇi2	
宏	ɦoŋ2	
宗	tsoŋ1	
官	kuᴇi1	
宙	dʑiu2	
定	dʑiŋ6	
宛	uᴇi3	
宜	ȵi2	
寶	pɤ3	
實	ʑyeʔ8	
寵	tsʰoŋ3	
審	soŋ1	
客	kʰɐʔ5	
宣	sø1	
室	ɕyeʔ7	
宦	ɦuɛ6	
宪	ɕi1	
宮	koŋ5	
宰	tsɛ1	
害	ɦe6	
宴	i6	
宵	ɕiɤ1	
家	tɕia1	2文
家	ko1	白
容	yoŋ2	
寬	kʰuᴇi1	
賓	piŋ1	
宿	sɔʔ7	
宿	ɕiu5	星~
寂	tɕi5	2
寂	dʑieʔ8	
寄	tɕi5	
寅	iŋ2	
密	mieʔ8	
寇	kʰɯ5	
富	fu5	
寐	mᴇi6	
寒	ɦei2	
寓	ȵy6	
寢	tɕʰiŋ1	
寞	mɔʔ8	
察	tsʰɐʔ5	
寡	kua1	
寥	iɤ2	
寨	za2	
寸	tsʰaŋ5	
對	tᴇi5	
寺	sɿ5	
尋	ʑiŋ2	
導	dɤ2	
壽	ʑiu6	
封	foŋ1	
射	ʑieʔ8	
將	tɕia1	〜来
將	tɕia5	大〜
尊	tsaŋ1	
小	ɕiɤ3	
少	sa3	2多~
少	ɕiɤ1	~年
少	ɕiɤ1	多~
尔	ɚ2	
尖	tɕi1	
塵	dʑiŋ2	
尚	zɔ6	
嘗	zɔ2	
尤	iu2	
堯	ȵiɤ4	
尬	ka1	尴~
就	dʑiu6	
尷	kɛ1	〜粮
屍	sɿ1	
尹	i6	2
尹	yoŋ4	
尺	tsʰɐʔ5	
尼	ȵi2	
尽	dʑiŋ4	
尾	vi2	
尿	sʮ1	2
尿	ȵiɤ4	
局	dʑyeʔ8	
屁	pʰi5	
層	zaŋ2	
居	tɕy1	
屈	tɕʰyeʔ7	
屆	ka5	
屋	ɔʔ7	
屎	sɿ1	
屏	biŋ2	围~
屑	ɕiɤ1	不〜
屑	ɕiɤ1	木~
展	tɕi5	
屬	ʑyeʔ8	
屠	du2	
屢	lɯ4	
屯	daŋ2	
山	sɛ1	
歲	sᴇi5	
豈	tɕʰi5	
岐	dʑi2	
岑	dzaŋ2	
岔	tsʰo5	三〜路
崗	kɔ5	
島	tɤ5	
巖	ŋɛ2	
嶺	iŋ2	
岳	ŋɔʔ8	
岸	ŋei6	
峽	tɕieʔ7	
峰	foŋ1	
崇	dzoŋ2	
崔	tsʰᴇi1	姓
崖	ia2	山~
崩	ba2	
嵌	kʰɛ5	
嵩	soŋ5	
川	tsʰø1	
州	tɕiu1	
巡	zoŋ2	
巢	dzɤ2	
工	koŋ1	
左	tsʊ3	
巧	tɕʰiɤ3	
巨	dʑy6	
鞏	koŋ5	~固
差	tsʰo1	2~别,〜不多.白
差	tsʰa1	~别，~不多,文
差	tsʰa1	出~
差	tsʰɿ1	参〜
己	tɕi5	
已	i6	
巳	zɿ4	辰~
巴	po5	2白
巴	pa1	文
巷	ɕia5	2文
巷	kɔ3	白
巾	tɕiŋ1	
幣	bi6	
市	zɿ4	
布	pu5	
帥	sᴇi5	
帆	vɛ2	
師	sɿ1	
希	ɕi1	
帳	tɕia5	
帕	pʰa5	
帖	tɕʰieʔ7	碑~,请~
帘	i2	
帚	tɕiu1	
帝	tɕi5	
帶	ta5	
席	ʑyeʔ8	2~子
席	ʑieʔ8	主〜
幫	pɔ1	
常	dzɔ2	
帽	mɤ6	
幅	fɔʔ7	
幔	mɛ4	
幕	mɔʔ8	
干	kei1	
平	biŋ2	
年	ȵi2	
并	biŋ2	
并	piŋ3	合~
幸	iŋ6	
幻	ɦuɛ2	
幼	iu5	
幽	iu5	
廣	kuɔ3	
莊	tsɔ1	
慶	tɕʰiŋ5	
庇	pi5	
牀	zɔ2	
序	zʮ4	
廬	lu2	茅~.~山
庫	kʰu5	
應	iŋ1	~当,~用
應	iŋ1	~对,响~
底	tɕi3	
店	tɕie5	
廟	miɤ5	
庚	kaŋ1	
府	fu3	
龐	bɔ2	
廢	fi5	
度	du6	
座	zʊ4	
庭	dʑiŋ2	
庵	i1	
庶	sʮ5	
康	kʰɔ1	
庸	yoŋ2	
廉	i2	
廊	lɔ6	
廓	kʰɔʔ7	
延	i2	
廷	dʑiŋ2	
建	tɕi5	
開	kʰe1	
异	i6	
弃	tɕʰi5	
弄	loŋ6	
弊	bi6	
式	ɕieʔ7	
弓	koŋ5	
引	iŋ4	
弘	ɦoŋ2	
弟	dʑi4	
張	tɕia1	
弥	mi2	
弦	i2	
彎	uɛ1	
弱	ʑieʔ8	
彈	dɛ6	子〜
彈	dɛ2	弹〜
强	dʑia2	
强	tɕʰia1	勉〜，倔〜
彀	kɯ5	住上~
歸	kuᴇi1	
當	tɔ5	~时，应~
當	tɔ5	~作，典~
录	lɔʔ8	
形	ʑiŋ2	
彩	tsʰe5	
彪	piɤ1	
彬	piŋ1	
彭	ba2	
影	iŋ3	
役	ieʔ8	
徹	tɕʰieʔ7	
彼	pi3	
往	uɔ4	
征	tɕiŋ1	
征	tɕiŋ1	〜求
徑	tɕiŋ1	
待	de6	
很	haŋ3	
律	ieʔ8	
徐	ʑi2	
徒	du2	
得	tɐʔ5	
徜	dʑi2	
御	y2	
循	zoŋ2	
微	vi2	
德	tɐʔ5	
徽	huᴇi1	
心	ɕiŋ1	
必	pieʔ7	
憶	i5	
忌	dʑi6	
忍	zoŋ4	
忒	tʰɐʔ5	〜杀.~好
忖	tsʰaŋ3	
志	tsɿ5	
忘	vɔ6	2文
忘	mɔ6	白
忙	mɔ2	
忠	tsoŋ1	
憂	iu1	
快	kʰua5	
念	ȵie6	
忽	huɐʔ7	
懷	ɦuɛ6	
態	tʰe5	
慪	ɯ5	~气
怒	nu6	
怕	pʰo5	
怖	bu6	恐〜
憐	i2	
思	sɿ1	
怠	de6	
急	tɕieʔ7	
性	ɕiŋ5	
怨	y5	
怪	kua5	
怯	tɕʰieʔ7	畏怯
總	tsoŋ1	
恃	zɿ4	
戀	i2	
恐	kʰoŋ5	
恆	ɦaŋ2	
恕	sʮ5	
恢	huᴇi1	
恤	ɕyeʔ7	
恨	ɦaŋ6	
恩	aŋ1	
恭	koŋ1	
息	ɕieʔ7	
恰	ɕia5	
懇	kʰaŋ3	
恶	ɔʔ7	
惱	nɤ4	
悄	tɕʰiɤ1	静~~
悄	ɕiɤ1	静~~
悉	ɕieʔ7	
悔	huᴇi1	
悟	nu6	
悠	iu1	~~
患	ɦuɛ6	
悦	yeʔ8	
懸	y2	
憫	miŋ2	
悲	pᴇi1	
情	dʑiŋ2	
驚	tɕiŋ1	
惑	ɦɔʔ8	
惜	ɕieʔ7	
惟	vi2	
惠	ɦuᴇi6	
懼	dʑy2	
慘	tsʰɛ3	
懲	dʑiŋ2	
慚	dzɛ2	
慣	kuᴇi5	
惰	dʊ4	
想	ɕia3	
惹	ʑieʔ8	
愁	zɯ2	
愈	y6	~好.病〜
愉	y6	
意	i5	
愚	ȵy2	
感	kei3	
憤	vaŋ6	
愧	kuᴇi1	
願	ȵy6	
慈	dzɿ2	
慌	huɔ1	
慎	zoŋ4	
慕	mʊ6	
慢	mɛ6	
慧	ɦuᴇi6	
慨	kʰe5	慷〜,感〜
慰	uᴇi5	
慷	kʰɔ1	〜慨
憋	pieʔ7	
憎	tsaŋ1	
憠	tɕʰyeʔ7	脾气~
憨	hei1	痴
憾	ɦei6	
懂	toŋ3	
懊	ɤ6	〜恼
懊	ɤ6	〜悔
懶	lɛ4	
懵	moŋ2	~懂
戈	kɐʔ5	
戎	ȵyoŋ2	
戲	ɕi5	
成	dʑiŋ2	
我	ŋʊ4	
戒	ka5	2白
戒	tɕie5	文
或	ɦɔʔ8	
戰	tɕi5	2
戰	tsø5	
戚	tɕʰieʔ7	
截	dʑieʔ8	
戳	tsʰɔʔ7	
戴	te53	
戶	vu2	
房	vɔ2	
所	sʊ1	
扁	pi3	
扇	ɕi5	
手	ɕiu3	
才	dze6	
扎	tsɐʔ5	
扑	pʰɔʔ7	
打	ta3	
扔	dʑiŋ2	
托	tʰɔʔ7	
扛	ɡɔ2	
扣	kʰɯ5	扣住
執	tɕieʔ7	
擴	kʰɔʔ7	~充
掃	sɤ3	
揚	ia2	
扭	ȵiu4	
扮	pɛ5	
扯	tsʰo3	
擾	ȵiɤ4	
扳	pɛ1	
扳	pʰɛ1	
扶	vu6	
批	pʰi1	
扼	ɐʔ5	
承	dʑiŋ2	
技	dʑi2	
抄	tsʰɤ1	略取,〜写
把	po5	
把	po3	~握,~守
抑	i5	
抓	tsa1	
投	dɯ2	
抖	tɯ3	
抗	kʰɔ1	
折	tɕieʔ7	~叠
折	tɕieʔ7	~断
折	ʑieʔ8	弄~了
撫	vu2	
抛	pʰɤ5	
摳	kʰɯ1	
搶	tɕʰia3	
