#漢字	音標	解釋
㵺	pʰai2	竹排
士	si6	~兵
壬	jiɐŋ2	天干,庚辛壬癸
壯	tsoŋ5	强~
壺	fu2	水~
壽	sɐu6	长~
夏	ha6	姓
夏	ha6	春~秋冬
外	vui6	~面
多	to1	~少
夜	jiɛ6	日~,~班
够	kɐu5	足~
夥	fu3	合~,~计
大	tai6	~夫,~黄
大	tai6	大小
天	tʰin1	~才
太	tʰai5	老~婆
夫	fu1	~妻,车~
夭	jiu1	~折
央	jiøŋ1	中~台,党中~[文]
央	jiøŋ1	中~(中间)[白]
失	sɐt7a	~去,丧~
夷	ji2	化险为~,蛮~
夾	kaʔ7b	夹子;~心饼干
奇	kʰɐi2	~怪
奈	nui6	无~,~何
奎	kuɔi1	人名用字;~宁(药名)
奏	tsɐu5	节~
契	kʰɔi5	房~,~约
奔	pɐn1	~跑,东~西走
套	tʰɐu5	配~,~房
奚	hai1	~落
奠	tin6	~基
奢	tsʰiɛ1	~侈
奧	nɐu5	~妙,~运会
奪	tit8a	~取
奮	fɐn5	~斗
女	nui5	女人
奴	nɐu2	~隶
奶	nai7a	二~,~牛
奸	kæŋ1	~诈,~臣
好	hɐu3	~人
好	hɐu5	爱~
如	ji2	~果,假~
妃	fɐi6	贵~
妄	boŋ5	狂~,痴心~想
妓	kɐi6	~女
妖	jiu1	~怪
妙	biu6	~计
妝	tsoŋ7a	化~
妥	tʰu3	~当
妨	foŋ1	~碍
妬	tɐu6	~忌
妹	bui6	妹妹,姊~,老~
妻	tsʰɔi1	夫~
妾	tsʰit7b	小老婆
姊	tsiɛ3	~妹
始	si3	开~,~终
姐	tsiɛ3	小~[文]
姐	tsiɛ3	姐姐[白]
姑	ku1	大~
委	vɔi3	~托,常~
姚	jiu2	姓,~明
姜	kiøŋ1	姓,孟~女,~太公
姨	ji2	大~,~丈
姪	tsɐʔ8a	~子
姻	jɐn1	婚~
姿	tsɐi1	~势
威	vɔi1	~风,~胁
娃	va1	洋~~
娘	niøŋ2	姑~
娛	ji2	~乐
娠	sɐn2	妊~反应
娩	bin5	分~
娶	tsʰui3	嫁~
婆	pʰu2	老~
婚	fɐn1	结~
婢	pɐi5	奴~,~女
婦	fu6	~女[文]
婦	pʰɐu5	新~(儿媳)[白]
婿	sɔi5	女~
媒	bui2	~人
媚	bɐi2	~眼,妩~;人名用字
媳	sɐk8b	~妇,婆~
媽	ma7a	妈妈
媽	ma5	~祖
嫁	ka5	~人
嫂	sɐu3	大~
嫌	hin2	~弃,~人
嫖	pʰiu2	~娼
嫩	lin6	不老
嬉	hɐi3	玩,~戏
嬌	kiu1	~气,做~(撒娇)
嬸	saŋ3	叔母,大~
孀	siøŋ1	遗~
子	tsɐi3	~孙;孔~
孕	jiɐn6	怀~,~妇
字	tsɐi6	~典,文~
存	tsʰin2	~在,~折,储~
孝	hau5	~顺
孟	bæŋ6	姓,~姜女
季	kuɔi5	四~,~节
孤	ku1	~儿,~单
孩	hai2	~童
孫	sin1	姓;子~
孵	pou6	孵小鸡
學	hok8a	数~,~习
孽	jit8a	造~
宇	ji5	~宙
守	sɐu3	看~所,保~
安	uəŋ1	公~,~全
完	jin2	~全[文]
完	jin2	用~,食~[白]
官	kəŋ1	~司,当~
宙	tsɐu6	宇~
宜	ji2	适~,~昌
宣	sin1	~布,~传
室	sɐt7a	教~,~内
宰	tsui3	~相
害	fui6	~人
宴	jin5	~会
宵	siu1	元~,夜~
家	ka1	老~,~庭
宿	sək7a	星~
寄	kɐi5	~信,~托
寅	jɐm1	地支,子丑寅卯
密	bɐt8a	秘~,~封
寇	kʰɐu5	姓,~准;倭~
富	fu6	丰~,~贵
寐	bɐi6	梦~以求,假~
寒	fəŋ2	大~,~流
寓	ji5	~言;公~
寞	bok8a	寂~
察	tsʰaʔ7b	观~
寡	kua3	~妇,守~
寢	tsɐŋ3	就~,~室,废~忘食
寥	liu3	~~无几
實	sɐt8a	老~,~在
寨	tsai5	山~,大~
審	sɐŋ3	~问
寫	siɛ3	~字
寬	fəŋ1	~松
寶	pɐu3	~贝
寸	tsʰin5	尺~
寺	tsɐi6	~庙,灵光~
射	siɛ6	发~,~箭
將	tsiøŋ6	~来;~军
將	tsiøŋ6	大~,~士
專	tsin1	~门,大~
尊	tsin1	~重
尋	tsʰɐŋ2	~人
對	tui5	~错;成双成~
導	tɐu6	领~,~师
小	siu3	~姐,~人
少	siu3	~数,多~
少	siu5	~年,~爷
尖	tsin1	~刀
尚	siøŋ6	和~,高~
尤	jiɐu2	~其
尬	kai5	尴~
就	tsɐu6	成~,~去
尷	kæŋ6	~尬
尹	vɐn5	姓,~相杰
尼	nɔi2	~姑
尾	mɐi5	尾巴
尿	niu6	屙~
屁	pʰɐi5	放~
居	kui1	~民
屆	kai5	第一~
屈	vɐt7a	委~,~服[文]
屈	vɐt7a	委屈,~气[白]
屍	si1	~体,死~
屎	si3	狗~
展	tsin3	开~,发~
屠	tʰɐu2	~杀
屢	lui5	~次,~教不改
層	tsʰɒŋ2	~次
履	lɐi5	~行,~历
屯	tʰin2	~田
山	sæŋ1	
岐	kʰɐi2	~山
岑	sɐŋ2	姓,~参;~村
岔	tsʰa1	~路,三~路口
岡	koŋ1	井~山(地名)
岳	ɡok8a	姓,~飞
岸	uəŋ6	口~,两~
島	tɐu3	海南~
峽	haʔ8a	三~(地名)
崔	tsʰui1	姓,~莺莺
崖	ŋai2	悬~
崗	koŋ1	站~,~位
崙	lɐn2	昆~
崩	pɒŋ1	倒塌,山~,~溃
嶂	tsiøŋ5	耸立如屏障的山峰
嶽	ɡok7b	五~
巖	ŋæŋ2	~石,石灰~
川	tsʰin1	四~
州	tsɐu1	广~
巡	tsʰɐn2	~逻,出~
巢	tsʰau2	雀~
左	tsio3	~右
巧	hau3	~合
巨	kui6	~大
巫	mɐu2	姓;~婆
差	tsʰa1	~别
差	tsʰa1	出~
差	tsʰa1	参~不齐
己	kɐi3	自~
已	ji5	~经
巳	tsɐi6	地支,~时
巴	pa1	~掌,~结,~黎
巷	hoŋ6	巷子,两条~
巾	kɐn7a	围~
巿	si5	~场,城~
布	pɐu5	红~,~料
帆	fæŋ2	~船
希	hɐi1	~望
帕	pʰa5	手~
帖	tʰit7b	请~
帝	tɔi5	皇~
帥	sui3	元~
師	sy1	老~,~父
帳	tsiøŋ5	蚊~
帶	tai7a	鞋~
常	siøŋ2	经~,~识;姓
帽	bɐu7a	草~
幕	bok7b	报~,~布
幣	pɔi6	人民~
幫	poŋ1	~忙
干	kəŋ1	天~地支;~扰
年	nin2	过~
幹	kəŋ5	~部,才~
幻	uæŋ5	科~,~想
幼	jiɐu5	细小,~稚
幽	jiɐu2	~默
幾	kɐi1	~乎
幾	kɐi3	~只
幾	kɐi3	~何
庇	pɐi5	包~,~护
序	tsui6	顺~
底	tɔi3	水~
店	tin5	开~
府	fu3	政~
度	tɐu6	~数,长~
度	tok8a	思~
座	tsu7a	~位,上~
庫	fu5	水~,仓~
庵	ŋɔŋ1	尼姑~
庶	sy6	~民
康	hoŋ1	健~
廁	tsʰɐi5	~所,公~
廂	siøŋ1	~房,车~
厦	ha6	偏廈(厢房)
厦	ha6	~门,大~
廉	lin2	清~,~洁
廊	loŋ2	走~
廓	kʰok7b	轮~
廖	liu6	姓
廚	tsʰi2	~房
廟	biu6	和尚~
廠	tsʰoŋ3	~长
廢	fɔi5	~品,作~
廣	kuoŋ3	推~;~东(地名)
廬	lɐu2	~山
延	jin2	~长,~安
建	kin5	~设
弊	pɔi6	作~
式	sɐk7a	~样,公~
引	jɐn5	吸~
弘	vaŋ2	~扬
弟	tɔi6	兄~[文]
弟	tɔi6	弟弟,老~[白]
弦	jin2	琴~
弱	jiak8a	~点
張	tsiøŋ1	紧~;姓;装东西
強	kʰiøŋ2	~大,坚~
強	kʰiøŋ5	勉~
弼	pɐt8a	~马温;任~时
彈	tʰæŋ2	~琴
彈	tæŋ6	子~
彌	bɐi2	~补,阿~陀佛
彎	uæŋ7a	转~
彙	vui6	词~
彩	tsʰui3	~色
彪	piu7a	林~
彬	pɐn1	文质~~;人名用字
彭	pʰæŋ2	姓,~德怀
彷	foŋ3	~佛
彼	pɐi3	~此
彿	fɐt8a	仿~
往	voŋ5	来~,~日
待	tui6	等~,~人接物
很	hɐn3	~大
律	lɐt8b	法~,~师
後	hɐu6	~生,~来[文]
後	hɐu6	~日[白]
徐	tsʰui2	姓
徒	tʰɐu2	~弟
得	tɒʔ7a	获~,~意
徙	sai3	移居,~屋,迁~
徛	kʰɐi3	站立;(山)斜度高
御	ji6	~用文人
復	fək7b	反~
循	tsʰɐn2	遵~,~环
微	mɐi2	稍~
徵	tsɐŋ1	~求
德	tɒʔ7a	品~;~国(国名)
徹	tsʰit7b	~底
徽	fuɔi7a	国~,~章
心	sɐŋ1	~肝,内~
必	pit8a	~须
忌	kɐi6	禁~,~讳,~日[文]
忌	kɐi6	做~(做法事)[白]
忍	jɐn3	~耐,~受
志	tsi5	~气,~愿
忘	boŋ2	~记,遗~[文]
忘	boŋ2	~记,遗~[白]
忘	boŋ2	添~(忘记)[白]
忙	boŋ2	农~,~碌
快	fai5	~车
念	nin6	~经,怀~
忽	fɐt7a	~然
忿	fɐn6	~~不平
怒	nɐu6	愤~,~气
怕	pʰa5	害怕,惊~
怖	pɐu5	恐~
思	sɐi1	~想
思	sɐi5	意~
怠	tui6	~慢,~工
怡	ji2	心旷神~;人名用字
急	kɒʔ7a	心~
怨	jin5	~人,埋~
怪	kuai5	奇~
怯	hit7b	胆~
恃	tsʰi1	~才傲物,有~无恐
恆	hæŋ2	~心,永~
恕	sy6	宽~
恢	fui1	~复
恤	sɐt8a	体~,抚~
耻	tsʰi3	~辱
恨	hɐn6	仇~
恩	jɐn1	~人
息	sɐk8b	休~[文]
息	sɐk8b	子息,孙~[白]
恰	hoʔ8a	~切,~当
悄	tsʰiu3	静~~
悉	sɐk7a	熟~
悔	fui5	后~
悟	ŋ̍6	觉~;孙~空
悠	jiɐu2	~闲,历史~久
患	uæŋ5	~病,忧~
悦	jit8a	愉~
悲	pɐi1	~伤
悴	sui5	憔~
悶	bəŋ6	烦~,~热
惑	vak8a	迷~
惟	vɔi2	~一
惠	vɔi5	~州,优~
惡	ŋouk7b	可~
惡	ɡok7b	善~,~霸
惰	tu6	~性
惱	nɐu7a	烦~[文]
惱	nɐu7a	讨厌,不喜欢[白]
想	siøŋ3	~法,思~
惹	jiɛ5	~事
愁	sɐu2	~眉苦脸
愈	ji5	病~
愉	ji2	~快
意	ji5	~思
愚	ji2	~蠢,~公移山
愛	ui5	~情;要
感	kæŋ3	~谢,~动
憤	fɐn6	气~,~怒
愧	kʰuɔi5	惭~
慈	tsʰɐi2	~悲,~禧太后
態	tai5	~度,心~
慌	foŋ1	~张,心~
慎	sɐn6	谨~,~重
慕	mɐu6	羡~,~名而来
慘	tsʰæŋ3	悲~
慚	tsʰæŋ2	~愧
慢	mæŋ6	~车
慣	kuæŋ5	习~
慧	vɔi5	智~
慨	kʰui5	慷~,感~
慮	lui6	考~
慰	vɔi3	安~,~问
慷	hoŋ1	~慨
憂	jiɐu1	~虑,担~
憎	tsɒŋ1	~恨
憐	lin2	可~[文]
憐	lin2	可~[白]
憑	pʰɒŋ2	文~,~借[文]
憑	poŋ6	倚靠,~墙[白]
憫	bɐn5	怜~
憲	hin5	~法
憶	jiɐk7a	回~
憾	hæŋ6	遗~
懇	hɐn3	~求,诚~
懈	hai5	松~,坚持不~
應	jiɐŋ1	~当,~该
應	jiɐŋ5	~用,响~
懊	nɐu6	~恼
懲	tsʰɐŋ2	~罚,严~
懶	læŋ5	懒惰,~尸
懷	vai2	~疑
懸	hin2	~挂,~崖
懼	kui6	恐~
懿	ji5	人名用字,司马~
戀	lin3	~爱
戈	ku1	干~,~壁
戊	bɐu6	~戌变法
戌	sɐt8a	戊~变法
戍	sy6	~边
我	ŋo5	自~[文]
