#漢字	音標	解釋
㸊	lai5	水很热
葉	iɛ2	
號	au5	~数
號	au5	呼~
司	sɿ1	
嘆	tʰãŋ5	
吁	y2	
吃	tɕʰɿ1	
各	kuo1	
吆	iau1	~喝
合	uo2	
吉	tɕɿ1	
同	doŋ2	
名	miŋ2	
后	əu5	
吏	li5	
吐	tʰu5	
吐	tʰu5	~痰
向	ɕuãŋ5	
呂	ly3	
君	tɕyeŋ1	
吝	liŋ5	~啬
吞	tʰəŋ1	
吟	iŋ2	
否	xəu3	
含	ãŋ2	
聽	tʰiŋ5	~见
聽	tʰiŋ5	~任
吳	u2	
吵	tsʰau3	
吸	tɕɿ1	
吹	tsʰuei1	
吻	uəŋ1	
吼	xəu3	
吾	u2	
呆	tai1	
呈	dʑiŋ2	
告	kau5	
嘔	əu3	~吐
嘔	tʰu5	~兔
員	yɛŋ2	
呢	lɛ1	
周	tɕiəu1	
味	uei5	
呼	fu1	
命	miŋ5	
咎	tɕiəu1	
咨	tsɿ1	
咬	iau3	
咸	ãŋ2	
咸	ʑiɛŋ2	
哀	ai1	
品	pʰiŋ3	
哄	xoŋ3	
響	ɕuãŋ1	
響	ɕuãŋ3	
哥	ko1	
哪	la3	~个
哭	kʰu1	
哲	tsə1	
唆	suo1	啰~
脣	dʑyeŋ2	
唐	dãŋ2	
嘮	lau2	~叨
喚	uãŋ5	
唯	uei2	
唱	tɕʰuãŋ5	
啃	kʰəŋ3	
商	ɕuãŋ1	
嗇	sə1	吝~
啼	di2	
善	ɕyɛŋ5	
喉	əu2	
喊	xãŋ3	
喘	tsʰuai3	
喜	ɕɿ3	
喝	xo1	~酒
噴	pʰəŋ5	~香
噴	fəŋ5	~水
喻	y5	
嗅	ɕiəu5	用鼻~
嗉	su5	鸟~子
嗓	sãŋ3	
嗜	sɿ5	
嗣	dzɿ5	
嗤	tɕʰɿ1	~笑
嗽	səu5	咳~
嘉	tɕia1	
嘘	ɕy1	
囑	tsu1	
嘴	tsuei3	
噎	iɛ1	~住了
器	tɕʰɿ5	
嚇	xə1	~一跳
嚇	xə1	恐~
囂	ɕiau1	
嚷	ɕuãŋ3	
嚼	dʑio2	
囚	dʑiəu2	
四	sɿ5	
回	uei2	
因	iŋ1	
团	duãŋ2	
囤	dəŋ2	
園	yɛŋ2	
困	kʰuəŋ5	
囱	tsʰoŋ1	
圍	uei2	
固	ku5	
國	kuo1	
圖	du2	
圓	yɛŋ2	
圈	tɕʰyɛŋ1	圆~
圈	tɕʰyɛŋ1	猪~
土	tʰu3	
聖	ɕiŋ5	
在	dzai5	
圭	kuei1	
地	di5	
場	dʑuãŋ2	
址	tsɿ3	
均	tɕyeŋ1	
坎	kʰãŋ3	
壞	uai5	
坐	dzuo5	~牙:大牙(臼齿)
坑	kʰəŋ1	
塊	kʰuai3	
塊	kʰuai5	
堅	tɕiɛŋ1	
坛	dãŋ2	
塢	u1	
墳	uəŋ2	
墜	dzuei5	
坡	pʰo1	
坤	kʰuəŋ1	
坦	tʰãŋ3	
坪	biŋ2	
坳	au5	山~
垂	zuei2	
壠	loŋ3	
型	ʑiŋ2	
垒	lei3	
垜	duo5	柴~
墾	kʰəŋ3	
墊	diɛŋ5	~钱
垻	pa3	
埂	kəŋ3	田~
埃	ai1	尘~
城	dʑiŋ2	
域	y5	
埠	bu5	商~
培	bei2	
基	tɕɿ1	
堂	dãŋ2	
堡	pau3	
堤	di2	
堪	kʰãŋ1	
堰	iɛŋ5	
堵	tu3	
塌	tʰa1	汗~湿了
塑	su5	~像
塔	tʰa1	
塘	dãŋ2	
塞	sə1	
填	diɛŋ2	
境	tɕiŋ5	
墓	mo1	~仿
牆	dʑuãŋ2	
增	tsəŋ1	
墟	ɕy1	
墨	mə2	
壁	pi1	
壕	au2	
壤	ɕuãŋ3	土~
壩	pa3	堤
士	sɿ5	
壯	tsuãŋ5	
聲	ɕiŋ1	
殼	kʰuo1	上~:上腭
壺	u2	
處	tɕʰy3	~所
處	tɕʰy3	相~
備	bi5	
复	fu1	
夏	ɕia5	姓
夏	ɕia5	春~
夕	ɕɿ1	
外	uai5	
多	to1	
夜	iɛ5	
够	kəu5	
大	da5	
天	tʰiɛŋ1	
太	tʰai5	
夫	fu1	
央	uãŋ1	
失	ɕɿ1	
頭	dəu2	
夷	i1	
夾	tɕia1	
奪	duo2	
奇	dʑɿ2	
奈	lai5	
奉	oŋ5	
奎	ɡuei2	
奏	tsəu5	
奔	pəŋ1	
獎	tɕuãŋ3	
套	tʰau5	
奠	diɛŋ5	
奢	ɕiɛ1	
奧	au5	
女	ly3	
奴	lu2	
奶	lai1	~婆:乳房
奸	tɕiɛŋ1	
好	xau3	~坏
好	xau3	喜~
如	y2	
妃	fei1	
妄	uãŋ5	
妓	dʑɿ5	
妖	iau1	
妙	miau5	
妥	tʰuo3	
妨	uãŋ2	~害
妹	mei5	
妻	tɕʰɿ1	
妾	tɕʰiɛ3	
姆	m̩3	~妈
姊	tsɿ3	
始	sɿ3	
姐	tɕiɛ3	
姑	ku1	
姓	ɕiŋ5	
委	uei3	
姚	iau2	
姜	tɕuãŋ1	
姨	i1	
姻	iŋ1	
姿	tsɿ1	
威	uei1	
嬌	tɕiau1	
娘	lãŋ2	
娘	luãŋ2	
娩	miɛŋ3	分~
娛	y2	
娶	tɕʰy3	
娼	tɕʰuãŋ1	
婆	bo2	
婊	piau3	
婚	fəŋ1	
嬰	iŋ1	
嬸	ɕiŋ3	
媒	mei2	
媚	mei2	
媳	ɕɿ1	
嫁	tɕia1	
嫁	tɕia5	
嫂	sau3	
嫌	ʑiɛŋ2	
嫖	biau2	~赌
嫡	ti1	
嫩	ləŋ5	
嬉	ɕɿ3	
孀	suãŋ1	
子	tsɿ3	
孔	kʰoŋ3	
孕	yeŋ5	
字	zɿ5	
存	dzəŋ2	
孫	səŋ1	
孝	ɕiau5	
孟	y2	
孟	moŋ5	
季	tɕɿ5	
孤	ku1	
學	ʑio2	
孩	ai2	
孵	fu1	~小鸡
孽	liɛ2	
寧	liŋ2	~可
寧	liŋ2	安~
宅	dzə2	
宇	y3	
守	ɕiəu3	
安	ãŋ1	
宋	soŋ5	
完	uãŋ2	
宏	oŋ2	
宕	tãŋ5	延~
宗	tsoŋ1	
官	kuãŋ1	
定	diŋ5	
宛	uãŋ3	
宜	i2	
寶	pau3	
實	ɕɿ1	
寵	tsʰoŋ3	
審	ɕiŋ3	
客	kʰə1	
宣	ɕyɛŋ1	
室	ɕɿ1	
宦	uãŋ5	
宪	ɕiɛŋ5	
宮	koŋ1	
宰	tsai3	
害	ai5	
宴	iɛŋ5	
宵	ɕiau1	
家	tɕia1	
家	tɕia1	~具
容	ioŋ2	
寬	kʰuãŋ1	
賓	piŋ1	
宿	su1	
寂	tɕɿ5	
寄	tɕɿ5	
寅	iŋ2	
密	mi5	
寇	kʰəu5	
寐	mei5	
寒	ãŋ2	
寓	y5	
寢	tɕʰiŋ5	
寞	mo2	
察	tsʰa1	
寡	kua3	
寨	dzuai5	
寸	tsʰəŋ5	
對	tei5	
寺	sɿ1	
尋	dʑiŋ2	
導	tau5	
壽	ɕiəu5	
封	foŋ1	
射	ɕiɛ5	
將	tɕuãŋ1	~来
將	tɕuãŋ5	大~
少	ɕiau5	~年
少	ɕiau3	多~
尔	ə3	
尖	tɕiɛŋ1	
塵	dʑiŋ2	
尚	ʑuãŋ5	
尤	iəu1	
堯	iau2	
屍	sɿ1	
尹	iŋ3	
尼	li2	
尽	dʑiŋ5	
尾	uei3	
尿	liau5	
局	dʑy2	
屁	pʰi5	
層	dzəŋ2	
居	tɕy1	
屈	tɕʰy1	
屉	tʰi5	抽~
屆	kai5	
屋	u1	
屎	sɿ3	
屏	biŋ2	
展	tsãŋ3	
屬	ɕy1	
屬	zu2	
屠	du2	
屢	lei3	
履	ly3	
屯	dəŋ2	
山	sãŋ1	
歲	suei5	
岑	dʑiŋ2	
崗	kãŋ1	
島	tau3	
巖	ãŋ2	
嶺	liŋ3	
岳	io2	
岸	ãŋ5	
峽	ɕia1	
峰	foŋ1	
崔	tsʰuei1	
崖	ia2	山~
崩	pəŋ1	
川	tɕʰyɛŋ1	
州	tɕiəu1	
巡	ʑyeŋ2	
巢	dzau2	
工	koŋ1	
左	tso3	
巧	tɕʰiau3	
巨	dʑy5	
鞏	koŋ3	~固
巫	u1	
差	tsʰa1	~別
差	tsʰai1	出~
差	tsʰa1	参~
已	tɕɿ3	
已	i3	
巳	sɿ5	辰~
巴	pa1	
巾	tɕiŋ1	
幣	bi5	
市	zɿ5	
布	pu5	
帥	suai5	
帆	uãŋ2	
師	sɿ1	
希	ɕɿ1	
帳	tɕuãŋ5	
帕	pʰa1	
帚	tɕiəu3	
帝	ti5	
帶	tai5	
席	ɕɿ1	
幫	pãŋ1	
常	dʑuãŋ2	
帽	mau5	
幅	fu1	
幕	mu5	
干	kãŋ1	
干	kãŋ1	~湿
平	biŋ2	
年	liɛŋ2	
并	biŋ5	
并	piŋ5	合~
幺	iau1	~二三
幻	uãŋ5	
幼	iəu5	
幽	iəu1	
廣	kuãŋ3	
莊	tsuãŋ1	
慶	tɕʰiŋ5	
庇	pʰi5	
牀	dzuãŋ2	
序	ɕy5	
廬	lu2	茅~
庫	kʰu5	
應	iŋ5	~当
應	iŋ5	~对
底	ti3	
店	tiɛŋ5	
廟	miau5	
庚	kəŋ1	
府	fu3	
廢	fei5	
度	du5	
座	dzuo5	
庭	diŋ2	
庵	ãŋ1	
庶	ɕy5	
康	kʰãŋ1	
庸	ioŋ1	
廉	liɛŋ2	
廊	lãŋ2	
廓	kuo1	
廖	liau5	
延	iɛŋ2	
廷	diŋ2	
建	tɕiɛŋ5	
開	kʰai1	
异	i5	
弄	loŋ5	
弊	bi5	
式	ɕɿ5	
弓	koŋ1	
弔	tiau5	
引	iŋ3	
弘	oŋ2	
弟	di5	
張	tɕuãŋ1	
弥	mi2	
彎	uãŋ1	
弱	ʑio2	
彈	dãŋ2	~琴
彈	dãŋ5	子~
强	dʑuãŋ2	
强	dʑuãŋ2	勉~
弼	pi5	
歸	kuei1	
當	tãŋ1	~时
當	tãŋ5	~作
形	ʑiŋ2	
彩	tsʰai3	
彪	piau1	
彬	piŋ1	
彭	boŋ2	
影	iŋ3	
役	y2	
彼	pi3	
往	uãŋ3	
征	tɕiŋ1	
徑	tɕiŋ1	
待	dai5	
很	xəŋ3	
律	ly2	
徐	dʑy2	
徒	du2	
得	tə1	
御	y5	
循	ʑyeŋ2	
微	uei2	
德	tə1	
徽	fei1	
心	ɕiŋ1	
必	pi1	
憶	i5	
忌	tɕɿ5	
忍	iŋ3	
志	tsɿ5	
忘	uãŋ2	
忙	mãŋ2	
忠	tsoŋ1	
念	liɛŋ5	
懷	uai2	
態	tʰai5	
慫	tsʰoŋ3	~勇
慪	əu5	~气
怒	lu5	
怕	pʰa5	
怖	pu5	恐~
憐	liɛŋ2	
思	sɿ1	
怠	dai5	
急	tɕɿ1	
性	ɕiŋ5	
怨	yɛŋ5	
怪	kuai5	
怯	tɕʰiɛ1	
恃	dʑɿ5	
戀	liɛŋ5	
恐	kʰoŋ3	
恕	ɕy5	
恢	fei1	
恢	kʰuei1	
恤	ɕy1	
恨	əŋ5	
恩	əŋ1	
恭	koŋ1	
息	ɕɿ1	
懇	kʰəŋ3	
恶	u5	可~
恶	uo1	善~
惱	lau3	
悉	ɕɿ1	
悔	fei3	
悟	u5	
悠	iəu1	~~
患	uãŋ5	
懸	ʑyɛŋ2	
憫	miŋ3	
悲	pei1	
情	dʑiŋ2	
情	duo5	
驚	tɕiŋ1	
惑	uo2	
惘	uãŋ3	
惜	ɕɿ1	
惟	uei2	
惠	fei5	
慘	tsʰãŋ3	
慚	dzãŋ2	
慣	kuãŋ5	
想	ɕuãŋ3	
愁	dzəu2	
愈	y5	
愉	y5	
意	i5	
愚	y2	
感	kãŋ3	
憤	fəŋ5	
愧	kʰuei5	
願	yɛŋ5	
慈	dzɿ2	
慌	fãŋ1	
慎	ʑiŋ3	
慕	mu5	
慢	mãŋ5	
慧	fei5	
慨	kʰai3	慷~
慰	uei5	
慷	kʰãŋ1	~慨
憋	pi5	
憎	tsəŋ1	
憠	tɕyɛ5	脾气~
憾	xãŋ5	
懂	toŋ3	
懈	ɕiɛ5	
懊	au3	~恼
懊	au5	~悔
懶	lãŋ3	
懵	moŋ3	~懂
懼	tɕy5	
戈	kuo1	
戌	ɕy1	
戍	ɕy1	
戎	ioŋ2	
戲	ɕɿ5	
成	dʑiŋ2	
我	o3	
戒	kai5	
或	uo2	
戚	tɕʰɿ5	
截	tɕiɛ1	
戳	tsʰuo1	
戴	tai5	
戶	xu5	
戽	fu5	~水
所	suo3	
扁	piɛŋ3	
手	ɕiəu3	
才	dzai2	
扑	pʰu1	
打	ta3	
托	tʰuo1	
扛	ɡãŋ2	
扣	kʰəu5	~住
執	tɕɿ1	
擴	kʰuo1	~充
掃	sau3	~地
掃	sau3	~帚
揚	uãŋ2	
扭	liəu3	
扮	pãŋ5	
扯	tɕʰiɛ3	
擾	iau3	
扳	pãŋ3	
扶	fu1	
批	pʰi1	
扼	ə1	
找	tsau3	
承	dʑiŋ2	
技	dʑɿ5	
抄	tsʰau1	~写
把	pa3	
抑	i5	
抓	tsua1	
投	dəu2	
抖	təu3	
抗	kʰãŋ5	
折	tsə1	~断
折	tsə1	弄~了
撫	fu3	
抛	pʰau1	
摳	kʰəu1	
護	u5	
報	pau5	
披	pʰi1	
抬	dai2	
抱	bau5	
抵	ti3	
抹	mo2	
抹	ma5	~布
押	ia1	
抽	tɕʰiəu1	
抿	miŋ3	
拄	tɕy5	
擔	tãŋ1	~任
擔	tãŋ5	挑~
拆	tsʰə1	
拇	mu3	
拈	liɛŋ1	~起来
拉	la1	
拌	bãŋ5	
拍	pʰə1	
拎	liŋ2	
拐	kuai3	
拒	dʑy5	
拔	po1	
拔	ba2	
拖	tʰo1	
拘	tɕy1	
招	tɕiau1	
拜	pai5	
擬	li3	
攏	loŋ3	
揀	tɕiɛŋ3	
擁	ioŋ3	
攔	lãŋ2	
擇	dzə2	~菜
括	kua1	包~
拱	koŋ3	
拳	dʑyɛŋ2	
拴	suãŋ1	
拼	pʰiŋ1	
拼	pʰiŋ5	
拼	pʰiŋ5	~命
拾	ɕiɛ3	
拿	la2	
持	dʑɿ2	
挂	kua5	
指	tsɿ3	
按	ãŋ5	
挎	kʰua3	
挑	tʰiau1	
挖	ua1	
挾	tɕia1	~菜
擋	tãŋ3	阻~
擠	tɕɿ3	
揮	fei1	
撏	dʑyɛŋ2	~雞毛:拔雞毛
挨	ai2	~近
挪	lo2	
振	tɕiŋ5	
挺	tʰiŋ3	
挽	uãŋ3	
捅	tʰoŋ3	
捆	kʰuəŋ3	
捉	tsuo1	
捋	lau1	~袖
捎	ɕiau1	~带
捏	liɛ1	
捐	tɕyɛŋ1	
捕	pʰu3	
撈	lau2	
損	səŋ3	
換	uãŋ5	
捧	pʰoŋ3	
据	tɕy5	
捱	ai2	~打
捷	dʑiɛ2	
捺	la1	
掀	ɕyɛŋ1	
授	ɕiəu5	
掉	diau5	
掌	tɕuãŋ3	
掏	tʰau1	~出
掐	kʰa1	
排	bai2	
掘	tɕyɛ1	
掠	lio2	
探	tʰãŋ5	试~
接	tɕiɛ1	
控	kʰoŋ5	
推	tʰei1	
掩	iɛŋ3	
掬	tɕy1	
掮	dʑiɛŋ2	
擲	tɕɿ1	
揈	foŋ1	~出去
揉	iəu2	
描	miau2	
提	di2	
插	tsʰa1	
揖	i1	作~
握	u1	
揩	kʰai1	
揭	dʑiɛ5	
援	yɛŋ2	~救
攬	lãŋ3	
摟	ləu3	
攪	tɕiau3	
搓	tsʰo1	
搜	səu1	
搞	kau3	
搞	kʰau5	
搨	tʰa1	~本
搬	pãŋ1	
搭	ta1	
攝	ɕiɛ1	
摆	pai3	
摇	iau2	
攤	tʰãŋ1	
摔	suai3	
摘	tsə1	
摞	luo5	~起来
摩	mo1	
摸	mo2	
撇	pʰiɛ1	~捺
撑	tsʰəŋ5	
撒	sa3	~手
撕	sɿ1	
撞	dzuãŋ5	
撤	tɕʰiɛ1	
撩	liau2	
撮	tsʰuo1	一~米
撰	tsuãŋ5	
撼	xãŋ5	
擀	kãŋ3	~面
操	sãŋ3	
操	tsʰau1	~作
擎	dʑiŋ2	
擒	dʑiŋ2	
擦	tsʰa1	
攀	pʰãŋ1	
攢	tsãŋ3	积~
攘	ɕuãŋ3	
支	tsɿ1	
收	ɕiəu1	
改	kai1	
放	fãŋ5	
政	tɕiŋ5	
故	ku5	
效	ɕiau5	
敵	ti1	
敏	miŋ3	
教	tɕiau5	~书
教	tɕiau5	~育
斂	liɛŋ5	
敢	kãŋ3	
散	sãŋ3	
散	sãŋ3	~了
敦	təŋ1	~厚
敬	tɕiŋ5	
敲	tɕʰiau1	
整	tɕiŋ3	
敷	fu1	
齋	tsai1	
斑	pãŋ1	
斗	təu3	
斗	təu5	~争
料	liau5	
斜	dʑiɛ2	
斟	tɕiŋ1	
斤	tɕiŋ1	
斧	fu3	
斬	tsãŋ3	
斷	duãŋ5	~绝
斷	duãŋ5	决~
斯	sɿ1	
新	ɕiŋ1	
方	fãŋ1	
施	sɿ1	
旁	bãŋ2	
旅	ly3	
旋	ʑyɛŋ2	
旋	ʑyɛŋ2	~吃
族	dzu2	
旗	dʑɿ2	
無	u2	
既	tɕɿ5	
日	ʑɿ2	
旦	tãŋ5	
舊	dʑiəu5	
旨	tsɿ3	
早	tsau3	
旬	ʑyeŋ2	
旱	ãŋ5	
時	zɿ2	
曠	kʰuãŋ5	
旺	uãŋ5	火~
昂	ãŋ2	
昆	kʰuəŋ1	
昌	tɕʰuãŋ1	
明	miŋ2	
昏	fəŋ1	
易	i5	难~
昔	ɕɿ1	
星	ɕiŋ1	
映	iŋ3	
春	tɕʰyeŋ1	
