#漢字	音標	解釋
㪕	tsʰɑɔ5	㪕起棍子
低	tɿ1	
住	tsʮ5	
佐	tsou3	
佑	ʮ5	
何	xou2	
佘	sʊ1	姓
佛	fəʔ7	
作	tsuɔʔ7	作坊,工作
你	nɿ2	
佩	pʰe2	
佳	tɕiᴀ3	
使	sɿ1	
侄	tsəʔ7	
來	læ1	
侈	tsʰɿ3	
例	lɿ5	
侍	sɿ5	
侖	ləŋ1	
供	koŋ1	供給
供	koŋ5	供養,上供
依	ɿ5	
侮	u3	
侯	xe1	
侵	tɕʰiŋ1	
便	pi1	便宜
便	pi5	方便
係	ɕɿ5	確~實情
促	tsʰɔʔ7	
俄	ŋou2	
俊	tɕyəŋ5	
俏	tɕʰiɔ5	
俗	sɔʔ7	
俘	fu2	俘虜
保	pɔ3	
信	ɕiŋ2	
修	ɕiou1	
俯	fu1	
俸	foŋ5	
倉	tsʰɑŋ1	
倍	pe1	
倒	tɔ3	打倒
倒	tɔ3	倒水
倔	tɕyəʔ7	脾氣倔
倔	tɕyɔʔ7	倔強
候	xe5	
倚	ɿ1	
借	tɕiᴀ5	
倡	tsʰɑŋ5	提倡
倦	tɕiou3	
倪	ȵɿ1	
倫	ləŋ1	
值	tsəʔ7	直
假	kʊ3	真假
假	tɕiᴀ2	放假
偉	ve	
偏	pʰi1	
做	tsou5	作
停	tʰiŋ2	
健	tɕi2	
側	tsʰəʔ7	
偵	tsəŋ3	
偶	e2	配偶
偶	e2	偶然
偷	tʰe1	
僞	ue2	
傀	kʰue2	
傅	fu5	
傍	pɑŋ2	
傑	tɕiʔ7	
傘	sæ3	
備	pe2	
催	tɕʰye1	
傲	ŋɔ5	
傳	tɕiou2	傳達
傳	tɕiou2	傳記
債	tsᴀ2	
傷	sɑŋ1	
傻	sᴀ2	
傾	tɕʰiŋ1	
僅	tɕiŋ2	
像	ɕiæ2	
僑	tɕʰiɔ2	
僕	pʰɔʔ7	~倒
僕	pʰu3	僕人
僥	tɕiɔ2	
僧	tsəŋ1	
僵	tɕiæ1	
價	kʊ5	
僻	pʰiʔ7	
儀	ɿ1	
億	ɿ	
儉	tɕi1	
儒	lu2	
償	sɑŋ2	
儡	lue1	
優	iou1	
儲	tsʰʮ2	儲蓄
允	yəŋ2	
元	iou2	
兄	soŋ1	
充	tsʰoŋ5	
兆	tsɔ1	
兇	soŋ1	兇惡
先	ɕi1	
光	kuɑŋ1	
克	kʰəʔ7	
兑	tue5	
免	mi2	
兒	ɯ2	
兔	tʰu2	
兜	te1	
入	yəʔ7	
内	lue5	
全	tɕʰiou2	
兩	liæ2	兩箇
兩	liæ2	幾兩幾錢
八	pᴀʔ7	
公	koŋ1	
六	lɔʔ7	
共	koŋ5	
兵	piŋ1	
其	tɕʰɿ2	
具	tɕʮ5	
典	ti1	
兼	tɕi1	
冀	tɕɿ5	
册	tsʰəʔ7	
再	tsæ2	
冒	mɔ5	
冠	kœ1	
冠	kœ5	冠軍
冤	iou1	
冬	toŋ1	
冰	piŋ1	
冷	ləŋ2	
凍	toŋ2	
凝	ȵiŋ2	
凝	ȵiŋ2	湯凝成凍了
凡	fæ2	
凱	kʰæ2	
凳	təŋ5	
凶	soŋ1	吉凶
出	tɕʰyəʔ7	
函	xœ2	
刀	tɔ1	
刁	tiɔ1	
刃	ᴇn2	
分	fəŋ1	分開
分	fəŋ5	量詞 一分兩分
切	tɕʰiʔ7	切開
刊	kʰœ2	
刑	ɕiŋ2	
划	xʊ2	划船
列	liʔ7	
初	tsʰou1	
判	pʰœ2	
别	piʔ7	區別
别	piʔ7	離別
刨	pɔ5	刨平,刨光
利	lɿ5	
删	sæ2	
刮	kuᴀʔ7	
到	tɔ5	
制	tsɿ5	
刷	suᴀʔ7	
券	tɕʰiou2	
刺	tsʰɿ5	
刻	kʰəʔ7	時刻
刻	kʰəʔ7	用刀刻
刴	tou5	
剃	tʰɿ5	
則	tsəʔ7	
削	ɕiᴀʔ7	
前	tɕʰi2	
剔	tʰiʔ7	剔牙,剔除
剖	pʰou1	
剛	kɑŋ1	
剜	œ2	
剝	puʔ7	
剩	tsəŋ5	
剪	tɕi3	
副	fu5	
割	kəʔ7	
創	tɕʰyɑŋ5	
剿	tɕiɔ2	
劃	xuᴀ	
劄	tsᴀʔ7	用針紮
劄	tsᴀʔ7	
劇	tɕʮ	劇烈
劇	tɕʮ	戲劇
劈	pʰiʔ7	
劉	le2	
劊	kʰuᴀ5	
劍	tɕi2	
劑	tɕɿ5	一劑藥
力	ȵiᴀʔ7	
功	koŋ1	
加	tɕiᴀ1	
劣	liʔ7	
助	tsou5	
努	ȵu1	
劫	tɕiɛʔ7	
勁	tɕiŋ2	有勁
勁	tɕiŋ2	勁敵
勃	pʰɔʔ7	
勇	yŋ2	
勉	mi2	
勒	ləʔ7	
動	toŋ2	
勘	kʰæ2	勘誤
務	u5	
勝	səŋ1	勝任
勝	səŋ5	勝敗
勞	lɔ2	
勢	sɿ5	
勤	tɕʰiŋ2	
勳	ɕyəŋ2	
勵	lɿ5	
勸	tɕʰiou2	
勺	sɔʔ7	勺子
匀	yəŋ2	
勾	ke1	
勾	ke5	勾當
包	pɔ1	
匆	tsʰoŋ1	
化	xʊ5	
北	pɔʔ7	
匙	tsʰɿ3	
匠	ɕiæ5	
匡	kʰuɑŋ1	
匣	xᴀʔ7	箱匣
匪	fe	
匯	xue1	
匯	xue	
匹	pʰiʔ7	一匹
匾	pi3	
匿	ȵiᴀʔ7	
區	tɕʰʮ1	區域
十	səʔ7	
千	tɕʰi1	
升	səŋ1	
午	u2	
半	pœ2	
卑	pe1	
卒	tsuɔʔ7	兵卒
卓	tsɔʔ7	
協	ɕiɛʔ7	
南	nœ2	
博	puʔ7	
占	tɕiou1	占卜
占	tsæ	佔領
卦	kuᴀ5	
卯	mɔ2	
印	iŋ2	
危	ue2	
即	tɕiʔ7	
卵	lœ2	
卷	tɕiou3	卷起
卷	tɕiou3	
卸	ɕiᴀ5	
卻	tɕʰiᴀʔ7	
卿	tɕʰiŋ2	
厘	lɿ2	
厚	xe2	
原	iou2	
厥	tɕyəʔ7	
厭	i	
厲	lɿ5	
去	tɕʰʮ5	來去,去皮
參	tsʰæ1	
參	tsʰəŋ1	參差
又	iou5	
叉	tsʰʊ1	
及	tɕiʔ7	
友	iou3	
反	fæ3	
叔	sɔʔ7	
取	tɕʰye2	
受	se2	
叛	pʰu3	
叟	se3	
叢	tsʰoŋ2	
口	kʰe2	
古	ku3	
句	tɕʮ5	
另	liŋ5	
叨	tɔ1	
只	tsəʔ7	
叫	tɕiɔ5	
召	tsɔ5	
可	kʰou2	
台	tʰæ2	天台,台州
史	sɿ1	
右	iou2	
司	sɿ1	
各	kuʔ7	
吆	iɔ1	吆喝
合	kuʔ7	容量。十合一升
合	kuʔ7	
吉	tɕiʔ7	
同	toŋ2	
名	miŋ1	
吏	lɿ2	
吐	tʰu1	吐痰
向	ɕiæ5	
君	tɕyəŋ1	
吝	liŋ2	吝嗇
吞	tʰəŋ1	
吟	iŋ2	
含	xœ2	
吳	u2	
吵	tsʰɔ1	
吸	ɕiʔ7	
吹	tɕʰye1	
吻	vəŋ2	
吼	xou2	
呆	ŋæ2	
呈	tsʰəŋ2	
告	kɔ5	
周	tse1	
呪	tse5	
味	ue	
呼	fu1	
命	miŋ5	
和	xou2	和氣
和	xou2	和麪
咎	tɕiou1	
咨	tsɿ1	
咬	ŋɔ2	
咳	kʰəʔ7	咳嗽
咽	i2	
品	pʰiŋ2	
哄	xoŋ3	哄騙
員	iou2	
哥	kou1	
哪	lᴀ3	哪箇?
哭	kʰɔʔ7	
哲	tsəʔ7	
唇	tsʰəŋ2	
唐	tʰɑŋ2	
售	se5	
唯	ue2	
唱	tsʰɑŋ2	
唾	tʰu2	唾液,唾沫
啄	tsɔʔ7	
商	sɑŋ1	
問	məŋ5	
啞	ʊ3	
啟	tɕʰɿ2	
啼	tʰɿ2	
喂	ue1	嘆詞
善	ɕiou2	
喉	xe2	
喊	xæ3	
喘	tɕʰiou2	
喜	ɕɿ3	
喝	xuʔ7	喝彩,吆喝
喧	ɕiou1	
喪	sɑŋ1	婚喪
喪	sɑŋ5	喪失
喫	tɕʰiʔ7	
喬	tɕʰiɔ2	
單	tæ1	單獨
單	tsʰæ2	姓
喻	ʮ2	
嗇	səʔ7	
嗓	sɑŋ2	
嗜	sɿ5	
嗣	sɿ5	
嗤	tsʰɿ1	
嗦	sou1	羅嗦
嗽	se2	
嘉	tɕiᴀ1	
嘔	e3	
嘗	sɑŋ2	
嘮	lɔ1	
嘴	tɕye3	
噎	iʔ7	噎住了
嘘	ɕʮ1	吹噓
器	tɕʰɿ5	
噴	pʰəŋ1	噴水
噴	pʰəŋ5	噴香,噴嚏
嚇	xəʔ7	嚇一跳
嚇	xəʔ7	恐嚇
嚴	ȵi2	
嚼	tɕiᴀʔ7	
囂	ɕiɔ1	
囊	ȵɑŋ2	
囑	sɔʔ7	
囚	tɕʰiou2	
四	sɿ5	
回	xue2	
因	iŋ1	
囤	təŋ1	
囥	kʰɑŋ5	藏
困	kʰuəŋ5	
固	ku5	
圈	tɕʰiou1	圓圈
圈	tɕiou1	豬圈
國	kuɔʔ7	
圍	ue	
園	iou2	
圓	tɕʰiou2	
圖	tʰu2	
團	tœ2	
團	tœ2	飯團
土	tʰu2	
在	tsæ1	
地	tɿ5	
址	tsɿ3	
均	tɕyəŋ1	
坍	tʰᴀ3	坍下來
坎	kʰœ2	
坐	tsou2	
坑	kʰəŋ1	
坡	pʰou1	
坤	kʰuəŋ1	
坦	tʰæ2	
坪	pʰiŋ2	
坯	pʰe1	
坳	u2	山坳
垂	tɕʰye2	
型	ɕiŋ2	
垮	kʰuᴀ1	
埂	kəŋ3	田埂
埋	mæ1	
城	tsʰəŋ2	
域	yəʔ7	
執	tsəʔ7	
培	pʰe2	
基	tɕɿ1	
堂	tʰɑŋ2	
堅	tɕi1	
堆	tue1	
堡	pɔ1	
堤	tʰɿ2	
堪	kʰæ1	
堯	iɔ1	
堰	i5	堤~,~塘
報	pɔ2	
場	tsʰɑŋ2	
堵	tu3	
塊	kʰuæ2	
塌	tʰᴀʔ7	
塑	sɔʔ7	塑像
塔	tʰᴀʔ7	
塗	tʰu2	
塘	tɑŋ2	
塞	səʔ7	
塢	u1	
填	ti2	
填	ti5	墊錢
塵	tsʰəŋ2	
境	tɕiŋ1	
墓	mou5	
墜	tɕye2	
增	tsəŋ1	
墟	tɕʰʮ1	墟市
墨	mɔʔ7	
墩	təŋ1	
墳	fəŋ2	
墾	kʰəŋ2	
壁	piʔ7	
壇	tʰæ2	花壇
壓	ᴀʔ7	
壕	xɔ2	
壞	xuæ5	
壟	ləŋ1	田壟
壩	pʊ2	堤
壩	pʊ2	平川
士	sɿ1	
壯	tɕyɑŋ2	
壺	fu2	
壽	se5	
夏	ɕiᴀ1	姓
夏	xʊ5	春夏
夕	ɕiʔ7	
外	vᴀ5	
多	tou1	
夜	iᴀ5	
够	ke2	足夠
夢	moŋ	
夥	xou3	火
大	tou5	
大	tæ5	大夫
天	tʰi1	
太	tʰæ5	
夫	fu1	
央	iæ1	
夯	xɑŋ1	打夯
失	səʔ7	
夷	ɿ1	
夾	kᴀʔ7	
夾	kᴀʔ7	夾衣
奇	tɕʰɿ2	
奈	næ5	
奉	foŋ1	
奎	kʰue2	
奏	tse2	
契	tɕʰɿ5	契約
奔	pəŋ3	
套	tʰɔ5	
奚	ɕɿ1	
奠	ti5	
奢	sᴀ2	
奧	ɔ5	
奪	tuʔ7	
奮	fəŋ5	
奴	nu2	
奶	ȵæ2	嬭
奸	tɕiɛ1	
好	xɔ3	好壞
好	xɔ5	喜好
如	lu2	
妃	fe5	
妄	uɑŋ5	
妒	tu5	
妓	tɕɿ1	
妖	iɔ1	
妙	miɔ5	
妥	tʰou2	
妨	fɑŋ2	妨害
妹	mæ5	
妻	tɕʰɿ1	
妾	tɕʰiɛʔ7	
姊	tsɿ5	
始	sɿ2	
姐	tɕiᴀ3	
姑	ku1	
姓	ɕiŋ5	
姘	pʰiŋ1	姘頭
姚	iɔ2	
姜	tɕiæ1	
姨	ɿ2	
姻	iŋ1	
姿	tsɿ1	
威	ue5	
娘	ȵiæ1	
娛	ʮ2	
娠	səŋ1	
娶	tɕʰʮ2	
婆	pou2	
婚	xuəŋ1	
婦	fu1	
婿	ɕɿ5	女婿
媒	mæ2	
媚	me2	
媳	ɕiʔ7	息
媽	ɯmᴀ1	
嫁	kʊ5	
嫂	sɔ2	
嫌	i2	
嫖	piɔ2	
嫡	tiʔ7	
嫩	ȵəŋ5	
嬉	ɕɿ1	
嬌	tɕiɔ1	
嬯	tæ1	
嬰	iŋ1	
嬸	səŋ3	
孀	ɕyɑŋ1	
子	tsɿ2	
孔	kʰoŋ2	
孕	yəŋ5	
字	tsɿ5	
存	tsʰəŋ2	
孝	ɕiɔ2	
孟	moŋ5	
季	tɕɿ5	
孤	ku1	
孫	səŋ1	
孵	pu1	孵小雞
學	xuʔ7	
孽	niʔ7	
宇	ʮ2	
守	se2	
安	œ1	
宋	soŋ5	
宏	xoŋ2	
宗	tsoŋ1	
官	kœ1	
宙	tse5	
定	tiŋ5	
宜	ɿ1	便宜
客	kʰəʔ7	
宣	ɕiou1	
室	səʔ7	
宦	xuæ5	
宮	koŋ5	
宰	tsæ3	
害	xæ5	
宴	i2	
宵	ɕiɔ1	
家	kʊ1	
家	tɕiᴀ1	家具
容	yŋ2	
宿	ɕiou5	星宿
宿	sɔʔ7	
寂	tɕiʔ7	
寄	tɕɿ5	
寅	iŋ2	
密	miʔ7	
寇	kʰe5	
富	fu5	
寐	me2	
寒	xœ2	
寓	ʮ2	
寞	mɔʔ7	
察	tsʰᴀʔ7	
寡	kʊ3	
寢	tɕʰiŋ2	
寥	liɔ2	
實	səʔ7	
寧	ȵiŋ2	安寧
寧	ȵiŋ2	寧可
寨	tsæ2	
審	səŋ2	
寫	ɕiᴀ3	
寬	kʰœ1	
寵	tsʰoŋ2	
寶	pɔ2	
寸	tsʰəŋ2	
寺	sɿ5	
封	foŋ5	
射	sʊ5	
射	su	
將	tɕiæ1	將來
將	tɕiæ5	大將
專	tɕiou1	
尊	tɕyəŋ1	
尋	ɕiŋ2	
對	tue2	
導	tɔ2	
小	ɕiɔ3	
少	sɔ3	多少
少	sɔ5	少年
尚	sɑŋ5	
尤	iou1	
尬	kᴀ5	尷尬
就	tɕiou5	
尷	kæ3	尷尬
尹	ɪŋ1	
尺	tsʰəʔ7	
尼	ȵɿ2	
尾	ve	
尿	ȵiɔ5	
局	tsɔʔ7	
屁	pʰɿ5	
居	tɕʮ1	
屆	tɕiɛ2	
屈	tɕʰyɔʔ7	
屋	uʔ7	
屍	sɿ1	
屍	sɿ1	屍體
屎	sɿ3	
屏	piŋ2	圍屏
屑	ɕiʔ7	不屑
屑	ɕiʔ7	木屑
展	tsæ3	
屜	tʰɿ5	
屠	tu2	
屢	lue2	
層	tsʰəŋ2	
屬	sɔʔ7	
屯	təŋ1	
山	sæ1	
岐	tɕʰɿ2	
岑	səŋ1	
岔	tsʰʊ	三岔路
岡	kɑŋ3	
巖	ŋæ2	
岸	œ5	
峰	foŋ5	
島	tɔ3	
峽	ɕiᴀʔ7	
崇	tsʰoŋ2	
崑	kʰuəŋ1	~崙
崔	tɕʰye1	
崖	iᴀ2	山崖
崗	kɑŋ3	
崩	poŋ1	
嵌	kʰæ2	
嵩	soŋ1	
嶺	liŋ2	
嶽	iᴀʔ7	五嶽
嶽	iᴀʔ7	岳父
川	tɕʰiou1	
州	tse1	
巡	ɕyəŋ2	
巢	tsʰɔ2	
工	koŋ1	
左	tsou3	
巧	tɕʰiɔ2	
巨	tɕʮ1	
巫	fu2	
差	tsʰʊ1	差不多,差別
差	tsʰᴀ1	出差
已	ɿ2	
巳	sɿ1	
巴	pʊ1	
巷	xɑŋ5	
巾	tɕiŋ1	
市	sɿ1	
布	pu2	
帆	fæ2	
希	ɕɿ5	
帕	pʰɔʔ7	
帖	tʰiɛʔ7	碑帖,請帖
帚	tse3	
帝	tɿ5	
帥	tɕyæ2	
師	sɿ1	
席	ɕiɛʔ7	席子
席	ɕiʔ7	
帳	tsɑŋ2	
帶	tæ5	
常	tsʰɑŋ2	
帽	mɔ5	
幅	fɔʔ7	
幔	mœ5	
幕	mou5	
幣	pɿ5	
幫	pɑŋ1	
平	piŋ2	
年	ȵi1	
幸	ɕiŋ1	
幹	kœ1	
幹	kæ3	
幻	xuæ5	
幼	iou5	
幽	iou1	
幾	tɕɿ3	茶几
幾	tɕɿ3	幾乎
幾	tɕɿ3	幾箇
庇	pɿ5	
牀	fɑŋ2	白讀
牀	tɕʰyɑŋ2	文讀
序	ɕʮ1	
底	tɿ3	
店	ti2	
庚	kəŋ1	
府	fu1	
度	tu5	
座	tsou2	
庫	kʰu5	
庭	tʰiŋ2	
庵	œ1	
康	kʰɑŋ1	
庸	yŋ1	
廁	tsʰəʔ7	
廂	ɕiæ1	
厦	ɕiᴀ1	廈門
厦	ɕiᴀ5	偏廈,前廊後廈
廉	li2	
廊	lɑŋ2	
廓	kʰuʔ7	
廖	liɔ2	姓
廚	tsʰʮ2	
厮	sɿ1	
廟	miɔ5	
廠	tsʰɑŋ2	
廢	fe2	
廣	kuɑŋ3	
廬	lu2	茅廬,廬山
廳	tʰiŋ1	
延	i2	
廷	tʰiŋ2	
建	tɕi2	
弄	noŋ5	
弊	pɿ5	
式	səʔ7	
弓	koŋ5	
弔	tiɔ5	弔唁
引	iŋ3	
弘	xoŋ2	
弟	tɿ1	
弦	ɕi2	
弱	ȵiᴀʔ7	
張	tsɑŋ1	
強	tɕʰiæ2	
強	tɕʰiæ2	勉強
弼	piʔ7	
彈	tʰæ2	彈琴
彈	tæ5	子彈
彌	mɿ2	
彎	væ1	
形	ɕiŋ2	
彩	tsʰæ2	
彪	piɔ1	
彬	piŋ1	
彭	pʰoŋ2	
影	iŋ2	
彷	fɑŋ3	~彿
役	yəʔ7	
彼	pɿ2	
彿	fəʔ7	彷彿
往	uɑŋ3	
征	tsəŋ1	徵求
征	tsəŋ1	
待	tæ5	
很	xəŋ2	
律	liʔ7	
後	xe1	
徐	tɕʰʮ2	
徑	tɕiŋ5	
徒	tʰu2	
得	təʔ7	
徙	ɕɿ1	
從	tsʰoŋ2	從容
從	tsʰoŋ2	跟從
復	fɔʔ7	~興
循	ɕyəŋ2	
微	ue	
德	təʔ7	
徹	tsʰəʔ7	
徽	xue5	
心	ɕiŋ1	
必	piʔ7	
忌	tɕɿ2	
忍	ᴇn2	
志	tsɿ5	
志	tsɿ5	永志不忘
忘	mɑŋ5	
忙	mɑŋ1	
忠	tsoŋ1	
快	kʰuᴀ5	
念	ȵi5	
忽	xuəʔ7	
忿	fəŋ1	
怒	lu5	
怕	pʰʊ2	
怖	pu2	恐怖
思	sɿ1	
思	sɿ5	
怠	tæ3	
急	tɕiʔ7	
性	ɕiŋ5	
怨	iou2	
怪	kuᴀ2	
怯	tɕʰiᴀʔ7	畏怯
恃	sɿ1	
恐	kʰoŋ2	
恆	xəŋ2	
恕	sʮ5	
恢	xue1	
恤	ɕyəʔ7	
耻	tsʰɿ2	
恨	xəŋ5	
恩	əŋ1	
恭	koŋ1	
息	ɕiʔ7	
恰	tɕʰiᴀʔ7	
悄	tɕʰiɔ1	靜悄悄
悦	yəʔ7	
悉	ɕiʔ7	
悔	xue1	
悟	u5	
患	xuæ5	
悲	pe1	
悶	məŋ5	
情	tɕʰiŋ2	
惑	xuʔ7	
惜	ɕiʔ7	
惟	ue2	
惠	xue5	
惡	uʔ7	恨,可惡
惡	uʔ7	善惡
惰	tou1	
惱	nɔ2	
想	ɕiæ3	
惹	ȵiᴀ2	
愁	tsʰe2	
愉	ʮ2	
意	ɿ5	
愚	ʮ2	
愛	æ2	
感	kæ3	
愧	kʰue5	
慈	tsʰɿ2	
態	tʰæ5	
慌	xuɑŋ1	
慎	səŋ5	
慕	mou2	
慘	tsʰæ2	
慚	tsʰæ2	
慢	mæ5	
慣	kuæ2	
慧	xue5	
慨	kʰæ5	慷慨,感激
慪	e2	慪氣
慮	lʮ5	
慰	ue	
慶	tɕʰiŋ5	
慷	kʰɑŋ1	慷慨
憂	iou1	
憋	piʔ7	閉
憎	tsəŋ1	
憐	li3	
憑	pʰiŋ2	
憤	fəŋ1	
憨	xɑŋ1	癡
憫	miŋ2	
憲	ɕi5	
憶	ɿ	
憾	xæ5	
懂	toŋ3	
懇	kʰəŋ2	
懈	ɕiɛ5	
應	iŋ1	應當,應用
應	iŋ5	應對,回應
懊	ɔ1	
懊	ɔ5	懊悔
懵	moŋ1	懵懂
懶	læ2	
懷	xuæ2	
懸	ɕiou2	
懼	tɕʮ5	
戀	li2	
戈	kou1	
戊	u5	
戌	ɕʮ5	
戎	ȵyŋ2	
成	tsʰəŋ2	
我	ŋou2	
戒	kᴀ5	
或	xuəʔ7	
戚	tɕʰiʔ7	
截	tɕiʔ7	
戰	tsæ2	
戲	ɕɿ2	
戳	tsʰɔʔ7	
戴	tæ2	
户	u1	
房	fɑŋ2	
所	sou2	
扁	pi3	
扇	ɕiou1	動詞
扇	ɕiou5	
手	se3	
才	tsʰæ2	
才	tsʰæ2	剛才
打	tᴀ3	
托	tʰuɔʔ7	託管
托	tʰuɔʔ7	手承物
扛	kɑŋ1	
扣	kʰe5	
扭	ȵiou2	
扮	pæ5	
扳	pæ1	扳倒
扳	pæ1	扳手跤
扶	fu2	
批	pɿ1	
找	tsɔ3	
承	tsʰəŋ2	
技	tɕɿ1	
把	pʊ3	把握 把守 一把
把	pʊ2	柄
抑	niʔ7	
抓	tɕyᴀ1	
投	tʰe2	
抖	te3	
折	tsəʔ7	折疊
折	tsəʔ7	折斷
折	tsəʔ7	弄折了
披	pʰɿ1	
抬	tæ2	
抱	pɔ2	
抵	tɿ3	
抹	mᴀʔ7	抹桌子
抹	mɔʔ7	
押	ᴀʔ7	
抽	tsʰe1	
抿	miŋ	
拄	tsʮ1	拄拐杖
拆	tsʰəʔ7	開
拇	mou2	
拈	ȵi1	拈起來
拉	lᴀ1	
抛	pʰɔ1	
拌	pœ2	
拍	pʰɔʔ7	
拎	liŋ1	
拐	kuᴀ2	
拒	tɕʮ1	
拔	pᴀʔ7	
拖	tʰou1	
拘	tɕʮ1	
拙	tɕʰyəʔ7	
招	tsɔ1	
拜	pᴀ5	
括	kuᴀʔ7	包括
拯	tsəŋ2	拯救
拱	koŋ1	拱手
拳	tɕiou2	
拴	ɕyæ1	栓
拼	pʰiŋ1	拚命
拽	tɕyæ5	
拾	səʔ7	拾起來
拿	ȵᴀ1	
持	tsʰɿ2	
指	tsɿ3	
按	œ5	
挑	tʰiɔ1	
挖	vᴀʔ7	
挨	ŋæ1	挨近,挨住
挪	ȵou2	
振	tsəŋ2	
挺	tʰiŋ2	
挽	uæ2	
捅	tʰoŋ1	捅破了
捆	kʰuəŋ2	
捉	tsɔʔ7	
捋	lu1	捋袖
捎	sɔ1	
捏	ȵiʔ7	
捐	tɕiou1	
捕	pʰu2	
捧	pʰoŋ2	
捱	ŋæ1	捱打,捱罵
捷	tɕiɛʔ7	
捺	nᴀʔ7	撇捺
掀	ɕi1	
掂	ti1	掂掇,掂量
掃	sɔ3	掃地
掃	sɔ5	掃帚
授	se2	
掉	tiɔ5	
掌	tsɑŋ3	
掏	tʰɔ1	
掐	kʰᴀʔ7	
排	pᴀ2	
掘	tɕyəʔ7	
掘	tɕyɔʔ7	
掛	kuᴀ5	
掠	liᴀʔ7	
探	tʰœ2	試探
接	tɕiɛʔ7	
控	kʰoŋ5	
推	tʰue1	
掩	i2	
措	tsʰʮ5	措置
揀	kæ3	
揈	xoŋ1	轟出去
揉	ȵiou1	
描	miɔ2	
提	tʰɿ2	
插	tsʰᴀʔ7	
揖	iʔ7	作揖
揚	iæ2	
換	œ5	
握	uʔ7	
揣	tɕʰyæ1	揣度
揩	kʰæ1	
揪	tɕiou1	
揭	tɕiʔ7	
揮	xue5	
援	iou1	援救
損	ɕyəŋ2	
搓	tsʰou1	
摇	iɔ2	
搛	tɕi1	搛菜,夾菜
搜	se1	
搞	kɔ3	攪
搡	sɑŋ1	
搬	pœ1	般
搭	tᴀʔ7	
搶	tɕʰiæ2	
搽	tʰu2	塗
摔	ɕyæ1	
摘	tsəʔ7	
摞	lou5	摞起來
摟	lou2	摟取
摟	lou2	抱
摩	mou1	
摳	kʰe1	
摸	mɔʔ5	
摹	mou2	摹仿
撇	pʰiʔ7	撇捺,撇開
撈	lɔ1	
撑	tsʰəŋ1	
撑	tsʰəŋ5	椅子撐兒
撒	sᴀʔ7	撒手,撒種
撓	nɔ2	
撕	sɿ1	
撚	ȵi2	以指撚碎
撞	tɕyɑŋ5	
撣	tæ2	雞毛撣子
撤	tsʰəʔ7	
撥	pəʔ7	
撩	liɔ1	撩起來
撫	fu3	
撲	pʰɔʔ7	
擀	kœ3	擀麪
擁	yŋ2	
擇	tsəʔ7	擇菜,選擇
擊	tɕiʔ7	
操	tsʰɔ1	
擎	tɕʰiŋ2	
擒	tɕʰiŋ2	
擔	tæ	擔任
擔	tæ5	挑擔
據	tɕʮ5	
擠	tɕɿ3	
擦	tsʰᴀʔ7	
擬	nɿ1	
擱	kuʔ7	閣
擴	kʰuᴀʔ7	擴充
擺	pᴀ2	
擾	iɔ2	
攀	pʰæ3	
攆	ȵi2	
攏	loŋ2	
攔	læ2	
攙	tsʰæ1	
攝	səʔ7	
攢	tɕiœ1	積攢
攤	tʰæ1	
攪	tɕiɔ2	
攬	læ2	
攮	nɑŋ2	用刀子攮
支	tsɿ1	
收	se1	
改	kæ3	
