#漢字	音標	解釋
□	tɕʰio5	~呸哒,相当“呸”
匹	pʰi7	一~布
區	tɕʰy1	~域
醫	i1	
匿	ti7	
十	sɿ1	
午	u3	
華	xuᴀ2	
協	ɕiᴇ7	
卓	tso1	
博	po7	
卜	pʰu7	
卦	kuᴀ5	
臥	ŋo7	
即	tɕi7	
卻	ȶʰio7	
卸	ɕiᴇ7	
历	ti7	日~
历	ti7	经~
厲	ti5	
壓	iᴀ7	
廁	tsᴇ7	~所
厥	tɕyᴇ7	
厦	ɕiᴀ3	~门
廚	tɕʰy2	
厮	sɿ1	
去	tɕʰiᴇ5	来~
去	tɕʰy5=	来~
叉	tsʰᴀ1	
及	tɕʰi7	
发	fᴀ7	~财
发	fᴀ7	头~
取	tɕʰy3	
敍	ɕy5	
疊	tʰiᴇ7	
古	ku3	
句	tɕy5	
只	tsᴀ7-	
只	tsɿ7=	
只	tsɿ3	~有
可	kʰo3	
史	sɿ3	
葉	iᴇ1	
司	sɿ1	
司	u5	
叻	nᴇ7	
吁	ɕy1	
吁	y5	
吃	tɕʰiᴀ7	
吃	tɕʰi7=	
各	ko7	
合	xuo7	~计
合	kuᴀ7	十~一升
吉	tɕi7=	
吏	ti5	
嚇	xᴀ7	~一跳
嚇	xᴇ7-	恐~
嚇	xᴀ7	恐~
呂	ty3=	~布
吧	pᴀ1	
啓	tɕʰi3	
吳	u2	
吸	tɕʰi7	
吹	tɕʰy1	
吾	u2	
呸	pʰᴇ3	
呼	xu1	
和	xo2	~气
和	xo2	~面
咔	kʰᴀ7	~嚓
咨	tsɿ1	
咳	kʰᴇ7=	~嗽
哈	xᴀ2	~腰
啞	ŋᴀ3	
啞	iᴀ3=	
哥	ko1	
哪	nᴇ3	~个
哪	lᴀ3=	~个
哭	kʰu7	
哲	tsʰᴇ7	
唆	so1	罗~
唾	tʰo5	~沫
啄	tso7	
嗇	sᴇ7	吝~
喇	lᴀ1	~叭
喜	tɕʰi3	
喝	xo7	~酒
喝	xo7	~
喳	tsᴀ1	叽叽喳喳
喻	y7	
嗉	so7	鸟~子
嗜	sɿ5	
嗝	kᴇ2	打~
嗣	sɿ2	
嗤	tsʰɿ1	~笑
嘉	tɕiᴀ1	
嘘	ɕy2	吹~
嘴	tɕy3	
噎	iᴇ7	~住了
器	tɕʰi5	
嚓	tsʰᴀ1	咔~
嚼	tɕʰio1	
四	sɿ5	
固	ku5	
國	kuᴇ7	
地	tʰi5	
址	tsɿ3	
坐	tsʰo5	
壩	pᴀ5	
塢	u1	
坡	pʰo1	
垂	ɕy2	老
垜	to3	
垮	kʰuᴀ3	
域	y7	
埠	pʰu5	商~
基	tɕi1	
堞	tʰiᴇ7	
堤	tʰi2	
塌	tʰᴀ7	~湿了
塑	so7	~像
塔	tʰᴀ7	
塞	sᴇ7	
墓	mu5	
墟	ɕy1	~市
墨	mo7	新,~水
墨	mᴇ7	老,~汁
壁	piᴀ7	
壁	pi7=	
壩	pᴀ5	
士	sɿ5	
殼	kʰo7	
壺	xu2	
處	tɕʰy7	~所
處	tɕʰy3	相~
備	pʰi5	
复	fu7	~原
复	fu7	~兴
夏	xᴀ5	姓
夏	ɕiᴀ5=	姓
夏	xᴀ5	春~
夏	ɕiᴀ5=	春~
夕	ɕi7	
多	to1	
夜	iᴀ5-	
夜	iᴇ5=	
夫	fu1	
失	sɿ7	新
失	sᴇ7	老
頭	mᴀ3	
夷	i2	
夸	kʰuᴀ1	
夾	kᴀ7	
夾	tɕiᴀ7=	
奪	to7	
奇	tɕʰi2	
契	tɕʰi5	~约
奚	ɕi1	
奢	sᴀ1-	
奢	tsʰɿ3	
奢	sᴇ1=	
女	ȵy3	
如	y2	
婦	fu5	
媽	mᴀ1	
妒	tʰu5	
妓	tɕi5	
妣	pʰi3	考~
妥	tʰo3	
妻	tɕʰi1	
妾	tɕʰiᴇ7	
姊	tsɿ3	
始	sɿ3	
姐	tɕiᴀ3	
姐	tɕiᴇ3	
姑	ku1	
姨	i2	
姿	tsɿ1	
娛	ȵy2	
娛	y2=	
娶	tɕʰy3	
婆	pʰo2	
婢	pʰi5	
婿	ɕy5	女~
媚	mi2	
媳	ɕi7	
嫁	kᴀ5-	
嫁	tɕiᴀ5=	
嫡	ti7	
嬉	ɕi1	
子	tsɿ3	
字	tsʰɿ5	
季	tɕi5	
孤	ku1	
學	xo1-	
學	ɕio7=	
孵	fu1	~小鸡
孽	ȵiᴇ7	
宅	tsʰᴇ7	
宇	y3	
宜	ȵi2	
實	sɿ7	
客	kʰᴀ7-	
客	kʰᴇ7=	
室	sɿ7	新
家	kᴀ1-	
家	tɕiᴀ1=	
家	tɕiᴀ1	~具
寂	tɕʰi7=	
寂	tɕʰiᴇ7	老
寄	tɕi5	
密	mi7	
富	fu5	
寓	y5	
寞	mo7	
察	tsʰᴀ7	
寡	kuᴀ3	
寺	tsʰɿ5	
射	sᴀ5	
射	sᴇ5	
射	ɕiᴇ5	
尔	ᴇ3	
屍	sɿ1	
尺	tsʰᴇ7-	
尺	tsʰɿ7	
尺	tsʰᴀ7	
尼	ȵi2	
局	tɕy7	
屁	pʰi5	
居	tɕy1	
屈	tɕʰy7	
屉	ti7	抽~
屋	u7	
屎	sɿ3	
屐	tɕʰiᴀ7-	木~
屐	tɕi7	木~
屑	ɕiᴇ7	不~
屑	ɕiᴇ7	木~
履	ti3	
歲	ɕy5-	
豈	tɕʰi3	
岐	tɕʰi2	
岔	tsʰᴀ5	~路
岳	io7	~父
岳	ŋo7-	南~
岳	io7	新,南~
峽	xᴀ7-	
峽	ɕiᴀ7=	
崍	nᴇ2	
崖	ŋᴀ2-	山~
崖	iᴀ2=	山~
左	tso3	
巨	tɕy5	
巫	u1	
差	tsʰᴀ1	~别
差	tsʰᴀ1	出~
差	tsʰᴀ1	参~
己	tɕi3	
已	i3	
已	tsʰɿ5	
巴	pᴀ1	
市	sɿ5	
布	pu5	
師	sɿ1	
希	ɕi1	
帕	pʰᴀ5	
帖	tʰiᴇ7	请~
帛	pʰᴇ7	
帝	ti5	
席	ɕi7	
席	ɕiᴀ1	~子
幂	mi7	
幄	uo7	
幅	fu7	
幕	mu5	
幕	mo5	
庇	pʰi1	
序	ɕy5	
庫	kʰu5	
底	ti3	
府	fu3	
座	tsʰo5	
庶	ɕy5	
廓	ko7	
异	i5	
弃	ɕi7	
弊	pʰi5	
式	sɿ7	
弟	tʰi5	
弥	mi2	
弱	ȵio7	
弼	pʰi7	
役	y7	
彼	pʰi3	
律	ti7	
徐	ɕy2	
徠	nᴇ2	
得	tᴇ7	
徙	ɕiᴇ7	
御	y5	
德	tᴇ7	
徹	tsʰᴇ7	
必	pi7	
憶	i5	
忌	tɕi5	
忒	tʰᴇ7	~好,意为很好
志	tsɿ5	~向
忽	xu7	
怕	pʰᴀ5	
怖	pu5	恐~
思	sɿ1	
急	tɕi7	
怯	tɕʰiᴇ7	畏~
恃	sɿ5	
恕	ɕy5	
恤	ɕiᴇ7	
息	ɕi7	
息	ɕiᴇ7	老
恰	kʰᴀ7-	
恰	tɕʰiᴀ7=	
恶	u5	
恶	uo7	~人
恶	uo7	善~
悉	ɕi7	
悟	u5	
悦	yᴇ7	
惑	xuᴇ7	
惜	ɕi7-	
惜	ɕiᴇ7	
懼	tɕy5	
惹	ȵiᴀ3	
愈	y7	病~
意	i5	
愚	ȵy2	
愚	y2=	
慈	tsʰɿ2	
慕	mu5	
憋	pi7	
戈	kuo1-	
戈	ko1	
戊	u5	
戌	ɕiᴇ7	
戌	ɕiᴇ7	戊~
戍	ɕy5=	卫~
戲	tɕʰi5-	
戲	ɕi5=	
戲	tɕy5	~剧
我	ŋo3	
或	xuᴇ7	
戚	tɕʰi7=	
戚	tɕʰiᴇ7	老
戟	tɕiᴇ7	
截	tɕiᴇ7	
戳	tsʰo1	
戶	xu5	
戽	xu5	水~
所	so3	
扎	tsᴀ7	
扑	pʰu7	
打	tᴀ3	
托	tʰo7	手承物
托	tʰo7	拜~
執	tsɿ7	~行任务
擴	kʰo7	~充
扯	tsʰᴀ3	
扯	tsʰᴇ3=	
扶	fu2	
批	pʰi1	
扼	ŋᴇ7	
技	tɕʰi5	
把	pᴀ3	~握
抑	i7	
抓	tɕyᴀ1	
折	tsᴇ7	~叠
折	tsᴇ7	~断
折	tsᴇ7	弄~了
撫	fu3	
護	xu7	
披	pʰi1	
抵	ti3	
抹	mo7	~一下
抹	mᴀ7	新,~布
抹	mo7	老,~布
押	iᴀ7	
拄	tɕy5	
拆	tsʰᴀ7	
拆	tsʰᴇ7=	
拇	mu1	
拉	lᴀ1	
拍	pʰᴀ7	~打
拍	pʰᴇ7=	~子
拍	pʰᴇ7=	打
拐	tɕy5	
拒	tɕy5	
拔	pʰᴀ7	
拖	tʰo1	
拘	tɕy1	
拙	tɕyᴇ7	
擬	ȵi3	
撥	po7	
擇	tsʰᴇ7	~菜
括	kuᴀ7	包~
拽	tɕiᴇ7	拖~
拾	sɿ1	~起来
拿	lᴀ1	
持	tsʰɿ2	
挂	kuᴀ5	
挖	uᴀ7	
挾	kᴀ7	~菜
擠	tɕi3	
挪	lo2	
捉	tso7	
捋	lo1	~袖
捏	ȵiᴇ7	
捕	pʰu5	
据	tɕy5	
捷	tɕʰiᴇ7	
捺	lᴀ7	撇~
掇	tso7	拾~
掇	tso7	掂~
掐	kʰᴀ7-	
掐	tɕʰiᴀ7=	
掘	tɕyᴇ7	新
掘	tɕʰyᴇ7	老
掠	tio7	
接	tɕiᴇ7	
措	tsʰo7	~置
擲	tsɿ7	
插	tsʰᴀ7	
揖	i7	作~
握	uo7	
揢	kᴀ5	
揭	tɕiᴇ7	
擱	ko7	
搉	ȶʰio7=	
搉	kʰo7	~蒜
搓	tsʰo1	
搨	tʰᴀ7	~本
搭	tᴀ7	
攜	ɕiᴇ7	
搽	tsʰᴀ2	
攝	ɕiᴇ7	
摘	tsᴀ7	
摘	tsᴇ7	
摞	lo3	~起
摩	mo2	
摸	mo1	
摹	mo2	~仿
撇	pʰiᴇ7	~捺
撒	sᴀ7	~手
撕	sɿ1	
撤	tsʰᴇ7	
撮	tso7	一~米
擖	kuᴀ7	用刀刮
擘	pʰi7	新
擘	pʰiᴀ1	老,用手~开劈
擦	tsʰᴀ7	
擩	y3	~进去
支	tsɿ1	
故	ku5	
敵	ti7	
敝	pʰi7	
敷	fu1	
斜	ɕiᴀ2-	
斜	ɕiᴇ2=	
斥	tsʰɿ7	
斧	fu3	
斯	sɿ1	
施	sɿ1	
旅	ty3	
旗	tɕʰi2	
無	u2	
既	tɕi5	
日	ȵi7	
旨	tsɿ3	
時	sɿ2	
易	i5	
易	i7	交~
昔	ɕi7	
昨	tsʰo7	
是	sɿ7	
普	pʰu3	
智	tsɿ5	
暇	xᴀ2	
暑	ɕy3	
暮	mu5	
曰	yᴇ7	
替	tʰi5	
月	ȵyᴇ1	
服	fu7	
朔	so7	
期	tɕʰi2	时~
木	mu7	
末	mo7	
札	tsᴀ7	
术	ɕy7	
朱	tɕy1	
朴	pʰu7	
朶	to3	
機	tɕi1	
殺	sᴀ7	
雜	tsʰᴀ1	
杈	tsʰᴀ1	
杉	sᴀ1	
李	ti3	
杖	tɕy5	
杞	tɕʰi3	
來	nᴇ2	
杰	tɕʰiᴇ7	
杵	tɕʰy2	
杷	pʰᴀ2	枇~
極	tɕʰi7	新,~端
極	tɕʰiᴇ7	老
枇	pʰi2	~杷
析	ɕi7-	
析	ɕiᴇ7	老
果	ko3	
枝	tsɿ1	
枝	tsʰᴀ1	
樞	tɕʰy2	
枯	kʰu1	
架	kᴀ5-	
架	tɕiᴀ5=	
柏	pᴇ7	
柞	tsʰo7	
查	tsʰᴀ2	调~
柱	tɕy5	
柴	to3	
柿	sɿ5	
梔	tsɿ1	~子花
栅	tsʰᴇ7	~栏
樹	ɕy5	
栖	tɕʰi1	
栗	ti7	
株	tɕy1	
核	xᴇ7	~桃
核	xᴇ7	审~
核	xuᴇ1-	果子~
格	kᴇ7	
桌	tso7	
桌	tso7	~子
椏	ŋᴀ1-	~ 杈
椏	iᴀ1=	~杈
梓	tsɿ3	
梧	u2	~桐
梨	ti2	
梭	so1	~子
梯	tʰi1	
棋	tɕʰi2	
棵	kʰo3	
椅	i3	
植	tsʰɿ7	
橢	tʰo3	~圆
楂	tsʰᴀ2	山~
楔	ɕiᴇ7	~子
楝	tiᴀ1	~树
楣	mi2	
榨	tsᴀ5	油~
榻	tʰᴀ7	
槌	tɕʰy2-	
模	mo2	~子
模	mo2	~范
橘	tɕy7	
橛	tɕyᴇ7	~子
橡	tsʰo1	~树
檗	pʰi7	
欛	pᴀ5	
次	tsɿ5	
欲	y7=	
欺	tɕʰi1	
歇	ɕiᴇ7	
歌	ko1	
止	tsɿ3	
此	tsʰɿ3	
步	pʰu5	
武	u3	
歧	tɕʰi2	
死	sɿ3	
殊	ɕy1	
殖	tsʰɿ7	
毅	ȵi5	新
母	mu1	
比	pi3	~较
畢	pi7	
斃	pi7	
氏	sɿ7	
气	tɕʰi5	
水	ɕy3	老
汁	tɕi7	
汊	tsʰᴀ5	~河
汝	y3	~城
池	tsʰɿ2	
污	u1	
汽	tɕʰi5	~水
沂	i2	~河
沃	uo7	
沙	sᴀ1	
没	mᴇ7	~有
没	mᴇ7	沉~
沫	mo7	
河	xo2	
治	tsɿ5	
泄	ɕiᴇ7	~漏
泊	pʰo7	
泊	pʰᴇ7	梁山~
泌	pi5	
法	fᴀ7	方~
波	po1	
泣	tɕʰi7	
泥	ȵi2	
泥	nᴇ2-	~巴
注	tɕy5	
瀉	ɕiᴇ7	
潑	pʰo7	
澤	tsʰᴇ7	
潔	tɕiᴇ7	
洗	ɕi3	
洛	lo7	
活	xuᴇ1-	
活	xo7=	
洼	uᴀ1	
洽	tɕʰiᴀ7	
濁	tsʰo1	
測	tsʰᴇ7	
濟	tɕʰi5	
滸	xu3	水~
浙	tsᴇ7	
浞	tso7	水湿
浦	pʰu5	
浮	fu2=	
涉	sᴇ7	
涕	ti5	鼻~
淶	nᴇ2	
澀	sᴇ7	
涮	sᴀ7	洗~
涯	iᴀ2	天~
液	i7	
涿	tso7	~县
淤	y1	
漁	y2=	
渠	tɕʰy2	
渣	tsᴀ1	
渴	kʰo7	
湖	xu2	
溼	sᴇ7	
溺	ȵi7	新,死
溺	ȵiᴇ7	老,~死
滋	tsɿ1	
滑	uᴀ1	
滑	uᴀ1	狡~
滓	tsɿ5	
滯	tsɿ7	~停
滴	tiᴀ7	
滴	ti7=	
漆	tɕʰi7	
激	tɕi7	
瀑	pʰo5	又,~布
火	xo3	
滅	miᴇ7	
炙	tsᴀ7	
炙	tsɿ7=	
炸	tsᴀ5	~弹
炸	tsᴀ7	用油~
烈	tiᴇ7	
烙	lo7	
熱	ȵiᴇ1	
焯	tso7	把菜放水里~一下,用筛洗
煮	tɕy3	
熄	ɕi7	
熙	ɕi1	
爬	pʰᴀ2	
爵	tɕʰio7-	
爵	tɕio7=	
父	fu5	
爺	iᴀ2-	
爺	iᴇ1=	
爸	pᴀ1	
爹	tiᴀ1	
牒	tʰiᴇ7	
牙	ŋᴀ2-	
牙	iᴀ2=	
牛	tsʰɿ5	
牡	mu1	
牧	mu7	
物	u7	
牯	ku3	
特	tʰᴇ7	
犧	ɕi1	
犀	ɕi1	
狄	tʰi7	
狐	xu2	
狹	ɕiᴀ7	
獅	sɿ1	
獄	y7	
狸	ti2	
獵	tiᴇ7	
獼	mi2	~猴桃
豬	tɕy1	
獺	tʰᴀ7	水~
率	ti7	速~
玉	y5	
玍	kᴀ2	好~,人蠢的意思
璽	ɕi7	
玻	po1	~璃
珠	tɕy1	
理	ti3	
瑣	so3	~碎
琢	tso7	
琵	pʰi2	~琶
瑕	ɕiᴀ2	
瑟	sᴇ7	
璃	ti2	玻~
璧	pi7	
瓜	kuᴀ1	
瓠	xu2	~芦
瓦	ŋᴀ3	
瓦	uᴀ3	动词
瓷	tsʰɿ2	
甫	fu3	
甲	tɕiᴀ7	
畫	xuᴀ5	
略	tio7	
畦	ɕi1	菜~
疑	ȵi2	
瘧	ȵio7	~疾
疤	pᴀ1	
疫	y7	
疲	pʰi2	
疵	tsʰɿ1	吹毛求~
疾	tɕi7	
痂	kᴀ1	
痔	tsɿ5	
痢	ti5	
痣	tsɿ5	
痳	mᴀ2	
癡	tsʰɿ1	
痹	pi5	麻~
瘩	tᴀ7	
癟	piᴇ3	
瘰	lo3	~疡
瘸	tɕʰyᴀ2	~腿
白	pʰᴀ1	
白	pʰᴇ7=	
百	pᴇ7	
的	ti7	目~
皮	pʰi2	
盂	y2	
益	i7	
盒	xo7	烟~
目	mu7	
直	tsʰɿ7	新
直	tsʰɿ1	老
眉	mi2	
眨	tsᴀ7	~眼
眵	tsɿ1	眼~
着	tɕio7	~衣
着	tɕio7	睡~
睞	nᴇ2	
睡	ɕy5	老
瞎	xᴀ7	
瞖	y7	目~
瞿	tɕʰy2	
矢	sɿ3	
矣	i1	
知	tsɿ1	
矩	tɕy3	规~
矬	tsʰo3	
石	sᴀ1-	
石	sɿ7=	
碼	mᴀ3	
砌	tɕʰi5	
砑	ŋᴀ5	~平
破	pʰo5	
確	kʰo7	
確	ȶʰio7=	
碚	fu3	
碟	tʰiᴇ7	
碧	pi7	
磁	tsʰɿ2	~石
磕	ko7	
磨	mo2	~刀
磨	mo5	~面
示	sɿ5	
禮	ti3	
社	sᴀ5	
社	sᴇ5	
祀	sɿ5	祭~
祁	tɕʰi2	
祈	tɕʰi5	
祠	tsʰɿ2	
祭	tɕi5	
禍	xo5	
福	fu7	
禹	y3	
离	ti2	
离	ti2	~开半步
禾	uo2	
私	sɿ1	
科	kʰo1	
秕	pi3	~子
秘	pi5	
秘	pʰi5	~书
秩	tsʰɿ7	
秫	ɕy7	
積	tɕi7=	
積	tɕiᴇ7	老
移	i2	
稀	ɕi1	
稆	ty3=	
税	ɕy5=	
稙	tsɿ7	早种禾
稚	tsɿ7	幼~
稼	tɕiᴀ5=	
稽	tɕi1	
穆	mu7	
穴	ɕyᴇ1	
窄	tsᴀ7	
窄	tsᴇ7	
窩	uo1	
窟	tɕʰy7	~窿
豎	ɕy5	
筆	pi7	
笛	tʰi7	
笠	ti7	
笡	ɕiᴀ5	
符	fu2	
第	ti5	
筏	fᴀ1	
答	tᴀ7	
策	tsʰᴇ7	
箍	ku1	
籮	lo2	
箸	tɕy5	筷子
篦	pʰi5	
籬	ti2	
篾	miᴇ1	竹~
簸	po5	
簿	pʰu5	
籍	tɕʰi7=	~贯
籍	tɕʰiᴀ5-	书~
籰	io1	收丝器
米	mi3	
粒	ti7	
粤	yᴇ7	
粥	mi2	
糍	tsʰɿ2	
糜	mi2	
糯	lo5	~米
系	tɕi5	~鞋带
系	ɕi5	联~
索	so7	绳~
紫	tsɿ3	
絮	ɕy5	
約	io7	
級	tɕʰi7	
紀	tɕi3	~律
紗	sᴀ1	
納	lᴀ7	
紙	tsɿ3	
細	ɕi5	
織	tsɿ7	
結	tɕiᴇ7	
絡	lo7	
絶	tɕiᴇ7	新, ~对
絶	tɕʰiᴇ1	老
綏	ɕy1	
繼	tɕi5	
績	tɕi7=	
績	tɕiᴇ7	老
緒	ɕy5	
綽	tsʰo7	宽~
緝	tɕi7	~鞋口
編	tɕi7	
縛	fo1	
縊	i7	
缺	tɕʰyᴇ7	
羅	lo2	
羅	lo1	~嗦
罰	fᴀ1	
罷	pᴀ5	
置	tsʰɿ7	
署	ɕy5	专~
罹	ti2	~难
羽	y3	
翅	tsɿ7	
翼	i7	
而	ᴇ2	
耍	sᴀ3	
耙	pʰᴀ2	犁~
耳	ᴇ3	
耶	iᴀ1-	
耶	iᴇ3=	
耷	tᴀ7	
耻	tsʰɿ3	
聶	ȵiᴇ7	姓
職	tsɿ7	
聒	kuᴀ1	~耳朵
聚	tɕy5	
肄	i5	~业
肆	sɿ5	
肋	nᴇ7	
肌	tɕi1	
股	ku3	
肢	tsɿ1	
膚	fu1	
脅	ɕiᴀ7	腋
胛	tɕiᴀ7	肩~
胡	xu2	
胳	ko7	~臂
胸	pʰu2	
脂	tsɿ3	
脉	mᴇ7	
脊	tɕi7	
臍	tɕʰi2	
脚	ȶio7	
脯	pʰu2	
脯	pʰu7	杏~
脱	tʰo7	
脾	pʰi2	
臘	lᴀ7	
腋	i7	
腌	iᴇ7	~黄瓜
腐	fu3	
腑	fu3	
腡	lo2	
腹	fu7	
膩	ȵi5	
膜	mo1	
膝	tɕʰi7	
臂	pi7	
自	tsɿ5	
至	tsɿ5	
致	tsɿ5	
舌	sᴇ1	
舍	sᴀ3	~得
舍	sᴇ3=	宿~
舒	ɕy1	
舞	u3	
舵	tʰo5	
色	sᴇ7	
藝	ȵi5	
節	tɕiᴇ7	
芋	y5	
芍	ɕio7	~药花
芙	fu2	~蓉
芝	tsɿ1	
芭	pᴀ1	
花	xuᴀ1	
芽	ŋᴀ2-	
芽	iᴀ2=	
若	io7	
苦	kʰu3	
苧	tɕʰy5	同苎,~麻
茄	tɕʰyᴀ2	~子
茬	tsʰᴀ1	
茶	tsʰᴀ2	
荔	ti5	~枝
薺	tɕi5	
藥	io1	
荷	xo5	
荷	xo2	~花
莎	sᴀ1	~草
莝	tsʰo1	~草
莫	mo7	
萊	nᴇ2	
获	xo7	
菊	tɕy7	~花
菠	po1	~菜
菩	pʰu2	~萨
薩	sᴀ7	
落	lo7	
著	tɕy5	显~
葛	ko7	
蒲	pʰu2	
蓑	so1	
蓖	pi1	
蔑	miᴇ7	
蔗	tsᴀ5	
蔗	tsᴇ5=	
蔽	pʰi7	
蕨	tɕyᴇ7	
薄	pʰo1	
薄	pʰo5	~荷
薛	ɕiᴇ7	
薯	ɕy2	红~
藉	tɕiᴀ5-	~故
藉	tɕʰiᴀ5-	狼~
藉	tɕʰi5=	狼~
藿	kʰo7	~香
虎	xu3	
虐	ȵio7	
虚	ɕy2	
虞	ȵy2	
虞	y2=	
虱	sᴇ7	
雖	ɕy1	
蝦	xᴀ2	鱼~
蝕	sɿ7	
蟻	ȵi5	
蚧	kᴇ7	~蟆
蛀	tɕy5	
蛆	tɕʰy1	生~
蛇	sᴀ2	
蛙	uᴀ1	
蛛	tɕy1	
蛤	xᴀ1	~蜊
蛤	xᴀ2	~蟆
蟄	tsɿ7	~人
蟄	tsɿ7	惊~
蛾	ŋo1	
蜈	u2	
蜕	tʰo7	~皮
蝸	uo1=	
蝸	kuᴀ1-	~牛
蜘	tsɿ1	
蜜	mi7	
蠟	lᴀ7	
蠍	ɕiᴇ1	
蝠	fu7	蝙~
蝶	tʰiᴇ7	
螺	lo2	~蛳
蟆	mᴀ2	蛤~
蟢	tɕʰi3	~子
蠚	xo7	蜂~人,同蜇
血	ɕyᴇ7	
衙	ŋᴀ2-	
衙	iᴀ2=	
衣	i1	
補	pu3	
袜	uᴀ7	
被	pʰi5	~子
被	pʰi5	~打
襲	ɕi7	
裂	tiᴇ7	
裌	kᴀ7	
裕	y7	
褲	kʰu5	
裸	lo3	~体
裹	ko3=	
複	fu7	
褚	tɕʰy5	姓
褶	tsᴇ7	~子
西	ɕi1	
覆	fu7	翻~
覓	mi7	
視	sɿ5	
覺	ȶio7	知~
角	ȶio7	新,一~钱
角	ko7	老,牛~
譽	y7	荣~
誌	tsɿ5	日~
誓	sɿ5	
譬	pi7	~喻
計	ku1	
計	tɕi5	
訃	fu5	
譏	tɕi1	
議	ȵi5	
記	tɕi5	
許	ɕy3	
訛	ŋo1	
設	sᴇ7	
訣	tɕyᴇ7	
識	sɿ7	
詐	tsᴀ5	
詞	tsʰɿ2	
譯	i7	
試	sɿ5	
詩	sɿ1	
誅	tɕy1	
話	xuᴀ5	
誣	u1	
語	ȵy3	
誤	u5	
説	ɕyᴇ7	~话
諸	tɕy1	
諾	lo7	又,承~
諾	ȵio7	又,许~
課	kʰo5	
誼	ȵi2	
諜	tʰiᴇ7	
謎	mi5	
謝	ɕiᴇ5	
謐	mi7	静~
譜	pʰu3	
谷	ku7	五~
谷	ku7	山~
豁	xo7	~然
豉	sɿ7	豆~
豕	sɿ3	
