#漢字	音標	解釋
□	liᴀ3	舔
向	ɕiᴀŋ5	
呂	lyi3	
君	tɕyn1	
吞	tʰuən1	
吠	fɐi5	
否	fɐu3	
含	xæ̃2	
聽	tʰɪn1	
啓	tɕʰi3	
吳	u2	
吵	tsʰɔ3	
吸	ɕi2	
吹	tsʰuɐi1	
吻	uən3	
吼	xɐu3	
呈	tsʰən2	
告	kɔ5	
嘔	ŋɐu3	
員	ʏei2	
周	tsɐu1	
味	uɐi5	
呼	xu1	
命	mɪn5	
和	xou2	
和	xou5	~面
咒	tsɐu5	
咨	tsɿ1	
咬	ŋɔ3	
咸	ɕieɪ2	
哀	ŋæ̃1	
品	tɕien1	
品	pʰɪn3	
啞	iᴀ3	
哪	nᴀ3	
哭	kʰu2	
哲	tsɤɯ2	
唆	sou1	
脣	tsʰuən2	
唐	tʰᴀŋ2	
喚	xuɤɯ5	
售	sɐu5	
唯	uɐi2	
唱	tsʰᴀŋ5	
商	sᴀŋ1	
善	sɤɯ5	
喉	xɐu2	
喊	xæ̃3	
喘	tsʰuæ̃3	
喜	ɕi3	
喝	xou1	
喝	xou5	~彩
喧	ɕyẽ1	
噴	pʰən1	
喻	yi5	
嗅	ɕiɐu5	
嗉	su5	
嗓	sᴀŋ3	
嗜	sɿ5	
嗤	tsʰɿ1	
嗽	sɐu5	
嘉	tɕiᴀ1	
嘘	ɕyi1	
囑	tsu2	
嘴	tsuɐi3	
器	tɕi5	
囂	ɕiɔ1	
嚷	zᴀŋ3	
囚	tɕʰiɐu2	
四	sɿ5	
回	xuɐi2	
因	ien1	
团	tʰuɤɯ2	
園	ʏei2	
困	kʰuən5	
囱	tsʰoŋ1	
圍	uɐi2	
固	ku5	
國	kuɤɯ2	
圖	tʰu2	
圓	ʏei2	
圈	tɕʰyẽ1	
圈	tɕyẽ5	猪~
土	tʰu3	
聖	sən5	
在	tsæ̃5	
地	ti5	
場	tsʰᴀŋ2	
址	tsʰɿ3	
均	tɕyn1	
坍	tʰæ̃1	
坎	kʰæ̃3	
壞	xuæ̃5	
坐	tsʰou5	
坑	kʰən1	
塊	kʰuɐi5	
堅	tɕieɪ1	
坛	tʰæ̃2	
壩	pᴀ5	
墳	fən2	
墜	tsuɐi5	
坡	pʰou1	
坤	kʰuən1	
坦	tʰæ̃3	
坪	pʰɪn2	
坯	pʰɐi1	
坳	ŋɔ5	
垂	tsʰuɐi2	
壠	loŋ3	
型	ɕien2	
垒	lɐi3	
墾	kʰən3	
墊	tei5	
垮	kʰuᴀ3	
埋	mɐi2	
城	tsʰən2	
域	yi2	
培	pʰɐi2	
基	tɕi1	
堂	tʰᴀŋ2	
堆	tuɐi1	
堡	pɔ3	
堤	tʰi2	
堪	kʰæ̃1	
堰	ieɪ5	
堵	tu3	
塌	tʰᴀ2	
塑	su5	
塔	tʰᴀ2	
塗	tʰu2	
塘	tʰᴀŋ2	
塞	sɤɯ2	
填	tʰei2	
境	tɕien5	
墓	mu5	
牆	tɕʰiᴀŋ2	
增	tsən1	
壕	xɔ2	
壤	zᴀŋ3	
士	sɿ5	
壯	tsuᴀŋ5	
聲	sən1	
壺	fu2	
處	tsʰu5	
處	tsʰu3	相~
備	pɐi5	
复	fu5	
夏	ɕiᴀ5	
夕	ɕi2	
外	uæ̃5	
多	tou1	
夜	ieɪ5	
够	kɐu5	
大	tᴀ5	
天	tʰei1	
太	tʰæ̃5	
夫	fu1	
央	iᴀŋ1	
失	sɿ2	
頭	tʰɐu2	
夾	tɕiᴀ2	
奪	tou2	
奇	tɕʰi2	
奈	næ̃5	
奉	foŋ5	
奮	fən5	
奎	kʰuɐi2	
奏	tsɐu5	
奔	pən1	
套	tʰɔ5	
奠	tei5	
奢	sɤɯ1	
奧	ŋɔ5	
女	ȵyi3	
奶	næ̃3	
奸	tɕieɪ1	
好	xɔ3	
如	zu2	
妄	uᴀŋ5	
婦	fu5	
妙	miɔ5	
妥	tʰou3	
妨	fᴀŋ2	
妬	tu5	
妹	mɐi5	
妻	tɕʰi1	
姊	tsɿ3	
始	sɿ3	
姐	tɕieɪ3	
姑	ku1	
姓	ɕien5	
委	uɐi3	
姚	iɔ2	
姜	tɕiᴀŋ1	
姨	i2	
姪	tsɿ2	
姻	ien1	
威	uɐi1	
嬌	iɔ1	
娘	niᴀŋ2	
娛	yi2	
娶	tɕʰyi3	
婆	pʰou2	
婚	xuən1	
嬰	ien1	
婿	ɕyi5	
媒	mɐi2	
媚	mɐi5	
媳	ɕi2	
嫁	tɕiᴀ5	
嫂	sɔ3	
嫌	ɕieɪ2	
嬉	ɕi1	
孔	kʰoŋ3	
孕	yn5	
存	tsʰuən2	
孫	suən1	
孝	ɕiɔ5	
孟	yi2	
孟	moŋ5	
季	tɕi5	
孤	ku1	
學	ɕiou2	
孩	xæ̃2	
孵	fu2	
孽	lei2	
孽	nieɪ2	
寧	nɪn2	
寧	nɪn5	~可
宅	tsɤɯ2	
宇	yi3	
守	sɐu3	
安	ŋæ̃1	
宋	soŋ5	
完	uɤɯ2	
宏	xoŋ2	
宗	tsoŋ1	
官	kuɤɯ1	
宙	tsɐu5	
宜	i2	
寶	pɔ3	
實	sɿ2	
寵	tsʰoŋ3	
審	sən3	
客	kʰɤɯ2	
宣	ɕyẽ1	
室	sɿ2	
宪	ɕieɪ5	
宮	koŋ1	
宰	tsæ̃3	
害	xæ̃5	
宵	ɕiɔ1	
家	tɕiᴀ1	
容	zoŋ2	
寬	kʰuɤɯ1	
賓	pɪn1	
宿	su2	
寂	tɕi2	
寄	tɕi5	
密	mi2	
寇	kʰɐu5	
富	fu5	
寒	xæ̃2	
寓	yi5	
寢	tɕʰien3	
察	tsʰᴀ2	
寡	kuᴀ3	
寨	tsæ̃5	
寸	tsʰuən5	
對	tuɐi5	
寺	sɿ5	
尋	ɕyn2	
導	tɔ5	
壽	sɐu5	
封	foŋ1	
射	sɤɯ5	
將	tɕiᴀŋ1	
小	ɕiɔ3	
少	sɔ3	
少	sɔ5	~年
尖	tɕieɪ1	
塵	tsʰən2	
尚	sᴀŋ5	
尤	iɐu2	
堯	iɔ2	
就	tɕiu5	
屍	sɿ1	
尹	yn3	
尺	tsʰɿ2	
尼	ni2	
尽	tɕien5	
尾	uɐi3	
