#漢字	音標	解釋#('wuu_th_shj_csts', '常熟唐市話', '常熟唐市', '#8B0000', None, None, '來源：<u>鶩高赭紗匕</u>', '53 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,44 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,423 5 3a 陰去 ꜄,213 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇', None, None)
嫁	kɑ5	【白读】出～
嫁	tɕiɑ5	【文读】～接
嫂	sɔ3	
嫉	dziɪʔ8	
嫖	biɔ2	
嫡	tiɪʔ7	
嫣	ie1	
嫩	nᴇ̃6	
嬉	ɕi1	
嬋	zᴇ2	
嬌	tɕiɔ1	
嬙	dziã2	
嬰	iŋ1	
嬲	ȵiɔ4	
嬸	sᴇ̃3	
孃	ȵiã1	
孌	lɤ2	
子	tsɿ3	
孑	tɕiɪʔ7	
孓	tɕioʔ7	
孔	kʰoŋ3	
孕	ɦioŋ6	
字	zɿ6	
存	dzᴇ̃2	
孚	fu1	
孛	bᴇ6	～儿只斤
孛	bᴇʔ8	～相
孜	tsɿ3	
孝	hɔ5	【白读】戴～
孝	ɕiɔ5	【文读】～顺
孟	mã6	
孢	pɔ1	
季	tɕi5	
孤	ku1	
孩	ɦæ2	
孫	sᴇ̃1	
孰	zoʔ8	
孵	fu1	～化
孵	bu6	～小鸡
學	ɦɔʔ8	【白读】～习；～生；～堂；小～、中～、大～（学校）
學	ɦiɔʔ8	【文读】～校；大～（儒家经典）
孽	ȵiɪʔ8	
孿	lɤ2	
宁	dzɿ4	
它	tʰɑ1	
宅	zɑʔ8	
宇	ɦi4	
守	sɯ3	
安	ɤ1	
安	hɤ1	诸～浜（上海长宁地名）
宋	soŋ5	
完	ɦuɤ2	
宏	ɦoŋ2	
宓	miɪʔ8	
宓	voʔ8	
宕	dɒ̃6	
宗	tsoŋ1	
官	kuɤ1	
宙	dzɯ6	
定	diŋ6	
宛	uɤ3	
宜	ȵi2	
客	kʰɑʔ7	
宣	sie1	
室	sᴇʔ7	
宥	ɦiɯ6	
宦	ɦuæ6	
宮	koŋ1	
宰	tsæ3	
害	ɦæ6	
宴	ie5	
宵	siɔ1	
家	kɑ1	【白读】一～人；大～；人～
家	tɕiɑ1	【文读】国～；～庭；～教
宸	zᴇ̃2	
容	ɦioŋ2	
宿	siɯ5	星～
宿	soʔ7	
寂	dziɪʔ8	
寄	tɕi5	【文读】
寄	kᴇ5	【白读】
寅	ɦiŋ2	
密	miɪʔ8	
寇	kʰᴇ5	
富	fu5	
寒	ɦɤ2	
寓	ȵi6	
寞	mɔʔ8	
察	tsʰaʔ7	
寡	ku3	
寢	tsʰiŋ3	
寣	huoʔ7	
寥	liɔ2	
實	zᴇʔ8	
寧	ȵiŋ2	
寧	ȵiŋ6	～可
寨	dzɑ6	
審	sᴇ̃3	
寫	siɑ3	
寬	kʰuɤ1	
寰	ɡuæ2	
寵	tsʰoŋ3	
寶	pɔ3	
寸	tsʰᴇ̃5	
寺	zɿ6	
封	foŋ1	
射	dzu6	【白读】～击
射	zᴇ6	【文读】高～炮；～阳（江苏地名）
射	zɔʔ8	～箭
射	dzɑ6	排泄
將	tsiã1	～来
將	tsʰiã1	～子无怒
將	tsiã5	大～；～（象棋攻将）
專	tsᴇ1	
尉	uᴇ5	
尉	ioʔ7	～迟（复姓）
尊	tsᴇ̃1	
尋	ziŋ2	
對	tᴇ5	
導	dɔ6	
小	siɔ3	
少	sɔ5	～年
少	sɔ3	多～
尕	kɑ3	
尖	tsie1	
尤	ɦiɯ2	
尬	kɑ5	
就	dziɯ6	【文读】～业
就	zɯ6	【白读】副词；～近
尷	kæ1	
尹	ɦiŋ4	
尺	tsʰɑʔ7	
尻	kʰɔ1	
尼	ȵi2	
尾	mi4	【白读】
尾	vi4	【文读】结～
尾	ȵi4	～巴
尿	ȵiɔ3	～素；糖～病
尿	sɿ1	拆～（小便）
局	dʑioʔ8	
屁	pʰi5	
屄	pi1	
居	tɕi1	～家桥（上海浦东地名）
居	tɕi1	【文读】～住；～民
居	kᴇ1	【白读】拥有：～家当，～铜钱
屆	tɕiɑ5	【文读】～时；第一～
屆	kɑ5	【白读】
屈	tɕʰioʔ7	
屋	oʔ7	
屋	uoʔ7	～里
屍	sɿ1	
屏	biŋ2	
屐	dʑiɑʔ8	
屑	siɪʔ7	
展	tsᴇ3	
屠	dɯ2	
屢	li3	
層	dzᴇ̃2	
履	li4	
屬	zoʔ8	
屯	dᴇ̃2	
山	sæ1	
岐	dʑi2	
岑	dzᴇ̃2	
岔	tsʰu5	
岡	kɒ̃1	
岢	kʰɯ3	
岩	ŋæ2	
岫	ziɯ6	
岬	kaʔ7	
岱	dæ6	
岳	ŋɔʔ8	
岷	miŋ2	
岸	ŋᴇ̃6	
峋	siŋ1	
峨	ŋɯ2	
峭	tsʰiɔ5	
峯	foŋ1	
島	tɔ3	
峻	tsiŋ5	
峽	ɦiaʔ8	【文读】三～
崇	dzoŋ2	
崔	tsʰᴇ1	
崖	ŋɑ2	【白读】
崖	ɦiɑ2	【文读】
崗	kɒ̃1	
崛	dʑioʔ8	
崤	ɦiɔ2	
崩	pᴇ̃1	
崮	ku5	
崴	uæ3	
崴	uᴇ1	
崽	tsæ3	
嵇	tɕi1	
嵊	dzᴇ̃6	
嵋	mᴇ2	
嵌	kʰæ5	
嵐	lᴇ̃2	
嵩	soŋ1	
嶂	tsɒ̃5	
嶗	lɔ2	
嶙	liŋ2	
嶺	liŋ4	
巍	ɦuᴇ2	
巍	ɦi2	～塔（江苏昆山地名）
巒	lɤ2	
巘	ȵie4	
川	tsʰᴇ1	
州	tsɯ1	
巡	dziŋ2	
巢	dzɔ2	
工	koŋ1	
左	tsɯ3	
左	tsi5	
巧	kʰɔ3	【白读】～果
巧	tɕʰiɔ3	【文读】
巨	dʑi6	
差	tsʰu1	
差	tsʰɿ1	参～
差	tsʰɑ1	出～；～头
己	tɕi3	
已	i3	
巳	zɿ4	
巴	pu1	【白读】嘴～；尾～；～城（江苏昆山地名）
巴	pɑ1	【文读】～西；～士
巷	ɦɒ̃6	
巾	tɕiŋ1	
市	zɿ4	
布	pu5	
帆	væ2	
希	ɕi1	
帕	pʰu5	符合《集韵》普驾切
帕	pʰɑ5	～斯卡
帖	tʰiɪʔ7	
帚	tsɯ3	
帛	bɑʔ8	
帝	ti5	
帥	sæ5	
師	sɿ1	
席	dziɪʔ8	
帳	tsã5	
帶	tɑ5	
常	dzã2	【文读】～州，～熟（江苏地名）
帽	mɔ6	
幀	tsᴇ̃5	
幅	foʔ7	
幌	ɦuɒ̃4	
幕	mu6	习惯上不读入声
幟	tsʰɿ5	
幢	dzɒ̃2	经～
幢	dzɒ̃6	一～楼
幣	bi6	
幫	pɒ̃1	
干	kɤ1	～戈；～犯；～涉；～预；～将（剑名，人名）；～巷（上海金山地名）
平	biŋ2	
年	ȵie2	
并	piŋ1	～州
幸	ɦiŋ4	【文读】
幹	kɤ5	树～；躯～；～将（能干的或者敢干的人）；才～；实～
幻	ɦuæ6	
幻	ɦu6	～溇（浙江湖州地名）
幼	iɯ5	
幽	iɯ1	
幾	tɕi1	～乎
幾	tɕi3	～个
庇	pi5	
牀	zɒ̃2	
序	dzi4	
底	ti3	
店	tie5	
庚	kã1	
府	fu3	
度	dɯ6	
座	zɯ6	
庫	kʰu5	
庭	diŋ2	
庵	ᴇ̃1	
庶	sɿ5	
康	kʰɒ̃1	
庸	ɦioŋ2	
廁	tsʰɿ5	
廂	siã1	
廄	tɕiɯ5	
廈	ɦu4	
廉	lie2	
廊	lɒ̃2	
廓	kʰuɔʔ7	
廖	liɔ6	
廚	dzɿ2	
廝	sɿ1	
廟	miɔ6	
廠	tsʰã3	
廡	vu4	
廢	fi5	
廣	kuɒ̃3	
廬	lɯ2	
廳	tʰiŋ1	
延	ɦie2	
廷	diŋ2	
建	tɕie5	
廿	ȵiæ6	二十
弄	loŋ6	
弇	ie3	～山园（太仓的一座园林）
弊	bi6	
弋	ɦiɪʔ8	
式	sᴇʔ7	
弑	sɿ5	
弓	tɕioŋ1	
引	ɦiŋ4	
弗	fᴇʔ7	否定词
弘	ɦoŋ2	
弛	dzɿ2	
弟	di4	
弦	ɦie2	
弧	ɦu2	
弱	zɑʔ8	【文读】
張	tsã1	
強	dʑiã2	～大
強	tɕʰiã3	勉～
弼	biɪʔ8	
彈	dæ6	
彈	dæ2	～棉花；～被絮
彌	mi2	
彎	uæ1	
彗	ɦuᴇ6	
彙	ɦuᴇ6	词～；～编
形	ɦiŋ2	
彤	doŋ2	
彩	tsʰæ3	～色；～票
彪	piɔ1	
彬	piŋ1	
彭	bã2	
彰	tsɒ̃1	
影	iŋ3	
彷	bɒ̃2	
役	ɦioʔ8	
往	uɒ̃3	
徂	zɯ2	
待	dæ4	
很	hᴇ̃3	
律	liɪʔ8	
後	ɦᴇ4	前～；先～；以～
徐	zi2	
徒	dɯ2	
得	tᴇʔ7	
徙	si3	
從	dzoŋ2	
從	tsʰoŋ1	～容
徨	ɦuɒ̃2	
復	voʔ8	～兴
復	vᴇ6	【文读】唧唧～唧唧
循	dziŋ2	
徭	ɦiɔ2	
微	mi2	【白读】一～～
微	vi2	【文读】～小；～波；～信。（注意：“微信”不可以读成“威信”。）
徵	tsᴇ̃1	
德	tᴇʔ7	
徹	tsʰᴇʔ7	
徽	huᴇ1	
心	siŋ1	
必	piɪʔ7	
忌	dʑi6	
忍	ȵiŋ4	【白读】
忍	zᴇ̃4	【文读】
忐	tʰᴇ̃3	
忑	tʰᴇʔ7	
忒	tʰᴇʔ7	副词，相当于普通话的“太”
忖	tsʰᴇ̃3	
志	tsɿ5	
忘	mɒ̃6	【白读】～记
忘	vɒ̃6	【文读】健～；失～
忙	mɒ̃2	
忝	tʰie3	
忠	tsoŋ1	
忤	ŋ̍4	【白读】～逆
快	kʰuɑ5	
快	kʰɑ5	～活
念	ȵiæ6	
忻	ɕiŋ1	
忽	huoʔ7	
忿	fᴇ̃5	
慫	soŋ3	弄～（捉弄）
怒	nɯ6	
怕	pʰu5	
怖	pu5	
思	sɿ1	～考；～念
思	sɿ5	意～；～绪；心～
怠	dæ4	
急	tɕiɪʔ7	
性	siŋ5	
怨	iɤ5	
怪	kuɑ5	
怳	huɒ̃3	
恁	nᴇ̃6	
恃	zɿ4	
恆	ɦᴇ̃2	
恐	kʰoŋ3	
恘	tɕʰiɯ1	坏
恙	ɦiã6	
恢	kʰuᴇ1	
恤	siɪʔ7	
恥	tsʰɿ3	
恨	ɦᴇ̃6	
恩	ᴇ̃1	
恬	die2	
恭	koŋ1	
息	siɪʔ7	
恰	kʰaʔ7	【白读】～～（正好达到，勉强达到）
恰	tɕʰiaʔ7	【文读】～当
恿	ioŋ3	
悄	tsʰiɔ1	
悄	tsʰiɔ3	～然无声
悅	ɦioʔ8	
悉	siɪʔ7	
悍	ɦɤ6	
悒	iɪʔ7	
悔	huᴇ3	
悔	huᴇ5	
悖	bᴇ6	
悟	ŋɯ6	
悠	iɯ1	
患	ɦuæ6	
悤	tsʰoŋ1	
您	niŋ2	北语
憫	miŋ4	
悲	pᴇ1	
悴	dzᴇ6	
悶	mᴇ̃1	
悸	dʑi6	
悽	tsʰi1	
情	dziŋ2	
惋	uɤ3	
惑	ɦuoʔ8	
惚	huoʔ7	
惜	siɪʔ7	
惟	vi2	
惠	ɦuᴇ6	
惡	u5	可～
惡	ɔʔ7	～毒
惦	tie5	
懼	dʑi6	
惰	dɯ6	
惰	dɯ4	
惱	nɔ4	
想	siã3	
惶	ɦuɒ̃2	
惹	dzɑ4	
惺	siŋ1	
愁	zᴇ2	
愈	ɦi4	
愉	ɦi2	
意	i5	
愕	ŋɔʔ8	
愚	ȵi2	
愛	æ5	
感	kᴇ̃3	
愧	ɡuᴇ6	
愷	kʰæ3	
慄	liɪʔ8	战～
慈	dzɿ2	
態	tʰæ5	
慌	huɒ̃1	
慎	zᴇ̃6	
慏	miŋ4	
慕	mu6	
慘	tsʰᴇ̃3	
慚	dzæ2	
慟	doŋ6	
慢	mæ6	
慣	kuæ5	
慧	ɦuᴇ6	
慨	kʰæ3	
慮	li6	
慰	uᴇ5	
慶	tɕʰiŋ5	
慷	kʰɒ̃1	
憂	iɯ1	
憋	piɪʔ7	
憎	tsᴇ̃1	
憐	lie2	
憑	biŋ2	
憕	tᴇ̃5	
憤	vᴇ̃4	
憩	tɕʰi5	
憬	tɕioŋ3	
憮	vu4	
憲	ɕie5	
憶	iɪʔ7	
憾	ɦᴇ̃6	
懂	toŋ3	
懇	kʰᴇ̃3	
應	iŋ1	～该
應	iŋ5	答～
懊	ɔ5	
懨	ie1	～气（寂寞无聊）
懲	dzᴇ̃2	
懶	læ4	
懷	ɦuɑ2	【白读】～孕；姓
懷	ɦuæ2	【文读】胸～；～抱；～念
懺	tsʰæ5	
懿	i5	
戀	lie6	
戇	ɡɒ̃4	傻：～大（傻屄）
戈	kɯ1	
戌	siɪʔ7	
戌	ɦæ4	
成	zᴇ̃2	
我	ŋɯ4	
戒	tɕiɑ5	【文读】～严
戒	kɑ5	【白读】
或	ɦuoʔ8	
戚	tsʰiɪʔ7	
戛	kaʔ7	
戟	tɕiɪʔ7	
戢	tɕiɪʔ7	大～洋（杭州湾的一部分洋面）；大～山，小～山（浙江嵊泗地名，杭州湾岛屿）
戤	ɡæ6	王家～（上海松江地名）。同“隑”
戥	tᴇ̃3	
戧	tsʰiã5	
戩	tsie3	
截	dziɪʔ8	
戮	loʔ8	
戰	tsᴇ5	
戳	tsʰɔʔ7	
戴	tæ5	姓
戴	tɑ5	动词。本字为“带”
戶	ɦu4	
戽	hu5	
戾	li6	
房	vɒ̃2	
房	bɒ̃2	阿～宫
所	sɯ3	
扁	pie3	
扆	i3	
扇	sᴇ5	
扇	sᴇ1	～风；～扇子。动词
手	sɯ3	
才	dzæ2	
扒	bu2	
打	tã3	
扔	dzᴇ̃2	
托	tʰɔʔ7	
扚	tiɪʔ7	
扛	kɒ̃1	以手举物
扛	ɡɒ̃2	以肩承物
扞	ɦɤ6	
扣	kʰᴇ5	
扦	tsʰie1	
扭	ȵiɯ3	
扮	pæ5	
扯	tsʰɑ3	
扰	zɔ4	
扳	pæ1	
扶	vu2	
批	pʰi1	
扼	ŋᴇʔ8	
找	tsɔ3	
承	dzᴇ̃2	
技	dʑi4	
抄	tsʰɔ1	
抈	ioʔ7	
把	pu3	
把	pɑ3	【文读】（只在读书时用）
抒	sɿ1	
抓	tsɔ1	【白读】～痒
抓	tsu1	～牌
抓	tsɑ1	【文读】～紧
投	dᴇ2	
抖	tᴇ3	
抗	kʰɒ̃5	
折	tsᴇʔ7	
披	pʰi1	
抬	dæ2	
抱	bɔ4	
抲	kʰɑ1	
抵	ti3	
抹	moʔ8	
押	aʔ7	
抽	tsʰɯ1	
抿	miŋ3	紧闭：～紧嘴巴
抿	miŋ4	
拂	foʔ7	
拄	tsɿ3	
拆	tsʰɑʔ7	
拇	mu1	
拈	ȵie1	
拉	lɑ1	
拋	pʰɔ1	
拌	bɤ4	
拍	pʰɑʔ7	
拎	liŋ1	
拐	ɡuɑ4	走路不平衡
拐	kuɑ3	手杖
拒	dʑi6	
拓	tʰɔʔ7	
拔	baʔ8	
拖	tʰɯ1	【文读】
拖	tʰɑ1	【白读】
拗	ɔ3	～断
拗	ɔ5	～口
拘	tɕi1	
拙	tsᴇʔ7	
拜	pɑ5	
括	kuaʔ7	
拭	sᴇʔ7	
拮	tɕiɪʔ7	
拱	koŋ3	
拳	dʑiɤ2	
拴	sᴇ1	
拷	kʰɔ3	
拼	pʰiŋ1	
拽	iɪʔ7	
拾	zᴇʔ8	
拾	ziɪʔ8	捡：～起来
拿	nu2	【白读】
拿	nɑ2	【文读】加～大
持	dzɿ2	
指	tsɿ3	
按	ɤ5	
挑	tʰiɔ1	
挖	uaʔ7	
掗	u1	强予
挨	ɑ1	
挫	tsʰɯ5	
振	tsᴇ̃5	
挺	tʰiŋ3	
捂	u1	
捅	tʰoŋ3	
捆	kʰuᴇ̃3	
捉	tsɔʔ7	
捋	loʔ8	
捌	poʔ7	
捍	ɦɤ6	
捎	sɔ1	
捏	ȵiaʔ8	
捐	tɕiɤ1	
捕	bu6	
捧	pʰoŋ3	
捨	su3	～勿得
捩	liɪʔ8	绞～棒（麻花）
据	tɕi1	拮～
捱	ŋɑ2	
捶	zɿ2	【白读】
捶	dzᴇ2	【文读】
捷	dziɪʔ8	
捺	naʔ8	
捻	ȵie1	
掀	ɕie1	
掂	tie1	
掃	sɔ3	
掇	toʔ7	
授	zɯ6	
掉	diɔ6	
掌	tsɒ̃3	
掏	tʰɔ1	
掏	dɔ2	
掐	kʰaʔ7	
排	bɑ2	
掘	dʑioʔ8	
掙	tsᴇ̃1	
掛	ku5	
掝	huɑʔ7	裂开
掠	liɑʔ8	
採	tsʰæ3	
探	tʰᴇ̃5	
接	tsiɪʔ7	
控	kʰoŋ5	
推	tʰᴇ1	
掩	ie3	
措	tsʰɯ5	
掮	dʑie2	以肩扛物
掰	pɑʔ7	
揀	kæ3	
揄	ɦi2	
揉	dzɯ2	【文读】
揉	ȵiɯ2	【白读】
揍	tsᴇ5	
描	miɔ2	
提	di2	
插	tsʰaʔ7	
揖	iɪʔ7	
揚	ɦiã2	
換	ɦuɤ6	
握	uɔʔ7	
揣	tsʰæ1	
揣	tsʰᴇ3	～摩
揩	kʰɑ1	擦
揪	tsiɯ1	
揭	tɕiɪʔ7	
揮	huᴇ1	
援	ɦiɤ2	
揵	dʑie2	举起
揶	ɦiɑ2	
揹	pᴇ1	～包
搖	ɦiɔ2	
損	sᴇ̃3	
搏	pɔʔ7	
搓	tsʰɯ1	
搔	tsɔ1	
搗	tɔ3	
搛	tɕie1	
搜	sᴇ1	
搞	ɡɔ4	同“搅”
搡	sɒ̃3	
搨	tʰaʔ7	涂抹
搪	dɒ̃2	
搬	pɤ1	
搭	taʔ7	
搲	u1	
搶	tsʰiã3	
搿	ɡᴇʔ8	
摁	ᴇ̃5	
摑	kuɑʔ7	
摒	piŋ5	憋：～牢
摔	sæ1	
摘	tsɑʔ7	
摜	ɡuæ6	摔，扔
摞	lɯ6	
摟	lᴇ4	
摧	tsʰᴇ1	
摩	mu2	
摳	kʰᴇ1	
摶	dɤ2	
摸	mɔʔ8	
撂	liɑʔ8	
撂	liɔ6	
撅	tɕioʔ7	
撇	pʰiɪʔ7	
撈	lɔ1	
撐	tsʰã1	
撒	saʔ7	【文读】
撒	soʔ7	【白读】散，松散，散架
撓	nɔ2	
撕	sɿ1	
撕	si1	
撞	dzɒ̃6	
撣	tɤ3	
撤	tsʰᴇʔ7	
撥	poʔ7	
撩	liɔ2	
撫	fu3	
撬	tɕʰiɔ5	
撮	tsʰoʔ7	
撰	dzᴇ4	
撲	pʰoʔ7	
撻	daʔ8	
撼	ɦᴇ̃4	
撾	ɯ1	老～
擀	kɤ3	
擁	ioŋ3	
擂	lᴇ2	～鼓
擂	lᴇ6	～台
擅	zᴇ6	
擇	dzᴇʔ8	【文读】
擉	tsʰɔʔ7	
擊	tɕiɪʔ7	
擋	tɒ̃3	
操	tsʰɔ1	姓；动词：～持，早～
操	tsʰɔ5	名词：节～，～守，情～
擎	dʑiŋ2	
擒	dʑiŋ2	
擓	kʰuɑ3	
擔	tæ1	～任
擔	tæ5	挑～
擘	pɑʔ7	
據	tɕi5	根～
擠	tsi3	
擣	tɔ3	
擤	hᴇ̃3	
擦	tsʰaʔ7	
擰	ȵiŋ2	
擱	kɔʔ7	
擱	ɡɔʔ8	～浅
擲	zɑʔ8	
擴	kʰuɔʔ7	
擷	ɦiɪʔ8	
擸	lᴇʔ8	俗作“垃”
擺	pɑ3	
擼	lɯ1	
擿	tiɪʔ7	
攀	pʰæ1	
攆	ȵie3	
攋	lɑ4	用指甲抓、挠
攎	lɯ1	用手贴着平面移动收聚或出去东西
攏	loŋ4	
攔	læ2	【文读】
攔	lɤ2	【白读】
攘	ȵiã4	【白读】
攘	zã4	【文读】
攙	tsʰæ1	
攝	sᴇʔ7	
攢	tsæ3	积～
攢	dzɤ2	～聚
攣	lɤ2	
攤	tʰæ1	【文读】
攤	tʰɤ1	【白读】～鸡蛋；～面糊
攥	dzɤ6	
攪	kɔ3	【白读】
攪	tɕiɔ3	【文读】
攪	ɡɔ4	同“搞”
攫	tɕiɔʔ7	
攬	læ4	
支	tsɿ1	
收	sɯ1	
攸	iɯ1	
改	kæ3	
攻	koŋ1	
放	fɒ̃5	
政	tsᴇ̃5	
故	ku5	
效	ɦiɔ6	
敏	miŋ4	
救	tɕiɯ5	
敗	bɑ6	
敘	dzi4	
教	kɔ1	～书
教	kɔ5	【白读】～化
教	tɕiɔ5	【文读】～育；～堂
敢	kᴇ̃3	
散	sæ5	
散	sæ3	
敦	tᴇ̃1	
敬	tɕiŋ5	
敲	kʰɔ1	
整	tsᴇ̃3	
敵	diɪʔ8	
敷	fu1	
數	sɯ5	
斂	lie4	
斃	bi6	
文	vᴇ̃2	【文读】
文	mᴇ̃2	【白读】～殊浜（上海金山地名）
斌	piŋ1	
斐	fi3	
斑	pæ1	
斗	tᴇ3	
料	liɔ6	
斛	ɦoʔ8	
斜	ziɑ2	
斟	tsᴇ̃1	
斢	tʰᴇ3	
斢	tʰiɔ3	
斤	tɕiŋ1	
斥	tsʰɑʔ7	
斧	fu3	
斫	tsɔʔ7	【白读】
斬	tsæ3	
斯	sɿ1	
新	siŋ1	
斷	tɤ5	判～；决～
斷	dɤ6	～裂；～绝
方	fɒ̃1	
於	ɦi2	
於	ɦi2	～潜（浙江地名）
施	sɿ1	
旁	bɒ̃2	
旅	li4	
旋	dzie2	
族	dzoʔ8	
旗	dʑi2	
既	tɕi5	
日	ȵiɪʔ8	【白读】～头（太阳）；～脚（日子）
日	zᴇʔ8	【文读】～本；泰～（上海奉贤地名）
日	zɑʔ8	大/小～晖桥（江苏苏州地名）；～晖港（上海的一条河流）；里/外～晖桥（上海地名）
旦	tæ5	
旨	tsɿ3	
早	tsɔ3	
旬	dziŋ2	
旭	ɕioʔ7	
旱	ɦɤ4	
曠	kʰuɒ̃5	
旺	ɦiɒ̃6	【白读】火烧得～
旺	ɦuɒ̃6	【文读】兴～
旻	miŋ2	
昂	ŋɒ̃2	
昆	kʰuᴇ̃1	
昊	ɦɔ4	
昌	tsʰɒ̃1	
明	miŋ2	
明	mᴇ̃2	～朝（明天）
昏	huᴇ̃1	
易	ɦi6	
易	ɦiɪʔ8	交～
昔	siɪʔ7	
星	siŋ1	
映	iã5	【白读】放～
映	iŋ5	【文读】反～；倒～
春	tsʰᴇ̃1	
昧	mᴇ6	
昨	zɔʔ8	
昭	tsɔ1	
是	zɿ4	
昶	tsʰã3	副词，表示时间长：吃～吃～（吃了很长时间）；走～走～（走很长时间）
昶	tsʰiã3	近～（近期）；一～（一会）
時	zɿ2	
晃	ɦuɒ̃4	
晃	huɒ̃3	
晃	uɒ̃1	～眼
晉	tsiŋ5	
晌	sã3	
晌	ɕiã3	
晏	æ5	【白读】迟，晚
晏	ie5	【文读】～子
晚	mæ4	【白读】～娘（继母）；～稻
晚	væ4	【文读】
晢	tsᴇʔ7	
晤	ŋɯ6	
晨	zᴇ̃2	
普	pʰu3	
景	tɕiŋ3	
晰	siɪʔ7	
晴	dziŋ2	
晶	tsiŋ1	
智	tsɿ5	
晾	lɒ̃6	
暇	io1	
暈	ɦioŋ6	
暑	sɿ3	
暖	nɤ4	
暗	ᴇ̃5	
暢	tsʰã5	
暫	dzæ6	
暮	mu6	
暴	bɔ6	
曄	ɦiɪʔ8	
曈	doŋ2	
曉	ɕiɔ3	
曌	tsɔ5	
曖	æ5	
曙	zɿ6	
曦	ɕi1	
曬	su5	
曰	ɦiaʔ8	
曲	tɕʰioʔ7	
曳	ɦi6	
更	kã1	【白读】打～；夜半三～
更	kᴇ̃1	【文读】～改；～正；变～
更	kã5	【白读】
更	kᴇ̃5	【文读】～加
書	sɿ1	
曹	zɔ2	
曾	tsᴇ̃1	姓
曾	dzᴇ̃2	～经
替	tʰi5	
最	tsᴇ5	
會	kuᴇ5	～计；～稽（浙江绍兴地名）
會	ɦuᴇ6	开～
月	ŋᴇʔ8	
有	ɦiɯ4	
朋	bã2	
服	voʔ8	
朐	dʑi2	
朔	sɔʔ7	
朕	dzᴇ̃4	
朗	lɒ̃4	
望	mɒ̃6	【白读】
望	vɒ̃6	【文读】希～
望	bɒ̃6	平～（江苏吴江地名）
朝	tsɔ1	明～（明天）
朝	dzɔ2	～鲜；～向；～代
期	dʑi2	
木	mɔʔ8	
未	vi6	
末	moʔ8	
本	pᴇ̃3	
札	tsaʔ7	
朮	dzᴇʔ8	白～；苍～
朱	tsɿ1	
朴	pʰɔʔ7	～树；姓
朵	tɯ3	
朽	ɕiɯ3	
杈	tsʰu1	
杉	sæ1	
杌	ŋᴇʔ8	
李	li4	
杏	ɦã4	
材	dzæ2	
村	tsʰᴇ̃1	
杓	piɔ1	
杖	dzã6	炮～；仪～；依～；～势
杜	dɯ4	
杞	tɕʰi3	枸～（植物名，中药名）
杞	dʑi4	枸～（浙江嵊泗地名）
束	soʔ7	
杭	ɦɒ̃2	
杯	pᴇ1	
東	toŋ1	
杳	iɔ3	
杵	tsʰɿ3	
杷	bu2	
松	soŋ1	～树
松	soŋ1	～江（上海地名）；～阳（浙江地名）；～陵（江苏吴江地名）
板	pæ3	
枇	biɪʔ8	
枉	uɒ̃3	
析	siɪʔ7	
枕	tsᴇ̃3	～头
林	liŋ2	
枙	ŋᴇʔ8	
枚	mᴇ2	
果	kɯ3	
枝	tsɿ1	
枯	kʰu1	
枵	ɕiɔ1	
架	kɑ5	
枸	kᴇ3	
柄	piŋ5	
柏	pɑʔ7	
某	mᴇ4	
柑	kᴇ̃1	
柒	tsʰiɪʔ7	
染	ȵie4	【白读】
染	zᴇ4	【文读】
柘	tsu5	
柚	ɦiɯ6	
查	dzu2	
柩	dʑiɯ6	
柬	tɕie3	【文读】
柯	kʰɯ1	
柱	dzɿ4	
柳	liɯ4	
柴	zɑ2	
柵	sɑʔ7	
柵	sæ1	
柿	zɿ4	
栓	sᴇ1	
栖	si1	塘～（浙江杭州地名）
栗	liɪʔ8	板～；～子
校	kɔ5	【白读】～正；～准；～秤
校	tɕiɔ5	【文读】～对；上～
校	ɦiɔ6	【文读】学～；～长
栩	ɕi3	
株	tsɿ1	
核	ɦuoʔ8	桃～；果～
核	ɦᴇʔ8	～对；审～；～心；～武器
根	kᴇ̃1	
格	kɑʔ7	
栽	tsæ1	
桁	ɦã2	
桂	kuᴇ5	【文读】～花；～林（广西地名）
桂	tɕi5	【白读】～皮；姓：～家桥，～家宅，～家木行，～巷（上海宝山地名）
桃	dɔ2	
桅	ɦuᴇ2	
框	kʰuɒ̃1	
案	ɤ5	
桌	tsɔʔ7	
桐	doŋ2	
桑	sɒ̃1	
桓	ɦuɤ2	
桔	tɕiɪʔ7	～梗
椏	u1	
桶	doŋ4	
桿	kɤ1	旗～
桿	kɤ3	秤～
梁	liã2	
梅	mᴇ2	
梏	koʔ7	
梓	tsɿ3	
梔	tsɿ1	
梗	kã3	【白读】
梗	kᴇ̃3	【文读】～概
條	diɔ2	
梟	ɕiɔ1	
梢	sɔ1	
梧	ŋɯ2	
梨	li2	
梭	sɯ1	
梯	tʰi1	
械	ɦie6	【文读】机～
梳	sɿ1	
棄	tɕʰi5	
棉	mie2	
棋	dʑi2	
棍	kuᴇ̃3	
棒	bɒ̃4	
棕	tsoŋ1	
棗	tsɔ3	
棘	tɕiɪʔ7	
棚	bã2	
棟	toŋ5	
棠	dɒ̃2	
棣	di6	
棧	dzæ6	
森	sᴇ̃1	
棱	lᴇ̃2	
棹	dzɔ6	
棺	kuɤ1	
