#漢字	音標	解釋
糰	tʰuã2	
系	tɕi5	
系	ɕi5	
系	tɕi5	繫鞋帶
系	ɕi5	連繫
素	su5	
索	suɤ3	繩索
緊	tɕiən3	
紫	tsɿ3	
累	lei5	極困
累	lei5	累積
累	lei5	連累
絮	ɕy5	
繁	fã2	
纂	tsuã5	編纂
糾	tɕiəu1	糾纏
糾	tɕiəu1	纠正
紅	xoŋ2	
紂	tʂou5	桀紂
約	yɤ1	
級	tɕi2	
紀	tɕi5	紀律,世紀,年紀
紉	ʐen5	縫紝
緯	vei3	
純	tʂʰuən2	
紗	ʂɔ1	
綱	kaŋ3	
納	nɤ1	
縱	tsoŋ5	放縱
縱	tsoŋ5	縱橫
紛	fen1	
紙	tʂʅ3	
紋	ven2	
紡	faŋ3	
紐	niəu3	
線	ɕiã5	
練	liã5	
組	tsu1	
細	ɕi5	
織	tʂəʔ7	
終	tʂoŋ1	
縐	tʂou5	
絆	pã5	
紹	ʂao5	
經	tɕiŋ1	
經	tɕiŋ1	經緯,經線
綁	paŋ3	
絨	ʐoŋ2	
結	tɕiəʔ7	
繞	ʐao5	圍繞
繞	ʐao5	繞線
繪	xuəi5	
給	tɕi3	給你,供給
絡	luəʔ7	
絶	tɕyɤ2	
絞	tɕiao3	
統	tʰoŋ3	
絹	tɕyã5	
繡	ɕiəu5	
綏	suəi2	
繼	tɕi5	
績	tɕiəʔ7	
緒	ɕy5	
續	ɕy5	
綽	tʂʰuɤ5	寬綽
繩	ʂeŋ2	
維	vei2	
綿	miã2	
綢	tʂʰou2	
綜	tsoŋ1	織布機上的綜
綻	tʂã5	破綻
綠	lyəʔ7	
綴	tʂuəi5	點綴
緬	miã3	
纜	lã3	
緝	tɕiəʔ7	緝鞋口
緞	tuã5	
緩	xuã3	
縷	ly3	絲縷
編	piã1	
緣	yã2	
縛	fu2	
縫	feŋ2	一條縫
縫	feŋ2	縫衣服
纏	tʂʰã2	
縊	i5	
纓	iŋ1	
縮	suəʔ7	
繮	tɕiaŋ1	繮繩
繰	tɕʰiao1	繰邊
繳	tɕiao1	上繳
缸	kaŋ1	
缺	tɕʰyɤ1	
罐	kuã5	
网	vaŋ3	
罕	xã3	
羅	luɤ2	
罰	fɔ2	
罷	pɔ5	
罩	tʂao5	
罪	tsuəi5	
置	tʂʅ5	
署	ʂu3	專署
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	mei3	
羔	kao1	
羞	ɕiəu1	
羡	ɕiã5	
群	tɕʰyn2	
羹	keŋ1	
羽	y5	
翁	voŋ1	
翅	tʂʰʅ5	
翎	liŋ2	
翠	tsʰuəi5	
翡	fei3	翡翠
翰	xã5	
翻	fã1	
翼	i5	
耀	iao5	
老	lao3	
考	kʰao3	
者	tʂɤ3	
而	ɚ3	
耍	ʂɔ3	
耐	nai5	
耕	keŋ1	
耗	xao5	
耙	pɔ1	犁耙,耙地
耬	lou2	播種用的農具
耩	keŋ1	耩地
耳	ɚ3	
耻	tʂʰʅ3	
耽	tã1	
耿	keŋ3	
聶	niɤ5	姓
聊	liao2	
聾	loŋ2	
職	tʂəʔ7	
聒	kuɤ1	聒耳朵
聯	liã2	
聘	pʰiən5	
聚	tɕy5	
聰	tsʰoŋ1	
肅	su5	
肄	si5	肄業
肆	sɿ5	
肉	ʐou5	
肋	lei5	
肌	tɕi1	
肘	tʂou2	
肚	tu5	腹肚
肚	tu5	魚肚,豬肚
肝	kã1	
腸	tʂʰaŋ2	
股	ku3	
肢	tʂʅ1	
膚	fu1	
肥	fei2	
肨	paŋ5	腫
肩	tɕiã1	
肪	faŋ2	脂肪
肫	tuən5	肫肝
骯	aŋ1	骯髒
肯	ken3	
育	y5	
肴	iao2	
肺	fei5	
腎	ʂen5	
腫	tʂoŋ3	
脹	tʂaŋ5	
脅	ɕiɤ2	
胃	vei5	
膽	tã3	
背	pei1	
背	pei1	背誦
胎	tʰai1	
胖	pʰaŋ5	
胚	pʰei1	胚胎
胛	tɕiəʔ7	肩胛
勝	ʂeŋ5	勝任
勝	ʂeŋ5	勝敗
胞	pao1	
胡	xu2	
胳	kəʔ7	胳臂
膠	tɕiao1	
胸	ɕyŋ1	
能	neŋ2	
脂	tʂʅ3	
脆	tsʰuəi5	
脉	mai5	
脊	tsəʔ7	
脏	tsaŋ1	
脏	tsaŋ1	不乾淨
臍	tɕʰi2	
腦	nao3	
膿	noŋ2	
脚	tɕyəʔ7	
脯	fu3	杏脯
脯	pʰu2	胸脯
脱	tʰuɤ1	
腡	luɤ2	手指文
臉	liã3	
脾	pʰi2	
腆	tʰiã3	腆肚子
臘	ləʔ7	
腋	iɤ5	
腌	iã1	
腐	fu3	
腑	fu5	
腔	tɕʰiaŋ1	
腕	vã5	
腥	ɕiŋ1	
腮	sai1	
腰	iao1	
腱	tɕiã5	
腹	fu5	
膩	ni5	
騰	tʰeŋ2	
腿	tʰuəi3	
膏	kao1	
膏	kao1	膏車,膏油
膘	piao1	肥臕
膜	mɤ1	
膝	tɕʰi1	
膨	pʰeŋ3	膨脹
膳	ʂã5	
膻	tʂʰã5	
臀	tiã5	
臂	pi5	
臊	sao1	臊氣
臣	tʂʰen2	
自	tsɿ5	
臭	tʂʰou5	香臭
至	tʂʅ5	
致	tʂʅ5	
臻	tʂen1	
臼	tɕiəu1	
舀	iao3	舀水
舁	y2	抬
舂	tʂʰoŋ1	舂米
舅	tɕiəu5	
舌	ʂɤ2	
舍	ʂɤ3	
舐	tʰiã3	以舌取物
舒	ʂu1	
舔	tʰiã3	以舌取物
舜	ʂuən5	
舞	u3	
舟	tʂou1	
航	xaŋ2	
般	pã1	
艦	tɕiã5	
舵	tʰuɤ2	
船	tʂʰuã2	
艇	tʰiŋ2	
良	liaŋ2	
艱	tɕiã1	
色	sɤ5	
豔	iã5	
藝	i5	
艾	ai5	
節	tɕiəʔ7	
芋	y5	
芍	ʂao2	芍藥花
芒	maŋ2	
芒	maŋ2	麥芒兒
芙	fu2	芙蓉
芝	tʂʅ1	
芥	tɕiɤ5	
蘆	lu2	蘆葦
芬	fen1	
芭	pɔ1	
芮	ʐuəi5	姓
花	xuɔ1	
芳	faŋ1	
芹	tɕʰiən2	
芽	iɔ2	
葦	vei3	蘆葦
莧	tɕiã5	莧菜
蒼	tsʰaŋ1	
苧	tʂu5	苧麻
苏	su1	
苔	tʰai1	舌苔,青苔
苗	miao2	
苘	tɕʰiŋ3	檾麻
苟	kou3	
若	ʐuɤ5	
苦	kʰu3	
英	iŋ1	
苶	niɤ1	發苶
茂	mao5	
范	fã5	
茄	tɕʰiɤ2	茄子
茅	mao2	
莖	tɕiŋ5	
塋	iŋ2	
繭	tɕiã3	
茫	maŋ2	
茬	tʂʰɔ2	一般儿化
茴	xuəi2	茴香
茶	tʂʰɔ2	
茸	ʐoŋ2	參茸
荀	ɕuən2	
荆	tɕiŋ1	
草	tsʰao3	
薦	tɕiã5	
荒	xuaŋ1	
荔	li2	荔支
蕎	tɕʰiao2	
薺	tɕʰi2	
蕩	taŋ5	放蕩
榮	ʐoŋ2	
葷	xuən1	
滎	iŋ2	滎陽
蔭	iən1	屋子很蔭
藥	yɤ1	
荷	xɤ2	荷花
荷	xɤ2	薄荷
莎	suɤ1	莎草
莝	tsʰuɤ5	莝草,切碎的草
莠	iəu5	
莫	mɤ5	
蓮	liã2	
获	xuɤ5	
鶯	iŋ1	
蓴	tʂʰuən2	蒓菜
莽	maŋ3	
菊	tɕy2	
菌	tɕyn1	
菖	tʂʰaŋ1	菖蒲
菜	tsʰai5	
菠	pɤ1	菠菜
菢	pao1	菢小雞
菩	pʰu2	菩薩
菱	liŋ2	
萄	tʰao2	
萌	meŋ2	
萍	pʰiŋ2	
萎	vei3	氣萎,買賣萎
螢	iŋ2	
營	iŋ2	
蕭	ɕiao1	
薩	sɔ5	
落	luɤ5	
著	tʂu5	顯著
葚	ʂen5	桑葚
葛	kəʔ7	
董	toŋ3	
葬	tsaŋ5	
葱	tsʰoŋ1	
葵	kʰuəi2	
蔣	tɕiaŋ1	
蒙	meŋ2	
蒯	kʰuai5	
蒲	pʰu1	
蒸	tʂeŋ1	
蒿	xao1	蓬蒿
蓄	ɕy5	儲蓄
蓉	ʐoŋ2	芙蓉
蓑	suɤ1	
蓖	pi5	蓖麻
藍	lã2	
蓬	pʰeŋ2	
蔓	mã5	瓜蔓子
蔗	tʂəʔ7	
蔡	tsʰai5	
蔫	niɤ1	花萎
蔫	iã1	食物不新鮮
蔬	ʂu1	
藹	ai3	和藹
蔽	pi5	
蕉	tɕiao1	芭蕉,香蕉
蕊	ʐuəi5	
薄	pɤ2	
薄	pɤ2	薄荷
薅	xao1	除田草
薛	ɕyəʔ7	
薪	ɕiən1	
薯	ʂu5	白薯
薰	ɕyn1	
藉	tɕiəʔ7	狼藉
藉	tɕiəʔ7	藉故
藋	tiao5	灰藋菜
藏	tsaŋ5	西藏
藏	tsʰaŋ2	隱藏
藐	mao5	
藕	ou3	
藤	tʰeŋ2	
藩	fã1	
藿	ɕuəʔ7	藿香
蘸	tʂã5	蘸醬油
虎	xu3	
虜	lu3	
虐	nyɤ5	
慮	ly5	
虔	tɕʰiã2	
虚	ɕy1	
虞	y2	
蟲	tʂʰoŋ2	
虱	ʂəʔ7	
虹	xoŋ2	
虹	xoŋ2	天上的虹
虻	maŋ3	牛虻
雖	suəi1	
蝦	ɕiɔ1	魚蝦
蝕	ʂəʔ7	
蟻	i5	
蚊	ven2	
蚌	paŋ5	
蠶	tsʰã2	
蚣	koŋ1	蜈蚣
蚤	tsao1	
蚶	kã1	蚶子
蛀	tʂu5	
蛆	tɕʰy1	生蛆
蛇	ʂɤ2	
蛋	tã5	
蟶	tʂʰeŋ1	蟶子
蛙	vɔ1	
蛙	uɔ1	
蛛	tʂu1	
蛤	xɤ2	蛤蜊
蛤	xɤ2	蝦蟆
蠻	mã2	
蟄	tʂəʔ7	驚蟄
蛾	ɤ2	
蜀	ʂu3	
蜂	feŋ1	
蜇	tʂɤ1	蠍子蜇人
蜈	u2	蜈蚣
蜓	tʰiŋ2	蜻蜓
蜕	tʰuəi5	蛇蛻皮,蟬蛻
蝸	uɤ1	
蜘	tʂʅ1	蜘蛛
蜜	mi5	
蠟	ləʔ7	
蜻	tɕʰiŋ1	蜻蜓
蠅	iŋ2	
蟬	tʂʰã2	
蠍	ɕiɤ1	
蝗	xuaŋ2	
蝙	pʰiã1	
蝠	fu2	蝙蝠
蝶	tiɤ2	
螂	laŋ1	
螃	pʰaŋ2	螃蟹
融	ʐoŋ2	
螳	tʰaŋ1	螳螂
螺	luɤ2	螺螄
蟀	ʂuai5	
蟆	mɔ5	蝦蟆
蟒	maŋ3	
蟢	ɕi1	蟢子
蟹	ɕiɤ5	
蟾	tʂʰã2	蟾酥
蠓	meŋ2	蠓蟲
蠚	tʂəʔ7	蜂蠚人
蠢	tʂʰuən3	
血	ɕyɤ1	
衅	ɕiən5	挑釁
行	ɕiŋ2	品行
行	xaŋ2	行列,銀行
行	ɕiŋ2	行爲
銜	ɕiã2	
街	tɕiɤ1	
衙	iɔ2	
衡	xeŋ2	
衣	i1	
補	pu3	
表	piao3	
衫	ʂã1	
襯	tʂʰen5	
衰	suəi1	
袁	yã2	
襖	ao3	
袋	tai5	
袍	pʰao2	
袖	ɕiəu5	
袜	vəʔ7	
被	pei5	被臥,被子
被	pei5	被打,被迫
襲	ɕi2	
裁	tsʰai2	
裂	liɤ5	
裝	tʂuaŋ1	
裕	y5	
裙	tɕʰyn2	
褲	kʰu5	
襇	tɕiã3	
裳	ʂaŋ1	衣裳
裴	pʰei2	
裸	luɤ3	裸體
裹	kuɤ3	
褒	pao1	褒獎
褚	tʂu1	姓
褥	ʐu3	
褪	tʰuəi5	
褯	ɕi2	褯子
褶	tʂəʔ7	褶子,皺紋
襄	ɕiaŋ1	
襟	tɕiən1	
襻	pʰã1	紐襻
西	si1	
要	iao5	想要,重要
要	iao1	要求
覆	fu5	反覆
見	tɕiã5	
觀	kuã1	參觀
觀	kuã1	寺觀
規	kuəi1	
覓	mi2	
視	ʂʅ5	
覽	lã3	
覺	tɕiao5	睡覺
覺	tɕyəʔ7	知覺
角	tɕyəʔ7	
解	ɕiɤ5	姓
解	tɕiɤ3	曉也
解	tɕiɤ3	講解,解開
觸	tʂʰu5	
言	iã2	
譽	y5	榮譽
謄	tʰeŋ2	
誓	ʂʅ5	
警	tɕiŋ3	
譬	pʰi5	譬喻
計	tɕi5	
訂	tiŋ5	訂約
訃	fu5	
認	ʐen5	
譏	tɕi1	
討	tʰao3	
讓	ʐaŋ5	
訖	tɕʰi3	
訓	ɕyn5	
議	i5	
訊	ɕuən5	
記	tɕi5	
講	tɕiaŋ3	
諱	vei3	
許	ɕy3	
訛	ɤ2	
論	luən5	論語
論	luən5	議論
訟	soŋ5	
諷	feŋ3	
設	ʂəʔ7	
訪	faŋ3	
訣	tɕyəʔ7	
證	tʂeŋ5	
評	pʰiŋ2	
識	ʂəʔ7	
詐	tʂɔ5	
訴	su5	
診	tʂen3	
詞	tsʰɿ2	
詔	tʂao5	
譯	i5	
試	ʂʅ5	
詩	ʂʅ1	
誠	tʂʰeŋ2	
誅	tʂu1	
話	xuɔ5	
誕	tã5	
詭	kuəi3	
該	kai1	
詳	ɕiaŋ2	
誣	u1	
語	y3	
誤	u5	
誘	iəu5	
説	ʂuəʔ7	説話
誦	soŋ5	
請	tɕʰiŋ3	
諸	tʂu1	
諾	nuɤ5	
讀	tu2	
課	kʰɤ5	
誰	ʂei2	
調	tʰiao2	調和
調	tiao5	調動
調	tiao5	音調
諒	liaŋ5	
談	tʰã2	
誼	i5	
謀	mou2	
諜	tiɤ2	
謊	xuaŋ3	
諫	tɕiã5	
諧	ɕiɤ2	
謂	vei5	
讒	tʂʰã2	
諺	iã5	
謎	mi2	
謝	ɕiɤ5	
謡	iao2	
謗	paŋ5	
謙	tɕʰiã1	
謹	tɕiən3	
謬	miəu5	
譚	tʰã2	
譜	pʰu3	
谷	ku3	
谷	kuəʔ7	
豁	xuɤ1	豁然,豁嘴,豁口
豆	tou5	
豇	tɕiaŋ1	豇豆
豉	tʂʰʅ5	豆豉
豌	vã3	豌豆
豕	tʂʅ5	
豚	tʰuən2	
象	ɕiaŋ5	
豪	xao2	
豫	y5	
豶	fen5	牡豕
豹	pao5	
豺	tʂʰai2	
貂	tiao1	
貌	mao5	
貝	pei5	
貞	tʂen1	
負	fu5	
貢	koŋ5	
財	tsʰai2	
責	tsəʔ7	
賢	ɕiã2	
敗	pai5	
貨	xuɤ5	
質	ʂəʔ7	
販	fã5	
貪	tʰã1	
貧	pʰiən2	
貶	piã3	
購	kou5	
貫	kuã5	
貳	ni5	貳心
賤	tɕiã5	
貼	tʰiəʔ7	
貴	kuəi5	
貸	tai5	
貿	mao5	
費	fei5	費用
賀	xɤ5	
賊	tsei2	
賈	tɕiɔ3	姓
賄	xuəi5	
賃	liŋ5	租賃
賂	luəʔ7	
贓	tsaŋ1	
資	tsɿ1	
賒	ʂɤ1	
賦	fu5	
賭	tu3	
贖	ʂu2	
賞	ʂaŋ3	
賜	tsʰɿ5	
賠	pʰei2	
賴	lai5	
贅	tʂuəi5	
賺	tʂuã5	
賽	sai5	
贊	tsã5	
贈	tseŋ5	
贏	iŋ2	
赤	tʂʰʅ5	
赦	ʂɤ5	
赫	xɤ5	
走	tsou3	
赴	fu5	
趙	tʂao5	
趕	kã3	
起	tɕʰi3	
趁	tʂʰen5	
超	tʂʰao1	
越	yɤ5	
趨	tɕʰy1	
趟	tʰaŋ5	一趟
趣	tɕʰy5	
足	tsu2	
趼	tɕiã3	
趾	tʂʅ3	
躍	yɤ5	
跌	tiəʔ7	
跑	pʰao3	
跗	fu5	跗面,脚面
跛	pʰɤ1	跛足
距	tɕy5	
跟	ken1	
跨	kʰuɔ5	
跪	kuəi5	
路	lu5	
跳	tʰiao5	
踐	tɕiã5	
踏	tʰɤ1	
踒	vai3	踒了脚
踢	tʰəʔ7	
蹤	tsoŋ1	
踱	tuɤ2	
蹄	tʰi2	
躡	niɤ5	躡脚走
蹭	tsʰeŋ5	磨蹭
蹲	tuən1	
躁	tsʰao1	
身	ʂen1	
躬	koŋ1	
躱	tuɤ3	
躺	tʰaŋ3	
車	tʂʰɤ1	車馬砲
車	tʂʰɤ1	馬車
軋	iɔ5	被車軋,軋棉花
軌	kuəi3	
軒	ɕyã1	
轉	tʂuã5	轉眼,轉送
轉	tʂuã5	轉螺絲,轉圓圈
軛	ɤ5	
輪	luən2	
軟	ʐuã3	
轟	xoŋ1	
轟	xoŋ1	揈出去
軸	tʂou2	
輕	tɕʰiŋ1	輕重,年輕
載	tsai3	年載
載	tsai3	滿載
載	tsai3	載重
轎	tɕiao5	
較	tɕiao5	
輔	fu2	
輛	liaŋ5	
輦	niã3	
輩	pei5	
輝	xuəi1	
輞	vaŋ3	車輞
輜	tsɿ1	輜重
輯	tɕiəʔ7	編輯
輸	ʂu1	
輸	ʂu1	運輸
轡	mi5	
轅	yã2	
轄	ɕiɔ2	管轄
轍	tɕʰɤ5	
辛	ɕiən1	
辭	tsʰɿ2	
辟	pi5	
辣	ləʔ7	
辨	piã5	
辯	piã5	
辮	piã5	
辰	tʂʰen2	
辱	ʐu3	
邊	piã1	
遼	liao2	
達	tɔ2	
遷	tɕʰiã1	
迂	y1	
迅	ɕuən5	
過	kuɤ5	
邁	mai5	
迎	iŋ2	
運	yn5	
近	tɕiən5	
還	xã2	還有
還	xuã2	還原
進	tɕiən5	
遠	yã3	
違	vei2	
連	liã2	
遲	tʂʰʅ2	
迥	tɕyŋ3	迥然不同
迫	pʰɤ5	
述	ʂu5	
迷	pi2	
迸	peŋ5	迸裂
迹	tɕi5	
追	tʂuəi1	
退	tʰuəi5	
送	soŋ5	
適	ʂəʔ7	
逃	tʰao2	
逆	ni5	順逆,逆風
選	ɕyã3	
遜	suən1	
透	tʰou5	
逐	tʂu2	
遞	ti5	
途	tʰu2	
逗	tou5	
通	tʰoŋ1	
逛	kuaŋ5	
逝	ʂʅ5	
逞	tʂʰeŋ3	逞能
速	su5	
造	tsao5	建造
逢	feŋ2	
逵	kʰuəi2	
逸	i5	
逼	piəʔ7	
逾	y5	
遁	tuən5	
遂	suəi2	
遇	y5	
遍	piã5	一遍
遍	piã5	遍地
遐	ɕiɔ2	
道	tao5	
遺	i2	
遣	tɕʰiã3	
遭	tsao1	
遮	tʂəʔ7	
遵	tsuən1	
避	pi5	
邀	iao1	
鄧	teŋ5	
邦	paŋ1	
邪	ɕiɤ2	
郵	iəu2	
邵	ʂao5	
鄒	tʂou5	
鄰	liən2	
郁	y5	
郊	tɕiao1	
郎	laŋ2	
鄭	tʂeŋ5	
郝	xəʔ7	姓
郡	tɕyn5	
部	pu5	
郭	kuɤ1	
都	tu1	都城
都	tou1	都是
鄂	ɤ5	
鄙	pi5	
酉	iəu1	
酌	tʂɤ2	
配	pʰei5	
酒	tɕiəu3	
酣	xã1	
酥	su1	
酪	lao5	
酬	tʂʰou2	
醬	tɕiaŋ5	
酵	tɕiao5	
酷	kʰu5	
酸	suã1	
釅	iã3	釅茶
釀	niaŋ5	
醇	tʂʰuən2	酒味醇
醉	tsuəi5	
醋	tsʰu5	
醒	ɕiŋ3	
醜	tʂʰou3	
醭	pʰu1	醋生白醭
醮	tɕiao1	打醮,再醮
采	tsai3	
釉	iəu5	
釋	ʂʅ5	
里	li3	
重	tʂoŋ5	輕重
重	tʂʰoŋ2	重復
野	iɤ3	
量	liaŋ5	數量
量	liaŋ2	量長短
金	tɕiən1	
釜	fu5	
鈀	pəʔ7	鈀子
鑑	tɕiã5	
鏨	tsã5	鏨花
鏊	ao5	烙餅用具
鐾	pi5	鐾刀布,把刀鐾鐾
針	tʂen1	
釘	tiŋ1	釘住
釘	tiŋ1	鐵釘
釤	tʂʰã1	大鎌
釣	tiao5	
釵	tʂʰai1	
鈍	tuən5	
鈔	tʂʰao1	錢鈔
钟	tʂoŋ1	
鋼	kaŋ1	
鋼	kaŋ1	刀鈍了,鋼鋼
鑰	iao5	鑰匙
欽	tɕʰiən1	
鈞	tɕuən1	
鉤	kou1	
錢	tɕʰiã2	
鉗	tɕʰiã2	
鉢	pɤ1	
鈸	pɔ2	
鑽	tsuã5	動詞
鑽	tsuã5	木工用具
鐵	tʰiəʔ7	
鈴	liŋ2	
鉛	tɕʰiã1	
鐸	tuɤ2	
鐃	ʐao2	
鐺	tʂʰeŋ1	烙餅用具
銅	tʰoŋ2	
鍘	tʂɔ2	鍘刀
鏵	xuɔ2	
銘	miŋ2	
鉸	tɕiao1	
鏟	tʂʰã3	
銃	tʂʰoŋ1	放銃
銀	iən2	
鑄	tʂu5	
鋪	pʰu5	店鋪
鋪	pʰu1	鋪設
銷	ɕiao1	
鎖	suɤ3	
鋥	tʂʰeŋ2	鋥光
鋤	tʂʰu2	
鍋	kuɤ1	
鏽	ɕiəu5	鐵銹
銼	tsʰuɤ3	
鋒	feŋ1	
鐧	tɕiã1	車鐧
銳	ʐuəi5	
鋦	tɕy2	鋦碗
錯	tsʰuɤ5	錯誤
錯	tsʰuəʔ7	錯雜
錨	miao2	
錛	pen1	
錫	ɕi1	
錮	ku5	錮露鍋
鑼	luɤ2	
錘	tʂʰuəi2	
錐	tʂuəi1	
錦	tɕiən3	
鍁	tɕʰiã5	鍬屬
錠	tiŋ5	
鍵	tɕiã5	
鋸	tɕy5	鋸子,鋸木頭
鍬	tɕʰiã1	
鍛	tuã5	鍛鍊
鍍	tu5	
鎮	tʂen5	
鑷	niɤ5	鑷子
鏡	tɕiŋ5	
鏇	ɕyã2	鏇牀
镢	tɕyɤ2	钁頭,大鋤
鐙	teŋ1	鞍鐙
鑊	xuəʔ7	鍋
鐲	tʂuɤ2	鐲子
鐮	liã2	
鑞	ləʔ7	錫鑞
鑲	ɕiaŋ1	
長	tʂaŋ3	生長
長	tʂʰaŋ2	長短
門	men2	
閂	ʂuã1	
閃	ʂã3	
閉	pi5	
問	ven5	
闖	tʂʰuaŋ3	
閏	ʐuən5	
闲	ɕiã2	
間	tɕiã1	空間,中間
間	tɕiã1	間斷,間或
悶	men1	
閘	tʂɔ2	
鬧	nao5	
閨	kuəi1	
聞	ven2	
閩	miən3	閩越
閣	kəʔ7	
鬮	tɕiəu1	拈鬮
閲	yɤ5	
閹	iã1	
閻	iã2	
闊	kʰuɤ5	
阜	fu5	
隊	tuəi5	
阮	ʐuã3	
防	faŋ2	
陽	iaŋ2	
陰	iən1	
陣	tʂen5	
階	tɕiɤ1	
阻	tsu3	
阿	ɤ1	阿膠,阿哥
附	fu5	
際	tɕi5	
陸	lu5	
隴	loŋ3	
陳	tʂʰen2	
陘	ɕiŋ2	井陘
陋	lou5	
陌	mɤ5	陌生
降	tɕiaŋ5	下降
降	ɕiaŋ2	降伏,投降
限	tɕiã1	
陝	ɕiɔ2	陝西
陛	pi5	陛下
陡	tou3	
院	yã5	
除	tʂʰu2	
險	ɕiã3	
陪	pei5	
陵	liŋ2	
陶	tʰao2	
陷	ɕiã5	
隆	loŋ2	
隨	suəi2	
隱	iən3	
隔	kəʔ7	
隘	ai5	
障	tʂaŋ5	保障
隧	suəi2	隧道
隶	li5	
難	nã5	患難
難	nã2	難易
雀	tɕʰyəʔ7	麻雀
雁	iã5	
雄	ɕyŋ2	
雅	iɔ3	
集	tɕiəʔ7	
雇	ku5	
雉	tʂʅ5	雉雞
雌	tsʰɿ2	
雍	yŋ1	
雛	tʂʰu2	
雕	tiao1	
雨	y3	
雪	ɕyɤ1	
零	liŋ2	
雷	lei2	
雹	pao2	
霧	u5	
需	ɕy1	
霄	ɕiao1	
震	tʂen5	
黴	mei2	
霍	xuəʔ7	
霜	ʂuaŋ1	
霞	ɕiɔ2	
露	lu5	
霸	pɔ5	
青	tɕʰiŋ1	
青	tsʰiŋ1	
靖	tɕiŋ5	
靜	tɕiŋ5	
非	fei1	
靠	kʰao5	
靡	mi2	
面	miã5	
靨	iɤ5	酒靨
革	kəʔ7	
靪	tiŋ1	
靴	ɕyɤ1	
靿	iao1	靴靿
鞋	ɕiɤ2	
鞍	ã1	
鞘	ɕiao1	刀鞘
鞧	tɕʰiəu2	牛鞦
鞭	piã1	
韌	ʐen5	
韓	xã2	
韭	tɕiəu3	
音	iən1	
韻	yn5	
韶	ʂao5	韶關
頁	iɤ5	
頂	tiŋ3	
頃	tɕʰiŋ1	
項	ɕiaŋ5	
順	ʂuən5	
须	ɕy1	
頑	vã2	頑皮,頑固
顧	ku5	
頓	tuən5	
頒	pã1	
頌	soŋ5	
預	y5	
領	liŋ3	
頗	pʰɤ1	
頸	tɕiŋ5	
頻	pʰiən2	頻繁
穎	iŋ2	
顆	kʰɤ1	一顆珠
題	tʰi3	
顔	iã2	
額	ɤ1	
顛	tiã1	
顫	tʂʰã5	
顴	tɕʰyã2	顴骨
風	feŋ1	
颼	sou1	
飄	pʰiao1	
飛	fei1	
食	ʂəʔ7	
餐	tsʰã1	
餜	kuɤ3	
饥	tɕi1	飢餓
饥	tɕi1	饑荒
飩	tuən5	餛飩
飭	tʂʰʅ5	
飯	fã5	
飲	iən3	米湯
飲	iən3	飲酒
飲	iən3	飲馬
餞	tɕiã5	餞行
飾	ʂʅ5	
飽	pao3	
飼	sɿ1	
飴	i2	高粱飴
餌	ɚ3	
饒	ʐao2	
餉	ɕiaŋ5	
餃	tɕiao3	餃子
餅	piŋ3	
餑	pɤ2	麵餑
餓	ɤ5	
餘	y2	
餛	xuən2	餛飩
餡	ɕiã5	
館	kuã3	
餿	sou1	飯餿了
饞	tʂʰã2	
饃	mɤ2	
餾	liəu5	
饅	mã2	饅頭
首	ʂou3	
香	ɕiaŋ1	
馨	tɕʰiŋ5	
騇	ʂɤ5	母的牛馬
馬	mɔ3	
馱	tʰuɤ2	拿,馱起來
馱	tʰɤ2	馱子
馳	tʂʅ2	
驅	tɕʰy1	
駁	pɤ2	
驢	ly2	
駛	ʂʅ3	
駒	tɕy1	
駐	tʂu5	
駝	tʰuəʔ7	
駕	tɕiɔ5	
駡	mɔ5	
驕	tɕiao1	
駱	luɤ1	
駭	xai5	驚駭
驗	iã5	
騎	tɕʰi2	
騙	pʰiã5	欺騙
騙	pʰiã5	騙馬
騷	sao1	
騾	luɤ2	
驟	tʂou5	
骨	ku3	筋骨,骨頭
髈	paŋ3	膀子
髓	suəi2	
高	kao1	
髻	tɕi5	
髽	tʂuəʔ7	髽髻
鬃	tsoŋ1	馬鬃,豬鬃
鬏	tɕiəu1	梳個鬏兒
鬢	piən5	
鬼	kuəi3	
魁	kʰuəi2	
魂	xuən2	
魄	pʰɤ5	
魘	iã5	
魏	vei5	
魔	mɤ2	
魚	y2	
魯	lu3	
鮎	niã2	鮎魚
鮑	pao1	姓,鮑魚
鮮	ɕiã1	新鮮
鮮	ɕiã3	鮮少
鯗	ɕiaŋ3	
鯉	li3	
鰣	ʂʅ2	
鯽	tɕi5	
鯨	tɕiŋ1	
鰓	sai1	
鰭	tɕʰi2	
鰥	kuã1	鰥寡
鰾	pʰiao2	
鱉	piəʔ7	
鱖	kuəi5	鱖魚
鱗	liən2	
鳥	niao3	
鳩	tɕiəu1	
雞	tɕi1	
鳴	miŋ2	
鴉	iɔ1	
鸕	lu2	鸕鷀
鴨	iəʔ7	
鴿	kɤ1	
鸞	luã2	
鴻	xoŋ2	
鵝	ɤ2	
鵡	u1	鸚鵡
鵲	tɕʰyəʔ7	喜鵲
鷂	iao3	鷂鷹
鶴	xɤ5	
鸚	iŋ1	鸚鵡,鸚哥
鷺	lu5	鷺鷥
鷹	iŋ1	
鹿	lu5	
麝	ʂɤ5	麝香
麥	miəʔ7	
麩	fu1	麥麩子
麻	mɔ2	
麾	mi2	
黃	xuaŋ2	
黍	ʂu3	
黎	li2	
