#漢字	音標	解釋
右	iəu5	
葉	iɤ5	
號	xao5	呼號
號	xao5	號數
司	sɿ1	
嘆	tʰã5	
吁	y1	
吃	tʂʰəʔ7	
各	kəʔ7	
吆	iao1	吆喝
合	xɤ2	
合	xɤ2	十合一升
吉	tɕiəʔ7	
吊	tiao5	
同	tʰoŋ2	
名	miŋ2	
后	xou5	
吏	li5	
吐	tʰu5	吐痰
吐	tʰu5	嘔吐
向	ɕiaŋ5	
嚇	ɕiɔ5	嚇一跳
嚇	xɤ5	恐嚇
呂	ly3	
君	tɕyn1	
吝	liən5	吝嗇
吞	tʰuən1	
吟	iən3	
吠	fei5	
吣	tɕʰiən1	貓吣
否	fou3	
含	xã2	
聽	tʰiŋ1	聽見,聽話
聽	tʰiŋ1	聽其自然,聽任
啓	tɕʰi3	
吳	u2	
吵	tʂʰao3	
吸	ɕi1	
吹	tʂʰuəi1	
吻	ven3	
吼	kʰou3	
吾	u2	
呆	tai1	
呈	tʂʰeŋ2	
告	kao5	
嘔	ou3	嘔吐
員	yã2	
周	tʂou1	
味	vei5	
呼	xu1	
命	miŋ5	
和	xɤ2	和氣
和	xɤ2	和麵
咎	tɕiəu1	
詠	yŋ3	
咒	tʂou5	
咨	tsɿ1	
咬	iao3	
咳	kəʔ7	咳嗽
咸	ɕiã2	
咽	iã1	
哀	ai1	
品	pʰiən3	
哄	xoŋ3	
哄	xoŋ1	哄騙
響	ɕiaŋ3	
啞	iɔ3	
噦	ʐɤ3	乾噦
哥	kɤ1	
哪	nɔ3	哪個
哭	kʰuəʔ7	
哲	tʂɤ2	
哽	keŋ5	骨哽在喉
唆	suɤ1	囉唆
脣	tʂuən2	
唐	tʰaŋ2	
嘮	lao1	嘮叨
喚	xuã5	
售	ʂou5	
唯	vei2	
唱	tʂʰaŋ5	
唾	tʰuɤ5	唾液,唾沫
啄	tʂuɤ1	
商	ʂaŋ1	
嗇	sɤ5	吝嗇
囉	luɤ1	囉唆
啼	ti5	
喂	vei5	
善	ʂã5	
喉	xou2	
喊	xã3	
喘	tʂʰuã3	
喜	ɕi3	
喝	xɤ1	喝酒
喝	kʰəʔ7	喝采,吆喝
喧	ɕyã1	
噴	pʰen1	噴水
噴	pʰen1	噴香,噴嚏
喻	y5	
嗅	ɕiəu5	用鼻嗅
嗅	ɕiəu5	用鼻子聞
嗉	su5	鳥嗉子
嗓	saŋ3	
嗜	ʂʅ5	
嗣	sɿ1	
嗤	tʂʰʅ5	嗤笑
嗽	sou5	咳嗽
嘉	tɕiɔ1	
嘘	ɕy1	吹噓
囑	tʂu3	
嘴	tsuəi3	
噇	tʂʰaŋ2	
噍	tɕʰiao2	牛倒噍
噎	iəʔ7	噎住了
器	tɕʰi5	
囂	ɕiao1	
嚷	ʐaŋ1	
嚼	tsuɤ2	
嚼	tɕyɤ2	
囊	naŋ2	
囚	tɕʰiəu2	
四	sɿ5	
囝	nã1	
回	xuəi2	
因	iən1	
团	tʰuã2	
囤	tʰuən2	
囥	kʰaŋ5	藏
園	yã2	
困	kʰuən5	
囱	tsʰoŋ1	煙囱
圍	vei2	
固	ku5	
國	kuəʔ7	
圖	tʰu2	
圓	yã2	
圈	tɕʰyã1	圓圈
圈	tɕyã5	猪圈
土	tʰu3	
聖	ʂeŋ5	
在	tsai5	
圭	kuəi5	
地	ti5	
場	tʂʰaŋ3	
址	tʂʅ3	
均	tɕuən1	
坍	tʰɤ1	坍下來
坎	kʰã3	
壞	xuai5	
坐	tsuɤ5	
坑	kʰeŋ1	
塊	kʰuai5	
堅	tɕiã1	
坛	tʰã2	
壩	pɔ5	堤
壩	pɔ5	平川
塢	u1	
墳	fen2	
墜	tʂuəi5	與墮異
坡	pʰɤ1	
坤	kʰuən1	
坦	tʰã3	
坪	pʰiŋ2	
坯	pʰi1	土坯
坳	ao5	山坳
垂	tʂʰuəi2	
壠	loŋ3	
型	ɕiŋ2	
垒	lei3	
垜	tuɤ5	柴垛
墾	kʰen3	
墊	tiã5	墊錢
垮	kʰuɔ3	
垵	ã5	坑
埂	keŋ3	田埂
埃	ai1	塵埃
埋	mai2	
域	y5	
埠	pʰu5	商埠
培	pʰei2	
基	tɕi1	
堂	tʰaŋ2	
堆	tuəi1	
堡	pu5	
堤	tʰi2	
堪	kʰã1	
堰	iã1	
堵	tu3	
塌	tʰəʔ7	
塍	ʂeŋ5	田塍
塑	su5	塑像
塔	tʰəʔ7	
塘	tʰaŋ2	
塞	səʔ7	
填	tʰiã2	
境	tɕiŋ5	
墓	mu5	
牆	tɕʰiaŋ2	
增	tseŋ1	
墟	ɕy1	墟市
墨	mɤ5	
墩	tuən1	
壁	pi5	
壅	yŋ1	施肥
壕	xao2	
壤	ʐaŋ3	土壤
士	ʂʅ5	
壬	ʐen5	
壯	tʂuaŋ5	
聲	ʂeŋ1	
殼	tɕʰiao5	
壺	xu2	
處	tʂʰu5	相處
處	tʂʰu5	處所
備	pei5	
复	fu5	
复	fu5	復興
复	fu5	復原
夏	ɕiɔ5	姓
夏	ɕiɔ5	春夏
夕	ɕi1	
外	vai5	
多	tuɤ1	
夜	iɤ5	
够	kou5	
夥	kʰɤ1	
大	tɔ5	
大	tɔ5	大夫;大黃,藥名
天	tʰiã1	
太	tʰai5	
夫	fu1	
央	iaŋ1	
夯	xaŋ1	打夯
失	ʂəʔ7	
頭	tʰou2	
夷	i2	
夸	kʰuɔ1	
夾	tɕiəʔ7	
夾	tɕiəʔ7	裌衣
奪	tuɤ2	
奇	tɕʰi2	
奈	nai5	
奉	feŋ5	
奮	fen5	
奎	kʰuəi2	
奏	tsou5	
契	tɕʰi5	契約
奔	pen1	
獎	tɕiaŋ3	
套	tʰao5	
奚	tɕʰi1	
奠	tiã5	
奢	ʂɤ1	
奧	ao1	
女	ny3	
奴	nu2	
奶	nai3	
奸	tɕiã1	
好	xao5	喜好
好	xao3	好壞
如	ʐu2	
妃	fei1	
妄	vaŋ5	
婦	fu5	
媽	mɔ1	
妒	tu5	
妓	tɕi5	
妖	iao1	
妗	tɕiən5	舅母
妙	miao5	
妥	tʰuɤ3	
妨	faŋ2	妨害
妹	mei5	
妻	tɕʰi1	
妾	tɕʰiɤ5	
姊	tsɿ3	
始	ʂʅ3	
姐	tɕiɤ3	
姑	ku1	
姓	ɕiŋ5	
委	vei3	
姘	pʰiən1	姘頭
姚	iao2	
姜	tɕiaŋ1	
姨	i2	
姻	iən1	
姿	tsɿ1	
威	vei1	
嬌	tɕiao1	
娘	niaŋ2	
娠	ʂen1	
娩	miã3	分娩
娛	y2	
娶	tɕʰy3	
婆	pʰɤ2	
婚	xuən1	
婢	pi5	
嬰	iŋ1	
嬸	ʂen3	
婿	ɕy5	女壻
媒	mei2	
媚	mei5	
媳	ɕi2	
嫁	tɕiɔ5	
嫂	sao2	
嫌	ɕiã2	
嫖	pʰiao2	嫖賭
嫡	ti2	
嫩	nen5	
嬉	ɕi1	
嬎	fã5	鳥下蛋
孀	ʂuaŋ1	
子	tsɿ3	
孔	kʰoŋ3	
孕	yn5	
字	tsɿ5	
存	tsʰuən2	
孫	suən1	
孝	ɕiao5	
孟	meŋ5	
季	tɕi5	
孤	ku1	
學	ɕyɤ2	
孩	xai2	
孵	fu1	孵小雞
孽	niɤ5	
寧	niŋ2	安寧,滬寧
寧	niŋ2	寧可
宅	tʂai2	
宇	y3	
守	ʂou3	
安	ã1	
宋	ʂoŋ5	
