#漢字	音標	解釋	#('yue_nnbh', '南寧白話', '南寧白話', '#FFAD00', None, None, '更新：2021-07-13<br>來源：<a href=https://github.com/leimaau/naamning_jyutping>南寧話輸入方案</a><br>說明：心母字讀 sl[ɬ]（清齒齦邊擦音），效咸山攝二等字讀 -eu[-ɛu]、-em[-ɛm]/-ep[-ɛp]、-en[-ɛn]/-et[-ɛt]<br>老派的師韻（止開三精莊組）字讀 zy[tsɿ]、cy[tsʰɿ]、sy[sɿ]，津韻（臻合三舌齒音、部份臻開三）字讀 -yun[-yn]/-yut[-yt]<br>(白)白讀；(文)文讀；(老派)老派音；(習)習讀；(常)常讀；(又)又讀；(罕)罕讀；(訓)訓讀；(舊)舊讀；(語)口語音；(書)書面音；(外)外來語音譯；(名)名詞；(動)動詞；(量)量詞', '55 1 1a 陰平 ꜀,35 3 2a 陰上 ꜂,33 5 3a 陰去 ꜄,21 2 1b 陽平 ꜁,24 4 2b 陽上 ꜃,22 6 3b 陽去 ꜅,55 7a 4a 上陰入 ꜆,33 7b 4b 下陰入 ꜀,22 8 4c 陽入 ꜇')
〇	leŋ4
㑊	jek̚9
㹃	fɛː5\	褦le5㹃，同褦襶
㹃	hɛː3	翻、撬
㹢	kaː1
㹴	kɐŋ1
㺢	kʰɔːk̚8
㼞	pʰaːŋ1
㾓	jyːn1	骨節痠痛
㿀	paːn1
㿭	t͡ʃʰaːk̚8	皴；沙哑
㿺	pɔːk̚7	皰，又作泡/𦢊字
䀇	kuː2
䀡	t͡ʃiːm1	同覘字
䀹	ʃiːm2	眨
䀹	ʃiːp̚8+
䀹	t͡ʃiːp̚8+
䁅	maːŋ5
䁅	mɐŋ2\	䁅𤿆zang2，同𤷪𤺧
䁋	hiːp̚8	閉目
䁪	t͡ʃaːm2
䁽	laːp̚8	掃視
䂻	t͡ʃaːŋ6	硬塞；飽肚
䂿	taːp̚9
䅦	maːu1	虛鬆不實，又作泡字
䅺	piːu1	～青，出衆
䆡	laːŋ1\	䆲䆡，空蕩
䆡	lɔːŋ4
䆲	hɔːŋ1
䆲	kʷʰaːŋ1\	䆲䆡，空蕩
䈎	jiːp̚9
䉕	t͡ʃʰɐŋ4
䉕	lɐŋ1\	古壯字，篩
䉲	miː4
䉵	t͡ʃaːn6/
䉵	t͡ʃyːn6	(習)
䉺	hɔːŋ2	陳米氣味；皮膚乾燥
䊆	kɐu6	(量)塊、團
䊦	ɛːt̚8-	糍粑
䊦	jiːt̚8
䊷	t͡ʃiː1
䊷	t͡sɿ1	(老派)
䋨	fuː2
䋨	pʰɐu3\	鬆軟，又作婄字
䍇	tʰaːp̚8	罈子
䎺	t͡ʃɐi3	願意；合算
䏙	tɐm1	肚～，肚子；肥～～，矮胖貌
䏰	jɐn6
䏰	jyːn6	(老派)
䏽	pɐu6	瘻～，不整潔，臃腫
䐁	tʊk̚7	容器底部，又作㞘/𡰪字
䐛	taːp̚7
䐥	ʊŋ3	酸菜變質氣味
䑜	tɛːp̚7	小口品嚐
䒏	ɬɐŋ4\	懵～～，糊糊塗塗，又作古壯字㗂
䒏	t͡ʃɐŋ2
䒐	mɐŋ2
䗧	hɔːŋ1
䗧	kʰɔːŋ4\	螞螂～，螳螂
䘆	hyːn2	黃～，蚯蚓
䚕	lɐi6	瞟，又作𧢝/矋字
䝋	t͡ʃʊŋ1
䝼	t͡ʃʰeŋ4	承受財物
䝼	t͡ʃeŋ6	賜予
䞘	kɐt̚9	同趷字
䟕	t͡ʃʰaː1	誤踏，又作蹅字
䟴	ŋɐn3	抖動
䠋	piː2	同髀字
䠋	pʰɛː5	歪斜
䠩	kuːi6	累，又作癐/攰字
䢅	ʃɐn4
䥇	ʃiːn3
䥑	mɐk̚9
䥛	kiːt̚8
䨻	pɐŋ6
䩌	t͡ʃʰaːu4\	褶皺
䩌	t͡ʃʰiːu4
䩩	jyːn2
䬍	fɐt̚7
䬍	fɔːt̚9\	風箱聲；啡fi4啡fi4～～，形容工作緊張
䬍	fuːt̚9\	風聲
䭑	liːm5
䭔	tuːi1	煎～
䭞	ɛːk̚8+	弱化讀法
䭞	jɛːk̚8	油變質味，即哈喇，又作膉字
䭤	hiːn2
䭦	pɔːk̚8	同餺字
䭰	pʊŋ6	同𩗴字
䯾	tɛːu4\	疊音詞綴，軟～～
䯾	tiːu1	小兒留髮
䯾	tʰiːu4	髮多
䰾	paː1
䲘	kuːn2
䴉	waːn4
䵑	nek̚7	同䵒字
䵒	nek̚7	停，本義黏，又作䵑/𪐌字
䶡	ʃaːt̚9	咬物聲
䶡	t͡ʃaːk̚9	同齰字
一	jɐt̚7
丁	tɛːŋ1-	人丁，豆丁
丁	teŋ1	甲乙丙丁
七	t͡ʃʰɐt̚7
万	maːn6	同萬字
万	mɐk̚9	万俟，複姓
丈	t͡ʃœːŋ6
三	ɬaːm1
上	ʃœːŋ5	上山
上	ʃœːŋ6	上面
下	haː5	一下，等下
下	haː6	底下，下山
不	pɐt̚7
与	jyː5
丏	miːn5
丐	kʰɔːi3
丑	t͡ʃʰɐu2
且	t͡ʃʰɛː2
丕	pʰiː1
世	ʃɐi3
丘	jɐu1
丙	peŋ2
丞	ʃeŋ4
丟	tiːu1
並	peŋ6	並且
丫	aː1
丫	jaː1+
中	t͡ʃʊŋ1	中間
中	t͡ʃʊŋ3	中計
丰	fʊŋ1
串	t͡ʃʰyːn3
丸	jyːn4
丹	taːn1
主	t͡ʃyː2
丼	tɐm2	落水聲；姓
丼	t͡ʃɛːŋ2-	同井字
丼	t͡ʃeŋ2=
丽	lɐi6
乂	ŋaːi6
乃	naːi5
久	kɐu2
么	jiːu1	同幺字
么	maː1	同嗎字
么	mɔː1	同麼字
之	t͡ʃiː1
乍	t͡ʃaː3
乎	fuː4+
乎	wuː4
乏	faːt̚9
乒	peŋ1
乓	paːŋ1
乖	kʷaːi1
乘	ʃeŋ4	乘坐
乘	ʃeŋ6	千乘
乙	jiːt̚8+
乙	jyːt̚8
乜	mɐt̚7	什麼，本字物
乜	mɛː1	斜視
乜	mɛː2	歪
乜	mɛː4\	乜斜sle4，醉態
九	kɐu2
乞	hɐt̚7
也	jaː5
乩	kiː1
乪	kʰɛːk̚9
乱	lyːn6
乳	jyː5
乸	naː2	母，雌
乾	kɔːn1	乾燥
乾	kʰiːn4	乾坤
亂	lyːn6
了	liːu5
予	jyː4	我
予	jyː5	賦予
事	ʃiː6
事	sɿ6	(老派)
二	jiː6
亍	t͡ʃʰʊk̚7
于	jyː1	同於字
于	jyː4	之子于歸；姓
云	wɐn4
互	wuː6
亓	kʰiː4
五	ŋ5
井	t͡ʃɛːŋ2-
井	t͡ʃeŋ2=
亙	kɐŋ2
些	ɬɛː1
亞	aː3	亞洲；近指代詞（這），又作阿字，本字箇
亟	kek̚7	亟待
亟	kʰiː3	亟請
亡	mɔːŋ4
亢	kɔːŋ1	人頸
亢	kʰɔːŋ3	亢奮
交	kaːu1=	成交
交	kɛːu1-	交錢
亥	hɔːi6
亦	jek̚9
亨	hɐŋ1
享	hœːŋ2
京	keŋ1
亭	tʰeŋ4
亮	lœːŋ6
亯	hœːŋ2
人	jɐn4
什	ʃɐm6	什麼
什	ʃɐp̚9	什錦，什物
什	t͡ʃaːp̚9+	什錦，什物
仁	jɐn4
仁	ŋɐn4-	果仁
仃	teŋ1
仄	t͡ʃɐk̚7
仅	kɐn2
仆	fuː6	前仆後繼，又作前赴後繼
仆	pʰʊk̚7	仆倒
仇	t͡ʃʰɐu4	仇恨
仇	kʰɐu4	姓
仉	t͡ʃœːŋ2
今	kɐm1
介	kaːi3
仍	jeŋ4
从	t͡ʃʰʊŋ4
仔	t͡ʃɐi2	仔女，本字崽
仔	t͡ʃiː2	仔細
仔	t͡sɿ2	(老派)仔細
仕	ʃiː6
仕	sɿ6	(老派)
他	tʰaː1
仗	t͡ʃœːŋ3	打仗
仗	t͡ʃœːŋ6	倚仗
付	fuː6
仙	ɬiːn1
仝	tʰʊŋ4
仞	jɐn6
仟	t͡ʃʰiːn1
仡	kɐt̚7+	仡佬族
仡	kɔː1	仡佬族
仡	ŋɐt̚9	壯勇
代	tɔːi6
令	leŋ6
以	jiː5
仦	nɛːu4\	細長柔軟，古壯字亦同，又作嫋字
仦	niːu5
仨	ɬaːm1
仫	mɔː1+
仫	mʊk̚9
仰	jœːŋ5	信仰
仰	ŋɔːŋ5-	仰頭
仲	t͡ʃʊŋ6	副詞，還，本字重
仳	pʰiː2
仵	ŋ5
件	kiːn2-	條件
件	kiːn6	一件
价	kaː3
任	jɐm4	姓
任	jɐm6	責任
份	fɐn6
仿	fɔːŋ2
企	kʰiː5
伈	ɬɐm2
伉	kʰɔːŋ3
伊	jiː1
伋	kʰɐp̚7
伍	ŋ5
伎	kiː6
伏	pʊk̚9-	趴
伏	fʊk̚9	埋伏
伐	faːt̚9
休	jɐu1
伕	fuː1
优	jɐu1
伙	fɔː2
伢	ŋaː4
伩	mɐn1	細～仔，小孩子
伭	jiːn4
伭	jyːn4+
伯	paːk̚8
估	kuː2
伴	puːn6	伴侶
伴	pʰuːn5-	作伴
伶	leŋ4
伸	t͡ʃʰɐn1\	伸懶腰，又作抻/胂字
伸	ʃɐn1
伺	t͡ʃʰiː3	伺候，伺機
伺	t͡sʰɿ3	(老派)
伻	pʰeŋ1
似	t͡ʃʰiː5
似	t͡sʰɿ5	(老派)
伽	kaː1	伽利略
伽	kʰɛː4	伽藍
伾	pʰiː1
伿	jiː6
伿	t͡ʃiː3+
佃	tiːn6	佃戶
佃	tʰiːn4	佃作
但	taːn6
佇	t͡ʃʰyː5
佈	puː3
佉	kʰyː1
佌	t͡ʃʰiː2
佌	t͡sʰɿ2	(老派)
位	wɐi2-	有個位
位	wɐi6	位置
低	tɐi1
住	t͡ʃyː6
佐	t͡ʃɔː2
佑	jɐu6
体	tʰɐi2
佔	t͡ʃiːm3
何	hɔː4
佖	piːt̚7
佗	tʰɔː4
佘	ʃɛː4
余	jyː4	姓；我
佚	jɐt̚9
佛	fɐt̚7	仿佛
佛	fɐt̚9	佛教
作	t͡ʃɔːk̚8
佝	kɐu1+
佝	kʰɐu3+
佝	kʰyː1
佞	neŋ6
佟	tʰʊŋ4
你	niː5
佢	kʰyː5	他，本字渠，語流中會變爲齊齒且變調陰去
佣	jʊŋ2-	佣金
佣	jʊŋ6
佤	ŋaː5
佩	pʰuːi3
佬	luː2	詞綴賤稱，本字獠
佮	kɐp̚8	合夥，又作敆/㪉/合字
佮	tʰɐp̚7\	套，本字錔
佯	jœːŋ4
佰	paːk̚8
佳	kaːi1
併	peŋ3	合併
佸	wuːt̚9
佹	kʷɐi2
佺	t͡ʃʰyːn4
佻	tʰiːu1
佻	tʰiːu4+
佼	kaːu2
佼	kɛːu2-
佽	t͡ʃʰiː3
佽	t͡sʰɿ3	(老派)
佾	jɐt̚9
使	ʃɐi2	(習)使用
使	ʃiː2/	致使
使	ʃiː3	大使
侁	ɬɐn1
侂	tʰɔːk̚8
侃	hɔːn2
侄	t͡ʃɐt̚9
來	lɐi4-
來	lɔːi4
侈	t͡ʃʰiː2
侉	kʷʰaː1
例	lɐi6
侍	ʃiː6
侏	t͡ʃyː1
侑	jɐu6
侔	mɐu4
侖	lɐn4
侖	lyːn4	(老派)
侗	tʊŋ6	侗族
侗	tʰʊŋ4	倥侗
侘	t͡ʃʰaː3
侚	ʃɐn4
侚	ɬɐn4+
侚	ɬyːn4	(老派)
供	kʊŋ1	供應
供	kʊŋ3	供奉
依	jiː1
侮	muː5
侯	hɐu4
侵	t͡ʃʰɐm1
侶	lyː5
侷	kʊk̚9
便	piːn2-	順便，隨便
便	piːn6	方便
便	pʰiːn4	便宜
俁	jyː5
係	hɐi6	關係；是
促	t͡ʃʰʊk̚7
俄	ŋɔː4
俅	kʰɐu4
俇	kɔːŋ6+
俇	kʷaːŋ6
俊	t͡ʃɐn3
俍	lœːŋ4
俎	t͡ʃɔː2
俏	t͡ʃʰiːu3
俐	liː6
俑	jʊŋ2
俗	ɬʊk̚9+
俗	ʃʊk̚9+
俗	t͡ʃʊk̚9
俘	fuː1
俙	hiː1
俚	liː5
俜	pʰeŋ1
保	puː2
俞	jyː4
俟	kʰiː4	万俟，複姓
俟	ʃiː6	俟機
俟	sɿ6	(老派)
俠	haːp̚9
信	ɬɐn3
信	ɬyːn3	(老派)
俤	tɐi6
俥	t͡ʃʰɛː1
俬	ʃiː1
俬	sɿ1	(老派)
修	ɬɐu1
俯	fuː2
俱	kyː6
俱	kʰyː1+
俳	pʰaːi4
俵	piːu2
俶	t͡ʃʰʊk̚7	開始；整理
俶	tʰek̚7	同倜字
俸	fʊŋ2-
俸	fʊŋ6
俺	aːn2+
俺	jiːm3
俾	piː2
倀	t͡ʃʰaːŋ4	獨立貌
倀	t͡ʃʰœːŋ1	爲虎作倀
倆	lœːŋ5
倉	t͡ʃʰɔːŋ1
個	kɔː3
倌	kuːn1
倍	pʰuːi5
倏	ʃʊk̚7
們	muːn4
倒	tuː2	倒塌
倒	tuː3	倒掛
倓	tʰaːm4
倔	kʷɐt̚9
倕	ʃuːi4
倖	hɐŋ6
倘	tʰɔːŋ2
候	hɐu1\	守候，留意，又作睺字
候	hɐu6
倚	jiː2
倜	tʰek̚7
借	t͡ʃɛː3
倡	t͡ʃʰœːŋ1	倡優；提倡，倡議
倡	t͡ʃʰœːŋ3+	提倡，倡議
倣	fɔːŋ2
倥	hʊŋ1	倥侗
倥	hʊŋ2	倥傯
倦	kyːn6
倧	t͡ʃʊŋ1
倨	kyː3
倩	ʃiːn6
倪	ŋɐi4
倪	niː4+
倫	lɐn4
倫	lyːn4	(老派)
倭	wɔː1
倯	ɬʊŋ1
倳	t͡ʃiː3
倳	t͡sɿ3	(老派)
倷	nɔːi6
倻	jɛː4
值	t͡ʃek̚9
偃	ɛːn2-	踮
偃	jiːn2
偅	t͡ʃʊŋ3
假	kaː2	真假
假	kaː3	放假
假	kʰaː3	(常)放假
偈	kɐi2\	傾偈，聊天
偈	kɐi6	佛偈
偈	kiːt̚9	武貌，疾馳
偉	wɐi5
偌	jɛː6
偎	wuːi1
偏	pʰiːn1
偕	kaːi1
偕	haːi4+
做	t͡ʃuː3
偛	t͡ʃaːp̚8	皮皺
停	tʰeŋ4
偡	t͡ʃaːm3
健	kiːn6
偪	pek̚7
偫	t͡ʃiː6
偰	ɬiːt̚8
偲	t͡ʃʰaːi1	多才
偲	ʃiː1	偲偲
偲	ɬɔːi1+	多才
偲	sɿ1	(老派)
側	t͡ʃɐk̚7
偵	t͡ʃeŋ1
偶	ŋɐu5
偷	tʰɐu1
偽	ŋɐi6
傀	kʷɐi1	傀奇
傀	kʷɐi2+	傀儡
傀	kʷʰɐi2	傀儡
傂	t͡ʃiː6
傃	ɬuː3
傅	fuː6
傍	pɔːŋ6	依傍
傍	pʰɔːŋ4	傍晚
傑	kiːt̚9
傕	kɔːk̚8
傖	t͡ʃʰɔːŋ1
傘	ɬaːn3
備	piː6
傝	taːp̚8\	冇釐傝𢶍，不踏實
傝	tʰaːp̚8
傢	kaː1
傣	taːi2
傣	tʰaːi3+
催	t͡ʃʰuːi1
傭	jʊŋ4	傭工
傯	t͡ʃʊŋ2
傲	ŋuː6
傳	t͡ʃʰyːn4	傳達
傳	t͡ʃyːn6	傳記
傴	jyː2
債	t͡ʃaːi3
傷	ʃœːŋ1
傺	t͡ʃʰɐi3
傻	ɬɔː4
傾	kʰeŋ1
僂	lɐu4	佝僂
僂	lyː5	脊背彎曲
僅	kɐn2
僆	lɛːŋ1\	年幼的
僆	liːn5
僇	lʊk̚9
僉	t͡ʃʰiːm1
僊	ɬiːn1	同仙字
働	tʊŋ6
僎	t͡ʃaːn6/
僎	t͡ʃyːn6	(習)同撰字
像	t͡ʃœːŋ6
僑	kʰiːu4
僔	t͡ʃyːn2
僕	pʊk̚9	僕人
僕	pʰʊk̚9	(常)
僖	hiː1
僚	liːu4
僝	ʃaːn4
僞	ŋɐi6
僥	hiːu1	僥倖
僧	t͡ʃɐŋ1
僨	fɐn5
僭	t͡ʃʰiːm3
僮	tʰʊŋ4	書僮
僮	t͡ʃɔːŋ6	僮族
僰	paːk̚9
僱	kuː3
僳	ɬʊk̚7
僵	kœːŋ1
僵	kʰœːŋ1+
僸	kɐm3
價	kaː3
僻	pʰek̚7
僿	ʃiː1
儀	jiː4
儁	t͡ʃɐn3
儂	nʊŋ4
億	jek̚7
儆	kɛːŋ6\	儆惜，珍惜
儆	keŋ2	儆戒；得意
儇	hyːn1
儈	kʰuːi3+
儈	kʷʰɐi3
儉	kiːm6
儐	pɐn3
儒	jyː4
儓	tʰɔːi4
儔	t͡ʃʰɐu4
儕	t͡ʃʰaːi4
儘	t͡ʃɐn2	儘管
儘	t͡ʃɐn6+
償	t͡ʃʰœːŋ4
償	ʃœːŋ4+
儡	luːi5
儦	piːu1
儩	t͡ʃʰiː3
儩	t͡sʰɿ3	(老派)
優	jɐu1
儰	wɐi5
儱	lʊŋ5
儲	t͡ʃʰyː4
儴	jœːŋ4
儵	ʃʊk̚7
儷	lɐi6
儹	t͡ʃaːn2+
儹	t͡ʃɐn2	同攢字
儺	nɔː4
儻	tʰɔːŋ2
儼	jiːm4+
儼	jiːm5
儽	luːi5
儾	naːŋ3\	吊～～，吊貌
儾	nɔːŋ6
儿	jɐn4	同人字
儿	jiː4	同兒字
兀	ŋɐt̚9
允	jɐn5	(罕)
允	wɐn5
元	jyːn4
兄	heŋ1
充	t͡ʃʰʊŋ1
兆	t͡ʃiːu6
兇	hʊŋ1
先	ɬiːn1
光	kɔːŋ1
克	hɐk̚7
克	kʰɐk̚7	(常)
兌	tuːi3
免	miːn5
兌	tuːi3
兒	jiː1\	乞兒
兒	jiː4
兔	tʰuː3
兕	t͡ʃiː6
兕	t͡sɿ6	(老派)
兗	jiːn5
党	tɔːŋ2
兜	tɐu1
兢	keŋ1
入	jɐp̚9
內	nuːi6
全	t͡ʃʰyːn4
兩	lœːŋ2	斤兩
兩	lœːŋ5	兩個
八	paːt̚8=
八	pɛːt̚8-
公	kʊŋ1
六	lʊk̚9
兮	hɐi4
共	kʊŋ6
兵	peŋ1
其	kʰiː4
具	kyː6
典	tiːm2	(習)
典	tiːn2/
兼	kɛːm1	(外)遊戲淘汰，英語game over
兼	kiːm1
冀	kiː3
冇	muː5	沒有，無有的合音，語流中會變調爲陰去
冉	jiːm5
冊	t͡ʃʰaːk̚8
再	t͡ʃɔːi3
冏	kʷeŋ2
冑	t͡ʃɐu6
冒	maːu6-
冒	muː6
冔	hyː2
冕	miːn5
冗	jʊŋ2
冘	jɐm4	冘冘
冘	jɐu4	冘豫，同猶豫
冚	hɐm6	蓋得嚴密；全部，冚𠾴唥
冚	kʰɐm2	蓋上，本字𠖫
冞	miː4
冠	kuːn1	衣冠
冠	kuːn3	冠軍
冢	t͡ʃʊŋ2
冤	jyːn1
冥	meŋ4
冧	lɐm1	哄；花冧，花蕾
冧	lɐm3	垮塌
冪	mek̚9
冬	tʊŋ1
冰	peŋ1
冱	wuː6
冶	jɛː5
冷	laːŋ5
冼	ɬiːn2
冽	liːt̚9
凄	t͡ʃʰɐi1
准	t͡ʃɐn2
准	t͡ʃyːn2	(老派)
凈	t͡ʃɛːŋ6-	乾凈
凈	t͡ʃeŋ6	凈重
凋	tiːu1
凌	leŋ4
凍	tʊŋ3
凐	jɐn1	寒貌
凘	ʃiː1
凘	sɿ1	(老派)
凜	lɐm5
凝	kʰeŋ4\	（豬油等）凝結
凝	ŋeŋ4+
凝	neŋ4
几	kiː1	茶几
凡	faːn4
凧	kɐn1
凩	mʊk̚9
凪	t͡ʃiː2
凭	pɐŋ6	倚靠
凭	pʰɐŋ4	同憑字
凰	wɔːŋ4
凱	hɔːi2
凱	kʰɔːi2+
凳	tɐŋ3
凶	hʊŋ1
凸	tɐt̚9
凹	aːu3+
凹	mɐp̚7~
凹	waː1+
出	t͡ʃʰɐt̚7+
出	t͡ʃʰyːt̚7
凼	tʰɐm5	水坑
函	haːm4
刀	tuː1
刁	tiːu1
刃	jɐn6
分	fɐn1	分開
分	fɐn6	本分
切	t͡ʃʰɐi3	一切
切	t͡ʃʰiːt̚8	切開
刈	ŋaːi6
刉	kiː1
刊	hɔːn2
刎	mɐn5
刏	kiː1
刑	jeŋ4
划	waː1+	划船
划	waː4	划船，划算
刓	jyːn4
刖	jyːt̚9
列	laːt̚9	(量)排，又作迾字
列	lɛːt̚9	(量)排，又作迾字
列	liːt̚9	排列
初	t͡ʃʰɔː1
判	pʰuːn3
別	piːt̚9
刨	pʰaːu4=
刨	pʰɛːu4-
利	liː6
刪	ʃaːn1
刮	kʷaːt̚8=
刮	kʷɛːt̚8-
到	tuː3
刱	t͡ʃʰɔːŋ3
刳	fuː1
制	t͡ʃɐi3
刷	t͡ʃʰaːt̚8
券	kyːn3	(習)
券	hyːn3/
刺	t͡ʃʰɛːk̚8-	刺骨，頭刺，肉刺
刺	t͡ʃʰiː3	魚刺
刺	t͡sʰɿ3	(老派)
刻	hɐk̚7
刻	kʰɐk̚7	(常)
剁	tɔː3+
剁	tœːk̚8~	訓讀斲
剃	tʰɐi3
剄	keŋ2
則	t͡ʃɐk̚7
剉	t͡ʃʰɔː3
削	ɬœːk̚8
剋	hɐk̚7
剋	kʰɐk̚7	(常)
剌	laː1	割開
剌	laːt̚9	乖剌
前	t͡ʃʰiːn4
剎	ʃaːt̚8
剒	t͡ʃʰɔːk̚8
剔	tʰɛːk̚8-	剔除
剔	tʰek̚7	挑剔
剖	pʰɐu2
剚	t͡ʃiː3
剚	t͡sɿ3	(老派)
剛	kɔːŋ1
剜	wuːn2
剝	pɔːk̚8
剟	t͡ʃyːt̚8
剡	jiːm5	銳利，削尖
剡	ʃiːm6	剡溪
剨	waːk̚9
剩	ʃeŋ6/
剩	t͡ʃeŋ6	(習)
剪	t͡ʃiːn2
剭	ʊk̚7
剮	kʷaː2
副	fuː3
割	kɔːt̚8
剴	hɔːi2
創	t͡ʃʰɔːŋ3
剷	t͡ʃʰaːn2=
剷	t͡ʃʰɛːn2-
剺	liː1\	撕，或作劙字
剺	liː4
剽	pʰiːu4
剿	t͡ʃiːu2
劁	t͡ʃyːt̚8
劃	waːk̚9
劄	t͡ʃaːp̚8
劇	kʰɛːk̚9
劈	pʰɛːk̚8
劉	lɐu4
劊	kʰuːi3+
劊	kʷʰɐi3
劌	kʷɐi3
劍	kiːm3
劏	tʰɔːŋ1	宰殺
劐	kʰɔːk̚8
劐	waːk̚9+
劐	wɔːk̚9+
劑	t͡ʃɐi1
劓	jiː6
劖	t͡ʃʰaːm4=
劖	t͡ʃʰɛːm4-	刺入，又作鑱/攙字
劘	mɐi1\	削
劘	mɔː4
劙	lɐi5
劙	liː4+
力	lek̚9
功	kʊŋ1
加	kaː1
劣	liːt̚9+
劣	lyːt̚8
助	t͡ʃɔː6
