#漢字	音標	解釋
□	hɛ̃2	一~:一条
卷	kuĩ5	
廠	tsʰiõ3	
廳	tʰiã1	
历	lit7	
壓	ap7	
厭	iam5	
厚	hau6	文读，忠~
厚	kau6	白读
原	ɡuan2	
去	kʰi5	
縣	kuan2	
参	tsʰam1	~加
及	kip8	
友	ɡiu3	
雙	siaŋ1	
反	huan3	
发	huat7	
叔	tsiok7	
取	tsʰi3	
受	siu6	
變	pen5	
口	kʰau3	
古	kɔ3	
句	ku5	
只	tsi3	
叫	kio5	
可	kʰo3	
台	tʰai2	
史	su3	
右	ɡiu6	
號	ho2	
各	kok7	
合	hap8	
吊	tiau5	
同	tʰoŋ2	文读
同	taŋ2	白读
名	miã2	
后	au3	
吐	tʰɔ5	
向	iaŋ5	
呂	li6	
吞	tʰun1	
吠	pui1	
含	ham2	文读，包~
含	kam2	白读
聽	tʰiã1	
啓	kʰie3	
吳	ɡɔ1	
吵	tsʰa3	
吹	tsʰue1	
吼	hau3	
呈	tʰiã2	
吿	ko5	
周	tsiu1	
味	bi1	
呼	hɔ1	
命	bin6	文读
命	miã1	白读
和	ho2	
咒	tsiu5	
咨	tsu1	
咬	ka6	
哀	ai1	
哥	ko1	
哭	kʰau5	
哲	tet7	
哽	kɛ̃3	
唆	so1	啰~
脣	tun2	
唐	tʰaŋ2	文读
唐	tŋ̍2	白读，姓
唱	tsʰiaŋ5	
啄	tok7	
商	siaŋ1	
囉	lo2	~唆
善	sen6	
喉	au2	
喘	tsʰuan3	
喝	hua2	
噴	pʰun5	
喩	ɡi6	
嘉	ke1	
噤	kʰim6	
器	kʰi5	
嚇	hɛ2	
四	si5	
回	hue2	
因	in1	
团	tʰuan2	
囥	kʰŋ̍5	
園	huĩ2	
圍	ɡui2	
固	kɔ5	
國	kok7	
圖	tɔ2	
圓	ĩ2	
圈	kʰuan1	
土	tʰɔ3	
在	tsai6	
場	tiõ2	
址	tsi3	
均	kin1	
坎	kʰam3	
壞	huai6	
坐	tsie6	
坑	kʰɛ̃1	
堅	ken1	
墳	pʰun2	
坤	kʰun1	
坦	tʰan3	
坪	pɛ̃2	
坯	pʰue1	
型	hin2	
埃	ai1	
城	siã2	
培	pue2	
基	ki1	
堆	tui1	
堪	kʰam1	
堵	tɔ3	
塍	tsʰan2	
塔	tʰa2	
塗	tʰɔ2	泥土
塗	tɔ2	糊~
塡	ten2	
境	kin3	
牆	tsʰiõ2	
墟	hi1	
墨	bak8	
墩	tun1	
聲	siã1	
壺	hɔ2	
處	tsʰi3	
備	pi6	
复	hok8	
夏	he1	春~秋冬
外	ɡua1	
多	to1	
大	tua1	
天	tʰen1	文读
天	tʰĩ1	白读
太	tʰai5	
夫	hu1	文读
夫	pɔ1	白读
央	iõ1	当~
央	hiaŋ1	文读
失	sit7	
頭	tʰau2	
夾	kiap7	
奪	tut8	
奇	kʰi2	
奉	hoŋ6	
奏	tsau5	
契	kʰie5	
獎	tsiaŋ3	
奠	ten6	
奸	kan1	
好	ho3	
如	ɡi2	
妃	hui1	
婦	hu6	文读
婦	pu6	白读，新~
妗	kim6	
妙	biau6	
妥	tʰo3	
妹	bue5	
妻	tsʰie1	
妾	tsʰiap7	
姆	m̩3	
始	si3	
姐	tsia3	
姑	kɔ1	
姓	sɛ̃5	
姜	kiaŋ1	文读
姜	kiõ1	白读
姪	tet8	
姻	in1	
姿	tsu1	
婆	pʰo2	
婚	hun1	
嬰	iã1	
婿	sai5	
媒	bue2	
媳	sit7	
嫁	ke5	
嫂	so3	
嫌	hiam2	
子	tsu3	文读，孔~
子	tsi3	树~
孔	kʰoŋ3	
孕	in6	
字	li1	
存	tsʰun2	
孫	sun1	
孝	iau5	
孟	boŋ3	
季	kui5	
孤	kɔ1	
學	hiak8	文读
學	o6	白读
宅	tʰɛ6	
守	siu3	
安	an1	
宗	tsoŋ1	
官	kuã1	
宙	tiu6	
定	tin6	
寶	po3	
實	sit8	
審	sim3	
客	kʰɛ5	
宣	suan1	
室	sit7	
宪	hen5	
宮	kioŋ1	
宰	tsai3	
害	hai1	
家	ke1	
容	ɡioŋ2	
賓	pin1	
宿	siok7	
寄	kia5	
密	bit7	文读
密	bat8	白读
富	hu5	
寒	han2	文读
寒	kuã2	白读
察	tsʰat7	
寸	tsʰun5	
對	tui5	
尋	sim2	
導	tau6	
壽	siu6	
封	hoŋ1	
射	sia1	
將	tsiaŋ1	
尊	tsun1	
小	sio3	
少	tsio3	
尖	tsiam1	
塵	tʰin2	
尤	ɡiu2	
就	tsiu6	
尺	tsʰio2	
尾	bue3	
尿	lio1	
局	kiok8	
層	tsan5	
居	ki1	
屈	kʰut7	
屋	ok7	
屎	sai3	
屐	kʰia6	
展	ten3	
屬	siok8	
屠	tɔ2	
山	san1	文读
歲	hue5	
崗	kaŋ1	
島	tau3	
巖	ɡam2	文读
巖	nã2	白读，龙~
嶺	niã3	
岳	ɡak8	
岸	huã6	
崑	kʰun1	
崩	paŋ1	
嵌	kʰam1	
嶽	ɡak8	
川	tsʰuan1	文读
川	tsʰuĩ1	白读
州	tsiu1	
巡	sun2	
工	koŋ1	文读，~夫
工	kaŋ1	白读
左	tso3	
巧	kʰiau3	文读
巧	kʰa3	白读
巨	ki3	
差	tsʰe1	出~
已	ki6	
巴	pa1	
巷	haŋ5	
巾	kin1	
市	tsʰi6	
布	pɔ5	
帥	sue5	
師	su1	文读，教~
師	sai1	白读，~父
希	hi1	
帳	tiõ5	
帖	tʰiap7	
帝	tie5	
帶	tai5	
席	sit8	文读，主~
幫	paŋ1	
常	siaŋ2	
平	pɛ̃2	
平	pʰin2	文读
年	nĩ2	
幷	pin5	
幹	kan5	
幼	ɡiu5	
幽	ɡiu1	
幾	ki6	文读
幾	kui3	白读
廣	kuaŋ3	
莊	tsŋ̍1	
慶	kʰin5	
牀	tsʰŋ̍2	
序	si6	
庫	kʰɔ5	
應	in1	~当
應	in5	响~
底	tie3	
店	tiam5	
廟	bio1	
庚	kɛ̃1	
府	hu3	
度	tɔ6	
庵	am1	
康	kʰaŋ1	
庸	ɡioŋ2	
廉	liam2	
廊	laŋ2	
延	en2	
廷	tʰin2	
建	ken5	
開	kʰai1	文读
開	kʰui1	白读
式	sit7	
弓	kioŋ1	
引	in3	
弟	tie2	
弟	ti6	
張	tiõ1	
弦	hen2	
彎	uan1	
弱	ɡiak8	
彈	tuã2	白读，~琴
强	kʰiaŋ2	
歸	kui1	
當	taŋ1	
當	tŋ̍5	典~
录	liok7	
形	hin2	
彩	tsʰai3	
彬	pin1	
彭	pʰɛ̃2	
影	in3	文读，~响
影	iã3	白读，电~
彷	huaŋ3	
徹	tsʰet7	
往	oŋ3	
征	tsin1	
待	tʰai6	
很	hin3	
律	lut8	
徒	tɔ2	
得	tit7	
徙	sua3	
徛	kʰi6	
德	tit7	
徽	hui1	
心	sim1	
必	pit7	
憶	it8	
忌	ki5	
忍	ɡin3	文读
忍	lun3	白读
志	tsi5	
忙	baŋ2	
忠	tioŋ1	
憂	ɡiu1	
快	kʰuai5	
念	liam6	
懷	huai2	
態	tʰai5	
思	su1	~想
思	su5	意~
急	kip7	
性	sin5	
怨	uan5	
怪	kuai5	
總	tsoŋ3	
恆	hin2	
恨	hin6	
恩	un1	
恭	kioŋ1	
息	sit7	
恶	ok7	
恶	ɔ5	可~
懸	kuan2	高
情	tsʰin2	
驚	kiã1	
惜	sio2	
惠	hui6	
慘	tsʰam3	
慣	kuan5	
想	siõ6	
意	i5	
感	kam3	
願	ɡuan6	
慢	ban6	
慰	ɡui5	
懂	toŋ3	
戌	sut7	
戲	hi5	
成	sin2	
我	ɡo3	文读
我	ɡua6	白读
戰	tsen5	
戚	tsʰit7	
戴	tai5	文读
戴	ti5	白读
戶	hɔ1	
戽	hɔ5	
房	paŋ2	
所	sɔ3	
扁	pen3	
扇	sĩ5	
手	tsʰiu3	
才	tsʰai2	
托	tʰok7	
扣	kʰau5	
執	tsiap7	
掃	sau5	
揚	hiaŋ2	
扳	pan1	
扶	hu2	文读
扶	pʰɔ2	白读
批	pʰie1	
扽	tun5	
承	sin2	
抄	tsʰau1	
把	pa3	文读，~握
把	pe3	白读，一~
投	tau2	
抗	kʰaŋ5	
搶	tsʰiõ3	
護	hɔ6	
報	po5	
披	pʰi1	
抱	pʰo6	
抵	tie3	
抹	bua2	
押	a2	
抽	tʰiu1	
抿	bin3	
擔	tã5	
擔	tam1	文读，~任
擔	tã1	白读
拆	tʰia2	
拇	bɔ3	手指~
拐	kuai3	
拖	tʰo1	文读
拖	tʰua1	白读
拜	pai5	
攏	laŋ3	
揀	kan3	
撥	pua2	
擇	tit8	
拭	tsʰit7	擦
拱	kioŋ3	
持	tsʰi2	
指	tsi3	
挑	tʰiau1	
揮	hui1	
振	tsin3	
挽	ban3	
捉	tsok2	
捐	ken1	
損	sun3	
換	huan5	文读，交~
換	uã1	白读
捧	pʰoŋ3	
据	ki5	根~
捲	kuĩ3	
捷	tsiap8	
掀	hen1	
授	siu6	
掌	tsioŋ3	
排	pai2	
掘	kut8	
掛	kuɛ5	
探	tʰam5	
接	tsiap7	文读
接	tsi2	白读
控	kʰoŋ5	
推	tʰui1	
描	biau2	
提	tʰie2	
插	tsʰa5	
揞	am3	
握	ok7	文读，把~
握	ak7	白读
揭	ket7	
攬	lam3	
攪	kiau3	
搓	tsʰo1	
搨	tʰap7	
搬	puã1	
摆	pai3	
搖	ɡio2	
攤	tʰuã1	
撇	pʰet7	
撑	tʰɛ̃5	
撒	tsʰet7	
操	tsʰau1	
擘	pɛ2	
擦	tsʰat7	
支	ki1	
收	siu1	
改	kai3	文读，土~
改	kie3	白读
攻	koŋ1	
放	huaŋ5	文读，解~
放	paŋ5	白读
政	tsin5	
故	kɔ5	
效	iau6	
敵	tit8	
敏	bin3	
救	kiu5	
敢	kam3	文读
敢	kã3	白读
散	suã5	
㪗	tʰau3	解开
敬	kin5	
敲	kʰa5	
整	tsin3	
文	bun2	
齋	tse1	
斑	pan1	
斗	tau3	
料	liau1	
斜	tsʰia2	
斟	tsim1	
斤	kin1	
斬	tsam3	
斷	tuan6	~绝
斷	tuan5	决~
斯	su1	
新	sin1	
方	hoŋ1	
族	tsok8	
旗	kʰi2	
無	bu1	
日	lit8	
舊	ku6	
旨	tsi3	
早	tsa3	
旬	sun2	
旱	han6	
時	si2	
旺	oŋ6	
昆	kʰun1	
昌	tsʰiaŋ1	
明	bin2	
昏	hun1	
易	i6	容~
星	tsʰɛ̃1	
映	in5	反~
春	tsʰun1	
是	si6	
晝	tau5	中~
顯	hen3	
晌	iaŋ3	
晏	uã5	晚
曉	iau3	
晨	sin2	
普	pʰɔ3	
景	kin3	
晴	tsɛ̃2	
晶	tsin1	
暑	si3	
暗	am5	
曲	kʰiok7	
更	kɛ̃1	五~
替	tʰie5	
月	ɡue6	
有	u6	
朋	pʰoŋ2	
服	hok8	
望	baŋ6	
期	kʰi2	
木	bok8	
末	bua2	
本	pun3	
札	tsat7	
术	tsut8	白~
朱	tsu1	
朴	pʰok7	
朽	hiu3	
殺	sat7	
雜	tsap8	
權	kʰen2	
杈	tsʰe1	
杉	sam1	
李	li3	
材	tsʰai2	
村	tsʰun1	
杖	tiaŋ6	
杜	tɔ6	
束	siok7	
條	tiau2	
來	lai2	
杭	haŋ2	
杯	pue1	
杰	ket8	
杷	pe2	枇~
松	sioŋ2	
板	pan3	
極	kit8	
構	kau5	机~
枇	ɡi2	~杷
枉	oŋ3	
析	sit7	
枕	tsim3	
林	lim2	文读
林	nã2	白读，树~
果	ko3	
枝	ki1	
棗	tso3	
槍	tsʰiaŋ1	
楓	hoŋ1	
梟	iau1	
架	ke5	
柄	pɛ̃5	
某	bɔ3	
柑	kam1	
染	liam3	
櫃	kui1	
査	tsa1	调~
柬	kan3	
柱	tsu6	文读
柱	tʰiau6	白读
柳	liu3	
柴	tsʰa2	
柿	kʰi6	
棟	taŋ5	
欄	nuã2	
樹	tsʰiu5	
校	iau6	
樣	ŋiõ1	
核	et8	~对
核	hut8	果核
根	kin1	
格	kɛ5	
栽	tsai1	
桂	kui5	
桃	tʰo2	
框	kʰioŋ1	
桌	to2	
桐	tʰaŋ2	
橋	kio2	
桶	tʰaŋ3	
梁	liaŋ2	
梅	bue2	
夢	baŋ5	
梨	lai2	
梯	tʰui1	
檢	kiam3	
棉	mĩ2	
棋	kʰi2	
棍	kun5	
棕	tsaŋ1	
棚	pʰoŋ2	
棺	kuã1	
植	tsit8	~物
樓	lau2	
槌	tʰui2	
槐	huai2	
檳	pin1	
槽	tso2	
樟	tsiaŋ1	
橫	huɛ̃2	~直
樵	tsʰa2	柴
欠	kʰim5	
歡	huã1	~喜
欣	him1	
欺	kʰi1	
款	kʰuan3	
歇	hie2	
歌	ko1	文读
歌	kua1	白读
止	tsi3	
正	tsin1	~月
正	tsin5	~式
正	tsiã5	四~
步	pɔ1	
武	bu3	
死	si3	
殘	tsʰan2	
殕	pʰu3	食上生白毛
殯	pin5	
段	tuan6	
殷	in1	
殼	kʰak7	
殿	ten6	
毋	m̩2	不
母	bo3	
毒	tok8	
比	pi3	
畢	pit7	
毛	bo1	
毡	tsen1	
毫	hau2	
毯	tʰan3	
氏	si6	
民	bin2	
气	kʰi5	文读
气	kʰui5	白读
水	sui3	文读
水	tsui3	白读
永	in3	
汁	tsiap7	
求	kʰiu2	
汇	hue6	
漢	han5	
汗	han6	文读
汗	kuã1	白读
汝	li3	你
江	kaŋ1	
池	ti2	
湯	tʰŋ̍1	
沃	ak7	
沈	sim3	
沉	tʰim2	
沙	sua1	
溝	kau1	
河	ho2	
油	ɡiu2	
治	ti6	
沿	ɡen2	
泅	siu2	
泉	tsuan2	
法	huat7	
泡	pʰa5	
波	pʰo1	
注	tsu5	
泰	tʰai5	
瀉	sia5	
潑	pʰua2	
澤	tit8	
潔	ket7	
洋	ŋiõ2	
洗	sie3	
洞	toŋ6	
津	tsin1	
洪	aŋ2	姓
洲	tsiu1	
活	huat8	文读，~动
活	ɡua6	白读
派	pʰai5	
流	lau2	
淺	tsʰen3	
漿	tsiõ3	
濁	tsok8	
測	tsʰit7	
渾	ɡun2	
濃	loŋ2	
浙	tset7	~江
浩	hau6	
浪	laŋ6	
浮	pʰu2	
浴	ɡiok8	
海	hai3	
浸	tsim5	
消	siau1	
涉	siap8	
濤	tʰo2	
濤	tʰau2	
澀	sip7	
淋	lim2	
淮	huai2	
深	tsʰim1	
混	hun6	
添	tʰiam1	文读，增~
添	tʰĩ1	白读
淸	tsʰin1	
滲	sim5	
渡	tɔ6	
溫	un1	
港	kaŋ2	
游	ɡiu2	
湊	tsʰau5	
湖	hɔ2	
湘	siaŋ1	
灣	uan1	
源	ɡuan2	
準	tsun3	
溪	kʰie1	
滑	kut8	
滾	kun3	
滿	muã3	
灘	tʰuã1	
漆	tsʰat7	
漏	lau5	
演	ɡen3	
漳	tsiaŋ1	
潭	tʰam2	
潮	tio2	
灌	kuan5	
火	hue3	
滅	bet8	
燈	tin1	
灰	hue1	
靈	lin2	
竈	tsau5	
灸	ku5	针~
災	tsai1	
爐	lɔ2	
炊	tsʰue1	
炒	tsʰa3	
炭	tʰuã5	
炮	pʰau5	
點	tiam3	
爛	nuã1	
烊	ŋiõ2	
烘	haŋ1	
燭	tsiok7	
煩	huan2	
燒	sio1	
熱	ɡet7	
煥	huan5	
焙	pue1	烘烤
煉	len6	
煎	tsen1	
煤	bue2	
照	tsiau5	
煮	tsi3	
熄	sit7	
熊	him2	
熏	hun1	
煕	hi1	
熟	siok8	
爬	pe2	
愛	ai5	
爵	tsiak7	
父	hu6	
爺	ia2	
爹	tia1	
爿	pan2	
片	pʰen5	文读，~面
片	pʰĩ5	白读
版	pan3	
牌	pai2	
牙	ɡe2	
牛	ɡu2	
牢	lau2	
牧	bok8	
物	but8	
牽	kʰan1	
特	tʰet8	
犁	lie2	
犯	huan6	
狀	tsuaŋ6	
狂	kʰuaŋ2	
狐	hɔ2	
狗	kau3	
狡	kiau3	
獨	tok8	
獅	sai1	白读
狸	li2	
狼	laŋ2	
猜	tsʰai1	
豬	ti1	
貓	liau1	
獻	hen5	
猴	kau2	
猾	kut8	
率	lut8	效~
玉	ɡiok8	
王	oŋ2	
環	huan2	
現	hen5	
珍	tin1	
班	pan1	
球	kʰiu2	
理	li3	
琴	kʰim2	
琶	pe2	
瓜	kuɛ1	~分
瓜	kua1	西~
瓤	lŋ̍1	
瓦	ɡuɛ6	
甁	pan2	
甕	aŋ5	
甘	kam1	
甜	tiam2	
生	sin1	~产
生	sɛ̃1	白读
甥	sin1	
用	ɡioŋ6	
由	ɡiu2	
甲	ka2	1
甲	ka5	2
電	ten6	
男	lam2	
畫	ɡuɛ1	动词
暢	tsʰaŋ5	
界	kai5	
畏	ɡui5	
留	liu2	
畜	tʰiok7	~牧
略	liak8	
番	huan1	
疆	kiaŋ1	
瘍	hiaŋ2	
疤	pa1	
瘡	tsʰŋ̍1	
病	pɛ̃1	
症	tsin5	
痒	tsiõ6	
痔	ti6	~疮
痕	hun2	
痢	li6	
痰	tʰam2	
癬	sen3	
登	tin1	
白	pɛ6	
百	pɛ5	
的	tit7	
皮	pʰue2	
皺	tsiu5	
盂	ɔ2	
盅	tsioŋ1	
盆	pʰun2	
益	it7	
鹽	iam2	
監	kam1	~视
監	kam5	太~
盒	ap8	
盔	kʰue1	
盖	kai5	
盜	tau6	
盤	puã2	
盛	sin2	
盟	bin2	
盪	tŋ̍6	
目	bok8	
直	tit8	
相	siaŋ1	互~
盾	tun3	
省	sɛ̃3	~长;节~
看	kʰuã5	
眞	tsin1	
眼	ɡan3	
睏	kʰun5	
督	tok7	
瞞	muã2	
矩	ki6	
短	tuan3	
矮	ie3	
石	tsio6	
礦	kʰoŋ5	
碼	be3	
磚	tsuĩ1	
硯	hĩ2	
砧	tiam1	
破	pʰo5	文读
破	pʰua5	白读
硝	siau1	
硫	liu2	
硬	ŋɛ̃1	
碎	tsʰui5	
碓	tui5	
碗	uã3	
確	kʰak7	
磨	bua2	
礙	ɡai6	
示	si6	
禮	lie3	
社	sia6	
祀	su6	
祐	ɡiu6	
祖	tsɔ3	
祝	tsiok7	
神	sin2	
祥	siaŋ2	
祭	tsie5	
禁	kim5	~止
祿	lok8	
福	hok7	
离	li2	
禽	kʰim2	
禾	ɡue2	
秀	siu5	
私	su1	文读，自~
秉	pin3	
秋	tsʰiu1	~天
種	tsioŋ3	
種	tsioŋ5	动词
科	kʰo1	
租	tsɔ1	
秤	tsʰin5	
秦	tsʰin2	
秧	hiaŋ1	文读
秧	iõ1	白读
秩	tet8	
積	tsit7	
稱	tsʰin1	~呼
移	i2	
稀	hi1	
程	tʰin2	文读，前~
程	tʰiã2	白读
稅	sue5	
穩	ɡun3	
稿	ko3	
穆	bok8	
究	kiu5	
窮	kʰioŋ2	
空	kʰoŋ5	~缺
空	kʰoŋ1	文读，~洞
空	kʰaŋ1	白读
窯	ɡio2	
窒	tʰat7	塞
窗	tʰaŋ1	
窟	kʰut7	
站	tsam6	
章	tsiaŋ1	文读
章	tsiõ1	白读
童	tʰoŋ2	
端	tuan1	
竹	tiok7	
竿	kuã1	
篤	tok7	
笑	tsʰio5	
筆	pit7	
筧	kan3	
笛	tat8	
笠	lie6	
符	hu2	
笨	pun6	
等	tan3	
等	tin3	文读，平~
筋	kin1	
筑	tiok8	
答	tap7	
策	tsʰit7	
篩	tʰai1	米~:筛子
籌	tʰiu2	
签	tsʰiam1	
簡	kan3	
算	suĩ5	
管	kuan3	
籮	lua2	
箬	hio6	叶子
箭	tsĩ5	
箱	siõ1	
箸	ti1	筷子
篇	pʰĩ1	
篙	ko1	
籃	nã2	~球
籬	li2	
篾	bi6	
簪	tsam1	
簸	pua3	
簾	liam2	
米	bi3	
粉	hun3	
粒	liap8	
粗	tsʰɔ1	
粟	siok7	文读
粟	tsʰiok7	白读，稻实
糞	pun5	
糧	niõ2	
糉	tsaŋ5	~子
精	tsin1	
糕	ko1	
糟	tsau1	
糠	kʰŋ̍1	
糯	lo6	
系	hie6	
素	sɔ5	
索	so2	
緊	kin3	
繁	huan2	
紅	hoŋ2	文读
紅	aŋ2	白读
約	ɡiak7	文读
約	ɡio2	白读，猜
級	kʰip7	
紀	ki6	
純	sun2	
紗	se1	
綱	kaŋ1	
納	lap8	
紛	hun1	
紙	tsua3	
紐	liu3	
線	suã5	
練	len6	
組	tsɔ3	
細	sie5	
織	tsit7	
終	tsioŋ1	
經	kin1	
絨	ɡioŋ2	
結	ket7	
絡	lok8	
絕	tsuat8	
絞	ka3	
統	tʰoŋ3	
繡	siu5	
繼	kie5	
績	tsit7	
續	siok8	
綿	mĩ2	
綢	tʰiu2	
綠	liok7	
緝	tsʰip7	
緞	tuan6	
緣	ɡen2	文读
縛	pak8	
縫	hoŋ2	裁~
縫	pʰaŋ5	裂缝
纏	tĩ2	
縮	siok7	
繳	kiau3	
缸	kŋ̍1	
缺	kʰuat7	
罐	kuan5	
罕	han3	
罰	huat8	
罪	tsue6	
置	ti5	
署	si3	
羊	ŋiõ2	
羣	kʰun2	
翁	oŋ1	
翠	tsʰui5	
翻	huan1	
翼	sit8	
老	lau6	
考	kʰo3	
者	tsia3	
者	tse3	
耕	kin1	
耙	pe2	
耳	hi6	
恥	tʰi3	
耽	tam1	
聊	liau2	
聾	laŋ1	
職	tsit7	
聯	len2	
肅	siok7	
肚	tɔ6	腹~
肚	tɔ3	鱼~
肝	kuã1	
腸	tŋ̍2	
股	kɔ3	
肢	ki1	
膚	hu1	
肥	pui2	
肩	kan1	
肯	kʰin3	
育	ɡiok8	
肺	hui5	
腎	sin6	
腫	tsioŋ3	
脹	tiõ5	
胃	ɡui6	
膽	tã3	
胎	tʰai1	
胛	ka2	肩~
胞	pau1	
胡	hɔ2	
胸	hioŋ1	
脆	tsʰui5	
脉	mɛ̃6	
脊	tsia2	
膿	loŋ2	
脫	tʰut7	
腐	hu1	豆~
腔	kʰiaŋ1	
腱	ken6	
騰	tʰin2	
腿	tʰui3	
膏	ko1	
膚	hu1	
臊	tsʰo1	骚
臣	sin2	
自	tsu2	~由
臭	tsʰiau5	
舂	tsioŋ1	
舅	ku6	
舌	tsi6	
舍	sia5	
舜	sun5	
舞	bu3	
舟	tsiu1	
航	haŋ2	
舷	kĩ2	
船	tsun2	
良	liaŋ2	
艱	kan1	
色	sit7	
節	tset7	文读
節	tsie2	白读，过~
芒	baŋ2	
芙	hu2	
芥	kai5	文读，荆~:药名
芥	kua5	白读，~莱
芬	hun1	
花	uɛ1	
芳	huaŋ1	文读
芳	pʰaŋ1	白读
芹	kʰin2	
芽	ɡe2	
苏	sɔ1	
苗	biau2	
苦	kʰɔ3	
英	in1	
茂	bau6	
范	huan6	
茄	kio2	
茶	te2	
茸	ɡioŋ2	
草	tsʰau3	
