#漢字	音標	解釋#('wxa_mg_ylqp', '沅陵棋坪話', '沅陵棋坪', '#8B0000', None, None, '來源：楊蔚.湘西鄉話語音研究[M].廣東人民出版社,2010<br>轉錄者：跳跳老鼠', '44 1 1a 陰平 ꜀,23 2 1b 陽平 ꜁,35 3 2 上 ꜂,,55 5 3 去 ꜄,,53 7 4 入 ꜆', None, None)
吞	tʰwa1	
吠	fi5	
听	tʰoŋ1	
吵	tsʰaw3	
吹	tsʰu1	
吼	xəɰ7	
吾	vu3	
告	kəw5	
嘔	ʔa3	
味	vej3	～道
味	mi3	有～
命	moŋ5	
和	u5	
咬	ȵjo7	人～、狗～
咬	za7	人～骨头
咸	dʑjɛ2	
哄	xaw3	
響	ɕĩ3	
啞	o3	
哥	ku1	
唱	tsʰẽ5	
啄	tsʰwa2	
啼	ljɛ2	
喂	y5	
喉	ʔa2	
喜	kʰəɰ5	
噴	pʰaj1	
嘴	tɕy3	
嚼	tɕʰjaw3	
四	ɕi5	
囥	tɕʰjo5	藏
圍	y2	
圈	tɕʰɥɛ1	
土	tʰəw3	
在	tsʰəw3	
地	tʰe5	
場	dĩ2	
坎	kʰẽ1	
壞	xwa3	
坐	tɕjɛ5	
坑	kʰoŋ1	
塊	kʰwa5	
壩	po5	
墳	faj2	
坡	bu7	
坪	foŋ2	
墊	tʰaj5	
埋	bə1	
城	tsɿ2	
堂	tʰoŋ1	
堆	twa1	
堤	di2	
塌	tʰo2	
塔	tʰa2	
塘	doŋ1	
塞	sə7	
填	taj2	
牆	dʑĩ2	
墨	məɰ7	
墩	twaj1	
壁	pjɛ7	
聲	sɿ1	
殼	kʰaw7	
壺	vu2	
多	ti1	
夜	zo5	
够	ka5	
大	lu5	
天	tʰaj1	
頭	ta2	
夾	ko7	
契	tɕʰi5	
套	tʰəw5	
女	ȵjəw3	
好	ɦaw3	
婦	pʰa5	
姓	ɕjɛ5	
姜	tɕĩ1	
娘	ȵĩ2	
娶	tsʰa3	
婚	xwaj1	
媒	maŋ1	
媳	ɕi5	
嫁	ko5	
嫂	tsʰaw3	
嫩	lwaj5	
子	tsa3	
字	dza5	
孫	swaj1	
學	ʔəw2	
守	tɕjəw3	
安	õ1	
宋	səw5	
完	ɥɛ1	
官	kẽ1	
定	doŋ5	
宜	ȵi1	
寶	paw3	
客	kʰo7	
害	a3	
家	ko1	
寄	tɕi3	
寡	kwa3	
對	twa5	
尋	lu3	
封	fəw1	
射	dzo2	
少	tsaw3	多～
尖	tsaj1	
尘	ti1	
尚	tsʰẽ3	和～
就	tɕjəw5	
尺	tsʰo7	
尾	maj3	
尿	ȵjaw5	
屁	pʰi5	
層	dzan2	
屉	tʰi5	
屎	sɿ3	
屠	dəw2	
履	li3	
山	saj1	
歲	tswa5	
岩	ŋa1	
崩	pan1	
州	tsa1	
工	kəw1	
巫	vu1	
差	tsʰo1	
巴	po1	
布	pu5	
師	sa1	
帳	tĩ5	
帕	pʰo5	
帚	tsu3	
帶	ta5	
席	ɕi2	
幫	pan1	
帽	məw5	
干	kʰẽ1	
平	foŋ2	
年	laj1	
牀	dzẽ2	
底	ta3	
廟	mjaw5	
座	tɕjɛ5	
開	kʰa1	
弄	ləw5	
張	tĩ1	
彎	õ1	
彈	dẽ2	～琴
强	dʑĩ2	
影	jɛ5	
徒	dəw2	
得	təɰ7	
徛	dza5	
心	ɕjɛ1	
忘	mẽ5	
忙	man5	
快	kʰwa5	
急	kəɰ7	
怪	kwa5	
惱	law3	
惜	ɕjɛ1	
想	ɕĩ3	
惹	zo3	
慌	xẽ1	
慢	moŋ5	
懶	dzẽ3	
戲	ɕi5	
成	dzɿ2	
戒	ka5	
戚	tɕʰi7	
戳	tja7	
戴	tə5	
房	vẽ2	
扁	pi3	
扇	saj1	
手	səɰ3	
才	dzaj2	
扣	kʰa5	
掃	saw3	
掃	saw5	
揚	zẽ2	
扮	poŋ5	
把	po3	～守
摳	kʰa1	
搶	tɕʰĩ3	
報	paw5	
披	pʰa1	
抬	ta2	
抱	baw3	
抹	mo7	
押	o7	
抽	tʰja1	
擔	toŋ5	～子
拆	tsʰa7	
拍	pʰo7	
拖	tʰi1	
拖	tʰjɛ1	
拜	pa5	
攏	laj3	
攔	lẽ1	
拾	tsʰɿ1	
挂	kwa5	
指	tsɿ5	
按	ŋẽ5	
挖	wa7	
挾	ko7	～菜
捉	tswa7	
捏	ȵja1	
撈	ləw1	
捱	ŋa1	～打
捲	tɕɥɛ3	
捷	tɕʰjɛ3	
掀	ɕɥɛ1	
掉	ljəw3	
掐	kʰo5	
排	ba2	
接	tɕi7	
推	tʰwa1	
提	di2	
插	tsʰo7	
握	u2	
揭	tɕi7	
搓	tsʰu1	
搜	sa1	
搞	kaw3	
搬	pẽ1	
搭	to7	
摆	pa3	
摇	zaw2	
攤	tʰẽ1	
摘	tjɛ7	
摸	məw1	
撑	tsʰoŋ1	
撒	su7	
撞	tsʰẽ3	
撤	tsʰa7	
擦	tsʰo7	
攀	pʰoŋ1	
收	sa1	
改	ka3	
放	fẽ5	
救	kəɰ5	
教	kaw1	～书
散	sẽ3	
數	sa3	
數	sa5	名
敲	kʰaw1	
文	vẽ2	
斋	tsa1	
斗	ta3	
斜	dʑjo2	
斤	tɕjɛ1	
斧	fu3	
斷	tʰẽ3	
新	ɕjɛ1	
方	fẽ1	
旗	dʑi2	
日	ŋẽ7	
舊	ku5	
早	tsaw3	
旱	ŋẽ3	
時	sɿ2	
明	moŋ2	
星	ɕi1	
春	tsʰwaj1	
是	tsʰe3	
曬	sa5	
曉	ɕjaw3	
暗	ŋẽ5	
更	kẽ1	五～
替	tʰi5	
月	ȵɥɛ7	
有	va3	
朋	baw2	
服	fu7	
朝	tjaw1	今～
木	ŋ̍7	
本	paj3	
殺	sa7	
杉	so1	
李	li3	
杏	xẽ3	
村	tsʰwaj1	
杠	kẽ5	
條	djaw2	
來	zə2	
松	səw1	～开
松	dʑjaw2	～树
板	pẽ3	
枇	bi2	
枕	tsɛj3	
林	ləw2	
枝	tsəw1	
棗	tsaw3	
楓	fəw1	
架	ko5	
柄	poŋ5	
柑	koŋ1	
染	ȵjɛ5	
櫃	kwej3	
查	dzo2	調～
柱	tʰja3	
柳	lja3	
欄	lẽ2	
樹	tsa5	
株	ta1	
樣	zẽ5	
格	kə2	
栽	tsa1	
桃	law2	
桐	dəw2	
桑	sẽ1	
橋	dʑjaw2	
桶	tʰəw1	
夢	maŋ5	
梨	za2	
梭	so1	织布～
梯	tʰa1	
梳	sə1	～头
棉	mi1	
棋	dʑi2	
棍	kwaj5	
棒	paŋ3	
棚	baw2	
森	saj1	
椅	i3	
椿	tsʰwaj1	
楔	ɕi7	
樓	la1	
槌	tɥi2	
槽	tsaw2	
模	mə1	
橫	uɛj2	
檀	doŋ2	
歡	xẽ1	
歌	ku1	
正	tsɿ1	～月
正	tsɿ5	
武	vu3	
死	ɕi3	
殿	tʰaj3	
毒	tu2	
比	pi3	～较
毛	mo1	
气	tɕʰi5	
水	tsu3	
求	tɕja2	
汗	ŋẽ3	
池	di2	
汽	tɕʰi5	
沉	daj2	
沓	tʰo3	一～纸
沙	so1	
溝	ka1	
漚	ʔa5	
油	za1	
泅	dʑja2	
泉	tswaj1	
法	fa2	方～
泡	pʰəw5	～在水里
泥	ȵjɛ1	
潑	pʰəw7	
洋	zẽ2	
洞	dəw3	
洪	ɣəw2	
活	xu2	
派	pʰa3	
流	dʑjəw2	
漿	tɕĩ1	
澆	tɕjaw1	
濃	ȵjaw1	
浪	lẽ5	
浮	fə2	
海	xa7	
潤	ȵɥɛ5	
漲	tĩ3	
澀	tɕjo7	
涮	sẽ5	
淋	dzəɰ7	
淘	daw2	～米
淡	dẽ3	
深	sɛj1	
淹	an1	
添	tʰɛj1	
清	tɕʰi1	
渣	tso1	
溫	waj1	
渴	kʰu7	
湖	u2	
灣	õ1	
溼	dʑi2	
濺	tso5	
溪	kʰa1	
滓	tso1	
滾	kwaj3	
滿	mẽ3	
灘	tʰẽ1	
滴	ti5	
漂	pʰjaw1	～白
漏	za5	
潭	doŋ2	
潲	saw5	猪食
澄	daj5	
澡	tsaw3	
火	fa3	
燈	tan1	
灰	xe1	
灸	tɕja3	
災	tsa1	
爐	lu1	
炒	tsʰaw3	
炙	tso7	
炭	tʰẽ5	
炮	pʰaw5	
炸	tso5	
點	taj3	
烘	ɦəw1	～干
燭	tɕjəw7	
烟	ɥɛ1	
燒	saw1	
熱	dzəw7	
焙	pej5	
焦	tɕjaw1	
焰	zɿ5	
煤	mej1	
照	tsəw5	
煮	tsəw3	
熟	tɕʰjəw1	
熥	tʰəw1	
熬	ŋaw1	
燃	ȵi1	
爪	tsaw3	
爹	ti1	
牌	pa2	
牙	ŋo1	
牛	ŋəɰ1	
牢	law1	
牲	soŋ1	
牽	tɕʰjɛ1	
犁	li1	
犬	kʰwaj7	
狀	tsʰẽ1	
狹	o2	
獅	sa1	
猜	tsʰa1	
豬	tjəw1	
貓	maw1	
獺	tʰo7	水～
王	ŋẽ2	
珠	tsu1	
班	poŋ1	
球	dʑja2	
理	ljəɰ3	
瓣	pʰəw5	
瓦	wa3	
瓮	ʔəw5	
瓷	dzɿ2	
甘	kẽ1	
甜	laj2	
生	soŋ1	
甥	swaj1	
田	laj2	
男	nẽ1	
界	ko5	
留	tɕjəw1	
疔	toŋ1	
瘡	tsʰẽ1	
疿	fej5	
病	foŋ5	
痒	dzẽ3	
痔	tsɿ5	
痛	səw5	
痢	li5	
痣	tsɿ5	
痰	dẽ2	
瘌	la1	
瘦	ɕjəw5	
瘸	dʑjo2	
癩	la5	
白	pʰo1	
百	po7	
皮	fa2	
盆	paj2	
盞	tsaj3	
鹽	zɛj2	
盒	xo2	
盖	kwa5	
盜	tʰaw7	强～
盜	dəw5	～东西
盤	pẽ2	
直	tʰjəw1	
眉	mi1	
真	tsaj1	
眼	ŋaj3	
着	tu7	～衣
着	tʰu1	睡～
着	tʰu1	被
着	tʰo1	打～了
睡	tɕʰy5	
瞒	mẽ1	
瞿	kə2	
矮	a3	
石	tsʰo1	姓～
砌	tɕʰi5	
磚	tswaj1	
破	pʰə5	
硬	ŋõ3	
确	kʰo2	
碎	swa5	
碑	pej1	
碗	ŋẽ1	
碾	laj3	
磉	sẽ3	柱下石
磨	mə1	
禮	ljəw3	
票	pʰjaw1	车～
禍	u3	
福	fu7	
禿	tʰəw1	
秋	tɕʰja1	～天
秤	tsʰan5	
秧	ĩ1	
稱	tsʰan1	
稅	su5	
稗	pa5	
穩	waj3	
穗	zu3	
空	kʰəw1	～虚
空	kʰəw1	～缺
窑	zəw2	
窗	tsʰẽ1	
窠	kʰu1	
豎	dza5	
竹	tɕjəw7	
竿	kẽ1	
笋	swaj3	
笑	səw5	
笔	pa7	
笛	ti2	
籠	ləw5	
等	tan3	
筋	tɕjɛ1	
筏	ba2	
筒	daw2	
答	to7	
篩	sa1	
篩	so1	
箏	tsaj1	
筷	kʰwa5	
签	tsʰaj1	
箅	bi2	
箍	ku1	
算	sẽ5	
籮	lu1	
箭	tsaj5	
箱	ɕĩ1	
箸	tjəw5	筷子
簍	daj5	
籃	loŋ1	
篷	bəw2	
篾	mi1	
簟	laj3	
簪	tsoŋ5	
簸	pə3	
米	mi3	
粉	faj3	
粗	tsʰəɰ1	
糧	lĩ1	
精	tɕi1	
糖	lẽ2	
緊	tɕjɛ3	
紫	tsa3	
累	la3	
紅	ɣaw2	
納	ləɰ7	
紙	tsəw3	
紡	fẽ3	
線	zo3	
細	ɕi5	
織	tɕjəw7	
絆	pʰoŋ5	
綁	paŋ3	
絞	tɕjaw3	
綢	dja2	
綠	lja7	
縫	baw2	～衣服
縫	vəw5	一条～
缺	tɕʰy7	
网	vẽ3	
罰	fo2	
罩	tsəw5	
罪	dzwa3	
羊	zẽ2	
翅	tsɿ3	
老	law3	
耙	po5	
耳	ȵjaŋ3	
耽	toŋ1	
聾	tsəw5	
聒	kʰwa7	～耳朵
聰	tsʰəw1	
肉	ȵjəw7	
肚	tej3	
肝	kẽ1	
腸	lĩ2	
肤	fa2	
肥	fi2	
肩	tɕjɛ1	
肯	kʰan3	
肺	fi5	
脹	tĩ5	
膽	tẽ3	
背	ba2	
背	pʰa3	
胎	tʰa1	
胞	paw1	
脆	tɕʰɥɛ5	
脉	mə7	
臍	dʑɥɛ2	
腦	law3	
腳	ku7	
脫	tʰu7	
脾	fa1	
臘	lo7	
腌	jɛ1	
腐	fəw3	
腔	tɕʰĩ1	
腥	ɕi1	
膩	ȵi5	
腿	tʰwa3	
膏	kaw5	
臊	saw1	
自	tɕʰi1	
臭	tsʰəw5	
舂	tsaw1	
舅	ko3	
舌	dzəw1	
舍	so3	
舐	dze3	以舌取物
舵	du2	
船	dzwaj2	
芋	vu5	
蘆	lu1	
莧	ŋẽ5	
苦	kʰu3	
茄	dʑɥɛ2	
茅	maw1	
繭	tɕi3	
草	tsʰaw3	
荒	xẽ1	
蕎	dʑjaw2	
葷	xuɛ1	
藥	zu1	
莫	mo7	
菌	tɕʰɥɛ3	
菜	tsʰə5	
菢	pʰaw3	
菩	bu2	
葛	ku7	
葱	tsʰəw1	
蒜	sẽ5	
蒸	tsan1	
蓑	su1	
蓖	bi5	
藍	loŋ1	
薄	bəw2	
薅	ɦaw1	
薪	ɕjɛ1	
藕	ŋəɰ7	
藤	dzẽ2	
蘸	ta1	～醋
蟲	ljaw2	
蝦	xo1	
蚊	məw7	
蛆	tɕʰjəɰ1	～虫
蛛	tjəw1	
蜂	fəw1	
蛻	tʰu7	
蛻	lu5	
蠟	lo7	
螃	pẽ2	
融	zaw2	
蟹	ko3	
血	ɕy7	
街	ka1	
衣	i1	
補	pu3	
襯	tsʰoŋ5	
袍	baw2	
袖	dʑjəw5	
袜	va5	
被	fa5	～子
裁	dzə2	
裂	dza2	
裝	tsẽ1	
裌	ko7	
裙	dʑɥɛ2	
襻	pʰoŋ5	
西	ɕi1	
覺	kaw5	睡～
角	ku7	
解	ka3	～开
認	ȵjɛ5	
討	la5	～饭
讓	ȵĩ5	
講	kan3	
許	ɕy3	
診	tsaj3	
該	ka1	
請	tɕʰi3	
讀	ləw2	
調	djaw5	～换
謊	xẽ3	
讒	dza2	
謎	mi3	
谷	ku7	
豆	da5	
豌	õ1	～豆
象	dʑĩ3	
豹	pəw5	
財	tsa2	
敗	pʰa1	
賬	tĩ5	
貨	xu5	
貴	tɕy5	
賊	tsʰə5	
賒	so1	
賠	pa2	
賺	tɥɛ5	
贏	zɿ2	
起	kʰəɰ3	
跌	da7	
跟	kaj1	
跪	tɕʰy3	
跳	daw5	
踏	tʰo2	
踢	tʰjɛ7	
蹄	tjɛ2	
蹲	dəw2	
身	saj1	
車	tsʰo1	～马
軋	o7	
輕	tɕʰi1	
轎	tɕʰjaw3	
輸	su1	
辣	lo7	
辮	pʰjɛ3	
過	ku5	
近	tɕʰjɛ3	
還	a2	
遠	vaj3	
遲	li2	
迷	mi1	
退	tʰwa5	
送	səw5	
透	tʰa5	
逐	dzəw7	
遞	te5	
通	tʰəw1	
逼	pi7	
遍	pjɛ5	
道	tʰaw3	
遮	tso1	
酉	za3	
酒	tɕja3	
醬	tɕĩ5	
酸	dʑjəw2	
醉	tɕy5	
醒	ɕi3	
里	la3	市～
里	ljəɰ3	市～；～面
重	tʰjaw3	輕～
野	zo3	
金	tɕjɛ1	
针	tsɛj1	
釘	toŋ1	
钟	tsəw1	
鋼	kẽ1	
鑰	zu7	
鉤	ka1	
錢	tsaj1	
鉗	dʑi2	
鉢	pəw7	
鑽	tsẽ5	
鐵	tʰa7	
鈴	loŋ1	
銅	dəw2	
鍘	tsa2	
鉸	kaw5	
铲	tsʰaj3	
銃	tsʰəw5	
銀	ȵjɛ1	
鋪	pʰu5	
鎖	su3	
鏽	ɕjəw5	
錯	tsʰu5	
錫	ɕjɛ7	
鑼	lu1	
錘	ty2	
錐	tɕy1	
鋸	kəɰ5	名
鋸	ka5	动
鏡	tɕjɛ5	
鐲	tsʰu1	
镰	ljɛ1	
鑲	ɕĩ1	
長	tĩ3	生～
長	dĩ2	～短
門	maj1	
閂	soŋ1	
閃	saj3	
閉	pi5	
問	mɛj5	
閏	zwaj5	
鬧	law5	
鬮	ka1	
闡	tso7	
闊	kʰu7	
隊	twa5	
陳	djɛ2	
陡	ta3	
院	ɥɛ5	
隔	ko7	
難	lẽ1	～易
雀	tsəw7	
雄	ɕjaw2	
雨	va3	
零	loŋ1	
霜	sẽ1	
露	ləɰ5	
青	tɕʰi1	
靠	kʰəw5	
面	mjɛ5	
面	mi5	
鞭	pi1	
韭	tɕja3	
頁	jɛ7	
順	zwaj5	
領	li3	
額	o7	
顛	taj1	
風	fəw1	
飛	fi1	
食	ʑjəɰ2	
飺	dʑi2	
飯	moŋ2	
飲	an3	
餌	ȵjaŋ5	
餉	sẽ3	
餓	ŋəɰ5	
餿	sa1	
香	tɕʰĩ1	
馬	mo3	
馳	tʰwa1	
驢	lu1	
駭	xo7	
騎	tɕjɛ2	
骨	kwa7	
髓	ɕy3	
高	kaw5	
鬼	tɕy3	
魂	waj2	
魚	ȵjəw1	
鮎	ȵjo1	
鮮	ɕjɛ1	
鯉	li3	
鰓	xo1	
鱖	tɕy5	
鵝	ŋu1	
雞	ka1	
鴨	u7	
鴿	ko2	
鵲	tɕʰjo2	
麥	mo7	
麩	fə1	
麴	kʰəɰ7	
麻	mo1	
黃	ŋẽ2	
黑	kʰə7	
黢	tɕʰy3	
鼓	ku3	
鼠	su5	
鼾	xan1	
齊	dʑjɛ2	
龍	ljaw1	
龜	kwej1	
