#漢字	音標	解釋
㞎	pɒ3	～～：屎，或泛指骯髒之物
巴	pɒ1	
巷	xoŋ6	
巾	tɕin1	
市	ʂʅ5	
市	ʂʅ5	(文)
市	ʂʅ6	(白)
布	pu5	
帆	ɸã1	
希	ɕi1	
帖	tʰɛ7	
帚	tʂəu3	
帛	pa7	
帝	ti5	
帥	sai5	
師	ʂʅ1	
席	si7	
帳	tʂoŋ5	
帶	tai5	
常	ʂoŋ2	
帽	mɑu5	(文)
帽	mɑu6	(白)
幅	ɸu7	
幔	mã5	
幕	mo5	
幣	pi5	(文)
幣	pei5	(白)
幫	poŋ1	
干	kã1	
平	pin2	
年	ȵiɪ̃2	
幸	ɕin5	
幺	iɑu1	
幻	xø̃5	
幼	iəu5	
幽	iəu1	
幾	tɕi1	～乎
幾	tɕi3	～個
庇	pi3	
牀	tsoŋ2	
序	ɕi5	
底	ti3	
店	tiɪ̃5	
庚	kiɪ̃1	
府	ɸu3	
度	təu5	
座	to6	(白)～子：某些器物的下半截
座	tso6	
庫	kʰu5	
庭	tin2	
庵	ŋø̃1	
庶	ɕy5	
康	kʰoŋ1	
庸	iəŋ2	
廁	tsa7	
廂	sioŋ1	
廈	ɕiɒ3	
廉	liɪ̃2	
廊	loŋ2	
廓	kʰo7	
廖	liɑu5	
廚	tɕy2	
廝	sɿ1	
廟	miɑu5	(文)
廟	miɑu6	(白)
廠	tʂʰoŋ3	
廢	ɸei5	
廣	koŋ3	
廩	lin3	
廬	ləu2	
廳	tʰin1	(文)
廳	tʰiɑŋ1	(白)～屋
延	iɪ̃2	
廷	tin2	
建	tɕiɪ̃5	
弄	ləŋ5	
弊	pi5	
式	ʂʅ5	
弓	kəŋ1	
引	in3	
弘	xen2	
弟	ti5	(文)
弟	ti6	(白)
弦	ɕiɪ̃2	
弱	ȵio7	
張	tʂoŋ1	
強	tɕioŋ2	
弼	pi7	
彈	tã2	
彈	tã5	(文)
彈	tã6	(白)
彎	uã1	
彗	ɸei5	
彙	ɸei5	(文)
彙	ɸei6	(白)
形	ɕin2	
彩	tsʰai3	
彪	piɑu1	
彬	pin1	
彭	pen2	
影	in3	(文)
影	kiɑŋ3	(白)
彷	xoŋ3	
役	y7	
彼	pʰi3	
彿	ɸu7	彷～
往	oŋ3	
征	tʂen1	
待	tai5	
很	xen3	
律	li7	
後	xɛ6	
徐	ɕy2	
徑	tɕin1	
徒	təu2	
得	ta7	
得	tɛ7	
從	tsʰəŋ1	～容
從	tsəŋ2	跟～
御	y5	
循	sen1	
微	ue2	
徵	tʂen1	
德	ta7	
徹	tʂʰa7	
徽	ɸei1	
心	sin1	
必	pi7	
忌	tɕi5	(文)
忍	in3	
忒	tʰa7	
忖	tsʰen3	
志	tʂʅ5	
忘	oŋ6	
忙	moŋ2	
忠	tʂəŋ1	
快	kʰai5	
念	ȵiɪ̃5	(文)
念	ȵiɪ̃6	(白)
忽	tsʰəŋ1	
忽	ɸu7	
忿	ɸen5	
怎	tsen3	
怒	ləu5	
怕	pʰɒ5	
怖	pu5	
思	sɿ1	
怠	tai5	
急	tɕi7	
性	sin5	
怨	ø̃5	
怪	kai5	
怯	tɕʰiɛ7	
恃	ʂʅ5	
恆	xen2	
恐	kʰəŋ3	
恕	ɕy5	
恤	si7	
恥	tʂʰʅ3	
恨	xen5	
恩	ŋen1	
恭	kəŋ1	
息	si7	
悄	tɕʰiɑu1	
悅	ya7	
悉	si7	
悔	ɸei3	
悟	u5	
悠	iəu1	
患	xø̃5	
悲	pei1	
悴	tsʰei5	
悶	men5	
情	tsin2	
惑	xo6	
惜	si7	
惟	ue2	
惠	ɸei5	
惡	o7	
惱	lɑu3	
想	sioŋ3	
惹	ȵiɒ3	
愁	tsɛ2	
愈	y5	
愉	y2	
意	i5	
愚	y2	
愛	ŋai5	
感	kã3	
愧	kʰue5	
慈	tsɿ2	
態	tʰai5	
慌	xoŋ1	
慎	ʂen5	
慕	mo5	
慘	tsʰã3	
慚	tsã2	
慢	mã6	
慧	ɸei5	
慨	kʰai5	
慪	ŋɛ5	恨：～噠你(恨你)
慫	səŋ3	
慰	ue5	
慶	tɕʰin5	
慷	kʰoŋ1	
憂	iəu1	
憋	pi5	
憎	tsen1	
憑	pin2	
憠	tɕya7	
憤	ɸen5	
憫	min3	
憲	ɕiɪ̃5	
憶	i5	
懂	təŋ3	
懇	kʰiɪ̃3	
懈	xai5	
應	in5	
懊	ŋɑu5	
懲	tʂen1	
懵	məŋ3	
懶	lã3	
懷	ɸai2	
懸	ʂø̃2	
懼	tɕy5	
戈	ko1	
戊	məu3	
戌	si7	
戌	ɕi7	
成	tʂen2	
我	ŋo3	
戒	kai5	
或	xo6	
戚	tɕʰi7	
戟	tɕi7	
截	tsʰɛ7	
戰	tʂø̃5	
戲	ɕi5	
戳	tsʰo7	
戶	ɸu5	(文)
戶	ɸu6	(白)
房	xoŋ2	
所	so3	
扁	piɪ̃3	
扇	ʂø̃1	動詞
扇	ʂø̃5	名詞
手	ʂəu3	
才	tsʰai2	
扎	tsɒ6	～掃把：用竹枝扎的掃把
扎	tsɒ7	
扒	pɒ2	～手
打	tɒ3	
扔	in2	
托	tʰo7	
扛	kʰoŋ2	
扭	ȵiəu3	
扮	pã5	
扯	tʂʰɒ3	
扳	pã1	
扶	ɸu2	
批	pʰi1	
扼	ŋa7	
找	tʂɑu3	
承	ʂen2	
技	tɕʰi5	
抄	tsʰɑu1	
把	pɒ3	
抑	i7	
抓	tɕya1	
投	təu2	
抖	tɛ3	
抗	kʰoŋ5	
披	pʰi1	
抱	pɑu6	
抵	ti3	
抹	mɒ7	
抹	mo7	
押	ŋɒ7	
抽	tʂʰəu1	
抿	min3	
拄	tɕy3	
拆	tsʰɒ7	
拇	mo3	
拈	ȵiɪ̃1	
拋	pʰɑu1	
拌	pø̃6	
拍	pʰa7	
拎	lin2	
拐	kai3	
拒	tɕy5	
拓	tʰo7	
拔	pɒ7	
拖	tʰo1	
拘	tɕy1	
招	tʂɑu1	
括	kuɒ7	
拯	ken3	
拱	kəŋ3	
拳	tʂø̃2	
拼	pʰin1	
拿	lɒ1	
持	tʂʅ2	
指	tʂʅ3	
指	tʂʅ7	～甲子
按	ŋã5	
挑	tʰiɑu1	
挖	uɒ1	(文)
挖	uɒ7	(白)
挨	ŋai1	
挪	lɒ2	
振	tʂen5	
挱	sɒ1	(手，樹枝)張開，伸開
挺	tʰin3	
挽	uã3	
挾	kɒ7	
捅	tʰəŋ3	
捉	tso7	
捋	lo5	
捏	ȵiɛ7	
捐	tʂø̃1	
捕	pʰu3	
捧	pʰəŋ3	
捱	ŋai2	
捲	tʂø̃3	
捷	tsʰɛ7	
捺	lɒ7	
掀	ɕiɪ̃1	
掂	tiɪ̃1	
掃	sɑu5	
掇	to7	
授	ʂəu5	
掉	tiɑu5	
掌	tʂoŋ3	
掏	tʰɑu1	
掐	kʰɒ7	
排	pai2	
掘	tɕʰya7	
掛	kuɒ5	
掠	lio7	
採	tsʰai3	
探	tʰã5	
接	tsɛ7	
控	kʰəŋ5	
推	tʰei1	
掩	iɪ̃3	
措	tsʰo5	
掫	tsɛ1	
掬	tɕy7	
揀	kã3	
揉	ɕiəu2	
描	miɑu2	
提	ti2	(文)～問
插	tsʰɒ7	
揖	i7	
揚	ioŋ2	
換	xø̃5	
握	o7	
揩	kʰai1	
揪	tɕiəu2	
揭	tɕiɛ7	
揮	ɸei1	
揹	pei1	～不動
搉	kʰo3	敲擊
搊	tsʰɛ1	～尿：給小孩把尿
損	sen3	
搓	tsʰo1	
搖	iɑu2	
搜	sɛ1	
搞	kɑu3	
搧	ʂø̃1	
搬	pø̃1	
搭	tɒ7	
搲	uɒ3	用瓢、勺等舀東西
搵	uen5	淹沒
搶	tsʰioŋ3	
搽	tsɒ2	
摔	sai1	
摛	tʂʰʅ1	伸：莫～手
摜	kʰuã3	撞；摔
摞	lo5	
摟	lɛ1	
摩	mo2	
摳	kʰɛ1	
摳	kʰəu7	小氣
摸	mo1	
摹	mo2	
摺	tʂa7	
摻	tsã2	
撅	tɕʰyɛ3	
撇	pʰɛ7	
撈	lɑu2	
撐	tsʰɑŋ1	
撒	sɒ7	
撓	iɑu5	
撕	sɿ1	
撚	ȵiɪ̃3	
撞	tsʰoŋ3	
撣	tã3	
撤	tʂʰa7	
撥	po7	
撩	liɑu2	
撫	ɸu3	
撮	tsʰo7	
撼	xã5	
擀	kã3	
擁	iəŋ1	
擂	lei2	
擇	tsʰuɒ5	(白)～菜
擇	tsʰa7	(文)
擊	tɕi7	
擋	toŋ3	
操	tsʰɑu1	
