#漢字	音標	解釋
□	uɑʔ5	⿰咢勿 嘔吐
卡	tɕʰia3	收稅的關~子
卯	mɔ3	
印	in4	
即	tɕiʔ5	
卻	tɕʰiɑʔ5	
卸	ɕi4	
厚	xɤɯ4	
厭	iɪ̃4	
去	tɕʰy4	
參	tsʰæ̃1	
參	sən1	人~
叄	sæ̃1	
又	iɤɯ4	
叉	tsʰa1	
及	tɕiʔ5	
友	iɤɯ3	
反	fæ̃3	
叔	suʔ5	
取	tɕʰy3	
受	sɤɯ4	
叛	pʰʊ̃4	
口	kʰɤɯ3	
古	ku3	
句	tɕy4	
另	lin4	
只	tsɿ3	
只	tsəʔ5	量詞
叫	tɕiɔ4	
叮	tin1	
可	kʰʊ3	
右	iɤɯ4	
司	sɿ1	
吃	tɕʰiʔ5	
各	kɑʔ5	
合	xʊʔ5	
吉	tɕiʔ5	
吊	tiɔ4	
同	tʰuŋ2	
名	min2	
吐	tʰu3	
君	tɕyn1	
吞	tʰən1	
否	fʊ3	
含	xæ̃2	
吱	tsɿ1	
吳	u2	
吵	tsʰɔ3	
吹	tsʰuei1	
吼	xɤɯ3	
吾	u2	
呂	ly3	
呃	əʔ5	飯吃急了打~
呆	tiɛ1	同獃
呈	tsʰən2	
告	kɔ4	
周	tsɤɯ1	
味	uei4	
呵	xʊ1	
呼	xu1	
命	min4	
和	xʊ2	
咒	tsɤɯ4	
咬	ɔ3	
咱	tsæ̃2	
咳	kʰəʔ5	
咳	xɛ1	咳聲嘆氣
咽	iɪ̃4	
哀	ɛ1	
品	pʰin3	
哄	xuŋ3	
哈	xa3	~~(笑聲)
哥	kʊ1	
哭	kʰuʔ5	
哼	xən1	
唆	sʊ1	
唇	tɕʰyn2	同脣
唉	ɛ1	
唱	tsʰɑŋ4	
唾	tʰʊ4	
商	sɑŋ1	
啊	a1	
啋	tɕʰiɛ3	
問	uən4	
啖	tæ̃3	吃
啞	a3	
啞	ia3	
啣	xæ̃2	~在嘴裏
啼	tʰi2	
喂	uei4	
善	ɕiɪ̃4	
喉	xɤɯ2	
喊	xæ̃3	
喘	tsʰʊ̃3	
喚	xʊ̃4	
喜	ɕi3	
喝	xʊʔ5	
喪	sɑŋ1	
喫	tɕʰiʔ5	
單	tæ̃1	
嗉	su4	
嗓	sɑŋ3	
嗣	sɿ4	
嗽	sɤɯ4	
嘔	(ɻ)ɤɯ1	
嘗	tsʰɑŋ2	
嘬	tɕʰyei4	一同喫 全吃完了
嘲	tsʰɔ2	
嘴	tsei3	
器	tɕʰi4	
噴	pʰən1	
嚇	xəʔ5	
嚴	iɪ̃2	
嚷	ɻɑŋ(ɑŋ)3	
嚼	tɕiɑʔ5	
囊	lɑŋ2	
四	sɿ4	
回	xuei2	
因	in1	
囪	tsʰuŋ1	
困	kʰuən4	
圈	tɕʰyɪ̃1	
國	kuʔ5	
圍	uei2	
園	yɪ̃2	
圓	yɪ̃2	
圖	tʰu2	
團	tʰʊ̃2	
土	tʰu3	
在	tɕiɛ4	
地	ti4	
坊	fɑŋ1	
坐	tsʊ4	
坑	kʰən1	
坡	pʰʊ1	
坤	kʰuən1	
垂	tsʰuei2	
垢	kɤɯ4	
垻	pa4	
埋	miɛ2	
城	tsʰən2	
埠	pʰu4	
執	tsəʔ5	
基	tɕi1	
堂	tʰɑŋ2	
堆	tei1	
堰	iɪ̃4	
報	pɔ4	
場	tsʰɑŋ2	
塊	kʰuɛ4	
塋	in2	
塑	su4	
塔	tʰæʔ5	踏
塘	tʰɑŋ2	
塞	səʔ5	
塵	tsʰən2	
墊	tiɪ̃4	
墜	tsuei4	
墨	mʊʔ5	
墳	fən2	
墾	kʰən3	
壁	piʔ5	
壓	æʔ5	
壞	xuɛ4	
壩	pa4	
士	sɿ4	
壯	tsuɑŋ4	
殼	kʰɑʔ5	
壹	iʔ5	
壺	xu2	
壽	sɤɯ4	
夏	ɕia4	
外	uɛ4	
多	tʊ1	
夜	i4	
夠	kɤɯ4	
夢	muŋ4	
大	ta4	
天	tʰiɪ̃1	
太	tʰiɛ4	
夫	fu1	
夯	xɑŋ3	用力把東西舉起來
失	səʔ5	
夾	kæʔ5	
夾	tɕiɑʔ5	
奇	tɕʰi2	
奉	fuŋ4	
奏	tsɤɯ4	
契	tɕʰi4	
奔	pən1	
套	tʰɔ4	
奤	kʰua3	北方人叫~子
奧	ɔ4	
奪	tʊʔ5	
女	ly3	
奴	lʊ2	
奶	liɛ3	
奸	tɕiɑŋ1	
好	xɔ3	
好	xɔ4	
如	lu2	
妃	fei1	
妙	miɔ4	
妝	tsuɑŋ1	
妥	tʰʊ3	
妨	fɑŋ1	
妬	tu4	
妯	tsuʔ5	
妹	mei4	
妻	tɕʰi1	
姊	tɕi3	
始	sɿ3	
姑	ku1	
姓	ɕin4	
委	uei3	
姨	i2	
姪	tsəʔ5	
姻	in1	
威	uei1	
娃	ua2	
娘	liɑŋ2	
娶	tɕʰy3	
娼	tsʰɑŋ1	
婆	pʰʊ2	
婊	piɔ3	
婚	xuən1	
婦	fu4	
婿	ɕy4	
媒	mei2	
媳	ɕiʔ5	
媽	ma1	
嫁	tɕia4	
嫂	sɔ3	
嫌	ɕiɪ̃2	
嫡	tiʔ5	
嫩	lən4	
嬌	tɕiɔ1	
嬴	in2	
嬸	sən3	
子	tsɿ3	
孔	kʰuŋ3	
字	tsɿ4	
存	tsʰən2	
孝	ɕiɔ4	
孟	muŋ4	
孤	ku1	
孩	xɛ2	
孫	sən1	
學	ɕiɑʔ5	
宅	tsəʔ5	
守	sɤɯ3	
安	æ̃1	
宋	suŋ4	
完	ʊ̃2	
宕	tɑŋ4	
宗	tsuŋ1	
官	kʊ̃1	
定	tin4	
宜	i2	
客	kʰəʔ5	
宣	ɕyɪ̃1	
室	səʔ5	
宰	tɕiɛ3	
害	xɛ4	
宴	iɪ̃4	
家	tɕia1	
容	iuŋ2	
宿	suʔ5	
寄	tɕi4	
寅	in2	
密	miʔ5	
富	fu4	
寒	xæ̃2	
寓	y4	
察	tsʰæʔ5	
寡	kua3	
實	səʔ5	
審	sən3	
寫	ɕi3	
寬	kʰʊ̃1	
寵	tsʰuŋ3	
寶	pɔ3	
寸	tsʰən4	
射	səʔ5	~箭 又音謝 意同
將	tɕiɑŋ1	
專	tsʊ̃1	
尊	tsən1	
對	tei4	
小	ɕiɔ3	
少	sɔ3	
少	sɔ4	
尖	tɕiɪ̃1	
尚	sɑŋ4	
就	tɕiɤɯ4	
尸	sɿ1	
尺	tsʰəʔ5	
尻	kʰɔ1	
尾	uei3	
尿	sei1	
局	tɕiuʔ4	
屁	pʰi4	
居	tɕy1	
屈	tɕʰyʔ5	
屋	uʔ5	
屍	sɿ1	
屎	sɿ3	
屑	ɕyɪʔ5	
屜	tʰi4	
屠	tʰu2	
層	tsʰən2	
山	sæ̃1	
岔	tsʰa4	
岸	æ̃4	
崔	tsʰei1	
崩	puŋ1	
嵌	kʰæ̃2	~住了
嶄	tsæ̃3	
嶽	iɑʔ5	
川	tsʰʊ̃1	
州	tsɤɯ1	
巡	ɕyn2	
巢	tsʰɔ2	
工	kuŋ1	
左	tsʊ3	
巧	tɕʰiɔ3	
差	tsʰa1	
差	tɕʰiɛ1	
差	tsʰa4	
己	tɕi3	
已	i3	
巴	pa1	
巷	xɑŋ4	
巾	tɕin1	
市	sɿ4	
布	pu4	
帕	pʰɑʔ5	
帖	tʰiɪ̃5	
帚	tsɤɯ3	
帝	ti4	
帥	ɕyei4	
師	sɿ1	
席	ɕiʔ5	
帳	tsɑŋ4	
帶	tiɛ4	
常	tsʰɑŋ2	
帽	mɔ4	
幅	fuʔ5	
幌	xuɑŋ3	~子
幔	mʊ̃4	
幕	mɑʔ5	
幫	pɑŋ1	
干	kæ̃1	
平	pʰin2	
年	liɪ̃2	
幹	kæ̃4	
幻	xuæ̃4	
庇	pʰi3	
序	ɕy4	
底	ti3	
店	tiɪ̃4	
府	fu3	
座	tsʊ4	
庫	kʰu4	
庵	æ̃1	
康	kʰɑŋ1	
廊	lɑŋ2	
廓	kʰuɑʔ5	
廚	tsʰu2	
廝	sɿ1	
廟	miɔ4	
廠	tsʰɑŋ3	
廢	fei4	
廣	kuɑŋ3	
廳	tʰin1	
弄	luŋ4	
弊	pi4	
式	səʔ5	
弓	kuŋ1	
弔	tiɔ4	
引	in3	
弟	ti4	
張	tsɑŋ1	
強	tɕʰiɑŋ2	
強	tɕʰiɑŋ3	
彈	tʰæ̃2	
彌	mi2	
彎	uæ̃1	
形	ɕin2	
彩	tɕʰiɛ3	
影	in3	
彼	pi3	
彿	fəʔ5	
往	uɑŋ3	
征	tsən1	
待	tiɛ4	
很	xən3	
後	xɤɯ4	
徐	tɕʰy2	
徒	tʰu2	
得	təʔ5	
從	tsʰuŋ2	
微	uei2	
徵	tsən1	
德	təʔ5	
徽	xuei1	
心	ɕin1	
必	piʔ5	
忍	ɻən(ən)3	
志	tsɿ4	
忘	uɑŋ2	
忙	mɑŋ2	
忠	tsuŋ1	
快	kʰuɛ4	
念	liɪ̃4	
忽	xuəʔ5	
怎	tsən3	
怒	lʊ4	
怕	pʰa4	
思	sɿ1	
怠	tiɛ4	不肯用心叫懈~
急	tɕiʔ5	
性	ɕin4	
怨	yɪ̃4	
怪	kuɛ3	
恆	xən2	
恐	kʰuŋ3	
恙	iɑŋ4	
恥	tsʰɿ3	
恨	xən4	
恩	ɻən(ən)1	
恭	kuŋ1	
悅	yɪʔ5	
悔	xuei3	
悟	u4	
患	xuæ̃4	
悲	pei1	
悴	tsʰei4	
悶	mən4	
情	tɕʰin2	
惑	xuʔ5	
惜	ɕiʔ5	
惟	uei2	
惠	xuei4	
惡	ɑʔ5	
惡	u4	不喜歡
惰	tʊ4	
惱	lɔ3	
想	ɕiɑŋ3	
惹	i3	
愁	tsʰɤɯ2	
意	i4	
愚	y2	
愛	ɛ4	
感	kæ̃3	
愧	kʰuei4	
慈	tsʰɿ2	
態	tʰiɛ4	
慌	xuɑŋ1	
慎	sən4	
慕	mʊ4	
慘	tsʰæ̃3	
慚	tsʰæ̃2	
慢	mæ̃4	
慣	kuæ̃4	
慮	ly4	
慶	tɕʰin4	
慷	kʰɑŋ3	
憂	iɤɯ1	
憐	liɪ̃2	
憑	pʰin2	
懂	tuŋ3	
應	in4	
懊	ɔ3	
懶	læ̃3	
懷	xuɛ2	
懸	ɕyɪ̃2	
懺	tsʰæ̃4	
懼	tɕy4	
戌	ɕyʔ5	
成	tsʰən2	
我	ʊ3	
戒	tɕiɛ4	
或	xuʔ5	
戚	tɕʰiʔ5	
戥	tən3	
戰	tɕiɪ̃4	
戲	ɕi4	
戳	tsʰuɑʔ5	
戶	xu4	
房	fɑŋ2	
所	sʊ3	
扁	piɪ̃3	
扇	ɕiɪ̃4	
手	sɤɯ3	
才	tɕʰiɛ2	
扒	pʰa2	
打	ta3	
托	tʰɑʔ5	
扣	kʰɤɯ4	
扮	pæ̃4	
扯	tɕʰi3	
扱	tsʰɑʔ5	抬舉:八抬八~
扳	pæ̃1	
扶	fu2	
批	pʰi1	
找	tsɔ3	
承	tsʰən2	
抄	tsʰɔ1	
把	pa3	
抓	tsua1	
抔	fʊ2	
投	tʰɤɯ3	
抖	tɤɯ3	
抗	kʰɑŋ2	
抗	kʰɑŋ4	
披	pʰi1	
抱	pɔ4	
抵	ti3	
抹	mæʔ5	
押	æʔ5	
抽	tsʰɤɯ1	
拂	fəʔ5	
拄	tsu3	
拆	tsʰəʔ5	
拉	la1	
拌	pʊ̃2	
拐	kuɛ3	
拔	pæʔ5	
拖	tʰʊ1	
拗	ɔ4	
拘	tɕy1	
拙	tsʊʔ5	
招	tsɔ1	
拜	pɛ4	
拱	kuŋ3	
拳	tɕʰyɪ̃2	
拴	suæ̃1	
拼	pʰin1	
拾	səʔ5	
拿	la2	
指	tsɿ3	
挑	tʰiɔ1	
挑	tʰiɔ3	
挖	uæʔ5	
挨	ɛ2	挨打
挨	ɛ1	靠
挪	lʊ2	
挺	tʰin3	
捉	tsuɑʔ5	
捋	lʊʔ5	在樹枝等類的長東西上 拿手勒着往下抹
捌	pæʔ5	
捏	liɪʔ5	
捐	tɕyɪ̃1	
捕	pu3	
捧	pʰuŋ3	
捱	ɛ2	
捲	tɕyɪ̃3	
捺	læʔ5	
捻	liɪ̃3	
掀	ɕiɪ̃1	
掂	tiɪ̃1	
掃	sɔ3	
掇	tsʰʊʔ5	~撥、把散碎的東西~起來
授	sɤɯ4	
掉	tiɔ4	
掌	tsɑŋ3	
掏	tʰɔ1	
掐	kʰæʔ5	
排	pʰɛ2	
掙	tsən4	
掛	kua3	
掠	liɑʔ5	
採	tɕʰiɛ3	
接	tɕiɪʔ5	
控	kʰuŋ4	
推	tʰei1	
掩	iɪ̃3	
掯	kʰən4	
揉	ɻɤɯ2	
描	miɔ2	
提	tʰi2	
插	tsʰæʔ5	
揖	iʔ5	
換	xʊ̃4	
握	uʔ5	
揣	tɕʰyei3	
揪	tɕʰiɤɯ3	
損	sən3	
搓	tsʰʊ1	
搖	iɔ2	
搥	tsʰuei2	
搧	ɕiɪ̃1	
搪	tʰɑŋ2	
搬	pʊ̃1	
搭	tæʔ5	
搶	tɕʰiɑŋ3	
搽	tsʰa2	
摔	ɕyei3	
摘	tsəʔ5	
摟	lɤɯ3	
摩	mʊ2	
摸	mɑʔ5	
摺	tɕiɪʔ5	
撂	liɔ4	
撇	pʰiɪʔ5	
撈	lɔ2	
撐	tsʰən1	
撒	sæʔ5	
撕	sɿ1	
撞	tsuɑŋ4	
撣	tæ̃3	
撤	tɕʰiɪʔ5	
撥	pʊʔ5	
撩	liɔ2	
撬	tɕʰiɔ4	
播	pʊ3	
撮	tsʰʊʔ5	
撲	pʰuʔ5	
擂	lei2	
擇	tsəʔ5	
擋	tɑŋ3	
操	tsʰɔ1	
擔	tæ̃1	
擔	tæ̃4	
擘	puʔ5	剝開
據	tɕy4	
擠	tɕi3	
擡	tʰiɛ2	
擣	tɔ3	
擦	tsʰæʔ5	
擱	kɑʔ5	
擴	kʰuɑʔ5	
擺	pɛ3	
擾	ɻɔ3	
攀	pʰæ̃1	
攏	luŋ3	
攔	læ̃2	
攙	tsʰæ̃1	
攤	tʰæ̃1	
攬	læ̃3	
支	tsɿ1	
收	sɤɯ1	
改	kɛ3	
放	fɑŋ4	
政	tsən4	
故	ku4	
敏	min3	
救	tɕiɤɯ4	
敗	pɛ4	
教	tɕiɔ4	
敞	tsʰɑŋ3	
敢	kæ̃3	
散	sæ̃3	
散	sæ̃4	
整	tsən3	
敷	fu1	
數	su3	
數	su4	
文	uən2	
斑	pæ̃1	
斗	tɤɯ3	
料	liɔ4	
斛	xuʔ5	
斟	tsən1	
斡	ʊʔ5	
斤	tɕin1	
斧	fu3	
斫	tsɑʔ5	
斬	tsæ̃3	
新	ɕin1	
斷	tʊ̃4	
方	fɑŋ1	
於	y2	
施	sɿ1	
旁	pʰɑŋ2	
族	tsʰuʔ5	簇
既	tɕi4	
日	ɻəʔ5	
旨	tsɿ3	
早	tsɔ3	
旱	xæ̃4	
旺	uɑŋ4	
昂	ɑŋ2	
昇	sən1	
昌	tsʰɑŋ1	
明	min2	
昏	xuən1	
易	i4	容易、交易
星	ɕin1	
映	in4	
春	tsʰuən1	
昨	tsa4	
是	sɿ4	
時	sɿ2	
晃	xuɑŋ4	
曬	ɕiɛ4	
晚	uæ̃3	
晝	tsɤɯ4	
晨	tsʰən2	
普	pʰu3	
景	tɕin3	
晴	tɕʰin2	
智	tsɿ4	
晾	lɑŋ4	
暈	yn4	
暑	tsʰu3	
暗	æ̃4	
暢	tsʰɑŋ4	
暫	tsæ̃4	
暴	pɔ4	
曉	ɕiɔ3	
曝	pɔ4	
曬	ɕiɛ4	
曲	tɕʰiuʔ5	
更	kən1	
更	kən4	
書	su1	
曹	tsʰɔ2	
替	tʰi4	
最	tsei4	
會	xuei4	
月	yɪʔ5	
有	iɤɯ3	
朋	pʰuŋ2	
服	fuʔ5	
朔	suɑʔ5	
朗	lɑŋ3	
望	uɑŋ4	
期	tɕʰi1	
木	muʔ5	
未	uei4	
末	mʊʔ5	
本	pən3	
术	tsuəʔ5	
朱	tsu1	
朴	pʰɑʔ5	
朶	tʊ3	
朽	ɕiɤɯ3	
李	lei3	
杏	ɕin4	
材	tɕʰiɛ2	
村	tsʰən1	
杖	tsɑŋ4	
束	suʔ5	
杭	xɑŋ2	
杯	pei1	
東	tuŋ1	
松	suŋ1	
板	pæ̃3	
枕	tsən3	
林	lin2	
果	kʊ3	
枝	tsɿ1	
枯	kʰu1	
架	tɕia4	
柄	pin4	
柏	pʊʔ5	
某	mʊ3	
柒	tɕʰiʔ5	
染	iɪ̃3	
柔	ɻɤɯ2	
查	tsʰa2	
柩	tɕiɤɯ1	
柱	tsu4	
柳	liɤɯ3	
柴	tɕʰiɛ2	
柿	sɿ4	
栗	liʔ5	
核	xuəʔ5	
根	kən1	
格	kəʔ5	
栽	tɕiɛ1	
桂	kuei4	
桃	tʰɔ2	
框	kʰuɑŋ1	
案	æ̃4	
桌	tsuɑʔ5	
桐	tʰuŋ2	
桑	sɑŋ1	
桝	tʊ̃1	酒~子
桶	tʰuŋ3	
梅	mei2	
梆	pɑŋ1	
梗	kən2	
條	tʰiɔ2	
梢	sɔ1	
梧	u2	
梨	lei2	
梭	sʊ1	
梯	tʰi1	
梳	sʊ1	
棉	miɪ̃2	
棋	tɕʰi2	
棍	kuən4	
棒	pɑŋ4	
棗	tsɔ3	
棚	pʰuŋ2	
棠	tʰɑŋ2	
棧	tsæ̃4	
棵	kʰʊ1	
棺	kʊ̃1	
椅	i3	
椒	tɕiɔ1	
椶	tsuŋ1	
椿	tsʰuən1	
楊	iɑŋ2	
業	iɪʔ5	
極	tɕiʔ5	
概	kɛ4	
榆	y2	
榜	pɑŋ3	
榨	tsa4	
榫	sən3	
榮	iuŋ2	
槐	xuɛ2	
槓	kɑŋ4	
槽	tsʰɔ2	
樁	tsuɑŋ1	
樓	lɤɯ2	
標	piɔ1	
模	mʊ2	
樣	iɑŋ4	
樹	su4	
橋	tɕʰiɔ2	
橘	tɕyʔ5	
橙	tsʰən2	
機	tɕi1	
橫	xuŋ4	
櫃	kuei4	
櫻	in1	
欠	tɕʰiɪ̃4	
次	tsʰɿ4	
欲	iuʔ5	
欵	kʰʊ̃3	
欹	tɕʰi1	
款	kʰʊ̃3	
歇	ɕiɪʔ5	
歌	kʊ1	
歎	tʰæ̃4	
歐	(ɻ)ɤɯ1	
歡	xʊ̃1	
止	tsɿ3	
正	tsən4	
此	tsʰɿ3	
步	pu4	
武	u3	
歪	uɛ1	
歲	sei4	
歸	kuei1	
歹	tiɛ3	
死	sɿ3	
殃	iɑŋ1	
殘	tsʰæ̃2	
殮	liɪ̃4	
殯	pin4	
段	tʊ̃4	
殺	sæʔ5	
殼	kʰɑʔ5	
殽	ɕiɔ2	
殿	tiɪ̃4	
毀	xuei3	
毆	(ɻ)ɤɯ1	
母	mʊ3	
每	mei3	
毒	tuʔ5	
比	pi3	
毛	mɔ2	
毫	xɔ2	
毯	tʰæ̃3	
氈	tɕiɪ̃1	
民	min2	
氣	tɕʰi4	
水	suei3	
永	iuŋ3	
汁	tsəʔ5	
求	tɕʰiɤɯ2	
汊	tsʰa4	
汗	xæ̃4	
汝	lu3	
江	tɕiɑŋ1	
池	tsʰɿ2	
污	u1	
汪	uɑŋ1	
決	tɕyɪʔ5	
沈	sən3	
沉	tsʰən2	
沒	məʔ5	
沖	tsʰuŋ1	
沙	sa1	
沫	mʊʔ5	
河	xʊ2	
油	iɤɯ2	
治	tsɿ4	
沿	iɪ̃2	
況	kʰuɑŋ4	
泉	tɕʰyɪ̃2	
法	fæʔ5	
泡	pʰɔ4	泡水
泡	pʰɔ1	燈泡
波	pʊ1	
泥	li2	
泰	tʰiɛ4	
洋	iɑŋ2	
洗	ɕi3	
洞	tuŋ4	
活	xʊʔ5	
派	pʰɛ4	
流	liɤɯ2	
浦	pʰu3	
浪	lɑŋ4	
浮	fu2	
海	xɛ3	
消	ɕiɔ1	
涼	liɑŋ2	
淌	tʰɑŋ3	
淘	tʰɔ2	
淚	lei4	
淡	tæ̃4	
淤	y1	
淨	tɕin4	
淮	xuɛ2	
深	sən1	
混	xuən4	
淸	tɕʰin1	
淺	tɕʰiɪ̃3	
添	tʰiɪ̃1	
減	tɕiɑŋ3	
渡	tu4	
渣	tsa1	
測	tsʰəʔ5	
港	kɑŋ3	
渴	kʰʊʔ5	
游	iɤɯ2	
渾	xuən2	
渾	xuən3	不說明了
湊	tsʰɤɯ4	
湍	tʰʊ̃1	
湖	xu2	
湯	tʰɑŋ1	
源	yɪ̃2	
準	tsuən3	
溜	liɤɯ1	
溜	liɤɯ4	
溝	kɤɯ1	
溫	uən1	
溼	səʔ5	
滅	miɪʔ5	
滋	tsɿ1	
滑	xuæʔ5	
滔	tʰɔ1	
滴	tiʔ5	
滷	lu3	
滾	kuən3	
滿	mʊ̃3	
漁	y2	
漂	pʰiɔ3	
漆	tɕʰiʔ5	
漉	luʔ5	
漏	lɤɯ4	
演	iɪ̃3	
漕	tsʰɔ2	
漚	(ɻ)ɤɯ1	
漚	(ɻ)ɤɯ4	
漠	mɑʔ5	
漢	xæ̃4	
漫	mʊ̃4	
漫	mæ̃1	~~(又長又遠)
漱	su4	
漲	tsɑŋ4	
漿	tɕiɑŋ1	
潑	pʰʊʔ5	
潘	pʰʊ̃1	
潤	ɻən(ən)4	
潮	tsʰɔ2	
澆	tɕiɔ1	
澡	tsɔ3	
澤	tsəʔ5	
濃	luŋ2	
濕	səʔ5	
濛	muŋ2	
濺	tsæ̃4	
濾	ly4	
瀉	ɕi4	
灌	kʊ̃4	
灑	sa3	
灘	tʰæ̃1	
灣	uæ̃1	
火	xʊ3	
灰	xuei1	
灶	tsɔ4	
災	tɕiɛ1	
炒	tsʰɔ3	
炕	kʰɑŋ4	
炙	tsəʔ5	
炭	tʰæ̃4	
炸	tsa4	
炸	tsæʔ5	
烏	u1	
烘	xuŋ1	
烙	lɑʔ5	
烟	iɪ̃1	
烤	kʰɔ3	
烹	pʰuŋ1	
焙	pei4	
焚	fən2	
無	u2	
焦	tɕiɔ1	
然	iɪ̃2	
煎	tɕiɪ̃1	
煑	tsu3	煮
煖	lʊ̃3	
煙	iɪ̃1	
照	tsɔ4	
煨	uei1	
煩	fæ̃2	
熄	ɕiʔ5	
熟	suʔ5	
熨	yn4	
熬	ɔ2	
熱	iɪʔ5	
燈	tən1	
燒	sɔ1	
燕	iɪ̃4	
燙	tʰɑŋ4	
燜	mən1	
營	in2	
燥	sɔ4	乾極了沒有潮氣 心裏又焦又急
燭	tsuʔ5	
爐	lu2	
