#漢字	音標	解釋
#簡稱	/	湖州
#全稱	/	湖州話
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,12 2 1b 陽平 ꜁,42 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,24 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇
#版本	/	2022-01-05
#錄入人	/	Vô Danh
#參考資料	/	
#說明	/	
着	tsaʔ7	～衣
着	dzaʔ8	困～
睏	kʰuən5	
睛	tɕin1	
睡	dzei6	
督	toʔ7	
瞎	haʔ7	
瞞	mɦᴇ2	
瞪	tən5	
瞭	lɦiɔ2	～解
瞳	doŋ2	
瞻	tsᴇ1	
瞿	dʑiᶽ2	
矛	ɦmɔ2	
矢	sɿ5	
矣	ʔiᶽ3	
知	tsɿ1	
短	tᴇ3	
矮	ʔa3	
矯	tɕiɔ3	
石	zaʔ8	阶沿～
砌	tɕʰiᶽ5	
研	ȵi1	
破	pʰu5	
硝	ɕiɔ1	
硫	lɦøʏ2	
硬	ŋã5	
硯	ȵi5	
碎	sei5	
碑	pei1	
碗	ʔuᴇ3	
碟	diəʔ8	
碧	piəʔ7	
碰	pʰã5	
碰	pʰã1	～风：伤风
確	kʰoʔ7	
確	tɕʰioʔ7	
碼	mo3	
碾	ȵi3	
磁	dzɿ2	
磕	kʰəʔ7	
磚	tsᴇ1	
磨	mɦo2	
磬	tɕʰin5	
礎	tsʰəu3	
礙	ŋei5	
礦	kʰɔ̃5	
礬	vᴇ2	
示	zɿ6	
社	zei4	
社	zo4	白
祀	zɿ6	
祁	dʑiᶽ2	
祈	dʑiᶽ2	
祖	tsəu3	
祝	tsoʔ7	
神	zən2	
祠	dzɿ2	
祥	ʑiã2	
票	pʰiɔ5	
祭	tɕiᶽ5	
祿	lɦoʔ8	
禁	tɕin5	～止，～不住
禍	ʔu3	
福	foʔ7	
禦	ȵiᶽ5	
禪	zᴇ2	
禪	zᴇ6	～宗，～讓
禮	liᶽ3	
禱	tɔ3	
禹	ʔiᶽ3	
禽	dʑin2	
禿	tʰoʔ7	
秀	ɕiʏ5	
私	sɿ1	
秉	pin3	
秋	tɕʰiʏ1	
科	kʰəu1	
秒	miɔ3	
秕	piəʔ7	～穀
秘	piᶽ5	
租	tsəu1	
秤	tsʰən5	
秦	ʑin2	
秧	ʔiã1	
秩	dzəʔ8	
移	ɦiᶽ2	
稀	ɕiᶽ1	
稅	sei5	
程	dzən2	
稍	sɔ1	
稗	ba6	
稚	zɿ6	
稟	pin3	
稠	dʑiʏ2	
種	tsoŋ3	～子
種	tsoŋ5	～树
稱	tsʰən1	～呼，～重量
稹	dzəʔ8	
稻	dɔ4	
稼	tɕia5	
稽	tɕiᶽ1	
稿	kɔ3	
穀	koʔ7	
穆	moʔ8	
積	tɕiəʔ7	
穎	ʔin3	
穗	zɿ2	麥～頭
穗	zei6	文
穢	ʔuei5	
穩	ʔuən3	
穴	ɦiəʔ8	
究	tɕiʏ5	
穹	tɕʰioŋ1	
空	kʰoŋ1	天～
空	kʰoŋ5	～缺
穿	tsʰᴇ1	
突	dəʔ8	
窄	tso5	
窖	kɔ5	
窗	tsʰɔ̃1	
窘	dʑioŋ4	
窟	kʰuəʔ7	
窠	kʰəu1	
窩	ʔu1	
窪	ʔua1	文
窪	ʔo1	白
窮	dʑioŋ2	
窯	ɦiɔ2	
窺	kʰuei1	
竄	tsʰᴇ5	
竅	tɕʰiɔ5	
竈	tsɔ5	
立	lɦiəʔ8	
站	dzᴇ4	車～，立～
竝	bin4	
章	tsɔ̃1	
童	doŋ2	
端	tᴇ1	
競	dʑin6	
竹	tsoʔ7	
竿	kᴇ1	
笑	ɕiɔ5	
笙	sən1	
笛	diəʔ8	
笠	lɦiəʔ8	
符	vu2	
笨	bən4	
第	diᶽ4	
筆	piəʔ7	
等	tən3	
筋	tɕin1	
筍	sən3	
筏	vaʔ8	
筐	kʰɔ̃1	
筒	doŋ4	
答	taʔ7	
策	tsʰaʔ7	
筷	kʰua5	
筷	kʰuᴇ5	文
箅	piəʔ7	
箋	tɕi5	
箏	tsən1	
算	sᴇ5	
管	kuᴇ3	
箭	tɕi5	
箱	ɕiã1	
箸	tsɿ5	
節	tɕiəʔ7	
範	vᴇ4	
篆	dzᴇ6	
篇	pʰi1	
築	tsoʔ7	
篙	kɔ1	進船竿
篡	tsʰᴇ3	
篤	toʔ7	
篦	pi1	
篦	piəʔ7	
篩	sa1	
篷	boŋ2	
簍	løʏ3	
簑	səu1	
簡	tɕi3	
簧	ɦuɔ̃2	
簪	tsᴇ1	
簫	ɕiɔ1	
簷	ɦi2	
簽	tɕʰi1	
簾	lɦi2	
簿	bu4	
籃	lɦᴇ2	
籌	dʑiʏ2	
籍	ʑiəʔ8	
籠	loŋ3	
籤	tɕʰi1	
籬	lɦiᶽ2	
籮	lɦəu2	
米	miᶽ3	
粉	fən3	
粒	lɦəʔ8	一～米
粗	tsʰəu1	
粟	soʔ7	
粥	tsoʔ7	
粱	lɦiã2	
粲	tsʰᴇ3	
粳	kã1	～米
粵	ɦiəʔ8	
粹	zei6	
糉	tsoŋ5	
精	tɕin1	败家～：败家儿子
糕	kɔ1	
糖	dɔ̃2	
糙	tsʰɔ5	
糞	fən5	
糟	tsɔ1	
糠	kʰɔ̃1	
糧	lɦiã2	
糯	loŋ5	～米
糰	dᴇ2	
糴	diəʔ8	
系	ɕiᶽ1	
系	ʔiᶽ5	
糾	tɕiʏ1	～正，～纏
紀	tɕiᶽ5	
紂	dʑiʏ6	
約	ɦiaʔ8	
紅	ɦoŋ2	
紋	vən2	
納	nɦəʔ8	
紐	ŋøʏ3	
純	zən2	
紗	so1	白
紙	tsɿ3	
級	tɕiəʔ7	
紛	fən1	
素	səu5	
紡	fɔ̃3	
索	soʔ7	
紫	tsɿ3	
紮	tsaʔ7	
累	lei3	～積，連～
細	ɕiᶽ5	
紹	zɔ6	
終	tsoŋ1	
組	tsəu3	
結	tɕiəʔ7	
絕	ʑiəʔ8	
絞	kɔ3	
絡	lɦoʔ8	
給	tɕiəʔ7	
絨	ȵɦioŋ2	
絮	ɕiᶽ1	
統	tʰoŋ3	
絲	sɿ1	
絹	tɕi5	
綁	pɔ̃3	
綏	sei1	
綑	kʰuən3	
經	tɕin1	～过
經	tɕin5	～纬
綜	tsoŋ5	
綠	lɦoʔ8	
綢	dʑiʏ2	
維	viᶽ2	
網	mɔ̃3	
綴	tsei5	
綽	tsʰa3	～號
綽	tsʰaʔ7	
綿	ɦmi2	
緊	tɕin3	
緖	ʑiᶽ4	
線	ɕi5	
緝	tɕʰiəʔ7	～鞋口
緞	dᴇ6	
緣	ɦi2	
編	pi1	
緩	ʔuᴇ3	
緬	mi3	
緯	ɦuei2	
練	di5	
縊	ʔiəʔ7	
縛	voʔ8	
縣	ʔi5	
縫	voŋ2	～衣服
縫	voŋ6	一条～
縮	soʔ7	
縱	tsoŋ5	
縷	løʏ3	
總	tsoŋ3	
繁	vᴇ2	
織	tsəʔ7	
繞	zɔ6	文
繞	ȵiɔ5	～線。白
繡	ɕiʏ5	
繩	zən2	
繪	ɡuei6	
繳	tɕiɔ3	
繼	tɕiᶽ5	
續	zoʔ8	
纏	dzᴇ2	
纓	ʔin1	
纜	lᴇ5	
缸	kɔ̃1	
缺	tɕʰiəʔ7	
罐	kuᴇ6	
罔	mɔ̃3	
罕	hᴇ3	
罩	tsɔ5	
罪	zei4	
置	tsɿ5	
罰	vaʔ8	
署	dzɿ6	
罵	mo5	
罷	ba4	
罷	bo4	吃～dE：吃好了
羅	lɦəu2	
羊	ɦiã2	
羌	tɕʰiã1	
美	mei3	
羔	kɔ1	
羞	tɕʰiʏ3	
羣	dʑin2	
羨	ʑi6	
義	ȵiᶽ5	
羶	tsᴇ1	
羽	ʔiᶽ3	
翁	ʔoŋ1	
翅	tsɿ3	
習	ʑiəʔ8	
翠	tsʰei5	
翡	fiᶽ3	
翰	ʔᴇ5	
翻	fᴇ1	
翼	ʔiᶽ3	
耀	ʔiɔ5	
老	lɔ3	
考	kʰɔ3	
者	tsəʔ7	
而	əl2	
耍	sa3	
耐	nei3	
耕	kən1	文
耕	kã1	白
耗	hɔ5	
耙	bo2	
耳	əl3	文
耳	n̩4	白
耶	ʔia1	
耽	tᴇ1	
耿	kən3	文
耿	kã3	白
聊	lɦiɔ2	
聒	kuaʔ7	
聖	sən5	
聘	pʰin3	
聚	ʑiᶽ4	
聞	mɦən2	
聞	vən2	文
聯	lɦi2	
聰	tsʰoŋ1	
聲	sən1	
聶	ȵɦiəʔ8	姓
職	tsəʔ7	
聽	tʰin1	～见
聽	tʰin3	～其自然
聾	lɦoŋ2	
肄	ʔiᶽ5	
肅	soʔ7	
肆	sɿ5	
肉	ȵɦioʔ8	
肋	lɦəʔ8	
肌	tɕiᶽ1	
肘	tɕiʏ1	
肚	təu3	豬～
肚	dəu4	腹～
肝	kᴇ1	
股	kəu3	
肢	tsɿ1	
肥	biᶽ2	白讀：～皂
肥	viᶽ2	文
肩	tɕi1	
肪	fɔ̃1	
肯	kʰən3	
育	ɦioʔ8	
肴	ɦiɔ2	
肺	fiᶽ5	
胃	ʔuei5	
背	pei5	～後
背	bei6	～誦
胎	tʰei1	
胖	pʰɔ̃5	
胚	pʰei1	
胛	kaʔ7	
胞	pɔ1	
胡	ɦu2	
胥	ɕiᶽ1	
胸	ɕioŋ1	
能	lɦən2	
脂	tsɿ1	
脅	ɕiəʔ7	
脆	tsʰei5	
脈	mɦaʔ8	
脊	tɕiəʔ7	
脫	tʰəʔ7	
脯	bu2	
脹	tsã5	
脾	biᶽ2	
腆	ti3	
腎	zən4	
腐	vu6	
腑	fu3	
腔	tɕʰiã1	
腕	ʔuᴇ3	
腡	lɦəu2	
腥	ɕin1	白
腦	nɔ3	
腫	tsoŋ3	
腰	ʔiɔ1	
腱	dʑi6	
腳	tɕiaʔ7	
腸	dzã2	
腹	foʔ7	
腿	tʰei3	
膀	pʰɔ̃1	肿～眼
膏	kɔ1	
膚	fu1	
膜	moʔ8	
膝	ɕiəʔ7	
膠	kɔ1	
膨	bã2	
膩	ȵiᶽ5	
膳	zᴇ4	
膽	tᴇ3	
臂	piᶽ5	
臉	di3	
臊	sɔ1	
臍	ʑiᶽ2	
臕	piɔ1	
臘	lɦaʔ8	
臟	dzɔ̃6	
臣	dzən2	
臥	ŋəu5	
臨	lɦin2	
自	zɿ6	
臭	tɕʰiʏ5	
至	tsɿ5	
致	tsɿ5	
臺	dei2	
臼	dʑiʏ4	
舀	ʔiɔ3	
舅	dʑiʏ4	
與	ʔiᶽ3	
興	ɕin1	～旺，高～
舉	tɕiᶽ3	
舊	dʑiʏ6	
舌	zəʔ8	
舍	so3	
舐	ti3	
舒	sɿ1	
舔	tʰi3	
舜	sən5	
舞	vu4	
舟	tɕiʏ1	
航	ɦɔ̃2	
般	pᴇ1	
舵	dəu4	
船	zᴇ2	
艇	tʰin3	
艦	kʰᴇ3	
良	lɦiã2	
艱	tɕi1	
色	səʔ7	
艷	ʔi1	
艾	ŋei5	
芋	ʔiᶽ5	
芍	zaʔ8	
芒	mɦɔ̃2	
芙	vu2	
芝	tsɿ1	
芥	ka5	白
芥	tɕia5	文
芬	fən1	
芭	po1	
芮	zei6	
花	ho1	
芳	fɔ̃1	
芹	dʑin2	
芽	ŋɦa2	
苔	dei2	
苗	mɦmiɔ2	
苟	køʏ1	
若	zaʔ8	
苦	kʰəu3	
苧	dzɿ4	～麻
英	ʔin1	
茂	møʏ5	
范	vᴇ4	
茄	ɡa2	
茅	ɦmɔ2	
茫	mɦɔ̃2	
茴	ɦuei2	
茶	dzo2	
茸	dzoŋ2	
荀	ɕin1	
草	tsʰɔ3	
荊	tɕin1	
荒	hɔ̃1	
荔	liᶽ5	
荷	ɦu2	～花
莊	tsɔ̃1	
莎	so1	白
莖	tɕin1	
莝	tsʰəu5	
莠	ɕiʏ5	
莧	hᴇ5	～菜。白
莫	moʔ8	
蓴	zən2	
莽	mɔ̃3	
菊	tɕioʔ7	
菌	ʑin4	
菖	tsʰɔ̃1	
菜	tsʰei5	
菠	pu1	
菩	bu2	
華	ɦua2	文
華	ɦo2	白
菱	lɦin2	
萄	dɔ2	
萌	mɦən2	
萍	bin2	
萎	ʔuei3	
萬	vᴇ6	
落	lɦoʔ8	
葉	ɦiəʔ8	
著	tsɿ5	
著	dzaʔ8	～末排，最后一排
葚	dzən2	桑～
葛	kəʔ7	
董	toŋ3	
葦	ɦuei2	
葬	tsɔ̃5	
葵	ɡuei2	
葷	huən1	
蒐	ɕiʏ1	
蒙	mã1	天～～亮
蒙	ɦmoŋ2	～受
蒜	sᴇ5	
蒯	kʰua1	
蒲	bu2	
蒸	tsən1	
蒼	tsʰɔ̃1	
蒿	hɔ1	
蓄	ɕioʔ7	储～
蓉	ɦioŋ2	
蓋	kei5	
蓬	boŋ2	
蓮	lɦi2	
蔑	mɦiəʔ8	
蔓	mɦᴇ2	
蔗	tso1	
蔡	tsʰa5	
蔣	tɕiã3	
蔥	tsʰoŋ1	
蔫	ʑia5	花～了
蔬	səu5	
蔭	ʔin1	
蕉	tɕiɔ1	
蕊	ȵiᶽ3	花～頭：花骨頭
蕎	dʑiɔ2	
蕩	dɔ̃4	～来～去
蕭	ɕiɔ1	
蕻	hoŋ5	
薄	boʔ8	
薑	tɕiã1	
薛	ɕiəʔ7	
薦	tɕi5	
薩	saʔ7	
薪	ɕin1	
薯	dzɿ6	
薰	ɕin1	
薺	ʑiᶽ4	
藉	ʑiəʔ8	～故
藍	lɦᴇ2	
藏	dzɔ̃2	隐～
藏	dzɔ̃6	西～
藐	miɔ3	
藕	ŋøʏ3	
藝	ȵiᶽ5	
藤	dən2	
藥	ɦiaʔ8	
藩	vᴇ2	
藹	ʔei3	
藿	hoʔ7	
蘂	zei6	
蘆	lɦəu2	
蘇	səu1	
蘭	lɦᴇ2	
蘸	tsᴇ5	
虀	tɕiᶽ1	～糟：麻煩
虎	həu3	郊區為陰去
虐	ȵɦiaʔ8	
虔	dʑi2	
處	tsʰɿ5	
虛	ɕiᶽ1	
虛	hei1	～dE：腫了
虜	ləu3	
虞	ȵɦiᶽ2	
號	ʔɔ5	呼～，～數
虧	kʰuei1	
虹	ɦoŋ2	
虻	mɦã2	
蚊	mɦən2	
蚊	vən2	文
蚌	bã4	
蚣	koŋ1	
蚤	tsɔ3	
蚶	hᴇ1	
蛀	tsɿ5	
蛆	tɕʰiᶽ1	
蛇	zo2	
蛋	dᴇ6	
蛙	ʔua1	文
蛙	ʔo1	白
蛛	tsɿ1	
蛤	kəʔ7	
蛻	tʰəʔ7	
蛾	ŋɦəu2	
蜀	dzoʔ8	
蜂	foŋ1	
蜇	tsəʔ7	
蜈	ɦu2	
蜓	din2	
蜘	tsɿ1	
蜜	mɦiəʔ8	
蜻	tɕʰin1	
蝕	zəʔ8	
蝗	ɦuɔ̃2	
蝙	pi1	
蝟	ʔuei5	
蝠	foʔ7	
蝦	ɦa2	～蟆
蝦	ɕia1	文
蝦	ho1	白
蝨	səʔ7	
蝶	diəʔ8	
蝸	kəu1	
螂	lɦɔ̃2	
螃	bɔ̃2	
融	ɦioŋ2	
螢	ɦioŋ2	
螳	dɔ̃2	
螺	lɦəu2	
蟄	dzəʔ8	
蟆	mɦo2	
蟒	mɔ̃3	
蟢	ɕiᶽ3	
蟬	zᴇ2	
蟲	dzoŋ2	
蟶	tsʰən1	
蟹	ha3	
蟻	ȵiᶽ5	
蟾	zᴇ2	
蠅	ʔin1	
蠍	ɕiəʔ7	
蠓	moŋ3	
蠚	həʔ7	蜂～人
蠟	lɦaʔ8	
蠢	tsʰən1	
蠶	zᴇ2	
蠻	mɦᴇ2	
血	ɕiəʔ7	
衆	tsoŋ5	
行	ɦin2	～为，品～。文
行	ɦã2	～路，～宫。白
行	ɦɔ̃2	～业
術	dzəʔ8	
街	ka1	白
街	tɕia1	文
衙	ŋɦa2	
衛	ʔuei5	
衝	tsʰoŋ1	
衡	ɦən2	
衣	ʔiᶽ1	
表	piɔ3	
衫	sᴇ1	
衰	sei1	
袁	ɦi2	
袂	kaʔ7	
袋	dei6	
袍	bɔ2	
袖	ʑiʏ6	
被	biᶽ4	～頭
裁	zei2	
裂	lɦiəʔ8	
裏	liᶽ3	
裕	ʔiᶽ5	
裙	dʑin2	
補	pu3	
裳	dzɔ̃2	
裴	bei2	
裸	ləu5	
裹	kəu3	
製	tsɿ5	
褂	ko5	
複	foʔ7	
褒	pɔ3	
褚	tsʰɿ3	
褥	ȵɦioʔ8	
褪	tʰei5	
褯	ʑiəʔ8	
褲	kʰəu5	
褶	tsəʔ7	
襄	ɕiã1	
襖	ʔɔ5	
襟	tɕin5	
襪	mɦaʔ8	
襯	tsʰən5	
襲	ʑiəʔ8	
襻	pʰᴇ5	
西	ɕiᶽ1	
要	ʔiɔ1	
要	ʔiɔ5	
覆	pʰoʔ7	～laʔ困，～t'aʔ困：俯睡
覆	foʔ7	
見	tɕi5	
規	kuei1	
覓	mɦiəʔ8	
視	zɿ6	
親	tɕʰin1	～戚，～家
覺	kɔ5	睏～
覺	koʔ7	白
覺	tɕioʔ7	知～。文
覽	lᴇ5	
觀	kuᴇ1	
角	koʔ7	
解	ɡa4	～開
解	tɕia3	
解	tɕia3	姓
解	ka3	～木頭：鋸木頭
觸	tsʰoʔ7	
言	ɦi2	
訂	tin5	
訃	fu5	
計	tɕiᶽ5	
訊	ɕin5	
討	tʰɔ3	
訓	ɕin5	
訖	tɕʰiəʔ7	
託	tʰoʔ7	
記	tɕiᶽ5	
訛	ho5	
訟	dzoŋ6	
訣	tɕiəʔ7	
訪	fɔ̃3	
設	səʔ7	
許	ɕiᶽ3	
許	hei3	～願心：還願
許	həu3	
訴	səu5	
診	tsən5	
註	tsɿ5	
詐	tso5	
詔	tsɔ5	
評	bin2	
詞	dzɿ2	
詠	ʔioŋ3	
試	sɿ5	
詩	sɿ1	
詭	kuei3	
話	ʔua5	文
話	ʔo5	
該	kei1	
詳	ʑiã2	
誇	kʰua1	文
誇	kʰo5	白
誌	tsɿ5	
認	zən6	文
認	ȵin5	
誓	zɿ6	
誕	tᴇ5	
誘	ʔiʏ5	
語	ȵiᶽ3	
誠	dzən2	
誣	vu2	
誤	ŋəu5	
誦	dzoŋ6	
說	səʔ7	
誰	dzei2	
課	kʰəu5	
誼	ȵiᶽ5	
調	diɔ2	音～
調	diɔ5	～換
談	dᴇ2	
請	tɕʰin3	
諒	lɦiã2	
論	lən5	討～
論	lɦən2	～語
諜	diəʔ8	
諧	ɦia2	
諫	tɕi5	
諱	huei5	
諷	foŋ1	
諸	tsɿ1	
諺	ȵi1	
諾	nɦoʔ8	
謀	mɦøʏ2	
謂	ʔuei5	
謄	dən2	
謊	hɔ̃3	
謎	mɦiᶽ2	
謗	pɔ̃3	
謙	tɕʰi1	
講	kɔ̃3	白
講	tɕiᶽɔ̃3	文
謝	ʑia5	
謠	ɦiɔ2	
謬	møʏ5	
謹	tɕin3	
謾	mɦᴇ2	
證	tsən5	
譏	tɕiᶽ1	
識	səʔ7	
譚	dᴇ2	
譜	pu3	
警	tɕin3	
譬	pʰiᶽ5	～喻
譯	ɦiəʔ8	
議	ȵiᶽ5	
護	ʔu5	
譽	ʔiᶽ5	
讀	doʔ8	
變	pi5	
讒	dzᴇ2	
讓	ȵiã5	
谷	koʔ7	
豁	huaʔ7	
豆	døʏ6	
豇	kɔ̃1	～豆
豈	tɕʰiᶽ3	
豌	ʔuᴇ3	
豎	zɿ4	
豐	foŋ1	
象	ʑiã4	
豪	ɦɔ2	
豫	ʔiᶽ5	
豬	tsɿ1	
豹	pɔ5	
豺	za2	
貂	tiɔ1	
貌	mɔ5	
貓	mɔ1	
貝	pei5	
貞	tsən1	
負	vøʏ4	
財	dzei2	
貢	koŋ5	
貧	bin2	
貨	həu5	
販	fᴇ5	
貪	tʰᴇ1	
貫	kuᴇ6	
責	tsəʔ7	
貳	ȵiᶽ5	
貴	kuei5	文
買	ma3	
貸	dei6	
費	fiᶽ5	～用
費	viᶽ6	姓～
貼	tʰiəʔ7	
貿	møʏ5	
賀	ʔu5	
賂	lɦoʔ8	
賃	zən2	
賄	huei5	
資	tsɿ1	
賈	tɕia5	姓
賊	zəʔ8	
賒	so1	
賓	pin1	
賜	sɿ5	
賞	sɔ̃3	
賠	bei2	
賢	ɦi2	
賣	ma5	
賤	ʑi6	
賦	fu5	
質	tsəʔ7	
賬	tsã5	
賭	təu3	
賴	la5	
賺	dzᴇ4	
購	køʏ5	
賽	sei5	
贅	tsei5	
贈	dzən6	
贊	tsᴇ5	
贏	ɦin2	
贓	tsɔ̃1	
贖	zoʔ8	
赤	tsʰaʔ7	
赦	so3	
赫	həʔ7	
赫	haʔ7	～芝。白
走	tɕiʏ3	
赴	fu5	
起	tɕʰiᶽ3	
趁	tsʰən5	
超	tsʰɔ1	
越	ɦiəʔ8	
趙	dzɔ4	
趟	tʰɔ̃5	
趣	tɕʰiᶽ5	
趨	tɕʰiᶽ1	
足	tsoʔ7	
趾	tsɿ3	
跌	tiəʔ7	
跑	bɔ2	
距	dʑiᶽ6	
跟	kən1	
跡	tɕiəʔ7	
跨	kʰua5	文
跨	kʰo5	白
跪	dʑiᶽ4	白讀
跪	ɡuei4	文
路	ləu5	
跳	tʰiɔ5	
踏	daʔ8	
踐	dzᴇ2	蹈～
踐	ʑi6	實～
踢	tʰiəʔ7	
踱	daʔ8	
蹄	diᶽ2	
蹲	tən1	
蹺	tɕʰiɔ1	～腳：跛子
躁	tsʰɔ5	
躍	ɦiaʔ8	
躡	ȵɦiəʔ8	
身	sən1	
躬	koŋ1	
躺	tʰɔ̃3	
車	tɕiᶽ1	～馬砲
車	tsʰo1	
軋	ɡaʔ8	
軌	kuei3	
軍	tɕin1	
軒	ɕi1	
軛	ŋɦəʔ8	
軟	ȵi3	
軸	dʑioʔ8	
較	tɕiɔ1	
載	tei5	
載	tsei5	年～，～重
輔	fu3	
輕	tɕʰin1	
輛	liã3	
輝	huei3	
輩	pei1	
輪	lɦən2	
輸	sɿ1	贏～
輸	sɿ5	運～
轄	ɕiaʔ7	
轄	huaʔ7	
轅	ɦi2	
轉	tsᴇ3	～眼，～圓圈
轎	dʑiɔ6	
轟	hoŋ1	～隆隆
轟	hoŋ3	～击
辛	ɕin1	
辣	lɦaʔ8	
辧	bᴇ6	
辨	bi4	
辭	dzɿ2	
辮	bi4	
辯	bi4	
辰	zən2	
辱	zoʔ8	
農	lɦoŋ2	
迅	ɕin5	
迎	ȵɦin2	
近	dʑin4	
迫	pəʔ7	
述	dzəʔ8	
迷	mɦiᶽ2	
迸	pin5	文
迸	pʰã5	白
追	tsei1	
退	tʰei5	
送	soŋ5	
逃	dɔ2	
逆	ȵɦiəʔ8	
透	tʰøʏ5	
逐	dʑioʔ8	
途	dəu2	
逗	døʏ6	
通	tʰoŋ1	
逛	ɡɔ̃2	
逝	zɿ6	
逞	tsʰən3	
速	soʔ7	
造	zɔ4	
逢	voŋ2	
連	lɦi2	
進	tɕin5	
逵	ɡuei2	
逸	ɦiəʔ8	
逼	piəʔ7	
逾	ɦiᶽ2	
遁	dən2	
遂	dzei6	
遇	ȵiᶽ5	
運	ʔin5	
遍	pi5	一～，～地
過	kəu5	
道	dɔ4	
達	daʔ8	
違	ɦuei2	
遜	sən5	
遞	diᶽ4	
遞	diəʔ8	
遠	ʔi3	
遣	tɕʰi1	
適	səʔ7	
遭	tsɔ1	
遮	tso1	
遲	dzɿ2	
遵	tsən1	
遷	tɕʰi1	
選	ɕi3	
遺	ɦiᶽ2	
遼	lɦiɔ2	
避	biᶽ6	
邀	ʔiɔ1	
還	ɦuᴇ2	～原，～有
邊	pi1	
那	na3	
邦	pɔ̃1	
邪	ʑia2	
邵	zɔ2	
郊	tɕiɔ1	
郎	lɦɔ̃2	
郝	həʔ7	
郡	dʑin6	
部	bu4	
郭	koʔ7	
郵	ɦiʏ2	
都	təu1	～城，～是
鄂	ŋɦoʔ8	
鄉	ɕiã1	
鄒	tɕiʏ5	
鄙	piᶽ5	
鄧	dən2	
鄭	dzən6	
鄰	lɦin2	
酉	ʔiʏ3	
酌	tsaʔ7	
配	pʰei5	
酒	tɕiʏ3	
酥	səu1	
酪	lɦoʔ8	
酬	dʑiʏ2	
酵	kɔ5	
酷	kʰoʔ7	
酸	sᴇ1	
醃	ʔi1	
醃	ʔi1	～魚
醇	zən2	
醉	tsei5	
醋	tsʰəu5	
醒	ɕin3	
醜	tɕʰiʏ3	
醫	ʔiᶽ1	
醬	tɕiã5	
醭	pʰoʔ7	
釀	ȵiã3	
釋	səʔ7	
里	liᶽ3	
重	dzoŋ2	～复
重	dzoŋ4	～轻
野	ʔia3	
量	liã5	
量	lɦiã2	
釐	lɦiᶽ2	
金	tɕin1	
釘	tin1	铁～
釘	tin5	～住
釜	fu3	
針	tsən1	
釣	tiɔ5	
釵	tsʰo1	
鈀	bo2	
鈍	dən6	
鈔	tsʰɔ5	
鈞	tɕin1	
鈣	ɡᴇ	
鈴	lɦin2	
鈵	pin5	
鈸	bəʔ8	
鉋	bɔ6	
鉗	dʑi2	
鉛	kʰᴇ1	
鉢	pəʔ7	
鉤	køʏ1	
鉸	kɔ3	白
銀	ȵɦin2	
銃	tsʰoŋ5	
銅	doŋ2	
銘	mɦin2	
銜	ɦᴇ2	
銲	ʔᴇ5	
銳	sei5	
銷	ɕiɔ1	
銹	ɕiʏ5	
鋒	foŋ1	
鋤	dzəu2	
鋪	pʰu1	～設
鋪	pʰu3	店～
鋸	tɕiᶽ5	文
鋸	kei5	文
鋼	kɔ̃1	
錄	lɦoʔ8	
錘	tsei1	
錘	dzei2	
錠	din4	
錢	di2	俗作“鈿”
錢	ʑi2	
錦	tɕin3	
錫	ɕiəʔ7	
錮	kəu5	
錯	tsʰəu5	～誤，～雜
鏨	dzᴇ6	
鍊	di5	
鍋	kəu1	
鍍	dəu6	
鍘	zaʔ8	～铡刀
鍛	tᴇ5	
鍬	tɕʰiɔ1	
鍵	dʑi6	
鍾	tsoŋ1	
鎔	ɦioŋ2	
鎖	səu3	
鎮	tsən5	
鏟	tsʰᴇ3	
鏡	tɕin5	
鐃	ȵɦiɔ2	
鐋	tʰã1	小锣
鐗	kᴇ5	白
鐘	tsoŋ1	
鐙	tən5	
鐮	lɦi2	
鐲	dʑioʔ8	
鐵	tʰiəʔ7	
鐸	doʔ8	
鐾	biᶽ6	刀～兩～
鑄	tsɿ5	
鑊	ɦoʔ8	～子：锅子
鑑	kᴇ5	白
鑑	tɕi5	文
鑞	lɦaʔ8	
鑰	ɦiaʔ8	
鑲	ɕiã1	
鑷	ȵɦiəʔ8	
鑼	lɦəu2	
鑽	tsᴇ5	
鑿	zoʔ8	
長	tsã3	生～
長	dzã2	～短
門	mɦən2	
閂	sᴇ1	
閃	sᴇ3	
閉	piᶽ5	
開	kʰei1	
閏	zən6	
閑	ɦᴇ2	
閑	ʔi1	
間	kᴇ1	房～。白
間	tɕi1	空～。白
間	tɕi3	～斷
閘	zaʔ8	
閣	koʔ7	
閨	kuei5	
閩	min4	
閱	ɦiəʔ8	
閹	ʔi1	
閻	ȵɦi2	
闊	kʰuəʔ7	
闖	tsʰɔ̃3	
關	kuᴇ1	
闢	pʰiəʔ7	
阜	vu4	
阮	ȵi3	
防	bɔ̃2	
阻	tsəu3	
阿	ʔu1	～膠
阿	ʔo1	～彌陀佛
阿	ʔaʔ7	～哥
附	vu6	
陋	løʏ5	
陌	mɦaʔ8	
降	tɕiᶽɔ̃5	下～，～伏
限	ʔᴇ3	
陛	bei6	
陝	sᴇ3	
陡	tøʏ3	
院	ɦi2	
陣	dzən6	
除	dzɿ2	
陪	bei2	
陰	ʔin1	
